title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29
Fall-Worthy Maple Pecan Sweet Potato Cookies Recipe,Jessica Morone,Cookie Recipes,5,24,NA,"Prep Time
15
minutes","Cook Time
12
minutes",NA,Total time: 27 minutes,"servings
24
cookies",9,"Add the butter, granulated sugar, and brown sugar to a large mixing bowl. Beat until combined and fluffy.
Add the egg, vanilla extract, maple syrup and sweet potato puree and beat until smooth.
Add in the flour, baking soda, cinnamon, nutmeg, and salt and beat until combined. The dough will be pale.
Mix in the chopped pecans until incorporated. Refrigerate the dough for at least 30 minutes.
Preheat the oven to 350 F.
Line 2 baking sheets with parchment paper.
Use a medium cookie scoop to scoop the dough onto the prepared baking sheets.
Bake in the preheated oven for 12-14 minutes, until the cookies are golden brown.
Let the cookies cool, then serve.",13,"½ cup unsalted butter, room temperature",¾ cup granulated sugar,¾ cup brown sugar,1 large egg,½ teaspoon vanilla extract,1 teaspoon maple syrup,¾ cup sweet potato puree,2 ½ cups all-purpose flour,1 teaspoon baking soda,1 teaspoon cinnamon,¼ teaspoon nutmeg,½ teaspoon salt,Tasting Table,https://www.tastingtable.com/1689181/maple-pecan-sweet-potato-cookies-recipe/,1 cup chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ooey-Gooey Viral Crookies (Croissants Meet Chocolate Chip Cookies) Recipe,Katie Rosenhouse,Cookie Recipes,4.9,32,NA,"Prep Time
20
minutes","Cook Time
20
minutes",NA,Total time: 40 minutes,"servings
10
Crookies",14,"Place the croissants on two parchment-lined baking sheets, leaving at least 1 inch of space between each. Set aside.
Preheat the oven to 375 F.
Prepare the cookie dough: In the bowl of a stand mixer fitted with a paddle attachment, beat the butter and sugars to combine.
Add the egg and vanilla and beat until smooth.
Add 1 ⅔ cups flour, the salt, baking powder, and baking soda. Beat just until no dry ingredients are visible.
Add ¾ cup mini chocolate chips and beat lightly to combine.
Prepare the crumble: In a small bowl, use your fingertips to mix ½ cup of the prepared cookie dough with the remaining ¼ cup flour and the walnuts, if using, to form even crumbs. Set aside.
Use a spoon to spread about 2 tablespoons of the remaining cookie dough into the center of each croissant.
Spread the remaining cookie dough over the top of each to act as glue for the crumble.
Top the croissants evenly with crumble, pressing to adhere.
Bake for 20 to 22 minutes, until the tops are golden brown.
Melt the remaining ¼ cup chocolate chips with the vegetable oil in a microwave or double boiler.
Drizzle the melted chocolate over the baked crookies.
Serve immediately, dusted with confectioners' sugar and sprinkled with flaky sea salt, if desired.",15,"10 mini croissants, halved horizontally","10 tablespoons unsalted butter, room temperature",½ cup granulated sugar,⅓ cup packed dark brown sugar,1 large egg,1 teaspoon vanilla extract or vanilla bean paste,"1 ⅔ cups + ¼ cup all-purpose flour, divided",¾ teaspoon kosher salt,½ teaspoon baking powder,½ teaspoon baking soda,"1 cup mini chocolate chips, divided",1 teaspoon vegetable oil,Tasting Table,https://www.tastingtable.com/1668827/viral-cookie-croissant-recipe/,¼ cup crushed walnuts,"Flaky sea salt, for sprinkling","Confectioners' sugar, for dusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glazed Mini Baked Donuts,Katie Rosenhouse,Dessert Recipes,5,32,NA,"Prep Time
30
minutes","Cook Time
16
minutes",NA,Total time: 46 minutes,"servings
48
Donuts",16,"Preheat the oven to 375 F.
Line two baking sheets with parchment paper.
Spray to coat two mini donut pans with nonstick spray. Place onto one of the prepared baking sheets.
In a stand mixer fitted with a paddle attachment, beat the butter and granulated sugar until thoroughly combined.
Add the egg and ½ teaspoon vanilla, and beat until smooth.
With the mixer turned off, add the flour, baking powder, ¼ teaspoon salt, and ½ cup whole milk. Beat until the batter is smooth.
Transfer the batter to a piping bag, and cut a hole (about ½-inch wide) at the top.
Pipe rings of batter into prepared donut pans, filling each donut well about ½ way.
Bake for 8 to 10 minutes or until the donuts bounce back when poked.
Flip onto the sheet tray and remove from the molds.
Transfer the molds to the remaining baking sheet, spray to coat again, and repeat the filling and baking process.
Set the donuts aside to cool completely.
Prepare the glaze by stirring to combine the powdered sugar, remaining ¼ teaspoon vanilla, remaining ⅛ teaspoon salt, and remaining 2 tablespoons milk until smooth.
Separate into separate bowls and add food coloring as desired. Adjust the consistency with an additional splash of milk or water, if needed, until the glaze is pourable.
Dip the cooled donuts into the glaze and garnish with sprinkles as desired while wet.
Let the glaze set and then serve immediately or store in an airtight container in the refrigerator for up to five days.",11,"½ cup salted butter, softened",⅔ cup granulated sugar,1 large egg,"¾ teaspoon vanilla extract or vanilla bean paste, divided",1 ¼ cups all-purpose flour,1 teaspoon baking powder,"¼ + ⅛ teaspoon kosher salt, divided","½ cup + 2 tablespoons whole milk, divided",2 cups powdered sugar,"Food coloring, as desired","Sprinkles and other toppings, as desired",NA,Tasting Table,https://www.tastingtable.com/1638238/glazed-mini-baked-donuts-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Chewy Oatmeal Cookie Recipe,Miriam Hahn,Cookie Recipes,5,37,NA,"Prep Time
1
hour","Cook Time
10
minutes",NA,"Total time: 1 hour, 10 minutes","servings
12
Servings",11,"In a small bowl combine the ground flax seed with 3 tablespoons of water and let sit for 10 minutes.
In a large bowl combine the coconut oil, coconut sugar, maple syrup, vanilla extract, and flax mixture.
In a medium bowl mix together the flour, baking soda, cinnamon, salt, and cloves.
Fold in the oats.
Add the dry ingredients to the wet ingredients.
Cover and refrigerate for 30 minutes.
Preheat the oven to 350 F.
Prepare a baking sheet with parchment paper.
Form 12 cookies with about 2 tablespoons of the mixture for each cookie, and lay out on the prepared baking sheet.
Bake for 10 minutes and let them sit on the baking sheet for 10 minutes after baking.
Transfer the cookies to a cooling rack for 10 more minutes before serving.",12,1 tablespoon ground flax seed,3 tablespoons water,½ cup melted coconut oil,½ cup coconut sugar,¼ cup maple syrup,1 teaspoon vanilla extract,1 cup all-purpose flour,½ teaspoon baking soda,1 teaspoon cinnamon,¼ teaspoon salt,Pinch of ground cloves,1 ½ cups rolled oats,Tasting Table,https://www.tastingtable.com/1634908/vegan-chewy-oatmeal-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Almond Joy Cookies Recipe,Jessica Morone,Cookie Recipes,5,33,NA,"Prep Time
40
minutes","Cook Time
12
minutes",NA,Total time: 52 minutes,"servings
20
Cookies",10,"Line two baking sheets with parchment paper or silicone baking mats and set aside.
In a large bowl cream together the butter and sugars until fully combined and fluffy.
Add the egg, vanilla extract, and almond extract and mix until incorporated.
In a separate medium-sized bowl whisk together the flour, baking soda, and salt.
Mix the dry ingredients into the bowl with the wet ingredients until no streaks of flour remain.
Stir in the oats, coconut, almonds, and chocolate chips. Refrigerate the dough for at least 30 minutes.
Preheat the oven to 350 F.
Use a medium cookie scoop to scoop balls of dough onto the prepared cookie sheets, at least 3 inches apart.
Bake in the preheated oven for 12-14 minutes, until the edges are golden brown and the centers are set.
Let cool, then serve.",13,"½ cup unsalted butter, room temperature","½ cup brown sugar, lightly packed",¼ cup granulated sugar,"1 large egg, room temperature",½ teaspoon vanilla extract,¼ teaspoon almond extract,⅔ cup all purpose flour,½ teaspoon baking soda,¼ teaspoon salt,¾ cup old fashioned oats,⅓ cup shredded coconut,"⅓ cup almonds, toasted and chopped",Tasting Table,https://www.tastingtable.com/1638410/oatmeal-almond-joy-cookies-recipe/,⅔ cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Strawberry Meringue Cookies Recipe,Jessica Morone,Candy and Treat Recipes,5,35,NA,"Prep Time
1.67
hours","Cook Time
1
hour",NA,"Total time: 2 hours, 40 minutes","servings
30
cookies",14,"Preheat the oven to 225 F.
Line 2 baking sheets with silicone mats or parchment paper, then set aside.
Add the freeze-dried strawberries to the bowl of a food processor and pulse until the strawberries are ground to a dusty consistency. Set aside.
Add the egg whites to the bowl of a stand mixer and beat on medium with the whisk attachment until they begin to become frothy.
Add the cream of tartar and beat on high for another 30 seconds.
Continue beating the egg whites on high, adding one tablespoon of granulated sugar at a time until it is all integrated.
Keep beating on high until the mixture becomes shiny and has stiff peaks (about 15 minutes).
Sift the strawberry powder into the bowl.
Add the salt, vanilla extract, and red food coloring to the bowl, and gently mix together until combined.
Add the batter to a piping bag with a star tip and pipe it onto the prepared baking sheets.
Place the baking sheets in the oven and bake for 1 hour. Turn off the oven without opening it, then let the baking sheets sit in the oven for another hour.
Add the chocolate chips to a microwave-safe bowl and heat in the microwave in 15-second increments until fully melted.
Dip the bottoms of each meringue cookie in the melted chocolate, then place them back on the baking sheet to harden.
Once the chocolate is set, serve immediately.",8,½ cup freeze-dried strawberries,"4 egg whites, room temperature",½ teaspoon cream of tartar,1 cup granulated sugar,⅛ teaspoon salt,¼ teaspoon vanilla extract,"1 drop red food coloring, plus more, as needed",1 ½ cups semi-sweet chocolate chips,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1624476/chocolate-strawberry-meringue-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Creamsicle Cookies with White Chocolate Drizzle Recipe,Alexander Roberts,Cookie Recipes,4.9,41,NA,"Prep Time
15
minutes","Cook Time
14
minutes",NA,Total time: 29 minutes,"servings
15
Cookies",11,"Cream the butter, orange zest, and sugar together until light and fluffy.
Add the egg and vanilla and mix until combined.
Mix in the flour, baking soda, and salt until a soft dough forms.
Preheat the oven to 350 F.
Line 2 baking sheets with parchment paper.
Portion the dough into 12 roughly golf ball–sized cookies and place the cookies on the baking sheet, 2 inches apart.
Bake for 13–14 minutes. Let cool.
Melt the white chocolate in a microwave-safe bowl and add it to a resealable plastic bag.
Snip the corner of the bag and gently squeeze the bag to drizzle melted white chocolate over the cookies.
Let the chocolate set for 10 minutes.
Serve, and enjoy.",9,"1 cup unsalted butter, softened",2 tablespoons orange zest,1 cup granulated sugar,1 egg,1 teaspoon vanilla extract,2 cups all-purpose flour,½ teaspoon baking soda,½ teaspoon kosher salt,½ cup white chocolate chips,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1625372/orange-creamsicle-cookies-with-white-chocolate-drizzle-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Tiramisu Sugar Cookies Recipe,Jessica Morone,Cookie Recipes,5,21,NA,"Prep Time
20
minutes","Cook Time
13
minutes",NA,Total time: 33 minutes,"servings
15
Cookies",11,"Preheat the oven to 350 F.
Line 2 baking sheets with parchment paper, set aside.
In a medium bowl whisk together the flour, baking soda, baking powder, salt, and espresso powder. Set aside.
In a large bowl use a stand mixer with a paddle attachment or a hand mixer to beat the brown sugar, granulated sugar, and butter together until smooth.
Add in the eggs, vanilla extract, and rum extract until combined, scraping down the sides of the mixing bowl as needed.
Add in the dry ingredients until incorporated.
Use a 2-tablespoon cookie scoop to scoop cookie dough onto the prepared baking sheets, fitting about 6-8 cookies per sheet. Press the cookie dough down slightly to flatten the tops.
Bake in the preheated oven for 11-13 minutes until the cookies are golden on the edges. Cool completely.
Meanwhile, beat the mascarpone, heavy cream, powdered sugar, and vanilla extract with a stand mixer or hand mixer until stiff peaks form.
Spread or pipe the frosting on top of the cooled cookies.
Dust with cocoa powder if desired, then serve.",18,For the cookies,2 cups all-purpose flour,½ teaspoon baking soda,½ teaspoon baking powder,½ teaspoon salt,1 teaspoon espresso powder,½ cup brown sugar,½ cup granulated sugar,"½ cup (1 stick) unsalted butter, room temperature","2 large eggs, room temperature",1½ teaspoon vanilla extract,½ teaspoon rum extract,Tasting Table,https://www.tastingtable.com/1579733/frosted-tiramisu-sugar-cookies-recipe/,For the frosting,"8 ounces mascarpone, cold",1 cup heavy cream,1 cup powdered sugar,1 teaspoon vanilla extract,Cocoa powder for dusting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roasted Peaches and Cream Ice Cream Sandwich Recipe,Katie Rosenhouse,Dessert Recipes,5,24,NA,"Prep Time
55
minutes","Cook Time
45
minutes",NA,"Total time: 1 hour, 40 minutes","servings
8
Servings",20,"Preheat the oven to 375 F.
Line two baking sheets with parchment paper; set aside.
In the bowl of a stand mixer fitted with a paddle attachment, beat butter, ½ cup brown sugar, and granulated sugar to combine.
Add the egg and vanilla and beat until smooth.
Add the oats, flour, baking soda, ½ teaspoon cinnamon, and ½ teaspoon salt.
Beat to combine.
Fold in the chopped pecans.
Scoop dough using a 1-ounce portion scoop (or roll 2-tablespoon-sized balls) and transfer to prepared baking sheets, spacing the cookies at least 2 inches apart. You should have 16 cookies.
Bake the cookies for 10 to 12 minutes until golden brown along the edges but soft in the center. Set aside to cool.
Increase the oven temperature to 450 F.
Core and chop the peaches into 1-inch cubes.
Transfer the peaches to a bowl and toss to combine them with the remaining 2 tablespoons brown sugar, lemon juice, ¼ teaspoon cinnamon, and ¼ teaspoon salt.
Transfer the peaches to an 8-inch baking dish.
Bake for 35 to 40 minutes until peaches are tender and browned along the edges.
Transfer the peaches to a bowl to cool completely.
Lay 8 cookies, flat side up, on a small baking sheet or plate.
Transfer the ice cream to a large bowl and let it soften in the refrigerator for 5 to 10 minutes.
Fold the peaches, along with optional cinnamon bits and pecans, into the ice cream. Freeze for 15 minutes or until firm enough to scoop.
Place one scoop of ice cream onto each cookie and sandwich with the remaining cookies.
Serve the ice cream sandwiches immediately or wrap and freeze until ready to serve.",16,"½ cup unsalted butter, softened","½ cup + 2 tablespoons packed dark brown sugar, divided",¼ cup granulated sugar,1 large egg,½ teaspoon vanilla extract,1 ½ cups old-fashioned oats,1 cup all-purpose flour,½ teaspoon baking soda,"¾ teaspoon ground cinnamon, divided","¾ teaspoon kosher salt, divided",½ cup roughly chopped pecans,5 small (or 4 large) ripe peaches,Tasting Table,https://www.tastingtable.com/1587463/roasted-peaches-and-cream-ice-cream-sandwich-recipe/,Juice of ½ lemon,1 quart vanilla ice cream,¼ cup cinnamon bits,½ cup roughly chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey S'mores Sandwich Cookies Recipe,Jessica Morone,Cookie Recipes,4.9,32,NA,"Prep Time
1.42
hours","Cook Time
14
minutes",NA,"Total time: 1 hour, 39 minutes","servings
8
cookies",19,"Line two baking sheets with mats or parchment paper. Set aside.
In a large bowl, whisk together the graham cracker crumbs, granulated sugar, brown sugar, baking soda, baking powder, and salt.
Add the melted butter, egg, and vanilla extract to the bowl, and mix until a soft dough forms.
Scoop out 1 tablespoon of dough at a time and roll the dough between your hands to form balls. Place on the prepared baking sheets, and refrigerate for at least 30 minutes or freeze for about 10 minutes.
Preheat the oven to 350 F.
Bake the cookies in the oven for 8–10 minutes, until golden brown on the edges. Let cool completely.
Meanwhile, heat the heavy cream in a saucepan until it just starts to steam.
Pour the heated cream over the chopped chocolate in a medium bowl. Let sit for at least 1 minute.
Whisk the cream and chocolate mixture until it comes together and becomes shiny. Refrigerate for 15–30 minutes, until it cools and thickens.
Once cooled, add the ganache to the bowl of a stand mixer with the vanilla extract. Whip until the ganache becomes light and fluffy. Set aside.
Set your oven to broil.
Spread the marshmallow creme in a thin layer on a baking sheet lined with parchment paper, then set aside.
In the bowl of a stand mixer, beat the butter until smooth.
Add the powdered sugar and vanilla extract, and beat until light and fluffy.
Place the baking sheet with marshmallow creme under the broiler and heat for 1–2 minutes, until golden brown on top. Watch carefully, as this can happen very quickly!
Scrape the toasted marshmallow creme into the stand mixer and beat until the mixture becomes smooth. The frosting will likely first separate from the warm marshmallow but will come together again as you keep beating it. Let cool completely.
Pipe or spread the marshmallow buttercream onto the bottom of half of the cookies.
Pipe the whipped ganache on top of the marshmallow buttercream.
Place the remaining cookie halves on top to make cookie sandwiches, then serve!",19,For the cookies,2 ¼ cups graham cracker crumbs,2 tablespoons granulated sugar,¼ cup brown sugar,½ teaspoon baking soda,½ teaspoon baking powder,¼ teaspoon salt,"½ cup unsalted butter, melted and cooled",1 large egg,1 teaspoon vanilla extract,For the whipped ganache,½ cup heavy whipping cream,Tasting Table,https://www.tastingtable.com/1598063/gooey-smores-sandwich-cookies-recipe/,"4 ounces high-quality semi-sweet chocolate, chopped",1 teaspoon vanilla extract,For the toasted marshmallow buttercream,7 ounces marshmallow creme,"1 cup butter, softened",2 ½ cups powdered sugar,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhubarb and White Chocolate Blondies Recipe,Julie Kinnaird,Dessert Recipes,5,28,NA,"Prep Time
1.42
hours","Cook Time
55
minutes",NA,"Total time: 2 hours, 20 minutes","servings
16
Blondies",22,"Split the vanilla bean lengthwise to expose the seeds.
Cut the rhubarb into ½-inch slices (you should have about 2 cups).
Add the vanilla bean, rhubarb, ⅓ cup brown sugar, and water to a large heavy saucepan.
Bring to a simmer over medium heat and cook, stirring frequently, until the rhubarb is very soft and the mixture has thickened.
Transfer the rhubarb compote to a heat-proof bowl and chill until ready to use.
Preheat the oven to 350 F.
Melt the butter over medium heat in a small saucepan or saute pan.
Once the butter starts to foam, reduce the heat slightly and cook and stir for about 5 minutes until it reaches a deep golden brown color.
Transfer the butter to a large heat-proof bowl and cool slightly.
Grease and line an 8-inch square baking pan with parchment, leaving a 1-inch overhang on 2 sides.
Add the remaining 1 cup brown sugar to the butter and stir until smooth.
Add the egg and vanilla extract and beat until fully incorporated.
Carefully stir in the flour and salt. Continue to mix until well combined and smooth.
Stir in the white chocolate.
Transfer the blondie batter to the prepared pan and smooth the top.
Remove the vanilla bean from the rhubarb compote and use a small knife to scrape out the seeds.
Stir the seeds into the compote.
Place spoonfuls of the rhubarb evenly on top of the blondie batter.
Use the tip of a knife to swirl the rhubarb into the blondies.
Bake the blondies for 25-30 minutes until golden brown.
Cool the blondies completely on a rack, then use the parchment overhang to lift them out of the pan.
Cut the blondies into 16 small squares and serve.",10,1 vanilla bean,2 large stalks fresh rhubarb,"1 ⅓ cups light brown sugar, divided",2 tablespoons water,"½ cup unsalted butter, cut into 8 tablespoon-sized pieces","1 large egg, room temperature",2 teaspoons vanilla extract,1 cup plus 2 tablespoons all-purpose flour,½ teaspoon sea salt,½ cup chopped white chocolate,NA,NA,Tasting Table,https://www.tastingtable.com/1585733/rhubarb-and-white-chocolate-blondies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Ice Cream Sandwiches Recipe,Alexander Roberts,Dessert Recipes,5,39,NA,"Prep Time
1.25
hours","Cook Time
13
minutes",NA,"Total time: 1 hour, 28 minutes","servings
6
Ice Cream Sandwiches",13,"Cream the butter, sugar, salt, vanilla, and half of the lemon zest together until light and fluffy.
Add the egg and beat until combined.
Add the flour and baking soda. Mix until a soft dough forms.
Refrigerate the dough for at least 1 hour, or overnight.
Mix the vanilla ice cream and remaining lemon zest and set aside in the freezer.
Preheat the oven to 350 F.
Line 2 baking sheets with parchment paper.
Portion the lemon cookie dough into 1 ½ tablespoon balls.
Roll each dough ball in sugar and place 2 inches apart on the baking sheets.
Bake the cookies for 12-13 minutes and then allow them to cool completely.
Place a scoop of ice cream on a cookie. Top with another cookie.
Repeat until all cookies are sandwiched.
Freeze to set firmly, or serve immediately.",9,"1 stick (½ cup) unsalted butter, softened","⅔ cup sugar, plus 2 tablespoons (for rolling)",½ teaspoon kosher salt,½ teaspoon vanilla extract,"1 tablespoon lemon zest, divided","1 egg, room temperature",1 ¼ cup bread flour,¼ teaspoon baking soda,"1 pint vanilla ice cream, softened",NA,NA,NA,Tasting Table,https://www.tastingtable.com/1582127/lemon-ice-cream-sandwiches-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naturally Rainbow Cheesecake Bars (Dye-Free) Recipe,Katie Rosenhouse,Cake and Cupcake Recipes,5,30,NA,"Prep Time
2.5
hours","Cook Time
42
minutes",NA,"Total time: 3 hours, 12 minutes","servings
16
Servings",17,"Spray to coat an 8- or 9-inch baking dish with cooking spray and line with parchment paper, leaving an overhang on two sides. Set aside.
Preheat the oven to 350 F.
In a medium bowl, stir to combine the graham cracker crumbs, 1 tablespoon granulated sugar, ¼ teaspoon kosher salt, and the melted butter.
Pour into the prepared baking dish and press evenly to coat the bottom (use a small measuring cup to press for perfectly even results).
Bake for 12 to 14 minutes until set. Set aside.
In the bowl of a stand mixer fitted with a paddle attachment, beat to combine the cream cheese and ⅔ cup granulated sugar until smooth.
Add the eggs one at a time, beating to combine until smooth after each addition. Scrape down with a rubber spatula as needed to ensure a smooth mix.
Beat in the sour cream, vanilla, and 1 teaspoon salt.
Portion ¼ cup of the cheesecake batter into a small bowl. Mix to combine with the matcha powder and 1 teaspoon water until smooth.
Transfer the matcha mixture, jams, and curd each into their own piping bag or sandwich bag.
Pour cheesecake batter evenly over the prepared crust.
Cut a small hole in each of the piping or sandwich bags and pipe even lines of color (in rainbow order) over the cheesecake batter.
Use a small knife to pull the batter back and forth to create a patterned design.
Bake for 30 to 35 minutes until the cheesecake is very slightly jiggly in the center. Transfer to a rack to cool completely, then chill for at least 2 hours.
Lift the cheesecake out of the pan using parchment paper and transfer it to a cutting board. Remove the parchment.
Trim the edges if desired, then cut into 16 squares.
If desired, top with whipped cream and blueberries before serving. Serve chilled.",13,1 ½ cups graham cracker crumbs (from about 8 graham crackers),"⅔ cup + 1 tablespoon granulated sugar, divided","1 ¼ teaspoons kosher salt, divided","6 tablespoons unsalted butter, melted","3 (8-ounce) packages cream cheese, softened",3 large eggs,½ cup sour cream,1 teaspoon vanilla extract or paste,½ tablespoon matcha green tea powder,"¼ cup each raspberry, apricot, and blueberry jam",¼ cup lemon curd,Whipped cream,Tasting Table,https://www.tastingtable.com/1565291/naturally-rainbow-cheesecake-bars-dye-free-recipe/,Fresh blueberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Shortcake Crumble Cookies Recipe,Jessica Morone,Cookie Recipes,4.9,36,NA,"Prep Time
25
minutes","Cook Time
30
minutes",NA,Total time: 55 minutes,"servings
24
cookies",16,"Preheat the oven to 300 F.
Make the crumble topping: In a small bowl, combine the sugar, brown sugar, flour, baking powder, vegetable oil, and vanilla with a fork until crumbs form.
Spread the crumb topping out onto a parchment paper–lined baking sheet.
Bake for 15 minutes, until golden brown. Set aside to cool completely.
Adjust the oven to 350 F.
Make the cookie dough: In a large bowl, combine diced strawberries, lemon juice, and 1 tablespoon granulated sugar. Set aside.
To the bowl of a food processor, add the flour, baking powder, salt, butter, and the remaining ½ cup sugar.
Pulse until the mixture resembles coarse sand.
Add in the egg and heavy cream, and pulse until the dough starts to come together.
Mix the dough into the bowl with the strawberry mixture until combined.
Use a medium (1 ½-tablespoon) cookie scoop to drop cookie dough onto parchment paper–lined baking sheets, spaced evenly apart.
Flatten the dough slightly, then sprinkle the cookies with crumb topping. Gently press the topping into the tops of the cookies.
Bake in the preheated oven for 20–22 minutes, until the cookies are golden brown. Transfer to a wire rack and let cool completely.
Make the glaze: In a medium bowl, whisk together the powdered sugar, 2 tablespoons milk, and vanilla extract until smooth. Add additional milk, as necessary, until the consistency is thick but can be drizzled.
Drizzle the glaze onto the cooled cookies. Let sit for about 15 minutes.
Once the glaze has hardened, serve the cookies.",21,For the crumb topping,2 tablespoons granulated sugar,½ tablespoon brown sugar,3 tablespoons all-purpose flour,¼ teaspoon baking powder,1 ½ tablespoons vegetable oil,½ teaspoon vanilla extract,For the cookies,1 cup diced fresh strawberries,½ tablespoon lemon juice,"1 tablespoon + ½ cup granulated sugar, divided",2 cups all-purpose flour,Tasting Table,https://www.tastingtable.com/1563054/strawberry-shortcake-crumble-cookies-recipe/,1 teaspoon baking powder,½ teaspoon salt,"6 tablespoons cold unsalted butter, cut into cubes",1 egg,½ cup heavy cream,For the glaze,"1 cup powdered sugar, sifted","2 tablespoons milk, plus more as needed",1 ½ teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Quinoa Cookies Recipe,Jessica Morone,Cookie Recipes,5,31,NA,"Prep Time
45
minutes","Cook Time
12
minutes",NA,Total time: 57 minutes,"servings
24
cookies",11,"Whisk together the flour, baking soda, and salt in a medium bowl. Set aside.
In a large bowl, beat together the butter and sugars until fluffy.
Add in the eggs and vanilla extract, and beat until well combined.
Add the flour mixture to the bowl and beat until well blended.
Mix in the quinoa until just combined.
Fold the chocolate chips into the batter. Refrigerate the dough for 30 minutes.
Preheat the oven to 350 F.
Scoop the cookie dough onto parchment paper–lined baking sheets. Slightly press the tops of the dough down to flatten them.
Sprinkle the flaky sea salt on the tops of the cookie dough.
Bake in the preheated oven for 12–14 minutes, until golden around the edges.
Let the cookies cool slightly, then serve.",11,2 cups all-purpose flour,½ teaspoon baking soda,¼ teaspoon salt,"1 cup unsalted butter, softened",½ cup brown sugar,½ cup granulated sugar,2 large eggs,1 ½ teaspoons vanilla extract,1 cup cooked quinoa (cooled),1 cup dark chocolate chips,"1 teaspoon flaky sea salt, for sprinkling on top of cookies",NA,Tasting Table,https://www.tastingtable.com/1550532/chocolate-chip-quinoa-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Miso Chocolate Chip Cookies Recipe,Kara Barrett,Cookie Recipes,5,30,NA,"Prep Time
1.33
hours","Cook Time
15
minutes",NA,"Total time: 1 hour, 35 minutes","servings
18
cookies",11,"In a large mixing bowl, use a wooden spoon to beat together the butter, vanilla, and sugars until well combined.
Add the egg, egg yolk, and white miso. Mix until fully incorporated.
In a separate mixing bowl, whisk together flour, baking powder, and baking soda until well combined.
Mix the wet and dry ingredients until just combined.
Roughly chop the dark chocolate, then set aside a small handful to use for topping the cookies.
Stir the remaining chocolate chunks into the cookie dough until well distributed.
Add dollops of dark miso to the dough. Use a knife or chopstick to gently create swirls, being careful not to over-combine.
Scoop small mounds of cookie dough onto parchment-lined baking trays, spacing the cookies at least 4 inches apart. Top with the reserved chocolate chunks and freeze for an hour (or refrigerate overnight).
Preheat the oven to 350 F.
Transfer the cookies to the oven and bake for 12-15 minutes. Optional: As soon as you remove the cookies from the oven, bang the cookie trays on the counter 2 or 3 times to create a rippling effect.
Sprinkle each warm cookie with flaky salt and let cool on the baking trays before transferring to a wire rack and serving.",12,"1 ½ sticks (12 tablespoons) unsalted butter, softened",2 teaspoons vanilla extract,1 cup packed brown sugar,½ cup granulated sugar,1 tablespoon white miso,"1 whole egg plus 1 egg yolk, at room temperature",2 cups all-purpose flour,½ teaspoon baking powder,¼ teaspoon baking soda,4 ½ ounces dark chocolate,2 tablespoons dark brown miso,"Smoked flaky sea salt, for topping",Tasting Table,https://www.tastingtable.com/1552120/double-miso-chocolate-chip-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
