title,author,rating,cuisine,ratingnum,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,source,link,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Salted Caramel Chocolate Chip Cookie Recipe,Carrie Barnard,4.58,American, 14 ,10 minutes,10 minutes,20 minutes,NA,13,11,▢ 1 cup butter softened,▢ 1/2 cup Sugar,▢ 3/4 cup Brown Sugar,▢ 2 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/salted-caramel-chocolate-chip-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups of Flour,▢ 2 tsp cornstarch,▢ 1 tsp Baking Soda,▢ 1 cup semi-sweet chocolate chips,▢ 24 Soft Caramels Werther’s Original has a good option,▢ 1/2 tsp Sea Salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Cake Mix Cookies,Carrie Barnard,4.80,American, 20 ,10 minutes,10 minutes,20 minutes,NA,8,6,▢ (1)15.25 oz. box white cake mix,▢ (1) 8 oz. brick cream cheese {softened},▢ 1/2 cup butter {softened},▢ 1 egg,Desserts on a Dime,https://dessertsonadime.com/cream-cheese-cake-mix-cookies/,▢ 1 tsp vanilla extract,▢ 1/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow Cake Mix Cookies,Carrie Barnard,4.25,American, 58 ,10 minutes,10 minutes,20 minutes,NA,6,4,▢ 1 yellow cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1/4 cup of multi-colored sprinkles,Desserts on a Dime,https://dessertsonadime.com/yellow-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Carrie Barnard,4.72,American, 21 ,10 minutes,8 minutes,13 minutes,NA,5,4,▢ 1 Lemon Cake Mix,▢ 1 Cool Whip 8 ounce,▢ 1 Egg,▢ 1/2-1 Cup Powdered Sugar,Desserts on a Dime,https://dessertsonadime.com/lemon-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Mix Cookies,Carrie Barnard,4.67,American, 15 ,10 minutes,10 minutes,25 minutes,NA,8,9,▢ 1 box Carrot Cake Mix,▢ 2 eggs,▢ 1/2 cup Butter softened at room temperature,▢ Crushed Walnuts for garnish,Desserts on a Dime,https://dessertsonadime.com/carrot-cake-mix-cookies-recipe/,▢ Ingredients for Cream Cheese Icing:,"▢ 1 8 oz Package of Cream Cheese, softened at room temperature",▢ 1/4 cup Butter softened at room temperature,▢ 3-4 cups Powdered Sugar shifted,▢ 1 tsp Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cake Mix Cookies,Carrie Barnard,4.32,American, 16 ,5 minutes,10 minutes,15 minutes,NA,5,4,▢ 1 box Funfetti cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ Sprinkles optional,Desserts on a Dime,https://dessertsonadime.com/funfetti-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Cake Mix,Carrie Barnard,4.87,American, 22 ,5 minutes,NA,5 minutes,NA,8,11,▢ Dry Ingredients,▢ 1 ¼ cups all-purpose flour,▢ ¾ cups granulated sugar,▢ 1 ¼ teaspoons baking powder,Desserts on a Dime,https://dessertsonadime.com/homemade-cake-mix-recipe/,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ Wet Ingredients,▢ ½ cup milk or buttermilk,▢ ½ cup oil vegetable or canola,▢ 2 large eggs room temperature,▢ 1 ½ teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Patrick’s Day Cookies,Carrie Barnard,4.36,American, 196 ,15 minutes,10 minutes,25 minutes,NA,6,5,▢ 1 white cake mix,▢ Green Food Coloring,▢ 2 eggs,▢ 1/3 cup oil,Desserts on a Dime,https://dessertsonadime.com/st-patricks-day-cake-mix-cookies/,▢ 1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Cake Mix Cookies,Carrie Barnard,4.63,American, 37 ,10 minutes,10 minutes,20 minutes,NA,5,4,▢ 1 Strawberry cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1 cup white chocolate chips,Desserts on a Dime,https://dessertsonadime.com/valentines-day-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cake Mix Cookies,Carrie Barnard,4.60,American, 57 ,10 minutes,10 minutes,20 minutes,NA,6,4,▢ 1 Strawberry cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1 cup powdered sugar optional,Desserts on a Dime,https://dessertsonadime.com/strawberry-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Whoopie Pies,Carrie Barnard,4.80,American, 5 ,30 minutes,10 minutes,40 minutes,NA,17,14,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 2 Tablespoons Pumpkin Pie Spice,Desserts on a Dime,https://dessertsonadime.com/pumpkin-whoopie-pies-recipe/,▢ ½ teaspoon salt,▢ 1 cup granulated sugar,▢ 1 cup vegetable Oil,▢ 2 large eggs room temperature,▢ 3 cups Pumpkin Puree (chilled for at least 30 minutes),▢ 1 teaspoon vanilla extract,▢ 1/2 cup unsalted butter softened,▢ 8 ounces Cream Cheese room temperature,▢ 3 cups powdered sugar,▢ 2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Turkey Cookies,Carrie Barnard,4.84,American, 37 ,15 minutes,NA,15 minutes,NA,5,5,▢ 12 Oreo Cookies,▢ 48 pieces Candy Corn,▢ 24 Candy Eyes,▢ 12 Peanut Butter Chips,Desserts on a Dime,https://dessertsonadime.com/oreo-cookie-turkeys/,▢ 4 oz White Icing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Sandwich Cookies,Carrie Barnard,Noratingsyet,American,,NA,NA,NA,NA,14,15,▢ 2 1/4 cups + 1 tablespoon all-purpose flour,▢ 2 tablespoons unsweetened cocoa powder,▢ 3/4 teaspoon baking soda,▢ 3/4 teaspoon salt,Desserts on a Dime,https://dessertsonadime.com/red-velvet-sandwich-cookies/,▢ 3/4 cup unsalted butter softened to room temperature,▢ 1/2 cup granulated sugar,▢ 1/2 cup brown sugar packed,▢ 1 large egg,▢ 1 1/2 teaspoons pure vanilla extract,▢ 2 teaspoons vinegar,▢ 1 1/2 tablespoons red food coloring,▢ 8 oz cream cheese room temperature,▢ 6 tbsp unsalted butter room temperature,▢ 4 cups powdered sugar,▢ 1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Thumbprint Cookies,Carrie Barnard,Noratingsyet,American,,15 minutes,12 minutes,27 minutes,NA,8,9,▢ 1⅔ cups all-purpose flour,▢ 1/2 tsp baking powder,▢ 1/4 tsp salt,▢ 2/3 cup butter softened,Desserts on a Dime,https://dessertsonadime.com/cherry-thumbprint-cookies/,▢ 1/2 cup granulated sugar,▢ 1 egg,▢ 1/2 tsp vanilla extract,▢ 1/2 cup cherry pie filling,▢ 2 oz white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Christmas Cookies,Carrie Barnard,5,American, 1 ,45 minutes,15 minutes,20 minutes,NA,10,6,▢ 2 1/4 cups all purpose flour,▢ ¼ teaspoon salt,▢ 3/4 cup Powdered Sugar,▢ 1 1/2 cup unsalted butter softened,Desserts on a Dime,https://dessertsonadime.com/shortbread-christmas-cookies/,▢ 1 teaspoon vanilla extract,▢ 1/2 cup Christmas Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cookies,Carrie Barnard,5,American, 4 ,10 minutes,8 minutes,18 minutes,NA,12,10,▢ ½ cup butter room temperature,▢ ¾ cups sugar,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,Desserts on a Dime,https://dessertsonadime.com/funfetti-cookies-recipe/,▢ 1 large egg room temperature,▢ 1 ½ cups flour,▢ 2 teaspoons cornstarch,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ ½ cup Rainbow Jimmie Sprinkles plus more for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cheesecake Cookies,Carrie Barnard,4.62,American, 26 ,15 minutes,10 minutes,25 minutes,NA,8,6,▢ 1/3 cup butter melted,▢ 1 whole egg,▢ 1 cup white chocolate chips,▢ 15 ounce box strawberry cake mix,Desserts on a Dime,https://dessertsonadime.com/strawberry-cheesecake-cookies-recipe/,▢ 1/2 cup powdered sugar,▢ 8 oz cream cheese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Chocolate Covered Oreos,Carrie Barnard,5,American, 7 ,5 minutes,NA,20 minutes,NA,9,7,▢ 16 Oreo Cookies,▢ 6 ounces White Chocolate Chips ,▢ 6 ounces Pink Candy Melts,▢ 6 ounces Light Blue Candy Melts ,Desserts on a Dime,https://dessertsonadime.com/easter-chocolate-covered-oreos/,▢ 6 ounces Yellow Candy Melts ,▢ 2 teaspoons Vegetable Oil (divided),▢ Spring Pastel Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Cheesecake Cookies,Carrie Barnard,4.83,American, 17 ,15 minutes,10 minutes,35 minutes,NA,6,7,▢ 1 box Vanilla Cake Mix 15 oz,▢ 1 pkg Cream Cheese softened at room temperature (8 oz),▢ 1/3 cup Butter melted,▢ 1 large Egg,Desserts on a Dime,https://dessertsonadime.com/raspberry-cheesecake-cookies/,▢ 1/2 tsp Vanilla Extract,▢ 1 pkg Freeze Dried Raspberries 1.25 oz bag,▢ 1 cup White Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit Pizza,Carrie Barnard,5,American, 1 ,15 minutes,10 minutes,25 minutes,NA,9,6,▢ Prepared Sugar Cookie Dough 16 oz (I used Pillsbury),▢ 10 oz Cream Cheese,▢ 1/4 Cup Butter,▢ 1 teaspoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/fruit-pizza/,▢ 1 1/2 Cups Powdered Sugar,"▢ 3-4 Cups Fresh Fruit I used pineapple, strawberries, blueberries, kiwi and raspberries but you can use what you prefer.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Stuffed Cookies,Carrie Barnard,5,American, 4 ,30 minutes,10 minutes,45 minutes,NA,14,11,▢ 1 cup unsalted Butter,▢ 1 cup Sugar,▢ 1 cup Brown Sugar,▢ 2 large Eggs,Desserts on a Dime,https://dessertsonadime.com/oreo-stuffed-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,▢ 1 package Double Stuffed Oreo Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Oreo Cookies,Carrie Barnard,5,American, 4 ,NA,9 minutes,9 minutes,NA,10,12,▢ FOR THE COOKIES:,▢ 1 3/4 cup All Purpose Flour,▢ 1/2 cup unsweetened cocoa powder,▢ 1/2 tsp Salt,Desserts on a Dime,https://dessertsonadime.com/homemade-oreos-recipe/,▢ 1/2 cup unsalted Butter softened to room temperature,▢ 1 cup Sugar,▢ 1 Large Egg Room temperature,▢ 1 tsp Vanilla Extract,▢ FOR THE CREAM FILLING:,▢ 1/2 cup Unsalted Butter softened at room temperature,▢ 2 cups Powdered Sugar,▢ 1 tsp Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Oreos,Carrie Barnard,5,American, 3 ,10 minutes,5 minutes,15 minutes,NA,9,4,▢ 1 Tbsp Olive Oil,▢ 8 Oreo Cookies,▢ 1 can of Crescent Rolls 8 oz package,▢ 1/2 cup Powder Sugar for Topping,Desserts on a Dime,https://dessertsonadime.com/air-fryer-oreos/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Carrie Barnard,5,American, 3 ,10 minutes,NA,10 minutes,NA,8,8,▢ 1 cup All Purpose Flour,▢ 1/2 cup unsalted butter softened at room temperature,▢ 1/2 cup Brown Sugar,▢ 1/2 cup Granulated Sugar,Desserts on a Dime,https://dessertsonadime.com/edible-cookie-dough/,▢ 1/4 tsp Salt,▢ 1 Tbsp Milk may need more when making,▢ 1 tsp Vanilla Extract,▢ 1/2 cup Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Corn Cookies,Carrie Barnard,5,American, 4 ,15 minutes,12 minutes,27 minutes,NA,9,9,▢ 1 cup butter softened,▢ 1/2 cup Sugar,▢ 1/2 cup Brown Sugar,▢ 1 Tablespoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/candy-corn-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 small bag of Candy Corn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Covered Oreos,Carrie Barnard,5,American, 4 ,10 minutes,NA,10 minutes,NA,11,4,▢ 16 Oreo Cookies,▢ 12 ounces White Candy Melts,▢ 2 teaspoons Vegetable Oil divided,▢ ⅓ cup Chocolate Chips,Desserts on a Dime,https://dessertsonadime.com/white-chocolate-covered-oreos-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cottage Cheese Cookie Dough,Carrie Barnard,5,American, 1 ,10 minutes,NA,10 minutes,NA,3,6,▢ 1 cup Cottage Cheese full fat,▢ 2/3 Cup Almond Flour,▢ 1 1/2 scoop Vanilla Protein Powder,▢ 1 teaspoon Vanilla extract,Desserts on a Dime,https://dessertsonadime.com/cottage-cheese-cookie-dough/,▢ 2 Tablespoon Maple Syrup,▢ 3/4 Cup Mini Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marry Me Cookies,Carrie Barnard,Noratingsyet,American,,20 minutes,11 minutes,31 minutes,NA,10,11,▢ 1 cup unsalted butter,▢ 1 ¼ cups light brown sugar packed,▢ ½ cup granulated sugar,▢ 2 large eggs room temperature,Desserts on a Dime,https://dessertsonadime.com/marry-me-cookies/,▢ 1 teaspoon pure vanilla extract,▢ 2 cups all-purpose flour,▢ 1 cup old-fashioned oats,▢ ½ teaspoon baking soda,▢ 1 teaspoon kosher salt,▢ 1 cup white chocolate chips,▢ 1 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devils Food Cake Mix Cookies,Carrie Barnard,Noratingsyet,American,,10 minutes,10 minutes,23 minutes,NA,6,4,▢ 1 13.25-ounce Devil’s Food cake mix,▢ 1/2 cup vegetable oil,▢ 2 large eggs,▢ 1 1/2 cups chocolate chips,Desserts on a Dime,https://dessertsonadime.com/devils-food-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Pizookie,Carrie Barnard,Noratingsyet,American,,10 minutes,10 minutes,20 minutes,NA,11,9,▢ 8 tablespoons unsalted butter melted and slightly cooled,▢ 1/2 cup granulated sugar,▢ 1/2 cup light brown sugar lightly packed,▢ 2 teaspoons vanilla extract,Desserts on a Dime,https://dessertsonadime.com/air-fryer-pizookie/,▢ 1 large egg,▢ 1 1/2 cups all-purpose flour,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 1/4 cups milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Apples Cookies,Carrie Barnard,Noratingsyet,American,,20 minutes,12 minutes,32 minutes,NA,20,23,▢ ½ cup unsalted butter softened,▢ ¾ cup granulated sugar,▢ ¼ cup dark brown sugar,▢ 1 large egg room temperature,Desserts on a Dime,https://dessertsonadime.com/caramel-apple-cookies/,▢ 2 tablespoons concentrated apple juice,▢ 1 teaspoon vanilla extract,▢ 2 cups all-purpose flour,▢ 1¼ teaspoons apple pie spice,▢ ¾ teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ ¼ teaspoon salt,▢ 5 oz cream cheese softened,▢ 4 tablespoons unsalted butter softened,▢ 3 tablespoons caramel sauce. I like to use homemade caramel sauce but you can use store bought.,▢ 1 teaspoon vanilla extract,▢ ¾ cup powdered sugar,▢ 1½ tablespoons cold unsalted butter cubed,▢ ¼ cup all-purpose flour,▢ 1 tablespoon granulated sugar,▢ ¼ teaspoon ground cinnamon,▢ ¼ teaspoon salt,▢ 1 green apple diced into small cubes,▢ Extra caramel sauce for drizzling
Oatmeal Scotchies,Carrie Barnard,4.67,American, 3 ,10 minutes,15 minutes,30 minutes,NA,11,11,▢ 1 cup Unsalted Butter softened,▢ 1 cup Brown Sugar,▢ 1/2 cup Granulated Sugar,▢ 2 Large Eggs room temperature,Desserts on a Dime,https://dessertsonadime.com/oatmeal-scotchies-recipe/,▢ 1 teaspoon Vanilla Extract,▢ 1 1/2 cups All Purpose Flour,▢ 1 teaspoon Baking Soda,▢ 1/2 teaspoon Salt,▢ 1 teaspoon Cinnamon,▢ 3 cups Old-Fashioned Rolled Oats,▢ 1 package Butterscotch Chips 11 ounces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaroon Cookies,Carrie Barnard,5,American, 1 ,10 minutes,25 minutes,35 minutes,NA,8,5,▢ 14 oz Shredded Sweetened Coconut,▢ 14 oz Sweetened Condensed Milk,▢ 1/2 teaspoon Vanilla Extract,▢ 2 Egg Whites,Desserts on a Dime,https://dessertsonadime.com/macaroon-cookies/,▢ 1/2 teaspoon Salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Cookies,Carrie Barnard,Noratingsyet,American,,10 minutes,10 minutes,25 minutes,NA,13,10,▢ 1 cup Mashed Bananas,▢ 1/2 cup unsalted butter room temperature,▢ 1 cup granulated sugar,▢ 1 egg room temperature,Desserts on a Dime,https://dessertsonadime.com/banana-cookies/,▢ 1 teaspoon baking soda,▢ 2 cups all purpose flour,▢ Pinch of Salt,▢ 1/2 teaspoon ground cinnamon,▢ 1 cup chocolate chips divided,▢ ½ cup Walnuts chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Cookies,Carrie Barnard,5,American, 2 ,5 minutes,10 minutes,20 minutes,NA,6,3,▢ 1 Cup Peanut Butter,▢ 1 Cup Granulated Sugar,▢ 1 Large Egg,NA,Desserts on a Dime,https://dessertsonadime.com/3-ingredient-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
