title,author,date,update,rating,ratingnum,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Pecan Tassies,Diana,"November 27, 2023",NA,5,6,Christmas,Pecan Tassies,20 minutes,15 minutes,NA,35 minutes,24 tarts,8,"Prepare the crust by creaming together the cream cheese and butter until light and fluffy, add the flour and mix well.
Flatten the dough into a disc and wrap with plastic wrap then chill in the fridge for at least 1 hour.
Preheat the oven to 350°F (180°C), or 160°C if using a fan oven.
Divide the dough into 24 equal portions (about a tablespoon each) then place into a mini muffin tin and press down into the center and up the sides to create a mini tart shell. Chill in the fridge while you prepare the filling.
In a medium bowl, whisk together the brown sugar, egg, melted butter, light corn syrup, vanilla, salt and cinnamon until smooth. Stir in the chopped pecans until evenly distributed.
Fill the crust about halfway with the filling, being careful to not overfill.
Bake in the preheated oven for 12-15 minutes or until the crust is golden brown and the filling is bubbling
Allow to cool completely before removing from the pan",11,▢ 4 ounces cream cheese softened,▢ ½ cup unsalted butter softened to room temperature,▢ 1 ¼ cups all purpose flour,▢ ⅔ cups brown sugar,▢ 1 large egg room temperature,▢ 2 tablespoons unsalted butter melted,▢ 1 tablespoon light corn syrup optional (if you leave it out the filling will be a little firmer),▢ ½ teaspoon vanilla extract,▢ ½ teaspoon salt,▢ ¼ teaspoon ground cinnamon,▢ ⅓ cup chopped pecan pieces,NA,Fun Cookie Recipes,https://funcookierecipes.com/pecan-tassies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Pudding Cookies,Diana,"November 20, 2023",NA,5,14,NA,Pumpkin Spice Pudding Cookies,10 minutes,10 minutes,NA,20 minutes,26 cookies,7,"Preheat the oven to 350°F/180°C. Line a cookie sheet with parchment paper or silicone baking mat.
In a large bowl, using a hand held mixer beat the butter until creamy (30 seconds). Add sugar and beat until well combined (2 minutes).
Add eggs, pudding mix, and vanilla extract, and beat until the eggs are well incorporated.
In a separate bowl, combine the dry ingredients (flour, baking soda, and salt). Mix that with the wet ingredients until just combined.
Fold in the white chocolate chips.
Using a medium cookie scoop (1½ tablespoons size), scoop out cookie balls onto a cookie sheet 2 inches apart. Bake in a preheated oven for 12-14 minutes until the bottom of the cookie is lightly browned.
Allow the cookies to cool for 2 minutes on the baking sheet, then transfer to a wire rack to cool completely",10,"▢ 1 cup (2 sticks, 200g) unsalted butter softened",▢ ½ cup (100g) light brown sugar lightly packed,▢ ½ cup (100g) granulated sugar,▢ 2 large eggs at room temperature,▢ 1 3-ounce package pumpkin spice instant pudding mix,▢ 1 teaspoon pure vanilla extract,▢ 2 ½ cups (300g) all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 ½ cups white chocolate baking chips,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/pumpkin-spice-pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall Leaf Cookies,Diana,"November 17, 2023",NA,5,4,Cut Out Cookies,Fall Leaf Cookies,20 minutes,9 minutes,NA,49 minutes,36 4-inch cookies,9,"Preheat the oven to 350°F/180°C, or 160°C fan oven. Prepare a cookie sheet by lining it with parchment paper or silicone mat and set aside.
In a bowl of a stand mixer fitted with the paddle attachment, cream the butter with the sugar until smooth, light in color and creamy (2-3 minutes).
Add vanilla and egg and mix again until the egg is incorporated but don’t over whip (the longer you whip the egg, it can souffle up and the cookies will rise and you don’t want that).
Add in the flour, baking powder, and salt and mix again until just combined. Scrape the sides with a spatula so no dry flour is left. The cookie should pull away from the sides of the bowl (if it doesn’t add ½ cup of flour).
To make these marbled fall colored leaf cookies, separate the dough into three even balls. Add a few drops of food coloring to each to create yellow, red, and orange dough. Knead the coloring in by hand.
Take about a fourth of each color dough, break it into pieces with your hands, and place it on a lightly floured surface. Gently press the pieces together, then roll the dough using a rolling pin to ½ – ¼ inch thickness. You should end up with a gently swirled, marbled slab of dough.
Use a leaf cookie cutter to cut the dough into shapes. To help with any sticking, dip the cutter into flour first, and use an offset spatula to pick up the cookies from the counter.
Bake for 8-9 minutes rotating at 6 minutes for even browning (one sheet at a time). Allow to cool on the cookie sheet for 5 minutes, then transfer to a wire rack. Cool completely before icing the cookies.
If desired, decorate the cookies with white royal icing.",9,▢ 1 cup (225g) unsalted butter softened,▢ 1 cup (200g) granulated sugar,▢ 1 teaspoon pure vanilla extract,▢ 1 large egg at room temperature,▢ 3 ½ cups (420g) all purpose flour,▢ 1 ½ teaspoons baking powder,▢ ½ teaspoon salt,"▢ gel food coloring in orange, red, and yellow",▢ royal icing to decorate,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/fall-leaf-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey Macarons,Diana,"November 10, 2023",NA,4.34,3,Macarons,Turkey Macarons,40 minutes,14 minutes,NA,39 minutes,30 macarons,10,"Start by wiping down bowls, attachments, spatulas, and baking mats with vinegar to remove any grease or residue. This ensures your macarons turn out perfectly.
In a medium bowl, sift together almond flour, powdered sugar, and cinnamon. Set aside.
In a stand mixer, mix egg whites and cream of tartar on low until foamy (about 1-2 minutes). Gradually add granulated sugar and increase speed to medium, mixing until stiff peaks form (5-6 minutes). Be careful not to over-mix.
Gently fold half of the sifted dry ingredients into the meringue. Once combined, add the remaining dry ingredients. Add brown gel food coloring to achieve the desired color. Continue folding until the batter flows like ribbons and you can make a figure 8 without the batter breaking.
Line baking sheets with silicone mats. Fill a piping bag fitted with a round tip with the batter. Pipe onto the mats following a template. Tap the baking sheet to remove air bubbles and pop any remaining bubbles with a toothpick.
Bake: Preheat the oven to 300°F (150°C). Let the macarons dry for 40-45 minutes until a skin forms. Bake each tray for 13-14 minutes. Allow to cool completely on the mat before removing.
Make the Buttercream: While macarons bake, prepare the buttercream. Squeeze excess moisture from pumpkin puree using paper towels. Cream together pumpkin puree, butter, cream cheese, and brown sugar. Gradually add powdered sugar and spices until you achieve a pipeable consistency.
Pair macaron shells by size. Pipe buttercream on one shell of each pair and sandwich together. Chill in the refrigerator for at least an hour before decorating.
Decorate: Melt butterscotch chips and use a toothpick to apply to the back of candy eyes and a butterscotch chip for the beak. Add candy corns to the buttercream for tail feathers.
Store: Keep macarons in an airtight container in the refrigerator. Allow them to mature for 24 hours for optimal flavor. Bring to room temperature before serving.",17,▢ 140 grams almond flour,▢ 125 grams powdered sugar,▢ 1 teaspoon cinnamon,▢ 105 grams egg whites,▢ ¼ teaspoon cream of tartar,▢ 105 grams granulated sugar,▢ Brown gel food coloring,▢ 4 tablespoons unsalted butter room temperature,▢ 2 ounces cream cheese room temperature,▢ ¼ cup pumpkin puree,▢ 2 tablespoons brown sugar,▢ ½ teaspoon cinnamon,Fun Cookie Recipes,https://funcookierecipes.com/turkey-macarons/,▢ ½ teaspoon pumpkin spice,▢ 2 to 2 ½ cups powdered sugar,▢ ½ cup butterscotch chips,▢ Candy sprinkles for eyes,▢ One bag of candy corn,NA,NA,NA,NA,NA,NA,NA
Jack Skellington Halloween Sugar Cookies,Diana,"October 14, 2023",NA,5,7,Cut Out Cookies,Jack Skellington Sugar Cookies,45 minutes,12 minutes,NA,57 minutes,12 cookies,15,"Preheat your oven to 350°F/180°C, or 160°C if you have a fan oven. And line your baking tray with parchment paper and keep aside.
In a large bowl, sift the dry ingredients (flour, cornstarch, and salt) together. Mix and set aside.
In a stand mixer (you can also use a hand mixer for this) add in the butter, and sugar and beat it at medium speed for at least 2-3 min or until the mixture is creamy. scrape the sides of the bowl as needed.
Add in the egg and almond extract and beat until everything is incorporated well.
Add the flour mixture to the butter mixture in batches and mix till the dough is formed (the dough should pull away from the sides of the bowl).
Flatten the dough to form a disc and wrap it with a cling wrap. Refrigerate for at least an hour.
Once chilled, roll out the dough on a lightly floured surface to ¼ inch thickness and cut out round cookies using a 3-inch or 2 ½ inch cookie cutter.
Place the cutouts on the prepared baking tray and bake in the preheated oven for 12-14 minutes, or until just starting to brown on the edges.
Let the cookies cool for 5 minutes on the baking tray before transferring them to a wire rack to cool completely.
Pour the egg white into the bowl of a stand mixer fitted with a whip attachment and beat on high till it foams up. (You can also use a hand mixer for this, but it takes longer)
Lower the speed and add the powdered sugar, a little at a time to avoid creating a mess. Return to medium speed, and beat until the mixture becomes thick and starts to hold soft peaks.
Remove 1/4 of the icing from the bowl and tint it black using 3-4 drops of black food coloring. Remove another 1/4 of the icing (this will be our white outlining icing) so that there is half of the icing left in the bowl. Add 2-3 teaspoons of water to this icing to thin it out enough to fill in the cookies.
Add the three icings to piping bags fitted with small round tips, or simply cut the end of the bag to create a small opening.
Outline the cookies with the thicker white icing, then flood the cookies with the thinner white icing. Use a toothpick to move the icing into the edges if needed. Let the white icing dry completely before adding details.
Use the black royal icing to make skeleton faces, spiders, and spider webs on the cookies.",10,▢ 2 cups all-purpose flour plain flour in the UK,▢ ¼ cup cornstarch cornflour in the UK,▢ 1 pinch salt,▢ ½ cup unsalted butter at room temperature,▢ ½ cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon almond extract,▢ 2 large egg whites,▢ 3 cups powdered sugar,▢ black gel food coloring,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/halloween-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Skeleton Chocolate Sugar Cookies,Diana,"October 13, 2023",NA,5,1,Halloween,Halloween Skeleton Chocolate Sugar Cookies,35 minutes,9 minutes,NA,44 minutes,24 4 inch cookies,11,"In a medium bowl, whisk together the flour, cocoa powder, baking powder, and salt; set aside
In a bowl of a stand mixer fitted with the paddle attachment, cream the butter with shortening and sugar until smooth, light in color, and creamy (2-3 minutes).
Add vanilla and egg and mix again until the egg is incorporated but don’t over-whip (the longer you whip the egg, it can souffle up and the cookies will rise and you don’t want that).
Add in the dry ingredients in 2-3 small additions and mix until just combined. Scrape the sides with a spatula so no dry flour is left.
Form the dough into a small disc and wrap with plastic wrap. Chill in the refrigerator for at least 2 hours.
Preheat the oven to 350°F/180°C, or 160°C fan oven and line three baking sheets with parchment paper or silicone mats and set aside.
Dust a clean work surface with cocoa powder, then roll out the chilled dough into a ¼ inch thickness. Use a gingerbread man cookie cutter to cut the dough, then transfer to the prepared baking sheets at least 2 inches apart.
Bake in the preheated oven for 7-9 minutes, or until cookies have puffed up and are set in the center.
Allow to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.
Prepare the frosting by whisking together the powdered sugar, milk, corn syrup, and vanilla extract until smooth. The frosting should be very thick.
Once the cookies are completely cool, use a piping bag fitted with a narrow circle tip to decorate the cookies like skeletons.",13,▢ 2 ½ cups all-purpose flour,▢ ½ cup cocoa powder,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ ½ cup unsalted butter softened to room temperature,▢ ¼ cup vegetable shortening,▢ 1 cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 2 cups powdered sugar,▢ 2 tablespoons milk,▢ 1 tablespoon corn syrup,Fun Cookie Recipes,https://funcookierecipes.com/halloween-skeleton-chocolate-sugar-cookies/,▢ ¼ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Witch Finger Cookies,Diana,"October 6, 2023",NA,5,1,Halloween,Halloween Witch Finger Cookies,30 minutes,20 minutes,NA,20 minutes,36 cookies,8,"In a bowl, combine the flour with baking powder and salt and set aside.
In a separate bowl, using a hand or a stand mixer beat the butter with the powdered sugar until smooth and creamy. Add in the egg, vanilla extract, and almond extract, and mix again until smooth.
Next, add the dry ingredients and mix until just combined
Cover the bowl with plastic wrap, and chill in the fridge for 30 minutes.
Preheat the oven to 350°F/180°C, and line 2 cookie sheets with parchment paper or a Silpat silicone mat.
Remove the cookie dough from the fridge, and using a small 1 tablespoon size cookie scoop, scoop out cookie dough into balls. Then using your hands shape them into 3-inch cylinders and place them on the prepared cookie sheet. Press the top of each cylinder with an almond half, then using a butter knife create small indents to make the finger look real.
Bake in the preheated oven for 18-20 minutes or until the bottom of the cookie is slightly browned. Remove and allow to cool down on a wire rack.
Rub a little bit of ground cinnamon onto each finger cookie, and brush with food coloring if desired. Raspberry or strawberry can also be used.",11,▢ 2 ¾ cup all purpose flour,▢ ¾ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup unsalted butter softened to room temperature,▢ 1 cup powdered sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon pure vanilla extract,▢ ½ teaspoon almond extract,▢ ½ cup almond halves,▢ 1 teaspoon ground cinnamon optional,▢ Red food coloring optional,NA,Fun Cookie Recipes,https://funcookierecipes.com/halloween-witch-finger-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Snowball Cookies,Diana,"October 2, 2023",NA,5,5,Christmas,Chocolate Chip Snowball Cookies,10 minutes,10 minutes,NA,20 minutes,32 cookies,9,"Preheat the oven to 350°F (180°C), or 160°C for a fan oven. Line a baking sheet with parchment paper and set aside.
In a large bowl, use an electric mixer on medium speed to blend the butter and ½ cup of the powdered sugar until smooth and creamy.
Mix in the vanilla extract until well combined.
Gradually add the flour, chocolate chips, and salt, mixing until a soft dough forms.
Use a tablespoon size cookie scoop, to scoop small portions of dough, rolling them between your palms to form small balls.
Arrange the balls on the prepared baking sheet, ensuring they are spaced evenly.
Bake for 10 minutes, or until the bottoms are slightly golden brown.
Remove from the oven and, while still warm, roll them in the remaining ½ cup of powdered sugar (use a bowl or plate for this step).
Transfer the cookies to a cooling rack to cool completely. For a snowy effect, roll the cookies in powdered sugar once more before serving.",6,▢ 1 cup unsalted butter softened to room temperature,▢ 1 cup powdered sugar divided,▢ 1 teaspoon vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 1 cup mini semi-sweet chocolate chips,▢ ½ teaspoon salt,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/chocolate-chip-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Cocoa Cookies,Diana,"September 25, 2023",NA,5,2,NA,Hot Cocoa Cookies,20 minutes,10 minutes,NA,30 minutes,36 cookies,8,"In a medium saucepan over low heat, melt the semisweet chocolate and butter together until smooth. Set aside to cool slightly.
Meanwhile, in a large bowl, whisk together the flour, granulated sugar, brown sugar, cocoa powder, baking soda, and salt.
Mix in the eggs and vanilla extract into the pot with the melted chocolate mixture, then pour the chocolate mixture into the dry ingredients and stir until a dough forms. Mix in the chocolate chips. Wrap the bowl with plastic wrap and allow it to chill for 1 hour.
If chilling longer than one hour, remove the dough from the fridge 30 minutes before baking to make it soft enough to work with. Preheat the oven to 350 F, line three baking sheets with parchment paper. Scoop the dough and roll it into ping pong ball sized dough balls, place at least 2 inches apart on prepared baking sheets.
Bake the cookies for 6 minutes, then remove from the oven and press the marshmallow cut side down in the center of the cookie. Return to the oven and bake an additional 3-4 minutes, until the marshmallows are softened.
Allow the cookies to cool completely.
Add the heavy cream, butter, and cooca powder to a small saucepan over low heat and stir until butter has melted and the mixture is smooth. Add the powdered sugar to the pan and mix until completely combined. Allow to cool slightly then spoon a small amount over each cooled cookie.
Add sprinkles to the wet frosting, then allow the frosting to set for 15-20 minutes",17,▢ 8 oz semisweet chocolate broken into pieces,▢ ½ cup unsalted butter,▢ 1 ¾ cup all purpose flour,▢ ¾ cup granulated sugar,▢ ½ cup light brown sugar,▢ ¼ cup unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 2 large eggs at room temperature,▢ 1 teaspoon vanilla extract,▢ 1 cup semisweet chocolate chips,▢ 18 marshmallows cut in half,Fun Cookie Recipes,https://funcookierecipes.com/hot-cocoa-cookies/,▢ ¼ cup heavy cream,▢ 2 tablespoons unsalted butter,▢ 2 tablespoons cocoa powder,▢ 1 cup powdered sugar,▢ Sprinkles optional,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cheesecake Cookies,Diana,"September 14, 2023",NA,5,3,NA,Pumpkin Cheesecake Cookies,20 minutes,15 minutes,NA,5 minutes,12 cookies,12,"Prepare the cheesecake filling by mashing together the cream cheese, granulated sugar, and vanilla extract until smooth and creamy. Drop by heaping tablespoons to make 12 portions onto a parchment lined baking sheet or plate and freeze for at least 30 minutes to firm up.
Meanwhile, prepare the pumpkin cookie dough. Start by lining a plate with several layers of paper towel, then place the pumpkin puree on top. Press down with several more layers of paper towel to remove the excess moisture. Repeat until the pumpkin is dry and about half the volume. Set the dried pumpkin aside until needed.
In a large bowl, whisk together the flour, cinnamon, ground ginger, nutmeg, baking soda and salt; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, add the butter, brown sugar and granulated sugar and beat together until smooth and fluffy, about 3-5 minutes. Add the dried pumpkin, egg, and vanilla extract and beat until smooth and well combined.
Add the flour mixture to the butter mixture in 2-3 smaller additions, mixing well after each.
Scoop the dough into 24 equal portions using a medium cookie scoop (2 tablespoon scoop) and then flatten each slightly.
Remove the cheesecake balls from the freezer and push into the center of half the cookie dough balls. Place an additional cookie dough piece on top, then pinch the seams and roll into smooth balls.
In a medium bowl, whisk together the sugar and cinnamon until evenly combined; then put each dough ball into the cinnamon sugar and roll to coat.
Chill the dough balls in the fridge for at least one hour.
Preheat the oven to 350°F/180°C, line two baking sheets with parchment paper, and place 6 dough balls on each tray, spaced at least 2” apart
Bake in the preheated oven for 12-15 minutes, or until the cookies have spread and slightly puffed. They should be starting to turn golden at the edges and no longer be glossy on top.
Allow the cookies to cool for 5 minutes before transferring to a wire rack to cool completely.",17,▢ 6 oz. (¾ cup) cream cheese softened to room temperature,▢ ¼ cup granulated sugar,▢ ½ teaspoon vanilla extract,▢ ½ cup pumpkin purée,▢ 2 ¼ cups all purpose flour,▢ 2 teaspoons ground cinnamon,▢ ½ teaspoon ground ginger,▢ ¼ teaspoon ground nutmeg,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ ¾ cup butter softened to room temperature,▢ ¾ cup brown sugar,Fun Cookie Recipes,https://funcookierecipes.com/pumpkin-cheesecake-cookies/,▢ ½ cup granulated sugar,▢ 1 large egg room temperature,▢ 1 teaspoon vanilla extract,▢ ½ cup granulated sugar,▢ 2 teaspoons cinnamon,NA,NA,NA,NA,NA,NA,NA
Fall Sprinkle Cookies,Diana,"September 12, 2023",NA,5,1,Fall,Fall Sprinkle Cookies,15 minutes,12 minutes,NA,27 minutes,18 cookies,9,"Preheat the oven to 350°F (180°C) or 160°C fan oven. Line the cookie sheets with parchment paper or spray them with non-stick spray. Set aside.
In a medium-sized bowl, whisk together the flour, cornstrach, baking soda, baking powder, and salt. Set aside.
In a large mixing bowl, using a stand mixer or a hand mixer, beat the room temperature butter and granulated sugar until smooth and well combined.
Add the whole eggs, egg yolks, and vanilla extract to the mixture. Blend well.
Add the dry ingredients to the mixture. Mix thoroughly, scraping the sides of the bowl to ensure even mixing.
Shape the dough into balls using a 2-inch cookie scoop. Place the sprinkles in a shallow bowl. Roll each dough ball in the sprinkles until fully covered.
Gently flatten the dough balls into disk shapes and arrange them on the prepared baking sheets.
Bake in the preheated oven for 10-12 minutes, or until the edges are slightly golden but the centers remain soft and chewy. Avoid overbaking to prevent the cookies from becoming too hard.
Allow the cookies to cool on the baking sheets before transferring them to a wire rack to cool completely.",11,▢ 4 cups all-purpose flour,▢ ¼ cup cornstarch cornflour in the UK,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 1 teaspoon salt,▢ 1 cup unsalted butter at room temperature,▢ 1 ¼ cups granulated sugar,▢ 2 large eggs at room temperature,▢ 2 egg yolks at room temperature,▢ 1 teaspoon vanilla extract,▢ 1 cup sprinkles,NA,Fun Cookie Recipes,https://funcookierecipes.com/fall-sprinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Chocolate Chip Cookies,Diana,"September 5, 2023",NA,5,1,NA,Gingerbread Chocolate Chip Cookies,15 minutes,25 minutes,NA,10 minutes,17 cookies,13,"Prepare cookie sheets by lining them with parchment paper. Set aside.
In a medium-sized bowl, whisk together the flour, baking soda, cinnamon, cloves, ginger, and salt. Set aside.
In a stand mixer fitted with the paddle attachment or using a large bowl and electric hand mixer, combine the brown sugar, granulated sugar, and cubed butter. Mix until you get a sandy texture with some lumps.
Add the eggs, molasses, and vanilla, and mix until well combined.
Add the flour mixture and mix until there are no streaks of flour left, but make sure to now overmix. Scrape the sides of the bowl as needed.
Gently fold in the cinnamon chips and white chocolate chips until just combined.
Using a cookie scoop or your hands, shape the dough into ¼ cup portions and roll into balls. Place them on the prepared cookie sheets.
Chill the dough balls in the fridge for 30 minutes.
While the dough is chilling, preheat the oven to 300°F (150°C),
Place the cookie balls on the cookie sheets about 3 inches apart. Bake until they puff up and the edges start to brown, about 22-25 minutes.
Transfer the cookies immediately to a cool countertop, sliding them off the tray using the parchment paper.
Press in more cinnamon chips and white chocolate chips on top for a pretty presentation if desired.
Allow cookies to cool slightly before serving. For storage, let them cool completely.",14,▢ 2 ½ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon ground cloves,▢ ½ teaspoon ground ginger,▢ ¼ teaspoon salt,▢ ½ cup dark brown sugar packed,▢ ½ cup granulated sugar,▢ 1 cup salted butter cold and cubed,▢ 2 large eggs at room temperature,▢ ¼ cup molasses unsulphured,▢ 1 teaspoon vanilla extract,Fun Cookie Recipes,https://funcookierecipes.com/gingerbread-chocolate-chip-cookies/,▢ 1 cup cinnamon chips,▢ 1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wednesday & Enid Cookies,Diana,"September 3, 2023",NA,5,1,Halloween,Wednesday & Enid Window Cookies,20 minutes,12 minutes,NA,32 minutes,20 cookies,23,"Preheat your oven to 350°F (180°C), and line 2 cookie sheets with parchment paper.
In a stand mixer bowl, add ½ cup of the softened unsalted butter and the sugar.
Cream the mixture until light in color and fluffy using the whisk attachment.
Incorporate the vanilla extract and egg, mixing until well combined.
Replace the whisk attachment with the paddle attachment.
Add the flour to the mixture and mix until the dough is cohesive and pulls away from the sides of the bowl.
Divide the dough into two equal portions.
To one half, add the cocoa powder and the remaining ¼ cup of softened butter.
Mix using the paddle attachment until smooth. Set aside.
Take the remaining half of the dough and divide it into three equal portions.
Add a few drops of pink, yellow, and blue food coloring to each portion.
Gently knead the colors into the dough, aiming for a streaked, stained-glass appearance. Do not fully incorporate the colors.
Roll each colored portion into a log and line them up side by side.
Shape the chocolate dough into a similar-sized log and press it next to the colored logs.
Using a sharp knife, slice 1/4-inch rounds from the cookie dough log.
Reshape each round into a more circular shape, if needed, and place it on the prepared baking sheet.
Bake in the preheated oven for 12 minutes, or until the edges are set and slightly browned.
Allow cookies to cool completely.
Place chocolate chips in a microwave-safe bowl and heat for 30 seconds. Stir well.
Heat for another 30 seconds and stir again until fully melted.
Transfer the melted chocolate to a piping bag fitted with a small tip or cut a small hole at the end.
Pipe a circle of chocolate around the edge of each cookie. Divide the cookie in half with a line of chocolate, separating the two sides. Add two more lines to divide the cookie into six sections.
Complete the spider web design by connecting the lines with curved lines. Allow the chocolate to set before serving.",8,"▢ 12 tablespoons unsalted butter softened, divided into ½ cup and ¼ cup",▢ 1 cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon vanilla extract,▢ 3 cups all-purpose flour,▢ ½ cup cocoa powder,"▢ Food coloring pink, yellow, and blue",▢ ½ cup semi-sweet chocolate chips or dark chocolate,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/wednesday-enid-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple Pecan Cookies,Diana,"September 1, 2023",NA,5,2,Fall,Maple Pecan Cookies,10 minutes,12 minutes,NA,52 minutes,12 cookies,11,"Put soft butter and brown sugar in a big mixing bowl. Mix them until they’re smooth.
Add an egg, vanilla, maple extract, and maple syrup. Mix everything well.
Now add flour, baking soda, and salt. Mix until it looks like dough.
Add the chopped pecans and mix them in.
Put the dough in the freezer for about 30 minutes to chill.
Turn on the oven to 350°F (180°C).
Take the dough out of the freezer. Make small balls, about the size of a golf ball, and press them flat.
Put the flat dough pieces on a baking sheet. Bake them for 12 minutes. They should look a little brown at the edges. Let them cool down.
Put butter, salt, and maple syrup in a small pot. Heat it up until the butter melts.
Take the pot off the stove and add the powdered sugar. Mix until it’s smooth.
Drizzle the icing over the cookies.",14,▢ ½ cup unsalted butter softened to room temperature,▢ 1 cup light brown sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon maple extract optional,▢ ⅓ cup maple syrup,▢ 2 ½ cups all purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cup chopped pecans,▢ 2 tablespoons unsalted butter,▢ ½ teaspoon salt,Fun Cookie Recipes,https://funcookierecipes.com/maple-pecan-cookies/,▢ ⅓ cup maple syrup,▢ 1 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cinnamon Cookies,Diana,"August 23, 2023",NA,4.75,16,NA,Apple Cookies,15 minutes,10 minutes,NA,25 minutes,24 cookies,8,"Preheat the oven to 350°F/180°C, and line 2 large cookie sheets with parchment paper or silicone mats.
In a bowl, combine the dry ingredients: flour, baking soda, salt, and cinnamon. Set aside.
In another bowl, using a hand mixer beat the butter with the sugar until smooth and creamy (2-3 minutes). Add in the egg, and mix again until smooth.
Add in the dry ingredients and mix until just combined, then gently fold in the diced apples.
Using a medium cookie scoop (1.5 tablespoons size), scoop out the cookie dough and place onto the baking sheets.
Bake for 8-10 minutes or until the bottom of the cookie is lightly browned, remove from the oven and allow to cool on the cookie sheet for 5 minutes then transfer to a wire rack to cool completely.
In a bowl, whisk the powdered sugar with maple syrup and milk.
Drizzle over the cooled cookies.",11,▢ 1½ cup all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ ½ teaspoon ground cinnamon,▢ ¾ cup light brown sugar,▢ ½ cup (1 stick) unsalted butter softened to room temperature,▢ 1 large egg at room temperature,"▢ 1 apple diced, about 1 cup",▢ ¾ cup powdered sugar,▢ 2 teaspoons maple syrup,▢ 2 teaspoons milk,NA,Fun Cookie Recipes,https://funcookierecipes.com/apple-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
