title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,yield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
The BEST Snickerdoodle Recipe,Michelle Lettrich,4.50,61 ,Snack,American,15 minutes,15 minutes,NA,30 minutes mins,24 to 30 cookies,5,"Preheat oven to 375 degrees F. Line 3 baking sheets with silicone baking mats or parchment paper.
In a medium bowl, whisk together the flour, cream of tartar, baking soda, and salt.
Using a stand mixer fitted with paddle attachment, beat the butter, shortening, and sugar together on medium speed until light and fluffy, about 3 minutes. Beat in eggs, one at a time, until incorporated, about 30 seconds, scraping down bowl as needed.
Reduce speed to low and slowly add flour mixture until combined, about 30 seconds. Give dough final stir by hand to ensure that no flour pockets remain.
Combine the sugar and cinnamon for the coating in a small bowl or shallow dish. Working with 2 tablespoons dough at a time (or using a medium cookie scoop), roll into balls, then roll in cinnamon-sugar to coat. Arrange the cookies 8 per sheet and bake the cookies, 1 sheet at a time, until the edges are just set and beginning to brown but the centers are still soft, puffy and cracked (the cookies will look raw between the cracks and seem underdone), 8 to 12 minutes. Allow the cookies to cool on the baking sheet for 10 minutes, then transfer to a wire rack to cool completely. The cookies can bet stored in an airtight container for up to 5 days.",10,▢ 2½ cups (312.5 g) all-purpose flour,▢ 2 teaspoons cream of tartar,▢ 1 teaspoon baking soda,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ ½ cup (113.5 g) unsalted butter, softened",Brown Eyed Baker,https://www.browneyedbaker.com/the-best-snickerdoodles/,▢ ½ cup (102.5 g) vegetable shortening,▢ 1½ cups (300 g) sugar,▢ 2 eggs,▢ ¼ cup (50 g) granulated sugar,▢ 1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon-Chocolate Chip Soft Biscotti,Michelle Lettrich,5,1 ,Dessert,"American, Italian",45 minutes,30 minutes,NA,1 hour hr 15 minutes mins,8 loaves,6,"Preheat oven to 375 degrees. Line baking sheets with parchment paper or silicone baking mats.
In a large bowl, whisk together 9 cups of the flour, baking soda, and cream of tartar; set aside.
Using an electric mixer on medium speed, blend the eggs and sugar until thoroughly combined, 1 to 2 minutes. Add the margarine and blend well. Add the lemon zest and juice and mix until smooth and combined.
Reduce the mixer speed to low and gradually add the flour mixture alternatively with the milk until just combined. Using a rubber spatula, mix in the chocolate chips.
Turn the dough out onto a lightly floured surface and divide into 8 pieces. Dust the dough lightly with flour if it's too sticky to handle. Gently shape the dough into logs that are approximately 10 inches by 2 inches, then transfer to the prepared baking sheets (depending on the size of your sheets, you should be able to bake two or three loaves per sheet).
Brush the tops with the beaten egg white and sprinkle with sugar. Bake for 25 to 30 minutes, or until golden brown and tester comes out clean. Allow to cool completely before slicing. The soft biscotti can be wrapped in plastic wrap and stored at room temperature for up to 1 week. You can also add a layer of aluminum foil and freeze for up to 2 months.",12,▢ 6 whole eggs + 1 egg yolk,▢ 3 cups (600 g) granulated sugar,"▢ 2½ cups (567.5 g) margarine, at room temperature",▢ Zest of 6 lemons,▢ Juice of 1 lemon,Brown Eyed Baker,https://www.browneyedbaker.com/lemon-chocolate-chip-soft-biscotti/,▢ 1 tablespoon cream of tartar,▢ 1 tablespoon baking soda,▢ 9 to 10 cups (1125 g) all-purpose flour,▢ ½ cup (122 ml) milk,▢ 4 cups (720 g) semisweet chocolate chips,"▢ 1 egg white, lightly beaten","▢ Granulated sugar, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Meringue Cookies,Michelle Lettrich,4.65,14 ,Snack,American,20 minutes,30 minutes,NA,50 minutes mins,24 cookies,3,"Preheat the oven to 250 degrees F. Line one or two baking sheets with parchment paper, depending on the size.
Using an electric mixer with the whisk attachment, beat the egg whites on medium speed until frothy, then add the salt, cream of tartar, and vanilla extract. Increase the mixer speed to medium-high and beat to soft peaks. While continuing to beat the egg whites, gradually add the granulated sugar (I estimate that I added about 3 tablespoons at a time) and beat until glossy and stiff peaks form. Using a rubber spatula, gently fold the chocolate chips into the meringue.
Drop by heaping tablespoonfuls (or use a medium cookie scoop), onto the prepared cookie sheets. If you could fit all of the cookies on one sheet, bake it on the center rack. If you have to divide the cookies between two sheets, then adjust your racks to the upper middle and lower middle positions. Bake for 25 to 30 minutes, or until firm to the touch (if using two oven racks, then rotate the sheets halfway through baking).Turn off the oven and prop the oven door open with a wooden spoon. Allow the pavlova to cool completely in the oven (will likely take 2 to 3 hours). As soon as the cookies have cooled, store them in an airtight container in the refrigerator or at room temperature. They will keep for up to 2 weeks.",6,"▢ 2 egg whites, at room temperature",▢ Pinch of salt,▢ Pinch of cream of tartar,▢ 1 teaspoon vanilla extract,▢ ⅔ cup (133.33 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-chip-meringue-cookies/,"▢ ½ cup (90 g) mini chocolate chips, plus additional for sprinkling, if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bergers-Style Cookies,Michelle Lettrich,4.45,99 ,Dessert,American,45 minutes,20 minutes,NA,3 hours hrs,24 cookies,7,"Make the Cookies: Preheat oven to 350 degrees F. Line two baking sheets with parchment paper or silicone baking mats.
In a medium bowl, whisk together the flour, baking powder, and salt; set aside.
Using an electric mixer, beat the butter and sugar on medium-high speed until pale and fluffy, about 3 minutes. Add the egg white, heavy cream, and vanilla, and beat until combined. Reduce the speed to low and add the flour mixture in three additions, mixing until incorporated, scraping down the bowl as needed.
Working with 1 heaping tablespoon of dough at a time (my small cookie scoop was the perfect size), roll into balls and space 2 inches a part on the prepared baking sheets, 12 per sheet. Using moistened fingers, press dough balls to form disks about ¼-inch thick and 2 inches in diameter.
Bake, 1 sheet at a time, until the cookies are just beginning to brown around the edges, 8 to 10 minutes, rotating the sheet halfway through baking. Let the cookies cool completely on the baking sheet.
Make the Frosting: Once the cookies have cooled, combine the chocolate chips, heavy cream, and salt in a large bowl. Microwave the chocolate mixture at 50 percent power, stirring occasionally, until melted and smooth, 1 to 3 minutes. Whisk the cocoa powder, powdered sugar, and vanilla into the chocolate mixture until smooth. (The frosting should the texture of thick brownie batter and register about 95 degrees.)
Turn the cookies over on the baking sheets. Spoon 2 tablespoons of frosting over the flat side of each cookie to form a mound. Let the cookies sit at room temperature until the frosting is set, about 3 hours. The cookies can be stored in an airtight container at room temperature for up to 3 days.",14,▢ 2 cups (250 g) cake flour,▢ 1½ teaspoons (1.5 teaspoons) baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",▢ ¾ cup (150 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/bergers-style-cookies/,▢ 1 egg white,▢ 1½ tablespoons (1.5 tablespoons) heavy cream,▢ 1½ teaspoons (1.5 teaspoons) vanilla extract,▢ 3 cups (540 g) milk chocolate chips,▢ 1¼ cups (297.5 ml) heavy cream,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ 1⅔ cups (143.33 g) Dutch-processed cocoa powder,▢ 1¼ cups (150 g) powdered sugar,▢ 1½ teaspoons (1.5 teaspoons) vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft & Chewy Chocolate Chip Cookies,Michelle Lettrich,4.48,19 ,Snack,American,15 minutes,35 minutes,NA,2 hours hrs,24 to 30 cookies,7,"Whisk the flour, cornstarch, baking soda, and salt together in a medium bowl. Set aside.
In a large bowl, whisk the butter, brown sugar, and granulated sugar together until combined and no brown sugar lumps remain. Whisk in the egg and egg yolk, then whisk in the vanilla extract until combined.
Add the dry ingredients to the wet ingredients and stir with a rubber spatula or wooden spoon until the cookie dough comes together. Stir in the chocolate chips. The dough will be very soft and even a little wet. Cover and chill the dough in the refrigerator for at least 2 hours (and up to 4 days). If chilling for longer than 3 hours, allow it to sit at room temperature for at least 30 minutes before rolling and baking the dough will be quite hard.
Preheat oven to 325 degrees F. Line baking sheets with parchment paper or silicone baking mats. Set aside.
Roll balls of dough, 2 scant tablespoons of dough per cookie, and place 3 inches (7.5 cm) apart on the baking sheets. Bake for 12 to 13 minutes, or until lightly browned on the sides. The center will look soft.
Remove from the oven and allow to cool on the baking sheets for 5 minutes before transferring to a wire rack to cool completely.
Cookies will stay fresh in an airtight container at room temperature for up to 1 week.",11,▢ 2¼ cups (281.25 g) all-purpose flour,▢ 1½ teaspoons (1.5 teaspoons) cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ ¾ cup (170.25 g) unsalted butter, melted and slightly cooled",Brown Eyed Baker,https://www.browneyedbaker.com/soft-chewy-chocolate-chip-cookies/,▢ ¾ cup (165 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,"▢ 1 egg, at room temperature","▢ 1 egg yolk, at room temperature",▢ 2 teaspoons vanilla extract,▢ 1⅓ cups (240 g) miniature semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Better-than-Brownies Chocolate Cookies,Michelle Lettrich,4.40,28 ,Snack,American,15 minutes,12 minutes,NA,15 minutes mins,24 to 36 cookies,6,"Preheat the oven to 350 degrees F. Line two large baking sheets with parchment paper or a silicone baking mat.
Put the chocolate and butter in a heatproof bowl and set it over a saucepan of barely simmering water, stirring occasionally, until completely melted and smooth. Set aside to cool to room temperature.
In the meantime, whisk together the eggs, sugar, and vanilla extract in a medium bowl. Set aside.
In a small bowl, sift together the flour and baking powder.
Add the melted chocolate mixture to the egg mixture and stir with a rubber spatula until completely combined. Add the flour mixture in three batches, folding it gently into the batter with a spatula. Once all of the flour is incorporated, stir in the chocolate chips.
Scoop 1½ tablespoons of dough (or use a medium cookie scoop) onto prepared baking sheets. Bake for 10-12 minutes or until they are firm on the outside. Like brownies, do not over bake! Leave to cool completely on the baking sheets, then store in an airtight container at room temperature for up to 1 week. These can also be frozen for up to two months.",8,"▢ 16 ounces (453.59 g) bittersweet chocolate, finely chopped","▢ 4 tablespoons unsalted butter, at room temperature",▢ 4 eggs,▢ 1⅓ cups (266.67 g) granulated sugar,▢ 1 teaspoon vanilla extract,Brown Eyed Baker,https://www.browneyedbaker.com/better-than-brownies-chocolate-cookies/,▢ ½ cup (62.5 g) all-purpose flour,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ 1 cup (180 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levain Chocolate Chip Cookies,Michelle Lettrich,4.44,48 ,Snack,American,45 minutes,24 minutes,NA,1 hour hr 10 minutes mins,12 cookies,6,"Line a baking sheet with parchment paper; set aside.
In a medium bowl, whisk together the flour, baking powder, baking soda and salt; set aside.
Using an electric mixer, beat the butter on medium speed until it comes together in one cohesive mass, about 1 minute. Add both sugars and continue to beat for another 1 to 2 minutes, until all of the sugar has been incorporated into the butter. Gradually add the eggs and vanilla and continue beating on medium speed until combined, scraping the sides of bowl once (the batter will appear lumpy). Reduce the speed to medium-low and gradually add the flour mixture until just a little bit of flour still remains. Stir in the chocolate chips and walnuts with a rubber spatula.
Divide the dough into 12 even pieces, roughly shaping them into balls (it should not be smooth). Place them,evenly spaced, on the prepared baking sheet. Refrigerate for 30 minutes.
Preheat oven to 375 degrees F.
Bake for 18 to 24 minutes, or until light golden brown on top. Let cool for 5 minutes on the cookie sheet, then remove to a wire rack to finish cooling. Leftovers can be stored in an airtight container at room temperature for up to 4 days.",11,▢ 3 cups (375 g) bread flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon (0.25 teaspoon) baking soda,▢ ¾ teaspoon (0.75 teaspoon) kosher salt,"▢ 1 cup (227 g) unsalted butter, cold and cut into cubes",Brown Eyed Baker,https://www.browneyedbaker.com/levain-bakery-chocolate-chip-cookies/,▢ ¾ cup (165 g) + 4 teaspoons light or dark brown sugar,▢ ½ cup (100 g) granulated sugar,"▢ 2 eggs, cold, lightly beaten in a separate bowl",▢ 1 teaspoon vanilla extract,▢ 1½ cups (270 g) dark chocolate chips,▢ 1 cup (117 g) toasted and coarsely chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compost Cookies,Michelle Lettrich,4.43,26 ,Snack,American,30 minutes,18 minutes,NA,1 hour hr,20 to 20 cookies,9,"Prepare Graham Mixture: In a small bowl, stir together the graham cracker crumbs, milk powder, sugar and salt. Whisk together the butter and heavy cream, then add to the dry ingredients. Toss with a fork until the mixture is evenly moistened; set aside.
Prepare the Cookie Dough: In a medium bowl, whisk together the flour, baking powder, baking soda and salt; set aside.
Combine the butter, both sugars and glucose in the bowl of a stand mixer fitted with the paddle attachment and cream together on medium-high speed for 2 to 3 minutes. Scrape down the sides of the bowl, add the egg and vanilla, and continue to beat for 7 to 8 minutes.
Reduce mixer speed to low and add the flour mixture. Mix just until the dough comes together, no longer than 1 minute. Scrape down the sides of the bowl with a spatula.
Still on low speed, add the chocolate chips, butterscotch chips, graham mixture, oats and coffee, and mix until just incorporated, about 30 seconds. Add the potato chips and pretzels and again, mix only until barely incorporated, 15 to 20 seconds.
Using a 2¾-ounce ice cream scoop (or a ⅓-cup measuring cup), portion out the dough onto a parchment-lined baking sheet. Pat the tops of the cookie dough domes flat. Wrap the sheet pan tightly in plastic wrap and refrigerate for at least 1 hour, or up to 1 week.
Bake the Cookies: Preheat oven to 375 degrees F. Arrange the chilled dough a minimum of 4 inches apart on parchment- or Silpat-lined sheet pans (should be about 6 cookies per sheet).
Bake for 18 minutes. The cookies will puff, crackle, and spread. After 18 minutes, they should be very faintly browned on the edges yet still bright yellow in the center. Give them an extra minute or so if that's not the case.
Cool the cookies completely on the sheet pans before serving or storing. The cookies can be kept in an airtight container at room temperature for up to 5 days, or frozen for up to 1 month.",23,▢ ⅓ cup graham cracker crumbs,▢ 1 tablespoon milk powder,▢ 1½ teaspoons granulated sugar,▢ ⅛ teaspoon kosher salt,"▢ 1 tablespoon unsalted butter, melted",Brown Eyed Baker,https://www.browneyedbaker.com/momofuku-milk-bar-compost-cookies-recipe/,▢ 1 tablespoon heavy cream,▢ 1⅓ cups bread flour,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ 1 teaspoon kosher salt,"▢ 1 cup unsalted butter, at room temperature",▢ 1 cup granulated sugar,▢ ⅔ cup light brown sugar,▢ 2 tablespoons glucose,▢ 1 egg,▢ ½ teaspoon vanilla extract,▢ ¾ cup mini chocolate chips,▢ ½ cup mini butterscotch chips,▢ Prepared graham mixture,▢ ⅓ cup old-fashioned rolled oats,▢ 2½ teaspoons ground coffee,▢ 2 cups potato chips,▢ 1 cup mini pretzels
Oatmeal Chocolate Chip Cookies,Michelle Lettrich,4.50,22 ,Dessert,American,15 minutes,15 minutes,NA,30 minutes mins,24 cookies (depending on size),5,"1. Preheat oven to 350 degrees F; adjust oven racks to low and middle positions. Line baking sheets with parchment paper.
2. Whisk the flour, baking powder and salt in a small bowl; set aside.
3. Cream together the butter and both sugars on medium speed until light and fluffy, about 3 minutes. Beat in the eggs, one at a time, and then mix in the vanilla.
4. Stir in the flour mixture with a wooden spoon or a large rubber spatula, then stir in the oats and chocolate chips.
5. Using 2 heaping tablespoons per cookie, roll the dough into balls and place on the cookie sheets, spacing them at least 2 inches apart. Bake until the cookie edges are just turning golden brown, but the middles are still quite pale, about 12 to 14 minutes, rotating the sheets from front to back and top to bottom halfway through the baking time. Cool the cookies on the baking sheets for 2 minutes, then transfer to a cooling rack to cool for at least 30 minutes. Cookies can be stored in an airtight container at room temperature for up to 5 days.",10,▢ 1½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ 1 cup (227 g) unsalted butter, softened but still cool",▢ 1 cup (220 g) light brown sugar,Brown Eyed Baker,https://www.browneyedbaker.com/oatmeal-chocolate-chip-cookies-recipe/,▢ 1 cup (200 g) granulated sugar,▢ 2 eggs,▢ 2 teaspoons vanilla extract,▢ 3 cups (243 g) old-fashioned rolled oats,▢ 1½ cups (270 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Dipped Coconut Macaroons,Michelle Lettrich,4.32,19 ,Snack,American,45 minutes,20 minutes,NA,15 minutes mins,36 cookies,8,"Make the Cookies: Preheat the oven to 325°F. Line two cookie sheets with parchment paper or a silicone mat.
In a large bowl, stir together the sweetened condensed milk, egg white, vanilla and salt until combined. Stir in the coconut until well blended.
Drop the dough by tablespoonfuls about 2 inches apart onto the cookie sheets. Form the cookies into loose haystacks with your fingertips, moistening your hands with water as necessary to prevent sticking.
Bake, one sheet at a time, until the cookies are light golden brown, 15 to 20 minutes.
Cool the cookies on the baking sheets until slightly set, about 2 minutes, then remove to a wire rack with a wide metal spatula. Cool completely before dipping in chocolate.
Dip the Cookies: Melt 8 ounces of the chocolate in a small heatproof bowl set over a pan of almost-simmering water, stirring once or twice, until smooth. Remove from the heat; stir in the remaining 2 ounces chocolate until smooth.
Holding a macaroon by its pointed top, dip the bottom and ½ inch up the sides in the chocolate; scrape off the excess chocolate and place the macaroon on a prepared baking sheet. Repeat with the remaining macaroons.
Refrigerate the macaroons until the chocolate sets, about 15 minutes. The cookies can be stored in an airtight container at cool room temperature or in the refrigerator for up to 1 week.",6,▢ ⅔ cup (204 ml) sweetened condensed milk,▢ 1 egg white,▢ 1½ teaspoons (1.5 teaspoons) vanilla,▢ ⅛ teaspoon (0.13 teaspoon) salt,▢ 3½ cups (297.5 g) sweetened flaked coconut,Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-dipped-coconut-macaroons/,"▢ 10 ounces (283.5 g) semisweet chocolate, finely chopped, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook’s Illustrated Perfect Chocolate Chip Cookies,Michelle Lettrich,4.57,127 ,Snack,American,NA,28 minutes,NA,1 hour hr 30 minutes mins,16 cookies,6,"1. Preheat oven to 375 degrees F. Line 2 large (18x12-inch) baking sheets with parchment paper.
2. In a medium bowl, whisk together the flour and baking soda; set aside.
3. Heat 10 tablespoons of the butter in a 10-inch stainless steel or cast iron skillet over medium-high heat until melted, about 2 minutes. Continue cooking, swirling the pan constantly until the butter is dark golden brown and has a nutty aroma, 1 to 3 minutes. Remove skillet from heat and transfer the browned butter to a large heatproof bowl. Stir the remaining 4 tablespoons butter into the hot browned butter until completely melted. Set aside and let cool to room temperature.
4. Add both sugars, salt, and vanilla to the bowl with the butter and whisk until fully incorporated. Add the egg and egg yolk and whisk until the mixture is smooth with no sugar lumps remaining, about 30 seconds. Let the mixture stand for 3 minutes, then whisk for 30 seconds. Repeat the process of resting and whisking 2 more times until the mixture is thick, smooth, and shiny. Using a rubber spatula or wooden spoon, stir in the flour mixture until just combined, about 1 minute. Stir in the chocolate chips and give the dough a final stir to ensure there are no hidden flour pockets.
5. Scoop the dough into 16 even portions, each about 3 tablespoons, and arrange them 2 inches apart on the prepared baking sheets, 8 dough balls per sheet.
6. Bake the cookies 1 tray at a time until the cookies are golden brown but still puffy, and the edges have begun to set but centers are still soft, 10 to 14 minutes, rotating the baking sheet halfway through baking. Transfer the baking sheet to wire rack and allow cookies to cool completely before serving. Cookies can be stored in an airtight container at room temperature for up to 3 days.",10,▢ 1¾ cups (218.75 g) all-purpose flour,▢ ½ teaspoon (0.5 teaspoon) baking soda,"▢ 14 tablespoons unsalted butter, divided",▢ ¾ cup (165 g) dark brown sugar,▢ ½ cup (100 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/cooks-illustrated-perfect-chocolate-chip-cookies/,▢ 1 teaspoon salt,▢ 2 teaspoons vanilla extract,▢ 1 egg,▢ 1 egg yolk,▢ 1¼ cups (225 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini Cheesecake Cookies,Michelle Lettrich,4.48,67 ,Snack,American,10 minutes,15 minutes,NA,2 hours hrs,40 cookies,4,"Preheat oven to 375 degrees F. Line two miniature muffin pans with paper liners (you will only need 40, so leave 8 cups empty). Place one Nilla wafer in the bottom of each mini muffin well. Set aside.
Using an electric mixer on medium speed, beat together the cream cheese and sugar until light and fluffy, about 3 minutes. Add the eggs, one at a time, beating until well combined. Scrape down the sides of the bowl and mix in the vanilla extract.
Divide the batter evenly among each cup. Bake for about 15 minutes, or until the edges and top appear set.
Cool the cheesecakes completely in the pan, then transfer to an airtight container and chill for at least 2 hours. Top with a small amount of cherry pie filling. Refrigerate until ready to serve. The mini cheesecakes should be stored in an airtight container in the refrigerator for up to 1 week.",6,▢ 40 vanilla wafers,"▢ 16 ounce (453.59 g) package cream cheese, at room temperature",▢ ½ cup (100 g) granulated sugar,"▢ 2 eggs, at room temperature",▢ 1 teaspoon vanilla extract,Brown Eyed Baker,https://www.browneyedbaker.com/mini-cheesecake-cookies/,▢ Cherry pie filling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Lover’s Monster Cookies,Michelle Lettrich,4.63,16 ,Snack,American,15 minutes,11 minutes,NA,25 minutes mins,18 to 20 cookies,6,"Preheat oven to 350 degrees F and line two baking sheets with parchment paper.
In a small bowl, whisk together the flour, baking soda, baking powder, cornstarch and salt; set aside.
Using an electric mixer, beat the butter, brown sugar and peanut butter on medium speed until light and fluffy, about 3 to 4 minutes. Add the egg and vanilla extract and beat to combine.
Reduce the mixer speed to low and slowly add the flour mixture to the wet ingredients and mix until just combined. Using a rubber spatula, stir in the oats, chocolate chips, peanut butter chips, and Reese's Pieces candies by hand.
Measure out ¼ cup balls of dough and place them on the baking sheets, at least 2 inches apart. Flatten slightly with the palm of your hand. Bake until the edges are just starting to brown and the top still looks slightly undercooked, about 11 to 13 minutes.
Remove from the oven and cool for 5 minutes on the baking sheet before transferring them to a wire rack to cool completely. Cookies can be stored in an airtight container at room temperature for up to 4 days.",14,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",▢ 1 cup (220 g) light brown sugar,▢ ½ cup (129 g) creamy peanut butter,▢ 1 egg,▢ 2 teaspoons vanilla extract,Brown Eyed Baker,https://www.browneyedbaker.com/peanut-butter-monster-cookies/,▢ ¾ cup (93.75 g) all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon (0.25 teaspoon) baking powder,▢ 1 teaspoon cornstarch,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ 1½ cups (121.5 g) old-fashioned oats,▢ ½ cup (90 g) semisweet chocolate chips,▢ ½ cup (85 g) peanut butter chips,▢ 1 cup (188 g) Reese's Pieces candies,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No-Bake Snowball Cookies (Paleo, Gluten-Free)",Michelle Lettrich,5,2 ,Snack,American,30 minutes,NA,NA,30 minutes mins,12 cookies,4,"Line a baking sheet with parchment paper; set aside.
Place the pecans and shredded coconut in the bowl of a food processor and process until the pecans are finely ground. Add all of the remaining ingredients and process until a sticky dough is formed (if you grab a small amount of the mixture and pinch it between your fingers, it should stick together).
Scoop tablespoonfuls of dough and shape into balls, then place on the prepared baking sheet and freeze for at least 1 hour.
Place extra arrowroot powder in a small bowl and roll the snowballs to coat. Store the snowballs in an airtight container in the refrigerator for up to 1 month.",8,▢ 1 cup (99 g) pecan halves,▢ ½ cup (46.5 g) shredded unsweetened coconut,"▢ 1 cup (147 g) soft Medjool dates, pitted (about 10 dates)",▢ 1 tablespoon coconut oil,▢ ½ teaspoon (0.5 teaspoon) sea salt,Brown Eyed Baker,https://www.browneyedbaker.com/paleo-snowball-cookies/,▢ ½ teaspoon (0.5 teaspoon) vanilla extract,"▢ ½ cup (64 g) arrowroot, or tapioca starch","▢ Extra arrowroot, for rolling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sadelle’s Oatmeal Raisin Cookies,Michelle Lettrich,4.16,44 ,Snack,American,45 minutes,17 minutes,NA,4 days d,15 cookies,6,"Place the raisins in a small bowl and cover with hot water. Soak for 30 minutes, then drain.
In a small bowl, sift together the flour, cinnamon, baking soda and salt.
Using an electric mixer, cream together the butter and sugars on medium speed until light and fluffy, about 3 minutes, scraping down the sides of the bowl as needed.
Reduce the mixer speed to low and add the flour mixture all at once. Mix on low speed until combined. With the mixer still on low speed, mix in the oats, followed by the drained raisins, egg and vanilla extract.
Use a ¼-cup measuring cup to scoop the dough onto a parchment paper-lined baking sheet. Flatten each blob slightly with the bottom of the measuring cup. Cover the baking sheet with plastic wrap and refrigerate for 4 days.
When ready to bake the cookies, preheat the oven to 350 degrees F. Bake until the cookies are golden brown around the edges but still soft in the middle, about 17 minutes. Remove from the oven and let rest on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.",12,▢ 1 cup (145 g) raisins,▢ Hot water,▢ 1¼ cups (156.25 g) all-purpose flour,▢ 4 teaspoons ground cinnamon,▢ 2 teaspoons baking soda,Brown Eyed Baker,https://www.browneyedbaker.com/sadelles-oatmeal-raisin-cookies/,▢ 1½ teaspoons (1.5 teaspoons) fine sea salt,"▢ ¾ cup (170.25 g) unsalted butter, slightly softened",▢ 1 cup (220 g) light brown sugar,▢ 6 tablespoons granulated sugar,▢ 2 cups (162 g) old-fashioned oats,▢ 1 egg,▢ 1½ teaspoons (1.5 teaspoons) vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The $250 Neiman Marcus Cookie,Michelle Lettrich,4.46,233 ,Snack,American,15 minutes,10 minutes,NA,20 minutes mins,30 cookies,4,"Preheat oven to 375 degrees F. Line three baking sheets with parchment paper.
Blend the oats in a food processor or blender to a fine powder. In a medium bowl, whisk together the blended oats with the flour, baking powder, baking soda and salt; set aside.
In the bowl of an electric mixer, cream together the butter and both sugars until light and fluffy, 3-4 minutes. Scrape down the sides of the bowl and beat in the eggs one at a time, beating well after each addition. Beat in the vanilla extract. Reduce the mixer speed to low and gradually add the flour mixture, beating just until incorporated. With a rubber spatula, fold in the chocolate chips, grated chocolate and walnuts.
Roll the dough into 2-ounce balls (or about 2 heaping tablespoonfuls worth) and place about 2 inches apart on the baking sheets. Bake one sheet at a time until the edges are set but the center still looks undone, about 10 minutes. Cool the cookies completely on the baking sheets. The cookies can be stored in an airtight container at room temperature for up to 4 days (they can also be frozen for up to 2 months).",13,▢ 2½ cups (202.5 g) rolled oats,▢ 2 cups (250 g) all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon (0.5 teaspoon) salt,Brown Eyed Baker,https://www.browneyedbaker.com/the-famed-neiman-marcus-cookie/,"▢ 1 cup (227 g) unsalted butter, at room temperature",▢ 1 cup (200 g) granulated sugar,▢ 1 cup (220 g) light brown sugar,▢ 2 eggs,▢ 1 teaspoon vanilla extract,▢ 12 ounces (340.2 g) semisweet chocolate chips,"▢ 4 ounces (113.4 g) milk chocolate, grated or finely chopped",▢ 1½ cups (175.5 g) chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
