title,author,rating,ratingnum,description,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49
Pistachio Sugar Cookie Squares,Lord Byron’s Kitchen,5, 16 ,"The uncomplicated and delicious sugar cookie gets a fresh, new flavour profile, and an upgrade in this Pistachio Sugar Cookie Squares recipe.  The classic sugar cookie base is pistachio flavoured and prepared with boxed pistachio pudding powder.  Topped with a layer of delicious buttercream frosting and sprinkled with roasted, salted chopped pistachios, this cookie is simply irresistible!",Recipes,Prep Time 25 minutes mins, Cook Time 20 minutes mins,NA,Total Time 45 minutes mins,16 squares,10,"Begin by preheating your oven to 350 degrees F. Line a 9×9 baking pan with parchment paper. Fold the parchment paper so that it fits snugly in the pan. I use two sheets – one folded to fit the length of the pan and another folded to fit across the pan. Allow the excess parchment paper to hang out over the side of the pan. Once the confection is firm, use the excess parchment to lift the whole block out of the pan to make it easy to cut into squares.
Next, add the softened butter, dry pistachio pudding mix, and the sugar to a large mixing bowl. Beat until creamy and well combined. 
Add in the eggs, vanilla extract, and almond extract. At this point, add a drop of two of liquid green food colouring as well if you prefer a more vibrant green colour to your finished squares. Beat into the butter mixture.
 Finally, add in the flour and baking powder. Beat to combine.
Press the cookie dough into the prepared baking pan. Bake for 20 minutes or until the outer edges of the cookie dough is just very lightly browned. Remove from the oven and allow to fully cool before frosting.
To prepare the frosting, beat the vegetable shortening in a large mixing bowl. Add the confectioner’s sugar one cup at a time, beating well after each addition. Next, beat in the vanilla extract and milk. 
Once the sugar cookie base is fully cooled, you can frost it. If you want to remove the base from the pan before frosting, lift it straight up and out using the excess parchment paper you left draped over the sides when preparing the pan for baking. If you prefer, you can leave the sugar cookie base in the pan and frost it as is. Lifting it out makes it easier to slice it into squares.
Make sure your frosting is at room temperature. Smear the frosting evenly onto the sugar cookie base. 
Once the frosting is applied, sprinkle over the prepared pistachios. The thickness of the frosting and the light airiness of the chopped pistachios means that in all probability, they will not stick to the frosting. This is easy to fix. Simply lay your hand gently onto the pistachios and push down to embed them just slightly into the frosting.
These squares will stay fresh for about 3-5 days in a covered container and in a cool place.",14,"3/4 cup salted butter, softened",2 packages Pistachio Pudding Mix,1/2 cup sugar,"2 large eggs, room temperature",1 1/2 teaspoons vanilla extract,1/2 teaspoon almond extract,"1-2 drops green food colouring, optional",2 cups all-purpose flour,1/4 teaspoon baking powder,"3/4 cup vegetable shortening, softened",2 cups confectioner's sugar,2 teaspoons vanilla extract,2 tablespoons milk,1/2 cup chopped roasted salted pistachios,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/pistachio-sugar-cookie-squares/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookie Cake,Lord Byron’s Kitchen,5, 10 ,"One giant cookie that eats like a cake, this M&M Cookie Cake is perfect when served with a dollop of frosting on each slice. Loaded with candy-coated chocolate and autumn sprinkles, this cake is a fun dessert the whole family will love!",Recipes,Prep Time 20 minutes mins, Cook Time 25 minutes mins,NA,Total Time 45 minutes mins,8 servings,10,"Begin by preheating your oven to 350 degrees F. Lightly spray a 10-inch springform pan with nonstick cooking spray and set it aside. 
Next, in a mixing bowl, beat together the butter and both sugars until they are light and fluffy. 
Once that is done, beat in the eggs, and then the vanilla extract. It’s important to beat the mixture for a solid two minutes after the extract has been incorporated.
Add the flour and baking soda. Beat until just combined. Do not overmix! 
Add the white chocolate chips and half of the sprinkles. Use a wooden spoon or a sturdy spatula to fold them into the batter. 
Transfer the batter to the prepared springform pan. Push the batter to flatten it into the pan, trying to get a level surface. 
Top with the M&Ms and the rest of the sprinkles.
Bake for 25 minutes or until the outer edges of the cookie have browned. 
Once baked, remove from the oven and place onto a wire cooling rack. Allow the cookie to cool for 30 minutes. Release the spring on the pan and remove the cookie from the pan. Transfer it to the cooling rack to finish cooling completely.
When ready to serve, slice the cookie cake into eight wedges. Top each slice with the frosting and garnish with more sprinkles, if desired. Enjoy!",12,"1 cup butter, softened","1/2 cup brown sugar, lightly packed",1/2 cup sugar,"2 large eggs, room temperature",2 teaspoons vanilla extract,2 1/4 cups all purpose flour,1/2 teaspoon baking soda,1 cup white chocolate chips,1/2 cup M&M candy,1/4 cup sprinkles,1/2 cup vanilla cake frosting,non-stick cooking spray,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/mm-cookie-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jigsaw Pinwheel Cookies,Lord Byron’s Kitchen,5, 11 ,"Despite their horror-ish name and their bloody demeanour, Jigsaw Pinwheel Cookies are a light and buttery delight! Liberally dusted with red sanding sugar, the biscuit-like dough is rolled to form the look of Jigsaw's red and white spirally cheeks. Complete with a splattering of homemade edible blood, these cookies are perfect for Halloween and the Saw franchise fan!",Recipes,Prep Time 30 minutes mins, Cook Time 10 minutes mins,NA,Total Time 40 minutes mins,24 cookies,16,"Preheat oven to 400 degrees F.  Line a baking sheet with parchment paper or a silicone baking mat and set aside.
In a large mixing bowl, use a hand-held mixer to beat together the butter and the sugar until well incorporated.
Add the egg and beat into the butter and sugar.
Next, add the milk and vanilla extract.  Beat to combine.
Sift together the flour, baking powder, and salt.
Add the dry ingredients into the wet mixture and beat well to combine.
When a dough is formed, pat into a ball and place the dough into the fridge to cool for 15 minutes.
Once the dough has cooled, roll dough on a lightly greased three-quarter-sized sheet pan. This will ensure you get a dough that measures 21 x 15″ 
Use a pastry brush to brush the butter over the surface of the rolled dough.
Sprinkle the red sanding sugar over the buttered dough.  
Carefully lift the dough slightly from one end and begin rolling the dough into a long cylinder, working your way down the side of the rolled dough.  Try to roll as tightly as possible without breaking or tearing the dough.
Once rolled, use a sharp knife to slice the rolled dough into 1/3 inch slices.  Place onto the prepared baking sheet, leaving two inches of space between each roll.
Bake for 10 minutes.  Remove from oven and allow to cool on the baking sheet for 2-3 minutes.  Transfer to a wire cooling rack to finish cooling.
To make the edible blood, measure all of the ingredients into a bowl and whisk until very well combined. Whisk slowly! If you whisk vigorously, you will incorporate air bubbles into the blood. Try to avoid that.
Use a thin wire whisk to dip into the edible blood and drizzle it over the cookies in a gently swishing motion. If you want to create a spatter effect, dip a plastic straw into the edible blood and allow the excess to drip off. Hold the straw over the cookies and use your index finger to flick the straw in the direction of the splatter. 
Do not apply the edible blood until you are ready to serve!",15,"1/4 cup butter, softened",1/4 cup sugar,1 large egg,3/4 cup milk,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,4 teaspoons baking powder,1/2 teaspoon salt,"1/2 cup butter, softened",3/4 cup red sanding sugar,1/2 cup white corn syrup,1 tablespoon water,1 tablespoon red food colouring,1/2 tablespoon chocolate syrup,1 tablespoon cornstarch,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/jigsaw-pinwheel-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Halloween Cookies,Lord Byron’s Kitchen,5, 12 ,"Chocolate Halloween Cookies have a slightly crispy exterior with a dense chocolaty center. Stuffed with white chocolate chips and topped with green, purple, and orange M&M candy, these cookies are both delicious and festive!  Your little trick-or-treaters are going to love these!",Recipes,Prep Time 10 minutes mins, Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,30 cookies,10,"Preheat oven to 350 degrees.  Line a baking sheet with a silicone baking mat or parchment paper.  Set aside.
In a mixing bowl, use a hand-held mixer to beat together the butter and the sugar until well combined.
Add the eggs and vanilla extract.  Beat into the butter and sugar mixture.
Sift together the flour, cocoa powder, baking soda, and salt.  Add it to the wet ingredients and mix until well incorporated.
Next, stir in the white chocolate chips.
Portion out 1 heaping tablespoon of the cookie dough.  Roll into a ball and place onto the prepared baking sheet.
With the palm of your hand, flatten the cookie ball to just under half of an inch thick.  Top the cookie with 6-8 Halloween-themed candy coated chocolates.
Repeat until you have used up all of the cookie dough, leaving two inches of space between each cookie.
Bake for 12 minutes.  
Allow to cool on baking sheet for 5 minutes.  Transfer cookies to a wire cooling rack to finish cooling.",10,"1/2 cup butter, softened","1 1/2 cups brown sugar, lightly packed",2 large eggs,2 teaspoons vanilla extract,2 cups all purpose flour,1/2 cup cocoa powder,1 teaspoon baking soda,1/2 teaspoon salt,1 1/2 cups white chocolate chips,1 cup Cadbury Mini Eggs,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/chocolate-halloween-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark Chocolate Chunk Cookies,Lord Byron’s Kitchen,5, 9 ,"Dark Chocolate Chunk Cookies are slightly crispy on the outside, with a moist and dense chocolaty centre. Stuffed with dark chocolate chunks and topped with a few too, these are substantial cookies, meaning that they are thick and filling. Great for dunking in a glass of cold milk too!",Recipes,Prep Time 10 minutes mins, Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,30 cookies,10,"Preheat oven to 350 degrees.  Line a baking sheet with a silicone baking mat or parchment paper.  Set aside.
In a mixing bowl, use a hand-held mixer to beat together the butter and the sugar until well combined.
Add the eggs and vanilla extract.  Beat into the butter and sugar mixture.
Sift together the flour, cocoa powder, baking soda, and salt.  Add it to the wet ingredients and mix until well incorporated.
Next, stir in 1 cup of the dark chocolate chunks.
Portion out 1 heaping tablespoon of the cookie dough.  Roll into a ball and place onto the prepared baking sheet.
With the palm of your hand, flatten the cookie ball to just under half of an inch thick.  Top the cookie with a few of the remaining dark chocolate chunks and a sprinkling of the sanding sugar.
Repeat until you have used up all of the cookie dough, leaving two inches of space between each cookie.
Bake for 12 minutes.   
Allow to cool on baking sheet for 5 minutes.  Transfer cookies to a wire cooling rack to finish cooling.",10,"1/2 cup butter, softened","1 1/2 cups brown sugar, lightly packed",2 large eggs,2 teaspoons vanilla extract,2 cups all purpose flour,1/2 cup cocoa powder,1 teaspoon baking soda,1/2 teaspoon salt,2 cups dark chocolate chunks,"1/4 cup sanding sugar, optional",NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/dark-chocolate-chunk-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spritz Sandwich Cookies,Lord Byron’s Kitchen,5, 10 ,"Everyone loves a spritz cookie, especially at Christmas! But, why should they only make an appearance once a year? In this version, I've coloured the cookie dough red and blue and sandwiched them with white frosting. These are most certainly bright and festive – perfect for your 4th of July celebrations!",Recipes,Prep Time 40 minutes mins, Cook Time 8 minutes mins,NA,Total Time 48 minutes mins,120 cookies,14,"Preheat oven to 350 degrees and prepare a baking sheet by lining it with a silicone baking mat.  Set aside.
In a mixing bowl, beat together 1 cup of the butter and 1 cup of the sugar until well combined – about 2 minutes.
Add in 1 egg and 1 teaspoon of vanilla extract.  Beat into the butter and sugar mixture until completely incorporated.
Add the red food colouring and beat into the egg and butter mixture.  
Sift together 2 1/4 cups of flour, and 1 teaspoon of the baking powder.  Add to the butter mixture and beat until just combined.
Load the cookie dough into a cookie press which has been fitted with the disc of your choosing.  
Press the dough onto the prepared baking sheet, leaving 1 inch of space between each cookie.
Bake for 8 minutes.  Remove from oven and allow the cookies to cool slightly on the baking sheet for 2 minutes.  Transfer the cookies to a wire cooling rack to finish cooling.
Repeat ALL of the steps above, but this time, use blue food colouring.
Beat the vegetable shortening in a large mixing bowl. 
Add the confectioner’s sugar one cup at a time, beating well after each addition. 
Next, beat in the vanilla extract and milk until fully incorporated.
Once the cookies are fully cooled, spread one cookie with a teaspoon of frosting and top it with a second cookie.  Be sure to use one red and one blue cookie!
For best results, keep cookies refrigerated.",11,"2 cups butter, softened",2 cups confectioner's sugar,2 large eggs,2 teaspoons vanilla extract,4 1/2 cups all-purpose flour,2 teaspoons baking powder,food colouring both red and blue,4 cups confectioner's sugar,1 1/2 cups vegetable shortening,2 teaspoons vanilla extract,2 tablespoons milk,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/spritz-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Lilac Cookies,Lord Byron’s Kitchen,5, 20 ,"Prepare these cookies in advance and bake them up in a hurry whenever needed. Straight from the fridge to the oven, Lilac Lemon Cookies are delicious and pretty too! As an added bonus, these cookies can be rolled, wrapped, and frozen for up to three months! Then, when ready, thaw, slice, and bake!",Recipes,Prep Time 15 minutes mins, Cook Time 10 minutes mins,NA,Total Time 1 hour hr 25 minutes mins,45 cookies,8,"In a mixing bowl, use a hand-held mixer to beat together the butter and lilac sugar. Beat for 3 minutes or until the mixture is light and fluffy. 
Next, add the flour. If you used unsalted butter, add 1/4 teaspoon of salt now too. With your beater on a low setting, beat the dry ingredients into the butter and sugar mixture until well combined. 
Finally, add in the lemon zest and lilac petals. Use a wooden spoon to mix the zest and flowers into the cookie batter.
Finally, turn the dough out onto a sheet of parchment paper. Form the dough into a long log, about 45 centimeters or 18 inches in length. 
Roll the log in the parchment paper and then into plastic wrap. Refrigerate for 1 hour. 
When ready to bake, preheat your oven to 350 degrees F. Next, prepare a baking sheet by lining it with a silicone liner or with parchment paper and set it aside.
Remove the plastic wrap and parchment paper from the cookie log. Using a sharp knife, cut the log into one centimeter or 3/8 inch slices. 
Lay the slices onto the prepared baking sheet about an inch apart. Bake for 10-12 minutes or until the bottom edge of the cookies have browned. Remove from oven and allow cookies to cool on baking sheet for 5 minutes. Remove and transfer cookies to a wire cooling rack to finish cooling.",6,"1 cup salted butter, softened",1/2 cup lilac sugar https://www.lordbyronskitchen.com/lilac-infused-sugar/,1 1/2 cups all purpose flour,1 tablespoon lemon zest,2 cups lilac petals,"confectioner's sugar, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/lilac-lemon-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Glazed Oatmeal White Chocolate Cookies,Lord Byron’s Kitchen,5, 12 ,"These cookies are both sweet and tart, and completely indulgent too! The flavour combination is created by pairing lemon zest and juice with oats, sugar, white chocolate chips, and vanilla pudding mix! Lemon Glazed Oatmeal White Chocolate Cookies are massively large, soft and chewy, and absolutely delicious!",Recipes,Prep Time 15 minutes mins, Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,NA,10,"Preheat oven to 350 degrees F and prepare a baking sheet by lining with a silicone liner or with parchment paper.  Set aside.
In a large bowl, use a mixer to beat together the butter, sugar, eggs and lemon juice. Beat until smooth.
Add the following ingredients in this order: flour, oats, baking soda, salt, cornstarch, lemon zest, and dry vanilla pudding mix.  Use the mixer, set to low speed, then mix together the dry ingredients slightly before beginning to blend the dry into the wet ingredients.  Just mix until combined; don't over mix.
Stir in the white chocolate chips.
Use a #20 cookie scoop, or portion the batter into 3 tablespoon mounds.  Roll into balls and place onto the prepared baking sheet.  Bake only 6 cookies per sheet.  These cookies are big!
Gently flatten the ball of cookie batter to about 1/2 inch thick.  (You can push a few extra white chocolate chips into the tops of the flatten cookie dough if you wish.  This step is optional.)
Bake for 15 minutes.
Remove from oven and allow to cool on the baking sheet for 2-3 minutes before transferring to a cooling rack to finish cooling.
Once the cookies are completely cooled, stir the lemon juice into the confectioner’s sugar until a thin, smooth frosting is formed. Divide the frosting into two bowls. Tint one bowl of frosting with yellow food colouring and leave the other bowl of frosting white.  Tinting half of the glaze with yellow is optional.
Lay the cookies face up onto a wire cooling rack with a baking sheet underneath to catch any dripping glaze. You can use a fork to drizzle the glaze over the cookies, but I like to transfer the glaze to a small Ziploc bag and cut off a little bit of one of the lower corners of the bag. Then, working in a zigzag motion, drizzle the white glaze over the cookies first, followed by the yellow glaze. Once the cookies are glazed, allow them to fully dry before packaging.",15,"1 cup unsalted butter, room temperature",1 cup sugar,2 large eggs,2 tablespoons lemon juice,1 1/2 cups all purpose flour,3 cups quick oats,1 teaspoon baking soda,1 teaspoon salt,4 teaspoons cornstarch,1 tablespoon lemon zest,1 package Instant Vanilla Pudding Mix,2 cups white chocolate chips,2 cups confectioner's sugar,1 tablespoon lemon juice,"yellow food colouring, optional",NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/lemon-glazed-oatmeal-white-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springtime Flower Cookies,Lord Byron’s Kitchen,5, 10 ,"A good spritz cookie should taste slightly sweet and buttery. The cookie should be slightly crumbly, but not dry, and it should feel like it’s melting in your mouth. Topped with a single candy coated chocolate, these Springtime Flower Cookies are not only delicious, but pretty and cheerful too!",Recipes,Prep Time 20 minutes mins, Cook Time 7 minutes mins,NA,Total Time 27 minutes mins,100 cookies,8,"Preheat oven to 350 degrees F and prepare a baking sheet by lining it with a silicone baking mat.  Set aside.
In a mixing bowl, beat together the butter and the sugar until well combined – about 2 minutes.
Add the egg and the vanilla extract.  Beat into the butter and sugar mixture until completely incorporated.
Sift together the flour, and baking powder.  Add to the butter mixture and beat until just combined.
Load the cookie dough into a cookie press which has been fitted with the disc of your choosing.  
Press the dough onto the prepared baking sheet, leaving 1 inch of space between each cookie.
Top the middle of each pressed cookie with one Cadbury Mini Egg.  Press it just slightly into the dough.
Bake for 7 minutes.  Remove from oven and allow the cookies to cool slightly on the baking sheet for 2 minutes.  Transfer the cookies to a wire cooling rack to finish cooling.",7,"1 cup butter, softened",1 cup confectioner's sugar,1 large egg,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour,1 teaspoon baking powder,1 cup Cadbury Mini Eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/springtime-flower-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadbury Chocolate Cookies,Lord Byron’s Kitchen,NA,NA,"Cadbury Chocolate Cookies are slightly crispy on the outside, with a moist and dense chocolaty center. Stuffed with white chocolate chips and topped with chocolate mini eggs, these are substantial cookies, meaning that they are thick and filling. Great for dunking in a glass of cold milk too!",Recipes,Prep Time 10 minutes mins, Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,30 cookies,10,"Preheat oven to 350 degrees.  Line a baking sheet with a silicone baking mat or parchment paper.  Set aside.
In a mixing bowl, use a hand-held mixer to beat together the butter and the sugar until well combined.
Add the eggs and vanilla extract.  Beat into the butter and sugar mixture.
Sift together the flour, cocoa powder, baking soda, and salt.  Add it to the wet ingredients and mix until well incorporated.
Next, stir in 1 cup of the white chocolate chips.
Portion out 1 heaping tablespoon of the cookie dough.  Roll into a ball and place onto the prepared baking sheet.
With the palm of your hand, flatten the cookie ball to just under half of an inch thick.  Top the cookie with a few of the remaining white chocolate chips.
Repeat until you have used up all of the cookie dough, leaving two inches of space between each cookie.
Bake for 12 minutes.  Remove from oven and immediately press three or four Cadbury Mini Eggs into the tops of each cookie.  
Allow to cool on baking sheet for 5 minutes.  Transfer cookies to a wire cooling rack to finish cooling.",10,"1/2 cup butter, softened","1 1/2 cups brown sugar, lightly packed",2 large eggs,2 teaspoons vanilla extract,2 cups all purpose flour,1/2 cup cocoa powder,1 teaspoon baking soda,1/2 teaspoon salt,1 1/2 cups white chocolate chips,1 cup Cadbury Mini Eggs,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/cadbury-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Easter Egg Cookies,Lord Byron’s Kitchen,5, 26 ,"Frosted Easter Egg Cookies are prepared with a light and airy shortbread cookie base consisting of only three ingredients! Once cooled, they are frosted with an easy to make royal icing, which hardens and crisps when dried. Topped with sprinkles or simply frosted with whimsical patterns, it's hard to eat only one of these cookies!",Recipes,Prep Time 20 minutes mins, Cook Time 12 minutes mins,NA,Total Time 2 hours hrs 2 minutes mins,24 cookies,7,"Use a mixer to beat the butter and sugar until well blended in a large bowl. Then, add the flour and blend into the butter mixture until just incorporated.  Do not over mix!
Separate the dough into two equal portions and wrap them well in plastic wrap.  Refrigerate for 15 minutes. In the meantime, preheat your oven to 350 degrees F and prepare a baking sheet by lining it with a silicone mat or parchment paper.  Set aside. 
Remove the dough from the fridge. Working with one batch at a time, roll the dough between two sheets of parchment paper to 1/4 inch thick.
Use a cookie cutter to cut out the desired shapes. Transfer the dough to the baking sheet using a flat, slotted, metal spatula.  Leave 2 inches between each cookie. Bake for 12 minutes.  Remove from oven promptly and allow cookies to rest for 2 minutes before transferring to a wire cooling rack to finish cooling. Re-roll the left over dough, and bake the next batch.  
Once cookies are cooled, prepare the royal icing by beating the egg whites in a bowl until lightly frothy, about 90 seconds. Add in the sifted confectioner’s sugar one cup at a time, beating well to incorporate into the egg whites. Finally, beat in the vanilla extract. 
Prepare both an outlining and a flooding icing from the batch of icing you just made.  See the notes section below.
Once the cookies are decorated, allow the royal icing to dry until set up.  The icing will be firm to the touch.  Store in a cookie tin on your countertop.  Enjoy!",9,"2 cups salted butter, softened",1 cup confectioner's sugar,4 cups all-purpose flour,3 large egg whites,"4 cups confectioner's sugar, sifted",1 teaspoon vanilla extract,water,sprinkles,food colouring,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/frosted-easter-egg-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Heart Cookies,Lord Byron’s Kitchen,5, 1 ,"These adorable bite-sized cookies are bound to be a complete hit! They look stunning all on their own, but are perfect for gift giving to your favourite valentine! Valentine Heart Cookies are prepared with a basic butter and sugar cookie, rolled in pink sugar, and topped with a chocolate heart!",Recipes,Prep Time 15 minutes mins, Cook Time 11 minutes mins,NA,Total Time 26 minutes mins,48 cookies,7,"Preheat oven to 350 degrees.  Line a baking sheet with parchment paper or a silicone baking mat.  Set aside.
In a mixing bowl, use a hand-held mixer to beat together the butter and sugar until light and fluffy.
Add in the egg yolks and vanilla extract.  Beat to combine.
Add the flour and mix into the butter mixture until just combined.  Don't over mix.
Portion into one teaspoon and roll into balls.  Roll each ball into the sanding sugar and place on the prepared baking sheet.
Push a heart-shaped chocolate chop into the center of the cookie.  
Bake for 11 minutes.  Remove from oven and allow cookie to cool on the baking sheet for 3-5 minutes.  Transfer the cookies to a wire cooling rack to finish cooling.",7,"1 cup butter, softened",2/3 cup sugar,2 large egg yolks,1 teaspoon vanilla extract,2 1/3 cups all purpose flour,1/2 cup sanding sugar,"1/2 cup chocolate chips, heart-shaped",NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/valentine-heart-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Shortcake Sugar Cookies,Lord Byron’s Kitchen,4.79, 14 ,"The uncomplicated and delicious sugar cookie gets a fresh, new flavour profile, and an upgrade in this Strawberry Shortcake Sugar Cookies recipe. A classic sugar cookie base is topped with a simple glaze and sprinkled with homemade shortcake crumbs. These would make a great giftable dessert idea for Valentine's Day!",Recipes,Prep Time 30 minutes mins, Cook Time 12 minutes mins,NA,Total Time 42 minutes mins,32 cookies,14,"Preheat oven to 350 degrees.  Line a baking sheet with parchment paper or a silicone baking mat.  Set aside.
In a large bowl, use a mixer to beat together the butter and sugar until creamy and light yellow in colour.  (About 4-5 minutes.)
Add the eggs one at a time and beat into the butter and sugar mixture.
Beat in the vanilla extract.
Sift in the flour, salt, and baking powder.  Beat into the wet mixture until well combined.
Portion the cookie dough into heaping tablespoons.  Roll into a ball and place onto the prepared baking sheet.
Press down on each ball until ball is flattened to just over 1/4 inch thick.  (I used the bottom of a drinking glass.)
Bake for 10 minutes.  Remove from oven and allow to cool for 2-3 minutes before transferring to a wire cooling rack to finish cooling.
Once completely cooled, stir the milk into the confectioner's sugar until a thin, smooth frosting is formed.
Divide the frosting into two bowls.  Tint one bowl with pink frosting and leave the other bowl white.  
Lay half of the cookies face up onto a wire cooling rack with a baking sheet underneath to catch any dripping frosting. Lay the other half on a separate cooling rack and baking sheet combo. 
You can use a fork to drizzle the frosting over the cookies, but I like to transfer the frosting to a small Ziploc bag and cut off a little bit of one of the lower corners of the bag. Then, working in a zigzag motion, drizzle the frosting over the cookies. 
Once the cookies are frosted, sprinkle over the Strawberry Shortcake Crumbs. 
Allow frosting to fully dry before packaging cookies.",11,"3/4 cup butter, softened",1 1/2 cups sugar,2 large eggs,2 teaspoons vanilla extract,2 3/4 cups all-purpose flour,1/2 teaspoon salt,1/2 teaspoon baking powder,4 cups confectioner's sugar,3 tablespoons milk,pink food colouring,1 1/2 cups Strawberry Shortcake Crumbs,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/strawberry-shortcake-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
