title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,source,link,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Cranberry Pecan Cheese Ball,Angela Latimer,5,1,American,Appetizers,NA,10 minutes,0 minutes,NA,10 minutes,10 servings,6,"In a large bowl, mash and mix the softened 16 oz cream cheese until smooth.
Stir in the 1¾ cups of 2 cups sharp cheddar cheese, ¾ cup of the 1 cup dried cranberries, ¼ cup of the ½ cup pecans, 1 tablespoon of the 2 tablespoon fresh chives, 1 teaspoon light brown sugar, ½ teaspoon garlic powder, ¼ teaspoon salt, and optional 2 strips bacon. Mix well to combine.
Scrape the mixture together, form a ball, and transfer it to a sheet of cling film. Wrap securely and chill in the refrigerator for at least 1 hour until firm.
On a small plate, combine the reserved ¼ cup cheddar, ¼ cup cranberries, ¼ cup pecans, and 1 tablespoon chives. (Optional: Pulse coating ingredients in a food processor for a finer chop, taking care not to create a paste.)
Unwrap the chilled ball and roll it firmly into the coating mixture until all sides are evenly covered.
Let the cheese ball sit at room temperature for about 15 minutes before serving.",9,"▢ 16 oz cream cheese (2 8-ounce blocks, softened, at room temperature)","▢ 2 cups sharp cheddar cheese (shredded, or white cheddar cheese - reserve ¼ cup for the coating)","▢ 1 cup dried cranberries (finely chopped, reserve ¼ cup for the coating)","▢ ½ cup pecans (finely crushed, reserve ¼ cup for the coating)","▢ 2 tablespoon fresh chives (chopped, reserve 1 tablespoon for the coating)",▢ 1 teaspoon light brown sugar,▢ ½ teaspoon garlic powder,▢ ¼ teaspoon salt,"▢ 2 strips bacon (optional - crisped, finely chopped)",NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/cranberry-pecan-cheese-ball/,NA,NA,NA,NA,NA,NA,NA
Mini Ghost Pizzas,Angela Latimer,5,1,American,Halloween,NA,5 minutes,12 minutes,NA,17 minutes,3 servings,6,"Preheat your oven to 400°F (205°C/Gas Mark 6) and line a baking sheet with parchment paper.
Halve the 3 English muffins and arrange them on a parchment-lined baking sheet. For a crispier crust, you can lightly toast them with olive oil for a few minutes before topping.
Spread 1-2 tablespoons of 6 tablespoon pizza sauce over each muffin half. 
Use a cookie cutter to cut ghost shapes from the 6 slices white American cheese and place one on top of each pizza.
Bake for 8-10 minutes or air fry at 400°F (205°C) for 5-6 minutes, until the cheese is melted but not bubbly (if you want to keep the shape of the ghost).
Allow the mini pizzas to cool for a few minutes before serving, as the sauce will be extremely hot.",4,▢ 3 English muffins,"▢ olive oil (extra virgin, optional for toasting)",▢ 6 tablespoon pizza sauce (see recipe or use your favorite brand),▢ 6 slices white American cheese (or provolone),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/mini-ghost-pizzas/,NA,NA,NA,NA,NA,NA,NA
Rotisserie Chicken Quesadillas,Angela Latimer,5,1,"Mexican, TexMex",Main Dish,NA,10 minutes,15 minutes,NA,25 minutes,4 servings,4,"Add 1 tablespoon cooking oil to a large skillet over medium-high heat. Season your shredded 1 lb rotisserie chicken with 1 tablespoon chicken taco seasoning or salt & pepper if desired.
Lay one of the 8 large flour tortillas flat and sprinkle a layer of 1 cup Mexican cheese blend over the entire surface. Add a generous portion of chicken, then top with a little more cheese. (Evenly divide the cheese and chicken between each of the 4 quesadillas). Place a second tortilla on top and press down gently. 
Carefully place an assembled quesadilla in the skillet and press it down gently with your spatula. Cook for 3-4 minutes per side, or until both sides are golden brown and the cheese is fully melted. Repeat with remaining quesadillas.
Remove from the skillet and let rest for 1-2 minutes before slicing in half or into wedges. Serve warm with your favorite dipping sauces.",5,▢ 1 tablespoon cooking oil,▢ 1 lb rotisserie chicken (shredded),▢ 1 tablespoon chicken taco seasoning (optional - or salt & pepper to taste),▢ 8 large flour tortillas,▢ 1 cup Mexican cheese blend (shredded),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/rotisserie-chicken-quesadillas/,NA,NA,NA,NA,NA,NA,NA
Jalapeno Popper Deviled Eggs,Angela Latimer,5,1,American,Appetizers,NA,10 minutes,5 minutes,NA,15 minutes,6 servings,7,"Cook the 6 large hard-boiled eggs using your preferred method. My go-to quick, no-fail method is using my air fryer. *I recommend that the eggs be cooked and chilled overnight before making deviled eggs.
Cut eggs in half and remove egg yolks. Mash using a fork, then set aside.
Cook the 2 slices bacon over medium heat until crispy. Remove to a plate or cutting board to chop once cooled.
Add the softened 2 oz cream cheese, 1 tablespoon sour cream, 1 teaspoon Dijon mustard, 1 teaspoon white vinegar, ⅛ teaspoon garlic powder, and 1 pinch salt to the mashed egg yolks. Mash and combine until smooth.
Then add the diced 1 large jalapeno and chopped, crisped bacon. Stir until evenly distributed in the mixture.
Use a spoon or a bag (plastic storage bag or piping bag with the tip snipped off) to fill the halved egg whites.
Top with extra bacon or sliced jalapenos. Sprinkle with 1 pinch cayenne pepper, chipotle pepper powder, or paprika to serve.",10,▢ 6 large hard-boiled eggs,"▢ 2 slices bacon (crisped, chopped)","▢ 2 oz cream cheese (softened, at room temperature)",▢ 1 tablespoon sour cream,▢ 1 teaspoon Dijon mustard,▢ 1 teaspoon white vinegar,▢ ⅛ teaspoon garlic powder,▢ 1 pinch salt,"▢ 1 large jalapeno (de-seeded, chopped)","▢ 1 pinch cayenne pepper (optional - or use chipotle chili powder, or paprika)",NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/jalapeno-popper-deviled-eggs/,NA,NA,NA,NA,NA,NA,NA
Avocado Deviled Eggs,Angela Latimer,5,1,American,Appetizers,NA,20 minutes,10 minutes,NA,30 minutes,6 servings,6,"Hard-boil the eggs using your preferred method, then allow them to cool. 
Cut the 6 large hard-boiled eggs in half.
Crisp the 1 slice bacon and set aside to cool.
Mash the 1 large avocado, then add the hard-boiled egg yolks and mash them into the avocado.
Add the 2 teaspoon lime juice and stir, then add 1 tablespoon sour cream, ¼ teaspoon garlic powder, ⅛ teaspoon paprika, 1 pinch salt, and crumbled bacon, then mix to combine.
Portion filling into the halved eggs. Garnish with a sprinkle of more paprika if desired and serve.",8,▢ 6 large hard-boiled eggs (peeled and halved),"▢ 1 slice bacon (cooked, chopped into small pieces)","▢ 1 large avocado (peeled, pit removed, and diced)",▢ 2 teaspoon lime juice,"▢ 1 tablespoon sour cream (or use plain Greek yogurt, or mayonnaise)",▢ ¼ teaspoon garlic powder,▢ ⅛ teaspoon paprika (more to garnish),▢ 1 pinch salt (to taste),NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/avocado-deviled-eggs/,NA,NA,NA,NA,NA,NA,NA
Crispy Parmesan Smashed Brussel Sprouts,Angela Latimer,5,1,American,Side Dishes,NA,5 minutes,30 minutes,NA,35 minutes,4 servings,11,"Preheat oven to 400°F (205°C/Gas Mark 6). 
Prepare your 1 lb brussel sprouts by washing them, removing the outer leaves, trimming off the ends, and then slicing them in half. 
Place your steamer basked into a large pot and add enough water to fill under the basket. Bring to a boil then add your halved and trimmed brussel sprouts. Cover and steam for 6-8 minutes. 
Meanwhile, add your ½ cup Panko breadcrumbs, ½ cup Parmesan cheese, and half of your 1½ teaspoon steak seasoning to a mixing bowl. Stir to combine. 
Coat a baking sheet with 1 tablespoon cooking oil or use cooking spray. 
Spread the steamed brussel sprouts onto the oiled baking sheet with the cut sides facing down. Leave space between each one. 
Use the flat bottom of a heavy glass, measuring cup, or bowl to smash each brussel sprout gently.
Use the remaining steak seasoning to generously season the smashed brussel sprouts. 
Top each brussel sprout with the panko Parmesan topping mixture. 
Roast in the oven for 20-25 minutes, or until the topping is golden in color. If desired, broil for the final 2-3 minutes to make them extra crispy. 
Remove the baking sheet from the oven and let the brussel sprouts finish cooking on the sheet for 2-3 minutes before serving. ",5,"▢ 1 lb brussel sprouts (fresh, washed)",▢ ½ cup Parmesan cheese (grated),▢ ½ cup Panko breadcrumbs (or plain breadcrumbs),"▢ 1 tablespoon cooking oil (or spray, for the baking sheet)",▢ 1½ teaspoon steak seasoning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/crispy-parmesan-smashed-brussel-sprouts/,NA,NA,NA,NA,NA,NA,NA
Red Velvet Whoopie Pies,Angela Latimer,5,1,American,Cookies & Bars,NA,15 minutes,10 minutes,NA,25 minutes,20 whoopie pies,16,"Preheat your oven to 375°F (190°C/Gas Mark 5) and line a couple of baking sheets with parchment paper. 
Use a sieve to sift your 2¼ cup all-purpose flour, ¼ cup unsweetened cocoa powder, 1½ teaspoon baking soda, and ¼ teaspoon salt into a large bowl. Set aside. 
In the bowl of your stand mixer, cream together ½ cup butter and 1 cup light brown sugar until smooth and creamy. 
Add 1 large egg, 1½-2 teaspoon vanilla extract, and 1-2 teaspoon red gel food coloring and beat at medium-high speed until completely combined. 
Turn the mixer off and add half of your 1¼ cup buttermilk and half of your dry mixture. 
Mix at low speed, stopping occasionally to scrape the bowl, until well combined. 
Add the rest of your dry ingredients and buttermilk and mix again until everything is combined and it resembles a very thick cake batter. 
Use a standard-sized cookie scoop (about 1 - 1½ tablespoons) to scoop the batter and drop it onto your prepared baking sheet, leaving about 2 inches of space in between each one. 
Bake in the oven at 375°F (190°C/Gas Mark 5) for 9-11 minutes, or until the top is no longer shiny and the cake slightly springs back when touched gently.
Remove the cakes from the oven and let them cool on the baking sheet for 5 minutes before transferring them to a wire rack to cool completely. 
Using a stand mixer or hand mixer, beat together 8 oz cream cheese and ½ cup butter until smooth. 
Add 3 cups confectioners sugar and 1 teaspoon vanilla extract and mix, starting slow and gradually increasing in speed, until combined. 
Add 2 tablespoon heavy cream and beat at medium-high speed until smooth and fluffy. Adjust the consistency by adding more heavy cream or powdered sugar if needed. 
Taste and add optional salt to reduce the sweetness of the frosting if needed.
Spread, spoon, or pipe the cream cheese filling onto the flat side of the cooled cakes.
Gently press another cake on top and serve immediately or store them for later. ",15,▢ 2¼ cup all-purpose flour (spooned and leveled),▢ ¼ cup unsweetened cocoa powder,▢ 1½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup butter (at room temperature),▢ 1 cup light brown sugar (packed),▢ 1 large egg (at room temperature),▢ 1½-2 teaspoon vanilla extract,▢ 1-2 teaspoon red gel food coloring,▢ 1¼ cup buttermilk (at room temperature),"▢ 8 oz cream cheese (softened, at room temperature)","▢ ½ cup butter (softened, at room temperature)",▢ 3 cups confectioners sugar,▢ 1 teaspoon vanilla extract,"▢ 2 tablespoon heavy cream (or more, if needed)",Bake It With Love,https://bakeitwithlove.com/red-velvet-whoopie-pies/,NA,NA,NA,NA,NA,NA,NA
Beef and Cabbage Stir-Fry,Angela Latimer,5,1,"American, Asian",Main Dish,NA,15 minutes,15 minutes,20 minutes,50 minutes,6 servings,9,"Slice the 2 lbs beef into thin pieces against the grain. 
Combine 3 teaspoon soy sauce, 3 teaspoon dark soy sauce, 1 teaspoon oyster sauce, 1 teaspoon sugar, 2 teaspoon baking soda, 2 tablespoon cornstarch, and the sliced beef pieces in a bowl or storage bag.
Coat the beef in the marinade, then stir in the 3 teaspoon cooking oil and 2 teaspoon sesame oil. Marinate for 20-30 minutes while you chop the 1 small green cabbage, 1 large yellow onion, and 6 stalks green onions.
Sauté the yellow onion in a wok or large skillet with the first half of 3 tablespoon cooking oil over medium-high heat for 2-3 minutes. Add the cabbage and cook for another 2-3 minutes until softened.
Add the green onion pieces, then season with ½ teaspoon salt and ½ teaspoon sugar. Cook for 1 minute before removing all vegetables from the pan.
Sear the beef on high heat with the remaining oil. Work in batches to ensure the meat browns and develops a good crust without steaming.
Add the 4 cloves garlic to the beef and sauté until fragrant (about 30-60 seconds). Deglaze and season by pouring in the 2 tablespoon Shaoxing wine, 4 teaspoon dark soy sauce, 2 teaspoon oyster sauce, ½ cup water, and ¼ teaspoon ground black pepper.
Thicken the sauce by stirring and scraping up any browned bits from the bottom of the pan.
Combine by returning the vegetables to the pan. Toss for 1 minute to coat everything evenly in the sauce. Garnish with reserved green onions and serve immediately.",21,▢ 2 lbs beef (I used sliced chuck roast),▢ 1 small green cabbage,▢ 1 large yellow onion (or white onion),▢ 6 stalks green onions (reserve some small slices as garnish),▢ 3 tablespoon cooking oil (divided),▢ 3 teaspoon soy sauce,▢ 3 teaspoon dark soy sauce,▢ 1 teaspoon oyster sauce,▢ 1 teaspoon sugar,▢ 2 teaspoon baking soda,▢ 2 tablespoon cornstarch,▢ 3 teaspoon cooking oil,▢ 2 teaspoon sesame oil,▢ ½ teaspoon salt,▢ ½ teaspoon sugar,Bake It With Love,https://bakeitwithlove.com/beef-and-cabbage-stir-fry/,▢ 4 cloves garlic (crushed and chopped or grated),"▢ 2 tablespoon Shaoxing wine (or cooking sherry, or mirin)",▢ 4 teaspoon dark soy sauce,▢ 2 teaspoon oyster sauce,▢ ½ cup water,▢ ¼ teaspoon ground black pepper (to taste),NA
Panda Express Broccoli Beef,Angela Latimer,5,1,"American, Asian",Main Dish,NA,30 minutes,15 minutes,NA,45 minutes,4 servings,8,"Combine 1 tablespoon cornstarch and 3 tablespoon shaoxing wine in a bowl and add the thinly sliced 1 lb flank steak. Add a few turns of some fresh cracked pepper if desired.
Let the beef marinate for 15-30 minutes.
Combine 2 tablespoon oyster sauce, 1 tablespoon light brown sugar, 1 tablespoon dark soy sauce, and 1½ tablespoon soy sauce, 1 tablespoon cornstarch, and ½ tablespoon fish sauce if using. Set Aside.
Par-cook 1 lb broccoli florets in a microwave safe dish with 2 tablespoon water and a lid or plastic cling film (covered but with a vented corner) for 2-3 minutes on high power.
Heat a wok to high heat with half of the 2 tablespoon cooking oil and ¼ teaspoon sesame oil. Once hot, sear the marinated beef strips. Remove and set aside.
Clean skillet and add remaining oils. Return to high heat and stir fry the broccoli until tender crisp, then add 2 teaspoon garlic and 1 teaspoon ginger Stir fry for 30 seconds more.
Return the beef to the wok. Stir in the sauce. Toss to combine and cook until the sauce thickens.
Remove from heat and serve immediately, garnish with 1-2 teaspoon sesame seeds",16,"▢ 1 lb flank steak (or skirt steak, chuck, or sirloin - sliced into thin pieces, against the grain)",▢ 1 tablespoon cornstarch,"▢ 3 tablespoon shaoxing wine (divided - or cooking sherry, or mirin)",▢ 2 tablespoon oyster sauce,▢ 1 tablespoon light brown sugar,"▢ 1 tablespoon dark soy sauce (optional, use extra soy sauce if you don't have any on hand)",▢ 1½ tablespoon soy sauce,▢ 1 tablespoon cornstarch,▢ ½ tablespoon fish sauce (optional but recommended),▢ 1 lb broccoli florets (washed and sliced into pieces),▢ 2 tablespoon water,▢ 2 tablespoon cooking oil (divided in two equal parts),▢ ¼ teaspoon sesame oil (divided in two equal parts),▢ 2 teaspoon garlic (minced),▢ 1 teaspoon ginger (peeled and finely minced or grated),Bake It With Love,https://bakeitwithlove.com/panda-express-broccoli-beef/,"▢ 1-2 teaspoon sesame seeds (optional, garnish)",NA,NA,NA,NA,NA,NA
Halloween Peanut Butter Spider Cookies,Angela Latimer,5,13,American,Halloween,NA,15 minutes,10 minutes,NA,25 minutes,36 cookies,8,"Line a baking sheet with parchment paper or a silicone baking mat and preheat your oven to 375°F (190°C/Gas Mark 5).
In the bowl of your stand mixer or a large mixing bowl, cream together ½ cup sugar, ½ cup light brown sugar, and ½ cup butter until smooth. Then, add ½ cup creamy peanut butter and mix until thoroughly combined.
Add 1 large egg, 1 teaspoon vanilla extract, ¾ teaspoon baking soda, and ½ teaspoon baking powder. Mix until combined, then add 1½ cups all-purpose flour and continue mixing until your cookie dough forms.
Pour the additional ⅓ cup of sugar into a shallow dish and set aside. Roll out your dough into 36 1-inch balls, and roll each ball in the sugar until fully coated. Then, place the cookie dough balls on your prepared baking sheet, leaving at least 2 inches between each cookie.
Bake at 375°F (190°C/Gas Mark 5) until the bottom of the cookies just starts to turn lightly golden brown, about 8-10 minutes.
Remove the cookies from the oven and immediately place one of the unwrapped 36 mini peanut butter cups in the center of each cookie. Once they have melted slightly, press 2 of the 72 candy eyes into the front of each peanut butter cup.
Meanwhile, add ½ cup semi sweet chocolate chips to a microwave-safe bowl and microwave in 30-second increments to melt. Pour the chocolate into a Ziploc storage bag and snip a small piece of the corner off. Use this to pipe on the spider's legs, 4 on each side of the peanut butter cups.
Transfer your cookies to the fridge to chill for 15 minutes or until the chocolate sets, then serve.",12,▢ ½ cup sugar (+ ⅓ cup additional sugar to roll the dough balls in),▢ ½ cup light brown sugar (firmly packed),"▢ ½ cup butter (softened, at room temperature)",▢ ½ cup creamy peanut butter,▢ 1 large egg (at room temperature),▢ 1 teaspoon vanilla extract,▢ ¾ teaspoon baking soda,▢ ½ teaspoon baking powder,▢ 1½ cups all-purpose flour (spooned and leveled),▢ 36 mini peanut butter cups,▢ 72 candy eyes,▢ ½ cup semi sweet chocolate chips,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/halloween-peanut-butter-spider-cookies/,NA,NA,NA,NA,NA,NA,NA
Key Lime Macarons,Angela Latimer,5,1,French,Macarons,NA,30 minutes,15 minutes,30 minutes,15 minutes,20 macarons,27,"Prepare your work area by lining your baking sheet with parchment paper or silicone baking mats. Get a piping bag ready with a large round tip or a storage bag with the corner cut off. 
Add 125 grams almond flour and 125 grams confectioners sugar to the bowl of your food processor and pulse it a few times until well combined. 
Sift the mixture into a bowl and set aside. 
Add 100 grams egg whites to the bowl of your stand mixer.
Using the whisk attachment, beat the egg whites at medium speed until foamy, then add ¼ teaspoon cream of tartar.
Continue to beat until soft peaks have formed (usually when you can see the lines left by the whisk). 
Very slowly add 80 grams sugar while continuing to mix on medium speed. You don't want to add the sugar too quickly, or it could cause the meringue to deflate. 
After all of the sugar has been added, add your ½ teaspoon vanilla extract and green gel food coloring. 
Continue beating on medium to medium-high speed until you have reached stiff peaks. When you life the whisk out of the meringue, it should stick straight up and not droop down at all. 
Transfer ⅓ of your meringue to the bowl with your dry ingredients. Using a silicone spatula, gently begin folding the ingredients together. 
Once combined, repeat this process with the second and then final portion of the meringue.
After all of the meringue has been added to the bowl, continue folding by making a J shape with the spatula, turning the bowl 90°, and repeating the process. As you fold, the mixture will become thinner and more runny. You know you are done folding when it moves similarly to lava and falls off the spatula in a ribbon just long enough to form a figure 8. 
Transfer the batter to your prepared piping bag. Holding the bag about ¼-inch above the baking sheet at a 90° angle, squeeze the batter until it fills the inner circle of your template (or reaches your desired size), then stop squeezing and make a quick C shape to break the batter. Repeat with the remaining batter.  
Once the macarons are piped, lift the baking sheet about 5 inches above the counter and drop it 5-8 times to bring any air bubbles to the surface. 
Use a toothpick to pop any remaining air bubbles. 
Leave the macarons to rest on the counter for 30-60 minutes, or until they form a skin and are no longer tacky to the touch. 
Meanwhile, preheat your oven to 300°F (150°C/Gas Mark 2). 
Bake the macarons for 15-18 minutes, or until they no longer slide on their feet if you nudge them gently. 
Remove them from the oven and let them cool on the baking sheet for 10 minutes before removing them. 
In the bowl of your stand mixer, cream together ¼ cup butter and 4 oz cream cheese until smooth and creamy.
Add ½ cup confectioners sugar and mix, slowly at first, until well combined. 
Add 1 tablespoon key lime juice, 2 teaspoon key lime zest, and ¼ teaspoon salt and beat again at medium speed until fluffy and fully mixed. Taste and adjust the salt if needed.
Transfer your frosting to your prepared piping bag. 
Match up your macaron shells based on size.
Pipe a ring of frosting onto one of the macaron shells and top it with 2 tablespoon graham cracker crumbs if using. 
Firmly press on the top shell to form the cookie and repeat with all of the remaining shells and frosting. 
For best results, let your macarons chill in the fridge for 24 hours before letting them come to room temperature and serving them. ",14,▢ 125 grams almond flour,▢ 125 grams confectioners sugar,▢ 100 grams egg whites (room temperature),▢ 80 grams sugar,▢ ½ teaspoon vanilla extract,▢ ¼ teaspoon cream of tartar,▢ green gel food coloring,"▢ ¼ cup butter (softened, at room temperature)","▢ 4 oz cream cheese (softened, at room temperature)",▢ ½ cup confectioners sugar,▢ 1 tablespoon key lime juice,▢ 2 teaspoon key lime zest,▢ ¼ teaspoon salt,▢ 2 tablespoon graham cracker crumbs (optional),NA,Bake It With Love,https://bakeitwithlove.com/key-lime-macarons/,NA,NA,NA,NA,NA,NA,NA
Raspberry Macarons,Angela Latimer,5,1,French,Macarons,NA,30 minutes,10 minutes,30 minutes,10 minutes,20 macarons,25,"Place ¼ cup freeze-dried raspberries into a storage bag and use a rolling pin to gently crush them. Set aside.
In the bowl of your food processor, add the 125 grams almond flour and 125 grams confectioners sugar.
Blend with the food processor on low speed until the mixture has become very fine. Then, use a fine-mesh sieve to sift the mixture into a large mixing bowl. Use a spoon to push any large chunks through the sieve. Set aside.
In a separate large mixing bowl, use a hand mixer or stand mixer with the whisk attachment to beat the 100 grams egg whites and ¼ teaspoon cream of tartar until soft peaks form. The egg mixture will start out foamy and will have soft peaks once the whisk begins to leave tracks.
Gradually add 80 grams sugar to the egg whites while continuing to mix, until everything is fully distributed.
Continue to beat the egg mixture until stiff peaks form.
Scoop ⅓ of the whipped egg mixture into your flour mixture and use a rubber spatula to gently fold it in until it is combined.
Repeat this process with the remaining ⅔ of the egg whites, only adding ⅓ at a time, and gently folding in between each addition.
After the last bit of the egg mixture has been added, continue to gently and slowly fold the macaron batter until the batter falls from the spatula in ribbons. *The consistency should be similar to honey or lava. If you let the batter fall from your spatula, it should only take about 10 seconds to sink back into itself.
Once you have reached the perfect consistency, transfer the batter into a piping bag that has been fitted with a round tip (or a storage bag with the corner cut off).
If you have a macaron mat, place it onto your rimmed baking sheet. However, if you don't have one, place a dot of batter into each corner of your rimmed baking sheet and place a piece of parchment paper on top (the batter acts as glue to keep the paper from sliding around).
Pipe the macarons onto your parchment paper (or mat) in 1½-inch circles, making sure to space them at least ½-inch apart from each other.
Firmly tap the baking sheet on the counter 5 times to get rid of any air bubbles. Then, use a toothpick to pop any remaining bubbles that you might see.
Use a small sieve to sift the crushed raspberries over the top of the shells. 
Allow the macarons to rest on the counter at room temperature for 30-60 minutes, or until they are dry to the touch and no longer tacky.
While the macarons are resting, go ahead and preheat your oven to 300˚F (150˚C/Gas Mark 2) and move the rack to the lowest part of your oven.
Once ready, bake the macarons for 13-17 minutes, or until the macarons don't move if you tap on them slightly. If your raspberry powder is browning too quickly, you can cover the macarons lightly with foil and finish baking. 
Remove the macarons from the oven and let them cool on the baking sheet for 10 minutes before moving them to a wire rack to finish cooling.
In a large mixing bowl, add your ¼ cup butter, 1½ cup confectioners sugar, and ⅓ cup freeze-dried raspberry powder.
Mix, starting on low speed and gradually increasing it, until thick and creamy.
Add 2 tablespoon heavy cream to thin out the buttercream as needed and whip until you reach your desired consistency. Taste and adjust with the optional 1 pinch salt to reduce the sweetness.
Scoop the buttercream into a piping bag with a round tip (or a storage bag with the corner cut off).
Take one cooled macaron shell and pipe some buttercream into the center. Place a second macaron shell on top and gently press them together, forming a sandwich.
Repeat this process with your remaining macaron shells and raspberry buttercream.
For best results, place the macarons into an airtight container in the fridge for 24 hours. Then, allow them to come up to room temperature and serve.",11,▢ 125 grams almond flour (about 1¼ cup + 2 tsp),▢ 125 grams confectioners sugar (about 1¼ cup + 1 tsp),"▢ 100 grams egg whites (about 3-4 large eggs, room temperature)",▢ ¼ teaspoon cream of tartar,▢ 80 grams sugar (about ⅓ cup + 1 tsp),▢ ¼ cup freeze-dried raspberries,▢ ¼ cup butter (unsalted),▢ 1½ cup confectioners sugar,▢ ⅓ cup freeze-dried raspberry powder,"▢ 2 tablespoon heavy cream (or more, if needed)",▢ 1 pinch salt (optional),NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/raspberry-macarons/,NA,NA,NA,NA,NA,NA,NA
Cookies & Cream Macarons,Angela Latimer,5,2,French,Macarons,NA,30 minutes,15 minutes,30 minutes,15 minutes,22 macarons,22,"In the bowl of your food processor, add your 100 grams almond flour, 30 grams oreo cookie crumbs, and 130 grams confectioners sugar. 
Pulse the mixture for about a minute, or until everything is a fine powder. Then, sift the mixture into a large mixing bowl and set it aside. 
In the bowl of your stand mixer, add 100 grams egg whites and ⅛ teaspoon cream of tartar. Beat on medium-high speed using the whisk attachment until soft peaks form (typically when you can see the tracks from the whisk). 
Gradually add 90 grams sugar while continuing to mix.
Keep beating the egg whites until they reach stiff peaks, being careful not to over or undermix them. 
Use a spatula to add ⅓ of the meringue to your dry ingredients and begin to gently fold. 
Once combined, add the second ⅓, fold again, and then add the final ⅓ portion of the meringue. 
Once all of the meringue has been added, continue to slowly fold the mixture by making a J shape, turning the bowl 90°, and repeating the process. Fold until the batter falls off the spatula in ribbons and takes about 10 seconds to sink back into itself. 
Add your batter to a piping bag with a Wilton #12 tip or a storage bag with the tip cut off and line your baking sheet with either parchment paper or a silicone baking mat.  
Hold the piping bag at a 90° angle above your baking sheet (in the center of the circle, if using a template) and firmly squeeze without moving the bag until the batter fills the inner circle of the template. Then, stop squeezing and make a quick C shape to break off the batter. If not using a template, simply make uniform-sized circles. Repeat with all of the remaining batter. 
Lift the baking sheet about 8 inches above the counter and drop it 5-8 times to remove any air bubbles. Then, take a toothpick and pop any that you can still see (it is slightly more difficult to spot the bubbles due to the speckled nature of these shells). 
Leave the macaron shells to rest for 30-60 minutes, or until they are no longer tacky to the touch and lose their glossy sheen. Meanwhile, preheat your oven to 300°F (150°C/Gas Mark 2). 
Bake your shells in the lower/middle rack of your oven for 13-18 minutes, rotating the baking sheet halfway, or until they don't budge on their 'feet' if you give them a gentle nudge. 
Remove the shells from the oven and let them cool on the sheet for at least 10 minutes before moving them to a wire cooling rack to finish cooling. 
Add 12 double stuff oreos filling and 4 tablespoon butter to your mixing bowl. 
Beat, starting on low and slowly increasing to medium-high speed, until smooth and well combined. 
Add the ¼ cup confectioners sugar and crushed 2 tablespoon oreo cookie crumbs and beat again until thoroughly combined.
Transfer your buttercream to a piping bag with a large tip or a storage bag with the tip cut off. 
Take one of your macaron shells and pipe the buttercream into the center. 
Gently press a second macaron shell on top to make the sandwich. 
Repeat with the remaining shells and buttercream.
For best results, place your macarons into a sealed container and let them bloom in the fridge for 24 hours before serving. ",10,▢ 100 grams almond flour (about ¾ cup + 1½ tablespoon),"▢ 30 grams oreo cookie crumbs (about 4 cookies with no filling, crushed)",▢ 130 grams confectioners sugar (about ¾ cup +2½ tablespoons),"▢ 100 grams egg whites (about 3-4 large eggs, at room temperature)",▢ ⅛ teaspoon cream of tartar,▢ 90 grams sugar (about ¼ cup +2½ tablespoons),▢ 12 double stuff oreos filling (filling only),▢ 4 tablespoon butter (at room temperature),▢ ¼ cup confectioners sugar,"▢ 2 tablespoon oreo cookie crumbs (about 2 cookies, crushed, without the filling)",NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/cookies-cream-macarons/,NA,NA,NA,NA,NA,NA,NA
