title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Coconut flour cookies,Samuel Goldsmith,4,5,"Dairy-free
Vegetarian","Makes 10-12
Easy
Prep: 5 mins
Cook: 15 mins",7,75g coconut flour,60g coconut oil melted,2 eggs,2 tbsp peanut butter,60g light brown soft sugar,¼ tsp baking powder,2 tbsp chocolate chips (optional),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/coconut-flour-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot cross cookies,Good Food team,4.7,5,Freezable (Freeze unbaked),"Makes 18
Easy
Prep: 20 mins
Cook: 10 mins",8,200g softened  butter plus extra for the trays,100g light muscovado sugar,1 egg,250g plain flour,1 tsp cinnamon,2 tsp baking powder,100g sultana,200g white chocolate chips,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/hot-cross-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chunk pecan cookies,Sara Buenfeld,4.3,5,"Easily doubled
Easily halved
Freezable","Makes 12
Easy
Prep: 15 mins
Cook: 12 mins",9,200g dark chocolate broken into squares (we like Green & Black's),100g butter chopped,50g light muscovado sugar,85g golden caster sugar,1 tsp vanilla extract,1 egg beaten,100g whole  pecan,100g plain flour,1 tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-chunk-pecan-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint chocolate chip cookies,Liberty Mendez,5,5,NA,"Serves 16
Easy
Prep: 15 mins
Cook: 14 mins
plus 1 hr 30 mins chilling and cooling",10,125g salted butter,125g light brown soft sugar,100g caster sugar,1 large egg,225g plain flour,½ tsp baking powder,2 drops peppermint extract,100g dark chocolate chips,100g dark chocolate roughly chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/mint-chocolate-chip-cookies,3 peppermint candy canes finely chopped or crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin seed cookies,Sophie Godwin – Cookery writer,4.8,5,"Freezable
Vegetarian","makes 10
Easy
Prep: 20 mins
Cook: 12 mins",11,120g butter softened,75g light brown sugar,75g golden caster sugar,1 medium egg,1 tsp vanilla extract,130g plain flour,3 tbsp cocoa powder,½ tsp bicarbonate of soda,50g toasted pumpkin seeds,BBC Good Food,https://www.bbcgoodfood.com/recipes/pumpkin-seed-cookies,150g dark chocolate cut into chunks,pinch of flaky sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate & pretzel cookies,Sophie Godwin – Cookery writer,4.9,5,"Freezable
Vegetarian","makes 10
Easy
Prep: 20 mins
Cook: 12 mins",9,120g butter softened,75g light brown soft sugar,75g golden caster sugar,1 medium egg,1 tsp vanilla extract,180g plain flour,½ tsp bicarbonate of soda,100g white chocolate,50g mini pretzels,BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-pretzel-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate cookies,Esther Clark,3.5,5,Vegetarian,"Serves 10
Easy
Prep: 10 mins
Cook: 12 mins",8,120g  unsalted butter softened ,85g  light brown soft sugar,65g  golden caster sugar,1 medium  egg,1 tsp  vanilla bean paste,180g  plain flour,½ tsp  bicarbonate of soda,180g white chocolate broken into chunks ,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan cookies & cream brownies,Juliet Sear,4,5,"Dairy-free
Egg-free
Vegan
Vegetarian","Makes 12
Easy
Prep: 15 mins
Cook: 30 mins",8,265g self-raising flour,245g soft brown sugar,50g cocoa powder,1 tsp vanilla extract,110ml vegetable oil,1½ tbsp white wine vinegar,85g dairy-free coconut yogurt,"150g vegan cookies of your choice, broken into chunks",NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-cookies-cream-brownies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies & cream no-churn ice cream,Ailsa Burt,4.5,5,Freezable,"Serves 8 - 10
Easy
Prep: 10 mins
Cook: 5 mins
plus at least 6 hrs freezing",5,150g speculoos biscuits,100g speculoos biscuit spread,600ml double cream,250ml condensed milk,2 tsp vanilla extract,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookies-cream-no-churn-ice-cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planet cookies,Jenny White,5,5,Freezable (uncooked dough only),"makes 20
More effort
Prep: 1 hr and 30 mins
Cook: 10 mins - 12 mins",9,100g unsalted butter softened,100g golden caster sugar,1 egg lightly beaten,1 tsp vanilla extract,280g plain flour plus extra for dusting,250g royal icing sugar,"red, blue, green, yellow, orange and black gel food colouring",caramel flavouring (for brown colour),gold edible glitter (optional),BBC Good Food,https://www.bbcgoodfood.com/recipes/planet-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant cookie cake,Good Food team,3.9,5,NA,"Serves 8 - 10
Easy
Prep: 20 mins
Cook: 20 mins - 25 mins",10,175g unsalted butter softened,200g light soft brown sugar,1 egg plus 1 yolk,2 tsp vanilla extract,250g self-raising flour,2 tsp cornflour,2 tsp baking powder,100g milk chocolate chips,50g white chocolate chips,BBC Good Food,https://www.bbcgoodfood.com/recipes/giant-cookie-cake,vanilla ice cream to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan gingerbread cookies,Miriam Nice,4,5,"Freezable
Dairy-free
Egg-free
Vegan
Vegetarian","makes around 20
Easy
Prep: 30 mins
Cook: 10 mins - 12 mins",10,1 tbsp chia seeds,400g plain flour plus extra for dusting,200g coconut oil,2 tbsp ground ginger,1 tsp ground cinnamon,200g dark muscovado sugar,50g maple syrup,100ml aquafaba (water from a can of chickpeas),500g icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-gingerbread-people,½ tsp lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berry & chocolate loaded cookies,Nadiya Hussain,5,5,Vegetarian,"Makes 13-14
Easy
Prep: 40 mins
Cook: 30 mins
plus 1 hr chilling",13,250g unsalted butter softened,200g light brown soft sugar,100g golden caster sugar,1 medium egg plus 1 yolk (freeze the leftover white for another recipe),1 tsp almond extract,1 tsp vanilla extract,400g plain flour,1 tsp baking powder,1 tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/berry-chocolate-loaded-cookies,½ tsp fine salt,"150g milk chocolate chopped, or chocolate chips",250g seedless raspberry jam,150g white chocolate finely grated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted chocolate chip tahini cookies,Good Food team,5,5,Vegetarian,"Serves 12
Easy
Prep: 20 mins
Cook: 15 mins
plus 2 hrs chilling",12,120g salted butter softened,120g tahini well stirred,90g golden caster sugar,110g soft light brown sugar,1 tsp vanilla bean paste,1 egg plus a yolk (save the white for another recipe),175g plain flour,½ tsp  bicarbonate of soda,100g milk chocolate roughly chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/salted-chocolate-chip-tahini-cookies,125g dark chocolate roughly chopped,3 tbsp white sesame seeds,3 tbsp black sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark chocolate & mint flourless cookies,Ailsa Burt,5,5,Vegetarian,"Makes 35-40
Easy
Prep: 15 mins
Cook: 20 mins
plus cooling",6,90g salted butter cubed,250g dark mint chocolate roughly chopped,"1 egg plus 2 egg whites (see tip, below)",150g caster sugar,100g cocoa powder,icing sugar to dust (optional),NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/dark-chocolate-mint-flourless-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter jelly cookies,Sophie Godwin – Cookery writer,4.4,5,Vegetarian,"makes 10
Easy
Prep: 20 mins
Cook: 12 mins",10,70g butter softened,50g peanut butter,75g light brown sugar,75g golden caster sugar,1 medium egg,1 tsp vanilla extract,180g plain flour,2 tbsp chopped peanuts,½ tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/peanut-butter-jelly-cookies,10 heaped tsp raspberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggnog cookie kisses,Cassie Best,5,5,"Freezable (uniced)
Vegetarian","Serves 28
Easy
Prep: 30 mins
Cook: 15 mins
plus chilling and cooling",14,175g butter softened,50g golden caster sugar,50g icing sugar plus extra for dusting,2 egg yolks (freeze the whites for another recipe),2 tsp vanilla extract,275g plain flour plus extra for dusting,2 tbsp custard powder,grating of nutmeg,½ tsp ground cinnamon,BBC Good Food,https://www.bbcgoodfood.com/recipes/eggnog-cookie-kisses,100g softened butter,200g icing sugar sifted,1 tbsp custard powder,drop of vanilla extract,1 tbsp milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bumper oat cookies,Good Food team,4.3,5,Freezable,"Makes 18
Easy
Total time : 50 mins
Ready in 45 - 50 minutes",11,175g butter,175g demerara sugar,100g golden syrup,85g plain flour,½ tsp bicarbonate of soda,250g porridge oats,1 tsp ground cinnamon,"100g  each of ready-to-eat dried apricots, chopped and stem ginger chopped",75-80g pack  dried sour cherries,BBC Good Food,https://www.bbcgoodfood.com/recipes/bumper-oat-cookies,2 tbsp  boiling water,1  medium egg beaten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macadamia & cranberry American cookies,Sara Buenfeld,4.5,5,Freezable,"Makes 55
Easy
Prep: 20 mins
Cook: 12 mins",11,"3 x 200g/7oz white chocolate bars, chopped",200g butter,2 eggs,100g light  muscovado sugar,175g golden caster sugar,2 tsp vanilla extract,350g plain flour,2 tsp baking powder,1 tsp cinnamon,BBC Good Food,https://www.bbcgoodfood.com/recipes/macadamia-cranberry-american-cookies,100g dried cranberry,100g macadamia nut chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie dough cheesecake,Esther Clark,3.9,5,Vegetarian,"Serves 15
Easy
Prep: 1 hr
Cook: 1 hr and 10 mins
plus chilling and 3 hrs cooling",23,sunflower or veg oil for the tin,200g milk chocolate chopped,100g dark chocolate chopped,500g soft cheese,3 large eggs at room temperature,200g golden caster sugar,200ml soured cream,3 tbsp plain flour,1 tsp vanilla paste,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookie-dough-cheesecake,225g light brown soft sugar,225g golden caster sugar,250g salted  butter softened,2 egg yolks (freeze the whites for another recipe),2 tbsp vanilla paste,3 tbsp milk,225g plain flour,225g self-raising flour,200g dark chocolate chips,100g dark chocolate chopped,100g milk chocolate chopped,300ml double cream,2 tbsp caster sugar,"chocolate mini eggs chocolate nests and white chocolate buttons (see tips, below)",NA,NA,NA,NA,NA,NA,NA,NA
Cereal cookies,Ailsa Burt,5,5,Vegetarian,"plus cooling
Easy
Prep: 15 mins
Cook: 22 mins",9,100g cereal,125g unsalted butter,85g light brown soft sugar,75g caster sugar,½ tsp vanilla extract,1 egg,½ tsp bicarbonate of soda,175g plain flour,125g  dark chocolate roughly chopped ,BBC Good Food,https://www.bbcgoodfood.com/recipes/cereal-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maple, pecan & raisin oaty cookies",Lucy Netherton,4.7,5,Freezable,"18
Easy
Prep: 20 mins
Cook: 15 mins",11,140g rolled oats,50g desiccated coconut,225g plain flour,140g salted pecans roughly chopped,100g raisins,140g unsalted butter,225g light soft brown sugar,3 tbsp maple syrup,3 tbsp golden syrup,BBC Good Food,https://www.bbcgoodfood.com/recipes/maple-pecan-raisin-oaty-cookies,2 tbsp boiling water,1 tsp bicarbonate of soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruity cookies,Good Food team,4.4,5,NA,"Makes 20
Easy
Prep: 20 mins
Cook: 25 mins",11,200g butter,175g soft brown sugar,2 tbsp thin-cut marmalade,2 tsp ground mixed spice,1 tsp ground cinnamon,1 tsp ground ginger,175g porridge oats,200g self-raising flour plus extra for dusting,2 tsp baking powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/fruity-cookies,"175g dried fruit - try chopped glacé cherries, apricots and sultanas",100g nuts chopped (we used hazelnuts),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Christmas cookies,Anna Glover,4.3,5,"Freezable (uncooked dough only)
Dairy-free
Egg-free
Vegan
Vegetarian","Makes 25
Easy
Prep: 15 mins
Cook: 14 mins
plus chilling and cooling",12,125g dairy-free spread,125g caster sugar,125g light brown soft sugar,1 tsp ground cinnamon,½ tsp mixed spice,125ml  plant-based milk,1 tsp vanilla extract,275g plain flour,1 tsp baking powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-christmas-cookies,½ tsp bicarbonate of soda,100g shelled pistachios chopped,75g dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies & cream ice cream cake,Helena Busiakiewicz,5,5,Vegetarian,"Serves 8
More effort
Prep: 1 hr and 30 mins
Cook: 35 mins
plus freezing and cooling",17,175ml vegetable oil plus extra for the tins,650ml cookie dough ice cream softened,2 eggs beaten,175ml buttermilk,170ml coffee (we used instant),125g caster sugar,125g light brown soft sugar,90g cocoa powder,230g plain flour,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookies-cream-ice-cream-cake,2 tsp bicarbonate of soda,5g baking powder,150g crème-filled chocolate sandwich biscuits chopped,50g dark chocolate chopped ,650ml double cream,1 tbsp golden syrup,4 tbsp icing sugar,crème-filled chocolate sandwich biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin spice cookies,Juliet Sear,4,5,Freezable (dough only),"Makes 20-24 cookies
Easy
Prep: 15 mins
Cook: 15 mins
plus at least 2 hrs chilling",15,100g homemade or canned  pumpkin purée,250g  self-raising flour,175g unsalted butter softened,175g  light brown soft sugar,1 medium egg,2 tsp vanilla extract,50g caster sugar,1 tbsp ground cinnamon,1 tsp  ground ginger,BBC Good Food,https://www.bbcgoodfood.com/recipes/pumpkin-spice-cookies,½ tsp ground nutmeg,½ tsp ground allspice,¼ tsp  ground cloves,60g unsalted butter at room temperature,40g full-fat soft cheese at room temperature,120g icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey & spice cookies,Miriam Nice,4.7,5,Vegetarian,"Makes approx 35
Easy
Prep: 30 mins
Cook: 12 mins
plus chilling",8,400g plain flour,200g butter,1 beaten egg,2 tbsp festive spice,100g golden caster sugar,2 tbsp honey,½ tsp cream of tartar,melted dark chocolate,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/honey-spice-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chilli chocolate cookies,Good Food team,4.7,5,NA,"Makes 40 cookies
Easy
Prep: 20 mins
Cook: 12 mins",13,225g unsalted butter softened,100g caster sugar,175g dark muscovado sugar,2 tsp vanilla extract,2 eggs beaten,300g plain flour,50g cocoa powder,1 tsp baking powder,1 ½ tsp cayenne pepper (less or more to taste),BBC Good Food,https://www.bbcgoodfood.com/recipes/chilli-chocolate-cookies,100g bar dark chilli chocolate roughly chopped,100g bar white chocolate roughly chopped,100g bar dark chocolate roughly chopped,vanilla ice cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The ultimate makeover: Chocolate chip cookies,Angela Nilsen,4.3,5,Freezable,"Makes 22
Easy
Prep: 25 mins
Cook: 12 mins
Plus cooling",10,85g butter,1 tbsp cocoa powder,1 tsp instant coffee granules,85g light muscovado sugar,25g golden granulated sugar,85g dark chocolate about 70% cocoa solids (we used Lindt as it keeps its shape when baked),1 medium egg beaten,½ tsp vanilla extract,140g plain flour,BBC Good Food,https://www.bbcgoodfood.com/recipes/ultimate-makeover-chocolate-chip-cookies,½ tsp bicarbonate of soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fairy kiss cookies,Einfach Backen Team,4,5,NA,"Makes 45
Easy
Prep: 1 hr
Cook: 18 mins
plus cooling",7,160g plain flour,60g icing sugar,2 eggs separated,100g butter softened,"45 toffee caramel hazelnut cups or similar, or squares of soft caramel",140g icing sugar,1 egg white,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/fairy-kiss-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jammy star cookies,Lulu Grimes,3.5,5,Vegetarian,"Makes 15-20
Easy
Prep: 1 hr
Cook: 15 mins - 30 mins
plus chilling",9,175g cold unsalted butter cubed,250g plain flour plus extra for dusting,100g golden icing sugar,1 tsp vanilla extract,1 egg yolk,50g unsalted butter softened,160g icing sugar,120g seedless raspberry or strawberry jam,2 star cutter around 6cm and 3cm,BBC Good Food,https://www.bbcgoodfood.com/recipes/jammy-star-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Favourite biscuit cupcakes,Lulu Grimes,5,5,Vegetarian,"Makes 12
Easy
Prep: 30 mins
Cook: 20 mins",13,175g self-raising flour,1 tsp baking powder,175g unsalted butter softened,3 eggs,175g golden caster sugar,2 tbsp milk plus a splash,1 tsp vanilla extract,40g ground  almonds,"12 mini Oreos 12 mini Jammy Dodgers, 12 mini gingerbread",BBC Good Food,https://www.bbcgoodfood.com/recipes/favourite-biscuit-cupcakes,225g unsalted butter softened,400g icing sugar sifted,few drops vanilla extract 1 tbsp cocoa and a pinch each of powdered ginger and cinnamon,12 cupcake cases (3 different colours if using 3 types of biscuits),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainbow cookies,Sarah Cook,4.1,5,Freezable (Raw dough or un-iced baked biscuits can be frozen),"Makes 22
Easy
Prep: 25 mins - 30 mins
Cook: 15 mins",9,175g softened butter,50g golden caster sugar,50g icing sugar,2 egg yolks,2 tsp vanilla extract,300g plain flour,zest and juice 1 orange,140g icing sugar sifted,sprinkles to decorate,BBC Good Food,https://www.bbcgoodfood.com/recipes/rainbow-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread cookie cottage,Jane Hornby,4.8,5,NA,"More effort
Prep: 30 mins
Cook: 15 mins
Plus chilling, drying and decorating time",13,650g self-raising flour plus extra to dust,3 tsp ground ginger,3 tsp ground cinnamon,175g butter cut into cubes,225g brown sugar,175g black treacle,2 eggs beaten,2x tubes white ready-to-use icing,2x chocolate flake bars,BBC Good Food,https://www.bbcgoodfood.com/recipes/gingerbread-cookie-cottage,2x packs white mini marshmallows,"200g icing sugar sifted, plus extra for dusting","coloured lollies, chocolate buttons,  sweets",30cm square silver cake board,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snow globe cookies,Anna Glover,5,5,Vegetarian,"Serves 10
More effort
Prep: 1 hr
Cook: 11 mins
plus chilling and drying",9,175g plain flour plus extra for dusting,100g cold butter cubed,50g caster sugar,1 tsp vanilla extract,1tbsp milk,vegetable oil for the parchment,30 (about 160g) glacier mints or other clear mint-flavoured boiled sweets,200g royal icing sugar,6tbsp sprinkles,BBC Good Food,https://www.bbcgoodfood.com/recipes/snow-globe-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Speculoos cookies,Einfach Backen Team,5,5,NA,"Makes 45
Easy
Prep: 30 mins
Cook: 8 mins
plus cooling",7,270g plain flour plus a little for dusting,150g caster sugar,pinch baking powder,"2 tsp speculoos spice (a mixture of cinnamon, cloves, coriander, ginger, cardamom and nutmeg), available online",100ml milk,100g butter at room temperature,200g flaked almonds,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/speculoos-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot cake cookies,Sarah Cook,3.8,5,NA,"Makes 14
More effort
Prep: 30 mins
Cook: 20 mins
plus chilling",13,140g cream cheese,140g icing sugar plus 3 tbsp,½ tsp vanilla extract,350g plain flour plus extra for dusting your hands,½ tsp baking powder,1 tsp ground cinnamon,1 tsp mixed spice,140g butter softened,140g soft light brown sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/carrot-cake-cookies,1 egg beaten,200g carrot finely grated,zest and juice 1 orange,3 tbsp finely chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easiest air fryer Easter chocolate cookies,Silvana Franco,5,5,"Freezable (raw dough only)
Vegetarian","Makes 16
Easy
Prep: 15 mins
Cook: 10 mins",7,125g unsalted butter softened,150g light brown soft sugar,1 egg,1 tsp vanilla extract,225g plain flour,½ tsp  bicarbonate of soda,"150g chocolate (any type), roughly chopped",NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easiest-air-fryer-easter-chocolate-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimtsterne (Cinnamon star cookies),Edd Kimber,4.2,5,"Freezable
Gluten-free","Makes about 30
Easy
Prep: 30 mins
Cook: 15 mins",6,2 large egg whites,1 tsp lemon juice plus zest 1 lemon,200g icing sugar plus extra for dusting,250g ground almond,2 tsp ground cinnamon,1 tsp ground ginger,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/zimtsterne-cinnamon-stars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Choc chunk, cashew & cranberry cookies",Jane Hornby,4.5,5,Freezable (uncooked dough only),"Makes 30
Easy
Prep: 20 mins
Cook: 12 mins
plus cooling, cook 12 mins per batch",10,100g pack cashew nuts or more if you like,"140g unsalted butter at room temperature, plus extra for greasing",250g plain flour,½ tsp baking powder,200g white caster sugar,100g crunchy cashew nut butter or use peanut butter,1 large egg beaten,2 tbsp golden syrup,"200g bar chocolate 50% cocoa solids, chopped into 1cm chunks",BBC Good Food,https://www.bbcgoodfood.com/recipes/choc-chunk-cashew-cranberry-cookies,50g dried cranberries (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate peppermint crinkle cookie,Ailsa Burt,4,5,Vegetarian,"Makes 15-20
Easy
Prep: 20 mins
Cook: 10 mins
plus cooling",12,30g cocoa powder sieved,100g caster sugar,25ml vegetable oil,1 egg,90g plain flour,½ tsp baking powder,45g icing sugar,50g white chocolate,50g salted butter,BBC Good Food,https://www.bbcgoodfood.com/premium/chocolate-peppermint-crinkle-cookie,¼ tsp peppermint extract,65g icing sugar,green food colouring paste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter sugar cookies,Einfach Kochen,3.6,5,"Nut-free
Vegetarian","Serves 50 - 60
Easy
Prep: 45 mins
Cook: 20 mins
plus chilling and cooling",14,200g plain flour plus extra for dusting,120g caster sugar,½ vanilla bean seeds scraped out or ½ tsp vanilla paste,125g butter cut into cubes,1 egg,150g plain flour,50g cocoa powder,120g caster sugar,"½ vanilla bean seeds scraped out, or ½ tsp vanilla bean paste",BBC Good Food,https://www.bbcgoodfood.com/recipes/easter-sugar-cookies,125g butter cut into cubes,1 egg,500g icing sugar,2 egg whites,"food colouring paste we used pastel yellow, green and pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air fryer peanut butter & chocolate chip cookies,Cassie Best,3.6,5,"Freezable (raw dough only)
Vegetarian","Serves 12
Easy
Prep: 10 mins
Cook: 8 mins - 10 mins
plus chilling",7,125g peanut butter,100g light brown soft sugar,1 egg,½ tsp vanilla extract,50g plain flour,½ tsp baking powder,100g dark or milk chocolate chips,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/premium/air-fryer-peanut-butter-chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortune cookies,Chelsie Collins,3.8,5,NA,"Makes about 15
More effort
Prep: 10 mins
Cook: 10 mins
plus chilling, cook time per batch",8,2 egg whites,1 tsp vanilla extract,1 tsp almond extract,3 tbsp sunflower oil,100g plain flour,2 tsp cornflour,100g caster sugar,1 ½ tbsp black sesame seeds,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/fortune-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watermelon sugar cookies,Cassie Best,5,5,"Freezable (unbaked dough)
Vegetarian","Makes 40
More effort
Prep: 25 mins
Cook: 15 mins
plus at least 2 hrs chilling and setting",7,175g cold butter,100g golden caster sugar,250g plain flour plus extra for dusting,1 egg yolk (freeze the white for another recipe),½ tsp vanilla extract,red and green food colouring gels,black edible icing pen,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/watermelon-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
