title,author,recipesubmitter,tester,rating,ratingnum,description,category,times1,timesyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Italian Cenci Cookies,By Taste Of Home Editorial Team,Recipe by Anna Coduto,Tested by Taste of Home Test Kitchen,4.3,3,"My mother brought this special family recipe from Europe a century ago. Cenci can be ""dressed up"" for any holiday—at Easter, I sprinkle yellow, pink and lavender jelly beans over them, and for Christmas, red and green candy sprinkles give the cenci a festive look. Even without the garnish, they always disappear fast! —Anna Coduto, Fullerton, California",Dishes & Beverages,Total Time:Prep: 30 min. Cook: 20 min.,"Yield:about 4 dozen
Prep:30 min
Cook:20 min",2,"In a bowl, beat eggs, sugar and salt until frothy. Stir in vanilla. Sift flour with baking powder; gradually add to batter. Add butter and mix well. Turn out onto a floured surface; knead for 10 minutes. Divide dough in half; roll each half as thin as possible (noodle thickness). Cut into 5-in. x 1-in. strips with a knife or scalloped pastry wheel. 
   Preheat oil to 375°; fry cookies until golden brown, about 1 minute per side. Drain on paper towels. Sprinkle with confectioners' sugar. Cookies are best served the same day.",9,3 large eggs,3 tablespoons sugar,1/2 teaspoon salt,1/2 teaspoon vanilla extract,2 cups all-purpose flour,1-1/2 teaspoons baking powder,"1-1/2 teaspoons butter, softened",Oil for deep-fat frying,Confectioners' sugar,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/italian-cenci-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chip Cookies,By Lesley Balla,"Recipe by Clarice Schweitzer, Sun City, Arizona",Tested by Taste of Home Test Kitchen,4.9,38,"With this easy recipe for peanut butter chocolate chip cookies, you get two great cookies in one soft, chewy treat.",Cookies,Total Time:Prep/Total Time: 30 min.,"Yield:2 dozen
Prep:20 min
Cook:10 min",2,"In a bowl, cream butter and sugars; beat in peanut butter, egg and vanilla. Combine flour, oats, baking soda and salt; stir into the creamed mixture. Stir in chocolate chips. 
   Drop by rounded tablespoonfuls onto ungreased baking sheets. Bake at 350° until golden brown, 10-12 minutes. Cool 1 minute before removing to a wire rack.",11,"1/2 cup butter, softened",1/2 cup sugar,1/3 cup packed brown sugar,1/2 cup chunky peanut butter,1 large egg,1 teaspoon vanilla extract,1 cup all-purpose flour,1/2 cup old-fashioned oats,1 teaspoon baking soda,1/4 teaspoon salt,1 cup semisweet chocolate chips,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/chocolate-chip-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crisp Graham Cookies,By Taste Of Home Editorial Team,"Recipe by Lori Daniels, Beverly, West Virginia",Tested by Taste of Home Test Kitchen,5,6,"I was delighted to find the recipe for these fun cookies. The peanut butter makes them extra special. —Lori Daniels, Beverly, West Virginia",Cookies,Total Time:Prep: 25 min. Bake: 10 min.,"Yield:7 dozen
Prep:25 min
Cook:10 min",2,"In a bowl, cream shortening and brown sugar; beat in egg. Add vanilla and milk. Blend in peanut butter. Combine dry ingredients; add to the creamed mixture. Stir in the pecans and M&M's. 
   Drop by teaspoonfuls 1 in. apart on ungreased baking sheets. Bake at 350° for 10-12 minutes or until golden brown. Cool on wire racks.",12,1/2 cup butter-flavored shortening,1/2 cup packed brown sugar,"1 large egg, room temperature",1-1/2 teaspoons vanilla extract,1 can (14 ounces) sweetened condensed milk,3 tablespoons creamy peanut butter,1-1/2 cups all-purpose flour,1 cup graham cracker crumbs,1 teaspoon baking soda,1 teaspoon salt,1/2 cup chopped pecans,1 package (12.6 ounces) milk chocolate M&M's,NA,Taste of Home,https://www.tasteofhome.com/recipes/crisp-graham-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Cookies,By Lauren Habermehl,"Recipe by Ruth Griggs, South Hill, Virginia",Tested by Taste of Home Test Kitchen,4.8,10,Learn the basics and perfect the art of making the best-ever butter cookies with this step-by-step guide.,Dishes & Beverages,Total Time:Prep: 25 min. Bake: 10 min./batch,"Yield:about 6-1/2 dozen
Prep:25 min
Cook:10 min",3,"Preheat oven to 375°. Cream butter and sugar until light and fluffy, 5-7 minutes. Beat in egg and vanilla. In another bowl, whisk flour, baking powder and salt; gradually beat into creamed mixture.
   Using a cookie press fitted with a heart disk, press dough 1 in. apart onto ungreased baking sheets. Bake until set but not brown, 6-8 minutes. Cool on wire racks.
   For frosting, beat butter, confectioners' sugar, vanilla and enough milk to reach a spreading consistency. If desired, tint with food coloring. Decorate cookies as desired.",13,"1 cup butter, softened",3/4 cup sugar,"1 large egg, room temperature",1/2 teaspoon vanilla extract,2-1/2 cups all-purpose flour,1 teaspoon baking powder,1/4 teaspoon salt,frosting:,"1/2 cup butter, softened",4 cups confectioners' sugar,1 teaspoon vanilla extract,3 to 4 tablespoons 2% milk,"Red food coloring, optional",Taste of Home,https://www.tasteofhome.com/recipes/butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Christmas Cookies,By Taste Of Home Editorial Team,"Recipe by Judy Wilder, Mankato, Minnesota",Tested by Taste of Home Test Kitchen,4,88,"These moist treats will have everyone reaching for more. Folks tell me they enjoy these French Christmas cookies. In fact, the batches I make ahead for my family and store in the freezer until Christmas seem to mysteriously disappear each year—even though the chocolate topping I put on before serving hasn't been added yet! —Judy Wilder, Mankato, Minnesota",Cookies,Total Time:Prep: 20 min. Bake: 10 min./batch + cooling,"Yield:about 2-1/2 dozen
Prep:20 min
Cook:10 min",3,"Preheat oven to 375°. In a large bowl, cream butter and brown sugar until light and fluffy. Beat in milk. Gradually beat cracker crumbs into creamed mixture. Stir in walnuts and 2 cups chocolate chips.
   Fill 2-in. foil baking cup liners three-fourths full. Place 1 in. apart in 15x10x1-in. baking pans. Bake 10-12 minutes or until set. Remove from pans to wire racks to cool completely.
   Drizzle with melted chocolate; let stand until set. Store in an airtight container in the refrigerator.",8,"1/2 cup butter, softened",1 cup packed brown sugar,1 cup 2% milk,2-3/4 cups graham cracker crumbs,2 cups finely chopped walnuts,2 cups milk chocolate chips,topping:,"1/2 cup milk chocolate chips, melted",NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/french-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowman Cookies,By Kim Wehby,"Recipe by Betty Tabb, Mifflintown, Pennsylvania",Tested by Taste of Home Test Kitchen,3.8,10,"Set a platter of adorable snowman cookies on the dessert table to spread holiday cheer. Or, gift them to your loved ones for a fun treat!",Dishes & Beverages,Total Time:Prep: 20 min. + chilling Bake: 20 min./batch + cooling,"Yield:4 dozen
Prep:20 min
Cook:20 min",5,"In a large bowl, cream butter, cream cheese and sugar until light and fluffy. Beat in egg and extracts. In another bowl, whisk flour and baking powder; gradually beat into creamed mixture. Refrigerate, covered, overnight.
   Preheat oven to 325°. Shape dough into forty-eight 1-in. balls, forty-eight 3/4-in. balls and forty-eight 1/2-in. balls. On ungreased baking sheets, place 1 ball of each size, side by side, for each snowman.
   Bake 18-20 minutes or until light brown. Remove from oven; cool on pans 2 minutes. Press on chocolate chips for eyes and M&M's for buttons. Carefully remove from pans to wire racks to cool completely.
   For frosting, in a small bowl, beat confectioners' sugar, extract and enough milk to reach a piping consistency. If 2 colors of frosting are desired, transfer half of the frosting to another bowl and tint each with a different food coloring.
   Place frosting in piping bag fitted with with a small round tip. Pipe scarves on snowmen. Use frosting to attach chocolate kisses for hats. Allow cookies to sit until frosting is firm.",16,"1 cup butter, softened","1 package (8 ounces) cream cheese, softened",2 cups sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,1/4 teaspoon almond extract,1/4 teaspoon coconut extract,3-1/2 cups all-purpose flour,1 teaspoon baking powder,"Miniature semisweet chocolate chips, and green and red M&M's minis",frosting:,1 cup confectioners' sugar,1/8 teaspoon coconut extract,Taste of Home,https://www.tasteofhome.com/recipes/snowman-cookies/,2 to 4 teaspoons 2% milk,Red and/or green food coloring,"Miniature milk chocolate kisses, unwrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Christmas Slices,By Taste Of Home Editorial Team,Recipe by Katie Koziolek,Tested by Taste of Home Test Kitchen,4.4,19,"Brilliant red and green candied cherries add extra sparkle to these delicious holiday delights. What I really like best is that this recipe's easy to mix up ahead of time. In fact, I've often made the dough in November and kept it in the freezer until I needed it in December! —Katie Koziolek, Hartland, Minnesota",Cookies,Total Time:Prep: 20 min. + chilling Bake: 10 min./batch,"Yield:about 11 dozen
Prep:20 min
Cook:10 min",3,"Cream butter and sugar. Add egg and vanilla; beat until fluffy. Add flour; mix well. Stir in cherries and pecans. Chill 1 hour. 
   Shape dough into three 6-in.-long logs; wrap securely and place in a freezer container. Freeze until ready to bake, or up to 2 months.
   To bake, cut frozen logs into 1/8-in. slices and place on ungreased baking sheets. Bake at 325° until edges are golden brown, 10-12 minutes. Cool on wire racks.",8,"1 cup butter, softened",1 cup confectioners' sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,2-1/4 cups all-purpose flour,"1 cup red candied cherries, halved","1 cup green candied cherries, halved",1 cup pecan halves,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/cherry-christmas-slices/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breakfast Cookies,By Taste Of Home Editorial Team,"Recipe by Wanda Cox, Roscommon, Michigan",Tested by Taste of Home Test Kitchen,4.7,3,"I like to give my family a hearty start in the morning, especially when they have to eat in a hurry. These easy-to-make ""cookies"" are perfect for a breakfast on the run and really appeal to the kid in all of us. —Wanda Cox, Roscommon, Michigan",Cookies,Total Time:Prep: 25 min. Bake: 15 min.,"Yield:3 dozen
Prep:25 min
Cook:15 min",1,"In a bowl, cream butter and sugar. Add egg and vanilla; mix well. Combine flour, baking soda and salt; add to creamed mixture and mix well. Stir in oats and wheat germ. Fold in cheese and bacon. Drop by rounded teaspoonfuls onto ungreased baking sheets. Bake at 350° for 15-17 minutes or until light brown.",11,"2/3 cup butter, softened",2/3 cup sugar,"1 large egg, lightly beaten",1 teaspoon vanilla extract,3/4 cup all-purpose flour,1/2 teaspoon baking soda,1/2 teaspoon salt,1-1/2 cup old-fashioned oats,1/2 cup toasted wheat germ,1 cup shredded cheddar cheese,"6 bacon strips, cooked and crumbled",NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/breakfast-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angel Sugar Crisps,By Taste Of Home Editorial Team,"Recipe by Annabel Cox, Olivet, South Dakota",Tested by Taste of Home Test Kitchen,4.4,27,"Whenever I've taken this sugar crisp recipe to church coffees, I've had women come into the kitchen and request the recipe. You'll enjoy this sugar cookie's secret ingredient—brown sugar! —Annabel Cox, Olivet, South Dakota",Dishes & Beverages,Total Time:Prep: 25 min. Bake: 10 min.,"Yield:4 dozen
Prep:25 min
Cook:10 min",1,"In a bowl, cream butter, shortening, sugars, egg and vanilla until light and fluffy. Sift together flour, soda, cream of tartar and salt. Add to creamed mixture; mix until blended. Shape into large marble-size balls. Dip half of ball into water, then in sugar. Place, sugared side up, on ungreased baking sheets. Bake at 400° for 6 minutes or until done. Cool.",12,"1/2 cup butter, softened",1/2 cup shortening,1/2 cup sugar,1/2 cup packed brown sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon cream of tartar,1/2 teaspoon salt,Water,Additional white or colored sugar,NA,Taste of Home,https://www.tasteofhome.com/recipes/angel-sugar-crisps/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Snowballs,By Taste Of Home Editorial Team,"Recipe by Dee Derezinski, Waukesha, Wisconsin",Tested by Taste of Home Test Kitchen,4.5,33,"This is my favorite Christmas cookie recipe. The cookies remind me of the snowballs I packed as a child during many cold Wisconsin winters. —Dee Derezinski, Waukesha, Wisconsin",Cookies,Total Time:Prep: 30 min. Bake: 15 min./batch + cooling,"Yield:about 4 dozen
Prep:30 min
Cook:15 min",2,"Preheat oven to 350°. In a large bowl, cream butter, sugar and salt until light and fluffy, 5-7 minutes. Beat in egg and vanilla. Gradually beat in flour. Stir in pecans and chocolate chips.
   Shape dough into 1-in. balls; place 2 in. apart on ungreased baking sheets. Bake until set and bottoms are lightly browned, 15-20 minutes. Cool on pans 2 minutes. Roll warm cookies in confectioners' sugar. Cool completely on wire racks. If desired, reroll cookies in confectioners' sugar.",9,"3/4 cup butter, softened",1/2 cup sugar,1/2 teaspoon salt,"1 large egg, room temperature",2 teaspoons vanilla extract,2 cups all-purpose flour,1 cup chopped pecans or walnuts,1 cup (6 ounces) chocolate chips,Confectioners' sugar,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/chocolate-snowballs/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Bonbons,By Taste Of Home Editorial Team,"Recipe by Leitzel Malzahn, Fox Point, Wisconsin",Tested by Taste of Home Test Kitchen,4.3,4,"When I first sampled this unique cookie, I decided it was the best cookie I'd ever tasted! The coffee flavor and chocolate icing make it a delightful treat at buffets and church socials. — Leitzel Malzahn, Fox Point, Wisconsin",Dishes & Beverages,Total Time:Prep: 20 min. + chilling Bake: 20 min./batch,"Yield:5 dozen
Prep:20 min
Cook:20 min",2,"In a bowl, cream butter and sugar until light and fluffy. Add vanilla. Combine coffee and flour; stir into creamed mixture and mix well. Chill. Shape into 3/4-in. balls and place on ungreased baking sheets. Bake at 350° for 18-20 minutes. 
   Meanwhile, for glaze, melt butter and chocolate together. Add melted mixture to sugar along with milk; beat until smooth. Frost cookies while still warm.",10,"1 cup butter, softened",3/4 cup confectioners' sugar,1/2 teaspoon vanilla extract,1 tablespoon instant coffee granules,1-3/4 cups all-purpose flour,chocolate glaze:,1 tablespoon butter,1/2 ounce unsweetened chocolate,1 cup confectioners' sugar,2 tablespoons milk,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/coffee-bonbons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruitcake Christmas Cookies,By Taste Of Home Editorial Team,"Recipe by Julia Funkhouser, Carson, Iowa",Tested by Taste of Home Test Kitchen,4.7,19,"A twist on classic fruitcake, these easy fruitcake cookies are as festive as they are fun to bake.",Cookies,Total Time:Prep: 25 min. Bake: 15 min./batch,"Yield:4 dozen
Prep:25 min
Cook:15 min",2,"Preheat oven to 325°. In a large bowl, cream butter and brown sugar until light and fluffy. Beat in egg and vanilla. In another bowl, whisk together flour, baking soda and salt; gradually beat into creamed mixture. Stir in remaining ingredients.
   Drop dough by tablespoonfuls onto greased baking sheets. Bake until golden brown, about 15 minutes. Store in an airtight container. (Cookies are best after a few days.)",13,"1 cup butter, softened",3/4 cup packed brown sugar,"1 large egg, room temperature",1/2 teaspoon vanilla extract,1-2/3 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,"1-1/2 cups dates, finely chopped","4 ounces red candied cherries, halved","4 ounces candied pineapple, diced","1/2 cup whole hazelnuts, toasted",1/2 cup coarsely chopped pecans,1/2 cup coarsely chopped walnuts,Taste of Home,https://www.tasteofhome.com/recipes/fruitcake-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grandma Brubaker’s Orange Cookies,By Taste Of Home Editorial Team,"Recipe by Sheri DeBolt, Huntington, Indiana",Tested by Taste of Home Test Kitchen,4.7,24,"At least two generations of my family have enjoyed the recipe for these light, delicate orange-flavored cookies. —Sheri DeBolt, Huntington, Indiana",Cookies,Total Time:Prep: 20 min. Bake: 10 min./batch + cooling,"Yield:about 6 dozen
Prep:20 min
Cook:10 min",3,"Preheat oven to 325°. In a bowl, cream shortening and sugar until light and fluffy, 5-7 minutes. Beat in egg yolks and buttermilk. Sift together flour, baking powder, baking soda and salt; add to creamed mixture alternately with orange juice and zest. Add egg whites and beat until smooth. 
   Drop by rounded teaspoonfuls onto greased cookie sheets. Bake until set, about 10 minutes. Remove to wire racks to cool completely.
   For icing, combine all ingredients and beat until smooth. Frost cooled cookies.",14,1 cup shortening,2 cups sugar,"2 large eggs, separated, room temperature",1 cup buttermilk,5 cups all-purpose flour,2 teaspoons baking powder,2 teaspoons baking soda,Pinch salt,Juice and grated zest of 2 medium navel oranges,icing:,2 cups confectioners' sugar,1/4 cup orange juice,1 tablespoon butter,Taste of Home,https://www.tasteofhome.com/recipes/grandma-brubaker-s-orange-cookies/,1 tablespoon grated orange zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Snowdrops,By Taste Of Home Editorial Team,"Recipe by Bernice Martinoni, Petaluma, California",Tested by Taste of Home Test Kitchen,0,0,"I save my snowdrop cookies for special occasions. The crunchy, buttery sandwich cookie has a puckery lemon filling. —Bernice Martinoni, Petaluma, California",Cookies,Total Time:Prep: 40 min. + chilling Bake: 10 min./batch + cooling,"Yield:2 dozen
Prep:40 min
Cook:10 min",3,"Preheat oven to 350°. Cream butter, confectioners' sugar and salt until light and fluffy, 5-7 minutes. Beat in extract. Gradually beat in flour. Shape teaspoons of dough into balls (if necessary, refrigerate dough, covered, until firm enough to shape). Place 1 in. apart on ungreased baking sheets; flatten slightly with bottom of a glass dipped in sugar. Bake until light brown, 10-12 minutes. Remove cookies from pans to wire racks to cool completely.
   For filling, whisk together egg, sugar, lemon zest and lemon juice in a small heavy saucepan over medium-low heat until blended. Add butter; cook over medium heat, whisking constantly, until thickened and a thermometer reads at least 170°, about 20 minutes. Remove from heat immediately (do not allow to boil). Transfer to a small bowl; cool. Press plastic wrap onto surface of filling. Refrigerate until cold, about 1 hour.
   To serve, spread lemon filling on half of cookies; cover with remaining cookies. If desired, dust with confectioners' sugar. Store leftovers in refrigerator.",13,"1 cup butter, softened",1/2 cup confectioners' sugar,1/4 teaspoon salt,1 teaspoon lemon extract,2 cups all-purpose flour,Sugar,filling:,"1 large egg, room temperature, lightly beaten",2/3 cup sugar,2 teaspoons grated lemon zest,3 tablespoons lemon juice,4 teaspoons butter,"Additional confectioners' sugar, optional",Taste of Home,https://www.tasteofhome.com/recipes/lemon-snowdrops/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Cornflake Cookies,By Taste Of Home Editorial Team,"Recipe by Denise Marnell, Hereford, Texas",Tested by Taste of Home Test Kitchen,4,1,"I grew up on a farm where we hand-milked cows and had plenty of milk and cream to use for cooking, so sometimes we'd substitute light cream for the evaporated milk in this recipe. We'd rarely let these cookies cool before sampling them, and a batch never lasted a day! —Denise Marnell, Hereford, Texas",Cookies,Total Time:Prep/Total Time: 25 min.,"Yield:about 4 dozen
Prep:25 min",1,"Combine cornflakes, coconut and pecans; set aside. In a small heavy saucepan, combine remaining ingredients. Cook, stirring constantly, over medium heat until a candy thermometer reads 240° (soft-ball stage). Add syrup mixture to dry ingredients; stir well. Drop by tablespoonfuls onto waxed paper. Let stand until set.",8,4 cups cornflakes,1-1/2 cups sweetened shredded coconut,3/4 cup chopped pecans,1-1/2 cups sugar,1/2 cup light corn syrup,1/2 cup evaporated milk,1/4 cup butter,Dash salt,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/no-bake-cornflake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roll-Out Cookies,By Taste Of Home Editorial Team,Recipe by Bonnie Price,Tested by Taste of Home Test Kitchen,5,6,"I collect cookie cutters (I have over 5,000!), so a good cutout recipe is a must. These cookies are crisp and buttery-tasting with just a hint of lemon, and the dough handles nicely. —Bonnie Price, Yelm, Washington",Cookies,Total Time:Prep: 25 min. Bake: 10 min./batch,"Yield:about 6 dozen (2-1/4 inch cookies)
Prep:25 min
Cook:10 min",1,"In a bowl, cream butter and sugar. Add egg and extracts. Combine flour and baking powder; gradually add to creamed mixture and mix well. (Dough will be very stiff. If necessary, stir in the last cup of flour mixture by hand. Do not chill.) On a lightly floured surface, roll dough to 1/8-in. thickness. Cut out cookies into desired shapes. Place 2 in. apart on ungreased baking sheets. Bake at 400° for 6-7 minutes or until edges are lightly browned. Cool 2 minutes before removing to wire racks; cool completely. For glaze, combine the sugar, water and corn syrup until smooth. Tint with food coloring if desired. Using a small brush and stirring glaze often, brush on cookies, decorating as desired.",12,"1 cup butter, softened",1 cup sugar,1 large egg,1 teaspoon vanilla extract,1/2 teaspoon lemon extract,3 cups all-purpose flour,2 teaspoons baking powder,glaze:,1 cup confectioners' sugar,2 tablespoons water,1 tablespoon light corn syrup,"Food coloring, optional",NA,Taste of Home,https://www.tasteofhome.com/recipes/roll-out-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Struffoli,By Val Goodrich,"Recipe by Sue Seymour, Valatie, New York",Tested by Taste of Home Test Kitchen,4.8,5,"While they’re a little more labor-intensive than your average Christmas cookie, struffoli are a must-have holiday dessert in Italy and Italian-American households.",Dishes & Beverages,Total Time:Prep: 20 min. Cook: 5 min./batch + cooling,"Yield:about 15 dozen
Prep:20 min
Cook:5 min",2,"In an electric skillet or deep-fat fryer, heat oil to 350°. In a bowl, combine sugar, lemon zest, vanilla and salt. Add eggs and 2 cups flour; mix well. Turn onto a floured surface and knead in remaining flour (dough will be soft). 
   With a floured knife or scissors, cut into 20 pieces. With hands, roll each piece into pencil shapes. Cut ""pencils"" into 1/2-in. pieces.  Fry pieces, a few at a time, until golden brown, 2 minutes per side. Drain on paper towels. Place in a large bowl. Heat honey to boiling; pour over cookies and mix well. With a slotted spoon, remove to a serving platter and slowly mound into a tree shape if desired. Decorate with candy sprinkles. Cool completely.",9,Oil for deep-fat frying,1 tablespoon sugar,1 teaspoon grated lemon zest,1 teaspoon vanilla extract,1/2 teaspoon salt,"4 large eggs, room temperature",2-1/2 cups all-purpose flour,1 cup honey,Candy sprinkles,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/italian-holiday-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla Wafers,By Christabel Lobo,"Recipe by Edith MacBeath, Gaines, Pennsylvania",Tested by Taste of Home Test Kitchen,4.6,40,This easy recipe for vanilla wafers creates buttery cookies that are equally chewy and crispy. Our seven-ingredient recipe yields more than three dozen cookies in only 35 minutes.,Cookies,Total Time:Prep: 20 min. Bake: 15 min.,"Yield:about 3-1/2 dozen
Prep:20 min
Cook:15 min",2,"In a large bowl, cream butter and sugar until light and fluffy. Beat in egg and vanilla. Combine dry ingredients; add to creamed mixture and mix well. 
   Drop by teaspoonfuls 2 in. apart onto ungreased baking sheets. Bake at 350° for 12-15 minutes or until edges are golden brown. Remove to wire racks to cool.",7,"1/2 cup butter, softened",1 cup sugar,1 egg,1 tablespoon vanilla extract,1-1/3 cups all-purpose flour,3/4 teaspoon baking powder,1/4 teaspoon salt,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/vanilla-wafer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goblin Chewies,By Taste Of Home Editorial Team,Recipe by Bernice Morris,Tested by Taste of Home Test Kitchen,4,1,"These light, crispy cookies are packed with fun ingredients perfect for Halloween. —Bernice Morris, Marshfield, Missouri",Cookies,Total Time:Prep: 30 min. Bake: 10 min.,"Yield:6 dozen
Prep:30 min
Cook:10 min",2,"In a bowl, cream shortening and sugars. Add eggs and vanilla; mix well. Combine the flour, baking soda, baking powder and salt; add to creamed mixture. Stir in oats, cereal, orange slices and chips or raisins. 
   Drop by tablespoonfuls 2 in. apart onto greased baking sheets. Flatten slightly with a fork. Decorate with raisin or chocolate chip eyes and orange slice mouths. Bake at 350° for 10-14 minutes. Cool on wire racks.",14,1 cup shortening,1 cup packed brown sugar,1 cup sugar,2 large eggs,1 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon salt,1-1/2 cups old-fashioned oats,1 cup crisp rice cereal,1 cup diced candy orange slices,1 cup semisweet chocolate chips or raisins,Taste of Home,https://www.tasteofhome.com/recipes/goblin-chewies/,Additional raisins or chocolate chips and candy orange slices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cashew Cookies,By Jim Hoffman,"Recipe by June Lindquist, Hammond, Wisconsin",Tested by Taste of Home Test Kitchen,5,5,"These buttery, nutty cashew cookies are so delicious, you'll wonder why they haven't taken on the chocolate chip cookie in a popularity contest.",Cookies,Total Time:Prep: 25 min. Bake: 10 min./batch + cooling,"Yield:5 dozen
Prep:25 min
Cook:10 min",2,"Preheat oven to 375°. In a bowl, cream together butter and brown sugar until light and fluffy, 5-7 minutes. Beat in egg and vanilla. Combine next 4 ingredients; add alternately with sour cream to creamed mixture. Stir in chopped cashews. Drop by tablespoonfuls onto greased baking sheets. Bake until lightly browned, 8-10 minutes. Cool on a wire rack.    
   For frosting, lightly brown butter in a small saucepan. Remove from the heat and cool slightly. Add cream and vanilla. Beat in confectioners' sugar until smooth and thick. Frost cookies; top each with a cashew half.",16,"1/2 cup butter, softened",1 cup packed brown sugar,"1 large egg, room temperature",1/2 teaspoon vanilla extract,2 cups all-purpose flour,3/4 teaspoon baking powder,3/4 teaspoon baking soda,1/4 teaspoon salt,1/3 cup sour cream,1-3/4 cups chopped cashews,frosting:,"1/2 cup butter, cubed",3 tablespoons half-and-half cream,Taste of Home,https://www.tasteofhome.com/recipes/cashew-cookies/,1/4 teaspoons vanilla extract,2 cups confectioners' sugar,Cashew halves,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meringue Kisses,By Taste Of Home Editorial Team,Recipe by Tami Henke,Tested by Taste of Home Test Kitchen,4,6,"There's a nice chocolaty surprise inside these sweet kisses. They're my husband's top choice each Christmas.—Tami Henke, Lockport, Illinois",Cookies,Total Time:Prep: 15 min. Bake: 30 min./batch + cooling,"Yield:44 cookies
Prep:15 min
Cook:30 min",3,"Place egg whites in a small bowl; let stand at room temperature for 30 minutes. Beat egg whites until foamy. Sprinkle with cream of tartar and salt; beat until soft peaks form. Gradually add sugar and vanilla, beating until stiff peaks form, about 5-8 minutes. If desired, divide batter in half and fold in red and green food coloring.  
   Drop by rounded tablespoonfuls 1-1/2-in. apart onto lightly greased baking sheets. Press a chocolate kiss into the center of each cookie and cover it with meringue, using a knife. 
   Bake at 275° for 30-35 minutes or until firm to the touch. Immediately remove to a wire rack to cool. If desired, sprinkle with cocoa. Store in an airtight container.",8,3 large egg whites,1/4 teaspoon cream of tartar,Pinch salt,1 cup sugar,1 teaspoon vanilla extract,"Red and green food coloring, optional",44 milk chocolate kisses,"Baking cocoa, optional",NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/meringue-kisses/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
