title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Amish Sugar Cookies,Amanda Rettke,4.94,45,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,9," 4 ½ cups (576 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon cream of tartar
"," 1 cup (2 sticks / 226g) salted butter, room temperature
"," 1 cup (224g or 8 ounces) vegetable oil
"," 1 cup (200g) granulated sugar
"," 1 cup (125g) confectioners sugar
"," 2 (3.50 ounces – 4.0 ounces) large eggs, room temperature
", 2 teaspoons vanilla extract,i am baker,https://iambaker.net/amish-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie with Sugar Cookie Frosting,Amanda Rettke,4.63,27,Prep Time 20 minutes mins,Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,15,"Sugar Cookie
"," 1 cup (2 sticks / 226 g) unsalted butter, softened
"," 1 ¼ cups (250 g) granulated sugar
"," ¾ cup (94 g) confectioners' sugar
"," ¾ cup (168 g) vegetable oil
"," 3 large eggs, room temperature
"," 5 ½ cups (688 g) all-purpose flour
"," 1 teaspoon cream of tartar
", 1 teaspoon kosher salt,i am baker,https://iambaker.net/sugar-cookie-recipe-sugar-cookie-frosting/," Sugar Cookie Frosting
"," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ¾ cup (173 g) sour cream, room temperature
"," 1 teaspoon kosher salt
"," 4-5 cups (440-550 g) confectioners' sugar
", red food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Chex Cookies,Amanda Rettke,4.80,5,Prep Time 10 minutes mins,NA,Cooling Time 30 minutes mins,Total Time 40 minutes mins,NA,7," 1 cup (200g) granulated sugar
"," 1 cup (340g) corn syrup
"," 1 teaspoon vanilla
"," 1 1/2 cups (387g) creamy peanut butter
"," 5 cups Chex cereal, I used Rice Chex
"," pinch salt
", 2 cups mini marshmallows,NA,NA,i am baker,https://iambaker.net/no-bake-chex-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Honey Chocolate Chip Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,10," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ½ cup (100 g) light brown sugar, packed
"," ¼ cup (85 g) honey
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1 ¾ cups (219 g) all-purpose flour
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 cup (170 g) semi-sweet chocolate chunks
",i am baker,https://iambaker.net/salted-honey-chocolate-chip-cookies/," Flaky sea salt, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy Chocolate Toffee Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg, room temperature
"," 1 large egg yolk, room temperature
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cup (67 g) cake flour
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/chocolate-toffee-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," ¾ cup (126 g) semi-sweet chocolate chips
"," ¾ cup (126 g) milk chocolate chips
"," ¾ cup (120 g) toffee bits, like Bits O' Brickle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Brownie Cookies,Amanda Rettke,NA,NA,Prep Time 30 minutes mins,Cook Time 12 minutes mins,Chilling Time 50 minutes mins,Total Time 1 hour hr 32 minutes mins,NA,22,"Brownie Cookie Dough
"," ½ cup (84 g) semi-sweet chocolate chips
"," ¼ cup (½ stick / 57 g) unsalted butter
"," 2 tablespoons Dutch-process cocoa powder
"," ⅔ cup (133 g) light brown sugar, packed
"," 1 large egg, room temperature
"," ⅔ cup (83 g) all-purpose flour
"," 1 teaspoon baking powder
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/ginger-brownie-cookies/," Ginger Cookie Dough
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," ¼ cup (84 g) molasses
"," 2 ½ cups (312.5 g) all-purpose flour
"," ½ teaspoon baking soda
"," 1 teaspoon baking powder
"," ½ teaspoon kosher salt
"," 2 teaspoons ground ginger
"," 1 teaspoon ground cinnamon
"," ¼ teaspoon cloves
", ¼ teaspoon nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cut Out Chocolate Sugar Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,9," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) granulated sugar
"," 1 teaspoon vanilla extract
"," 1 large egg, room temperature
"," 2 ¼ cups (281 g) all-purpose flour
"," ¾ cup (94 g) Dutch-process cocoa powder
"," 1 tablespoon cornstarch
"," 1 teaspoon baking powder
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/cut-out-chocolate-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Chip Cookies,Amanda Rettke,5,2,Prep Time 15 minutes mins,Cook Time 8 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 23 minutes mins,NA,11," 1 cup (2 sticks / 227) unsalted butter, room temperature
"," 1 ½ cups (300 g) granulated sugar
"," 3 large eggs, room temperature
"," 1 teaspoon peppermint extract
"," 10 drops green food coloring
"," 3 cups (375 g) all-purpose flour
"," 2 teaspoons baking powder
"," 1 teaspoon baking soda
"," ½ teaspoon cream of tartar
",i am baker,https://iambaker.net/mint-chocolate-chip-cookies-recipe/," ½ teaspoon kosher salt
"," 12 ounces (about 2 cups) semi-sweet chocolate chips, half finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Kiss Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,11," 3 cups (375 g) all-purpose flour
"," 1 tablespoon gingerbread spice mix*
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," ¾ cup (150 g) light brown sugar, packed
"," ½ cup (168.5 g) molasses
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
",i am baker,https://iambaker.net/gingerbread-kiss-cookies/," 46 Hershey's chocolate kisses
"," ¼ cup (50 g) granulated sugar, for rolling the dough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Crinkle Cookies,Amanda Rettke,5,3,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Chilling Time 4 hours hrs,Total Time 4 hours hrs 25 minutes mins,NA,9," 2 cups (400 g) granulated sugar
"," 1 cup (118 g) unsweetened cocoa powder
"," ½ cup (109 g) vegetable oil
"," 4 large eggs, room temperature
"," 2 teaspoons peppermint extract
"," 2 cups (250 g) all-purpose flour
"," 2 teaspoons baking powder
"," ½ teaspoon kosher salt
", ½ cup (62.5 g) confectioners' sugar,i am baker,https://iambaker.net/chocolate-peppermint-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Cookies,Amanda Rettke,5,NA,Prep Time 30 minutes mins,Cook Time 8 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 38 minutes mins,NA,18,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 cup (200 g) granulated sugar
"," 1 cup (220 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," 1 cup (85 g) unsweetened cocoa powder
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/buckeye-cookies/," ½ teaspoon baking powder
", ½ teaspoon kosher salt," Peanut Butter Filling
"," 1 ¼ cups (322 g) creamy peanut butter
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
", 2 ½ cups (312.5 g) ) confectioners’ sugar," Chocolate Ganache
"," 1 ⅓ cups (8 ounces / 243 g) semi-sweet chocolate chips
", ½ cup (1 stick / 113 g) unsalted butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Crescent Cookies,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 14 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 29 minutes mins,NA,10,"Crescent Cookies
"," ⅔ cup (95 g) whole almonds, blanched*
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ⅓ cup (42 g) confectioners’ sugar
"," 1 teaspoon vanilla extract
"," 1 teaspoon almond extract
"," ¼ teaspoon kosher salt
", ¾ cup plus 2 tablespoons (104 g) all-purpose flour," Coating
",i am baker,https://iambaker.net/almond-crescent-cookies/, ½ cup (62.5 g) confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Pumpkin Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 55 minutes mins,Cook Time 9 minutes mins,NA,Total Time 1 hour hr 4 minutes mins,NA,11," 1 cup (2 sticks / 227 g) unsalted butter
"," ⅔ cup pure pumpkin, excess liquid squeezed out* (leaving about ⅓ cup pumpkin), room temperature
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) light brown sugar, packed
"," 2 large egg yolks, room temperature
"," 2 teaspoons vanilla extract
"," 1 ⅔ cups + 1 tablespoon all-purpose flour
"," 2 ½ teaspoons pumpkin pie spice
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/browned-butter-pumpkin-chocolate-chip-cookies/," ½ teaspoon sea salt, plus more for sprinkling over warm cookies (optional)
"," 1 cup (182 g) semi-sweet chocolate chunks, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Peppermint Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,16," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg, room temperature
"," 1 large egg yolk, room temperature
"," 1 teaspoon vanilla extract
"," ½ teaspoon peppermint extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ½ cup (59 g) Dutch-processed cocoa powder
",i am baker,https://iambaker.net/triple-chocolate-peppermint-cookies/," 1 teaspoon kosher salt
"," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," ¾ cup (136 g) semi-sweet chocolate chunks
"," ¾ cup (136 g) milk chocolate chips
"," ¾ cup (136 g) white chocolate chips
"," ½ cup peppermint candies or candy canes, crushed, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Hazelnut Thumbprint Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 10 minutes mins,NA,Total Time 30 minutes mins,NA,11," 1 ½ cups (187.5 g) all-purpose flour
"," ½ cup (60 g) Dutch-processed cocoa powder
"," ½ teaspoon kosher salt
"," ½ teaspoon baking powder
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 2 large egg yolks, room temperature
"," 2 teaspoons vanilla extract
",i am baker,https://iambaker.net/chocolate-hazelnut-thumbprint-cookies/," ¾ cup (222 g) chocolate-hazelnut spread, like Nutella, divided
"," ¼ cup finely chopped hazelnuts, toasted*, for garnish (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickers Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 9 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 24 minutes mins,NA,10," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon kosher salt
"," ½ teaspoon baking powder
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 cup (200 g) light brown sugar packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups chopped Snickers bars, about 15 fun-size bars
",i am baker,https://iambaker.net/snickers-cookies-recipes/, ½ cup caramel baking bits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chilling Time 30 minutes mins,Total Time 50 minutes mins,NA,8," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (258 g) creamy peanut butter
"," 1 ½ cups (300 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 2 cups (250 g) all-purpose flour
"," 1 cup (90 g) old-fashioned oats
"," 1 teaspoon baking soda
", ½ teaspoon kosher salt,NA,i am baker,https://iambaker.net/peanut-butter-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Marshmallow Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 20 minutes mins,NA,12," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ⅔ cup (170 g) creamy peanut butter
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1 cup (125 g) all-purpose flour
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/peanut-butter-marshmallow-cookies/," 1 cup (50 g) mini marshmallows
"," ½ cup (91 g) semi-sweet chocolate chips
", ½ cup (91 g) peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden Oreo Cookies,Amanda Rettke,NA,NA,Prep Time 40 minutes mins,Cook Time 8 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 48 minutes mins,NA,15,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," ¾ cup (150 g) granulated sugar
"," 1 large egg, room temperature
"," 1 hard-boiled egg yolk, finely grated or pushed through a fine mesh sieve
"," 1 teaspoon vanilla extract
"," ½ teaspoon almond extract
"," 2 cups (240 g) cake flour
"," ½ teaspoon baking powder
",i am baker,https://iambaker.net/golden-oreo-cookies/, ½ teaspoon kosher salt," Filling
"," ¼ cup (½ stick / 57 g) unsalted butter, softened
"," 1 pinch kosher salt
"," 1 cup (125 g) confectioners' sugar
", 1 cup marshmallow creme or fluff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterfinger Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,6," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) granulated sugar
"," 2 large eggs, room temperature
"," 2 cups (240 g) all-purpose flour
"," 1 teaspoon kosher salt
"," 1 bag (10.2 ounces) Butterfinger fun-size candy bars, (about 16 fun-sized bars) chopped",NA,NA,NA,i am baker,https://iambaker.net/butterfinger-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookie Swirls,Amanda Rettke,5,3,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 20 minutes mins,NA,5," 1 package (16.5 ounces) refrigerated chocolate chip cookie dough
"," 1 box (16.3 ounces) brownie mix
"," ¼ cup (54.5 g) vegetable oil
"," 2 large eggs, room temperature
", 1 tablespoon water,NA,NA,NA,NA,i am baker,https://iambaker.net/brownie-cookie-swirls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avalanche Cookies {No Bake},Amanda Rettke,NA,NA,Prep Time 10 minutes mins,NA,Resting Time 30 minutes mins,Total Time 40 minutes mins,NA,5," 2 ½ cups (425 g) white chocolate chips
"," ½ cup (129 g) creamy peanut butter
"," 2 cups (58 g) crispy rice cereal, like Rice Krispies
"," 1 cup (50 g) mini marshmallows
"," mini chocolate chips, for topping",NA,NA,NA,NA,i am baker,https://iambaker.net/avalanche-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chunk Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg, room temperature
"," 1 large egg yolk, room temperature
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ½ cup (59 g) Dutch-processed cocoa powder
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/peanut-butter-chocolate-chunk-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," ¾ cup (136 g) semi-sweet chocolate chunks
"," ¾ cup (136 g) milk chocolate chips
", ¾ cup (136 g) peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Chunk Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large eggs, room temperature
"," 1 large egg yolk, roomtemperature
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ½ cup (59 g) Dutch-processed cocoa powder
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/triple-chocolate-chunk-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," ¾ cup (136 g) semi-sweet chocolate chunks
"," ¾ cup (136 g) milk chocolate chips
", ¾ cup (136 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 35 minutes mins,Cook Time 12 minutes mins,NA,Total Time 47 minutes mins,NA,11," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 ½ cups (300 g) light brown sugar, lightly packed
"," 2 ½ cups (312.5 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon kosher salt
"," ½ teaspoon baking powder
"," 3 large eggs, room temperature
"," 2 teaspoons vanilla extract
"," 1 ½ cups (273 g) semi-sweet chocolate chips
",i am baker,https://iambaker.net/butterscotch-chocolate-chip-cookies/," 1 ½ cups (273 g) butterscotch chips, roughly chopped
"," kosher salt, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy M&M Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,12," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 2 large eggs
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cups (67 g) cake flour
"," 1 teaspoon kosher salt
"," 1 teaspoon baking powder
",i am baker,https://iambaker.net/thick-and-chewy-mm-cookies/," ½ teaspoon baking soda
"," 1 cup (203 g) M&Ms
", 1 cup (240 g) mini M&Ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Chip Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 13 minutes mins,NA,Total Time 28 minutes mins,NA,12," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon kosher salt
"," 1 cup (2 sticks / 227 g) unsalted butter, melted
"," 1 cup (258 g) creamy peanut butter
"," 1 cup (200 g) light brown sugar, packed
"," ¾ cup (150 g) granulated sugar
"," 2 large eggs, room temperature
"," 2 teaspoons vanilla extract
",i am baker,https://iambaker.net/reeses-peanut-butter-chip-cookies/," ¾ cup (136.5 g) semi-sweet chocolate chips
"," ¾ cup (136.5 g) peanut butter chips
"," 1 cup mini Reese's peanut butter cups, chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Snickerdoodles,Amanda Rettke,4.50,2,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,12," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened but not melted
"," 1 ½ cups (300 g) granulated sugar
"," 1 large egg, room temperature
"," 2 medium bananas, mashed (about 1 cup)
"," 1 tablespoon vanilla extract
"," 3 ¼ cups (406 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/banana-snickerdoodles/," Cinnamon Sugar Coating
"," 3 tablespoons granulated sugar
", 3 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy Caramel Coconut Cookies,Amanda Rettke,4,2,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Chilling Time 30 minutes mins,Total Time 55 minutes mins,NA,12," 1 cup (2 sticks / 227 g) unsalted butter, cold, cubed
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 ½ cups (170 g) cake flour
"," 1 ½ cups (187.5 g) all-purpose flour
"," 1 teaspoon cornstarch
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/thick-and-chewy-caramel-coconut-cookies/," 2 cups (364 g) semi-sweet chocolate chips
"," 2 cups (234 g) unsweetened coconut flakes
"," 15 soft caramels, cut into bite-size pieces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter S’mores Sandwich Cookies,Amanda Rettke,NA,NA,Prep Time 35 minutes mins,Cook Time 10 minutes mins,NA,Total Time 45 minutes mins,NA,14,"Cookies
"," 1 ½ cups (250 g) creamy peanut butter
"," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1 ¼ cups (160 g) all-purpose flour
"," ¾ teaspoon baking powder
",i am baker,https://iambaker.net/peanut-butter-smores-sandwich-cookies/, ¼ teaspoon kosher salt," Filling
"," 1 cup (96 g) marshmallow fluff
"," ¼ cup (64.5 g) creamy peanut butter, warmed, so it's easily drizzled
", ½ cup (84 g) milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Ooey Gooey Butter Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 13 minutes mins,NA,Total Time 28 minutes mins,NA,9," ½ cup (1 stick / 113 g) salted butter, softened
"," 1 package (8 ounces) cream cheese, softened
"," 1 ½ cups (300 g) granulated sugar
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 ¼ cups (282 g) all-purpose flour
"," 1 tablespoon baking powder
"," 1 cup (125 g) confectioners' sugar, divided
"," 1 cup (203 g) Easter M&M's milk chocolate candies, pastel blend, plus more for topping (optional)",i am baker,https://iambaker.net/easter-ooey-gooey-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
