title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14
Raisin biscuits,cookingwithmykids,NA,NA,"Afternoon tea, Snack",British,20 minutes,12 minutes,NA,32 minutes,Servings: 20,13,"Measure out the sugar and add it to a large mixing bowl or free-standing mixer.Measure out the butter chop it into small pieces to make it easier to mix in. If your butter is very hard pop it in the microwave for a few seconds. Do it for long enough for it to soften, but don't melt it.
Cream the butter and sugar together using the k paddle of your mixer, a hand held mixer or wooden spoons. Beat it until it is light and fluffy.
Separate the egg yolk and egg white.Set the egg white aside for later and add the egg yolk to your mixing bowl. Mix it in.
Measure the flour then add it to your mixing bowl. If you want to make your biscuits lighter, you can sieve the flour in.
Mix the flour in. The mixture will be dry and crumbly at this point.
Measure out the raisins and add them to your mixing bowl. Using a spatula or wooden spoon, mix them in.Add a splash of milk (no more than a tablespoon or two), just enough for it all to come together into a nice soft biscuit dough.
Once it's all well mixed, use your hands to bring the dough together into a ball.
Tip your biscuit dough out onto a lightly floured work surface.
Roll the dough out until it is about 5mm or ¼ inches thick. Turn it 90 degrees in between rolls so that it rolls out nice and evenly and doesn't stick to your worktop.
Using a 6cm (2 ½ inch) round or fluted cutter cut out the biscuits and pop them on your prepared baking trays. Bring together the scraps of dough back into a ball and roll it out again. When you're finished you should have around 20 biscuits.
Bake the biscuits in the oven for 8-10 minutes.
Remove them from the oven then brush the whisked egg white over the top of each biscuit, and sprinkle a little caster sugar on top.Return the biscuits to the oven and bake them for another 4-5 minutes.
They're ready when they are turning a lovely pale golden brown colour.Remove them from the oven and leave them to cool on the baking trays for a few minutes before putting them on a wire rack to cool completely",7,"100 g (½ cup) butter, softened",75 g (⅓ cup) caster sugar,1 egg separated,200 g (1/¼ cups) plain /all-purpose flour,65 g (⅓ cup) raisins,1-2 tbsp milk,caster sugar for sprinkling,Cooking With My Kids,https://www.cookingwithmykids.co.uk/raisin-biscuits/,NA,NA,NA,NA,NA,NA,NA
Oat biscuits,cookingwithmykids,5,7,"Afternoon tea, Snack",British,15 minutes,10 minutes,NA,25 minutes,Servings: 10,10,"Preheat your oven to 180C / 160C Fan / 350F and line 1 or 2 baking trays with baking /parchment paper.
Weigh the flour, porridge oats and sugar and put them in a large mixing bowl.
Measure the butter and melt it in a small pan on the hob or in the microwave.
Pour the melted butter into your mixing bowl along with the golden syrup and a splash of milk.
Mix everything together with wooden spoons or spatulas, until it's all coated in the melted butter and starts to come together.
Next, using your hands take small amounts of biscuit dough (about the size of a ping pong ball) and roll them together to form balls. We needed to press them together quite firmly to stop them crumbling apart.
Pop the biscuits on your baking trays and press them down slightly.
Bake the oaty biscuits in the oven for 10-15 minutes. They're ready when they've started to turn a nice golden brown colour.
Remove them from the oven and leave them on the baking trays for a few minutes to cool slightly, before popping them on a wire rack to cool completely.
Serve and enjoy.",6,75 g self raising flour,75 g porridge oats,50 g soft brown sugar,75 g butter,1 tbsp golden syrup,1 tbsp milk,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/oat-biscuits/,NA,NA,NA,NA,NA,NA,NA
Chocolate crinkle cookies,cookingwithmykids,5,2,Dessert,British,30 minutes,10 minutes,NA,40 minutes,Servings: 20,13,"Measure the cocoa powder, sugar and vegetable oil out and pour them into a large bowl or mixer.
Beat it all together using a hand held whisk or the k paddle of your free-standing mixer until it is well incorporated.
Break the eggs into a small bowl, one at a time. Add them to your mixer and beat them into the mix. Add the vanilla extract (2 tsp) and give it a final mix.
In a separate bowl,  weigh the flour and the baking powder.
Add the flour to the wet cookie mix. Mix it together until you have a nice dough. Don't over mix it, just do it enough so all the flour is incorporated.
Cover the bowl with cling film and put it in the fridge over night (or at least 4 hours). The dough is supposed to be wet – chilling it will help it harden so you can form the cookie balls.
Preheat your oven to 180C / 170C Fan /350F and line 2 or 3 baking trays with baking paper (parchment paper).
Measure the icing sugar into a small bowl.
Use a teaspoon to get a bit of dough from your bowl. Roll it in to balls then roll in the icing sugar until the ball is fully covered. The dough can be quite sticky, so it might be easier to coat it in a little icing sugar before rolling them into balls, then give them a second coating in the icing sugar. 
Pop them on your baking trays leaving room for them to spread a little.
Bake the crinkle cookies in the oven for around 10 minutes. They're ready when they have spread a little, and formed the nice crinkle shape. They'll still be a little bit soft when come out of the oven but will harden as they're cool.
Leave them to cool on their baking trays for a few minutes before transferring them to a wire rack to cool completely.
Enjoy!",8,60 g (½ cup) unsweetened cocoa powder,200 g (1 cup) white granulated sugar,60 ml (¼ cup) vegetable oil,2 eggs,2 tsp vanilla extract,130 g (1 cup) Plain/all purpose flour,1 tsp baking powder,Cooking With My Kids,https://www.cookingwithmykids.co.uk/crinkle-cookies/,¼ cup icing sugar confectioner's sugar,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/viennese-fingers/,NA,NA,NA,NA,NA,NA,NA
Easy gingerbread men recipe for kids,cookingwithmykids,5,9,Snack,"American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 30,12,"Pre-heat the oven to 190C / 170C fan.
Line 3 baking sheets with greaseproof paper.
Measure the flour, and add it to a large mixing bowl. 
Weigh the butter then chop it up into a few pieces before adding it to the flour. Using your fingertips, rub in the butter until the mixture resembles fine breadcrumbs. 
Measure the sugar then stir it into the flour mixture with the bicarbonate of soda and ginger. Add the golden syrup.
Crack the egg into a separate bowl then add it to the flour.
Mix everything together until you have a smooth dough.
The recipe makes quite a lot so, if you need to, divide the dough in half then roll out one half on to a lightly floured work surface until its about 5mm thick.
Cut out your ginger bread men using a cutter or use any other shapes you have to hand. Place them on your baking tray.
Gather up any scraps and roll out again. Repeat with the remaining dough.
Bake in the oven for 10-12 minutes until they become a slightly darker shade. If your shapes are smaller, check them after 7-8 minutes.  Cool slightly then lift on to a wire rack to cool.
You can enjoy the ginger bread biscuits as they are or add some icing decorations. ",9,350 g plain flour,100 g butter,1 tsp bicarbonate of soda,2 tsp ground ginger,175 g light muscovado sugar,4 tbsp golden syrup,1 large egg,Cooking With My Kids,https://www.cookingwithmykids.co.uk/gingerbread-men/,1/2 cup icing sugar,"smarties, jelly tots etc",NA,NA,NA,NA,NA
Snickerdoodles,cookingwithmykids,NA,NA,Snack,American,30 minutes,10 minutes,NA,40 minutes,Servings: 30,9,"Measure the butter and sugar and add to a large bowl or freestanding mixer. Mix together until they are nicely combined and fluffy. Add the vanilla extract and eggs and mix again.
Add the flour, cream of tartar, baking powder, and salt to a separate bowl.
Add the dry ingredients to the butter mixture and give everything a good mix until you have a nice ball of dough.
Wrap the dough in clingfilm and pop in the fridge for 10-15 minutes.
Line 3 large baking trays with baking paper and chill them.
While the dough is chilling, mix the sugar and cinnamon together in a small bowl.
Take small pieces of dough and roll into approximately 1 inch (2 cm) balls.
Coat the balls in sugar then place them on the chilled baking trays.
Bake the biscuits for 10 minutes. They’re ready when they have turned golden and are a little but crispy on top but still soft inside.",10,"225 g (1 cup) butter, softened",300 g (1 ½ cups) caster sugar,2 eggs large,1 tsp vanilla extract,350 g (2 ¾ cups) plain/all purpose flour,2 tsp cream of tartar,1 tsp baking powder,Cooking With My Kids,https://www.cookingwithmykids.co.uk/snickerdoodles/,¼ tsp salt,3 tbsp caster sugar,3 tsp cinnamon,NA,NA,NA,NA
Melted snowman biscuits,cookingwithmykids,5,1,Dessert,"American, British",30 minutes,10 minutes,Decorating 15 minutes mins,40 minutes,Servings: 12,9,"Preheat your oven to 180C/170C fan/350F, and line a baking tray with baking paper.
Measure the flour, corn flour, icing sugar and butter and pop it all in a large mixing bowl. 
Using your hands mix everything together until it forms crumbs then bring it together into a nice ball of dough.
Lightly flour your work surface and roll the dough out until it’s about ¼ inch or just over 1/2 cm thick. To stop the dough sticking to the rolling pin you can either sprinkles some more flour on it or simply put a sheet of baking paper over the top.
Using a round 7/8cm cookie cutter cut out biscuits and place them on a lined baking tray.  Use a bigger/smaller one to get more/fewer biscuits. Reroll the biscuit dough until you've used it all up. 
Pop the baking trays in the oven for around 10 minutes. Keep an eye on them and remove them from the oven before they turn golden brown. Leave to cool
Mix the icing sugar together with a tablespoon or so of water in a small bowl. Mix it together so it forms a slightly runny icing – you don't want it too thin or it will run.
Pop a few tablespoons of the icing into a small freezer bag, seal it and cut a tiny hole in one corner. If you want you can add a few more drops to the icing left in your bowl to make it easier to spread on the biscuits.
To make our snowman, pipe the outline of the melted snow around the biscuit, then use a spoon to spread icing into the middle of the outline to fill it in. Add the marshmallow 'melted snowman' and the chocolate drops for the buttons. I added some chocolate sprinkles and a red sprinkle with icing for the snowman's eyes and nose. You could also use small icing writers in red and black.",9,175 g (3/4 cup) butter softened,175 g (1 ½ cup) plain flour,50 g (½ cup) icing /confectioners sugar,50 g (½ cup) corn flour,White marshmallows,1 cup Icing / confectioners sugar,Water,Cooking With My Kids,https://www.cookingwithmykids.co.uk/melted-snowman-biscuits/,chocolate drops / chocolate sprinkles / Jelly Tots,Icing writers in black and orange,NA,NA,NA,NA,NA
Triple chocolate cookies,cookingwithmykids,NA,NA,"Afternoon tea, Dessert",British,20 minutes,15 minutes,chilling time 15 minutes mins,50 minutes,Servings: 15 cookies,14,"Preheat your oven to 170C/160C Fan and line 2 or 3 baking trays with baking/greaseproof paper.
Break the chocolate into small pieces and pop it in a small saucepan.Weigh out the butter and cut it into small pieces. Add it to your saucepan..
Allow the chocolate and butter to melt slowly, stirring it occasionally. Once it's melted and nice and smooth, set it aside to cool for now.
Weigh the sugar and add it to the bowl of your free-standing mixer or a large mixing bowl.Break the eggs into a small bowl before adding them to your mixing bowl. We never add eggs straight in just in case any shell goes in. If/when it does, simply fish it out with a teaspoon or larger piece of shell.
Add the vanilla extract. 
Using the k-paddle attachment of your mixer, a hand held whisk or wooden spoons, beat the eggs and butter together until they are light and fluffy.
Add the cooled melted chocolate and butter mixer. Continue mixing everything on a slow speed until it is thoroughly combined.
Measure the flour, baking powder and salt into your small bowl. Make sure you use their finger to level the teaspoons before adding the baking powder and salt so that you add just the right amount.
Add the flour mixture to your mixing bowl, a little at time, mixing it in between each addition. Keep beating it with your k-paddle or mixer until it is well combined.
Once you have a nice cookie dough, pour in both the white and dark chocolate chips, keeping a few back to add later. Stir them in with a spatula or wooden spoon until they are well dispersed.
Dollop around 5 or 6 equal amounts of cookie mixture onto each of your baking trays (this makes about 12 -15 cookies in total). Make sure the cookies are spaced apart as they’ll spread a little in the oven.Add some of the leftover chocolate chips to the top of each cookie.
Pop the baking trays into the fridge for 15 minutes or so, to stop the cookies spreading too much in the oven.
Pop your baking trays in the oven for 15 minutes. Keep an eye on them after they’ve been in for 10 minutes. They’re ready when the tops start to crack and they look glossy. They’ll feel a little soft when they come out of the oven which is fine, as long as they’re not too soggy in the middle.
Remove the cookies from the oven and leave them to cool on the baking trays for a few minutes before putting them on a wire rack to cool completely.",11,75 g (⅓ cup) butter,100 g (¾ cup) dark chocolate,2 eggs,170 g (¾ cup) soft brown sugar,½ teaspoon vanilla extract,175 g (1 ¼ cup) plain / all-purpose flour,¼ teaspoon salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/triple-chocolate-cookies/,½ teaspoon baking powder,2 tablespoons cocoa powder,100 g (¾ cup) dark chocolate chunks / chips,100 g (¾ cup) white chocolate chunks / chips,NA,NA,NA
Scottish oat cakes,cookingwithmykids,NA,NA,Snack,scottish,20 minutes,20 minutes,NA,40 minutes,Servings: 20,7,"Measure the flour and add it to a large mixing bowl. Measure the butter and give your kids a butter knife to cut it into small pieces before adding that to your  bowl.
Using fingertips, rub the butter and flour together until your mixture looks like breadcrumbs. While your kids are doing that, add the salt to the mixture.
Measure the oats into a small bowl. If you want a coarser oat cake you can add them to your mixing bowl straight away. If, like us, you like your oat cakes to be a bit finer use a small mixer to blast the oats to a finer consistency before adding them to your bowl. We did half our oats to a fine powder, and the other half a little less to there was still some bite.
Add some water to your mixing bowl and, using your hands, bring the mixture together into a ball. You'll need roughly between 60ml and 90ml. Don't add so much that your dough becomes sticky. We had to work the dough a little bit to make it come together into a ball.
Roll the dough out onto a lightly floured work surface until it is around 3mm thick. Cut out the oat cakes using a round cutter. You can choose the size you like, but we used one that was roughly 7cm.
Bake the oat cakes in the oven for 15-20 minutes. They're ready when they're starting to turn slightly brown and aren't soft any more.
Remove from the oven and leave to cool for a few minutes. Put them on the wire rack to cool completely.",5,75 g butter,100 g plain flour,½ tsp salt,225 g oats,Water,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/oat-cakes/,NA,NA,NA,NA,NA,NA,NA
Giant cookie,cookingwithmykids,2,1,Dessert,"American, British",30 minutes,20 minutes,NA,50 minutes,Servings: 16,9,"Measure the butter and sugar out then add to a mixing bowl or freestanding mixer. Mix them together using the paddle attachment, a hand held mixer, or wooden spoons until the eggs and butter are light and fluffy.
Break the eggs, one at a time, into a small bowl. Add them to your bowl, mixing it a little between each addition.
Turn the mixer down to a slower speed and add the vanilla extract into the bowl. 
Measure the flour, salt, and bicarbonate of soda into a small bowl. Add these into your large bowl.
Mix everything together until you have a smooth dough. If you need to, use a spatula to scrape the mixture down from the sides of the bowl. 
Add in one pack of the M&Ms or chocolate chips to your dough mixture. Give it one last mix so that everything is nicely combined.
Pour the cookie dough into your prepared cake tin. Press down the mixture with the back of a spoon. Sprinkle a few more M&Ms on top until it looks nice and colourful.
Pop the giant cookie in the oven for roughly 15-20 minutes. It’s ready when the edge has turned golden brown and they’ve flattened down. It’ll still be a bit gooey in the middle but that’s how I like them. Cook it longer if you prefer a more crispy cookie.
Leave it in the cake tin to cool slightly, then move it to a wire rack to cool completely.",8,"225 g (1 cup) unsalted butter, softened",350 g (2 cups) soft light brown sugar,2 eggs,½ tsp vanilla extract,400 g (3 1/3 cups) plain flour,½ tsp salt,2 ½ tsp bicarbonate of soda,Cooking With My Kids,https://www.cookingwithmykids.co.uk/giant-cookie-cake/,200 g m&ms or chocolate chips,NA,NA,NA,NA,NA,NA
Lemon biscuits,cookingwithmykids,4.67,9,Afternoon tea,British,15 minutes,12 minutes,decorating time 5 minutes mins,35 minutes,Servings: 12,16,"Zest the lemon using a zester or the fine side of your grater. 
Juice the lemon, then set both the zest and lemon juice aside for later.
Measure the butter or sugar and add them into a large mixing bowl.
If the butter isn't soft enough, pop it in the microwave for a few seconds (not long enough to melt it), just to make it easier to mix.
Beat the sugar and butter together with wooden spoons until they are well combined.
Measure the flour and lemon zest then add it to your mixing bowl.
Mix it in to the butter/sugar mixture until it is well mixed in. Bring it together with your hands so you have a nice ball of dough.
Take small pieces of biscuit dough and get them to roll them into balls. You want them to be about the size of a walnut/a small bouncy ball.
Pop the balls on your prepared baking trays.
With a fork, gently press down on each ball, just to flatten them slightly and give them a nice pattern.
Bake your biscuits in the oven for 12-15 minutes. They're ready when they're turning golden brown.
Remove them from the oven and leave them to cool on a wire rack.
Add a few spoons of icing sugar to your lemon juice until you have a semi-runny icing. We didn't measure the amount of icing sugar we put in – we just kept adding it until it was runny enough fo pipe but thick enough to hold it's shape on the biscuit.
Put the icing in a small freezer bag and cut a tiny hole in one corner.
Pipe lines in a zig zag across each biscuit and leave them to set.
Serve and enjoy.",6,"100 g (½ cup) butter, softened",50 g (¼ cup) caster sugar,150 g (1 ¼ cup) self raising flour,zest of a lemon,Juice of 1 lemon,icing sugar,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/lemon-biscuits/,NA,NA,NA,NA,NA,NA,NA
Rainbow M&M cookies,cookingwithmykids,5,1,"Afternoon tea, Snack","American, British",20 minutes,10 minutes,NA,30 minutes,Servings: 12,11,"Pre heat your oven to 180C / 170C Fan / 350F and line 2 -3 baking trays with baking or parchment paper.
Measure out the butter and both of the sugars out then and add them to a large mixing bowl or a free-standing mixer if you have one.
Using a handheld whisk, the k-paddle of your free-standing mixer or even wooden spoons cream the butter and sugars together until the mixture is nice and light and fluffy.
Crack the egg into a small bowl before adding it to your mixing bowl. Measure the vanilla extract and pour it into your bowl then mix everything together.
Measure the flour out and add it to your mixing bowl along. Give everything one more mix until it all comes together in a nice stiff ball of cookie dough.
Finally, pour the chocolate chips and around ¾ of the M&Ms into your mixing bowl. Using a wooden spoon or spatula this time, stir them in so they are well dispersed.
Spoon out 12 dollops of cookie dough onto your prepared baking trays. Try to make sure the M&Ms are evenly distributed among the cookies. Leave gaps of a few centimetres between your cookies as they'll spread a little when they're in the oven.
Press the remaining M&Ms into the top of the cookies. Press them in a little bit so they don't fall out. This is a good way of making sure each cookie has a good amount of M&Ms in it.
Chill the cookies in the fridge for at least 15 minutes or so before you bake them to stop them spreading too much in the oven.
Bake the cookies in the oven for 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you don’t you can keep them in the oven for another minutes or two
Remove them from the oven and leave them to cool on the trays for a few minutes before popping them onto a wire rack to cool completely.",8,100 g (½ cup) butter softened,100 g (½ cup) soft brown sugar,50 g (¼ cup) caster sugar,1 egg,½ teaspoon vanilla extract,200 g (1 ¼ cups) self raising flour,100 g (½ cup) chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/rainbow-mm-cookies/,100 g (½ cups) M&Ms,NA,NA,NA,NA,NA,NA
Empire biscuits,cookingwithmykids,5,9,Snack,scottish,30 minutes,10 minutes,NA,40 minutes,Servings: 6,8,"Measure out the flour, corn flour, icing sugar and butter and pop it all in a large mixing bowl.  If your butter isn’t soft enough it can be hard to melt so we normally pop ours in the microwave for a few seconds before chopping it up and adding it to our bowl.
Using your hands mix everything together until it forms a nice ball of dough.
Lightly flour your work surface  and roll the dough out until it’s about ¼ inch or just over 1/2 cm thick. To stop the dough sticking to the rolling pin we put a sheet of baking paper over the top.
Using a round cookie cutter cut out 12 biscuits and place them on a lined baking tray. We used a 7/8mm cutter. Use a bigger/smaller one to get more/fewer biscuits.
Pop the baking trays in the oven for 10 minutes. Keep an eye on them and remove them from the oven before they turn golden brown. Leave to cool.
Lay your biscuits out and spread jam over the top of them. Get another one and sandwich it on top.
Mix some icing sugar together with a tablespoon or so of water in a small bowl.
Drizzle the icing over the top of your biscuits and then decorate with a glace cherry or whatever else you are using.",8,175 g (¾ cup) butter (softened),175 g (1 ¼ cups) plain / all-purpose flour,50 g (½ cup) icing / confectioners sugar,50 g (½ cup) corn flour (or cornstarch),Strawberry or raspberry jam,100g Icing sugar,Water,Cooking With My Kids,https://www.cookingwithmykids.co.uk/empire-biscuits/,8 glacé cherries optional – you can use any decoration,NA,NA,NA,NA,NA,NA
Mini Egg cookie bar,cookingwithmykids,NA,NA,Snack,"American, British",30 minutes,25 minutes,NA,55 minutes,Servings: 20,9,"Measure the butter. If it isn’t soft enough, blast it in the microwave for a few seconds. Put it in a large mixing bowl or freestanding mixer. Add the sugar.
Beat them together with the k-paddle of your free-standing mixer or hand held mixer until the mixture is light and fluffy. 
Break the eggs into a small bowl then add to your sugar/butter mixture along with the vanilla extract.
Mix everything together again.
Add the flour to your mixing bowl and mix it in. 
Bash the Mini Eggs to break a few up, then add them to your mixing bowl. (Keep a few back for later.) Mix them in with a spoon or a spatula until they are well distributed. 
Press the cookie dough mixture into the bottom of your baking tin. Use the back of a metal spoon or palette knife to flatten the top down. Press the remaining few mini eggs into the top.
Bake in the oven for 25-30 minutes. It’s ready when its starting to turn golden, and looks dry on top.
Leave the cookie bake to cool in the tin for 10 minutes or so, then remove to cool fully on a wire rack. Cut into squares and enjoy!",6,200 g (1 cup) butter softened,300 g (1 ⅔ cups) soft brown sugar,2 eggs,1 tsp vanilla extract,350 g (2 ¾ cups) self raising flour*,3 x 90g Bags of Mini Eggs,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/easter-cookie-bar/,NA,NA,NA,NA,NA,NA,NA
Rolo cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack",British,20 minutes,12 minutes,Time to freeze the Rolos 4 hours hrs,NA,Servings: 12,12,"* Put the Rolos in the freezer for at least 4 hours before you start these
Pre heat your oven to 180C / 170C Fan / 350F and line 2 -3 baking trays with baking or parchment paper.
Measure the butter and both the sugars out then and add them to a free-standing mixer or large mixing bowl.Cut your butter into little pieces to make it easier to blend in and if it’s not soft, , pop it in the microwave for a few seconds to soften it – but not long enough for it to melt.
Using the k-paddle of your free-standing mixer, a handheld whisk, or even wooden spoons cream the butter and sugars together until the mixture is nice and light and fluffy.
Crack the egg into a small bowl then add it to your mixing bowl. Measure the vanilla extract and pour it into your bowl then mix everything together. 
Measure the flour out and add it to your mixing bowl. Give everything one more mix until it all comes together in a nice stiff ball of cookie dough.
Finally, pour the chocolate chips and half of the Rolos into your mixing bowl. Using a wooden spoon stir them in so they are well dispersed. My kids find the mixture a bit stiff at this point, so you might need to give a hand.
Spoon out dollops of cookie dough onto your prepared baking trays. Try to make sure and Rolos are evenly distributed among the dollops of cookies. Leave spaces between your cookies as they'll spread a little when they bake.
Press the remaining Rolos into the cookies. Try to tuck them in a bit so they are less likely to melt and ooze out of the cookie. This is a good way of making sure each cookie has a Rolo in it.
Chill the cookies in the fridge for 15 minutes or so before you bake them.
Bake the cookies in the oven for 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you don’t you can keep them in the oven for another few minutes.Remove them from the oven and leave them to cool on the trays for five minutes or so before putting them on a wire rack to cool completely.
If the Rolos have oozed out a lot of their caramel you can use the back of a spoon or a spatula to push the caramel back in and neaten them up again.",8,100 g (½ cup) butter,100 g (½ cup) soft brown sugar,50 g (¼ cup) caster sugar,1 egg,½ teaspoon vanilla extract,200 g (1 ¼ cups) self raising flour,100 g chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/rolo-cookies/,100 g Rolos / mini Rolos,NA,NA,NA,NA,NA,NA
Bourbon biscuits,cookingwithmykids,NA,NA,Afternoon tea,British,40 minutes,10 minutes,NA,50 minutes,Servings: 24,15,"Line 2-3 baking trays with baking or parchment paper.
Measure out the butter and sugar and add them to a large mixing bowl or free-standing mixer. The butter needs to be soft so that it will mix in, so if it's not cut it into a few pieces and pop it in the microwave for a few seconds to soften it (not melt it).Using the k-paddle of your free-standing mixer, a hand held mixer or wooden spoons, beat the butter and sugar together until they are light and fluffy.
Measure out the flour and cocoa powder and add them to your mixing bowl. 
Start using your mixer or wooden spoons and mix everything together, before kneading it and bringing it together into a nice ball of dough that doesn't crumble apart with your hands.
Wrap the dough in cling film / glad wrap and chill it for 10 minutes.
Lightly dust your work-surface with flour, then roll the dough out so it is about 4mm thick. Make sure you rotate the dough 90 degrees every few rolls, so that it rolls out evenly and doesn't stick onto your work-surface.
Cut rectangles 6 x 4 cm (2.5  x 1.5  inches) out of your dough and use a small palette knife to transfer them to your prepared baking trays. Gather up any remnants from the edges, roll them out again and cut out some more rectangles. Repeat this until all the dough is used up.Space the biscuits apart on the baking trays so they have a little room to spread when they bake.
Using the blunt end of a wooden skewer gently poke indents in the top of the biscuits.
Pop the biscuits in your fridge to chill for 15 minutes before baking them.
Preheat your oven to 180C / 160C Fan/ 350F while your biscuits are chilling.
Bake the Bourbons for approximately 10 minutes. They'll still be a little bit soft when they come out of the oven but will harden as they cool.
Leave the biscuits to cool on their baking trays for a few minutes before putting them on a wire rack to cool completely.
Add the butter, icing sugar, cocoa powder and a splash of milk to a large mixing bowl or free-standing mixer. Using the k-paddle of your mixer or hand held mixers, beat it all together, slowly at first. Once the icing sugar and cocoa powder has mixed in a little, you can turn the speed up and mix it for a few minutes until it is nice and fluffy.
Pipe, or spread the chocolate cream filling onto the base of one of your biscuits, then sandwich another on top.
Repeat that those steps with the rest of the biscuits, then serve and enjoy.",9,200 g (⅞ cup) butter,100 g (½ cup) caster sugar,250 (2 cups) self raising flour,20 g (¼ cup) cocoa powder,2 tablespoons (40g ) golden syrup,150 g (⅔ cup) butter,350 g (1 ¾ cups) icing / confectioners sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/bourbon-biscuits/,25 g (¼ cup) cocoa powder,a splash of milk,NA,NA,NA,NA,NA
Custard creams,cookingwithmykids,NA,NA,"Afternoon tea, Dessert",British,30 minutes,15 minutes,NA,NA,Servings: 8,10,"Preheat your oven to 180C / 160C Fan / 350F and line 2-3 baking trays with baking or parchment paper.
Measure out the sugar and butter and add them to a large mixing bowl or free-standing mixer. The butter needs to be soft so that it mixes in so if yours isn't cut it into a few pieces and pop it in the microwave for 10 seconds or so, until it has softened (but not long enough to melt it).Using the k-paddle of your mixer, a hand held mixer or wooden spoons, beat the butter and sugar until it is nice and smooth.
To separate the egg yolk from the egg white, have a small bowl under your egg when you crack it. Tip the egg yolk from one half of your egg shell to the other, letting the egg white fall into the bowl below.When all the egg white or as much of it as possible has been removed from the yolk, tip the egg yolk into your mixing bowl.
Now, add the vanilla. Mix the egg white and vanilla into your creamed butter/sugar mixture.
Measure out the flour and custard powder and add them to your mixing bowl. Mix it all in, so it comes together nicely in a ball of biscuit dough. You might need to go in with your hands at the end to bring it all together fully.
Roll small pieces of dough (the size of a walnut or teaspoon's worth) into round balls. Place on your prepared baking trays, leaving space between them for spreading. Press the biscuits down a little with your hands or a fork. 
Chill your trays for 10 minutes or so.
Bake the biscuits in the oven for around 12 minutes. They're ready when they have started to turn a little golden brown at the edges.Remove the biscuits from the oven and leave them to cool on their baking trays for a few minutes, before putting them on a wire rack to cool completely.
Measure the icing sugar, butter, custard powder and vanilla extract out and add them to a mixing bowl or free-standing mixer.Using a hand held mixer or the k-paddle of your free-standing mixer, mix the icing together. Start very slowly and put a clean tea towel over the top if you can, to stop it getting too messy. Once the icing sugar has mixed in, you can turn the speed up and leave it mixing for a few minutes until it is nice and fluffy.
Spoon or pipe the custard cream filling onto the base of a biscuit, and spread it to the edges with the back of a spoon or a small palette knife. Top with another biscuit.",11,175 g (¾ cup) caster sugar,140 g (⅔ cup) butter,1 egg yolk,½ teaspoon vanilla extract,225 g (1 ¾ cups) self raising flour,85 g (¾ cup) custard powder,150 g (1 ¼ cups) icing sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/custard-creams/,75 g (⅓cup) butter,3 tablespoons custard powder,1 teaspoon of vanilla extract,A splash of milk,NA,NA,NA
