title,author,datelisted,rating,ratingnum,category,description_card,sugar,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Chocolate Chip Chickpea Cookies,Hilda Sterner,"Jun 18, 2020",5,2,Sweets & Dessert Recipes,Decadent chocolate chip chickpea cookies that are gluten-free and absolutely delicious!,Sugar: 11.7g,American,"Dessert, sweets",10 minutes,15 minutes,NA,25 minutes,16 large cookies,5,"Blend chickpeas in a food processor until smooth.
Add peanut butter, maple syrup, vanilla extract, baking soda, and salt. Blend until thoroughly combined.
Transfer the chickpea cookie dough to a bowl and fold in chocolate chips. 
Line two cookie sheets with parchment paper. Using a cookie scoop, add eight two tablespoon-sized portions of the chickpea cookie dough onto the cookie sheet. Shape with wet hands if necessary. You should get eight cookies per sheet.
Bake for 15 minutes and allow to cool for 20 minutes before transferring onto cooling racks. Cool on wire rack.",7,▢ 1 14 oz can chickpeas (drained and rinsed),"▢ 1 cup creamy, unsalted, sugar-free peanut butter",▢ 1 cup pure maple syrup,▢ 2 teaspoon vanilla extract,▢ 1½ teaspoon baking soda,▢ ½ teaspoon sea salt,▢ ½ cup mini chocolate chips,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/chocolate-chip-chickpea-cookies-gluten-free/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simsim (Sesame Cookies),Hilda Sterner,"May 14, 2020",4.88,8,Middle Eastern Recipes,"Crispy Simsim/Sesame Cookies, known as Baksum in the Middle East.",Sugar: 4g,Middle Eastern,Dessert,10 minutes,30 minutes,NA,40 minutes,36 cookies,5,"Beat eggs using a mixer. Add oil and vanilla, then mix until combined. Add sugar and mix until smooth.
Whisk flour, baking powder, salt, and cardamom (if using) into a medium-sized bowl then gradually add to the wet ingredients while the mixer is running on low.
Form approximately 1 tablespoon of dough into finger-shaped/sized logs. Roll the logs in the sesame seeds, to coat on all sides. 
Arrange the logs on parchment-lined cookie sheets, allowing room for expansion. Gently flatten with your hand. 
Bake for 30 minutes or until golden in color. Enjoy with tea!",9,▢ 2 large eggs,▢ ½ cup oil,▢ ¾ cup sugar,▢ 1½ tsp. vanilla,▢ 2¼ cups flour,▢ 2 tsp. baking powder,▢ ½ tsp. salt,▢ 1 tsp. cardamom (optional),▢ ½ cup sesame seeds,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/simsim-sesame-cookies-baksum/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empty Tomb Resurrection Cookies,Hilda Sterner,"Apr 8, 2020",4.99,93,Easter Recipes,Hollow Cookies that tell the story of Easter and the Empty Tomb,Sugar: 7g,American,Dessert,20 minutes,NA,NA,20 minutes,30 cookies,10,"Place walnuts or pecans in the ziplock bag. Have your child/children beat the bag with a wooden rolling pin to break the nuts into pieces. 
Let the children smell and taste the vinegar, then pour the vinegar into a mixing bowl. 
Add the egg whites to the mixing bowl.
Add a pinch of salt to the bowl.
Finally, add the sugar and cardamom to the bowl.
Beat the bowl ingredients on high speed for approximately 15 minutes, or until stiff peaks form. 
Fold the nuts into the egg whites.
Drop tablespoon-sized mounds onto two cookie sheets lined with parchment paper or silicone mats.
Put the cookie sheets into the oven, close the door, and turn the oven OFF.
On Easter morning, have the kids unseal the oven and take a cookie. Point out the cracked surface and take a bite. Surprise, the cookies are hollow! Jesus is risen!!! ",6,▢ 1 cup walnuts (or pecans),▢ 1 teaspoon vinegar,▢ 3 egg whites,▢ 1 pinch salt,▢ 1 cup sugar,▢ ½ teaspoon cardamom (optional),NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/the-tomb-is-empty-resurrection-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irresistible Orange Cardamom Cookies,Hilda Sterner,"Mar 13, 2020",5,33,Sweets & Dessert Recipes,Delicious orange and cardamom flavored chocolate chip cookies,Sugar: 9g,American,"Dessert, Snack, sweets",10 minutes,8 minutes,NA,18 minutes,24 cookies,6,"Beat butter and shortening in a stand-up mixer until creamy.
Add both sugars, cardamom, baking soda, orange zest, and salt. Beat the mixture until fluffy. Scrape the sides of the bowl as necessary.
Beat in the eggs and vanilla until incorporated then add the flour. Mix until combined. Finally, stir in the Craisins, white chocolate, and walnuts.
Divide the dough into (24) 1 tablespoon portions. Evenly space 12 portions of cookie dough on a cookie sheet lined with a silicone mat or parchment paper.
Place the cookies in the fridge for 30 minutes to chill the dough. This step is optional but results in less spread.
Place the cookie sheet in the center rack of the oven and bake for 8 minutes, until the edges are light brown. The center will look undone but will result in moist and gooey cookies. Transfer to a wire rack to cool.",14,▢ 6 tablespoon unsalted butter (softened),▢ 2 tablespoon shortening,▢ ½ cup brown sugar (packed),▢ ¼ cup white sugar,▢ 1½ teaspoon cardamom,▢ ¼ teaspoon baking soda (plus ⅛th tsp.),▢ ¼ teaspoon salt,▢ 1 tablespoon orange zest,▢ 1 large egg,▢ ½ teaspoon vanilla extract,▢ 1¼ cups all-purpose flour,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/irresistible-orange-cardamom-cookies/,▢ ¼ cup Craisins,▢ ⅓ cup white chocolate chips,▢ ⅓ cup chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low-Carb Peanut Butter Cookies,Hilda Sterner,"Jan 17, 2019",5,4,Sweets & Dessert Recipes,Sugar-free cookies,Sugar: 1g,American,"Dessert, Snacks",15 minutes,15 minutes,NA,30 minutes,22 cookies,4,"Preheat oven to 350 Degrees F.
Add all the ingredients (except the preserves) in an electric mixer. Mix until thoroughly combined.
Using a small cookie scoop, scoop cookie dough, and place on parchment-lined cookie sheet. Score the top of the cookie dough with a fork. Bake for 15 minutes.
If using preserves, place scoops of dough on the cookie sheet, and make an indent in the center of the dough with your finger or thumb. Bake for 15 minutes. Once cool, fill the center of each cookie with 1 teaspoon jam. ",7,▢ ¾ cup peanut butter,▢ 1 large egg,▢ ⅓ cup Xylitol or Splenda (granulated sweeter),▢ 1 tsp. banana extract,▢ ¼ tsp. baking powder,▢ 1 T. coconut oil (liquified),▢ sugar-free preserves (optional),NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/low-carb-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Authentic Italian Pizzelle Cookies,Hilda Sterner,"Dec 22, 2018",4.93,68,Italian Recipes,This Italian Pizzelle Cookie recipe is easy to prepare and can be prepared in various flavors. ,Sugar: 7g,Italian,Dessert,15 minutes,45 minutes,NA,45 minutes,28 cookies,7,"Heat Pizzelle iron while you prepare the batter. If it needs cleaning from prior use, a vegetable brush works great!
Using a stand mixer, crack eggs into the bowl and whisk until fluffy. Add sugar, melted butter, and anise extract, then mix to combine. Sift flour, baking powder, and salt into the bowl and mix until the batter is smooth. 
Spray Pizzelle maker with non-tick cooking spray, then place one tablespoon of batter in the center of each circle. Close lid and latch.
Cook until hardly any steam is being produced, or the light turns green. Depending on the setting and your iron, this can take anywhere from 30 seconds to 1 minute.
Use a fork or a thin spatula to transfer the Pizzelle onto a cooling rack. Make sure they lay perfectly flat, as they will harden in that position. Continue until the batter is used up. 
Sprinkle cooled cookies with powdered sugar.
Store cookies in your favorite jar or tin for longer storage. This will help to retain their crispy textures.",12,▢ 3 medium eggs,▢ ¾ cup granulated sugar,▢ ½ cup unsalted butter (melted),▢ 1 tablespoon anise extract,▢ 1¾ cups all-purpose flour,▢ 2 teaspoon baking powder,▢ ⅛ teaspoon salt,▢ non-stick cooking spray,▢ ¼ cup powdered sugar (for dusting),▢ ¼ cup cocoa powder,▢ ¼ cup granulated sugar (additional),Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/authentic-italian-pizzelle-recipe/,▢ ¼ teaspoon baking powder (additional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kileche | Kleicha (Assyrian Holiday Cookies),Hilda Sterner,"Dec 2, 2018",4.94,16,Sweets & Dessert Recipes,"The most popular Middle Eastern cookie, made with various fillings.",Sugar: 3g,"Assyrian, Middle Eastern","Dessert, Snacks",30 minutes,30 minutes,NA,NA,150 pieces (approximate),15,"Mix yeast into warm milk, then sprinkle with one tablespoon sugar, mix and set aside until foamy.
Meanwhile, add flour into a large bowl and whisk in the remaining sugar, salt, nigella sativa seeds, and cardamom.
Stir melted butter, yogurt, eggs, and milk-yeast mixture into the flour until crumbly. knead by hand, until the dough is soft and smooth. Score the dough with a Cross, cover, and allow to rest in a warm place for one hour.
While the dough is resting, prepare the fillings. Mix the ground walnuts with the sugar and cardamom. Do the same with the coconut filling ingredients.
To make the date filling, heat vegetable oil in a small saucepan. Add the date paste and sprinkle with cardamom. Stir and mix, over medium heat, until the date paste is toasted. Frying the dates really brings out their flavor!
Preheat oven to 350℉
Divide the dough into 3 portions. One portion will be used for each filing. Any extra dough can be rolled into braids and wreaths and baked as is.
Walnut Kileche Instructions: Take a small portion of dough and roll it into a ball. Flatten using your thumbs and index fingers. Mold the dough into a bowl shape and fill it with a teaspoon or two of walnut filling. Fold the dough in half and press the edges together. Make small folds all around the edges. Continue until all of the dough or filling is used up. Place the cookies on a parchment-covered cookie sheet as you make them.
Prepare the Glaze: Whisk eggs and milk to make the glaze. Pierce Kileche a few times with a fork and brush generously with glaze. Bake for 30 minutes or until golden brown. Continue with the next filling.
Coconut Kileche Instructions: Use one tablespoon of dough, flatten it into a circle. Fill with a few teaspoons of coconut and pinch the dough together. With the pinched portion facing up (so that it ends up on the bottom of the cookie) press and flatten into a Maamoul Mold. Flip and tap the mold to dislodge the coconut-filled cookie. If you don't have a mold, just shape it into a circle.
Continue until you have used up the coconut filling, glazing, and baking as you go.
Place half of the date paste onto an approximately 24"" piece of waxed paper (shiny side up). Cover with another same-sized sheet (shiny side down). Roll into a thin layer using a rolling pin.
Divide the last piece of dough into two sections. Roll one of the pieces into a thin layer, approximately the same size as the date layer or a little bigger.
Slowly peel back one of the sheets of wax paper. Now flip and press the dates into the dough. Gently peel back the remaining sheet of wax paper.
Slice dough lengthwise into two sections and roll into two long tubes. Flatten by pressing down gently with your hands. Make sure the sealed side is facing down. Cut into 2"" sections with a crinkle cutter or slice with a sharp knife. Pierce, glaze, bake, and repeat.",22,▢ 1 tablespoon yeast,▢ 1 cup warm milk,▢ ⅓ cup granulated sugar (divided),▢ 10 cups all-purpose flour,▢ 1½ teaspoon salt,▢ 1 tablespoon cardamom,▢ 1½ teaspoon nigella sativa seeds,▢ 2 cups unsalted butter (melted),▢ ⅓ cup plain yogurt (room temperature),▢ 3 medium eggs (beaten),▢ 1½ cup ground walnuts,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/assyrian-holiday-cookies-kileche-kleicha/,▢ ⅔ cup granulated sugar (may reduce to ½ cup),▢ 1 teaspoon cardamom,▢ 1½ cup unsweetened shredded coconut,▢ ⅔ cup granulated sugar (may reduce to ½ cup),▢ 1 teaspoon ground cardamom,▢ 1 tablespoon rose water (optional),"▢ 16 ounce date paste (packaged, or make your own)",▢ 1 tablespoon vegetable oil,▢ 1 teaspoon ground cardamom,▢ 2 medium eggs (beaten),▢ 2 tablespoon whole milk,NA,NA,NA,NA
Vegan Shortbread Cookies,Hilda Sterner,"Aug 10, 2018",4.43,14,Sweets & Dessert Recipes,Melt-in-your-mouth vegan shortbread cookies.,Sugar: 3g,American,"Dessert, Snacks",15 minutes,15 minutes,NA,NA,30 cookies,10,"If coconut oil has liquified, place it in the fridge for approximately 30 minutes until solidified.
Crush tea leaves, if they are too coarse.
Pour two teaspoons of hot water over the tea, set aside to seep.
Break up the solidified coconut oil with a spoon. Add to a bowl, along with the sugar. Using an electric mixer, mix until completely blended.
Add tea leaves and vanilla, and mix to combine.
Stir salt into the flour, and add to the mixing bowl in increments. Continue to mix until the dough comes together.
Place the dough on a strip of saran-wrap and form into a log. Roll the wrapped log and refrigerate for 30 minutes.
Slice solid log in half, then each log into ¼"" slices.
Place twelve slices on a silicone mat covered cookie sheet.
Bake for 15 minutes, or until golden brown along the edges. Cool on a wire rack. Repeat with the remaining dough.",6,▢ 1½ teaspoon tea leaves,▢ ¾ cup coconut oil,▢ ½ cup sugar,▢ ½ teaspoon vanilla,▢ ½ teaspoon salt,▢ 1¾ cups flour,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/vegan-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardamom Shortbread Cookies (Shakar Lama),Hilda Sterner,"Jun 2, 2018",4.65,17,Sweets & Dessert Recipes,"Melt in your mouth sugar cookies, with the delicious addition of cardamom.",Sugar: 5g,"Assyrian, Middle Eastern","Dessert, Snacks",10 minutes,20 minutes,NA,NA,22 cookies,5,"Slice butter into 1″ pieces, add to a stand mixer, along with sugar. Mix with a paddle attachment until thoroughly blended. Scrape down the sides of the bowl with a spatula as needed.
Add flour, cardamom, and salt to the bowl. Mix until the ingredients are incorporated.
Spoon cookie batter into a large ziplock bag or Saran wrap and roll into a log. Chill the dough in the fridge for a minimum of 30 minutes.
Using a pastry scraper, slice the chilled dough in half, then in quarters. Slice each quarter into five to 6 equal discs. Place discs on a parchment-lined baking sheet.
Press one almond into the center of each cookie. Bake for 13-15 minutes, or until the edges of the cookies are golden brown.",6,▢ 20 almonds (blanched and peeled),▢ ¾ cups unsalted butter (room temperature),▢ ½ cup granulated sugar,▢ 1½ cup all-purpose flour,▢ 2 teaspoon ground cardamom,▢ ½ teaspoon sea salt,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/cardamom-shortbread-cookies-shakar-lama/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Lebkuchengewürz (German Gingerbread Spice Blend),Hilda Sterner,"Dec 25, 2025",5,1,Spices and Seasonings,"Make homemade lebkuchengewürz with simple pantry spices. Learn what it is, how to use it, and why this German gingerbread spice shines.",NA,German,seasoning,NA,NA,NA,NA,4 Servings,4,"Toast anise seeds, whole cloves, coriander seeds, cardamom seeds, allspice berries, star anise, and whole nutmeg in a hot skillet until fragrant (about 60 seconds).
Cool spices completely, then grind the smaller spices (anise seeds, cloves, coriander, and cardamom seeds) with a spice grinder or coffee mill. Use a fine-mesh sieve to sift larger pieces, and grind again until powdered.
Next, grind allspice berries and star anise and sift through a fine-mesh sieve to remove any larger pieces. Lastly, grind dried ginger and dried orange peels and sift. Mix in ground cinnamon and grated nutmeg until evenly distributed.
Transfer spice mixture to a spice jar and label with contents and date. Store lebkuchengewürze spice mix in a small, airtight spice jar and keep it in a cool, dark location. Use within 3-4 months for peak flavor.",10,▢ 2 teaspoon anise seeds,▢ 10 whole cloves,▢ 1 teaspoon whole coriander,▢ 1 teaspoon cardamom seeds (hulled cardamom pods),▢ 10 allspice berries (½ teaspoon ground),▢ 2 whole star anise,▢ 3 slices dried ginger (or 1 teaspoon ground),▢ ½ teaspoon dried orange peels (optional),▢ 2 tablespoon ground cinnamon,▢ ⅓ whole nutmeg (grated),NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/homemade-lebkuchengewurz-german-gingerbread-spice-blend/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwegian Potato Lefse Recipe,Hilda Sterner,"Dec 12, 2025",5,2,Christmas Recipes,"This authentic Norwegian potato lefse recipe was passed down from a Norwegian granny and yields soft, tender lefse rolled so thin that you can see light through them, a true taste of tradition!",Sugar: 2g,Norwegian,"Breakfast, lunch, sweets",NA,20 minutes,NA,20 minutes,10 Lefse,6,"Boil whole potatoes with skins on for 20-30 minutes, depending on size, until fork-tender. Peel when cool enough to handle, then rice using a potato ricer. Add to a 9""x13"" pan and allow the steam to escape.
Add melted butter, sugar, and salt to warm riced potatoes and mix to combine. Refrigerate overnight, uncovered, to dry them out further. If you begin early in the day, cool them for around 8 hours and continue with the recipe.
Mix all-purpose flour into the potato mixture. Knead until the dough is smooth and soft, then roll into a log. It should not be sticky, so add more flour if needed!
Use a pastry cutter to divide the dough into approximately 10 equal portions, about 4 to 5 ounces each. Roll each piece into a ball, then flatten into a disc. Use your palms to smooth the edges (see video).
On a floured dishcloth or a floured lefse board, roll out each disc with a rolling pin that's covered with pastry cloth/sleeve. Flip lefse as needed. Switch to a corrugated rolling pin (if you have one) and roll until you have a 10""-12"" circle.
Roll lefse onto the stick, then unroll onto the hot pan or lefse griddle. Cook for 30-60 seconds on each side or until brown blisters form. Use the lefse stick or thin metal spatula to flip them. Place cooked lefse between dish towels and continue until all lefse have been cooked. Once cool, store in ziplock bags.",5,▢ 2½ lbs russet potatoes,▢ ½ cup unsalted butter,▢ 2 teaspoon granulated sugar,▢ 2 teaspoon sea salt,▢ 1½ cups all-purpose flour (plus more for dusting),NA,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/norwegian-potato-lefse-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hojicha Latte With Cold Foam,Nena Sterner,"Nov 2, 2025",5,1,Drink Recipes,"This hojicha latte is made with roasted matcha, giving it a warm, toasty flavor with notes of cramel and cocoa. It's smooth, nutty, and just the right amount of sweet. ",Sugar: 25g,"American, Asian, Japanese",Drinks,10 minutes,NA,NA,10 minutes,1 serving,3,"In a cup, combine softened cream cheese, milk, heavy whipping cream, sugar, and sea salt. Use a milk frother to mix it for 30-60 seconds, moving it up and down until mixture is thick and slightly fluffy.
In a small bowl, whisk together hojicha powder, cocoa powder, and ¼ cup hot water until slightly frothy with no clumps remaining.
Drizzle caramel syrup along the inside of a tall glass and then add ice, milk, and hojicha mixture. Top it off with cream cheese cold foam and a light dusting of cocoa powder. Stir and sweeten with brown sugar to taste.",10,▢ 2 tablespoon cream cheese,▢ 2 tablespoon whole milk,▢ 2 tablespoon heavy whipping cream,▢ 1 teaspoon brown sugar,▢ ⅛ teaspoon smoked salt,▢ ½ tablespoon hojicha powder,▢ 1 teaspoon unsweetened cocoa powder,▢ ¼ cup hot water,▢ 2 teaspoon caramel syrup,▢ ¾ cup milk,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/hojicha-latte-with-cold-foam/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Make Smoked Salt,Hilda Sterner,"Sep 19, 2025",5,1,Smoker Recipes,"Learn how to make cold-smoked salt at home with this easy guide, including the best way to use it to add smoky flavor to any dish. ",NA,American,Condiments,NA,NA,NA,NA,96 Servings,3,"Fill smoker tube with pellets and light with a butane torch or a lighter. Place the tube on the grate of your grill or smoker. Pour salt in a thin, even layer in a shallow pan, then set it next to the smoker tube and close the lid. Keep the temperature inside the grill below 80°F.
Cold smoke the salt for a minimum of 6 hours, stirring hourly to ensure even exposure. For a more robust flavor, smoke longer, 12+ hours.
Set your smoker's temperature between 200°F-225°F. Choose super smoke for intense flavor. Place a tray filled with a thin layer of kosher salt or flake salt on the grill and smoke for a minimum of 1 hour, or until the desired flavor is achieved.",1,▢ 2+ cups kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/how-to-make-smoked-salt/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fig Leaf Tea,Nena Sterner,"Aug 18, 2025",5,2,Drink Recipes,"Fig leaf tea is a subtle, caffeine-free brew with many benefits, and a great recipe to get the most out of your fig tree! Enjoy it hot, cold, unsweetened, or with cream & sugar!",NA,"American, Asian, Chinese, Mediterranean",Drinks,10 minutes,13 minutes,NA,23 minutes,2 servings,3,"Rinse then soak fig leaves in cold water for 10 minutes to remove debris, then cut them into squares.
Gently boil cinnamon stick and cloves for 5 minutes. Add fig leaves and dried orange slices, then reduce to a gentle simmer and steep for 8 minutes.
Strain and serve hot or over ice, as-is or with cream and sugar.",5,▢ 6-8 large fig leaves,▢ 4 cups water,▢ 1-2 small cinnamon sticks,▢ 4-8 whole cloves,▢ 2 dried orange slices,NA,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/fig-leaf-tea/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wild Huckleberry Curd,Hilda Sterner,"Aug 14, 2025",5,3,Sweets & Dessert Recipes,"This wild huckleberry curd is deep purple, velvety smooth, and bursting with wild mountain flavor! It's easy to prepare, and you only need one cup of huckleberries to make it!",Sugar: 8g,American,"Condiments, sweets",5 minutes,15 minutes,NA,20 minutes,24 Servings,5,"Add huckleberries, salt, and lemon juice to a small saucepan. Bring to a simmer over low heat for about 5 minutes; crush the berries with a potato masher to release their juice.
Strain huckleberry juice through a fine-mesh strainer into a measuring cup. You should have ⅓ cup of juice. If not, add water through the berries in the strainer to make up the difference.
Whisk the egg yolks and sugar in a medium mixing bowl until thoroughly combined and the mixture turns a pale yellow color. Pour the egg mixture into a heavy-bottomed saucepan, then whisk in strained huckleberry juice.
Simmer curd mixture over low heat, whisking continuously until thickened (about 5 to 10 minutes). Remove from heat, then whisk in cold cubed butter until totally blended.
Strain curd through a fine-mesh sieve for an ultra-smooth texture. Pour curd into a bowl and cover with cling wrap, or pour directly into a jar. Keep the curd refrigerated until ready to enjoy.",6,▢ 1 cup huckleberries,▢ ⅛ teaspoon sea salt,▢ ¼ cup lemon juice,▢ 5 large egg yolks,▢ 1 cup granulated sugar,▢ ⅓ cup unsalted butter (cold),NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/wild-huckleberry-curd/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 Minute Cream Cheese Caramel Apple Dip,Nena Sterner,"May 26, 2025",5,3,Fall Recipes,"This delicious Cream Cheese Caramel Apple Dip makes a great snack or dessert and only takes 5 minutes to prepare! Enjoy it with fresh apple slices, pretzels, cookies, and more!",Sugar: 18g,American,"Dessert, Snack",5 minutes,NA,NA,5 minutes,8 servings,2,"In a medium bowl, combine softened cream cheese, vanilla extract, sugar, salt, and cinnamon, mixing until smooth.
Transfer mixture to a shallow bowl or dish, then top with caramel sauce, toffee bits, and toasted coconut flakes. Serve alongside freshly sliced apples.",9,▢ 8 oz cream cheese,▢ 1 teaspoon vanilla extract,▢ ¼ cup brown sugar,▢ ½ teaspoon sea salt,▢ ¼ teaspoon cinnamon,▢ ¼ cup caramel sauce,▢ 1 tablespoon toffee bits,▢ 2 tablespoon toasted coconut flakes,▢ 2-3 large apples,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/5-minute-cream-cheese-caramel-apple-dip/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Spiced Kashmiri Pink Chai,Nena Sterner,"May 12, 2025",5,2,Drink Recipes,Kashmiri pink chai is a gorgeous tea with a strong spiced flavor. This Kashmiri pink tea is made sweet or salty - try it both ways! ,Sugar: 14g,"Indian, Middle Eastern",Drinks,5 minutes,20 minutes,NA,25 minutes,6 cups,4,"Add 2 cups water to a medium saucepan, along with Kashmiri chai leaves, cardamom pods, star anise, and a cinnamon stick. Stir and bring to a boil. Meanwhile, prepare the ice water.
Once it begins to boil, add baking soda and salt. Stir and reduce heat to medium-low. Use ladle to aerate the tea every 60 seconds or so, scooping out the liquid and pouring it back in. This will assist the color change process. Allow the tea to gently boil for 4-6 minutes or until liquid is reduced by about half and tea is dark red in color.
When you start to see pink bubbles on the surface of the tea, give it one more stir to confirm it's achieved a deep red color throughout. If so, add the ice water and aerate several more times with the ladle. Slowly add in the milk, sugar, and orange blossom water. Bring it back to a gentle boil, then immediately remove from heat.
Strain tea and serve topped with chopped pistachios and dried seedless rosehips.",13,▢ 4 cups water (divided),▢ 2 tablespoon Kashmiri chai leaves,▢ 4-8 green cardamom pods,▢ 1 star anise,▢ 1 small cinnamon stick,▢ 8-10 ice cubes,▢ ¼ teaspoon baking soda,▢ ¼ teaspoon Himalayan pink salt,▢ 3 cups whole milk,▢ ¼ cup granulated white sugar,▢ 1 tablespoon orange blossom water,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/simple-spiced-kashmiri-pink-chai/,▢ 1 tablespoon chopped pistachios,▢ 10 seedless rose hips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Make Charcuterie Cups,Nena Sterner,"May 5, 2025",5,1,Snack Recipes,"Individual charcuterie cups are the easy and sophisticated on-the-go snack you absolutely need at your next movie night, party, etc!",Sugar: 12g,American,Snack,10 minutes,NA,NA,10 minutes,1 cup,6,"Build a base at the bottom of the cup of mixed cashews and macadamia nuts.
Add crackers and a small bunch of grapes, draping them over the rim.
Add cucumber slice, cubed Colby Jack, summer sausage, grape tomato, and cubed smoked gouda to a skewer, then add to cup.
To create a pepperoni rose, line up 4 pepperoni slices so that they are slightly overlapping. Fold them in half from top to bottom, then roll the stack from right to left to assemble the rose. Use a skewer to keep it in place.
Assemble skewer with mozzarella pearls, mint leaves, pepperoni rose, and green olive. Place it in the cup, along with pretzels and a fresh strawberry.
Repeat process until all cups are assembled.",15,▢ 2 tablespoon cashews,▢ 2 tablespoon macadamia nuts,▢ 2-4 sesame crackers,▢ 1 small bunch grapes (about 10 grapes),▢ 1 cucumber slice,▢ 1 cube colby jack,▢ 1 cube summer sausage,▢ 1 grape tomato,▢ 1 cube smoked gouda,▢ 4 pepperoni slices,▢ 2 mozarella pearls,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/charcuterie-cups/,▢ 2 mint leaves,▢ 1 pimento olive,▢ 4 pretzels,▢ 1 strawberry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Resurrection Rolls + PDF,Hilda Sterner,"Apr 13, 2025",5,1,Easter Recipes,"Share the story of Easter by making Resurrection rolls! The baked rolls will be hollow inside and empty, like Jesus' tomb!",Sugar: 7g,American,Side Dish,10 minutes,12 minutes,NA,22 minutes,8 Servings,5,"Preheat the oven to 375°F (190°C) and line a baking sheet with parchment paper. If making resurrection rolls with children, hand marshmallows out to each child present.
Mix sugar, cinnamon, and cardamon in a small bowl. Dip marshmallows in melted butter, then roll in cardamom/cinnamon-sugar mixture.
Wrap each marshmallow in a crescent roll triangle and make sure the edges are sealed (see video). Add to prepared baking sheet or a muffin tin. Brush with melted butter and sprinkle with cardamom-cinnamon sugar.
Place the rolls seam-side down on a baking sheet or in a muffin pan and bake in the oven for 10-12 minutes. When the rolls are golden brown, remove them from the oven.
Let the rolls cool slightly, then open one by slicing it in half to reveal the hollow center. The roll should be empty, just like Jesus' tomb-Jesus has risen!",6,▢ 8 large marshmallows,▢ 2 tablespoon melted unsalted butter,▢ ¼ cup granulated sugar,▢ 1½ teaspoon cinnamon powder,▢ 1½ teaspoon cardamom powder,▢ 1 Pillsbury crescent rolls,NA,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/easter-resurrection-rolls-pdf/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
