title,author,date,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Soft Gingerbread Cookies,Sofi | Broma Bakery,"May 15, 2025",5,4,Cookies,30 minutes,8 minutes,NA,1 hour,NA,6,"Place the shortening, granulated sugar, and molasses in a medium saucepan and set over medium low heat. Cook, occasionally stirring with a whisk, until the crisco has melted completely. Remove from heat and pour the mixture into a large bowl. Set aside to cool slightly (the shortening should still be liquid just not hot!).
Once the mixture has cooled slightly add the egg and vanilla extract to the bowl, whisking until smooth and glossy.
Add the flour, baking soda, ginger, cinnamon and salt to the mixture and use a rubber spatula to fold together until combined and no streaks of flour remain. The dough will be soft and a little sticky—don’t worry it will firm up in the fridge! Transfer the dough to a sheet of plastic wrap or tin foil, shaping into a disc, seal and chill for at least 2 hours but up to 2 days!
When you’re ready to roll out the cookies preheat the oven to 350°F and line a cookie sheet with parchment paper. Set aside.
Lightly flour a clean work surface. Roll the dough out to about 1/4 inch thickness. Use cookie cutters (we used a 3-inch gingerbread man!) and cut out cookies. Place the cookies 2 inches apart on the prepared pan and bake for 8 to 9 minutes for full size cookies (if you do smaller cookies you’ll want to bake them for less time!) The edges should be lightly brown but still slightly underbaked in the middle—this will keep them super soft and moist! Do not overbake unless you like crisp, harder cookies! Place the cookies on a cooling rack to cool completely.
Once the cookies are completely cool, make the royal icing. Combine the egg white, powdered sugar, vanilla, and salt in a medium bowl and whisk to combine. If the frosting feels too thick add 1/4 teaspoon of water at a time. If the frosting feels too thin, add a little more powdered sugar. Whisk until smooth. Transfer to a piping bag fitted with a small round tip and decorate the cooled cookies! Enjoy!",14,"1/2 cup shortening (you can also use butter, but they tend to spread more!)",1/2 cup granulated sugar,1 cup molasses,"1 large egg, at room temperature",2 teaspoons vanilla extract,3 1/2 cups all-purpose flour,1 teaspoon baking soda,Broma Bakery,https://bromabakery.com/soft-gingerbread-cookies/,2 teaspoons ground ginger,2 teaspoons ground cinnamon,1/2 teaspoon salt,1 egg white,1 1/4 cups powdered sugar,1/4 teaspoon vanilla extract,pinch of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Buckeye Cookies,Sofi | Broma Bakery,"May 15, 2025",5,8,Cookies,45 minutes,12 minutes,NA,2 hours,NA,8,"First, make the cookies. Preheat the oven to 350°F. Line two baking sheets with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, add the butter and brown sugar and beat on medium-high speed until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat on medium-high until mixture is fluffy and pale in color, about 2 minutes.
Stop the mixer and scrape down the bowl, then add the flour, cocoa powder, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain.
Use a 2 ounce cookie scoop to portion out equal amounts of dough. Place on the prepared baking sheets, spacing the dough 2 inches apart. Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 11 to 12 minutes. As soon as they come out of the oven take the cookie scoop and press the round side of it into the cookies, making an indentation in the center of each cookie. This will create a little cradle for you to put the peanut butter filling in! Transfer the cookies to a cooling rack to cool completely.
Once the cookies have cooled, make the peanut butter filling. Combine the peanut butter, powdered sugar and vanilla in a medium bowl and mix to combine. The mixture will be thick! Scoop out about 1 1/2 tablespoons of peanut butter onto each cookie, gently patting it into rounded disc into the indentation.
Next make the chocolate topping. Place the cream in a medium microwave-safe bowl. Microwave until the cream is hot to the touch, but not boiling, 30 to 45 seconds depending on the strength of your microwave. Add the chocolate chips to the cream and let sit for 1 minute, then use a fork to stir the mixture together until smooth and glossy.
Use a spoon to top each cookie with about a tablespoon of ganache, spreading it in evenly over the peanut butter filling. Let the ganache set completely, about 30 minutes before serving! Enjoy!",13,"1/2 cup unsalted butter, at room temperature",1 cup packed light brown sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 1/3 cups all-purpose flour,1/3 cup Dutch-processed cocoa powder,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/soft-and-chewy-buckeye-cookies/,1/2 teaspoon salt,1 cup peanut butter (we used jiff!),2/3 cup powdered sugar,1 teaspoon vanilla extract,1/2 cup semisweet chocolate chips,1/4 cup heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Pistachio Cranberry Slice and Bake Cookies,Sofi | Broma Bakery,"May 15, 2025",5,4,Cookies,30 minutes,10 miutes,NA,1 hour and 40 minutes,NA,7,"In a stand mixer fitted with the paddle attachment, add the butter, brown sugar, and granulated sugar and beat on medium-high speed until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add the egg yolk, vanilla and almond extract. Beat on medium-high speed until the mixture is smooth and combined, about 1 minute, scraping down the bowl as needed.
Add the flour and salt to the bowl and beat on low until just combined and no streaks of flour remain, about 15 seconds. Add 1/2 cup of the chopped pistachios (reserve half to roll the dough in! You can just leave it on your cutting board), the dried cranberries and chocolate. Mix to evenly distribute to stir ins.
Get out two large pieces of plastic wrap and divide the cookie dough in half, placing half on each piece of plastic wrap. Roll each half into a log about 12-inches long and 1-inch in diameter. Roll the logs in the remaining half cup of chopped pistachios, pressing the edges of the log into the nuts to make them stick. Wrap the logs tightly with plastic wrap. Refrigerate until chilled, about 2 hours. The cookie dough log can last in fridge for up to 5 days.
When ready to bake, preheat the oven to 350°F. Line two baking sheets with parchment paper. Remove cookie dough from fridge and cut into ¼ inch rounds. Place each cookie about 1 inch apart on the prepared cookie sheets.
Bake cookies for 10 minutes or until they are just golden brown on the edges. Allow the cookies to cool completely on their baking sheets.
If you want to dip them or drizzle them with chocolate, make the white chocolate coating. Place the white chocolate and coconut oil in a microwave safe bowl and microwave in 15 second increments, stirring between each until fully melted. Dip each cookie halfway into the melted chocolate or just drizzle with the chocolate. Place on a cooling rack to set completely before serving or storing! Enjoy!",13,"3/4 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,1/4 cup granulated sugar,1 large egg yolk,2 teaspoons vanilla extract,1/4 teaspoon almond extract,1 3/4 cup all-purpose flour,Broma Bakery,https://bromabakery.com/white-chocolate-pistachio-cranberry-slice-and-bake-cookies/,1/2 teaspoon salt,"1 cup unsalted pistachios, finely chopped, divided","1/2 cup dried cranberries, roughly chopped","4 ounces white chocolate, finely chopped","4 ounces white chocolate, finely chopped",1 teaspoon coconut oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Pie Cookies,Sofi | Broma Bakery,"Jan 22, 2026",4.9,7,Cookies,30 minutes,15 minutes,NA,45 minutes,NA,8,"Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
In a stand mixer fitted with the paddle attachment, beat the butter, brown sugar and granulated sugar on low speed to combine, about 1 minute.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat until combined.
Stop the mixer and scrape down the bowl, then add the flour, graham cracker crumbs, baking powder, and salt and beat on low speed until just combined and no streaks of flour remain.
Use a 1 1/2 ounce cookie scoop to portion out equal amounts of dough, rolling them between your hands to smooth out the edges. Place on the prepared baking sheets, spacing the dough 2 inches apart. Gently flatten the top of each ball with your palm to smoosh it down slightly. Press your thumb into the center of each dough disc (or use the back of a tablespoon measuring spoon), making a wide divot in the center of each cookie. Place the cookies in the preheated oven and set a timer for 5 minutes.
While the cookies bake, make the pumpkin filling. In a small bowl combine the pumpkin, brown sugar, egg, evaporated milk, flour, and pumpkin pie spice. Whisk to combine.
Remove the cookies from the oven after 5 minutes (they’re only partially baked!) and use the back of the tablespoon or a 1/4 cup measure to reshape the divot in the middle of the cookie. You should have a wide hole in the center and about 1/2 inch border of cookie on the outside. Spoon 2 teaspoons of the pumpkin filling into the center of each cookie and place back in the oven until the cookies are turning a light golden brown and the filling is no longer wobbly, 6 to 8 minutes more.
Remove the baking sheet from the oven and allow the cookies to cool completely. Once cool, top with a dollop of whipped cream if desired and serve!",15,"3/4 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,1/4 cup granulated sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 1/4 cups all-purpose flour,1/2 teaspoon baking powder,Broma Bakery,https://bromabakery.com/pumpkin-pie-cookies/,1/2 teaspoon salt,1 1/4 cups graham cracker crumbs,1/3 cup pumpin puree,3 tablespoons packed light brown sugar,1 large egg,1 tablespoon evaporated milk (cream also works!),1 tablespoon all-purpose flour,1 teaspoon pumpkin pie spice,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Spiderweb Cookies,Sofi | Broma Bakery,"Oct 28, 2024",4.7,3,Cookies,30 minutes,12 minutes,NA,2 hours,NA,0,,14,"1/2 cup unsalted butter, at room temperature",1 cup packed light brown sugar,"1 large egg, at room temperature",1 teaspoon vanilla extract,1 cup all-purpose flour,1/2 cup Dutch processed cocoa powder,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/double-chocolate-spiderweb-cookies/,1/2 teaspoon salt,3/4 cup crushed Oreo cookies,1/4 cup semisweet or dark chocolate chips,"4 ounces white chocolate, chopped",1 teaspoon coconut oil,Halloween sprinkles,Oreo crumbs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty Chai Snickerdoodles,Sofi | Broma Bakery,"Oct 17, 2024",4.5,4,Cookies,30 minutes,12 minutes,NA,45 minutes,NA,7,"Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
First, make the dirty chai sugar. In a small bowl, combine the granulated sugar, spices and black pepper. Set aside.
Next, make the cookies. In a stand mixer fitted with the paddle attachment, beat the butter, granulated sugar, and brown sugar on low speed to combine, then increase to medium-high and beat until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg, egg yolk, Greek yogurt, and vanilla. Beat on medium-high until mixture is fluffy and pale in color, about 2 minutes.
Stop the mixer and scrape down the bowl, then add the flour, cinnamon, ginger, cardamom, espresso powder, cloves, black pepper, cream of tartar, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain.
Use a 2 ounce cookie scoop to portion out equal amounts of dough. Roll each ball of dough in the dirty chai sugar until it’s evenly coated. Place the cookies on the prepared baking sheet, spacing them 3 inches apart.
Bake until the cookies have started to crackle on the top and are set and firm around the edges but still somewhat soft in the middle, 12 to 13 minutes. Remove the baking sheet from the oven and allow the cookies to cool completely on the baking sheet before serving.",23,1/2 cup granulated sugar,2 teaspoons ground cinnamon,1 teaspoon ground ginger,1 teaspoon ground cardamom,1/2 teaspoon espresso powder,1/8 teaspoon ground cloves,crack of fresh black pepper,Broma Bakery,https://bromabakery.com/dirty-chai-snickerdoodles/,"1/2 cup unsalted butter, at room temperature",1/2 cup granulated sugar,1/3 cup packed light brown sugar,"1 large egg + 1 large egg yolk, at room temperature",1 tablespoon plain Greek yogurt (or sour cream),1 teaspoon vanilla extract,1 1/4 cups all-purpose flour,2 teaspoons ground cinnamon,1 teaspoon ground ginger,1 teaspoon ground cardamom,1/2 teaspoon espresso powder,1/8 teaspoon ground cloves,crack of fresh black pepper,1 teaspoon cream of tartar,1/4 teaspoon baking soda,1/2 teaspoon salt
Homemade Nutter Butters,Sofi | Broma Bakery,"Dec 6, 2024",5,6,Cookies,45 minutes,10 minutes,NA,1 hour,NA,7,"First, make the cookies. Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, beat together the peanut butter, butter and brown sugar on low speed until combined. Gradually increase the speed to medium-high and beat until light and fluffy, about 1 minute. Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat to combine.
Add the flour, cornstarch, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain.
Use a 1 ounce cookie scoop to portion out equal amounts of dough. Shape the dough balls into flat oval discs, using your fingers to pinch the middle in so that each one looks like a peanut. Place the dough on the prepared baking sheets, spacing the dough 2 inches apart. Use a fork to make crosshatches on each circular end of the dough.
Bake for 9 to 10 minutes or until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle*. Remove the baking sheet from the oven and allow the cookies to cool completely.
While the cookies cool make the filling. In a stand mixer fitted with the paddle attachment, combine the peanut butter, powdered sugar, 3 tablespoons of the heavy cream, and vanilla extract. Beat on low speed until smooth–do not over mix or the cream can split! If the filling feels too thick add the last tablespoon of cream. Transfer to a piping bag.
Match up the cooled cookies into pairs. Pipe about two teaspoons worth of filling onto the bottom of one half and sandwich together with the other half. Repeat with the remaining cookies. Enjoy!",13,3/4 cup creamy peanut butter (we recommend Jiff or Skippy!),"1/4 cup unsalted butter, at room temperature",1 cup packed light brown sugar,"1 large egg, at room temperature",1 teaspoon pure vanilla extract,1 cup all-purpose flour,2 tablespoons cornstarch,Broma Bakery,https://bromabakery.com/homemade-nutter-butters/,1/4 teaspoon baking soda,1/2 tsp salt,1/2 cup creamy peanut butter,2/3 cup powdered sugar,3 – 4 tablespoons heavy cream,1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Fritter Cookies,Sofi | Broma Bakery,"Sep 10, 2024",5,16,Cookies,45 minutes,15 minutes,NA,1 hour,NA,9,"Preheat the oven to 350°F. Line a two baking sheets with parchment paper. Set aside.
First, make the apples. Combine the diced apple, brown sugar and cinnamon in a small mixing bowl and stir together until the apples are evenly coated. Set aside.
Next, make the cookies. In a stand mixer fitted with the paddle attachment, beat together the butter and brown sugar on low speed until combined. Gradually increase the speed to medium-high and mix until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat on medium-high speed until the mixture is smooth and combined, about 1 minute, scraping down the sides and bottom of the bowl as needed.
Add the flour, baking powder, spices, and salt and beat on low until just combined and no streaks of flour remain, about 30 seconds. Last, add the apple mixture and fold to combine.
Using a 2 ounce cookie scoop scoop level portions of dough into balls, placing them 2 inches apart on the prepared baking sheets.
Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 12 to 15 minutes.
While the cookies are baking, make the glaze. In a small mixing bowl combine the powdered sugar, maple syrup, milk, and salt. The glaze will be a little thick, but should still be spoonable. If it’s not, add a teaspoon of milk to thin it out.
Spoon the glaze over the hot cookies. Let the cookies set for 10 minutes for the glaze to harden before digging in!",17,"1 large apple, peeled, cored and diced (We used granny smith!)",2 tablespoons packed light brown sugar,1 tablespoon ground cinnamon,"1/2 cup unsalted butter, at room temperature",2/3 cup packed light brown sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,Broma Bakery,https://bromabakery.com/apple-fritter-cookies/,1 2/3 cup all purpose flour,1/2 teaspoon baking powder,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,1/4 teaspoon ground nutmeg,1/4 teaspoon ground ginger,1 cup powdered sugar,1 tablespoon pure maple syrup,2 tablespoon milk,heavy pinch of salt,NA,NA,NA,NA,NA,NA
Key Lime Pie Cookies,Sofi | Broma Bakery,"Jun 16, 2025",5,4,Cookies,40 minutes,14 minutes,NA,2 hr 30 minutes,NA,8,"First, make the cookies. Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, granulated sugar, and brown sugar on medium-high speed until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add the egg, vanilla, lime juice, and lime zest. Beat on medium-high until smooth and fluffy, about 1 minute.
Add the flour, baking powder, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain, about 30 seconds, scraping down the bowl as needed. Last, add the graham cracker crumbs and mix until combined.
Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough. Roll the dough in your hands to smooth the edges, then place on the prepared baking sheets, spacing the dough balls about 2 inches apart. Use your thumb or the back of a tablespoon to make an indentation in the center of each cookie, shaping it gently so the edges are smooth and there is a wide divot in the middle.
Bake the cookies for 12 to 14 minutes or until they’ve puffed up and are set and firm around the edges, but still soft in the middle. Remove the baking sheet from the oven and take the back of a measuring cup reshape the divot in the hot cookies, making it wide and shallow with about 1/4 inch border all around the edge. Set aside to cool until set, about 5 minutes, before transferring to a cooling rack to cool completely. 
Once the cookies are cool, make the key lime pie filling. In the bowl of a stand mixer fit with the paddle attachment, combine all of the ingredients for the filling and beat until smooth and no chunks of cream cheese remain, about 1 minute.
Spoon about 2 teaspoons of the key lime filling into the center of each cookie, using the back of a spoon to spread it into an even layer. You can also put the filling into a piping bag and pipe it in! Top with fresh lime zest and a key lime slice if desired. Refrigerate for at least 1 hour for the filling to set before serving!",18,"1/2 cup unsalted butter, at room temperature",1/4 cup granulated sugar,"1/2 cup light brown sugar, packed","1 large egg, at room temperature",2 teaspoons vanilla extract,1 tablespoons fresh key lime zest,1 tablespoons fresh lime juice,Broma Bakery,https://bromabakery.com/key-lime-pie-cookies/,1 1/4 cups all purpose flour,1/2 teaspoon baking powder,1/4 teaspoon baking soda,1/2 teaspoon salt,1 1/2 cups graham cracker crumbs,"4 ounces cream cheese, at room temperature",2 tablespoons fresh key lime juice,2 tablespoons sweetened condensed milk,1 cup powdered sugar,1/4 teaspoon vanilla extract,"key limes (optional), for garnish",NA,NA,NA,NA,NA
Strawberry Shortcake Cookies,Sofi | Broma Bakery,"Aug 21, 2024",5,4,Cookies,30 minutes,15 minutes,NA,45 minutes,NA,8,"Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
First, make the crumble topping. Combing the flour, brown sugar, granulated sugar, salt and melted butter in a medium bowl and use a fork to stir together until the mixture clumps together. Set aside while you make the cookies.
Next, make the cookies. In a stand mixer fitted with the paddle attachment, beat together the butter, granulated sugar, and brown sugar on low speed until combined. Gradually increase the speed to medium-high and mix until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat on medium-high speed until the mixture is smooth and combined, about 1 minute, scraping down the sides and bottom of the bowl as needed.
Add the flour, baking powder, baking soda, and salt and beat on low until just combined and no streaks of flour remain, about 30 seconds.
Remove the bowl from the stand mixer and use a silicone spatula to fold in the sliced strawberries. Last, drop big spoonfuls of the preserves into the dough and use a silicone spatula to fold the dough once or twice–you don’t want to over mix it!
Use a 1 ½ ounce cookie scoop to scoop out balls of dough. Place on the prepared baking sheet, spacing the dough balls 2 inches apart. crumble about 1 teaspoon of the crumb topping onto each dough ball, gently pressing it into the cookie.
Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 12 to 15 minutes. Sometimes the jam can make the cookies spread on some edges–for perfectly round cookies use a large round cookie cutter to shape the cookies towards the end of their bake time. Remove the baking sheet from the oven and allow the cookies to rest on the baking sheet for 5 minutes, then use a metal spatula to transfer the cookies to a cooling rack to cool completely.",16,"3 tablespoons unsalted butter, melted",2 tablespoons light brown sugar,1 tablespoon granulated sugar,1/3 cup all-purpose flour,pinch of salt,"1/2 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,Broma Bakery,https://bromabakery.com/strawberry-shortcake-cookies/,1/4 cup granulated sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 2/3 cup all-purpose flour,1/2 teaspoon baking powder,1/4 teaspoon baking soda,1/2 teaspoon salt,"6 strawberries, washed, hulled and sliced",1/4 cup strawberry preserves,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Marble Cookies,Sofi | Broma Bakery,"Sep 26, 2024",4.3,11,Cookies,20 minutes,13 minutes,NA,33 minutes,NA,8,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, combine the butter, brown sugar and granulated sugar and beat on medium-high speed until light and fluffy, about 2 minutes.
Use a rubber spatula to scrape down the sides of the bowl and add the egg and vanilla extract. Beat until smooth and combined.
Add 1 1/2 cups flour (you’ll use the 3 tablespoons later!), baking soda, baking powder and salt and mix until just combined and no streaks of flour remain.
Divide the dough in half into two bowls. To the first bowl add the remaining 3 tablespoons flour and 1/2 cup chocolates chips. Stir to combine. To the second bowl add the 3 tablespoons cocoa powder and 1/2 cup chocolate chips. Stir to combine.
Use a .5 ounce cookie scoop to scoop out tablespoons of dough. Alternate stacking four dough balls together (vanilla, chocolate, vanilla, chocolate) and press together before rolling into balls. Repeat with the remaining dough.
Place the balls 2 inches apart on your prepared cookie sheet. Bake at 350° F for 12 to 14 minutes or until the edges are golden brown and the centers have puffed up, but are still slightly under done.
Allow to cool for a few minutes on the baking sheet before transferring to a wire cooling rack to cool completely before eating! Enjoy!",11,"1/2 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,1/3 cup granulated sugar,"1 large egg + 1 large egg yolk, at room temperature",2 teaspoons vanilla extract,1 1/2 cup all purpose flour + 3 tablespoons all purpose flour,1/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/soft-and-chewy-marble-cookies/,1/4 teaspoon baking powder,1/2 teaspoon salt,3 tablespoons cocoa powder,1 cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiramisu Cookies,Sofi | Broma Bakery,"Jul 23, 2024",4.3,6,Cookies,40 minutes,13 minutes,NA,1 hour and 10 minutes,NA,8,"First, make the cookies. Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, brown sugar and granulated sugar until light and fluffy, about 2 minutes.
Scrape down the sides of the bowl and add the egg and vanilla extract and beat until well combined.
Add the flour, espresso powder, baking soda, baking powder, and salt into the bowl and beat on low speed until just combined and no streaks of flour remain.
Use a 1.5 ounce cookie scoop to scoop out equal amounts of dough and place on the prepared baking sheet, spacing the dough 2 inches apart.
Bake until the cookies have puffed up and are set and firm around the edges but still slightly gooey in the middle, 13 to 14 minutes. Transfer the cookies to a cooling rack to cool completely.
Once the cookies have cooled, make the frosting. In a stand mixer fitted with the paddle attachment beat the heavy cream and powdered sugar together until combined, about 20 seconds. Add the mascarpone, vanilla extract and salt and beat only until combined, about 30 seconds. Transfer the frosting to a piping bag fitted with a round tip and pipe spirals of frosting onto each cooled cookie.
When ready to serve, dust with cocoa powder and devour! Store the cookies covered in the fridge for up to 5 days!",16,"1/2 cup unsalted butter, at room temperature","1/2 cup light brown sugar, packed",1/4 cup granulated sugar,"1 large egg, at room temperature",1 teaspoon vanilla extract,1 2/3 cup all purpose flour,1/4 cup espresso powder,Broma Bakery,https://bromabakery.com/tiramisu-cookies/,1/2 teaspoon baking soda,1/4 teaspoon baking powder,1/2 teaspoon salt,1/3 cup heavy cream,1 cup powdered sugar,8 ounces mascarpone,1 teaspoon vanilla extract,pinch of salt,"cocoa powder, for dusting",NA,NA,NA,NA,NA,NA,NA
Funfetti Crinkle Cookies,Sofi | Broma Bakery,"May 16, 2024",4.7,26,Cookies,30 minutes,12 minutes,NA,42 minutes,NA,7,"Preheat the oven to 350°F and line a cookie sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, combine the butter and granulated sugar. Beat on medium speed, gradually increasing to high until the butter is light and fluffy, and pale in color; about 2 minutes.
Use a rubber spatula to scrape the down the sides of the bowl. Add the eggs, vanilla extract and almond extract. Beat until smooth and completely combined.
Scrape down the bowl and add the flour, baking powder, and salt. Stir on low speed until combined and no streaks of flour remain. Do not over mix.
Last, use a silicone spatula to fold in the rainbow sprinkles until evenly distributed.
Fill one small bowl with granulated sugar and one bowl with powdered sugar. Use a 1.5 ounce cookie scoop to scoop cookies out. Roll the balls first in the granulated sugar and then in the powdered sugar to completely coat the cookie balls.
Place the cookies 2 inches apart on your cookie sheet. Bake for 10 to 12 minutes or until the edges are set and the centers have puffed up, but are still gooey. Remember, the cookies will continue to cook as they cool so you want them to be a little under baked when you take them out. Allow the cookies to cool completely.",11,"1/2 cup unsalted butter, at room temperature",1 cup granulated sugar,"2 large eggs, at room temperature",2 teaspoons vanilla extract,1/2 teaspoon almond extract,2 1/4 cups all purpose flour,1 1/4 teaspoons baking powder,Broma Bakery,https://bromabakery.com/funfetti-crinkle-cookies/,1/2 teaspoon salt,1/3 cup rainbow sprinkles,1/3 cup granulated sugar,1/3 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Strawberry Cookies,Sofi | Broma Bakery,"Mar 12, 2024",4.9,11,Cookies,20 minutes,12 minutes,NA,32mins,NA,9,"First, make the cookies. Preheat the oven to 350°F. Line two baking sheets with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, add the butter and brown sugar and beat on medium-high speed until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla.
Beat on medium-high speed until mixture is light and pale in color, about 2 minutes, scraping down the bowl as needed.
Add the flour, cocoa powder, baking soda, baking powder and salt and beat on low speed until just combined and no streaks of flour remain, about 30 seconds. Add the freeze dried strawberries and chocolate chips and fold to combine.
Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough (a large spoon also works; the ball should be about 3 tablespoons). Place on the prepared baking sheets, spacing the dough balls 2 inches apart. Bake until the cookies have puffed up and are set and firm around the edges but still somewhat gooey in the middle, 10 to 12 minutes.
Remove the baking sheets from the oven and allow the cookies to cool slightly, about 15 minutes.
Once the cookies have cooled, melt the chocolate for the chocolate coated bottom and drizzle. Place the chocolate chips and coconut oil in a small microwave-safe bowl. Microwave in 30 second increments, using a silicone spatula to stir between each, until the chocolate is fully melted.
Dip the bottom of each cookie in the chocolate, scraping off the excess before placing back on the cool parchment paper lined sheet. Repeat with all the cookies. If desired, use the remaining chocolate to drizzle over the tops of the cookies. Allow the cookies to sit for 30 minutes or until the chocolate is fully set before serving.",13,"1/2 cup (1 stick) unsalted butter, at room temperature",1 cup packed light brown sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 1/4 cups all-purpose flour,1/3 cup Dutch-processed cocoa powder,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/chocolate-covered-strawberry-cookies/,1/4 teaspoon baking powder,1/2 teaspoon salt,1 cup freeze dried strawberries,1 cup semisweet chocolate chips,1 cup semisweet chocolate chips,1 teaspoon coconut oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Chocolate Gingerbread Cookies,Sofi | Broma Bakery,"Jan 4, 2024",5,1,Cookies,20 minutes,10 minutes,NA,45 minutes,NA,8,"Preheat the oven to 350°F and line two cookie sheets with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, beat the butter and sugar together until light and fluffy, about 2 minutes.
Add the molasses and vanilla extract and mix until combined.
Add the egg. Beat well.
In a separate bowl, stir together the cocoa, flour, baking soda, baking powder, 2 teaspoons of the cinnamon, ginger, cloves, nutmeg and salt.
Add the dry ingredients to the wet and beat until combined and no streaks of flour remain.
Use a 1.5 ounce cookie scoop to scoop out rounded cookies. Roll the cookies in the cane sugar if desired and place two inches apart onto the prepared cookie sheets.
Bake for 12 minutes, or until the cookies have puffed up and crinkled and are set on the edge, but still gooey in the middle. Allow to cool completely before using a spatula to transfer to a wire rack. Enjoy!",15,3/4 cup Countryside Creamery Sweet Cream Unsalted Butter,3/4 cup Simple Nature Organic Brown Sugar,1/3 cup molasses,2 teaspoons pure vanilla extract,"1 large egg, room temperature",1/2 cup cocoa powder,2 2/3 cup all-purpose flour,Broma Bakery,https://bromabakery.com/chewy-chocolate-gingerbread-cookies/,1/2 teaspoon baking soda,1/4 teaspoon baking powder,2 teaspoons ground cinnamon,2 teaspoons ground ginger,1/2 teaspoon ground cloves,1/4 teaspoon ground nutmeg,1/2 teaspoon salt,"1/3 cup Simply Nature Organic Cane Sugar, for rolling the cookies",NA,NA,NA,NA,NA,NA,NA,NA
