title,author,date,rating,ratingnum,cuisine,course,categories1,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Strawberry Pop-Tart Cookies,Jessica & Nellie,"January 7, 2025",NA,NA,American,Cookies,Home_Cookies Kids Love,Keyword: Strawberry Pop-Tart Cookies,15 minutes,12 minutes,NA,NA,20 cookies,6,"Line a large baking sheet with parchment paper and preheat the oven to 350°. Add the butter and sugar to a large bowl and beat using a hand mixer until creamy (2-3 minutes). Add the vanilla and eggs and mix again for 2-3 minutes.
In a medium-sized bowl, mix the salt, cream of tartar, baking soda, and flour. Slowly add the dry mixture to the wet mixture, little by little, mixing with the beater in between.
Fold in 2/3 of the Pop-Tarts and reserve the rest for topping the cookies. Add the sprinkles as well, and mix once again until everything is well mixed together.
Use a cookie scoop to scoop 2 tablespoons of dough out and roll it into a ball, place down on the cookie sheet leaving at least 2 inches in between. If you don’t want the glaze on top of the cookies later, press the leftover Pop-Tart pieces gently into the top of the cookies.
Bake for 11-12 minutes. Let the cookies cool for a bit and then transfer to a cooling rack. While cooling make the glaze. Add the powdered sugar and heavy whipping cream to a mixing bowl and mix with a hand mixer until the glaze is smooth.
Once the cookies are completely cool, pick them up and dip the tops of the cookies into the glaze. Top with the leftover Poptart pieces and sprinkles. I made half of the cookies glazed and made half without!",13,1 cup butter softened to room temperature,1 ½ cups sugar,1 tsp vanilla extract,2 eggs,½ tsp salt,Family Cookie Recipes,https://familycookierecipes.com/strawberry-pop-tart-cookies/,½ tsp cream of tartar,½ tsp baking soda,3 cups of flour,5 frosted strawberry Pop-Tarts chopped into small pieces,¼ cup rainbow sprinkles,2 cups powdered sugar,8 tablespoons heavy whipping cream,2 tablespoons rainbow sprinkles for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Chocolate Bars,Jessica & Nellie,"January 6, 2025",NA,NA,American,"Cookie Bars, Dessert",Home_Cookie Bars,Keyword: Raspberry Chocolate Bars,20 minutes,18 minutes,NA,38 minutes,36 servings,8,"Crust: Start by getting the oven preheated to 375°F. Then, grease a 9"" square baking pan and set it aside.
In a medium size bowl, combine the flour and powdered sugar; then cut in the butter until the mixture is crumbly. Press the dough into the prepared pan and bake for 15-18 minutes or until browned.
Filling: When the crust is done baking and has cooled for a few minutes, spread the jam over the top of the warm crust.
Then in a small mixing bowl, beat the cream cheese and milk until smooth.
In a separate small bowl, melt the white chocolate chips in the microwave for 1 minute, stir. Continue to heat in 20 second intervals until the chocolate is completely melted and smooth. After that, gently whisk in the melted white chocolate to the cream cheese mixture and then spread it carefully over the layer of jam.
Chill: Place the cream cheese bars in the refrigerator for about 2 hours, or until set.
Glaze: For glaze, melt the chocolate chips and butter in a glass or ceramic bowl and microwave for 1 minute. If chips still aren't melted and smooth, add time in 20 second increments, letting sit and gently stir after each time. Go slowly; you don't want your chocolate to seize!
Drizzle the melted chocolate over the bars, then let them chill for another hour for the chocolate to set and cool. Cut into bars, serve, & enjoy!",9,1 cup flour,¼ cup powdered sugar,½ cup butter,½ cup seedless raspberry jam,4 oz cream cheese,Family Cookie Recipes,https://familycookierecipes.com/raspberry-chocolate-bars/,2 TBSP milk,1 cup white chocolate chips melted,¾ cups semi-sweet chocolate chips,1 TBSP butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-INGREDIENT MONSTER COOKIES,Jessica & Nellie,"December 31, 2024",NA,NA,American,Cookies,Home_Easy Cookie Recipes,Keyword: 5-Ingredient Monster Cookies,5 minutes,10 minutes,NA,NA,24 cookies,3,"Preheat oven to 375°. Spray a cookie sheet with non-stick cooking spray or line it with parchment paper or a silicone baking mat.
Place cookie dough in a large bowl and then mix in the peanut butter. Add chocolate chips, M&Ms, and oats and mix well.
Use a cookie scoop to drop tablespoon-sized balls of cookie dough on the prepared cookie sheet. Bake for 10-12 minutes or until the edges begin to turn a light golden brown. Cool for about 3-4 minutes on the baking sheet before transferring to a wire rack to cool completely.",5,18 ounce pkg refrigerated sugar cookie dough softened,⅓ cup creamy peanut butter,½ cup semi-sweet chocolate chips,½ cup M&Ms,½ cup old-fashioned oats,Family Cookie Recipes,https://familycookierecipes.com/5-ingredient-monster-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Chocolate Thumbprint Cookies,Jessica & Nellie,"December 30, 2024",NA,NA,American,"Christmas, Cookies, Cookies, Dessert",Home_Thumbprint Cookies,Keyword: Peppermint Chocolate Thumbprint Cookies,25 minutes,10 minutes,NA,35 minutes,30 cookies,8,"Prep: Preheat the oven to 375 degrees F and line two baking sheets with parchment paper, then set them aside.
Crush the peppermint candy canes in a ziplocked bag, using a rolling pin or meat tenderizer.
Dough: In a large mixing bowl, cream the butter and ½ cup sugar with an electric mixer. Beat in egg yolk. Add flour and mix until combined.
Add in ¼ cup crushed candy cane and mint extract. Mix until ingredients are incorporated.
Roll dough into 1-inch balls, then roll each ball in granulated sugar. Line up balls on cookie sheets 2-inches apart. Use a ½ teaspoon measuring spoon to create a crater in the center of each ball.
Bake: Place the cookies in the preheated oven and bake for 8-10 minutes. Let them cool on the baking sheet for a couple of minutes before transferring them to a rack to cool completely. Once cookies are baked, use the same ½ teaspoon to re-indent the craters in each cookie, as they often puff up a bit while baking.
Fudge filling: To make the chocolate fudge, combine cream, butter, and chocolate chips in a small saucepan. Stir over low heat until melted and smooth. Let cool slightly.
Spoon the chocolate fudge into each crater, filling them just above the rim of the cookie. Top with remaining crushed candy canes. Let cool to set. Serve and enjoy!",9,¾ cups butter,½ cup sugar + 3 TBSP for rolling,2 egg yolks,1 ¾ cups flour,⅓ cup crushed candy cane pieces divided,Family Cookie Recipes,https://familycookierecipes.com/peppermint-chocolate-thumbprint-cookies/,½ tsp mint extract,½ cup heavy whipping cream,6 oz semi sweet chocolate chips,1 TBSP butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pie Bars,Jessica & Nellie,"December 24, 2024",NA,NA,American,"Cookies, Dessert",Home_Cookie Bars,Keyword: Oatmeal Cream Pie Bars,15 minutes,12 minutes,NA,NA,20 servings,9,"Preheat the oven to 350°. Line two 9×13 baking dishes with parchment paper and spray with nonstick cooking spray.
In a large bowl add the 2 ½ sticks of butter, brown sugar, and sugar and beat with a hand mixer until light and creamy (about 2-3 minutes).
Add the eggs and vanilla and beat for 2-3 more minutes.
In another large bowl, mix the flour, cinnamon, salt, and baking soda. Add the dry ingredients to the wet mixture and mix just until combined. Add the quick oats and old-fashioned oats to the bowl and mix just until combined.
Scoop half the mixture into one of the lined 9×13 baking dishes and the rest into the other 9×13 and spray your hands with nonstick cooking spray. Flatten the dough with your hands, spreading evenly all the way to the corners of the baking dish.
Bake for 13 minutes or until golden brown.
Let the bars cool while you make the cream. Add the butter to a large bowl and beat using the hand mixer until light and creamy. Add the powdered sugar and beat again until well mixed. Add the marshmallow fluff and vanilla and beat again until smooth.
The bars must be completely cool before spreading the cream on top. Lift one of the bars out of the dish by lifting the parchment paper up and then placing the parchment paper lined bar on a tray or sheet pan. Spread the cream all over the top of the oatmeal bar. Lift the other bar out of the baking dish by the ends of the parchment paper. Carefully flip that bar on top of the cream and lightly press down.
Place in the freezer for 1 hour. Take out and slice into bars, serve, and enjoy!",15,1 ¼ cups butter softened to room temperature,¾ cup brown sugar,½ cup sugar,1 tsp vanilla extract,2 eggs,Family Cookie Recipes,https://familycookierecipes.com/oatmeal-cream-pie-bars/,1 ½ cups flour,1 tsp ground cinnamon,1 tsp salt,1 tsp baking soda,1 ½ cups quick oats,1 ½ cups old-fashioned oats,¾ cup butter softened to room temperature,2 cups powdered sugar,13 oz marshmallow fluff,1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marbled Christmas Cookies,Jessica & Nellie,"December 23, 2024",NA,NA,American,"Cookies, Dessert, frosted cookies",Home_Christmas Cookies,Keyword: Marbled Christmas Cookies,30 minutes,11 minutes,NA,41 minutes,30 Cookies,11,"Cookie dough: In a bowl of a stand mixer, fitted with a paddle attachment, beat the butter and sugar, at medium speed, until creamy. Add in the egg and vanilla extract, mix again to combine. 
Whisk the flour, salt, and baking powder together in a separate bowl.
Add the flour mixture to the wet ingredients little by little. Mix at low speed until well combined. Make sure you scrape the sides of the bowl so it is all mixed in.
Chill dough: Roll the dough onto a parchment sheet until the dough is 1/4” thick. Transfer to a pan and place the dough in the refrigerator for 30 minutes.
Bake: Preheat the oven to 350°F. Add some parchment paper onto your baking sheet and set aside.
Remove the sheet of dough from the fridge. Use cookie cutters to cut the cookie shapes and place them on a baking sheet.
Bake for 9-11 minutes, or until the edges are golden. Let them cool for at least an hour.
Marble Icing: Mix your powdered sugar, meringue powder, 3 tablespoons of water and vanilla with a standing mixer using a whisk attachment. Beat the icing ingredients together on high speed for about 2 minutes. Place a spoon or knife into the icing, and lift it up. It should drizzle down and smooth out in about 5 – 8 seconds. If it looks too thick, add a bit more water little by little because it could easily get too thin. If it's too thin, add a bit more powdered sugar. The icing should be about a flooding consistency (like honey, should be a little runny, but not watery.) 
Separate the frosting into three bowls and using a toothpick, add a drop of coloring onto it and swirl it on the white icing. If you are using two colors, repeat the same with another color in that bowl. You will notice the first color in this case, I used green, and as you swirl you will notice different shades across the icing. Continue by adding your second color onto the toothpick, in this case red, and do the same. Swirl it around the icing. ​​Keep in mind that the icing will harden quickly, so make sure to cover anything not being used right away.
Dip the whole top of the cookie in the royal icing mixture. Make sure all of the edges are covered. Lift the cookie carefully and let the extra icing drip off the cookie by holding it over the bowl. Place it on a cooling rack to set, but keep in mind some of the icing might drip a bit.
Continue to do it for the color you like in each of the bowls. In the other one, I only used blue coloring on the white icing, and the last one I only used red coloring. Repeat the process for the cookies, until you have finished marbling them all. Let the cookies sit until the frosting has set for about 2 hours. Then serve & enjoy!",12,¾ cup butter softened (180g),1 ½ cup powdered sugar 180g,1 egg,2 tsp vanilla extract,2 cups all-purpose flour 450g,Family Cookie Recipes,https://familycookierecipes.com/marbled-christmas-cookies/,¼ tsp baking powder,¼ tsp salt,2 ½ cups powdered sugar,1 ¼ TBSP meringue powder,3 – 4 TBSP lukewarm water,"Gel food coloring red, green, blue",½ tsp clear vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINT CHOCOLATE CHIP MERINGUE COOKIES,Jessica & Nellie,"December 18, 2024",NA,NA,American,Cookies,Home_Unique Cookies,Keyword: Mint Chocolate Chip Meringue Cookies,15 minutes,40 minutes,NA,NA,50 servings,7,"Preheat oven to 250°F. Line 2 baking sheets with parchment paper and set them aside.
In a large bowl, use an electric mixer to beat the egg whites, salt, cream of tartar, mint extract, and food coloring until soft peaks form.
Gradually add the sugar a tablespoon at a time, beating on high until stiff glossy peaks form and sugar is dissolved, about 6 minutes.
Very gently fold the chocolate chips into the mixture.
Drop by rounded teaspoonfuls 2 inches apart onto a baking sheet lined with parchment paper. Bake for 40-45 minutes or until firm to the touch.
Turn the oven off and leave the meringues in the oven for 90 minutes.
Transfer the meringues to wire racks and then store them in an airtight container.",7,4 egg whites,¼ tsp salt,1 tsp mint extract,¼ tsp cream of tartar,6-8 drops green food coloring,Family Cookie Recipes,https://familycookierecipes.com/mint-chocolate-chip-meringue-cookies/,1 cup sugar,⅔ cup mini semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Cheesecake Cookies,Jessica & Nellie,"December 16, 2024",5,2,American,"Cookies, Dessert, snack/dessert",Home_Cookies with Fruit,"Keyword: Jumbo Raspberry cheesecake Cookies, raspberry cheesecake cookies",15 minutes,14 minutes,NA,29 minutes,15 cookies,6,"Prep: Preheat the oven to 350 F degrees. Line two cookie sheets with parchment & set them aside.
Dough: In a large bowl combine the butter and cream cheese, mix well until smooth. Add in the sugar, eggs, and vanilla extract, stir to combine.
In a separate bowl combine the flour, salt and baking powder. Whisk the dry ingredients together.
Add the dry ingredients to the butter mixture a little at a time, mixing in between additions, until all is incorporated. Fold in 1 ½ cups white chocolate chips and 3/4 cup dried raspberries.
Use a large cookie scoop to make 3 TBSP sized balls of dough and arrange 6 on each prepared baking sheet. Top each cookie with some remaining white chocolate chips and dried raspberries. Place the cookies in the preheated oven and bake for 12-14 minutes.
Let the cookies cool on the sheet for 5 minutes, then transfer them to a cooling rack. Serve cookies slightly warm and enjoy!",10,"11 TBSP butter salted, softened (1 stick + 3 TBSP)",8 oz cream cheese,1 cup sugar,2 eggs,2 ¼ cup flour,Family Cookie Recipes,https://familycookierecipes.com/raspberry-cheesecake-cookies/,1 TBSP vanilla extract,½ tsp salt,1 tsp baking powder,2 cups white chocolate chips,1 cup dehydrated raspberries divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rudolph Cookie Butter Balls,Jessica & Nellie,"December 11, 2024",NA,NA,American,Cookie Balls,Home_Christmas Cookies,Keyword: Rudolph Cookie Butter Balls,10 minutes,NA,NA,NA,12 servings,9,"Line a baking sheet with parchment paper and set aside.
In a medium-sized mixing bowl, mix the crushed Nilla wafers and cookie butter using a fork until it reaches a crumb-like consistency. (The best way to crush Nilla wafers into very fine crumbs is in a food processor or blender.)
Fill a one-tablespoon cookie scoop with the mixture and add to the cookie sheet.
Pop the cookie sheet in the fridge for 20-30 minutes, allowing the dough to firm up. You can speed this up by placing the cookie balls in the freezer for 10-15 minutes.
Break both of the outside pieces of the pretzels off to form antlers and set aside.
Remove the dough and shape into balls by gently rolling each piece in your hands. Return to the baking sheet.
Place two mini chocolate chips for the eyes and a red mini M&M for the nose.
Gently add a piece of pretzel to each side for the antlers. Shape as needed.
Return to the fridge to chill for at least 30 minutes or until ready to serve.",5,½ cup cookie butter,1 ½ cups Nilla wafers finely crushed (about 30 Nilla wafers),12 mini pretzels,24 mini semi-sweet chocolate chips,12 red mini M&M’s,Family Cookie Recipes,https://familycookierecipes.com/rudolph-cookie-butter-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Bark Graham Crackers,Jessica & Nellie,"December 9, 2024",NA,NA,American,"Cookies, Dessert, No Bake Cookies",Home_Christmas Cookies,Keyword: Peppermint Bark Graham Crackers,30 minutes,NA,NA,30 minutes,36 squares,8,"Prep: Line two large baking sheets with parchment paper, then set them aside. Crush the peppermint candy in a ziplocked bag using a rolling pin or meat mallet. You want small pieces, not dust.
Chocolate prep: In a microwave safe bowl, melt the white chocolate for 1:30. Let the chocolate sit for 2-3 minutes, then gently stir. If the chocolate isn't fully melted, return it to the microwave and heat in 20 second intervals, letting it sit before stirring each time. Feel free to add ½ tsp of coconut oil, or shortening, to thin the chocolate out and make it easier to dip crackers.
First chocolate coat: Break each of the graham crackers in half to form a square piece. You can break the graham crackers into fourths for smaller pieces, if you prefer.
Place a graham cracker square in the melted white chocolate and press it into coat. Then turn it over using my favorite handy Wilton dipping tool or 2 forks. Lift the cracker out and tap the excess chocolate off. Place it on the prepared baking sheet and immediately sprinkle the crushed peppermint candy allover the top. Repeat with the rest of the crackers.
Place pan in the fridge, or any other cool spot, for about 10 minutes, until the chocolate is set.
Second coating: Repeat the process above for melting the milk or semi-sweet chocolate. Once melted, lift one of the white chocolate peppermint topped crackers. Take a spoonful of melted chocolate and place it on the space where the cracker sat on the parchment paper. Place the cracker on top and press it down gently so that the bottom of the cracker is coated. Repeat with remaining chocolate and crackers. Let them sit until the chocolate has set.
Alternately, you can dip the white chocolate peppermint crackers in a shallow bowl with the melted milk chocolate. Use a fork to remove it, tapping excess off and place it on parchment to cool and set.
Pull the crackers apart from the parchment paper, serve, and enjoy!",4,2 sleeves graham crackers,20 oz white melting chocolate,½ cup crushed peppermint candies,20 oz milk chocolate melting wafers,NA,Family Cookie Recipes,https://familycookierecipes.com/peppermint-bark-graham-crackers/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Snowball Cookies,Jessica & Nellie,"December 3, 2024",NA,NA,American,Cookies,Home_Christmas Cookies,Keyword: Christmas Snowball Cookies,15 minutes,10 minutes,NA,NA,24 cookies,9,"Preheat the oven to 375°. Line a baking sheet with parchment paper and set aside.
Add the butter, powdered sugar, and vanilla to a medium-sized mixing bowl and beat together for 2-3 minutes with a stand or hand mixer.
In a separate bowl, add the flour, salt, chocolate chips, and sprinkles and stir together.
Slowly add the flour mixture to the dough, mixing well with a rubber spatula or wooden spoon to combine.
Scoop the dough using a 1-inch cookie scoop into your hands and roll it between your palms, forming a ball before placing it onto the baking sheet.
Bake for 8-10 minutes or until just beginning to brown.
Remove from heat and allow to cool slightly for 5-7 minutes.
Add extra powdered sugar to a small bowl and gently roll the cookies until evenly covered.
Allow cookies to completely cool before serving.",8,1 cup unsalted butter softened,½ cup powdered sugar,1 tsp vanilla extract,2 cups all-purpose flour,½ tsp salt,Family Cookie Recipes,https://familycookierecipes.com/christmas-snowball-cookies/,½ cup semi-sweet mini chocolate chips,⅓ cup holiday sprinkles,extra powdered sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Crackle Cookies,Jessica & Nellie,"December 2, 2024",5,1,American,"Cookies, Cookies, Dessert",Home_Christmas Cookies_Gingerbread Cookies,Keyword: Molasses Crackle Cookies,15 minutes,12 minutes,NA,27 minutes,30 cookies,6,"Prep: Preheat oven to 350˚F. Line two baking sheets with parchment paper and set them aside.
Dough: In a large bowl cream the canola oil and 1 ¾ cups sugar using an electric mixer. Add in molasses and egg, mix until well incorporated.
In a separate bowl, whisk the flour, baking soda, ginger, cinnamon, and ground cloves. Add the dry ingredients to the wet molasses mixture and stir until combined.
In a separate small bowl add the remaining ½ cup of sugar. Use a large cookie scoop (3 TBSP) to form 2-inch balls and roll them in the sugar.
Bake: Arrange six cookies on each prepared baking sheet, at least 2 inches apart. Place the cookie sheets in the preheated oven and bake for 10 to 12 minutes, until golden brown.
Remove the cookies from the oven, let them cool for 5 minutes before transferring them to a cooling rack. Serve and enjoy!",9,1 cup canola oil,2 ¼ cups granulated sugar divided,⅓ cup molasses,1 egg,3 cups all-purpose flour,Family Cookie Recipes,https://familycookierecipes.com/disneys-molasses-crackle-cookies/,1 TBSP baking soda,1 TBSP ground ginger,2 tsp ground cinnamon,½ tsp ground cloves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Biscotti,Jessica & Nellie,"November 26, 2024",2,1,Italian,Cookies,Home_Christmas Cookies,Keyword: Peppermint Biscotti,20 minutes,45 minutes,NA,NA,36 cookies,6,"Preheat the oven to 350°. In a large bowl, cream butter and sugar for 2-3 minutes with an electric mixer. Add eggs and peppermint extract and beat for 2-3 more minutes.
In a separate bowl, mix the flour, baking powder, and salt. Stir in the crushed peppermint candy. Add to the creamed butter mixture and mix until combined. Dough will be stiff.
Divide the dough in half. Line a baking sheet with a silicone baking mat or parchment paper. Roll each half into a rectangle that is about 12 inches by 2 ½ inches. Bake the two large rectangles on the baking sheet for about 25-30 minutes or just until golden brown. Transfer to wire racks and cool for 15 minutes.
Transfer the partially cooled rectangles to a cutting board and cut diagonally with a sharp knife into 1/2-inch slices. Reduce the oven temp to 325° and bake for 12-15 minutes or until firm.
Transfer the slices to a wire rack to cool.
Place the chocolate chips and shortening in a microwave-safe bowl, and microwave for 30 seconds. Stir and then microwave for another 30 seconds. Stir until the mixture is smooth. Dip one end of each cookie in the chocolate and then roll in the crushed peppermint candy. Place on waxed paper until set. Store in an airtight container.",11,¾ cup butter softened,¾ cup sugar,3 eggs,2 tsp peppermint extract,3 ¼ cups all-purpose flour,Family Cookie Recipes,https://familycookierecipes.com/peppermint-biscotti/,1 tsp baking powder,¼ tsp salt,1 cup crushed peppermint candy or candy canes,2 cups semi-sweet chocolate chips,2 tbsp shortening,½ cup crushed peppermint candy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEPPERMINT WHITE CHOCOLATE CHIP COOKIES,Jessica & Nellie,"November 25, 2024",NA,NA,American,"Christmas, Cookies, Dessert",Home_Christmas Cookies,Keyword: PEPPERMINT WHITE CHOCOLATE CHIP COOKIES,20 minutes,12 minutes,NA,32 minutes,24 cookies,6,"Prep: Preheat the oven to 350 degrees F. Line a baking sheet with parchment paper or a silicon mat, set aside. Crush the peppermint candy into small pieces using a food processor or a zip locked bag and a rolling pin.
Cookie dough: In a small bowl, combine and mix the flour, baking soda, and salt, set aside. In a large bowl, combine the white sugar, brown sugar, melted butter, and eggs and stir until completely combined. Then add in the vanilla extract and mix again well.
Combine the dry flour mixture to the wet ingredients and stir to combine. Fold in the white chocolate chips and half of the crushed peppermint pieces.
Scoop: Using a cookie scoop, drop cookies onto the prepared cookie sheets. If you want large cookies, use a large 3 TBSP scoop. Use a medium, 1.5 TBSP cookie scoop, if you want smaller cookies. Proceed to top each cookie with the remaining peppermint pieces, pressing them into the dough only slightly.
Bake: Place the cookies in the preheated oven, for large cookies bake for 12-14minutes, for the smaller size cookies bake them for 9-11 minutes.
Let the cookies cool on the tray for about 5 minutes, then transfer them to a cooling rack to cool completely. Serve immediately and enjoy!",10,2 ½ cups flour,1 tsp baking soda,1 tsp salt,1 cup butter softened,¾ cup white sugar,Family Cookie Recipes,https://familycookierecipes.com/peppermint-white-chocolate-chip-cookies/,¾ cup brown sugar firmly packed,1 ½ tsp vanilla extract,2 eggs,2 cups white chocolate chips,½ cup crushed peppermint pieces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINI CHRISTMAS SANDWICH COOKIES,Jessica & Nellie,"November 20, 2024",5,1,American,Cookies,Home_Christmas Cookies,Keyword: Mini Christmas Sandwich Cookies,20 minutes,7 minutes,NA,NA,35 cookie sandwiches,5,"Add the butter, cream, and flour to a large mixing bowl and mix until well combined. Cover and refrigerate for 2 hours.
Divide the dough into thirds. Take each portion out of the refrigerator about 15 minutes before you roll it out, but leave the dough in the refrigerator until then.
Preheat the oven to 375°.
Roll each portion of dough to a 1/8-inch thickness. Cut with a 1 ½ inch round cookie cutter. Place the ½ cup sugar onto a plate and then place each cookie in the sugar, turning over to coat both sides. Place the cookies onto a baking sheet that has been lined with parchment paper or a silicone baking mat, leaving them about 2 inches apart. Lightly prick each cookie with a fork several times. Bake for 7-8 minutes (until set) and then transfer to wire racks to cool.
Once the cookies are cooled, make the filling. In a small bowl, cream the butter and powdered sugar together. Mix in the vanilla until well combined and then add the food coloring if desired. If you want to make some red and some green, divide the filling in half before adding the food coloring. Spread about a teaspoon of filling on half of the cookies and top with the remaining cookies to make little cookie sandwiches.",8,1 cup butter softened to room temp,⅓ cup heavy whipping cream,2 cups all-purpose flour,½ cup sugar,½ cup butter softened,Family Cookie Recipes,https://familycookierecipes.com/mini-christmas-sandwich-cookies/,1 ½ cups powdered sugar,2 tsp vanilla extract,food coloring red and green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Pumpkin Sandwich Cookies,Jessica & Nellie,"November 18, 2024",NA,NA,American,"Cookies, Dessert, Desserts, treat",Home_Sandwich Cookies,Keyword: Oatmeal Pumpkin Sandwich Cookies,20 minutes,10 minutes,NA,30 minutes,10 sandwich cookies,6,"Prep: Preheat the oven to 375°F. Spray a baking sheet with non-stick cooking spray, or line with parchment paper or a silicon mat. Set it aside.
Dough: In a large mixing bowl, using an electric mixer, cream the shortening and the brown and white sugars. Beat in the eggs, vanilla extract, and the pumpkin puree.
Add the spices, the cloves, nutmeg, ginger, cinnamon, and salt, stir to combine. Add in the baking powder, baking soda, and flour. Lastly, add in the quick oats and stir all ingredients until combined.
Bake: Drop the dough by the spoonful onto the prepared baking sheet and bake for 10 minutes. This should make about 20-24 cookies, to result in 10-12 complete sandwich cookies. Once baking is complete, let the cookies cool while you whip up the frosting center.
Buttercream frosting and assemble: In a medium size bowl, whisk the melted butter, milk, maple extract, and powder sugar. If needed, add more milk or sugar to get desired spreading consistency.
Spread a spoonful of frosting onto one cookie, then press another cookie onto the frosting to create the sandwich. Let cool and set for 10-15 minutes, then serve and enjoy!",19,1 cup shortening,1 cup brown sugar packed,1 cup white sugar,2 eggs,1 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/oatmeal-pumpkin-sandwich-cookies/,1 cup pumpkin puree,¼ tsp cloves*,¼ tsp nutmeg*,½ tsp ginger*,1 tsp cinnamon,½ tsp salt,½ tsp baking powder,2 tsp baking soda,2 ½ cups flour,1 ½ cups quick oatmeal,2 TBSP butter melted,1 ½ TBSP milk,2 tsp maple extract,2 cups powdered sugar,NA,NA,NA,NA,NA,NA
Christmas Chocolate Waffle Cookies,Jessica & Nellie,"November 12, 2024",NA,NA,American,Cookies,Home_Christmas Cookies,Keyword: Christmas Chocolate Waffle Cookies,20 minutes,NA,NA,NA,16 cookies,8,"In a large bowl, add the melted butter, sugar, brown sugar, eggs, and vanilla extract. Mix until the wet ingredients are fully combined.
Add the cocoa powder, flour, and salt to the same bowl and mix until the dough is smooth.
Let the dough rest for 15 minutes. This allows the ingredients to settle and will give the cookies a better texture when cooked.
While the dough is resting, preheat the electric waffle maker. Make sure it is fully preheated before adding the dough to prevent sticking and to achieve a crispy texture on the outside.
Once it is hot, place one tablespoon of the dough in the waffle maker to create small-sized cookies. Cook for 2 to 3 minutes, or until cooked fully in the center. If you like crispier cookies, cook a little longer. (Each waffle maker will be a little different so just make sure to keep a close eye on the first couple of cookies to make sure you know how long your waffle maker will take to get the cookie cooked the way you prefer.)
Remove the cookies from the waffle maker and place them on a cooling rack to cool and firm up a bit.
Place the chocolate chips in a microwaveable dish and microwave for 30 seconds. Stir and then microwave for another 15 seconds. Continue in 15-second intervals, stirring in between each interval until the chocolate is melted and smooth. Don’t overcook it!
Drizzle melted chocolate on top and then add some holiday sprinkles before the chocolate hardens.",10,½ cup butter melted,½ cup sugar,¼ cup brown sugar,2 eggs,1 teaspoon vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/christmas-chocolate-waffle-cookies/,⅓ cup cocoa powder,1 cup all-purpose flour,¼ teaspoon salt,½ cup semi-sweet or milk chocolate chips,holiday sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
