title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Italian Christmas Cookies,Alyssa Rivers,12/14/23,4,6,Desserts,10 minutes,10 minutes,NA,20 minutes,24 Cookies,8,"Preheat the oven to 375 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Add 1 cup unsalted butter and 2 cups granulated sugar to the bowl of a stand mixer fitted with the paddle attachment and beat on medium-high until light and fluffy, about 3 minutes.
Add 2 large eggs, 1 cup whole milk ricotta, 1 tablespoon vanilla extract, and ¼ teaspoon almond extract, and mix until fully incorporated.
In a medium bowl, whisk together 4 cups all-purpose flour, 2 teaspoons baking powder, ½ teaspoon baking soda, and ¼ teaspoon salt before slowly adding to the sugar mixture until all the flour is fully incorporated.
Scoop teaspoons of dough and roll them into uniform balls before placing them on the prepared baking sheets, leaving 2 inches between them.
Bake for 9-11 minutes before removing from the oven. Let the cookies cool on the pan for 2-3 minutes before transferring to a cooling rack to finish cooling.
In a small bowl, whisk 1 cup powdered sugar, 2-4 tablespoons milk, and ½ teaspoon almond extract together until smooth.
Dip the tops of the cookies in the glaze and immediately sprinkle with Christmas sprinkles. Set the cookies aside until the glaze has dried before serving.",14,▢ 1 cup unsalted butter softened,▢ 2 cups granulated sugar,▢ 2 large eggs,▢ 1 tablespoon vanilla extract,▢ ¼ teaspoon almond extract,▢ 1 cup whole milk ricotta drained for about an hour,▢ 4 cups all-purpose flour,▢ 2 teaspoons baking powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup powdered sugar,▢ 2-4 tablespoons milk,▢ ½ teaspoon almond extract,The Recipe Critic,https://therecipecritic.com/italian-christmas-cookies/,▢ Christmas sprinkles for topping,NA,NA,NA,NA,NA,NA,NA,NA
Spritz Cookies,Alyssa Rivers,Updated 10/14/24,5,1,Desserts,40 minutes,8 minutes,NA,48 minutes,6 dozen cookies,6,"Preheat the oven to 400 degrees Fahrenheit and place two baking sheets in the freezer.
In the bowl of a stand mixer, add 1 ½ cup unsalted butter, 1 cup granulated sugar, and ¾ teaspoon salt. Beat with the paddle attachment until light and fluffy, about 3-4 minutes. Scrape down the sides and bottom of the bowl as needed.
Add 2 large eggs, 1 ½ teaspoon vanilla extract, and ½ teaspoon almond extract and beat until well combined. You will likely need to scrape down the bowl two or three times to make sure everything is completely incorporated.
Add 4 cups all-purpose flourin 2-3 additions, scraping down the bowl as needed, until completely incorporated.
Assemble the cookie press with the desired disc. Fill the press with the dough. Place the press flat against one of the chilled baking sheets and press the cookie press for 1 click. Hold for 2-3 seconds before pulling away. If the cookie doesn’t stick to the baking sheet, you can use a small silicone spatula to carefully peel it away from the press and let it fall onto the baking sheet. They can be moved as needed, so long as you are very gentle with them to not ruin the shape.
If desired, sprinkle with sanding sugar or sprinkles. Bake for 7-8 minutes, rotating the pan halfway through. Let cool completely before serving.",7,▢ 1 ½ cup unsalted butter softened,▢ 1 cup granulated sugar,▢ ¾ teaspoon salt,▢ 2 large eggs room temperature,▢ 1 ½ teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 4 cups all-purpose flour,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Oatmeal Cookies,Alyssa Rivers,11/20/23,NA,NA,Desserts,20 minutes,10 minutes,NA,30 minutes,24 Cookies,8,"Add 2 cups old fashioned oats to a blender or food processor and pulse 5-6 times. Be careful not to over-blend the oats! You should have a mix of fine and larger pieces.
In a medium bowl, whisk together the pulsed oats, 2 ½ cups all purpose flour, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, 1 ½ teaspoon ground cinnamon, and ½ teaspoon ground nutmeg.
In a large bowl, beat 1 cup unsalted butter, ½ cup granulated sugar, and 1 cup dark brown sugar on medium-high speed until light and fluffy, about 4 minutes. Add 2 large eggs, 1 ½ tablespoon molasses, and 1 ½ teaspoon vanilla extract and mix until combined.
Add the dry ingredients to the wet and mix until just combined. Cover the bowl and chill in the refrigerator for an hour.
When the dough is nearly done chilling, preheat the oven to 350 degrees Fahrenheit and line two baking sheets with parchment paper.
Use a medium cookie scoop to scoop the dough onto the prepared baking sheets, leaving 2 inches between them. Bake for 10-12 minutes, until the edges are golden brown. Remove the cookies from the oven and let them cool on the pan for 3 minutes before transferring them to a cooling rack to finish cooling.
Once the cookies are completely cooled, make the glaze by whisking 2-3 tablespoons milk into 2 cups powdered sugar. It should be fairly thick so it doesn't run into the ridges and crevices of the cookie. This is what gives it that signature iced oatmeal cookie look. If the icing is too runny, add a little more powdered sugar. It should stick but not run.
Carefully dip the very tops of the cookies into the icing and shake off the excess. Don't dip the cookies too deep. Otherwise, they won't have the right look for a classic iced oatmeal cookie. Let the icing set for an hour or two before serving.",15,▢ 2 cups old fashioned oats,▢ 2 ½ cups all purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 ½ teaspoon ground cinnamon,▢ ½ teaspoon ground nutmeg,▢ 1 cup unsalted butter,▢ 1 cup dark brown sugar packed,▢ ½ cup granulated sugar,▢ 2 large eggs,▢ 1 ½ tablespoon molasses,▢ 1 ½ teaspoon vanilla extract,The Recipe Critic,https://therecipecritic.com/iced-oatmeal-cookies/,▢ 2-3 tablespoons milk more as needed,▢ 2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA
Levain Cookie,Alyssa Rivers,10/27/23,3.25,4,Recipe Skill Levels,25 minutes,12 minutes,NA,52 minutes,12 Cookies,8,"Add 1 ½ cup butter, 1 ½ cups dark brown sugar, and ¾ cup granulated sugar to the bowl of a stand mixer and beat with the paddle attachment on medium speed until combined.
Add 3 large eggs and 2 teaspoons vanilla extract and beat until just combined.
Add 1 ¼ cup cake flour, 1 ½ cup all-purpose flour, 2 teaspoons baking powder, 1 ½ teaspoon baking soda, and 1 teaspoon salt and mix until just barely combined.
Remove the bowl from the mixer and fold in 3 cups semi-sweet chocolate chips and 1 ½ cups walnut pieces by hand. Cover the bowl with plastic wrap and chill in the fridge for 30 minutes to an hour.
Preheat the oven to 400 degrees Fahrenheit.
Remove the dough from the fridge and weigh out twelve 6-ounce portions. Don't roll the dough together. Just make it into messy blobs of dough. Levain Bakery doesn't ""make baseballs"" of the dough and prefers it to be rough and textured.
Bake for 10-11 minutes, until the top and bottom of the cookie are beginning to turn golden brown. Remove from the oven and let the cookies cool on the pan for 12-15 minutes, allowing them to continue cooking.
Serve the same day they are baked. Enjoy!",12,▢ 1 ½ cup butter,▢ 1 ½ cups dark brown sugar packed,▢ ¾ cup granulated sugar,▢ 3 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 1 ¼ cup cake flour,▢ 1 ½ cup all-purpose flour,▢ 2 teaspoons baking powder,▢ 1 ½ teaspoon baking soda,▢ 1 teaspoon salt,▢ 3 cups semi-sweet chocolate chips,▢ 1 ½ cups walnut pieces,NA,The Recipe Critic,https://therecipecritic.com/copycat-levain-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Buttery Tea Cake Cookies,Alyssa Rivers,Updated 08/10/24,4.50,2,Desserts,20 minutes,10 minutes,NA,30 minutes,30 cakes,8,"In the bowl of a stand mixer, cream together 1 cup unsalted butter, and 1 ½ cup granulated sugar until light and fluffy, about 4 minutes.
Add 3 large eggs, one at a time, mixing until combined. Scrape down the sides and bottom of the bowl between each egg. Add 2 ½ teaspoons vanilla extract and 3 tablespoons buttermilk and mix until combined.
Whisk together 4 ½ cups all-purpose flour, ½ teaspoon baking powder, 1 teaspoon baking soda, ½ teaspoon salt, and ¼ heaping teaspoon ground nutmeg in a large bowl. Add the dry ingredients to the wet ingredients and mix until just combined. The dough will be very soft and a little sticky.
Separate the dough into 2-3 sections and wrap tightly in plastic wrap. Chill in the fridge for 1-2 hours.
Once the dough has chilled, preheat the oven to 375 degrees Fahrenheit and line two baking sheets with parchment paper. Prepare your workspace by lightly dusting a clean surface with flour.
Using one section of dough at a time, roll it out until it is 1/4 inch thick. Use a round cookie cutter or biscuit cutter to cut out as many cakes as you can before bringing the scraps together. Wrap the scraps in plastic wrap and place in the fridge.
Place the cakes on the prepared baking sheets, leaving 2 inches between them. Bake for 9-10 minutes, just until they lose the sheen on top. They should not be browned at all. Let the cakes cool on the baking sheet for 3-4 minutes before transferring to a cooling rack to finish cooling.
Repeat with the remaining dough, bringing the scraps all together and rolling out again. Serve the finished cakes with tea or coffee, and enjoy!",10,"▢ 1 cup unsalted butter, room temperature",▢ 1 ½ cup granulated sugar,"▢ 3 large eggs, room temperature",▢ 3 tablespoons buttermilk,▢ 2 ½ teaspoons vanilla extract,▢ 4 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ ¼ heaping teaspoon ground nutmeg,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/tea-cakes/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copycat Oatmeal Creme Pies,Alyssa Rivers,10/16/23,5,1,Desserts,25 minutes,15 minutes,NA,40 minutes,14 sandwiches,10,"Preheat the oven to 350 degrees Fahrenheit. Line two baking sheets with parchment paper and set aside.
Add 1 cup softened unsalted butter,¾ cup packed dark brown sugar, and ½ cup granulated sugar to a large bowl or stand mixer. Beat together with a hand mixer or the paddle attachment until light and fluffy, about 2-3 minutes.
Add 2 large eggs, 1 tablespoon molasses, and 1 tablespoon vanilla extract and mix until combined.
Whisk together 3 cups quick oats, 1 ¾ cups all-purpose flour, 1 teaspoon baking soda, 1 ½ teaspoon ground cinnamon, ¼ teaspoon ground cloves, and ½ teaspoon salt. Slowly add the dry ingredients to the wet and mix until just combined.
Use a cooking scoop to scoop the dough into 3 tablespoon-sized balls onto the prepared baking sheets, leaving 2 inches between them.
Bake for 11-13 minutes or until golden brown and the edges are just set.
Let the cookies cool on the baking sheet for 2-3 minutes before transferring to a wire rack to cool completely. While cookies are cooling, prepare the creme filling.
Add ¾ cup softened unsalted butter to a large bowl or stand mixer fitted with the paddle attachment. Use the stand mixer or hand mixer to cream the butter until light and fluffy, about 3-4 minutes.
Add 3 cups powdered sugar, 1 ½ teaspoons vanilla extract, and 1-2 tablespoons heavy cream or milk and mix slowly until combined. Once combined, beat on medium-high until the frosting is very fluffy and smooth.
To assemble, pipe or spread 1-2 tablespoons of the creme filling onto the bottom side of one cooled cookie, then top with another cookie to form a sandwich. Repeat until all the cookies have been made into sandwiches.",16,▢ 1 cup softened unsalted butter softened,▢ ¾ cup packed dark brown sugar,▢ ½ cup granulated sugar,▢ 2 large eggs,▢ 1 tablespoon molasses not blackstrap,▢ 1 tablespoon vanilla extract,▢ 3 cups quick oats,▢ 1 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 ½ teaspoon ground cinnamon,▢ ¼ teaspoon ground cloves,▢ ½ teaspoon salt,▢ ¾ cup softened unsalted butter,The Recipe Critic,https://therecipecritic.com/oatmeal-creme-pies/,▢ 3 cups powdered sugar,▢ 1 ½ teaspoons vanilla extract,▢ 1-2 tablespoons heavy cream or milk,NA,NA,NA,NA,NA,NA
Cornbread Cookies,Alyssa Rivers,10/12/23,5,3,Desserts,25 minutes,15 minutes,NA,40 minutes,18 cookies,11,"Preheat the oven to 350 degrees Fahrenheit and line two baking sheets with parchment paper.
In a large bowl or a stand mixer, beat the butter, shortening, ¼ cups of honey, brown sugar, and granulated sugar. Beat for 4-5 minutes on high speed until light and fluffy.
Add in the eggs and extracts and beat until combined. Scrape down the sides and bottom of the bowl periodically to make sure everything is evenly incorporated.
In another bowl, whisk together the flour, cornmeal, cornstarch, baking powder, and salt. Add the dry ingredients to the wet ingredients in 3 increments, mixing until just combined after each increment.
Using a large cookie scoop, measure about ⅓ cup of cookie dough onto the baking sheets. Place six dough balls evenly on each cookie sheet because they will spread quite a bit.
Bake for 13-15 minutes until the edges are just about set. The center of the cookies will look underbaked, but they will continue to bake as the cookies cool. If desired, use the flat bottom of a glass or measuring cup to gently flatten the domed tops of the cookies right after they come out of the oven.
Let the cookies cool on the baking sheet for 4-5 minutes before transferring to a cooling rack.
Heat the remaining ¼ cup of honey in the microwave for 15-20 seconds until melted. Use a pastry brush to brush a thin honey coating over the tops of the warm cookies.
Add the butter and honey to a large bowl and beat until fluffy.
Add the powdered sugar, vanilla, salt, and cream and beat until light and fluffy. If the frosting seems too thick, add additional cream one teaspoon at a time.
Once the cookies are cooled, add a scoop of the frosting right on top of each cookie. Drizzle with honey and serve!",19,"▢ ¾ cup unsalted butter, room temperature",▢ ¼ cup shortening,▢ ½ cup honey divided,▢ 1 cup light brown sugar packed,▢ ½ cup granulated sugar,"▢ 2 large eggs, room temperature",▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon butter extract,▢ 2 ½ cup al-purpose flour,▢ 1 cup cornmeal,▢ ¼ cup cornstarch,▢ 1 teaspoon baking powder,▢ 1 teaspoon salt,The Recipe Critic,https://therecipecritic.com/cornbread-cookies-crumbl-copycat/,"▢ ½ cup unsalted butter, room temperature",▢ ¼ cup honey,▢ 1 ½ cup powdered sugar,▢ ½ teaspoon vanilla extract,▢ 1 large pinch salt,▢ 1 tablespoon heavy cream,NA,NA,NA
Lace Cookies,Alyssa Rivers,09/21/23,NA,NA,Desserts,10 minutes,15 minutes,NA,25 minutes,28 cookies,7,"Preheat the oven to 350 degrees Fahrenheit and line 2 baking sheets with parchment paper. Set aside.
Add ½ cup unsalted butter to a small saucepan and heat over low until melted. Add ⅔ cup light brown sugar, 1 cup fine almond flour, 3 tablespoons flour, ¼ teaspoon salt, and 2 tablespoons honey. Cook for 3-4 minutes or until the sugar is completely dissolved.
Turn off the heat and stir in 1 teaspoon vanilla extract. Let the mixture sit for 5-6 minutes before scooping the dough onto the prepared baking sheets. Use 1 teaspoon of dough and leave 3 inches between them as they will spread quite a bit. I used a small silicone spatula to help scoop the dough out of the teaspoon. The longer the dough sits, the more it sets up. If you want to try and get more uniform-shaped cookies, you can roll the dough into balls as it cools before placing it on the baking sheet. It may be too hot initially to handle, though.
Bake for 7-8 minutes, until the edges are golden brown and bubbling.
Let the cookies cool completely on the baking sheet before transferring them to a cooling rack or an airtight container.
When you are ready to fill them, gently melt 1 cup chocolate chips in the microwave in 20-second intervals, stirring between, until smooth.
Add a small spoonful of melted chocolate to the center of the backside of one lace cookie and press a similarly shaped cookie on top to form the sandwich. Repeat until all the cookies are filled.",8,▢ ½ cup unsalted butter,▢ ⅔ cup light brown sugar packed,▢ 1 cup fine almond flour,▢ 3 tablespoons flour,▢ ¼ teaspoon salt,▢ 2 tablespoons honey,▢ 1 teaspoon vanilla extract,▢ 1 cup chocolate chips semi-sweet or milk,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/lace-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies,Alyssa Rivers,09/12/23,NA,NA,Fruit,25 minutes,12 minutes,NA,7 minutes,24 Cookies,8,"Add 1 cup apple cider to a small saucepan and bring to a boil over medium-high heat. Lower to medium-low and simmer until it reduces to ¼ cup. Remove from the heat and let cool.
Use a hand or stand mixer to beat 1 cup unsalted butter, 1 cup dark brown sugar, and ½ cup granulated sugar on high for 2-3 minutes or until light and fluffy. Add the reduced apple cider, 1 egg, 1 teaspoon vanilla extract, and ¼ cup unsweetened applesauce and mix until combined.
In a medium bowl, whisk together 3 cups flour, ¾ teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, 1 teaspoon cinnamon, ½ teaspoon nutmeg, and 1 teaspoon apple cider drink mix. Add the dry ingredients to the wet and mix just until fully incorporated. Cover and chill for at least 30 minutes or overnight.
After the dough has chilled, preheat the oven to 350 degrees Fahrenheit and line two baking sheets with parchment paper.
Remove the dough from the fridge and use a large cookie scoop to scoop onto the baking sheets, leaving 2 inches between them.
Bake for 10-12 minutes, rotating the pan halfway through. The edges should be just barely set and slightly golden brown. The center of the cookies will look very underdone, but they will continue to cook as they cool.
Let the cookies cool on the pan for 3-4 minutes before transferring to a cooling rack to finish cooling.
While the cookies cool, prepare the glaze by whisking 2/3 cup powdered sugar, 1 teaspoon apple cider drink mix, 1/4 teaspoon vanilla extract, and 1 tablespoon apple cider together until smooth. Drizzle over the top of the cooled cookies.",18,▢ 1 cup apple cider,▢ 1 cup unsalted butter,"▢ 1 cup dark brown sugar, packed",▢ ½ cup granulated sugar,▢ 1 egg,▢ 1 teaspoon vanilla extract,▢ ¼ cup unsweetened applesauce,▢ 3 cups flour,▢ ¾ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 teaspoon cinnamon,▢ ½ teaspoon nutmeg,The Recipe Critic,https://therecipecritic.com/apple-cider-cookies/,▢ 1 teaspoon apple cider drink mix,▢ 2/3 cup powdered sugar,▢ 1 teaspoon apple cider drink mix,▢ 1/4 teaspoon vanilla extract,▢ 1 tablespoon apple cider,NA,NA,NA,NA
Pumpkin Cheesecake Snickerdoodles,Alyssa Rivers,08/28/23,4.12,17,Desserts,30 minutes,12 minutes,NA,42 minutes,24 Cookies,8,"Whisk 3¾ cups all-purpose flour, 1½ teaspoons baking powder, ½ teaspoon salt, ½ teaspoon ground cinnamon, and ¼ teaspoon freshly ground nutmeg in a medium bowl. Set aside.
In a mixer with a paddle attachment, beat together 1 cup unsalted butter, 1 cup granulated sugar, and ½ cup light brown sugar on medium-high speed until fluffy, about 2-3 minutes.
Blend in ¾ cup pumpkin puree, beat in 1 large egg, and then add 2 teaspoons vanilla extract. Slowly add dry ingredients on low speed just until combined. Cover and chill the dough for an hour.
Blend 8 ounces cream cheese,1/4 cup granulated sugar, and 2 teaspoons vanilla extract together to make the cream cheese filling. Chill for one hour.
Preheat oven to 350 degrees Fahrenheit and line your baking sheets with parchment paper. In a small bowl, combine ½ cup granulated sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground gingerand a dash allspice for the coating and set aside.
To make the cookies, take a tablespoon of the cookie dough. Flatten it like a pancake and place a teaspoon of the cream cheese in the center. Form another tablespoon of the cookie batter into a flat pancake shape and place it on top of the cream cheese. Pinch the edges together, sealing in the cream cheese, and roll into a ball. Roll in the cinnamon sugar coating and place on the prepared baking sheet 2 inches apart.
Repeat until the dough is gone, and flatten the cookie dough balls with a heavy bottomed glass or measuring cup.
Bake the cookies for 10-15 minutes or until the tops start to crack. Let the cookies cool on the baking sheet for 5 minutes and transfer to a wire rack. Enjoy!",18,▢ 3¾ cups all-purpose flour,▢ 1½ teaspoons baking powder,▢ ½ teaspoon salt,▢ ½ teaspoon ground cinnamon,▢ ¼ teaspoon freshly ground nutmeg,"▢ 1 cup unsalted butter, at room temperature",▢ 1 cup granulated sugar,▢ ½ cup light brown sugar,▢ ¾ cup pumpkin puree,▢ 1 large egg,▢ 2 teaspoons vanilla extract,"▢ 8 ounces cream cheese, softened",▢ 1/4 cup granulated sugar,The Recipe Critic,https://therecipecritic.com/pumpkin-cheesecake-snickerdoodles/,▢ 2 teaspoons vanilla extract,▢ ½ cup granulated sugar,▢ 1 teaspoon ground cinnamon,▢ ½ teaspoon ground ginger,▢ dash allspice,NA,NA,NA,NA
Lofthouse Sugar Cookies,Alyssa Rivers,07/31/23,NA,NA,Desserts,25 minutes,10 minutes,NA,35 minutes,36 cookies,8,"Preheat oven to 350 degrees Fahrenheit.
In a large bowl or stand mixer, combine sour cream, sugar, butter, eggs, vanilla and almond extracts,. Mix well until incorporated.
In a medium bowl, combine flour, cornstarch, baking powder, baking soda, and salt. Slowly add the dry ingredients to the wet ingredients and mix until combined.
You can either roll out the dough 1/2 inch thick on a lightly floured surface and cut cookies in circular shapes, or you can scoop out the dough with a cookie scoop, roll the dough in a ball in your hand and lightly flatten it into a circular shape. Place on a parchment-lined cookie sheet and bake for 10-12 minutes. They will be very lightly browned around the edges.
Transfer to a cooling rack and cool completely before frosting.
Add the butter to a mixer and cream for about 2 minutes.
Slowly add in powdered sugar and beat until smooth.
Add vanilla and milk and continue to beat until smooth. Add food coloring if desired.",17,▢ 1/2 cup sour cream,▢ 1 cup sugar,"▢ 1/2 cup unsalted butter, softened",▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 1/4 teaspoon almond extract,▢ 3 cup all purpose flour,▢ 1 tablespoon cornstarch,▢ 1 1/2 teaspoon baking powder,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 4 cup powdered sugar,▢ 2 teaspoons vanilla extract,The Recipe Critic,https://therecipecritic.com/lofthouse-style-sugar-cookies/,"▢ 2 tablespoons whole milk, more as needed","▢ 1/2 cup unsalted butter, softened",▢ food coloring to color frosting (optional),▢ sprinkles to decorate (optional),NA,NA,NA,NA,NA
Pistachio Cookies,Alyssa Rivers,Updated 10/16/24,5,1,Desserts,20 minutes,11 minutes,NA,31 minutes,18 cookies,7,"Preheat the oven to 350 degrees fahrenheit and line two baking sheets with parchment paper. Set aside.
Add the pistachios to a food processor or blender and pulse until they are finely ground.
Add the butter and sugar to a large bowl. Use a stand mixer or hand mixer to beat them until light and fluffy, about 3-4 minutes. Add the eggs, extracts, and ground pistachios and mix until combined.
Sift together the flour, cornstarch, baking powder, baking soda, and salt into the wet ingredients. Mix until just combined.
Use a spatula to mix the chopped pistachios and chocolate chips into the dough by hand.
Use a medium cookie scoop (about 2-2 ½ tablespoons) to scoop the dough onto the prepared baking sheets.
Bake for 10-11 minutes, until the edges are just starting to brown. Let the cookies cool on the cookie sheet for 3 minutes before transferring to a cooling rack to finish cooling.",13,▢ 1 cup shelled raw pistachios,▢ ½ cup unsalted butter softened,▢ ½ cup granulated sugar,▢ 1 large egg room temperature,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon almond extract,▢ 1 cup all purpose flour,▢ 2 teaspoons cornstarch,▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup salted pistachios roughly chopped,▢ ⅔ cup chocolate chips,The Recipe Critic,https://therecipecritic.com/pistachio-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Chocolate Chip Cookies,Alyssa Rivers,Updated 09/03/23,4.68,25,Desserts,5 minutes,8 minutes,NA,13 minutes,24 Cookies,6,"Preheat the oven to 350°F. Line a baking sheet with parchment paper.
In a medium bowl, and using a mixer on medium, cream together the butter, brown sugar, and granulated sugar.
Add the eggs and vanilla extract, and beat until fluffy.
Add the all-purpose flour, baking soda, baking powder, and salt, and mix until combined. Add the chocolate chips, and mix well.
Using a 1-inch cookie scoop, drop the dough onto the prepared baking sheet. Bake for 7 or 8 minutes per batch.
Transfer the cookies to a wire rack to cool.",10,▢ 1 cup unsalted butter softened,▢ 3/4 cup brown sugar,▢ 1 cup sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla,▢ 3 1/2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon baking powder,▢ 1 teaspoon salt,▢ 2 cups milk chocolate chips,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/the-best-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Icebox Cookies,Alyssa Rivers,07/06/23,5,1,Desserts,15 minutes,12 minutes,NA,27 minutes,18 cookies,7,"Add the butter and sugar to a large bowl and use a hand mixer or stand mixer to beat them together until they are light and fluffy, about 3-4 minutes. Add the eggs, vanilla extract, and almond extract and mix until just combined.
Add the flour, baking powder, and salt to a small bowl and whisk together. Add the dry ingredients to the wet ingredients and mix until just combined.
Turn out the dough onto a large sheet of plastic wrap and use your hands to form a log shape, about 1 1/2 -2 inches thick, and roll the log in the sprinkles (I find it easiest to pour them into a 9×13 baking dish with tall sides to prevent them from spilling all over) until the outside of the cookie dough is completely coated in sprinkles. You may need to use your hands to press the sprinkles gently into the dough a bit. Wrap the dough log tightly in the plastic wrap. Chill for at least 4 hours.
Once the dough has finished chilling, preheat the oven to 350 degrees fahrenheit. Line two baking sheets with parchment paper.
Remove the chilled dough from the fridge and use a very sharp knife to slice the log into ¼ inch thick rounds.
Lay the cookies out on the prepared baking sheets, leaving 2 inches between them. Bake for 10-12 minutes, until the tops are barely starting to turn golden brown.
Let the cookies cool completely before serving.",9,▢ 1 cup unsalted butter softened,▢ 1 cup granulated sugar,▢ 2 large eggs room temperature,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 3 cups flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ nonpareil sprinkles,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/icebox-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter and Jelly Cookies,Alyssa Rivers,06/29/23,NA,NA,Desserts,10 minutes,8 minutes,NA,18 minutes,18 Cookies,6,"Preheat the oven to 350 degrees fahrenheit. Line two baking sheets with parchment paper and set aside.
In a stand mixer, or using a hand mixer, cream together the peanut butter, granulated sugar, brown sugar, and butter. Add in the eggs and vanilla and mix until combined.
Add the baking soda, baking powder, salt, and flour and mix until just incorporated.
Use a medium cookie scoop (about 3 tablespoons) to scoop balls of dough. Place them on one of the baking sheets leaving 2 inches between them and use the back of a tablespoon to press an indent in the center of them. Fill the indent with a scant teaspoon of jam.
Bake for 12-14 minutes, until the edges are just barely starting to brown. Remove from the oven and let the cookies cool on the pan completely before transferring to a cooling rack.
Once the cookies have cooled, if you would like to you may melt some peanut butter in the microwave and drizzle it across the cookies.",11,▢ 1 cup cream peanut butter additional for drizzle if desired,▢ 1 cup granulated sugar,▢ 1 cup brown sugar packed,▢ 1 cup unsalted butter softened,▢ 2 large eggs room temperature,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 2 ½ cups all-purpose flour,▢ 1 cup strawberry jam,NA,NA,The Recipe Critic,https://therecipecritic.com/peanut-butter-and-jelly-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
