title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,additionaltime,cooltime,chilltime,baketime,standtime,servings,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,additionaltime...47,preptime...48,source,link
Punch Bowl Cookies,chef_tigger,Sugar Cookie Recipes,5,1,20 mins,10 mins,30 mins,NA,NA,NA,NA,NA,28 ,1 dozen cookies,7,½ pound butter,½ cup white sugar,2 cups all-purpose flour,2  egg yolks,1 teaspoon salt,1 teaspoon vanilla extract,"14  candied cherries, halved, or more as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/230358/punch-bowl-cookies/
Walnut-Shaped Cookies with Dulce de Leche,Knopka,Sandwich Cookie Recipes,5,1,20 mins,15 mins,1 hr 10 mins,35 mins,NA,NA,NA,NA,12 ,1 dozen,7,"½ cup butter, softened",⅓ cup white sugar,"1  egg, lightly beaten",½ teaspoon vanilla extract,1 cup all-purpose flour,¼ teaspoon salt,1 (13.4 ounce) can dulce de leche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/269266/walnut-shaped-cookies-with-dulce-de-leche/
Beer Nut Cookies,Kevin Ryan,Drop Cookie Recipes,5,1,NA,NA,NA,NA,NA,NA,NA,NA,27 ,55 cookies,9,1 cup shortening,½ cup white sugar,1 cup packed dark brown sugar,2 teaspoons vanilla extract,2  eggs,2 cups all-purpose flour,½ teaspoon baking soda,¼ teaspoon salt,1 ½ cups beer nut mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10878/beer-nut-cookies/
Quinoa and Oatmeal Cookies,punkim30,Peach Dessert Recipes,5,1,20 mins,15 mins,40 mins,5 mins,NA,NA,NA,NA,40 ,40 cookies,14,1 ½ cups cooked quinoa,1 ½ cups pureed peaches,1 cup shredded coconut,¾ cup almond butter,½ cup dark brown sugar,¼ cup pureed cooked spinach,1 ½ teaspoons vanilla extract,2 cups rolled oats,1 cup all-purpose flour,½ cup dry milk powder,1 teaspoon ground cinnamon,1 teaspoon baking soda,1 teaspoon baking powder,¾ teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/280747/quinoa-and-oatmeal-cookies/
Lavender-Earl Grey Tea Cookies,originalpoppyseed,Lemon Dessert Recipes,5,1,20 mins,10 mins,40 mins,10 mins,NA,NA,NA,NA,18 ,18 cookies,15,1  Earl Grey tea bag,⅓ cup hot milk,¾ cup white sugar,½ cup softened butter,1 large egg,1 ¾ cups all-purpose flour,1 teaspoon baking powder,¼ teaspoon baking soda,2 teaspoons dried lavender,",",1 tablespoon lemon juice,1 tablespoon water,¼ cup white sugar,1 tablespoon dried lavender,1 teaspoon lemon zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/274033/lavender-earl-grey-tea-cookies/
Mom's Christmas Fruitcake Cookies,MartieHomemade,Fruit Cookie Recipes,5,1,40 mins,10 mins,8 hrs 50 mins,8 hrs,NA,NA,NA,NA,72 ,6 dozen cookies,14,1 pound dates,2 tablespoons dark rum,2 pounds red and green candied cherries,1 pound candied pineapple,"6 cups pecans, roughly chopped","4 cups all-purpose flour, divided",3 teaspoons baking soda,3 tablespoons milk,¼ cup shortening (such as Crisco®),1 cup white sugar,"4 large eggs, at room temperature",1 tablespoon orange juice,1 teaspoon ground nutmeg,1 pinch kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/286015/moms-christmas-fruitcake-cookies/
Peppermint Candy Cane Kiss Cookies,HannahB607,Drop Cookie Recipes,5,1,10 mins,10 mins,35 mins,15 mins,NA,NA,NA,NA,48 ,4 dozen cookies,9,1 cup softened butter,1 cup white sugar,"2  eggs, beaten",2 tablespoons vanilla extract,1 tablespoon peppermint extract,4 ½ cups all-purpose flour,½ teaspoon baking soda,¼ teaspoon salt,48  white chocolate kisses with candy cane stripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/274755/peppermint-candy-cane-kiss-cookies/
Apricot Crescent Cookies,SER,NA,5,1,30 mins,15 mins,3 hrs 55 mins,3 hrs 10 mins,NA,NA,NA,NA,60 ,60 cookies,8,"1 cup unsalted butter, softened","1 (8 ounce) package cream cheese, softened",1 tablespoon sour cream,2 cups all-purpose flour,½ cup powdered sugar,¼ teaspoon salt,½ cup apricot preserves,"2 tablespoons powdered sugar, or to taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/281339/apricot-crescent-cookies/
Chocolate Chip Breakfast Cookies,Dianne,NA,5,1,15 mins,12 mins,30 mins,3 mins,NA,NA,NA,NA,20 ,20 large cookies,13,4 cups quick-cooking oats,1 cup all-purpose flour,1 cup whole wheat flour,2 teaspoons baking powder,1 teaspoon salt,1 teaspoon baking soda,¾ cup white sugar,¾ cup brown sugar,"¼ cup butter, room temperature",2  large eggs,½ cup applesauce,2 teaspoons vanilla extract,2 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/262504/chocolate-chip-breakfast-cookies/
Chocolate Chip Cookies VII,Fran,Drop Cookie Recipes,4.3,16,15 mins,10 mins,30 mins,5 mins,NA,NA,NA,NA,60 ,5 dozen,10,1 ¼ cups shortening,¾ cup margarine,1 cup white sugar,2 cups brown sugar,2 teaspoons vanilla extract,4  eggs,4 ½ cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,4 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/25027/chocolate-chip-cookies-vii/
Powdered Sugar Cookies III,Jodeen Brown,Sugar Cookie Recipes,4.3,32,NA,NA,NA,NA,NA,NA,NA,NA,36 ,2 to 3 - dozen,8,1 cup butter flavored shortening,1  egg,1 cup confectioners' sugar,1 teaspoon vanilla extract,1 teaspoon cream of tartar,½ teaspoon salt,1 teaspoon baking soda,2 cups all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10973/powdered-sugar-cookies-iii/
Easy Nutella Cookies,Mai Kitchen,Chocolate Cookie Recipes,4.6,7,20 mins,10 mins,30 mins,NA,NA,NA,NA,NA,24 ,24 cookies,9,"½ cup butter, at room temperature",½ cup white sugar,1 large egg,1 teaspoon vanilla extract,1 cup chocolate-hazelnut spread (such as Nutella),1 cup all-purpose flour,¼ cup unsweetened cocoa powder,1 cup milk chocolate chips,½ cup chopped hazelnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/273912/nutella-cookies/
Cooper's Kolacky Cookies,Della Benavides,NA,4.2,26,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,7,2 cups butter,8 ounces cream cheese,3 cups all-purpose flour,1 teaspoon baking powder,3 tablespoons white sugar,2 cups any flavor fruit jam,1 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11645/coopers-kolacky-cookies/
Ambrosia Cookies,Jo Nebel,Drop Cookie Recipes,4.7,27,NA,NA,NA,NA,NA,NA,NA,NA,36 ,6 1/2 dozen,12,2 cups sifted all-purpose flour,1 teaspoon baking powder,½ teaspoon baking soda,½ teaspoon salt,"1 cup butter, softened",1 cup packed brown sugar,1 cup white sugar,2  eggs,1 teaspoon vanilla extract,1 ½ cups rolled oats,1 cup chopped walnuts,1 cup flaked coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10295/ambrosia-cookies/
Chai Butter Cookies,deaf258,Sugar Cookie Recipes,3.9,31,15 mins,12 mins,27 mins,NA,NA,NA,NA,NA,36 ,3 dozen cookies,8,1 cup unsalted butter,1 cup chai tea mix,1 ⅓ cups white sugar,2  eggs,3 ½ cups all-purpose flour,1 tablespoon baking powder,2 teaspoons salt,½ cup white sugar for decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/76061/chai-butter-cookies/
No-Bake Peanut Butter Oatmeal Cookies,Becky Moore,No-Bake Cookie Recipes,4.2,19,10 mins,10 mins,40 mins,20 mins,NA,NA,NA,NA,24 ,NA,6,2 cups white sugar,½ cup milk,½ cup butter,⅔ cup creamy peanut butter,1 teaspoon vanilla extract,3 cups quick-cooking oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/241715/no-bake-peanut-butter-oatmeal-cookies/
Fudge Stripe Cookies,Nicole Hopper,Butter Cookie Recipes,4.2,5,45 mins,NA,2 hrs 47 mins,NA,NA,1 hr 50 mins,12 mins,NA,36 ,36 cookies,7,"1 cup unsalted butter, softened",¾ cup granulated sugar,1 large egg,1 ½ teaspoons vanilla extract,½ teaspoon kosher salt,2 ½ cups all-purpose flour,1 (12 ounce) bag semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/8496394/fudge-stripe-cookies/
Chewy Gooey Cookies,Gretchen Mapel,Peanut Butter Cookie Recipes,4.2,13,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,12,¾ cup peanut butter,½ cup butter flavored shortening,1 ¼ cups packed brown sugar,1  egg,3 tablespoons milk,1 tablespoon almond extract,1 cup all-purpose flour,¾ cup rye flour,¾ teaspoon baking soda,¾ teaspoon salt,1 cup semisweet chocolate chips,½ cup miniature marshmallows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/15312/chewy-gooey-cookies/
Maamoul (Lebanese Date Cookies),LauraF,Lebanese,4.5,6,45 mins,30 mins,9 hrs 35 mins,8 hrs 20 mins,NA,NA,NA,NA,48 ,4 dozen cookies,11,2 cups semolina flour,1 cup all-purpose flour,½ teaspoon ground mahlab,½ teaspoon salt,"1 cup clarified butter, at room temperature",5 tablespoons milk,2 tablespoons white sugar,1 teaspoon active dry yeast,"4 tablespoons orange blossom water, or more as needed","10 tablespoons date paste (such as Ziyad), cut into small pieces","2 tablespoons powdered sugar, or to taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/278238/maamoul-lebanese-date-cookies/
OMG Good Pumpkin Oatmeal Cookies,Lori Winchester,Pumpkin Cookie Recipes,4.5,4,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,36 ,36 servings,13,"1 cup butter, room temperature",1 cup white sugar,1 cup packed brown sugar,2  eggs,1 teaspoon vanilla extract,",",2 cups all-purpose flour,1 ½ teaspoons pumpkin pie spice,1 teaspoon baking soda,1 teaspoon salt,3 cups quick-cooking oats,"½ cup chocolate chips, or to taste (Optional)","½ cup raisins, or to taste (Optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/239715/omg-good-pumpkin-oatmeal-cookies/
Refrigerator Cookies,Stephanie,Refrigerator Cookie Recipes,4.4,35,20 mins,10 mins,3 hrs 30 mins,3 hrs,NA,NA,NA,NA,42 ,7 dozen,8,3 cups all-purpose flour,1 teaspoon salt,½ teaspoon baking soda,1 cup shortening,1 cup white sugar,2 large eggs,1 ½ teaspoons vanilla extract,⅓ cup colored sugar for decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10833/refrigerator-cookies-iii/
Chocolate Salted Caramel Cookies,cheftini,Filled Cookie Recipes,5,3,25 mins,8 mins,58 mins,25 mins,NA,NA,NA,NA,48 ,48 cookies,12,"1 cup butter, softened",1 cup white sugar,1 cup packed light brown sugar,2  eggs,2 teaspoons vanilla extract,2 ¼ cups all-purpose flour,¾ cup unsweetened cocoa powder,1 teaspoon baking soda,⅛ teaspoon salt,48  chocolate-covered caramel candies (such as Hershey's® Kisses®),2 tablespoons white sugar,1 tablespoon coarse salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/260890/chocolate-salted-caramel-cookies/
Anise Waffle Cookies,Shannon E,Swiss,4.5,8,15 mins,30 mins,1 hr 30 mins,45 mins,NA,NA,NA,NA,36 ,3 dozen cookies,9,"3 cups all-purpose flour, or as needed",1 tablespoon anise seed,½ teaspoon salt,½ cup shortening,½ cup white sugar,2 tablespoons white sugar,3 small eggs,1 drop anise oil,"½ cup confectioners' sugar, or as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/216329/anise-waffle-cookies/
Jelly Bean Cookies,Karen Eickhoff Brutger,Drop Cookie Recipes,4.5,8,10 mins,10 mins,20 mins,NA,NA,NA,NA,NA,36 ,3 dozen cookies,11,½ cup butter,⅓ cup white sugar,⅓ cup brown sugar,1 large egg,½ teaspoon salt,½ teaspoon baking soda,½ teaspoon baking powder,½ teaspoon vanilla extract,1 ¼ cups all-purpose flour,½ cup rolled oats,"1 cup jelly beans, halved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/271008/jelly-bean-cookies/
Cornmeal Sugar Cookies,Bev Austin,Refrigerator Cookie Recipes,4.6,7,NA,NA,NA,NA,NA,NA,NA,NA,15 ,30 cookies,11,"1 cup butter, softened",1 cup white sugar,2  egg yolks,1 teaspoon vanilla extract,1 teaspoon orange extract,1 teaspoon orange zest,1 ½ cups all-purpose flour,1 cup cornmeal,½ teaspoon salt,⅓ cup granulated sugar for decoration,¼ teaspoon ground nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11518/cornmeal-sugar-cookies/
French Peppermint Cookies with Chocolate Ganache,Lillie,French,4.5,2,30 mins,1 hr 30 mins,2 hrs 30 mins,30 mins,NA,NA,NA,NA,24 ,2 dozen cookies,9,3  egg whites at room temperature,¼ cup white sugar,¼ teaspoon cream of tartar,"1 dash peppermint extract, or to taste","2 cups confectioners' sugar, or as needed",1 (6 ounce) package semisweet chocolate chips,"¾ cup heavy whipping cream, or as needed","1 teaspoon white sugar, or to taste","1  peppermint candy cane, finely crushed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/230291/french-peppermint-cookies-with-chocolate-ganache/
Sesame Cookies,krissykaka,NA,4.5,2,20 mins,10 mins,40 mins,10 mins,NA,NA,NA,NA,34 ,34 cookies,12,½ cup unsalted butter,½ cup tahini,½ cup brown sugar,½ cup white sugar,1 large egg,1 teaspoon almond extract,1 ¼ cups all-purpose flour,½ teaspoon baking powder,½ teaspoon baking soda,¼ teaspoon salt,"¼ cup sesame seeds, or as needed","2 tablespoons honey, or as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/272955/sesame-cookies/
Chokladbiskvier (Swedish Chocolate Meringue Cookies),sonjagroset,Scandinavian,4.5,2,30 mins,10 mins,1 hr 35 mins,55 mins,NA,NA,NA,NA,30 ,30 cookies,13,3 large egg whites,1 cup white sugar,"1 cup blanched slivered almonds, finely ground",¾ cup bread crumbs,",",1 ½ cups confectioners' sugar,¼ cup unsweetened cocoa powder,"1 cup unsalted butter, room temperature",2 teaspoons vanilla extract,"1 pinch salt, or to taste",",",5 ounces semisweet chocolate chunks,"6 tablespoons unsalted butter, more as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/258793/chokladbiskvier-swedish-chocolate-meringue-cookies/
Chocolate Lace Sandwich Cookies,flutewoman3,Sandwich Cookie Recipes,4.5,2,20 mins,10 mins,40 mins,10 mins,NA,NA,NA,NA,36 ,36 sandwich cookies,9,"1 cup butter, melted",1 cup white sugar,1 cup light brown sugar,2  eggs,1 teaspoon vanilla extract,2 ½ cups quick-cooking oats,1 cup ground pecans,1 teaspoon baking powder,1 (13 ounce) jar chocolate-hazelnut spread (such as Nutella®),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/273915/chocolate-lace-sandwich-cookies/
Giant Oatmeal Chocolate Cookies,leslie,Oatmeal Cookie Recipes,4.4,9,15 mins,15 mins,35 mins,5 mins,NA,NA,NA,NA,20 ,NA,10,1 ½ cups brown sugar,"1 cup butter, softened",2 large eggs,1 teaspoon vanilla extract,2 ⅓ cups quick-cooking oats,1 ½ cups all-purpose flour,2 teaspoons baking soda,1 teaspoon salt,1 (11-ounce) package semisweet chocolate chips,1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/239202/giant-oatmeal-chocolate-cookies/
Chocolate-Cran-Oat Cookies,Diana Stephens,Cranberry,4.1,37,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,32 ,32 cookies,11,1 cup butter,1 cup packed brown sugar,2  eggs,2 cups rolled oats,2 cups all-purpose flour,1 cup whole wheat flour,1 teaspoon baking soda,½ teaspoon salt,1 ½ cups dried cranberries,½ cup white chocolate chips,½ cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/17321/chocolate-cran-oat-cookies/
Karen's Magic Cake Mix Cookies,Gail Cobile,Cake Mix Cookie Recipes,4.8,6,15 mins,8 mins,23 mins,NA,NA,NA,NA,NA,24 ,24 cookies,7,1 (18.25 ounce) box devil's food cake mix,1 (6 ounce) package white chocolate chips,1 (6 ounce) package toffee chips,2  eggs,⅓ cup vegetable oil,¼ cup brown sugar,"¼ cup confectioners' sugar, or as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/257978/karens-magic-cake-mix-cookies/
Peanut Butter Hemp Cookies,Heather Hedstrom,Peanut Butter Cookie Recipes,4.7,3,20 mins,9 mins,29 mins,NA,NA,NA,NA,NA,36 ,3 dozen,12,2 ½ cups all-purpose flour,½ cup raisins,¼ cup hemp seed hearts,1 teaspoon baking powder,½ teaspoon baking soda,¾ cup brown sugar,¾ cup white sugar,"½ cup butter, softened",½ cup applesauce,1 cup natural peanut butter,2  eggs,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/244852/peanut-butter-hemp-cookies/
Passover Chocolate Chip Cookies,SANDI,Drop Cookie Recipes,4.9,8,15 mins,30 mins,45 mins,NA,NA,NA,NA,NA,60 ,5 dozen,8,1 cup matzo cake meal,½ cup potato starch,¼ teaspoon salt,1 ¼ cups white sugar,"½ cup margarine, softened",3 large eggs,1 (12 ounce) bag chocolate chips,¾ cup toasted chopped walnuts (Optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/217024/passover-chocolate-chip-cookies/
Super Strawberry-Banana Cookies,Karla Gonzalez,Strawberry Dessert Recipes,4.2,9,NA,NA,NA,NA,NA,NA,NA,NA,12 ,2 dozen,5,1 (18.25 ounce) package strawberry cake mix,2  eggs,⅓ cup vegetable oil,⅓ cup confectioners' sugar for decoration,1  banana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10778/super-strawberry-banana-cookies/
Wednesday Cookies,LuAnn Wagner,Drop Cookie Recipes,4.2,32,NA,NA,NA,NA,NA,NA,NA,NA,60 ,4 to 5 dozen,15,½ cup butter,1 ½ cups white sugar,2  eggs,1 cup sour cream,1 teaspoon vanilla extract,2 ¾ cups all-purpose flour,½ teaspoon baking powder,½ teaspoon salt,½ teaspoon baking soda,1 cup shortening,¼ cup milk,2  egg whites,¼ cup all-purpose flour,2 teaspoons vanilla extract,1 pound confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/15045/wednesday-cookies/
Orange Date Pinwheel Cookies,Donna,Refrigerator Cookie Recipes,4.9,14,30 mins,15 mins,45 mins,NA,NA,NA,NA,NA,48 ,4 dozen,17,1 ½ cups chopped pitted dates,¼ cup white sugar,1 pinch salt,¾ cup orange juice,¾ cup water,1 teaspoon orange zest,⅔ cup chopped pecans,3 ½ cups all-purpose flour,1 ½ teaspoons baking powder,¼ teaspoon baking soda,¾ teaspoon salt,"¾ cup butter, softened",½ cup white sugar,1 cup brown sugar,2  eggs,1 ½ teaspoons vanilla extract,2 teaspoons orange zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/19276/orange-date-pinwheel-cookies/
Austrian Peach Cookies II,Barbara,Austrian,4.1,7,1 hr,20 mins,1 hr 20 mins,NA,NA,NA,NA,NA,6 ,4 dozen,15,¾ cup unsalted butter,1 cup white sugar,2  eggs,1 teaspoon vanilla extract,3 ¾ cups all-purpose flour,1 teaspoon baking powder,½ cup milk,¼ cup semisweet chocolate chips,⅔ cup apricot jam,⅓ cup ground pecans,2 teaspoons rum,¼ cup water,1 cup white sugar,2 drops red food coloring,4 drops yellow food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/20137/austrian-peach-cookies-ii/
Peanut Butter Cup Cookies III,Heather,Peanut Butter Cookie Recipes,4.2,16,15 mins,12 mins,30 mins,3 mins,NA,NA,NA,NA,24 ,2 dozen,10,1 ¾ cups all-purpose flour,1 teaspoon baking soda,½ cup white sugar,½ cup packed brown sugar,½ cup shortening,½ cup peanut butter,1  egg,2 tablespoons milk,1 teaspoon vanilla extract,24  miniature peanut butter cups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/18146/peanut-butter-cup-cookies-iii/
Sour Cream Chocolate Chip Cookies,Anne Marie,Drop Cookie Recipes,4.2,36,NA,NA,NA,NA,NA,NA,NA,NA,24 ,2 dozen,10,1 ½ cups raisins,1 ½ cups chopped walnuts,2 cups all-purpose flour,1 teaspoon vanilla extract,1 teaspoon baking soda,"½ cup butter, softened",1 cup white sugar,2  eggs,½ cup sour cream,1 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9676/sour-cream-chocolate-chip-cookies/
Date-Filled Cookies,Gordon,Date Cookies,4,23,20 mins,30 mins,1 hr 5 mins,15 mins,NA,NA,NA,NA,24 ,2 dozen,10,"1 cup dates, pitted and chopped",½ cup white sugar,½ cup water,"½ cup butter, softened",½ cup packed brown sugar,1 ½ cups all-purpose flour,½ teaspoon salt,¼ teaspoon baking soda,1 ¼ cups rolled oats,"2 tablespoons water, or more as needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9690/date-filled-cookies/
Cereal Cookies,danasue1122,Cookies,5,2,15 mins,20 mins,35 mins,NA,NA,NA,NA,NA,60 ,60 cookies,11,"1 cup cornflakes, lightly crushed",1 cup crispy rice cereal,1 cup rolled oats,4 cups all-purpose flour,1 tablespoon baking soda,"1 cup unsalted butter, softened",1 cup canola oil,1 cup white sugar,1 cup brown sugar,1 large egg,2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/285210/cereal-cookies/
