title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,source,link,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Torcetti Biscuits Recipe,Emily Leary,5, 1 ,"Bread, Cookies",Italian,Prep Time30 minutes mins,Cook Time15 minutes mins,Proving time1 hour hr,Total Time45 minutes mins,24 torcetti,14,"Place the flour, caster sugar, yeast and salt in a bowl. Mix together.
Add the water and melted butter. Stir to a raggedy dough.
Turn out onto a lightly floured surface and knead for 8 minutes until the dough is smooth and elastic. Place in a clean, lightly oiled bowl.
Cover with a tea towel and leave in a warm place to prove for 1 hour until doubled in size.
Preheat the oven to 200C/390F (180C/350F fan). Line two baking sheets with parchment paper.
Turn the dough out onto a clean surface, knead briefly to knock out any large air bubbles, then divide into four pieces. Work one piece at a time, covering the other pieces with a tea towel or cling film (saran wrap) so that they don't dry out.
Roll the dough out a little more to give a long thin rope of dough about 30cm (12 inches) long. The dough will be elastic because of the developed gluten, so you may have to cover, rest and then continue rolling if you find it is retracting.
Cut the rope of dough into 6. Roll them again so that they're each about 7.5cm (3 inches) long.
Put the demerara sugar on a plate and place the lengths of dough on the plate, one after the other, gently rolling to lightly coat in sugar. The dough should be naturally tacky enough to pick up the sugar, but if think the lengths have dried out, you can brush them very sparingly with water before rolling in the sugar.
Loop each length of dough to give a teardrop shape with a little cross-over at the point. Place each cookie on a baking sheet lined with baking paper as you work.
Repeat with the next piece of dough and so on until you have 24 cookies in all.
Place both trays in the oven and bake for 15 minutes until golden and crisp.
Transfer to a wire rack to cool completely and then serve and enjoy.
Transfer any leftover torcetti to a container promptly so that they don't go stale.",14,190 g (1⅓ cup) strong white bread flour,40 g (¼ cup) white caster sugar (superfine sugar),½ tsp fast-action dried yeast,½ tsp salt,100 ml (⅓ cup + 1 tbsp) warm water,45 g (3 tbsp) salted butter melted,100 g (½ cup) demerara sugar (turbinado sugar) or any large-grain sugar,190 g (1⅓ cup) strong white bread flour,40 g (¼ cup) white caster sugar (superfine sugar),½ tsp fast-action dried yeast,½ tsp salt,100 ml (⅓ cup + 1 tbsp) warm water,45 g (3 tbsp) salted butter melted,100 g (½ cup) demerara sugar (turbinado sugar) or any large-grain sugar,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/torcetti-biscuits-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How To Make Banana Cookies,Emily Leary,5, 3 ,Snack,American,Prep Time10 minutes mins,Cook Time10 minutes mins,NA,Total Time20 minutes mins,20 cookies,10,"Preheat the oven to 180C/350F (160C/320F fan-assisted).
In a large bowl, beat together the butter and sugar until fluffy.
Beat in the egg and mashed banana until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the dark chocolate chunks, keeping a large handful (about 50g) back to go on top later.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 20 equally sized cookies. If you find the dough sticky, try using wet hands to shape the dough.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Bake for 8-10 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, scatter the remaining chocolate chunks on top.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",14,130 g (9 tbsp) salted butter softened,160 g (¾ cup + 2 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,2 small bananas peeled and mashed,300 g (2 cups) plain white flour (all purpose flour),1 tsp baking powder,350 g (1¾ cups) dark chocolate chunks,130 g (9 tbsp) salted butter softened,160 g (¾ cup + 2 tbsp) white caster sugar (superfine sugar),1 medium free range eggs,2 small bananas peeled and mashed,300 g (2 cups) plain white flour (all purpose flour),1 tsp baking powder,350 g (1¾ cups) dark chocolate chunks,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/how-to-make-banana-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matcha Cookie Recipe,Emily Leary,5, 2 ,Snack,American,Prep Time21 minutes mins,Cook Time14 minutes mins,NA,Total Time35 minutes mins,16 cookies,11,"Preheat the oven to 180C-350F (160C/320F fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Sieve in the flour, baking powder and matcha. Mix to give a sticky, light dough.
Fold in all but a small handful of the dark chocolate chunks.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 16 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Press down each cookie dough ball lightly with the palm of your hand and add a few chocolate chunks to the top of each one.
Bake for 12-14 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",18,130 g (1 stick + 4 tsp) salted butter softened,1 tbsp golden syrup,160 g (⅔+¼ cup) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium free range eggs,235 g (1½ cups + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,2 tbsp matcha powder,250 g (9 oz) dark chocolate chunks,130 g (1 stick + 4 tsp) salted butter softened,1 tbsp golden syrup,160 g (⅔+¼ cup) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium free range eggs,235 g (1½ cups + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,2 tbsp matcha powder,250 g (9 oz) dark chocolate chunks,A Mummy Too,https://www.amummytoo.co.uk/matcha-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini M&M Cookies Recipe,Emily Leary,5, 1 ,"Dessert, Snack",American,Prep Time15 minutes mins,Cook Time10 minutes mins,NA,Total Time25 minutes mins,16 cookies,10,"Preheat the oven to 180C/350F (160C/320F fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the white chocolate chunks and all but a handful of the M&Ms.
Use a tablespoon to scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 16 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Pop a 3 extra M&Ms on top of each cookie.
Bake for 8-10 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",18,65 g (½ stick) salted butter softened,1 tsp (tsp) golden syrup,80 g (8 tbsp) white caster sugar (superfine sugar),½ tsp vanilla extract,1 egg yolk,120 g (¾ cup + 3 tbsp) plain white flour (all purpose flour),½ tsp baking powder,150 g (¾ cup) white chocolate chunks,100 g (¾ cup) M&Ms,65 g (½ stick) salted butter softened,1 tsp (tsp) golden syrup,80 g (8 tbsp) white caster sugar (superfine sugar),½ tsp vanilla extract,1 egg yolk,120 g (¾ cup + 3 tbsp) plain white flour (all purpose flour),½ tsp baking powder,150 g (¾ cup) white chocolate chunks,100 g (¾ cup) M&Ms,A Mummy Too,https://www.amummytoo.co.uk/mini-mm-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Biscotti Recipe,Emily Leary,5, 1 ,Snacks,Italian,Prep Time20 minutes mins,Cook Time45 minutes mins,NA,Total Time1 hour hr 5 minutes mins,40 biscotti,17,"Preheat the oven to 200C/390F (180C/350F fan).
Line a baking sheet with parchment paper.
Sift the flour, salt and baking powder into a large bowl.
Add the chocolate chips and stir through.
In a second bowl, crack in the eggs and sugar and whisk for several minutes until very thick and pale. If you lift the whisk and drip ribbons across the top, they should take several seconds to sink back into the mixture.
Spoon about half of the egg mixture into the bowl with the flour, add the vanilla and fold through.
Repeat with half of the remaining egg mixture and mix again.
Add the remaining mixture until you have a soft but not sticky dough - it’s fine if you have some egg mixture left over.
Gather the dough up and divide into four.
Take each piece of dough, place on a lightly floured surface and roll out into a sausage about 3 cm (1¼ inches) wide.
Place the four sausages on the baking sheet, well spaced and use the flat of your hand to flatten slightly.
Bake in the oven for 25-30 minutes, until just slightly golden.
Remove from the oven, and turn it down to 160C/320F (140C/280F fan).
Place the tray on a wire rack and allow the biscotti to cool for a few minutes until safe enough to handle and firm up enough to slice.
Place the biscotti on a board and use a serrated knife to cut each sausage into 1cm (½ inch) slices.
Place the slices on an oven-safe wire rack and return to the oven for 15-20 minutes approx until golden and dried out.
Transfer to a wire rack to cool completely.",8,310 g (2 cups + 3tbsp) plain white flour (all purpose flour),Pinch salt,1½ tbsp baking powder,200 g (1 cup) milk chocolate chips,1 tsp vanilla extract,3 medium free range eggs lightly beaten,225 g (1¼ cups) white caster sugar (superfine sugar),100 g (3.5 oz) dark chocolate (bittersweet) melted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/chocolate-chip-biscotti-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Walnut Cookie Recipe,Emily Leary,5, 1 ,"Dessert, Snack",American,Prep Time15 minutes mins,Cook Time10 minutes mins,NA,Total Time25 minutes mins,20 cookies,10,"Preheat the oven to 180C / 350F (160C / 320F fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the milk chocolate chips and walnuts.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 20 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Bake for 8-10 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",18,130 g (1 stick + 4 tsp) salted butter softened,1 tbsp golden syrup,160 g (⅔ cup + 4 tbsp) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium free range egg,235 g (1½ cups + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,300 g (10.5 oz) milk chocolate chips,200 g (¾ cup) walnut halves roughly chopped,130 g (1 stick + 4 tsp) salted butter softened,1 tbsp golden syrup,160 g (⅔ cup + 4 tbsp) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium free range egg,235 g (1½ cups + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,300 g (10.5 oz) milk chocolate chips,200 g (¾ cup) walnut halves roughly chopped,A Mummy Too,https://www.amummytoo.co.uk/chocolate-chip-walnut-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Cookie Recipe,Emily Leary,5, 9 ,"Cookies, Dessert, Snacks",American,Prep Time15 minutes mins,Cook Time12 minutes mins,NA,Total Time27 minutes mins,12 cookies,8,"Preheat the oven to 180C/350F (160C/320F fan-assisted).
In a large bowl, beat together the butter, Biscoff spread, golden syrup, vanilla and sugar until fluffy.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 12 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Bake for 12-14 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",14,130 g (1 stick + 4 tsp) salted butter softened,150 g (⅔ cup) Lotus biscoff spread smooth,1 tbsp golden syrup,1 tsp vanilla extract,160 g (1 cup) soft dark brown sugar,235 g (1⅔ cup) plain white flour (all purpose flour),1 tsp baking powder,130 g (1 stick + 4 tsp) salted butter softened,150 g (⅔ cup) Lotus biscoff spread smooth,1 tbsp golden syrup,1 tsp vanilla extract,160 g (1 cup) soft dark brown sugar,235 g (1⅔ cup) plain white flour (all purpose flour),1 tsp baking powder,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/biscoff-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Chocolate Chip Cookies Recipe,Emily Leary,5, 1 ,"Cookies, Dessert, Snack",American,Prep Time20 minutes mins,Cook Time14 minutes mins,NA,Total Time34 minutes mins,16 cookies,13,"Preheat the oven to 180C/350F (160C/320F fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in all but a handful of the dark chocolate chips.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then drop onto a sheet of greaseproof paper. This is the best way to get 16 equally sized cookies.
Take a ball of dough and flatten it in your hand.
Place a soft caramel in the centre of the cookie, then bring the cookie dough around it.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Bake for 12-14 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Top each cookie with a few more chocolate chips and a sprinkle of sea salt flakes.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",20,130 g (9 tbsp) salted butter softened,1 tbsp golden syrup,160 g (¾ cup + 2 tbsp) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium (medium) free range egg,235 g (1⅔ cup) plain white flour (all purpose flour),1 tsp baking powder,300 g (10.5 oz) dark chocolate chips (bittersweet),135 g (5 oz) Werther's Original Soft Caramels,1 tbsp sea salt flakes,130 g (9 tbsp) salted butter softened,1 tbsp golden syrup,160 g (¾ cup + 2 tbsp) white caster sugar (superfine sugar),1 tsp vanilla extract,1 medium (medium) free range egg,235 g (1⅔ cup) plain white flour (all purpose flour),1 tsp baking powder,300 g (10.5 oz) dark chocolate chips (bittersweet),A Mummy Too,https://www.amummytoo.co.uk/salted-caramel-chocolate-chip-cookies-recipe/,135 g (5 oz) Werther's Original Soft Caramels,1 tbsp sea salt flakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Bunny Cookies Recipe,Emily Leary,5, 2 ,Snack,"American, British",Prep Time30 minutes mins,Cook Time8 minutes mins,NA,Total Time38 minutes mins,30 cookies,17,"Preheat the oven to 200C (180C fan assisted, 400F).
Put the butter, sugar, eggs and vanilla in a mixing bowl. Whisk until fluffy and pale.
Sift in the flour, baking powder and bicarbonate of soda. Stir until fully combined and clumpy
Gather up the pieces and knead together only as much as it takes to get a smooth ball of dough.
Wrap and place in the fridge to rest and chill for 15 minutes.
Clean your surface and dust with flour. Retrieve your chilled cookie dough and roll it out to approximately 7-8mm thick (approx ⅓ inch).
Cut as many cookies as you can with the bunny-shaped cookie cutter Aim to cut them close together to reduce the need to overwork the dough by gathering and re-rolling too many times. You should get 30 cookies. 
Place the cookies on lined baking sheets as you cut them out. They don't need to be spaced more than a centimetre of two (half inch) apart as they only spread a little bit.
Bake the cookies for 8 minutes or until pale golden.
Transfer the cookies to a wire cooling rack to cool completely.
Sieve the icing sugar into a bowl.
Add the lemon juice and whisk together.
You are looking for a thick icing that barely runs. If need be, add milk, drop by drop until you have the desired consistency.
Tip the pastel sprinkles onto a small plate.
Dip a cookie face down into the icing so it covers almost to the edges.
Keeping the still wet cookie upside down, dip into the sprinkles.
Turn right side up and return to the wire cooling rack to set.",22,"110 g salted butter softened, cubed",100 g white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g plain white flour (all purpose flour),¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,250 g icing sugar (powdered sugar),1 tbsp lemon juice,1 tbsp milk,200 g small pastel sprinkles,"110 g salted butter softened, cubed",100 g white caster sugar (superfine sugar),1 medium free range eggs,½ tsp vanilla extract,250 g plain white flour (all purpose flour),¼ tsp bicarbonate of soda (baking soda),¼ tsp baking powder,A Mummy Too,https://www.amummytoo.co.uk/easter-bunny-cookies-recipe/,250 g icing sugar (powdered sugar),1 tbsp lemon juice,1 tbsp milk,200 g small pastel sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cookies,Emily Leary,4.5, 2 ,Cookies,American,Prep Time30 minutes mins,Cook Time14 minutes mins,NA,Total Time44 minutes mins,28 cookies,12,"Preheat the oven to 180C (160C fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg, lemon zest and lemon juice.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Use a small ice cream scoop or rounded tablespoon to scoop up the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get equally sized cookies. You should get about 28, or fewer if you use a larger scoop.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Bake for 12-14 minutes until ever so slightly golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.
Put the icing sugar and lemon juice in a bowl. Whisk until you have a thick, lump free icing. 
Drizzle back and forth over the cookies.
Scatter the grated lemon zest over the top and allow to set.",16,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 lemon zest and 1 tbsp juice,1 medium (1) free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),150 g (5.3 oz) icing sugar (powdered sugar),1 lemon zest and 2 tbsp juice,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar),1 lemon zest and 1 tbsp juice,1 medium (1) free range eggs,235 g (8.3 oz) plain white flour (all purpose flour),150 g (5.3 oz) icing sugar (powdered sugar),1 lemon zest and 2 tbsp juice,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/lemon-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red, White and Blue Cookies",Emily Leary,5, 1 ,Cookies,American,Prep Time20 minutes mins,Cook Time10 minutes mins,NA,Total Time30 minutes mins,16 cookies,11,"Preheat the oven to 180C (160C fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the white chocolate chips and all but a handful of the M&Ms.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 16 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Pop a 3-4 extra M&Ms on top of each cookie.
Bake for 8-10 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",18,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar) superfine sugar,1 tsp vanilla extract,1 medium free range egg,235 g (8.3 oz) plain white flour (all purpose flour) all purpose flour,1 tsp baking powder,300 g (10.6 oz) white chocolate chips,200 g (7.1 oz) red and blue M&Ms or other shelled chocolate,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar) superfine sugar,1 tsp vanilla extract,1 medium free range egg,235 g (8.3 oz) plain white flour (all purpose flour) all purpose flour,1 tsp baking powder,300 g (10.6 oz) white chocolate chips,200 g (7.1 oz) red and blue M&Ms or other shelled chocolate,A Mummy Too,https://www.amummytoo.co.uk/red-white-and-blue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Pumpkin Cookies,Emily Leary,5, 1 ,"Cookies, halloween",American,Prep Time30 minutes mins,Cook Time6 minutes mins,NA,Total Time36 minutes mins,30 cookies,16,"Preheat the oven to 200C (180C fan assisted, 400F).
Put the butter, sugar, eggs and vanilla in a mixing bowl. Whisk until fluffy and pale.
Sift in the flour, baking powder, salt and bicarbonate of soda. Stir until fully combined and clumpy
Gather up the pieces and knead together only as much as it takes to get a smooth ball of dough.
Wrap and place in the fridge to rest and chill for 15 minutes.
Roll the sugar paste out to about 2-3mm (1/8 inch) thick. I like to work in batches so that I've got counter space.
Cut out 30 shapes using your pumpkin-shaped cookie cutter.
Place the sugar paste shapes to one side on a board lightly dusted with cornflour so that they stay flat.
Clean your surface and dust with flour. Retrieve your chilled cookie dough and roll it out to approximately 1/2 cm (approx 1/4 inch) thick. Again, I find it it easiest to roll a 1/4-1/3 of the dough at a time so that I'm not working with too much at once.
Cut as many cookies as you can with the same pumpkin-shaped cookie cutter you used for the sugar paste. Again, aim to cut them close together to reduce the need to overwork the dough by gathering and re-rolling too many times. You should get 30 cookies in total.
Place the cookies on a lined baking sheets as you cut them out. They don't need to be spaced more than a centimetre or two (half inch) apart as they only spread a little bit.
Bake the cookies for 6 minutes or until pale golden at the edges.
In a small container, mix the icing sugar with a teaspoon of water until dissolved to make a 'glue'.
Brush the warm cookies very sparingly with the 'glue', then place a sugar paste pumpkin on top. Repeat until all the cookies are iced.
Transfer the cookies to a cooling rack to cool and crisp up.
Use your icing pen to add details to the pumpkin cookies. You could simply add pumpkin detail, turn them into jack-o-lanterns, or go freestyle!",24,110 g (3.9 oz) salted butter cubed,100 g (3.5 oz) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp (0.5 tsp) vanilla extract,250 g (8.8 oz) plain white flour (all purpose flour),¼ tsp (0.3 tsp) bicarbonate of soda (baking soda),¼ tsp (0.3 tsp) baking powder,¼ tsp (0.3 tsp) salt,1 tsp cornflour (cornstarch) for dusting,"500 g (1.1 lb) orange sugar paste vegetarian, if required",2 tbsp icing sugar (powdered sugar),black writing icing,110 g (3.9 oz) salted butter cubed,100 g (3.5 oz) white caster sugar (superfine sugar),1 medium free range eggs,½ tsp (0.5 tsp) vanilla extract,250 g (8.8 oz) plain white flour (all purpose flour),¼ tsp (0.3 tsp) bicarbonate of soda (baking soda),A Mummy Too,https://www.amummytoo.co.uk/halloween-pumpkin-cookies/,¼ tsp (0.3 tsp) baking powder,¼ tsp (0.3 tsp) salt,1 tsp cornflour (cornstarch) for dusting,"500 g (1.1 lb) orange sugar paste vegetarian, if required",2 tbsp icing sugar (powdered sugar),black writing icing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadbury Creme Egg cookies,Emily Leary,5, 1 ,"Cookies, Easter",American,Prep Time10 minutes mins,Cook Time10 minutes mins,NA,Total Time20 minutes mins,10 cookies,9,"Preheat the oven to 190C / 170C fan / 370F
Line a tray with baking paper.
Put the caster sugar, oil and egg in a bowl. Whisk together.
Sift in the flour, icing sugar, baking powder and cocoa powder. Stir together just as much as it takes to get an even dough.
Divide the cookie dough into ten equal pieces.
Press a piece of dough into a disc, then place a mini creme egg in the centre. Wrap the dough around a mini creme egg, rolling into a ball. Place the ball on the lined tray. Repeat until all the dough balls have a creme egg in the centre.
Put a little icing sugar in a bowl and roll each ball in it to lightly coat, then return to the tray.
Bake the cookies for 10-12 minutes. They should form natural cracks as they bake.
Cool on a wire rack, then serve and enjoy!",16,100 g (½ cup + 1 tbsp) caster sugar,30 ml (2 tbsp) vegetable oil,1 large egg,90 g (½ cup + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,30 g (¼ cup) cocoa powder,70 g (½ cup) icing sugar (powdered sugar) plus more to dust,10 Mini Cadbury Creme Eggs,100 g (½ cup + 1 tbsp) caster sugar,30 ml (2 tbsp) vegetable oil,1 large egg,90 g (½ cup + 3 tbsp) plain white flour (all purpose flour),1 tsp baking powder,30 g (¼ cup) cocoa powder,70 g (½ cup) icing sugar (powdered sugar) plus more to dust,10 Mini Cadbury Creme Eggs,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/cadbury-creme-egg-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter cookie bars,Emily Leary,5, 1 ,"Cookies, Easter",American,Prep Time10 minutes mins,Cook Time25 minutes mins,NA,Total Time35 minutes mins,16 cookie bars,10,"Preheat the oven to 180C (160C fan, 350F).
Grease and line a 20x20cm (8x8 inch) tin.
Whisk the butter, golden syrup and sugar in a large bowl until fluffy
Add the egg and vanilla and whisk until well combined.
Sift in the flour and the baking powder and fold through.
Add the roughly chopped mini eggs and fold through.
Tip the cookie dough into your prepared tin and level off.
Bake for 20-25 minutes until golden brown.
Allow to cool in the tray until firm, then use the greaseproof paper to lift onto a cooling rack.
Once completely cool, transfer to a board and use a sharp knife to cut into 16 squares.",16,130 g (9 tbsp) salted butter softened,50 g (2½ tbsp) golden syrup,200 g (1 cup + 3 tbsp) soft light brown sugar,2 tsp vanilla extract,1 medium free range eggs,270 g (1¾ cups) plain white flour (all purpose flour),1 tsp baking powder,200 g (7 oz) Cadbury Mini Eggs,130 g (9 tbsp) salted butter softened,50 g (2½ tbsp) golden syrup,200 g (1 cup + 3 tbsp) soft light brown sugar,2 tsp vanilla extract,1 medium free range eggs,270 g (1¾ cups) plain white flour (all purpose flour),1 tsp baking powder,200 g (7 oz) Cadbury Mini Eggs,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/easter-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
