title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Greek butter koulourakia with a chocolate twist,Helen Bitzas,NA,NA,Dessert,Greek,Prep Time: 40 minutes minutes,Cook Time: 20 minutes minutes,NA,Total Time: 1 hour hour,25 cookies,13,"In a medium size bowl combine the cocoa powder, the sugar, salt, boiled water and whisk to combine until smooth.  Set aside to cool.
In a medium bowl whisk together the flour and baking powder, and set aside.
Place your softened butter in the bowl of your stand (or hand held) mixer and beat using the paddle attachment of your mixer until smooth, approximately 3 – 5 minutes.
Add the icing sugar to the butter and beat at medium speed for 3 minutes.  Add the egg and vanilla and beat together at medium speed for an additional 3 minutes.
Begin adding your flour to the butter, sugar and egg mixture.  Add half the flour, mix well and then add the rest of the flour; mix well until just combined. Be careful not to over mix.  The dough will be a little dense, and slightly crumbly. This is okay! Transfer the dough to another mixing bowl and mix with your hands until the dough holds together. 
If you have a scale, weigh your dough and separate it into two .  One of the halves will become your chocolate dough.  If you don't have a scale, eyeball it as much as you can.  
Add one of the halves back into the mixer and slowly add in your cooled chocolate, and 1/4 cup flour.  Mix until the chocolate is incorporated.  
Let all your dough rest at room temperature for 10-15 minutes.
Preheat your oven to 350 °F.
Weigh out 15 grams of vanilla dough and 15 grams of chocolate dough for each cookie. If you don't have a scale, take ½ tablespoon of each dough for each koulouraki (a total of 1 tablespoon dough per cookie). To shape your koulourakia, roll out the chocolate and the vanilla dough so that you make two long pieces, each about 2 – 3 inches long.  Attach them together so that you end up with one long roll of dough that is 4 – 6 inches in length. Shape into a U shape and twist to shape your koulouraki. Transfer your cookies to a parchment lined baking pan.  See Recipe Note for a simpler way to make these cookies.
Once your tray is full, brush each cookie with the egg wash, made by whisking together the egg yolk and milk.
Bake in the middle rack of your oven for about 20 minutes, until the tops are golden.  Remove from oven and let the koulourakia cool on the baking sheet for 2 – 3 minutes before carefully transferring to a cooling rack to cool completely.
Store in a well covered container at room temperature for 5 – 7 days.  Keep in refrigerator, or freezer, for longer storage.",13,"2 ½ cups flour, regular all-purpose",2 tsps baking powder,"¾ cup + 1 tablespoon unsalted butter, at room temperature",1 cup icing sugar,1 tsp vanilla extract,"1 egg, large",1 egg yolk,1 tbsp milk,"1/4 cup cocoa powder, unsweetened",1/4 cup sugar,1/4 cup boiled water,Mia Kouppa,https://miakouppa.com/greek-butter-koulourakia-with-a-chocolate-twist/,pinch of salt,1/4 cup flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek moustokouloura cookies (Grape must cookies with petimezi),Helen Bitzas,NA,NA,Dessert,Greek,Prep Time: 15 minutes minutes,Cook Time: 15 minutes minutes,Resting time for dough: 10 minutes minutes,Total Time: 40 minutes minutes,35 cookies,9,"Preheat oven to 350 °F.  
Add the wet ingredients to a bowl and use a whisk to combine.  Set aside.
In a large bowl combine the dry ingredients and whisk them together to combine.
Add the wet ingredients to the dry.  Using your hands, mix and knead to combine.  The dough will be soft and a little sticky.  Be careful not to overmix.
Let the dough rest at room temperature for 10 minutes; this will make it easier to handle.
Take a piece of dough (around 35-37 grams) and knead it in your hands and shape into a ball.  Roll the dough into a 5 inch long strip. If using sesame seeds sprinkle some sesame seeds onto your board and roll the dough onto the seeds,   Join the 2 ends together to form a circle, pinching the ends.  Transfer to a parchment lined baking sheet.
Bake for 12 – 15 minutes on the middle rack of your oven until the cookies are lightly browned.  The longer you bake the cookies, the firmer they will get. We like them soft on the inside, therefore, we bake them for approximately 12-13 minutes.
Remove from oven and let them cook on the baking sheet for 3 – 5 minutes before transferring them to a wire rack to cool completely. 
Enjoy!",13,200 ml Grape must molasses petimezi,3/4 cup olive oil,1/4 cup vegetable oil,1/2 cup honey,1 tbsp brandy or cognac see Recipe Notes,1/4 cup orange juice,1 tsp baking powder,1 tsp baking soda,1/4 tsp salt,2 tsp cinnamon,1/4 tsp ground cloves see Recipe Notes,Mia Kouppa,https://miakouppa.com/greek-moustokouloura-cookies-grape-must-cookies-with-petimezi/,4 ⅓ cups all purpose flour,1/4 cup sesame seeds optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange ricotta cookies,Billie Bitzas,NA,NA,Dessert,"Greek, Italian",Prep Time: 20 minutes minutes,Cook Time: 15 minutes minutes,Cooling time: 20 minutes minutes,Total Time: 55 minutes minutes,60 cookies,11,"Preheat oven to 350 degrees Fahrenheit.
Whisk together the dry ingredients, and set aside.
In the bowl of your stand mixer, beat the butter until smooth and fluffy.  Add the  sugar and beat well for 2 – 3 minutes and then add in the eggs, one at a time. Beat well for about 3 more minutes, until light and fluffy.
To the mixing bowl add the ricotta, vanilla, orange juice and orange zest.  Beat at medium speed until well combined.
Reduce the speed of your mixer to low and slowly add in the dry ingredients. Mix until everything is well combined.  Do not over mix.
Drop 1 tablespoon of dough for each cookie onto a parchment lined baking sheet.  Do not flatten the dough.
Bake in the middle rack of your oven for 12 – 15 minutes or until the underside of your cookies are golden brown.
Allow the cookies to cool for 2 to 3 minutes on the baking tray before transferring them to a wire rack to cool completely.  In the meanwhile, prepare your glaze.
To make the glaze whisk together the icing sugar, orange juice and orange zest.  Whisk until smooth.
When your cookies are fully cooled dip the tops into the glaze.  You should have a thin coating of glaze on the top of each cookie.  Return to cooking rack and allow the glaze to set before storing.  This will take 10 to 15 minutes.
Transfer your cookies to an airtight container. They will keep at room temperature for 2 – 3 days; any longer and they can be stored in the refrigerator.  These cookies also freeze well. ",14,2¾ cups all purpose flour,2½ tsp baking powder,½ tsp baking soda,½ tsp salt,"½ cup butter, unsalted room temperature",1½ cup sugar,2 large eggs room temperature,454 grams ricotta cheese 15 ounces,½ tsp vanilla powder or 1 tsp vanilla extract,1½ tbsp orange zest,4 tbsp orange juice,Mia Kouppa,https://miakouppa.com/orange-ricotta-cookies/,1½ cups powdered sugar,¼ cup orange juice,1 tbsp orange zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best peanut butter cookies,Mia Kouppa,5, 10 ,Dessert,American,Prep Time: 20 minutes minutes,Cook Time: 10 minutes minutes,NA,Total Time: 30 minutes minutes,50 cookies,9,"Preheat your oven to 350 °F
In the bowl of your stand mixer fitted with the paddle attachment beat together the butter and sugars until light and fluffy, approximately 5 minutes.
To the butter and sugar mixture add the egg, peanut butter and vanilla extract.  Beat for an additional 3 minutes.
Meanwhile, in a separate bowl whisk together the dry ingredients. 
Add the dry ingredients to the mixer bowl and beat until the ingredients are just combined.
Line your baking sheet with parchment paper and use a mini ice cream scooper to make your cookies.  Alternatively, use a tablespoon and make round balls of dough.  After you have arranged the balls of dough on your cookie sheet, use a fork to gently press down on the dough.  This will flatten the cookie, and leave the impression from the fork tines.  Your cookies should be approximately ½ inch thick. 
Bake in the middle rack of your oven for approximately 10 minutes, or until the bottom of your cookies is browned.
Allow to cool on the baking tray for a few minutes before transferring carefully to a cooling rack.
Enjoy!",10,1½ cups all purpose flour,½ cup unsalted butter softened,"1 cup peanut butter, smooth not all-natural",½ cup sugar,½ cup brown sugar,1 tsp vanilla extract,1 egg,¾ tsp baking powder,¼ tsp cinnamon,¼ tsp salt,NA,Mia Kouppa,https://miakouppa.com/best-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paximadia or Paximathia, Greek biscotti",Helen Bitzas,5, 6 ,Dessert,Greek,Prep Time: 30 minutes minutes,Cook Time: 30 minutes minutes,NA,NA,110 cookies,12,"Preheat oven to 350 °F
In the bowl of your stand mixer combine the sugar and oil and beat for about 5 minutes at medium speed.
Next add the milk and the eggs, one at a time.  Beat for another 5 minutes. Next add your mixed nuts and mix until just combined. 
In a small bowl combine the baking powder and cinnamon with a ¼ cup of your already measured sifted flour. Whisk to combine and then add to the bowl of your mixer.  
With the mixer speed set to low, begin adding the rest of the flour, about a ½ cup at a time.  You may not need all of the flour. You will know that you have added enough flour when the dough starts pulling away from the sides of the mixing bowl.  At this time, you will likely have to transfer the dough to a larger mixing bowl, to finish kneading by hand.
Add 1 teaspoon of oil to bottom of a large bowl.. Add your dough and keep kneading.  The dough should feel a little dense and tough, to prevent it from spreading too much while baking.  At the same time it should feel soft and it will be sticky. See video here.
Let the dough rest for about 10 minutes so it can firm up.
Separate out your dough into 425 grams portions. Dust your counter with a bit of flour and form the dough into logs which are  2-2 ¾ inches wide, and place on a parchment lined baking tray. The length of the log should be the width of the baking pan.  Flatten a little bit using your hands.  See video here.
Lightly score the dough horizontally about 1/3 of the way deep and about 3/4-1 inch apart. See video here.
Bake in middle rack of your oven for 25-30 minutes.  Rotate your pan halfway through the baking time.
Remove from oven, and while still hot, and still in pan, cut your dough (where it had been scored) all the way through.  Flip each piece  on its side.  Broil for 1-2 minutes per side; watch them carefully so that they don' t burn. See video here.
Enjoy!",9,3 cups sugar,3 ⅓ cups vegetable oil or other light flavoured oil,1 ⅓ cups milk we used 2% milk,5 large eggs,4 tbsp baking powder,2 ½ tsp ground cinnamon,1 ½ cups combined crushed walnuts/almonds,10 cups sifted all purpose flour,1 tsp vegetable oil,NA,NA,Mia Kouppa,https://miakouppa.com/paximadia-or-paximathia-greek-biscotti/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amygdalota (Αμυγδαλωτά),Billie Bitzas,4.95, 20 ,Dessert,Greek,Prep Time: 20 minutes minutes,Cook Time: 20 minutes minutes,NA,Total Time: 40 minutes minutes,30 cookies,11,"Preheat oven to 325 degrees Fahrenheit. 
In a medium sized bowl whisk to combine the almond flour with the salt.  Set aside.
In a large bowl, using the hand held mixer with the whisk attachment,  whisk together 3 of the egg whites with the cream of tartar until stiff peaks form.  Next add the almond extract and the superfine sugar to the whisked egg whites and beat until well combined and your mixture appears glossy.
Fold in the almond flour using a rubber spatula.  Your dough will be stiff at this point but mix well until you end up with a uniform batter.
Add in the last 2 egg whites and beat to combine using your hand held mixer. (At this point we switch to the paddle attachments of the hand held mixer). 
Attach a large star shaped piping tip to your piping bag. Fill your piping bag with the cookie batter and pipe cookies onto a parchment lined cookie tray.  Leave about 1 inch between cookies and pipe your cookies so that they are about 1 inch high.  If you do not have a piping bag you can simply use a tablespoon or mini ice cream scooper to form balls of cookie dough.
Place a slivered almond on top of each cookie.
Bake in the middle rack of your oven for between 17 - 19 minutes until golden brown on the bottom of the cookie.  The baking time will depend on how you have shaped your amygdalota. 
Remove your baking tray from the oven and allow the cookies to cool for 5 minutes on the baking tray.
Transfer to a wire rack to cool completely. 
Enjoy!",7,3 cups almond flour we use superfine ground,1/4 tsp salt,3 + 2 large egg whites see Recipe Notes,1/4 tsp cream of tartar,1 tsp almond extract,1 ½ cups superfine sugar see Recipe Notes,1/4 cup slivered almonds,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/amygdalota-greek-almond-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kourabiethes (Kουραμπιέδες),Billie Bitzas,4.95, 37 ,Dessert,Greek,Prep Time: 1 hour hour,Cook Time: 1 hour hour,Chilling time: 3 hours hours,Total Time: 5 hours hours,50 cookies,13,"In a bowl, sift together the flour, baking soda and vanilla.  Set aside.
Place the chopped up almonds in a sieve and shake it over a large bowl. Catch the small almond bits in the bowl and then place the larger pieces of almonds in a frying pan and toast them over medium-low heat, stirring constantly. You will know that they are toasted when you can smell the toasted almonds. Remove the almonds from the heat, and transfer them immediately to the bowl with the small almond pieces to cool.
In the bowl of a stand mixer, using the paddle, beat together the melted vegetable shortening, olive oil, melted butter and icing sugar.  Mix well until combined and there are no lumps of sugar visible, about 2-3 minutes.   
Add the egg yolks and ouzo to the bowl of your stand mixer and mix for about 4-5 minutes.
With the speed of the mixer set to low, slowly incorporate the flour / baking soda / vanilla mixture (See Recipe Note).  Mix until just well combined.  Use a rubber spatula to clean the edges of your bowl and to make sure that all ingredients get incorporated.  Add the almonds to the cookie dough and mix until evenly distributed.
At this point I refrigerate the dough for 2-3 hours, before shaping. This will prevent the kourambiethes from spreading too much while baking.  Once you're ready to shape your kourabiedes, leave the dough at room temperature for about 10 minutes.
Preheat your oven to 350 °F, and place your rack in the middle of your oven.
Line your cookie sheets with parchment paper.  Begin shaping your kourabiethes. Keep in mind, that the dough is a little oily. If you will be shaping them as crescents, use one tablespoon of dough, per crescent.  SEE NOTES BELOW.  Remember, the cookies will puff up during cooking, so your crescents should be relatively thin (about an inch in diameter). I found that the best way to shape them is by rolling the dough in my hands,  ending up with a 3 inch long piece of dough, (about the width of your palm) and creating the crescent in the baking pan. If you are going to be shaping them in rounds, using a mini ice-cream scooper is a great option.  Roll the dough in your hands until you get a smooth round shape, which you can flatten slightly when in the baking tray.  Leave about 2 inches between each cookie.  
You'll notice that the dough is crumbly, almost like a pebble texture; place the amount of dough you'll be using in your hands, and just squeeze the dough together back and forth between your hands and you'll see that it will stick together. 
Once you have filled up a baking tray, place in the fridge for 10 minutes before baking.  After 10 minutes, remove from the fridge, and place immediately into your preheated oven. right into the oven.  This is a very important step.. It helps further reduce the amount the kourambiethes spread while baking.
Bake in the middle rack of your oven for approximately 12-14 minutes.  However, check them after 11 minutes.  Some ovens bake quicker than others. Remove the cookies from the oven and using a pastry brush, sprinkle some rose water on the cookies.  You can also use ouzo if you prefer.  Allow the cookies to cool on the baking tray for about two minutes and then transfer them carefully to a cooling rack.
When your cookies are completely cool, line a serving tray or container with icing sugar and set your cookies on it. Then, liberally sift icing sugar over the cookies so that they are completely covered.
Enjoy!",12,700 grams all-purpose flour,2 tsps baking soda,1 tbsp powdered vanilla or 2 tbsp vanilla extract (see notes below),1½ cups coarsely chopped almonds,½ cup melted vegetable shortening,½ cup olive oil,1 cup melted unsalted butter,1 ⅔ cups icing sugar,4 egg yolks,⅓ cup ouzo,1 tbsp rose water for sprinkling on top of cookies,Mia Kouppa,https://miakouppa.com/kourabiethes-k%ce%bf%cf%85%cf%81%ce%b1%ce%bc%cf%80%ce%b9%ce%ad%ce%b4%ce%b5%cf%82-kourabiedes/,1 ½ cups icing sugar for coating the cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isli – Greek Christmas cookies stuffed with walnuts,Billie Bitzas,5, 1 ,Dessert,Greek,Prep Time: 45 minutes minutes,Cook Time: 25 minutes minutes,NA,Total Time: 1 hour hour 10 minutes minutes,42 cookies,11,"Preheat oven to 375 °F
Line your baking trays with parchment paper and set aside.
Combine all of the ingredients in a small pot and bring to a boil.  Reduce heat to medium and boil for 7 - 10 minutes until sugar is dissolved and syrup is slightly thickened.  Set aside to cool
Combine all of the ingredients together in a bowl and mix together with a fork or small whisk until well combined. 
In the bowl of your stand mixer combine the olive oil, orange juice, sugar and orange zest and mix well using the paddle attachment of your mixer for 3 - 5 minutes at medium speed.
Meanwhile, in a medium size bowl whisk together your dry ingredients until well combined.  With the mixer speed set to low, add the dry ingredients to the wet ingredients and mix until just combined.  See texture here.
Take approximately 1 tablespoon of dough (I use a mini ice cream scooper) and flatten it in the palm of your hand.  Use your fingers to press it out into a thin circle, at least the size of your palm.
Place one teaspoon of filling in the center of your dough and fold the dough over it so that the filling is completely covered.  You may need to pinch the dough together to keep the filling from falling out.  You can try to shape your isli into the traditional triangular shapes, or leave them as rounds.  Place them on a parchment lined baking sheet, leaving about 1 inch between cookies. Use a fork to make indentations all over the top surface of the isli.  Watch video here.
Bake in middle rack of your oven for 20 - 25 minutes or until golden brown.
Once removed from the oven, and still hot, transfer them to the pot with the syrup where they should soak for about 1 minute (or longer if you desire). 
Store isli at room temperature in a covered container for up to a week.  Any longer and they can be kept in the refrigerator. ",23,1½ cup sugar,¾ cup honey,½ cup orange juice,1½ cups water,1 orange slice,1 cinnamon stick,200 grams crushed walnuts,1 tbsp breadcrumbs,¾ tbsp orange zest,2 tsp cinnamon,¼ tsp nutmeg,Mia Kouppa,https://miakouppa.com/isli-greek-christmas-cookies-stuffed-with-walnuts/,1 tbsp sugar,¼ tsp salt,1 cup olive oil,1 cup orange juice,⅓ cup sugar,1 tsp grated orange zest,3½ cups flour,½ cup fine semolina,1 tsp baking powder,1 tsp baking soda,1 tsp cinnamon,¼ tsp salt,NA
Double chocolate tahini cookies,Billie Bitzas,5, 4 ,Dessert,"American, Greek",Prep Time: 15 minutes minutes,Cook Time: 10 minutes minutes,NA,Total Time: 25 minutes minutes,24 cookies,6,"Preheat oven to 350 °F
In a small bowl whisk together the dry ingredients.
In the bowl of your stand mixer fitted with the paddle attachment beat together the egg and the tahini.  Beat for 5 minutes and then add honey and beat together for an additional 2 - 3 minutes.  Add the dry ingredients and mix until combined.  Add the chocolate chip or chunks and mix until evenly distributed in the batter.
Using a mini ice cream scooper (or a tablespoon) scoop out 1 tablespoon worth of batter.  Place on parchment lined baking sheet, leaving an inch or two between cookies (they will spread slightly). Sprinkle the top with a little bit of sea salt.
Bake in the middle rack of your oven for 10 - 12 minutes or until the bottom is slightly brown.
Allow to cool on baking sheet for 1 - 3 minutes before transferring to a cooling rack. ",11,1 cup almond flour,2 tbsp cocoa powder,1 tsp baking powder,½ tsp baking soda,¼ tsp cinnamon,¼ tsp salt,1 cup tahini,1 egg,½ cup honey,1 cup chocolate chips or chunks,sea salt for sprinkling on top of cookies,Mia Kouppa,https://miakouppa.com/double-chocolate-tahini-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate and cranberry cookies,Mia Kouppa,5, 3 ,Dessert,American,Prep Time: 15 minutes minutes,Cook Time: 10 minutes minutes,NA,Total Time: 25 minutes minutes,32 cookies,7,"Preheat oven to 350 °F
Whisk together the dry ingredients and set aside. 
In the bowl of your stand mixer fitted with the paddle attachment, beat together the sugars and the butter for approximately 3 minutes.  Next add in the egg and the vanilla extract and beat on medium speed for an additional 5 minutes
Add the dry ingredients to your wet ingredients and beat until just combined (that is, you see no more flour).  Add in the cranberries and white chocolate and mix until combined.
Place 1 tablespoon of dough on a parchment lined cookie sheet, leaving about 2 inches between cookies.  
Bake in middle rack of your oven for 8 - 10 minutes, or until bottoms are browned. The cookies will still appear very soft; this is fine.  They will firm up as they cool.  Allow cookies to cool on baking tray for a few minutes until you transfer them to cooling rack.
Enjoy!",11,1½ cups flour,½ tsp baking soda,¼ tsp salt,¼ tsp nutmeg optional,"½ cup unsalted butter, softened","⅔ cup brown sugar, packed",⅓ cup white sugar,1 large egg,1 tsp vanilla extract,¾ cup dried cranberries,1 cup white chocolate chips,Mia Kouppa,https://miakouppa.com/white-chocolate-and-cranberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian biscotti recipe,Mia Kouppa,4.67, 9 ,Dessert,Italian,Prep Time: 15 minutes minutes,Cook Time: 45 minutes minutes,Chilling time: 15 minutes minutes,Total Time: 1 hour hour 15 minutes minutes,20 biscotti,7,"In the bowl of your stand mixer fitted with the paddle attachment combine the eggs, sugar and olive oil and beat well on medium speed for approximately 5 minutes.
Meanwhile, in a medium size bowl whisk together your dry ingredients.
Add the grated lemon rind and the almond extract to your wet ingredients in your mixer bowl and mix well.  Next, with the mixer speed set on low, slowly add in the dry ingredients. When just combined (that is, you no longer see any flour), add in the chocolate covered almonds and mix briefly until well combined.
Line your baking tray with parchment paper.  Separate your dough into two and make two logs which are approximately 1 inch think and 4 inches wide (see photos for reference).  Optional: If you wish to decorate the top of your biscotti with slivered almonds, brush the top of the dough with a thin layer of egg white and then sprinkle the slivered almonds on top. Chill in refrigerator for 15 minutes. 
While dough is chilling, preheat oven to 325 °F
Remove the dough from the refrigerator and then bake in the middle rack of your oven for 30 minutes.  Remove, and allow to cool on baking sheet for 15 minutes.  Once cooled, use a serrated knife to carefully cut the logs into biscotti (keep them on the baking tray).  We like to cut on the diagonal and have each biscotti about 1 inch wide. Arrange biscotti so that a cut side is up and bake in the middle rack of the oven for 15 - 20 minutes, turning over half way through.  
Allow to cool on baking tray for a few minutes and then transfer to a cooling rack.  Biscotti should be crisp and dry, but not too hard.  Store in a well sealed container at room temperature for several weeks.  Baked biscotti can also be stored in the refrigerator, or frozen.  Enjoy!",11,"3 eggs, large",1 cup sugar,⅓ cup olive oil,1 tbsp grated lemon rind,1 tsp almond extract,2¾ cup all purpose flour,2½ tsp baking powder,½ tsp salt,1 cup chocolate covered almonds,1 egg white,¼ cup slivered almonds,Mia Kouppa,https://miakouppa.com/italian-biscotti-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodles,Mia Kouppa,5, 3 ,Dessert,American,Prep Time: 10 minutes minutes,Cook Time: 15 minutes minutes,NA,Total Time: 25 minutes minutes,40 cookies,9,"Preheat oven to 350 °F
In the bowl of your stand mixer combine the butter and sugars.  Beat well until light and fluffy, approximately 5 minutes.
Add the eggs and the vanilla extract.  Beat again for 3 - 5 minutes, scraping down the sides occasionally using a rubber spatula.
Meanwhile, in a medium size bowl whisk together the dry ingredients.
Add the dry ingredients to the wet ingredients and with the mixer speed set to medium, mix until just combined.
In a small bowl combined the ingredients for the topping.
Using a mini ice cream scooper, or a tablespoon form balls with the dough; you should make approximately 40 balls of cookie dough.  Roll them into the cinnamon sugar mixture.
Place balls on a parchment lined cookie sheet.  Bake in middle of the oven for 10 - 13 minutes, or until the bottoms are lightly browned.
Allow to cool on baking tray for a few minutes before transferring to a cooling rack. Enjoy!",12,"1 cup unsalted butter, softened",1 cup white granulated sugar,"½ cup light brown sugar, packed",2 eggs,2 tsp vanilla extract,2½ cups all-purpose flour,1½ tsp cream of tartar,1 tsp baking soda,½ tsp cinnamon,¼ tsp salt,⅓ cup white granulated sugar,Mia Kouppa,https://miakouppa.com/snickerdoodles/,2½ tsp cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter date bars,Mia Kouppa,5, 6 ,"Dessert, Snack",American,Prep Time: 30 minutes minutes,NA,Freezing time: 2 hours hours,Total Time: 2 hours hours 30 minutes minutes,12 servings,7,"In the bowl of your stand mixer mix together the almond flour, cinnamon and salt with a fork.  Once combined add the rest of the ingredients for the peanut butter layer and mix well using the paddle attachment of your mixer.
Prepare your baking tray by lining it with parchment paper allowing for there to be parchment paper hanging over on both long sides.  Transfer the peanut butter layer to the baking pan and press it down evenly so that the entire surface of the pan is covered and it is uniformly distributed.  We like to do this by laying a piece of plastic wrap over the peanut butter layer and pressing down on that and then smoothing it out.
Cover with plastic wrap or parchment paper and then transfer to freezer for approximately 30 minutes.  Meanwhile, prepare the date layer.
Place all of ingredients for your date layer into the pitcher of your high speed blender or your food processor and blend until smooth.  This may take a bit of time and you will need to pat the ingredients down intermittently to ensure that everything is getting blended or processed. 
Once your date layer is a smooth consistency, remove the pan from the freezer, uncover the peanut butter layer and spread the date layer evenly and smoothly on top of it.
Cover with plastic wrap or parchment paper and return to freezer until frozen.
Once frozen, use a knife to help release your peanut butter and date layers and use a large knife to cut our your portions.  Return to the baking pan and keep in freezer until ready to enjoy.",13,2½ cups almond flour,1 tsp cinnamon,½ tsp salt,⅔ cup all - natural peanut butter creamy or chunky,¼ cup melted coconut oil,¼ cup maple syrup,50 grams chocolate chunks we use 100% cacao (or dark chocolate chips),1½ cups chopped walnuts,2 tbsp cocoa powder,¼ tsp salt,"10 Medjool dates, pitted",Mia Kouppa,https://miakouppa.com/recipe-peanut-butter-date-bars/,2 tbsp water,"1 tbsp coconut oil, melted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tahini honey cookies,Mia Kouppa,4.94, 15 ,Dessert,Greek,Prep Time: 15 minutes minutes,Cook Time: 8 minutes minutes,NA,Total Time: 23 minutes minutes,14 cookies,8,"Preheat oven to 350 degrees Fahrenheit
In a medium size bowl whisk together the almond flour, baking soda, cinnamon, nutmeg and salt.  Set aside.
In the bowl of your stand mixer fitted with the paddle attachment blend together the honey and tahini until well combined.
Slowly add in the dry ingredients and mix well to combine.  Add up to 2 tablespoons of water if you find that the batter is crumbly.  Your dough should be moist enough to shape into balls.
Place your sesame seeds in a shallow bowl. Using a mini-scooper or a tablespoon, make balls of dough and roll them in the sesame seeds to coat them all around.
Transfer the cookie dough to a parchment lined baking sheet and use a glass to press down to turn the balls into discs approximately ¼ inch thick.
Bake in the middle rack of your oven for about 8-10 minutes or until golden brown.  Allow your cookies to cool on the cookie tray for 3 - 5 minutes before transferring them to a cooling rack.
Enjoy!",9,1½ cups almond flour,½ tsp baking soda,½ tsp cinnamon,¼ tsp nutmeg,¼ tsp salt,⅓ cup honey,⅓ cup tahini,2 tbsp water if needed,½ cup sesame seeds,NA,NA,Mia Kouppa,https://miakouppa.com/recipe-tahini-honey-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal raisin cookies,Mia Kouppa,5, 10 ,Dessert,American,Prep Time: 20 minutes minutes,Cook Time: 12 minutes minutes,NA,NA,40 cookies,10,"Preheat your oven to 350 degrees Fahrenheit.
In a medium size bowl combine your raisins with your boiled water. Ensure that your raisins are submerged.  Add more boiling water if required.  Set aside.
In the bowl of your stand mixer combine the melted butter, eggs, brown sugar and maple syrup.  Beat using your paddle attachment for 8 - 10 minutes. 
Meanwhile, in a medium size bowl combine the oats, oat flour, gluten-free flour, cinnamon, nutmeg, salt, and baking soda.  Mix until well combined.
With your mixer speed set to low slowly add in your dry ingredients.  Mix until just combined.  Add in your vanilla extract and mix.
Drain your raisins and pat them dry with paper towels to dry them out as much as possible.  Add your raisins to the batter and mix until just combined. 
Line your baking tray with parchment paper and shape your cookies.  Place your cookies on the baking tray, leaving about 1 inch between cookies on the tray.  We like to use a mini ice-cream scooper.  If you don't have a mini ice-cream scoop, use a tablespoon. Each cookie should be approximately 30 grams each.  Do not flatten your cookies.
Bake in the middle rack of your oven for approximately 12 minutes or until golden brown on bottom.  
Allow cookies to cool on the baking tray for 2 - 3 minutes before transferring them to a cooking rack.
Enjoy! ",14,1 ½ cups (225 grams) raisins,2 cups (500 mL) boiling water,¾ cup (180 grams) melted unsalted butter,1 cup (200 grams) brown sugar we use dark brown sugar,2 large eggs,2 tbsp (30 mL) maple syrup,3 cups (300 grams) large flake oats,½ cup oat flour,"1 ½ cups flour, gluten-free you can also use regular all purpose flour",2 tsp cinnamon,½ tsp ground nutmeg,Mia Kouppa,https://miakouppa.com/recipe-oatmeal-raisin-cookies/,1 tsp baking soda,1 tsp salt,1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
