title,author,dateinfo,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Carrot Cookies Recipe,Julie Clark,Updated: 2/12/2025,4.41,10,Cookies,American,"carrot cake recipe, easy cookie recipes, spring cookies",15 minutes,13 minutes,NA,NA,24,10,"Preheat the oven to 350°F. Line two cookie sheets (or baking pans) with parchment paper and set them to the side.
Start by making the cookies. Add the flour, cinnamon, baking powder, baking soda, and salt to a large bowl and stir with a whisk. Set the flour mixture aside.
In a separate large bowl, use an electric hand mixer to cream together the butter and light brown sugar until smooth.
Add the egg and vanilla extract to the butter mixture, and continue blending.
Gradually mix in the dry ingredients until the dough is thick and a little sticky.
Fold in the carrots, then use a cookie scoop to scoop out 1 ½ tablespoons of dough, roll the dough into a tight, smooth ball, and place the balls about 2 inches apart on the cookie sheets.
Bake the cookies, one sheet at a time for 12-13 minutes or until the edges start to turn golden brown. Allow the cookies to cool on a wire rack.
Make the cream cheese frosting while the cookies are cooling: Blend together the cream cheese and butter until smooth.
Gradually add in the powdered sugar until the frosting is thick and smooth. Spread about 1 tablespoon of frosting on top of each cookie, then sprinkle some crushed walnuts on top.
Store in an airtight container at room temperature for up to 24 hours, then refrigerate for up to 5 days.",14,"2 1/4 cups all-purpose flour spooned and leveled, 293 grams",2 teaspoons cinnamon,1 1/2 teaspoons baking powder,1/2 teaspoon baking soda,1/4 teaspoon salt,"3/4 cup unsalted butter room temperature, 6 ounces","2/3 cup light brown sugar packed, 155 grams",Tastes of Lizzy T,https://www.tastesoflizzyt.com/carrot-cookies-recipe/,1 large egg room temperature,2 teaspoons vanilla extract,3/4 cup finely grated carrots*,4 ounces cream cheese room temperature,"1/4 cup unsalted butter room temperature, 2 ounces",1 cup powdered sugar 130 grams,1/2 cup crushed walnuts or pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Julie Clark,Updated: 10/4/2024,4.86,14,Cookies,American,"cookie recipes, peanut butter cookie recipe",15 minutes,9 minutes,NA,NA,24,8,"Preheat the oven to 375ºF. Line two baking sheets with parchment paper.
Using a hand mixer on medium speed, cream together the butter and peanut butter for 2-3 minutes until completely smooth and combined. ½ cup salted butter, 1 cup peanut butter
Add in sugar and mix on medium speed for 1 minutes. ½ cup granulated sugar, ¼ cup brown sugar
Add in the egg and vanilla. Mix for 2 minutes until light and fluffy. 1 large egg, 1 teaspoons vanilla extract
Add the flour, oats, baking soda, baking powder and salt. Add optional peanuts, cinnamon, cloves and nutmeg if desired. Mix until combined. ¾ cup all-purpose flour, ½ cup quick cooking oats, ½ teaspoon baking soda, ½ teaspoon baking powder, dash of salt, ½ cup chopped peanuts, 1 teaspoon cinnamon, ¼ teaspoon cloves, ¼ teaspoon nutmeg
Using a medium cookie scoop, scoop the cookie dough onto a parchment lined baking sheet with 2"" in between each mound of dough.
Use the tines of a fork to make a criss cross in the top of each dough ball.
Bake for 9 minutes. To keep the cookies soft, don't let them get brown. Allow the cookies to cool for 5 minutes, then move to a wire rack to cool completely.",15,"1/2 cup salted butter room temperature, 4 ounces",1 cup peanut butter 250 grams,1/2 cup granulated sugar 100 grams,1/4 cup brown sugar 60 grams,1 large egg,1 teaspoons vanilla extract 4 grams,3/4 cup all-purpose flour 98 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-oatmeal-cookies/,1/2 cup quick cooking oats 53 grams,1/2 teaspoon baking soda 2 grams,1/2 teaspoon baking powder 2 grams,dash of salt,½ cup chopped peanuts,1 teaspoon cinnamon,¼ teaspoon cloves,¼ teaspoon nutmeg,NA,NA,NA,NA,NA,NA,NA,NA
Easy Sugar Cookie Icing,Julie Clark,Updated: 3/14/2024,4.34,9,Cookies,American,"best sugar cookies, icing recipe",5 minutes,NA,NA,5 minutes,20,7,"Sift the powdered sugar to break up any clumps.
In a medium bowl, whisk together the powdered sugar, corn syrup, extract and 3 tablespoons of milk. Whisk well until the mixture is smooth.
Add more milk to thin the icing, one tablespoon at a time, mixing between each addition. To know if you have the correct consistency, pull up on the whisk and allow the icing to drizzle down. The ribbons of icing should completely absorb into the icing in the bowl in about 5-7 seconds. This is how you know it is thin enough to create an even surface, but not be so thin that it runs everywhere.
Color the icing with gel food coloring if desired. Use just a small amount to start and add more as needed.
Use the frosting immediately so that it does not form a crust. Or you can press a piece of plastic wrap down on the top to prevent air from getting around it and drying it out.
Use a piping bag and tip, squeeze bottle or spoon to decorate the cookies. Or you can turn the cookie upside down and dip it into a bowl of icing. Allow it to drip for several seconds, then turn the cookie upright and place it on a wire rack or baking sheet to set.
Store any leftover frosting in an airtight container and store in the fridge for up to 5 days.",4,4 cups powdered sugar 520 grams,3 tablespoons corn syrup 60 grams,1 teaspoon LorAnn Princess cake & cookie emulsion (or vanilla extract) 5 grams,5-6 tablespoons 2% milk divided,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-sugar-cookie-icing/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Wink Cookies,Julie Clark,Updated: 10/12/2024,4.72,7,Cookies,American,"christmas cookies, EASY COOKIE RECIPE, vintage recipe",15 minutes,9 minutes,NA,24 minutes,36,8,"Preheat the oven to 375ºF. Line a baking sheet with parchment paper if desired.
In a small bowl, whisk together the dry ingredients: flour, baking powder, baking soda and salt. Set aside. 2 ¼ cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt
In a large bowl, cream the butter and sugar using an electric mixer for 2-3 minutes until smooth. ¾ cups salted butter, 1 cup granulated sugar
Add the eggs, milk and vanilla. Mix again, scraping the sides of the bowl as needed. Add the dry ingredients to the cookie dough. Mix well. 2 large eggs, 2 tablespoons 2% milk, 1 teaspoon vanilla extract
Fold in pecans, dates and cherries. Roll the cookie dough into balls. 1 cup finely chopped pecans, 1 cup finely chopped dates, ⅓ cup finely chopped maraschino cherries
Place the crushed cornflakes in a bowl. Roll each cookie dough ball in the crushed cornflakes. Place the cookie dough balls on an ungreased baking sheet with 2” in between. 2 ⅔ cups corn flakes
Place half of a maraschino cherry on top of each ball. Bake the cookies for 8-10 minutes or until lightly browned on the edges. 15 maraschino cherries
Allow the cookies to cool on the pan for 3 minutes, then move to a wire rack to cool completely.",14,2 ¼ cups all-purpose flour 293 grams,1 teaspoon baking powder,½ teaspoon baking soda,½ teaspoon salt,"¾ cups salted butter room temperature, 6 ounces",1 cup granulated sugar 200 grams,2 large eggs,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cherry-wink-cookies/,2 tablespoons 2% milk,1 teaspoon vanilla extract or almond extract,1 cup finely chopped pecans 111 grams,1 cup finely chopped dates 140 grams,⅓ cup finely chopped maraschino cherries,2 ⅔ cups corn flakes crushed,15 maraschino cherries cut in half,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Peanut Butter Cookies,Julie Clark,Updated: 2/4/2024,4.75,24,Cookies,American,"easy cookie recipes, old fashioned recipe, peanut butter",15 minutes,9 minutes,NA,24 minutes,36,9,"Preheat the oven to 375ºF. Line baking sheets with parchment paper.
In the bowl of a stand mixer (with the paddle attachment) or with a hand mixer and large bowl, cream butter and peanut butter for 2-3 minutes until creamy and smooth.
Add in the sugars and mix again until well combined.
Then add in the eggs and vanilla.
Add the dry ingredients and mix just until well combined, scraping the sides of the bowl as needed.
Use a cookie scoop to scoop the cookie dough into 36 dough balls and roll each until smooth.
Place the dough balls on the cookie sheet 2"" apart. Use a fork to press a criss cross in the top of the cookie dough ball, pressing down slightly to flatten the balls. Sprinkle the tops with coarse sugar if desired.
Bake for 9-11 minutes. If you like soft cookies, bake for 9 minutes and don't let the cookies get browned. If you like crispy cookies, bake for closer to 11 minutes.
Allow the cookies to cool on a wire rack. Then store in an airtight container at room temperature.",11,"1 cup unsalted butter room temperature, 8 ounces",2 cups creamy peanut butter 500 grams,1 cup granulated sugar 200 grams,1 cup packed brown sugar 220 grams,2 large eggs,2 teaspoons vanilla extract 9 grams,2 ½ cups all-purpose flour 325 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/old-fashioned-peanut-butter-cookies/,1 ½ teaspoons baking soda 9 grams,1 teaspoon baking powder 5 grams,½ teaspoon salt 4 grams,coarse sugar for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Snickerdoodle Cookies,Julie Clark,Updated: 1/7/2026,4.68,25,Cookies,American,"best sugar cookies, easy cookie recipes",15 minutes,8 minutes,NA,NA,30,9,"Preheat the oven to 375ºF. Line baking sheets with parchment paper.
In the bowl of a stand mixer (or using a mixing bowl with an electric mixer), cream the shortening and the sugar until well mixed, scraping the sides of the bowl as needed.
Add the eggs and mix again until combined.
Add in the flour, cream of tartar, baking soda and salt. Mix well until combined.
Roll the cookie dough into balls.
In a small bowl, combine the sugar and cinnamon. Roll each cookie dough ball in the cinnamon sugar mixture, then place on the baking sheet.
Bake for 8-10 minutes. Don’t let the cookies get brown if you’d like them to be soft.
Right after they come out of the oven, swirl in a mason jar ring or round cookie cutter so that they are perfectly round.
Allow the cookies to cool on a wire cooking rack. Then store in an airtight container at room temperature for up to 4 days. Freeze for up to 8 weeks.",9,1 cup shortening 185 grams,1 ½ cups granulated sugar 300 grams,2 large eggs,2 ¾ cups all-purpose flour 358 grams,2 teaspoons cream of tartar 8 grams,1 teaspoon baking soda 7 grams,½ teaspoon salt 1 gram,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-snickerdoodle-cookies/,¼ cup granulated sugar,2 tablespoons cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Caramel Cookies,Julie Clark,Updated: 2/2/2024,4.64,19,Cookies,American,"caramel cookies, christmas cookies, double chocolate cookies, stuffed cookie recipe",20 minutes,10 minutes,NA,30 minutes,30,12,"Using the bowl of a stand mixer using a paddle attachment, cream together the butter and sugars on medium speed for 2-3 minutes until light and fluffy.
Add the eggs and vanilla and mix again on low speed. Scrape the bowl as needed.
Add in the flour, cocoa, baking soda and salt. Mix until it is well blended, scraping the sides of the bowl as needed.
Add in the chocolate chips and mix until combined. The dough will be soft and slightly sticky.
Refrigerate the cookie dough for 30 minutes.
Preheat the oven to 350ºF. Line a baking sheet with parchment paper or a nonstick (silicone) baking mat.
Using a cookie scoop, scoop the cookie dough into 30 balls. Flatten with the palm of your hand, then wrap the cookie dough around the caramel candy so the candy is completely covered. Place on the prepared cookie sheet. Repeat with the remaining cookie dough.
Bake the cookies in the preheated oven for 10 minutes. Do not over bake.
Allow the cookies to cool for 5 minutes on the cookie sheet, then place on a wire rack to cool completely.
In a small microwaveable bowl, melt the Kraft caramels for 40 seconds. Stir in the sweetened condensed milk. Continue to melt the caramels at 10-15-second intervals until they are completely melted and able to be drizzled over the cookies.
Drizzle the caramel over top the cookies, then immediately sprinkle with sea salt, if desired. The caramel will set quickly, so do a few cookies at a time, then sprinkle the salt on top so it is sure to stick. If the caramel in the bowl gets too hard, return it to the microwave for another 10-15 seconds to remelt it and continue to drizzle.
Allow the cookies to cool completely and store them in an airtight container at room temperature. These do not stack on top of each other well, since the caramel on top will stick to the bottom of another cookie. Store them in single layers.",14,"1 cup salted butter at room temperature, 8 ounces",3/4 cup granulated sugar 182 grams,3/4 cup brown sugar 182 grams,2 large eggs,2 teaspoons vanilla extract 8 grams,2 cups all-purpose flour 280 grams,2/3 cup cocoa powder 55 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/double-chocolate-caramel-cookies/,3/4 teaspoon baking soda 4 grams,1/4 teaspoon salt,2 cups semi-sweet chocolate chips 340 grams,30 Rolo candies or Simply Caramel MIlky Ways,20 Kraft caramels,2 tablespoons sweetened condensed milk,"Sea salt for sprinkling, if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Cream Cheese Cookies,Julie Clark,Updated: 2/2/2024,4.77,21,Cookies,American,NA,20 minutes,12 minutes,NA,32 minutes,30,9,"Using a stand mixer, cream the butter, cream cheese and sugar together in a large bowl. Scrape the sides of the bowl. Beat in almond extract. 
In a separate small bowl, combine the flour, baking powder and salt. Slowly add the flour mixture to the creamed mixture and mix until well combined. Cover and refrigerate the dough for 1 hour.
Preheat the oven to 350ºF.
Shape the dough into 30, 1-in. balls, then roll in colored sugar. 
Line a baking sheet with parchment paper or a nonstick baking mat. Place the cookies 2"" apart on the baking sheet. Bake for 12-13 minutes. Do not over bake.
Remove from the oven and immediately press a maraschino cherry into the center of each cookie. Move the cookies to wire racks to cool.
You can leave the cookies as they are, or you can drizzle them in white chocolate which will help keep the cherry in place.
In a microwave-safe bowl, slowly melt the white chocolate chips in 10-15 second increments, stirring between each melting time. Use a spoon or fork to drizzle the chocolate overtop the cookies. 
Allow the chocolate to set completely before storing the cookies in an airtight container. Store at room temperature.",10,"1/2 cup salted butter room temperature, 4 ounces",3 ounces cream cheese room temperature,1/2 cup granulated sugar 100 grams,1/4 teaspoon almond extract,1 cup all-purpose flour 140 grams,1 teaspoon baking powder,1/8 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cream-cheese-cherry-cookies/,1/2 cup colored sugar,30 red maraschino cherries drained and dried,1/2 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Oatmeal Cookies,Julie Clark,Updated: 3/13/2025,5,11,Cookies,American,"apple dessert, easy cookie recipes, oatmeal cookies",20 minutes,12 minutes,NA,32 minutes,24,10,"Preheat the oven to 350º Fahrenheit and line cookie sheets with parchment paper or a non-stick baking mat.
In a medium bowl whisk together the flour, cornstarch, oats, cinnamon, cloves, nutmeg, baking powder, baking soda, and salt.
In a large bowl, beat the butter and sugars until light and fluffy.
Add the eggs and vanilla and mix until smooth.
Slowly mix in the dry ingredients until just combined. Fold in the apples.
Using a cookie scoop, drop the dough onto the cookie sheets, leaving about 2-3 inches between each cookie.
Chill the dough for at least 1 hour.
Bake for 10-12 minutes in the preheated oven.
Let cool for 5 minutes on the baking sheets, then remove to wire racks to cool completely.
Store in an airtight container at room temperature.",15,1 large green apple peeled and finely diced,"1 cup salted butter room temperature, 8 ounces",1 cup granulated sugar 200 grams,1 cup packed brown sugar 210 grams,2 large eggs,1 1/2 teaspoons vanilla extract 7 grams,2 1/2 cups all-purpose flour 325 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/apple-oatmeal-cookies/,1 tablespoon cornstarch 9 grams,2 1/2 cup quick cook oats 248 grams,2 teaspoon ground cinnamon 5 grams,1 teaspoon baking powder 4 grams,1 teaspoon baking soda 6 grams,1 teaspoon salt 6 grams,1/2 teaspoon cloves 2 grams,1/4 teaspoon nutmeg,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Julie Clark,Updated: 5/3/2024,4.53,36,Cookies,American,"chocolate chip cookies, cookies with oatmeal",15 minutes,10 minutes,NA,25 minutes,36,11,"Preheat oven to 350ºF. Prepare baking sheets by lining them with parchment paper or nonstick baking mats.
In a large bowl, using a hand mixer or stand mixer with the paddle attachment, cream together the butter, sugars, eggs, and vanilla until smooth.
Stir together the flour, baking soda, and salt in a separate small or medium bowl.
Add the flour mixture to the wet ingredients and mix until combined, scraping the sides of the bowl as needed.
Mix in the oats until combined.
Mix in the chocolate chips, chopped chocolate and walnuts.
Using a cookie scoop, drop cookie dough balls onto prepared cookie sheets. Flatten slightly with the bottom of a glass if you'd like the cookies to be flatter.
Sprinkle the tops with coarse sugar if desired, or press a few chocolate chips into the top of the cookies before baking. This makes them extra pretty.
Bake 10 minutes. Don't overbake.
Let them cool for 2-3 minutes on the cookie sheets before them to a wire rack to cool completely.
Store in an airtight container at room temperature for up to 5 days. Freeze cookies for up to 8 weeks.",13,1 cup salted butter room temperature,1 cup packed light brown sugar 220 grams,1/2 cup granulated sugar 100 grams,2 large eggs,1 teaspoon vanilla extract 6 grams,1 1/2 cups all-purpose flour 195 grams,1 teaspoon baking soda 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oatmeal-chocolate-chip-cookies/,1/2 teaspoon salt 3 grams,3 cups old fashioned rolled oats 312 grams,1 1/2 cups semi-sweet chocolate chips,4 ounces bittersweet dark chocolate chopped,1 cup chopped walnuts,coarse sugar for topping optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Paradise Cookies,Julie Clark,Updated: 10/15/2024,4.80,5,Cookies,American,"chocolate chip cookies, easy cookie recipes",15 minutes,11 minutes,NA,26 minutes,48,9,"Preheat the oven to 350ºF. Line baking sheets with parchment paper or nonstick baking mats.
In a medium bowl, combine the flour, salt and baking soda. Stir until mixed. Set aside. 3 ¼ cups all-purpose flour, 1 teaspoon salt, 1 teaspoon baking soda
In the bowl of a stand mixer using a paddle attachment, place the butter, shortening and sugars. Mix until all ingredients are mixed well and the mixture is even, scraping the sides of the bowl as needed. 2/3 cup salted butter , 2/3 cup vegetable shortening, 1 cup granulated sugar, 1 cup brown sugar
Add the eggs and vanilla, mix well. 2 large eggs, 2 teaspoons vanilla extract
Add your dry ingredients to the wet ingredients in your stand mixer. Mix just until combined.
Add the white and bittersweet chocolate chunks, white and bittersweet chocolate chips and dried mangos, then mix well. Add the macadamia nuts and coconut flakes and mix again. 4 ounce Ghirardelli white chocolate bar, 4 ounce Ghirardelli bittersweet chocolate bar, ½ cup Ghirardelli white chocolate chips, ½ cup Ghirardelli bittersweet chocolate chips, ¾ cup dried mango, 1 cup macadamia nuts, 1 cup coconut flakes
Scoop the cookie dough onto the prepared baking sheets, leaving 2 inches between each cookie dough ball. Press any scraggly edges into the dough ball so that they bake up round and even.
Bake for 10-12 minutes or until lightly browned around the edges. If you'd like a perfectly round cookie, swirl them in a mason jar ring or a large circle cookie dough cutter immediately after they come out of the oven.
If you'd like a chocolate drizzle, melt the chocolate chips in a small microwave safe bowl in 10-15 second intervals. Stir well between each interval and then drizzle the melted chocolate over the cookies. Allow the chocolate to set before storing them. ½ cup bittersweet chocolate chips",17,3 1/4 cups all-purpose flour 423 grams,1 teaspoon salt,1 teaspoon baking soda,2/3 cup salted butter room temperature,2/3 cup vegetable shortening,1 cup granulated sugar 200 grams,1 cup brown sugar 200 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/tropical-paradise-cookies/,2 large eggs,2 teaspoons vanilla extract,4 ounce Ghirardelli white chocolate bar coarsely chopped,4 ounce Ghirardelli bittersweet chocolate bar coarsely chopped,1/2 cup Ghirardelli white chocolate chips,1/2 cup Ghirardelli bittersweet chocolate chips,3/4 cup dried mango chopped,1 cup macadamia nuts coarsely chopped,1 cup coconut flakes,1/2 cup bittersweet chocolate chips,NA,NA,NA,NA,NA,NA
Cinnamon Oatmeal Raisin Cookies,Julie Clark,Updated: 3/13/2024,4.66,38,Cookies,American,"easy cookie recipes, oatmeal cookies",15 minutes,10 minutes,NA,25 minutes,36,11,"Optional first step: soaking the raisins. Pour hot water over the raisins and allow them to rest for about 15 minutes. Then drain the raisins when it is time to add them to the cookie dough. This keeps the raisins plump and soft in the cookies rather than drying them out. This step is completely optional.
Preheat oven to 350ºF. Prepare baking sheets by lining them with parchment paper or nonstick baking mats.
In a large bowl, using a hand mixer or stand mixer, cream together the butter, sugars, eggs, and vanilla until smooth.
Stir together the flour, baking soda, cinnamon, and salt in a separate medium bowl.
Add the dry ingredients to the butter mixture and mix until combined, scraping the sides of the bowl as needed.
Mix in the oats, raisins and walnuts.
Using a cookie scoop, drop onto prepared cookie sheets. Flatten slightly with the bottom of a glass if you'd like the cookies to be flatter.
Sprinkle the tops with coarse sugar if desired.
Bake 10 minutes. Don't overbake them.
Let them cool for 2-3 minutes on the cookie sheets before moving them to a wire rack to cool completely.
Store in an airtight container at room temperature for up to 5 days. Freeze cookies for up to 8 weeks.",13,1 cup salted butter room temperature,1 cup packed brown sugar 220 grams,1/2 cup granulated sugar 100 grams,2 large eggs,1 teaspoon vanilla extract 6 grams,1 1/2 cups all-purpose flour 195 grams,1 teaspoon baking soda 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oatmeal-raisin-cinnamon-cookies/,1 1/2 teaspoons ground cinnamon 5 grams,1/2 teaspoon salt 3 grams,3 cups rolled oats 312 grams,1 cup raisins 148 grams,1 cup chopped walnuts 119 grams,coarse sugar for topping optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neiman Marcus Chocolate Chip Cookies Recipe,Julie Clark,Updated: 9/5/2024,4.73,194,Cookies,American,"chocolate chip cookies, EASY COOKIE RECIPE, famous recipe",10 minutes,10 minutes,NA,20 minutes,36,10,"Heat oven to 375ºF. Line baking sheets with parchment paper.
Using a hand mixer or stand mixer, cream together butter and sugars in a large bowl. Mix in eggs and vanilla, scraping the sides of the bowl as needed. Set aside. 1 cup salted butter, 1 cup packed dark brown sugar, 1 cup granulated sugar , 2 large eggs, 1 teaspoon vanilla extract
Grind the oats (either old fashioned or quick oats will work since you are grinding them) in a blender or food processor until they are powdery. 2 ½ cups old fashioned oats
Combine the ground oats, flour, salt, baking powder and soda in a medium bowl. 2 cups all-purpose flour , ½ teaspoon salt , 1 teaspoon baking soda , 1 teaspoon baking powder
Slowly add the dry ingredients to the wet ingredients. Beat just until combined, but don't over mix.
Using a sharp knife on a cutting board, chop or grate the Hershey bar. Add the chocolate shavings, chocolate chips and nuts to the batter. Mix to combine but do not over mix. 4 ounce milk chocolate Hershey bar, 12 ounces semi-sweet chocolate chips, 1 ½ cups chopped walnuts
Using a cookie scoop, scoop the cookie dough onto the prepared baking sheets. Cookies should be at least 2 inches apart.
Press extra chocolate chips and a few nut pieces into the tops of the cookies to make them look pretty if you'd like.
Bake for 10 minutes. You can use a round cookie cutter or a mason jar ring to swirl the cookies inside while they are still hot to get them perfectly round. This also thickens them, although these cookies are already pretty thick.
Allow the cookies to cool on the pan for 5 minutes, then move to a wire rack to cool completely.",13,1 cup salted butter room temperature. 8 ounces,1 cup packed dark brown sugar 200 grams,1 cup granulated sugar 200 grams,2 large eggs,1 teaspoon vanilla extract 4 grams,2 ½ cups old fashioned oats 240 grams,2 cups all-purpose flour 260 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/neiman-marcus-chocolate-chip-cookies/,½ teaspoon salt 4 grams,1 teaspoon baking soda 4 grams,1 teaspoon baking powder 3 grams,4 ounce milk chocolate Hershey bar,12 ounces semi-sweet chocolate chips,1 ½ cups chopped walnuts 150 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doubletree Cookies,Julie Clark,Updated: 5/8/2025,4.79,91,Dessert Recipes,American,"chocolate chip cookies, cookie recipes",15 minutes,20 minutes,NA,NA,26,7,"Cream butter and sugars in the bowl of a stand mixer on medium speed for 2 minutes. 8 ounces unsalted butter, ¾ cup + 1 tablespoon granulated sugar , ¾ cup packed light brown sugar
Add eggs, vanilla and lemon juice, blending with mixer on low speed for 30 seconds, then medium speed for 2 minutes, or until light and fluffy. Scrape the sides of the bowl as needed. 2 large eggs, 1 ¼ teaspoons vanilla extract , ¼ teaspoon freshly squeezed lemon juice
With mixer on low speed, add flour, oats, baking soda, salt and cinnamon, blending for about 45 seconds. Don’t overmix. 2 ¼ cups all-purpose flour , ½ cup old fashioned rolled oats , 1 teaspoon baking soda, 1 teaspoon salt , Pinch cinnamon
Remove bowl from mixer and stir in chocolate chips and nuts. 2 2/3 cups semi-sweet chocolate chips , 1 ¾ cups chopped walnuts
Portion dough with a scoop (about 3 tablespoons) onto a baking sheet lined with parchment paper about 2 inches apart.
Preheat oven to 300°F. Bake for 15 minutes*, or until edges are golden brown and center is still soft.
Remove from oven and cool on baking sheet for about 5 minutes, then move to a cooling rack to cool completely.",13,8 ounces unsalted butter room temperature (2 sticks),¾ cup + 1 tablespoon granulated sugar 163 grams,¾ cup packed light brown sugar 150 grams,2 large eggs,1 ¼ teaspoons vanilla extract 6 grams,¼ teaspoon freshly squeezed lemon juice,2 ¼ cups all-purpose flour 292 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/doubletree-chocolate-chip-cookie-recipe/,1/2 cup old fashioned rolled oats 53 grams,1 teaspoon baking soda 7 grams,1 teaspoon salt 7 grams,Pinch cinnamon,2 2/3 cups semi-sweet chocolate chips 490 grams,1 3/4 cups chopped walnuts 205 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Caramel Cookies,Julie Clark,Updated: 10/17/2024,4.77,17,Cookies,American,"caramel cookies, easy cookies",15 minutes,10 minutes,NA,25 minutes,24,9,"Preheat the oven to 350ºF. Line two large baking sheets with parchment paper or non-stick baking mats.
In the bowl of a stand mixer cream together the butter and sugars for 2 minutes (used medium speed – Kitchenaid 4). 1 cup salted butter, 1 cup light brown sugar , ½ cup granulated sugar
Scrape down the side of the bowl, then add the egg and vanilla. Beat again until combined. 1 large egg, 1 teaspoon vanilla extract
In a small bowl whisk together the flour and baking soda. Add to the butter mixer and stir just until combined. 2 ½ cups all-purpose flour, 1 teaspoon baking soda
Add in the coconut flakes, caramel bits and macadamia nuts. Mix until combined. ⅔ cup sweetened coconut flakes , 2/3 cup caramel bits , 2/3 cup chopped macadamia nuts
Scoop cookies onto the prepared cookie sheet using a 2” cookie scoop. You don’t have to roll them in balls if you don’t want to, but make sure they are a nice round shape with no scraggly edges.
Press half of a square caramel in the top of the dough ball. Don’t flatten the cookies too much when you do this. 12 Kraft caramel squares
Bake for 10-11 minutes, or until the edges are set.
Sprinkle the tops of the cookies with sea salt right as they come out of the oven. Allow to cool a few minutes on the pan before transferring to a cooling rack. sea salt",12,1 cup salted butter at room temperature 226 grams,1 cup light brown sugar 213 grams,1/2 cup granulated sugar 100 grams,1 large egg,1 teaspoon vanilla extract 4 grams,2 1/2 cups all-purpose flour 325 grams,1 teaspoon baking soda 7 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/coconut-caramel-macadamia-nut-cookies/,⅔ cup sweetened coconut flakes 37 grams,2/3 cup caramel bits 130 grams,2/3 cup chopped macadamia nuts 92 grams,12 Kraft caramel squares unwrapped and cut in half,sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
