title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,source,link,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
3 Ingredient Keto Sugar Cookies,Jennifer Lee,"by Jennifer Lee on December 11, 2024",NA,NA,NA,15 minutes,10 minutes,NA,25 minutes,28 cookies,8,"In a large bowl, add the softened butter and powdered sugar. Use a mixer to beat until light and fluffy, about 2 to 3 minutes, scraping down the slides of the bowl as needed.
Add the almond flour and use a spatula to evenly combine.
Place a large sheet of parchment paper on a flat surface and place the dough in the center. Add another parchment paper on top. Roll the dough between the parchment layers to about ¼-inch thick. Then place the dough into the fridge for about 20-30 minutes to firm up.
Preheat the oven to 325°F (160°C). Line two baking sheets with parchment paper.
Use 2-inch or 3-inch cookie cutters to cut shapes out of the dough. Place cookie cut-outs onto lined baking sheets, leaving a little space (about 3/4 inch) between each one. Re-roll and repeat the process with leftover dough scraps as needed.
If at any point the dough is getting too warm/too soft to work with, put it back in the fridge or freezer until firm and easy to handle.
Bake cookies for 10 to 14 minutes or until edges are light golden brown. The cooking time will vary depending on the shapes, thickness of dough and how big the cookies are.
Allow cookies to cool completely before decorating.",3,"▢ 1/2 cup (113 g) salted butter, softened to room temperature","▢ 2/3 cup (87 g) powdered erythritol or monkfruit, see note",▢ 2 cups (205 g) superfine blanched almond flour,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-keto-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Soft Sugar Cookies,Jennifer Lee,"by Jennifer Lee on December 6, 2024",5,5,NA,10 minutes,15 minutes,NA,25 minutes,12 cookies,6,"Preheat oven to 325°F (163°C). Line a large cookie sheet with parchment paper.
In a large mixing bowl, add butter and sugar. Using the flat paddle attachment, beat at medium speed and gradually increase to high until the mixture is lightly and fluffy. You will need to stop and scrape the sides of your bowl once or twice with a spatula so that the butter mixture gets beaten properly. You should not need to beat that long. About 1 minute total.
Add in flour. Mix on lowest speed until flour is completely incorporated. Your dough will look crumbly at first. Slowly increase speed until a dough forms. The dough should feel a little dry, that is okay.
Use a 1.5 tbsp cookie scoop to scoop out dough. Place onto prepared cookie sheet, spacing the dough about 1.5 to 2 inches apart.
If garnishing with sprinkles, add 1 tbsp sprinkles to a small bowl. Take each dough ball and press the top into the sprinkles, so that the top is covered in sprinkles. Place the dough balls back onto the prepared baking sheet and flatten slightly until the dough balls are 9/16 inch thick. You want the surface of the balls covered in a generous amount of sprinkles, but you should still have leftover sprinkles. I had almost 3/4 tbsp leftover.
Bake cookies about 15-16 minutes or until edges start to turn light brown. Let cookies cool on baking sheet before removing. The cookies will not spread much at first but during the last few minutes of baking, they will puff up and spread more. When the cookies initially come out of the oven they should be puffy but they will deflate and have a more crinkly appearance as they cool. Store uneaten cookies in an airtight container for a few days at room temperature or freezer for longer.",3,"▢ 1/2 cup (113 g) unsalted butter , softened to room temperature",▢ 1/2 cup (100 g) granulated white sugar,"▢ 1 cup (125 g) self-rising flour, see note before starting",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-soft-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Vanilla Melting Moments,Jennifer Lee,"by Jennifer Lee on December 2, 2024",5,2,NA,10 minutes,12 minutes,NA,22 minutes,19 cookies,7,"Line a large baking sheet with parchment paper.
In a large mixing bowl, add butter, sugar and vanilla. Using the flat paddle attachment on the mixer, cream at highest speed until light and fluffy (this should take about 30 seconds to 1 minute). Make sure to stop and scrape the sides of your bowl a few times with a spatula in between mixing to make sure all the sugar and butter gets mixed.
Once your butter mixture is ready, thoroughly scrape all the butter from the sides of the bowl and from the paddle attachment and get it into the middle of the mixing bowl. This is an important step because it will help ensure the butter is evenly distributed. If you leave butter on the sides of the bowl or the paddle attachment, you'll end up with extra butter in parts of the dough which will cause some of your cookies to spread too much.
Add in cake flour. Mix on low speed until the flour is fully incorporated and a dough forms.
Use a 2 tsp cookie scoop to scoop out dough. If you don't own a 2 tsp cookie scoop you can just measure out 2 tsp of dough with a measuring spoon. Roll each dough ball in between your palms until it becomes a smooth round ball. Place onto prepared cookie sheet, spacing cookies at least one inch apart.
Preheat oven to 350°F (177°C). While your oven is preheating, place the cookie dough balls into the fridge for 20 minutes.
Bake cookies for about 12 minutes or until the cookies are lightly brown around the edges. The cookies will still look pale and only the edges should be slightly brown. Remove cookies and let them cool on the cookie sheet. Once cooled, remove cookies and dust with powdered sugar before serving.",4,"▢ 1/2 cup (113 g) unsalted butter , softened to room temperature","▢ 1/4 cup + 1 tbsp (38 g) powdered sugar, plus additional for dusting (see note before starting)",▢ 1 tsp (5 ml) vanilla extract,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-vanilla-melting-moments/,▢ 1 cup + 2 tbsp (127 g) cake flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Pumpkin Pie Cookies,Jennifer Lee,"by Jennifer Lee on November 26, 2024",5,1,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies,8,"Preheat the oven to 350°F (177°C). Line a baking sheet with parchment paper and set aside.
In a mixing bowl, combine the softened butter and sweetened condensed milk. Mix until well combined and creamy, about 1 minute.
Gradually add the all-purpose flour to the butter and condensed milk mixture. Mix until a soft dough forms. The dough should come together and be easy to handle but will still be a little tacky. Put dough in the fridge for 10 minutes to stiffen up.
Use a 1 tbsp cookie scoop and scoop dough and roll them into 1-inch balls. Place them on the prepared baking sheet, leaving some space between each ball.
Use your thumb or the back of a teaspoon to make a deep indent into the center of each cookie.
Fill indents with pumpkin butter (between 1/2 to 1 teaspoon per cookie).
Bake in the preheated oven for 10-12 minutes or until the edges of the cookies are a light golden brown.
Allow the cookies to cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely.",4,"▢ 3/4 cup (168 g) unsalted butter, softened to room temperature",▢ 1 cup (8 fl oz/ 237 ml) sweetened full fat condensed milk,▢ 2 cups (250 g) all purpose flour,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-pumpkin-pie-cookies/,▢ 1/2 cup (140 g) pumpkin butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Keto Pecan Cookies,Jennifer Lee,"by Jennifer Lee on October 19, 2024",5,1,NA,5 minutes,15 minutes,NA,NA,11 cookies,6,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add pecans to food processor and pulse until they are finely chopped and become coarse crumbs. You do want to make sure the pecan pieces aren't too big because that will prevent the cookies from binding and holding together. See photo in post for reference. Then transfer the finely chopped pecans to a large mixing bowl. Make sure you scrape the sides and bottom of the food processor with a spatula to get all of the pecan crumbs stuck on the sides and bottom of the food processor.
Drizzle the syrup over the pecan pieces. Use a spatula to make sure all of the syrup comes off of the sides of your measuring spoon/cup into the bowl. Mix with a spatula until the pecan pieces are all evenly coated in syrup.
Using a 1.5 tbsp cookie scoop, pack the cookie mixture into your cookie scoop. Do your best to pack the mixture into the scoop to help the mixture hold its form. Release onto your prepared baking sheet. Repeat with remaining mixture, spacing each cookie about 1 inch apart. Use the back of a metal spoon to press and shape each cookie until it becomes a thin round disk (1/4 inch thick). You want the cookies to be thin so that they can crisp up properly. If your mixture is too sticky or you are having difficulty shaping, you can lightly wet the back of the spoon with water before using it to press the cookie mixture. The cookies will not change shape during baking so shape them how you want the final outcome to be. It's important to pack the mixture into the cookie scoop and to use a spoon to flatten and shape the cookies because doing these things also helps to compact the mixture together which will then allow the ingredients to bind together during baking.
Bake the cookies for about 13-15 minutes or until the the edges turn golden brown.
Remove cookies from oven but don't attempt to move them from the baking sheet until they are set. This will take about 20 minutes. They will not yet be crispy when they first come out of the oven. Once they are no longer hot, the cookies should be fully set and crispy. The best way to remove them is to peel them off the parchment paper or silicone mat instead of using a spatula. Once the cookies are ready, enjoy them right away or store them in an airtight container or sealed bag. I recommend storing them within an hour after they are done baking. If you leave them out in the open too long, they will absorb the moisture in the air which will cause them to soften.",2,"▢ 1 1/2 cups (157 g) pecan halves , finely chopped to coarse crumbs","▢ 1/4 cup (2 fl oz/60 ml) ChocZero maple flavored syrup, see note",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-keto-crispy-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Maple Pecan Cookies,Jennifer Lee,"by Jennifer Lee on October 16, 2024",5,1,NA,10 minutes,15 minutes,NA,25 minutes,11 cookies,6,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add pecans to food processor and pulse until they are finely chopped and become coarse crumbs. You do want to make sure the pecan pieces aren't too big because that will prevent the cookies from binding and holding together. See photo in post for reference. Then transfer the finely chopped pecans to a large mixing bowl. Make sure you scrape the sides and bottom of the food processor with a spatula to get all of the pecan crumbs stuck on the sides and bottom of the food processor.
Drizzle the maple syrup over the pecan pieces. Use a spatula to make sure all of the maple syrup comes off of the sides of your measuring spoon/cup into the bowl. Mix with a spatula until the pecan pieces are all evenly coated in syrup.
Using a 1.5 tbsp cookie scoop, pack the cookie mixture into your cookie scoop. Do your best to pack the mixture into the scoop to help the mixture hold its form. Release onto your prepared baking sheet. Repeat with remaining mixture, spacing each about 1 inch apart. Use the back of a metal spoon to press and shape each cookie until it becomes a thin round disk (1/4 inch thick). You want the cookies to be thin so that they can crisp up properly. If your mixture is too sticky or you are having difficulty shaping, you can lightly wet the back of the spoon with water before using it to press the cookie mixture. The cookies will not change shape during baking so shape them how you want the final outcome to be. It's important to pack the mixture into the cookie scoop and to use a spoon to flatten and shape the cookies because doing these things also helps to compact the mixture together which will then allow the ingredients to bind together during baking.
Bake the cookies for about 15 minutes or until the the edges turn a dark golden brown.
Remove cookies from oven but don't attempt to move them from the baking sheet until they are set. This will take about 20 minutes. They will not yet be crispy when they first come out of the oven. Once they are no longer hot, the cookies should be fully set and crispy. The best way to remove them is to peel them off the parchment paper or silicone mat instead of using a spatula. Once the cookies are ready, enjoy them right away or store them in an airtight container or sealed bag. I recommend storing them within an hour after they are done baking. If you leave them out in the open too long, they will absorb the moisture in the air which will cause them to soften.",2,"▢ 1 1/2 cups (157 g) pecan halves, finely chopped to coarse crumbs",▢ 4 1/2 tbsp (67 ml) pure maple syrup,NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-maple-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Keto Walnut Cookies,Jennifer Lee,"by Jennifer Lee on October 12, 2024",NA,NA,NA,5 minutes,13 minutes,NA,18 minutes,11 cookies,6,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add walnut pieces and syrup to a large mixing bowl. When pouring out the walnuts from the food processor, make sure you scrape the sides and bottom of the food processor with a spatula to get all of the crumbs of walnuts stuck on the sides and bottom of the food processor. Similarly, some of the syrup will stick to your measuring cup so make sure to use a spatula to scrape the syrup from the sides and bottom of the measuring cup so all of it ends up in the mixing bowl.
Stir the walnut and syrup mixture until the walnut pieces are evenly coated in syrup. Because the syrup is thick, it may initially seemlike you don't have enough syrup to coat, but as you continue stirring, you should see the syrup spreading across the walnut pieces.
Using a 1.5 tbsp cookie scoop, pack the cookie mixture into your cookie scoop. Do your best to pack the mixture into the scoop to help the mixture hold its form. Release onto your prepared baking sheet. Repeat with remaining mixture, spacing each about 1 inch apart. Use the back of a metal spoon to press and shape each cookie until it becomes a thin round disk (1/4 inch thick). If your mixture is too sticky or you are having difficulty shaping, you can lightly wet the back of the spoon with water before using it to press the walnut mixture. The cookies will not change shape during baking so shape them how you want the final outcome to be. It's important to pack the mixture into the cookie scoop and to use a spoon to flatten and shape the cookies because doing these things also helps to compact the mixture together which will then allow the ingredients to bind together during baking.
Bake the cookies for about 13-15 minutes or until the the edges turn a golden brown.
Remove cookies from oven but don't attempt to move them from the baking sheet until they are set. This will take about 20 minutes. They will not yet be crispy when they first come out of the oven. Once they are no longer hot, the cookies should be fully set and crispy. The best way to remove them is to peel them off the parchment paper or silicone mat instead of using a spatula. Once the cookies are ready, enjoy them right away or store them in an airtight container or sealed bag. I recommend storing them within an hour after they are done baking. If you leave them out in the open too long, they will absorb the moisture in the air which will cause them to soften.",2,"▢ 1.5 cups (149 g) walnut halves, pulsed in a food processor until they become coarse crumbs","▢ 1/4 cup (2 fl oz/60 ml) ChocZero maple flavored syrup, see note",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-keto-walnut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Crispy Pecan Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on October 9, 2024",5,1,NA,10 minutes,15 minutes,NA,25 minutes,12 cookies,7,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add oats to a large mixing bowl. Drizzle melted coconut oil evenly across. Make sure you use the full 1.5 tbsp. Some of the oil will usually get stuck in the measuring spoon/cup so you will need to use a spatula to get it all into the mixing bowl. Mix oats with a spatula for about 30 seconds, stopping a few times to scrape the sides of your bowl, until all of the oats are moistened with coconut oil.
Add pecans to a food processor and pulse until the pecans become the size of coarse crumbs. See photo in post for reference. Pour pecan mixture into the oats mixture. Make sure to use a spatula to scrape the sides and bottom of your food processor to get all of the pecan crumbs because a lot of it gets stuck on the sides. Stir pecans with oats for about 15 seconds until they are evenly combined.
Drizzle the maple syrup across. Mix with your spatula until the oats and pecans are evenly coated in syrup and start to clump together slightly.
Using a 1 tbsp cookie scoop, pack 1 tbsp of oat mixture into your cookie scoop. Do your best to pack the mixture into the scoop to help the oat mixture hold its form. Release onto your prepared baking sheet. Repeat with remaining mixture, spacing each about 1 inch apart. Use the back of a metal spoon to press and shape each cookie until it becomes a thin round disk (between 3/16 and 1/4 inch thick). If your mixture is too sticky or you are having difficulty shaping, you can lightly wet the back of the spoon with water before using it to press the oat mixture. The cookies will not change shape during baking so shape them how you want the final outcome to be. It's important to pack the mixture into the cookie scoop and to use a spoon to flatten and shape the cookies because doing these things also helps to compact the mixture together which will then allow the ingredients to bind together during baking.
Bake the cookies for about 15-16 minutes or until the the edges turn a medium to dark brown. The longer you bake, the crispier the cookies will be but you do want to make sure the edges don't get too dark.
Remove cookies from oven but don't attempt to move them from the baking sheet until they are set. This will take about 20 minutes. They will not yet be crispy when they first come out of the oven. Once they are no longer hot, the cookies should be fully set and crispy. The best way to remove them is to peel them off the parchment paper or silicone mat instead of using a spatula. Once the cookies are ready, enjoy them right away or store them in an airtight container or sealed bag. I recommend storing them within an hour after they are done baking. If you leave them out in the open too long, they will absorb the moisture in the air which will cause them to soften.",4,▢ 3/4 cup (67 g) quick oats,▢ 1/4 cup (28 g) pecan halves,▢ 1.5 tbsp (22 ml) melted coconut oil,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-crispy-pecan-oatmeal-cookies/,▢ 4 tbsp (2 fl oz/59 ml) maple syrup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Apple Pie Magic Cookies,Jennifer Lee,"by Jennifer Lee on Oct 5, 2024 (updated Aug 5, 2025)",5,1,4 Ingredients or Less,10 minutes,15 minutes,NA,25 minutes,8 cookies,8,"Preheat oven to 350°F (177°C). Line a large baking sheet with parchment paper.
Add apples, coconut flakes and crackers to a large mixing bowl. Mix with a spatula until evenly combined.
Add dulce de leche to a small microwave-safe bowl. Heat in 10 second intervals, stirring in between with a spatula, until the dulce de leche becomes a pourable consistency. It took mine about 20 seconds.
Pour the dulce de leche over the coconut mixture, doing your best to spread it out as it pours on. Make sure to scrape the sides of the small bowl to get out all of the dulce de leche because some of it will stick to the bowl.
Use your spatula to evenly mix the dulce de leche into the coconut mixture. It will be a little difficult because the dulce is so sticky and thick but just keep stirring. Stir for about 45-60 seconds until the dry ingredients are evenly coated in dulce de leche.
Using a 3 tbsp cookie scoop, pack the mixture into the cookie scoop to help it hold together. Release onto your prepared baking sheet. Repeat with remaining cookie dough, spacing each cookie at least 1.5 inches apart.
Lightly wet your hands and then compact, flatten and shape the cookie mixture into round disks. The cookies do not spread much during baking so shape the cookies how you want the final outcome to be.
Bake cookies for about 15-17 minutes or until the tops and edges are dark brown. Allow cookies to cool for a few minutes before eating. Cookies are best enjoyed soon after baking because they become softer when they sit out a while. Uneaten cookies should be stored in the fridge and freezer and can be reheated in oven or a toaster oven to get crispy again.",4,"▢ 1/3 cup (35 g) chopped apples, cut into small pieces, about 1/4 inch cubes","▢ 1 1/2 cups + 2 tbsp (84g) unsweetened coconut flakes, see note before starting","▢ 2 sheets (31 g) cinnamon graham crackers, lightly crumbled to about 1/2 inch pieces",Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-apple-pie-magic-cookies/,▢ 6 tbsp (96 g) canned dulce de leche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Crispy Pumpkin Spice Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Sep 27, 2024 (updated Oct 28, 2024)",5,1,4 Ingredients or Less,10 minutes,12 minutes,NA,22 minutes,12 cookies,7,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add oats and pumpkin pie spice to a large mixing bowl. Mix and stir with a spatula for about 15 seconds or until the pumpkin pie spice is evenly mixed in with the oats.
Drizzle melted coconut oil evenly across. Mix with a spatula for about 20-30 seconds, stopping a few times to scrape the sides of your bowl, until all of the oats are moistened with coconut oil.
Drizzle the maple syrup across. Mix with your spatula until the oats are evenly coated in syrup and start to clump together slightly.
Using a 1 tbsp cookie scoop, pack 1 tbsp of oat mixture into your cookie scoop. Do your best to pack the mixture into the scoop to help the oat mixture hold its form. Release onto your prepared baking sheet. The mixture will be a little loose and not fully hold together. Use the back of a metal spoon to press and shape the mixture until it becomes a thin round disk (between 3/16 and 1/4 inch thick). Repeat with remaining mixture, spacing each about 1 inch apart. If your mixture is too sticky or you are having difficulty shaping, you can lightly wet the back of the spoon with water before using it to press the oat mixture.
Bake the cookies for about 12-15 minutes or until the surface is lightly browned. The longer you bake, the crispier the cookies will be but you do want to make sure the edges don't get too dark.
Remove cookies from oven but don't attempt to move them from the baking sheet until they are fully cooled and set. They will not yet be crispy when they first come out of the oven. Once they are cooled, the cookies will be fully set and crispy. The best way to remove them is to peel them off the parchment paper or silicone mat instead of using a spatula. Once cookies are ready, enjoy right away or store them in an airtight container. Do not leave them out in the open too long because they will absorb moisture from the air which will make the cookies soften and turn sticky.",4,▢ 1 cup (88 g) quick oats,▢ 1 tsp (2 g) pumpkin pie spice,▢ 2 tbsp (1 fl oz/30 ml) melted coconut oil,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-crispy-pumpkin-spice-oatmeal-cookies/,▢ 4 tbsp (2 fl oz/59 ml) maple syrup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Crispy Cinnamon Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Sep 21, 2024 (updated Oct 28, 2024)",5,1,4 Ingredients or Less,10 minutes,11 minutes,NA,21 minutes,11 cookies,5,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add quick oats to a food processor. Pulse oats until they become very small and fine and start to partially become flour consistency. See photo in post for reference. I pulsed mine on high for about 30 seconds. If you are unsure if your oats are fine enough, it's better to pulse them a little longer. The smaller they are, the crispier the cookies will be.
Add peanut butter, maple syrup and cinnamon into the oat mixture. Pulse a few seconds until everything is evenly combined.
Using a 1 tbsp cookie scoop, scoop dough onto the prepared cookie sheet, spacing the dough balls about 2 inches apart. Roll each dough between your palms and then flatten the dough balls into thin round disks. You want the cookies to be fairly thin, about 1/8 inch thick and no more than 3/16 inch thick. The thinner the cookies are, the crispier they will be. The cookies do not spread much during baking, so shape them as you want the final outcome to be. I usually flatten the cookies first with my palm a few times and then smooth around the edges with the back of a spoon to make the cookies round.
Bake cookies for 10-11 minutes or until the surface looks done and the edges turn light brown. The browner the cookies get, the crispier they will be but you want to be careful not to burn them. Let cookies cool completely on the baking sheet before removing them. They will crisp up further as they cool.",4,▢ 3/4 cup (70 g) quick oats,▢ 6 tbsp (96 g) natural peanut butter,▢ 3 tbsp (1.5 fl oz/44 ml) maple syrup,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-crispy-cinnamon-oatmeal-cookies/,▢ 1 tsp (2.3 g) cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Apple Pie Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Aug 28, 2024 (updated Aug 5, 2025)",5,1,4 Ingredients or Less,5 minutes,12 minutes,NA,17 minutes,9 cookies,4,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add oats, apple butter and chopped apples to a large mixing bowl. Stir until the ingredients are evenly mixed and incorporated and the oats are fully coated in apple butter.
Use a 1.5 tbsp cookie scoop and scoop dough balls, releasing them onto the prepared baking sheet, spaced about 2 inches apart. Using your hand or the back of a metal spoon, press down on dough balls to form thick round disks. The cookies will not spread or change shape during baking so shape them as needed until they are how you want them to be.
Bake cookies about 11-13 minutes or until they are done. Be careful not to overcook the cookies or they will turn out dry. Let the cookies cool fully on the baking sheet before removing. They should easily peel off when they are cooled. Store uneaten cookies in the fridge or freezer.",3,▢ 1 cup (84 g) quick oats,▢ 1/2 cup (131 g) unsweetened apple butter with spices,"▢ 1/4 cup (28 g) chopped apples (peeled, cored and cut into 1/4 inch cubes), choose a sweet apple variety",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-apple-pie-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Caramel Apple Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on Aug 22, 2024 (updated Sep 23, 2025)",5,1,NA,10 minutes,15 minutes,NA,25 minutes,10 cookies,4,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
In a large bowl, stir together the oats (or oatmeal) and applesauce until evenly combined. Stir in the heated dulce de leche until evenly mixed. If you are not planning on drizzling more dulce de leche at the end you may want to add 2 more tablespoons of dulce de leche to the cookie dough. You can taste and adjust as needed. I didn't add that much caramel to the dough since I drizzled more on top.
Use a 1.5 tbsp cookie scoop and scoop dough balls, placing them onto prepared baking sheet, spaced 2 inches apart. Using the back of a metal spoon, press down on dough balls to form thick round disks (about 3/8 inch thick). The cookies will not spread or change shape during baking so shape them as needed until they are how you want them to be. If your dough is too sticky you can lightly wet the spoon before shaping.
Bake cookies about 15 minutes or until they are done. If you are unsure if the cookies are set, use a cookie spatula and try to lift a cookie off of the baking sheet. You should be able to lift the cookie off of the sheet without the center sticking to the baking sheet. When cookies are cooled, you can drizzle with additional dulce de leche on top for decoration. You will want to heat the dulce de leche (I heated in my microwave for a few seconds) so that it becomes a thinner consistency that you can drizzle easily.",3,"▢ 1 cup (88 g) quick oats, or instant apple cinnamon oatmeal","▢ 1/2 cup (119 g) sweetened cinnamon applesauce, can use unsweetened and can also use plain applesauce without cinnamon","▢ 2 tbsp (34 g) dulce de leche, slightly heated until easy to stir, plus more for drizzling on top of the cookies",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-caramel-apple-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Lemon Oat Cookies,Jennifer Lee,"by Jennifer Lee on August 10, 2024",5,1,NA,10 minutes,10 minutes,NA,20 minutes,13 cookies,4,"Preheat the oven to 350°F (177°C). Line a large baking sheet with parchment paper and set aside.
Add oat flour, lemon juice, 1 tsp zest, maple syrup and melted coconut butter to a mixing bowl and mix until a soft dough forms. Don't worry if the dough feels a little oily. It won't be oily once baked.
Using a 1 tbsp cookie scoop, scoop dough and place onto your prepared cookie sheet. Roll dough between palms until it forms a smooth round ball. Repeat with remaining cookie dough, spacing the cookie balls at least 1.5 inches apart. Press down on each dough ball with the palm of your hand until it becomes a thick round disk, about 1/4 inch thick. Make sure there is some space between each cookie round. Sprinkle some additional lemon zest on top of each cookie.
Bake cookies for about 10 minutes or until done. When cookies are done, the surface will look cooked and slightly cracked. Let cookies cool completely on the baking sheet.",4,"▢ 1 cup (94 g) oat flour, see note before starting","▢ 1 tbsp (15 ml) lemon juice + 1 tsp lemon zest , (plus additional zest for garnish)",▢ 1/4 cup (2 fl oz/59 ml) maple syrup,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-lemon-oat-cookies/,"▢ 3-4 tbsp (45 g-60 g) coconut butter, melted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Zucchini Bread Cookies,Jennifer Lee,"by Jennifer Lee on August 5, 2024",5,4,NA,5 minutes,20 minutes,NA,25 minutes,12 cookies,5,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add zucchini, applesauce and maple syrup to a large mixing bowl. Stir until the ingredients are evenly mixed. You do not need to drain the zucchini after shredding it. Add in oats and stir until they are evenly mixed in and coated. Taste, and if needed, you can add another 1 tbsp syrup if you desire sweeter cookies. If you want to add mix-ins like chopped nuts or chocolate chips, stir them in now.
Use a 1.5 tbsp cookie scoop to scoop cookie dough and release onto prepared baking sheet, spacing cookies 1.5 inches apart
Use the back of a metal spoon to flatten dough and smooth the sides of each cookie until they are thick round disks (a little less than 1/2 inch thick). If your dough is too sticky, wet the spoon lightly with water and then shape the cookies. The cookies will not spread much during baking, so shape the cookies how you want the final outcome to be. See photo in post for reference.
Bake cookies for about 20 minutes or until done. Let cookies cool before removing and eating. Store uneaten cookies in an airtight container in the fridge or freezer",4,"▢ 1/3 cup (41 g) thinly shredded zucchini, see note",▢ 1/2 cup (129 g) unsweetened cinnamon applesauce,▢ 2 tbsp (1 fl oz/30 ml) maple syrup,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-zucchini-bread-oatmeal-cookies/,▢ 1 cup (89 g) rolled oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
