title,author,datelisted,rating,ratingnum,category,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link
Chick-Shaped Lemon Cookies,Bianca Fernandez,"February 28, 2022_March 20, 2024",4.70,13,Beginner,American,Dessert,15 minutes,12 minutes,NA,NA,12 cookies,10,"In a medium bowl, whisk together all of the dry ingredients: all-purpose flour, baking soda, cornstarch, and salt.
In a large bowl, use hand mixer to cream the butter, sugar, lemon zest, and lemon juice on medium speed until smooth, about 1-2 minutes. Scrape bottom of bowl.
Add egg, lemon extract, and yellow food coloring. If using liquid/gel food coloring, add 2-3 drops. If using powder, add a little less than ⅛ tsp. Mix on medium speed until combined.
Add all of the dry ingredients at once and use hand mixer on low-medium speed. Once most of the dries are incorporated, clean off hand mixer beaters and fold batter using rubber spatula until no dry flour remains.
Preheat oven to 350°F/177°C and line one baking trays with parchment paper or silicone mats.
Use medium cookie dough scoop to gather dough (about 1 ½-2 tablespoons each). Shape into ball, place onto lined baking tray, and flatten slightly with palm of your hand. This will be the chick's head.
For the tufts of hair, take about ¼ tsp of dough, roll shape into ball, and place on top of the head. Repeat with a slightly bigger or smaller piece of dough, and place it next to the other ball.
Place chicks about 3-4 inches apart.
Bake for 10-12 minutes. Cookies should look slightly puffy + soft, and the edges should be set + firm. They should retain their yellow color and not be browned at all.
Let cool on pan for about 5 minutes, then transfer to wire rack. Let cool completely.
To add the faces, use black, white, orange, and pick colored melted white chocolate with oil-based food coloring.
Place into small piping bags and cut a small tip. Use the black for the eyes, white for the very top edge of the eyes, orange for the beak, and pink for the blush.
Enjoy!",12,"▢ 1 ¾ cups all-purpose flour (210g, $0.51)",▢ ½ tsp baking soda ($0.01),▢ 1 tsp cornstarch ($0.01),▢ 1 tsp salt ($0.01),"▢ ½ cup unsalted butter, melted and cooled (1 stick butter/8 tbsp, $1.25)","▢ 1 ½ cup granulated sugar (150g, $0.28)",▢ 1 egg ($0.17),"▢ ½ tbsp lemon zest (½ medium lemon, $0.25)","▢ 3 tbsp lemon juice (1 medium lemon, $0.25)",▢ 1 tsp lemon extract ($0.42),"▢ yellow food coloring (liquid, gel, or powder)",▢ melted white chocolate dyed with oil-based food coloring,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/chick-shaped-lemon-cookies/
Bianca’s Favorite Chocolate Chip Cookies,Bianca Fernandez,"February 5, 2026",NA,NA,Cookies,American,Dessert,20 minutes,11 minutes,NA,1 minute,12 cookies,8,"(Feel free to check out my more in-depth post about brown butter)
In a light-colored pan over medium heat, add ½ cup unsalted butter. Continuously stir with a silicone spatula.
After the butter melts, it will begin to foam. Then, the foaming will subside and brown specks will start to form at the bottom of the pan. Keep stirring. The color change will be fairly quick, so keep an eye on the butter. Remove the pan from heat once you smell a nutty aroma and the butter becomes golden brown.
Transfer to a heat-safe bowl and let cool until room temperature, about 10 minutes. Stir in ½ teaspoon espresso powder.
In a medium bowl, whisk together all of the dry ingredients: 1 ⅓ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt.
In a large bowl, mix the cooled, melted brown butter with ½ cup granulated sugar, ¼ cup brown sugar, and 3 tablespoons malted milk powder until smooth.
Stir in 1 egg and 1 tablespoon vanilla until smooth.
Dump in all of the dry ingredients and ¾ cup dark chocolate, mixing until no dry spots remains.
Scoop dough into 2–3 tablespoon balls and place on a lined baking sheet (spacing does not matter). Chill for 30 minutes.
Preheat oven to 350°F (177°C) during the last 10 minutes.
After chilling, arrange dough balls 3 inches apart on a lined baking sheet. Bake for 9-11 minutes or until edges are set.
Remove tray from oven. Optionally add extra chocolate on top for aesthetics, then sprinkle with flaky sea salt
Cool on sheet for 5 minutes, then transfer to a wire rack to cool completely. Enjoy!",13,▢ 1 ⅓ cups (166.67 g) all-purpose flour,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (4.5 g) fine sea salt,▢ ½ cup (113.5 g) unsalted butter cut into tablespoons,▢ ½ teaspoon (1 g) espresso powder optional,▢ ½ cup (100 g) granulated sugar,"▢ ¼ cup (55 g) brown sugar light or dark, packed",▢ 3 tablespoons (21 g) malted milk powder,▢ 1 (50 g) egg room temperature,▢ 1 tablespoon (13 g) vanilla paste or extract,"▢ ¾ cup dark chocolate chopped chocolate bar, or chips; plus more for topping",▢ flaky sea salt,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/biancas-favorite-chocolate-chip-cookies/
Matcha White Chocolate Cookies (2 Ways!),Bianca Fernandez,"February 3, 2026",NA,NA,Cookies,"American, Asian",Dessert,5 minutes,11 minutes,NA,46 minutes,12 matcha white chocolate cookies,10,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter, ⅓ cup granulated sugar, and ¼ cup light or dark brown sugar until smooth.
Mix in 1 tablespoon matcha powder, 1 egg and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: 1 ½ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain.
At this point, you can fold in white chocolate. Alternatively, you can bake the cookies plain and dip them in melted white chocolate after baking—I did a mix of both!
Scoop 2-3 tablespoon cookie dough balls onto a tray. Cover with plastic wrap and refrigerate for 30 minutes or up to 2 days.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper.
Place cookie dough balls on the lined baking trays, about 3-4 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are set and middles mostly baked through. Sprinkle flaky sea salt.
Tip for rounder cookies (optional): While the cookies are fresh out of the oven and warm, place a large circular cutter or mug on top. Move it around in a circular motion until your cookie is perfectly round! Feel free to add more pieces of white chocolate on top of the cookies with mix-ins.
Cool cookies on pan for 5 minutes, then transfer cookies to a wire rack to cool completely.
For cookies without mix-ins: spread white chocolate on the bottoms of the cookies with a spoon. Alternatively, simply dip the bottoms of the cookies.
Let dry for 15-20 minutes, and enjoy!",12,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ⅓ cup (66.67 g) granulated sugar,▢ ¼ cup (55 g) light or dark brown sugar packed,▢ 1 tablespoon (6 g) matcha powder,▢ 1 (50 g) egg room temperature,▢ 1 tablespoon (13 g) vanilla extract or paste,"▢ ½ cup (66 g) white chocolate chips or chopped bar, plus more for topping",▢ flaky sea salt optional,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/matcha-white-chocolate-cookies-2-ways/
Linzer Cookies,Bianca Fernandez,"February 1, 2026",NA,NA,Cookies,American,Dessert,30 minutes,13 minutes,NA,58 minutes,10 1.75-inch sandwich cookies,13,"In a medium bowl, stir together all of the dry ingredients: 1 cup all-purpose flour, ½ tablespoon cornstarch, ⅓ cup almond flour, ½ teaspoon fine sea salt, and ¼ teaspoon ground cinnamon (optional).
In a large bowl, use an electric mixer to cream the softened ½ cup unsalted butter and ½ cup powdered sugar until light and fluffy.
Mix in 1 tablespoon vanilla and 1 egg yolk until smooth.
Dump in all of the dry ingredients. Fold using silicone spatula until no dry spots remains.
Now, you will make a ""parchment stack"". The bottom layer will be a large piece of parchment paper, the cookie dough in the middle, then parchment paper on top. This will make rolling out the dough much easier + mess free.
Lay large piece of parchment paper down on work surface. Plop on all of the cookie dough, then lay another piece of parchment on top of it. Use a rolling pin to roll out the dough into a large rectangle, until dough is about ¼-inch thick.
Transfer parchment stack to a baking tray and freeze for about 15 minutes. This will make cutting out shapes easier.
Preheat the oven to 350°F/177°C. Line two baking sheets with parchment paper.
This step will help loosen the cookie dough from the parchment paper layers. So when you cut out dough pieces, the dough doesn't stick to the paper and is easier to transfer to your lined baking tray.
Peel off top parchment paper, then lightly stick it back on. Flip the entire parchment-cookie dough-parchment stack over so you can completely peel off the bottom parchment paper.
Using linzer cookie cutters, cut out your desired shapes.
For each sandwich cookie, cut out one cookie with the center punched out (this will be the top) and leave one cookie whole (this will be the bottom). If you don’t have Linzer cutters, use any cookie cutter and a piping tip to punch out the centers.
Transfer cookies to baking sheets, about 2-3 inches apart. The cookies will not spread much while baking.
Tip: Lightly flour your cookie cutter to minimize any sticking. When transferring cut-out cookies to your lined baking sheet, you can slide an offset spatula underneath the cookie to easily pick it up. If the dough is getting too soft, pop it back in the fridge or even the freezer for a few minutes.
Knead together any dough scraps, roll out, and cut out more cookies.
Tip: The colder the cut-out cookies, the more they'll hold their shape when baking! Feel free to freeze your cut-out shapes for 10 minutes before popping them in the oven.
Bake for 11-13 minutes, or until edges are set and very lightly golden. Let cool on pan for about 5 minutes, then transfer to wire rack to fully cool.
Optionally dust powdered sugar on top of the cookies with the cutout centers.
On the cookies without holes, spread or pipe filling. Sandwich with the other cookie half, and enjoy!",11,▢ 1 cup (125 g) all-purpose flour,▢ ⅓ cup (36 g) almond flour,▢ ½ tablespoon (4 g) cornstarch,▢ ¼ teaspoon (0.5 g) ground cinnamon optional,▢ ½ teaspoon (3 g) fine sea salt,▢ ½ cup (113.5 g) unsalted butter softened,▢ ½ cup (60 g) powdered sugar,▢ 1 (18 g) egg yolk room temperature,▢ 1 tablespoon (13 g) vanilla extract or paste; OR ¼ teaspoon almond extract,"▢ powdered sugar for dusting, optional","▢ ¼ cup filling chocolate ganache, matcha ganache, strawberry ganache, cherry jam, lemon curd, etc.",NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/linzer-cookies/
Conversation Heart Cookies,Bianca Fernandez,"January 27, 2026",NA,NA,Cookies,American,Dessert,45 minutes,13 minutes,NA,58 minutes,20 2-inch cut out cookies,18,"In a medium bowl, stir together all of the dry ingredients: 1 ¾ cup all-purpose flour, 1 tablespoon cornstarch, 1 teaspoon baking powder, and ½ teaspoon fine sea salt.
In a large bowl, use an electric mixer to cream the softened ½ cup unsalted butter and ½ cup granulated sugar until light and fluffy.
Mix in 1 tablespoon vanilla and 1 egg until smooth.
Dump in all of the dry ingredients. Fold using silicone spatula until no dry spots remains.
Now, you will make a ""parchment stack"". The bottom layer will be a large piece of parchment paper, the cookie dough in the middle, then parchment paper on top. This will make rolling out the dough much easier + mess free.
Lay large piece of parchment paper down on work surface. Plop on all of the cookie dough, then lay another piece of parchment on top of it. Use a rolling pin to roll out the dough into a large rectangle, until dough is about ¼-inch thick.
Transfer parchment stack to a baking tray and freeze for about 15 minutes. This will make cutting out shapes easier.
While the cookies are freezing, feel free to make the royal icing ahead of time!
Preheat the oven to 350°F/177°C. Line two baking sheets with parchment paper.
This step will help loosen the cookie dough from the parchment paper layers. So when you cut out dough pieces, the dough doesn't stick to the paper and is easier to transfer to your lined baking tray.
Peel off top parchment paper, then lightly stick it back on. Flip the entire parchment-cookie dough-parchment stack over so you can completely peel off the bottom parchment paper.
Use cookie cutters to cut out heart shapes. Transfer cookies to baking sheets, about 2-3 inches apart. The cookies will not spread much while baking.
Tip: Lightly flour your cookie cutter to minimize any sticking. When transferring cut-out cookies to your lined baking sheet, you can slide an offset spatula underneath the cookie to easily pick it up. If the dough is getting too soft, pop it back in the fridge or even the freezer for a few minutes.
Knead together any dough scraps, roll out, and cut out more cookies.
Tip: The colder the cut-out cookies, the more they'll hold their shape when baking! Feel free to freeze your cut-out shapes for 10 minutes before popping them in the oven.
Bake for 11-13 minutes, or until edges are set and very lightly golden. Let cool on pan for about 5 minutes, then transfer to wire rack to fully cool.
In a large bowl, add 2 tablespoons meringue powder and ¼ cup water. Mix on medium speed until very frothy, about 2-3 minutes.
While mixing on medium-low, gradually add 2 cups powdered sugar. Once all of the powdered sugar is fully incorporated, add ½ teaspoon vanilla extract and pinch fine sea salt.
Whip on medium high for about 3-4 minutes until thickened and white. If the consistency is too thick for your liking, add a few drops of water at a time. If it is too thin, try whipping the mixture longer or adding in more powdered sugar.
Note: For a royal icing consistency perfect for both lining and flooding, drag your whisk through the icing. It should smooth back into an even surface within 15–20 seconds.
Now it's time to color your icing. Divide icing into bowls. Work with one color at a time, covering the remaining bowls with damp paper towels to prevent the icing from drying out.
**As dyed royal icing dries, the color does deepen a few shades darker. So if you're going for pastels, go a bit lighter than you normally would.
Stir in gel food coloring until combined.
To minimize air bubbles in your decorated cookies, let icing rest in the bowl for about 15 minutes, so any trapped air can rise to the surface. Pop bubbles with a toothpick.
Transfer icing to piping bags and cut a small tip. Pipe on outlines to all of your heart cookies first, then go back in to flood them.
Let cookies dry on a wire rack at room temperature for 8-24 hours. Once the icing is fully dry, write on custom messages using edible food markers. Enjoy!
Here are custom message ideas, in case you need inspo!
If you want to be sweet: besties, love u, XOXO, miss u
If you want to be funny: no., wtf., boy bye, u smell (good), nvm",15,▢ 1 ¾ cup (218.75 g) all-purpose flour,▢ 1 tablespoon (8 g) cornstarch,▢ 1 teaspoon (4 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt,▢ ½ cup (113.5 g) unsalted butter softened,▢ ½ cup (100 g) granulated sugar,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (50 g) egg room temperature,▢ 2 tablespoons (18 g) meringue powder I also love the brand LorAnn!,▢ ¼ cup (59 g) water,▢ 2 cups (240 g) powdered sugar,"▢ ½ teaspoon (2 g) vanilla extract or ⅛-¼ teaspoon almond, mint, etc. you can also add lemon juice or zest!",▢ pinch fine sea salt,"▢ gel food coloring I used pink, yellow, and green",▢ edible food markers,NA,Bites By Bianca,https://bitesbybianca.com/conversation-heart-cookies/
Cut Out Sugar Cookies,Bianca Fernandez,"January 26, 2026",NA,NA,Cookies,American,Dessert,30 minutes,13 minutes,NA,58 minutes,20 2-inch cut out cookies,12,"In a medium bowl, stir together all of the dry ingredients: 1 ¾ cup all-purpose flour, 1 tablespoon cornstarch, 1 teaspoon baking powder, and ½ teaspoon fine sea salt.
In a large bowl, use an electric mixer to cream the softened ½ cup unsalted butter and ½ cup granulated sugar until light and fluffy.
Mix in 1 tablespoon vanilla and 1 egg until smooth.
Dump in all of the dry ingredients. Fold using silicone spatula until no dry spots remains.
Now, you will make a ""parchment stack"". The bottom layer will be a large piece of parchment paper, the cookie dough in the middle, then parchment paper on top. This will make rolling out the dough much easier + mess free.
Lay large piece of parchment paper down on work surface. Plop on all of the cookie dough, then lay another piece of parchment on top of it. Use a rolling pin to roll out the dough into a large rectangle, until dough is about ¼-inch thick.
Transfer parchment stack to a baking tray and freeze for about 15 minutes. This will make cutting out shapes easier.
Preheat the oven to 350°F/177°C. Line two baking sheets with parchment paper.
This step will help loosen the cookie dough from the parchment paper layers. So when you cut out dough pieces, the dough doesn't stick to the paper and is easier to transfer to your lined baking tray.
Peel off top parchment paper, then lightly stick it back on. Flip the entire parchment-cookie dough-parchment stack over so you can completely peel off the bottom parchment paper.
Use cookie cutters to cut out desired shapes. Transfer cookies to baking sheets, about 2-3 inches apart. The cookies will not spread much while baking.
Tip: Lightly flour your cookie cutter to minimize any sticking. When transferring cut-out cookies to your lined baking sheet, you can slide an offset spatula underneath the cookie to easily pick it up. If the dough is getting too soft, pop it back in the fridge or even the freezer for a few minutes.
Knead together any dough scraps, roll out, and cut out more cookies.
Tip: The colder the cut-out cookies, the more they'll hold their shape when baking! Feel free to freeze your cut-out shapes for 10 minutes before popping them in the oven.
Bake for 11-13 minutes, or until edges are set and very lightly golden. Let cool on pan for about 5 minutes, then transfer to wire rack to fully cool.
Decorate using royal icing or melted chocolates, and enjoy!",9,▢ 1 ¾ cup (218.75 g) all-purpose flour,▢ 1 tablespoon (8 g) cornstarch,▢ 1 teaspoon (4 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt,▢ ½ cup (113.5 g) unsalted butter softened,▢ ½ cup (100 g) granulated sugar,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (50 g) egg room temperature,▢ royal icing or melted chocolates,NA,NA,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/cut-out-sugar-cookies/
Corn Sugar Cookies,Bianca Fernandez,"July 30, 2025",NA,NA,Cookies,American,Dessert,10 minutes,9 minutes,NA,49 minutes,12 corn sugar cookies,9,"(Feel free to check out my more in-depth post about brown butter)
In a light-colored pan over medium heat, add ½ cup unsalted butter. Continuously stir with a silicone spatula.
After the butter melts, it will begin to foam. Then, the foaming will subside and brown specks will start to form at the bottom of the pan. Keep stirring. The color change will be fairly quick, so keep an eye on the butter. Remove the pan from heat once you smell a nutty aroma and the butter becomes golden brown.
Transfer to a heat-safe bowl and let cool until room temperature, about 10-15 minutes.
In a large bowl, use silicone spatula to mix the cooled, melted brown butter with ⅓ cup granulated sugar and ¼ cup brown sugar until combined.
Stir in 3 tablespoons malted milk powder, 1 tablespoon vanilla, and 1 egg until smooth.
Add in all of the dry ingredients: 1 cup all-purpose flour, ¼ cup cornmeal, ¼ cup sweet corn powder, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain.
Cover the dough with plastic wrap and refrigerate for 30 minutes or up to 2 days. In the last 5-10 minutes of chilling, preheat oven to 350°F/177°C and line two baking trays with parchment paper.
In a small bowl or plate, add 4 tablespoons granulated sugar for rolling the dough.
Use cookie dough scoop to gather dough (2-3 tablespoons). Roll into granulated sugar and place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are slightly golden brown and middles are mostly set. Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely.
Tip: For rounder cookies, place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round.
Enjoy!",13,▢ 1 cup (120 g) all-purpose flour,▢ ¼ cup (35 g) cornmeal,▢ ¼ cup (40 g) sweet corn powder,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter,▢ ⅓ cup (66.67 g) granulated sugar,▢ ¼ cup (55 g) brown sugar packed; light or dark,▢ 3 tablespoons (21 g) malted milk powder,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (50 g) egg room temperature,▢ 4 tablespoons granulated sugar,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/corn-sugar-cookies/
Cut-Out Corn Cookies,Bianca Fernandez,"July 25, 2025",NA,NA,Cookies,American,Dessert,20 minutes,9 minutes,NA,44 minutes,12 corn cookies,15,"(Feel free to check out my more in-depth post about brown butter)
In a light-colored pan over medium heat, add ½ cup unsalted butter. Continuously stir with a silicone spatula.
After the butter melts, it will begin to foam. Then, the foaming will subside and brown specks will start to form at the bottom of the pan. Keep stirring. The color change will be fairly quick, so keep an eye on the butter. Remove the pan from heat once you smell a nutty aroma and the butter becomes golden brown.
Transfer to a heat-safe bowl and let cool until room temperature, about 10-15 minutes.
In a large bowl, use silicone spatula to mix the cooled, melted brown butter with ⅓ cup granulated sugar and ¼ cup brown sugar until combined.
Stir in 3 tablespoons malted milk powder, 1 tablespoon vanilla, and 1 egg until smooth.
Add in all of the dry ingredients: 1 ¼ cups all-purpose flour, ¼ cup cornmeal, ¼ cup sweet corn powder, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain. The dough will be thick.
Now, you will make a ""parchment stack"". The bottom layer will be a large piece of parchment paper, the cookie dough in the middle, then parchment paper on top. This will make rolling out the dough much easier + mess free.
Lay large piece of parchment paper down on work surface. Plop on all of the cookie dough, then lay another piece of parchment on top of it.
Use a rolling pin to roll out the dough into a large rectangle, until dough reaches desired thickness. I rolled my dough out to about ¼-inch thick.
Pop the parchment stack into the freezer for 15-20 minutes. This will make the dough easier to work with, especially if you are working in a warm kitchen!
Towards the end of the freezing time, preheat oven to 350°F/177°C and line two baking trays with parchment paper.
This step will help loosen the shortbread from the parchment paper layers. So when you cut out dough pieces, the dough doesn't stick to the paper and is easier to transfer to your lined baking tray.
Peel off top parchment paper, then lightly stick it back on. Flip the entire parchment-shortbread-parchment stack over so you can peel off the bottom parchment paper.
Use bear cookie cutters to cut out desired shapes. If dough is getting too soft, pop it back in freezer for a few minutes.
Knead together any dough scraps, roll out, and cut out more bear cookies.
Transfer cookies to baking sheets, about 2-3 inches apart. The cookies will not spread much while baking.
Bake for 11-13 minutes. Cookies should have slightly firm edges and look set (no wet/underbaked spots in dough). Let cool on pan for about 5-10 minutes, then transfer to wire rack.
Note: You can a piping bag, toothpick, or cookie scribe to add on the details. I used piping bags.
Add 3 tablespoons white chocolate chips to small microwave-safe bowl and microwave in 30-second intervals, stirring in between, until fully melted.
Leave about a tablespoon of melted white chocolate and transfer the rest to a piping bag. Use this for the snouts and ears.
To the remaining white chocolate, add a drop of oil-based pink/red food coloring. Transfer to piping bag and use this for the blush.
If you don't have oil-based food coloring, then the chocolate will seize/become lumpy. To counter this, stir in a tsp of neutral oil (canola, vegetable) at a time, until it becomes smooth again.
Melt ½ tablespoon chocolate chips in another bowl, transfer to piping bag, and use this to draw on the eyes and nose.
Enjoy!",15,▢ 1 ¼ cups (156.25 g) all-purpose flour,▢ ¼ cup (35 g) cornmeal,▢ ¼ cup (40 g) sweet corn powder,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter,▢ ⅓ cup (66.67 g) granulated sugar,▢ ¼ cup (55 g) brown sugar packed; light or dark,▢ 3 tablespoons (21 g) malted milk powder,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (1) egg room temperature,▢ 3 tablespoons (45 g) white chocolate chips,▢ ½ tablespoon (7.5 g) chocolate chips milk or dark,▢ oil-based pink/red food coloring see steps if using regular food coloring,NA,Bites By Bianca,https://bitesbybianca.com/cut-out-corn-cookies/
Mini Funfetti Cookies,Bianca Fernandez,"June 18, 2025",NA,NA,Cookies,American,Dessert,5 minutes,9 minutes,NA,44 minutes,50 mini funfetti cookies,8,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter, ½ cup granulated sugar, and ¼ cup light or dark brown sugar until smooth.
Mix in 1 egg and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: 1 ½ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until mostly combined, then fold in ½ cup rainbow sprinkles.
Cover the dough with plastic wrap and refrigerate for 30 minutes or up to 2 days.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper.
Use cookie dough scoop to gather 1 teaspoon cookie dough ball. Place on lined baking tray, spacing cookies about 3 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are slightly golden brown and middles are mostly set.
For the perfectly aesthetic cookie (optional!), place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round.
Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely. Enjoy!",10,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ½ cup (100 g) granulated sugar,▢ ¼ cup (55 g) light or dark brown sugar packed,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (1) egg room temperature,▢ ½ cup (80 g) rainbow sprinkles,NA,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/mini-funfetti-cookies/
Matcha Sugar Cookies,Bianca Fernandez,"April 27, 2025",5,1,Cookies,"American, Asian, Japanese",Dessert,5 minutes,9 minutes,NA,44 minutes,12 matcha sugar cookies,9,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter, ½ cup granulated sugar, and ¼ cup light or dark brown sugar until smooth.
Mix in 1 tablespoon matcha powder, 1 egg and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: 1 ½ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain.
Cover the dough with plastic wrap and refrigerate for 30 minutes or up to 2 days.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper.
In a small bowl or plate, add 4 tablespoons granulated sugar for rolling the dough.
Use cookie dough scoop to gather dough (2-3 tablespoons). Roll into granulated sugar and place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are set and middles mostly baked through. Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely. Enjoy!
Tip for rounder cookies (optional): While the cookies are fresh out of the oven and warm, place a large circular cutter or mug on top. Move it around in a circular motion until your cookie is perfectly round!
Enjoy!",11,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ½ cup (100 g) granulated sugar,▢ ¼ cup (55 g) light or dark brown sugar packed,▢ 1 tablespoon (6 g) matcha powder,▢ 1 (1) egg room temperature,▢ 1 tablespoon (4 g) vanilla extract or paste,▢ 4 tablespoons (48 g) granulated sugar,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/matcha-sugar-cookies/
