title,author,datelisted,rating,ratingnum,category,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Peanut Butter Melt in Your Mouth,Muna Kenny,25/07/2023_20/09/2024,5,2,Cookies Recipes,American,Cookies,10 minutes,13 minutes,NA,23 minutes,10 Cookies,7,"Preheat oven to 350F/180C.
Line baking sheet with parchment paper.
In a bowl, add the butter and sugar, beat until creamy in texture. Add the vanilla and peanut butter, and beat to combine.
Add the flour and the salt and mix well.
Make 9 balls out of the dough and place on baking sheet. Press down the balls with the bottom of a cup or glass.
Make a small dint in the middle, and then bake for 13 minutes.
Remove from oven and let it cool in the baking sheet for 5 minutes. Transfer to a cooling rack, when cool completely, spoon the jam in the dint created prior baking.",7,7 tablespoons unsalted butter at room temperature,¼ cup soft peanut butter,⅓ cup confectioners’ sugar,½ teaspoon vanilla extract,1 cup all-purpose flour,¼ teaspoon of salt,Strawberry jam or any jam you prefer,NA,Munaty Cooking,https://www.munatycooking.com/peanut-butter-melt-in-your-mouth/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Butter Sticks,Muna Kenny,09/04/2023_30/06/2021,5,1,Cookies Recipes,American,Cookies,10 minutes,30 minutes,NA,40 minutes,20 Cookie,12,"Preheat the oven to 375F/190C.
Line a cookie sheet with parchment paper and set aside.
In a small bowl, mix the sugar and vanilla extract. Cover and set aside.
In a medium mixing bowl, whisk together the flour, salt, and baking powder.
In a large mixing bowl, combine the butter and cream cheese. Beat on low until blended. Add the egg yolk and blend until smooth. Add half the flour mixture and beat on low until combined. Add the remaining flour and mix until the dough comes together.
Transfer the dough to a floured work surface. Knead by hand for a few seconds until the dough is pliable. Roll the dough into a 12×12- inch square. Spread one tablespoon of butter over the dough.
Cut the dough in half and place one half on the prepared cookie sheet, butter side up.
Spoon the sugar mixture to within ½-inch of the dough edges all the way around. Place the remaining dough half, butter side down, over the sugar. Press the edges tightly to seal.
Brush the dough with a lightly beaten egg white. Sprinkle with almonds, gently press it down to ensure it sticks, then sprinkle the coarse sugar.
Bake 25-30 minutes or until golden brown. If you want the cookies to have a crunch to them, bake them for another 9 to 11 minutes.
Cool at least 30 minutes.
Cut the pastry in half lengthwise and then into ½ to 1 inch strips crosswise.",10,¾ cup sugar,2 teaspoons vanilla extract,½ cup unsalted butter plus 1 tablespoon to brush the dough,6 ounces cream cheese or 170 grams,1½ cups all-purpose flour,¾ teaspoon salt,½ teaspoon baking powder,1 large egg separated (white is reserved for glazing),Munaty Cooking,https://www.munatycooking.com/almond-butter-sticks/,⅓ cup sliced almonds,1 teaspoon coarse sugar for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condensed milk cookies (Egg Free Recipe),Muna Kenny,05/01/2023_03/05/2025,4,5,Cookies Recipes,American,Cookies,15 minutes,10 minutes,NA,45 minutes,14 Cookies,10,"Whisk or sift flour with baking powder and salt. Keep it aside.
Melt the butter and then refrigerate for an hour before using it in the recipe.
In a different bowl, beat the butter and sugar until lighter in color.
Add the condensed milk and beat until well combined.
Add the flour mixture and mix slowly until it's combined. Add the chocolate chips and mix gently.
Cover the cookie dough and refrigerate for 20 minutes.
Preheat oven to 180C/350F and line your baking tray with parchment paper.
Take a tablespoon from the dough, roll into a ball, place on the parchment paper and flatten with your fingers or with the bottom of a glass.
Bake for 8 – 10 minutes. 12 minutes of baking will result in a more crunchy cookie if that what you want to go for.
Take out the cookies from the oven but leave them on the baking sheet for 4 minutes and then place them on a cooling rack.",7,¾ cup all-purpose flour,½ teaspoon baking powder,¼ teaspoon salt,7 tablespoons unsalted butter,1 tablespoon sugar,¼ cup sweetened condensed milk,½ cup semi sweet chocolate chips,NA,Munaty Cooking,https://www.munatycooking.com/condensed-milk-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Shortbread Cookies,Muna Kenny,12/12/2022_09/06/2024,NA,NA,Cookies Recipes,British,Cookies,10 minutes,28 minutes,NA,38 minutes,16 Cookies,11,"In a stand mixer, add the butter and confectioners’ sugar, then add the flour, cornstarch and salt. Mix on medium with paddle attachment until combined. The dough should come together easily, and you can form a ball from it.
Add the vanilla to the batter and beat for a few seconds, then add the toasted pecans and mix on low until combined.
Place the dough on a baking sheet lined with parchment paper. Place another parchment paper over the dough and place another baking sheet on top of it. Press the baking sheet down which will help the dough flatten evenly.
Remove the baking sheet on top and the parchment paper. The dough should have an even surface and with the help of scrapper try to make it into a rectangular shape.
Cut the dough horizontally into seven rectangles, then cut it vertically from the middle. In the video I cut a little different because I wanted to have little squares to nibble on but feel free to cut the dough any shape you prefer.
Using a skewer create holes on each rectangle to give it a classic look.
Bake the shortbread in a preheated oven of 160C/325F. If you want the shortbread to come out crispy then bake for 28 minutes. The shortbread is ready when the edges turn light golden.
Remove the cookies from the oven and place them over a cooling rack while in the baking sheet for 10 minutes.
Cut the cookies again since they will spread a little while baking and keep them on the baking sheet to continue cooling.
Removing the cookies before they cool completely will break them.
Serve the cookies with tea, coffee or a big, chilled glass of milk.",7,2 cups all-purpose flour,½ cup cornstarch,½ teaspoon salt,1 cup confectioner’s sugar,240 grams unsalted butter at room temperature around 1 cup,1 teaspoon vanilla,1 cup chopped pecan toasted with butter,NA,Munaty Cooking,https://www.munatycooking.com/pecan-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick Snickerdoodle Cookies,Muna Kenny,10/11/2022_07/06/2024,5,1,Cookies Recipes,American,Cookies,10 minutes,12 minutes,NA,42 minutes,24 Cookies,9,"In a bowl, sift flour, baking powder, baking soda, salt, and cinnamon. Keep aside.
In a different bowl, beat the butter and sugar until creamy. Add the egg, vanilla, milk, and beat until well combined.
While on low speed, add the flour mixture. Mix until the dough comes together.
Cover the dough and refrigerate for 20 minutes.
20 minutes before baking, preheat the oven to 180C/350F. Line a few trays with parchment paper. Or you can use one baking pan and bake the cookies in batches.
Combine the coating ingredients (sugar and cinnamon) in a small bowl.
Roll a tablespoonful of the cookie dough into balls and toss it through the cinnamon sugar to coat. Place on baking trays and flatten slightly.
Bake for 10-12 minutes.
Let the cookies cool on the baking sheet for 3 minutes. Then place the cookies on a cooling rack to cool completly.",12,½ cup unsalted butter softened,¾ cup sugar,1 large egg,1 teaspoon vanilla extract,1 ¾ cups all purpose flour,1 teaspoon salt,½ teaspoon baking powder,¼ teaspoon baking soda,Munaty Cooking,https://www.munatycooking.com/snickerdoodles-fluffy-cookies/,"1 ½ teaspoon cinnamon, optional",2 tablespoon milk,2 tablespoon caster sugar,2 teaspoon cinnamon,NA,NA,NA,NA,NA,NA,NA
Homemade Vanilla Wafers Recipe,Muna Kenny,03/10/2022,NA,NA,Cookies Recipes,American,Cookies,15 minutes,13 minutes,NA,28 minutes,35 Cookies,8,"In a bowl, beat the butter, sugar, and vanilla for 3 minutes on high.
Add the eggs one at a time and beat until combined.
Sift in the flour and baking powder. Mix until combined.
Line a baking sheet with parchment paper.
Place the dough in a piping bag fitted with a medium pastry tip. Pipe on the parchment paper making sure all the cookies are the same size which is about 2 to 2 and a half teaspoons. Since these cookies spread, keep them about 2 inches apart.
Wet your finger or the back of a spoon and lightly flatten the tip of the cookies.
Bake in a preheated oven of 350F/180C for 13 minutes or 15 minutes if you want them crispy all the way. Rotate the baking sheet halfway through the baking time. You will bake the cookies in batches.
Remove the cookies from the oven and place them while still on the baking sheet on a cooling rack. After 3 minutes, remove the cookies from the baking sheet and place them on the cooling rack to cool completely.",6,½ cup unsalted butter at room temperature,1 cup + 2 tablespoon sugar,2 teaspoon vanilla extract,2 large eggs at room temperature,1 ½ cup all-purpose flour,½ teaspoon baking powder,NA,NA,Munaty Cooking,https://www.munatycooking.com/vanilla-wafers-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Almond Biscotti Recipe,Muna Kenny,30/09/2022_20/09/2024,NA,NA,Cookies Recipes,Italian,Cookies,10 minutes,55 minutes,NA,5 minutes,15 cookies,11,"Sift the flour with baking powder and salt, keep aside.
In a different bowl, beat all the wet ingredients, then add the sugar and beat some more.
Add the flour to the wet ingredients and mix gently.
Add the almonds to the dough, fold gently, and do not over-mix.
Dust the baking sheet with flour or use a parchment paper. Transfer the dough to it.
Wet your hands with cold water or dust them with flour, and give the dough a rectangle shape. it Should be 1 inch high.
Bake in a preheated oven 300F/150C for 35 minutes.
Take it out of the oven and let it rest for 10 minutes, slice the log into 1/2 inch slices and place the slices on the baking sheet.
Increase the ovens temperature to 350F/180C.
Bake the slices for 7 minutes on each side.
When done, keep the biscotti on the baking sheet for 3 minutes then transfer to a cooling rack.",8,¼ cup melted unsalted butter,½ cup sugar,1 teaspoons vanilla,2 large eggs,1 ¾ cup all-purpose flour,¼ teaspoon salt,1 teaspoon baking powder,1 cup toasted almond,Munaty Cooking,https://www.munatycooking.com/almond-biscotti/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melting Moments Butter Cookies,Muna Kenny,29/09/2022_21/05/2025,4.88,8,Cookies Recipes,American,Cookies,10 minutes,13 minutes,NA,23 minutes,7 cookies,6,"In a bowl, beat the butter until fluffy and lighter in color.
Add rest of the ingredients to the butter and mix well until creamy in texture.
Line the baking sheet with parchment paper. Take one teaspoon from the mixture and place it on the baking tray, or you can use a cookie press and make different shapes. You can use a piping bag.
Bake the cookies in a preheated oven 350F/180C/Gas mark 4, for 13 minutes, or until the edges look light brown.
Remove the baking sheet from the oven and let the cookies cool while in the baking sheet for five minutes.
Remove the cookies from the baking sheet and place on a wire rack to contnue cooling.",6,¾ cup cake flour,4 tablespoon cornstarch,¼ teaspoon salt,2 ½ tablespoon icing sugar,½ cup butter,½ teaspoon vanilla extract,NA,NA,Munaty Cooking,https://www.munatycooking.com/melt-in-your-mouth-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Slutty Brownies Recipe,Muna Kenny,10/09/2022_06/08/2024,5,1,Dessert Recipes,American,Dessert,15 minutes,30 minutes,NA,45 minutes,11 people,15,"Line a 10-inch baking pan with parchment paper or aluminum foil. If using aluminum foil, it’s best to grease it.
Use a hand mixer or even a whisk to beat the butter with both brown and white sugar until fluffy, creamy, and lighter in color.
Add in the egg and vanilla to the previous mixture and beat until combined.
Add the flour, salt, and baking powder to the butter mixture. Beat slowly using a hand mixer or a whisk until just combined.
Fold in the semi-sweet chocolate chips. Do not over mix, or the cookie layer will come out tough.
Spread the dough in an even layer in the bottom of a 10-inch baking pan.
Place the Oreo cookies on the cookie dough, cover, and refrigerate for at least 15 minutes.
Preheat the oven to 350F/180C.
In a saucepan, add both sugars, chocolate chips, and butter. Melt the mixture on medium heat. Keep mixing to prevent the chocolate chips from burning.
Remove the pan from heat. When the melted mixture is warm, add the vanilla and eggs. Beat until combined.
Add the flour, unsweetened cocoa powder, baking powder, and salt and mix well. Add the walnuts and fold gently for few seconds.
Pour the brownie batter over the Oreo cookies, make sure the brownie batter is spread evenly.
Bake on the shelf above the middle for 30 minutes or until a skewer comes out from the center of the slutty brownies with few crumbs.
Wait until the slutty brownie cools, about an hour, and then cut in squares.
Serve with a scoop of your favorite ice cream.",19,½ cup brown sugar packed,¼ cup granulated white sugar,½ cup butter at room tempreature,1 large egg,1 teaspoon vanilla,1 ¼ cup all-purpose flour,½ teaspoon baking powder,¼ teaspoon of salt,Munaty Cooking,https://www.munatycooking.com/slutty-brownies/,¾ cup chocolate chips,6 tablespoon all-purpose flour,½ cup unsalted butter,2 large eggs,1 teaspoon vanilla,½ cup unsweetened cocoa powder,¾ cup sugar,¼ cup semi-sweet chocolate chips,¼ teaspoon baking powder,¼ teaspoon salt,⅓ cup walnuts optional
Authentic Date Cookies (Lebanese Cookies),Muna Kenny,29/05/2022_29/04/2024,5,2,Cookies Recipes,"Arabian, Middle Eastern",Cookies,15 minutes,12 minutes,NA,7 minutes,7 people,18,"In a large bowl, add the flour and the ghee. Mix the two ingredients for 6 to 7 minutes with your hand.
Cover the dough and refrigerate for 30 to 40 minutes.
In a medium bowl, add the ghee, cinnamon powder and cardamom powder. Add the pitted dates and mix well until the mixture turns smooth and no longer sticky. Cover and keep aside.
In a small bowl, mix the sugar and water, add the honey, and continue mixing until the sugar is almost dissolved. Cover and keep aside.
Remove the dough from the fridge. Knead it for a minute then pour the water honey mixture on it.
Do not knead the dough, just work on gathering the dough from side to side. Kneading the dough will result in tough cookies.
No worries the dough will look super sticky and you might think that it failed, it is supposed to look like that at this stage. And to make sure that your dough didn’t fail, take a bout two tablespoon from it and lightly roll it between your palms to form a ball, you will see that the ball is formed, and it is not as sticky as it looks. (Magic)!
Cover the dough and refrigerate for 50 minutes to an hour.
Take half of the dough and roll it into a 12- to 13-inch-long log. Press it down horizontally and then vertically to help in spreading it evenly.
Take half of the date filling and roll it into a 12- to 13-inch-long log. Place the date filling at the edge of the dough (the side close to you).
Roll the dough up just like when rolling up cinnamon rolls. Cut the log in half and roll it up and down gently just to smooth the surface.
*It’s best to do this step after filling the dough with the dates and rolling it into a log.
In a plate, add the sesame seeds, then to it add the sugar and honey. Mix for a minute, you will feel that the mixture is sticky and heavy. Now add the water and mix for a few seconds, the mixture will now feel much lighter in weight.
Spread it on a large baking sheet.
Now gently roll the on the sesame coating. Careful not to make a thick coating, but if you did, you can remove the access with a pastry or silicon brush. (Do not forget to repeat the previous steps with the remaining half of the dough and filling)!
Cut the log into 2-inch cookies, you can cut it in an angle as shown in the video. To make the cutting easier place the logs in the fridge for 20 minutes and then cut the cookies.
Place the cookies in a lined baking sheet and bake in a preheated oven of 200C/392F for 12 minutes.
To cool, place the cookies on a cooling rack and then serve with coffee or tea.",15,250 gm all purpose flour,125 gm ghee refrigerated or at room temperature if the kitchen is cold,¼ teaspoon cardamom powder,2 teaspoon honey,¼ cup chilled water,1 tablespoon honey,¼ cup sugar,220 gm pitted dates,Munaty Cooking,https://www.munatycooking.com/date-cookies/,2 teaspoon ghee,⅛ teaspoon cardamom powder,⅛ teaspoon cinnamon powder,¾ cup toasted sesame seeds,2 teaspoon sugar,1 tablespoon honey,1 teaspoon water,NA,NA,NA,NA
