title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,source,link,ingredient18,ingredient19,ingredient20
Almond Toffee White Chip Cookies,Chris Scheuer,5, 7 ,Cookies,American,Prep Time 20 minutes mins,Cook Time 40 minutes mins,NA,Total Time 1 hour hr,NA,6,"Preheat oven to 325˚Line two sheet pans with parchment paper for easy clean-up.
Combine soft butter and sugars in a large bowl. Stir until well combined and creamy. Add the egg and stir well.
Slowly add the oil and stir until combined. At first, it will seem like the oil is separated. Just keep stirring and it will all mix in. Stir in the vanilla and almond extracts.
Add the baking soda and salt and stir until well incorporated. Add the all-purpose and almond flours and stir until incorporated then add the Rice Krispies, oatmeal, toffee bit and chopped white chocolate.  Stir until evenly combined.
Scoop dough out onto the prepared cookie sheets (I use a medium-size cookie scoop). Bake 18-22 minutes or until light golden brown. (This is totally optional but I like to bake the cookies for 14 minutes then remove the pan from the oven and sprinkle the top of each cookie with an extra ½ teaspoon of toffee bits for a pretty garnish. Then I return them to the oven until golden.)
If desired, sprinkle the cookies with flaky sea salt then alllow them to cool on the pan for 3-4 minutes before transferring them to a cooling rack. The cookies will be soft at first but will firm up after several minutes.",17,1 cup very soft butter,¾ cup granulated sugar,¾ cup light brown sugar packed,1 large egg,"1 cup mild-tasting​ oil sunflower, grape seed, canola or safflower will all work well)",¼ teaspoon almond extract,2 teaspoons vanilla extract,1 teaspoon baking soda,1 teaspoon salt,1 ¼ cups almond flour,2 ¾ cups all purpose flour,"1 cup crisp rice cereal, like Rice Krispies",1 cup old fashioned rolled oats not quick oats,"1 cup toffee bits, I use Bits of Brickle by HEATH - available at most larger grocery stores in the same area as the chocolate chips.","8 ounces white chocolate chips, roughly chopped or 8 ounces mini white chips (1 ½ cups)","extra toffee bits for garnish, if desired","flaky sea salt for topping, if desired",The Cafe Sucre Farine,https://thecafesucrefarine.com/almond-toffee-white-chip-cookies-one-bowl-no-mixer/,NA,NA,NA
Easy Decorated Christmas Shortbread Cookies,Chris Scheuer,4.97, 27 ,"Cookies, Dessert",American,Prep Time 25 minutes mins,Cook Time 34 minutes mins,NA,Total Time 59 minutes mins,NA,12,"Line 2 sheet pans with parchment paper. Set aside.
Place soft butter in a medium-size mixing bowl. Stir with a wooden spoon or sturdy spatula until nice and smooth. Add powdered sugar and vanilla. Mix together by hand for about 30 seconds, until fluffy and well blended.
Sprinkle the flour and cornstarch evenly over the top. Stir until flour is incorporated and the dough is shaggy. Turn out onto a lightly floured surface and press dough in a ball. Knead a few times until fairly smooth then form into a ball again and press with your hands into a flat disk.
On a lightly floured work surface, roll out dough to a ⅜-inch thickness. Keep work surface, dough and rolling pin lightly dusted with flour. Cut circles and place on prepared pans. Re-roll scraps as many times as needed to use up the dough.
Place cutouts in the refrigerator for at least one hour or up to 24 hours.
When ready to bake, preheat oven to 350˚F. Remove cookies from refrigerator and bake for 12-16 minutes or until just beginning to turn golden at the edges. Rotate pans halfway through for even browning. Cool completely before icing.
Combine powdered sugar, half and half and ¼ teaspoon peppermint (or other flavored) extract in a medium-size bowl. Mix until smooth. The glaze should be thick but pourable. Add a little more half and half if too thick. Taste the glaze and add more peppermint extract, if needed (see the note above in the post). 
Dip the tip of a small knife into the blue food coloring and swirl some of it into the icing. Stir well and add more food color until desired shade of blue is achieved. Transfer the glaze to a shallow bowl.
Holding onto the edges of a cookie, dip the top surface into the glaze, being sure all of the surfaces touch the glaze. Pull cookie up and out of the glaze. Allow excess glaze to drip back into a separate bowl. 
When the glaze stops dripping, quickly flip the cookie right side up and give it a gentle jiggle to allow the glaze to flow evenly over the surface. Repeat with remaining cookies. Allow glaze to dry for 15-30 minutes.
Place butter in a medium-size bowl and stir until smooth. Add powdered sugar, 1½ tablespoons of half and half and the mint extract and stir vigorously until smooth, adding a bit more half and half, if needed to achieve a fairly thick but spoonable consistency.
Place buttercream in a pastry bag fitted with a small round icing tip (I used a Wilton #3 round tip). Starting at the upper edge of one cookie, pipe the Christmas trees by making increasingly wider lines, stopping about ¼-inch above the lower edge of the cookie (see pictures in the post). Immediately sprinkle trees with a few more white nonpareils. Set aside to dry.",15,8 ounces very soft salted butter,½ cup powdered sugar,1 teaspoon vanilla extract,1 ¾ cups all-purpose flour,¼ cup cornstarch,2 cups powdered sugar,"4 tablespoons half and half, or milk, maybe more",¼-1 teaspoon peppermint extract,"blue paste food coloring, I used Wilton Delphinium Blue",1 tablespoon very soft butter,1 cup powdered sugar,"1 ½-2 tablespoons half and half, or milk",½ teaspoon peppermint extract,white nonpareils,"small white pearlized snowflakes for the tree topper, optional",NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-decorated-christmas-cookies/,NA,NA,NA
"Crispy, Chewy Carolina Coconut Cookies",Chris Scheuer,5, 38 ,"Cookies, Dessert",American,Prep Time 20 minutes mins,Cook Time 28 minutes mins,NA,Total Time 48 minutes mins,NA,9,"Preheat the oven to 350˚F. Line two sheet pans with parchment paper for easy cleanup.
Combine the soft butter, sugars and egg in a medium-size mixing bowl. Stir with a sturdy spatula until nice and smooth.
Add the vanilla and baking soda and stir to combine.
Stir in the flour, a little at a time and the salt. Mix just until any traces of flour have been mixed in. Add 1 ½ cups of the coconut, reserving the other half cup in a small bowl.
Scoop up the cookies in 2 tablespoon portions. Roll the tops and sides of the dough balls in the reserved coconut and place on the prepared sheet pans with 2 inches between each one.
Bake for 12-16 minutes until light golden brown. Remove from the oven and quickly top each cookie with 1-1½ teaspoons of the toffee bits. Alternatively, you can sprinkle each cookie with ½-1 teaspoon of Turbinado or Demerara raw sugar.
Return the cookies to the oven and bake for another 2-3 minutes until nicely golden brown.
Cool on the cookie sheet for 2-3 minutes then transfer to a cooling rack to cool.
Store in an airtight container for 3-4 days or in the freezer for 1-2 months.",10,½ cup very soft butter,"½ cup light brown sugar, packed",½ cup white sugar,1 egg,1 teaspoon vanilla extract,½ teaspoon baking soda,1 ¼ cups all-purpose flour,¼ teaspoon salt,"2 cups coconut flakes, (divided) I've used both sweetened and unsweetened with good results","toffee bits, or raw, coarse sugar like Turbinado or Demerara for topping (I use about ½ cup toffee bits)",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/crispy-chewy-carolina-coconut-cookies/,NA,NA,NA
Meltaway Cookies with Pumpkin Pie Buttercream,Chris Scheuer,5, 7 ,"Cookies, Dessert",American,Prep Time 20 minutes mins,Cook Time 30 minutes mins,NA,Total Time 50 minutes mins,NA,9,"Heat the oven to 350˚F. Line two baking sheets with parchment paper.
In a medium-large bowl stir the soft butter, vanilla and almost extract until nice and smooth. Add the baking powder and salt and stir to combine. Add the powdered sugar and cornstarch. Stir again until smooth and lump-free. Lastly add the flour and stir. At first the mixture will be quite shaggy. Keep stirring until the dough comes together and the flour is incorporated.
Refrigerate the dough for 10 minutes then proceed with step 4.
Scoop up the dough into 1-1½ tablespoon scoops and roll with the palms of your hands into balls. Place the balls on the prepared sheet pans, spacing them about 2 inches apart. Press gently on each cookie with the back of a fork to flatten just a bit. Sprinkle each cookie lightly with sugar. (I like to use cane sugar which is just slightly coarser than regular granulated sugar.)
Bake for 15-20 minutes until the cookies are a light golden brown at the edges. Remove from the oven and sprinkle lightly with a bit more sugar. Cool on the sheet pan for 1 minute then transfer to a cooling rack to cool completely before filling.
Combine the soft butter, vanilla, pumpkin pie spice, half and half and 1 cups of the powdered sugar in a medium size bowl. Stir with a sturdy spatula or wooden spoon until well combined. Add the remaining powdered sugar and stir until nice and smooth. You want a smooth, spreadable icing. If it seems too thin, add a bit more powdered sugar. If it's too thick add more half and half, a few drops at a time.
Add 2 drops orange food color. Stir until well combined. Add more, one drop at a time, stirring well after each addition, until desired color is achieved. You can also use orange gel food color. Add a bit on the tip of a toothpick, then stir and add more (with a clean toothpick) until desired color is achieved).
Spread a layer of the pumpkin buttercream on the flat side of half of the cookies, and then cover with the remaining cookies to make sandwiches. You can also place the buttercream in a pastry bag or ziplock bag. Snip a tiny corner off of the bag and pipe the buttercream onto the cookies.
Store the finished cookies between sheets of parchment or wax paper in a cookie tin or container with a tight-fitting cover.",14,"12 tablespoons very soft butter, not melted, I used salted butter",1 teaspoon vanilla extract,⅛ teaspoon almond extract,⅓ cup cornstarch,⅔ cup powdered sugar,½ teaspoon baking powder,¼ teaspoon kosher salt,"1⅓ cups all-purpose flour, spooned into measuring cup and leveled-off with back edge of knife","4 tablespoons soft butter, (I use salted)",1 teaspoon vanilla extract,¾ teaspoon pumpkin pie spice,2 ½ tablespoons half and half,1 ½ cups powdered sugar,"orange food color, liquid or gel",NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/meltaway-cookies-with-pumpkin-pie-buttercream/,NA,NA,NA
Belgian Shortbread Cookies,Chris Scheuer,4.94, 15 ,"Cookies, Dessert",Belgian,Prep Time 25 minutes mins,Cook Time 20 minutes mins,NA,Total Time 45 minutes mins,NA,6,"Line 2 sheet pans with parchment paper. Set aside.
Place soft butter in a medium-size mixing bowl. Stir with a wooden spoon or sturdy spatula until nice and smooth. Add sugar and vanilla. Stir together until well blended. Add the spices and salt and stir until the spices are evenly incorporated.
Add the flour and cornstarch. Stir until flour is incorporated and the dough is shaggy. Generously flour a work surface. Turn the dough out onto the floured surface and knead it a few times until it’s nice and smooth and no longer sticks to the work surface. Form the dough into a ball then divide the ball in half. Form each half into a round ball. Don’t be afraid to use more flour if the dough still seems sticky. Press each half with your hands to form a disc. Set aside one disc, covered with plastic wrap or a small bowl to keep dough from drying out.
Keeping the surface and rolling pin lightly floured, roll out dough to ¼-inch thickness. Cut desired shapes and place on prepared pans, spacing 1 inch apart. (If the cutouts seem to be sticking to the work surface, dust the surface with a little more flour.) Re-roll scraps as many times as needed to use up the dough.
Place the pan(s) with the cutouts in the refrigerator for at least 30 minutes (or up to 24 hours).
When ready to bake, preheat oven to 350˚F. Remove cookies from refrigerator and bake one sheet at a time for 15-20 minutes or until evenly golden. Allow the cookies to cool on the pan for 2-3 minutes then transfer to a wire rack to cool completely.",11,"8 ounces butter (2 sticks) , I used salted",⅔ cup brown sugar,1 teaspoon vanilla extract,1 ½ teaspoons cinnamon,½ teaspoon ginger,½ teaspoon cardamom,¼ teaspoon ground cloves,½ teaspoon kosher salt,1 ¾ cups all-purpose flour,¼ cup cornstarch,"granulated sugar, cane sugar or vanilla sugar, for sprinkling",NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/belgian-shortbread-cookies-with-free-printable-labels-for-gifting/,NA,NA,NA
Reese's Peanut Butter Cup Cookies,Chris Scheuer,5, 12 ,Dessert,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,NA,7,"Preheat the oven to 350˚F degrees. Line two sheet pans with parchment paper for easy cleanup.
Place butter in a microwave-safe bowl and microwave on high for 25-30 seconds. Butter should be only partially melted (see pic above).
Add sugars and egg and stir well. Add peanut butter and vanilla, and stir until smooth.
Sprinkle flour, baking soda and salt evenly over the butter mixture and stir until all flour is incorporated. Add half of the chopped Reese’s peanut butter cups and stir to distribute evenly.
Scoop dough in mounds then roll into balls and place about 2 inches apart on prepared pans. Bake for 14-16 minutes or until golden. If baking both pans at the same time, rotate pans halfway through baking time. 
Remove from oven and immediately top cookies with remaining chopped peanut butter cups. I use about 5 or 6 pieces per cookie.
Transfer cookies to a metal rack to cool completely. Enjoy!!",10,"½ cup cold butter, 4-ounces",½ cup granulated sugar,½ cup brown sugar,1 large egg,½ cup smooth peanut butter,1 teaspoon vanilla extract,1 ⅓ cups flour,1 teaspoon baking soda,½ teaspoon salt,"1 cup roughly chopped Reese’s peanut butter cups, 18-20 miniature cups, about 6 ounces",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/one-bowl-reeses-peanut-butter-cookies/,NA,NA,NA
French Shortbread Cookies (Sablés Bretons),Chris Scheuer,4.96, 25 ,"Baked Goods, Dessert/Cookies",French,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,9,"Preheat the oven to 375˚F. (190˚C.) Line two baking sheets with parchment paper. Set aside.
In a medium size bowl, combine the soft butter and sugars. Stir until smooth and well combined.
Add the egg yolks and vanilla extract and stir to incorporate. Add the flour and stir just until all of the flour disappears. The mixture will seem crumbly at first. Just keep stirring until it starts to come together.
Sprinkle a work surface with flour. Have some extra flour on the side in a small cup.
Turn the dough over several times to coat lightly with the flour then divide the dough in two and cover one half with a piece of plastic wrap.
Keeping the surface and your rolling pin lightly dusted with flour at all times, roll out the dough to the desired thickness. I like mine about a ¼ inch thick for thinner cookies and closer to ⅜ for thicker ones like in this post. You can go thinner or thicker it’s just important to keep the surface underneath the dough lightly floured as you roll. (I also like to dip my cookie cutter in flour before cutting each cookie to keep the dough from sticking to the cutter.)
Use a cutter of your choice (I used a scalloped 3-inch cutter) to cut out the cookies, transferring them to one of the prepared sheet pans as you go. Space the cookies 2 inches apart.
Bring the dough scraps together, then roll out more cookies until the dough is used up. Repeat with second ball of dough. Sprinkle the cookies lightly with granulated sugar, cane sugar or Vanilla Sugar. Chill the cookies in the refrigerator for 15-30 minutes before baking.
Bake the cookies for 12-14 minutes or until light golden brown. If the cookies have puffed a bit or have some little bubbles, you can flatten them at this point with the back of a flat metal spatula. Sprinkle lightly with a bit more sugar. Transfer the cookies to a wire cooling rack to cool completely.",7,"1 cup very soft butter, I use salted butter",¼ cup granulated sugar,½ cup powdered sugar,2 egg yolks,1 teaspoon vanilla extract,"2 cups plus 2 tablespoons all purpose flour, more for the counter","granulated sugar or Vanilla Sugar, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/french-shortbread-cookies-sables-bretons/,NA,NA,NA
Ridiculously Easy Lemon Blueberry Shortbread Bites,Chris Scheuer,5, 8 ,"Cookies, Dessert","American, British",Prep Time 20 minutes mins,Cook Time 15 minutes mins,NA,Total Time 35 minutes mins,NA,9,"Combine dried blueberries and apple juice or water in a microwave-safe cup or bowl. Stir to coat. Cover the bowl or cup with a damp paper towel and microwave on high or 45 seconds. Stir again and set aside to cool while you make the dough.
Preheat oven to 350˚F (177˚C). Spray two 12-cup mini muffin pans (or 1 24-cup mini muffin pan) with non-stick cooking spray. Set aside.
Combine butter, sugars, lemon zest, vanilla and salt in a medium-size bowl and stir with a silicone spatula or wooden spoon well until smooth and creamy.
Add the flour and cornstach and stir from the bottom up until completely incorporated. The dough will be a little crumbly but make sure there is no dry flour at the bottom of the bowl.
Drain off any excess liquid from the plumped blueberries then turn them out onto several thicknesses of paper toweling. Pat well to remove any extra moisture.
Add the blueberries to the dough and stir gently to evenly incorporate.
Using a small cookie scoop or tablespoon scoop up the dough into 24 portions. Each one should be approximately 1 tablespoon or right around 30g. Place the scoops of dough in the cups of the prepared pan and flatten with your hand. The dough will pretty much fill the cups. Sprinkle lightly with sugar and bake until the tops are gold brown, about 12-15 minutes.
At this point, you can leave the shortbread bites just as they are or flatten the tops with the bottom of a small glass or metal measuring cup and sprinkle with a bit more sugar. Allow the cookies to cool in the pan for 5 minutes, then use a thin-bladed, small sharp knife along one edge to gently remove the cookies to a cooling rack.
Allow to cool completely than store in an airtight container. These cookies also freeze well!",10,⅔ cup dried blueberries,"1 tablespoon apple juice, orange juice or water",1 cup very soft butter,"½ cup white sugar, plus additional for sprinkling",¼ cup powdered sugar,finely grated zest from 1 medium-size lemon,1 teaspoon vanilla extract,¼ teaspoon salt,1 ¾ cups all-purpose flour,¼ cup corn starch,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-lemon-blueberry-shortbread-bites/,NA,NA,NA
Ridiculously Easy Peanut Butter Shortbread Cookies,Chris Scheuer,5, 12 ,"Dessert, Snack",American,Prep Time 25 minutes mins,Cook Time 25 minutes mins,NA,Total Time 50 minutes mins,NA,11,"Preheat the oven to 350°F. Spray two 12-cup muffin pans with non-stick cooking spray and set aside.
You can also use a 9-inch cake pan or a 9 or 10-inch tart pan with a removable bottom. If using a cake pan, spray the pan generously with non-stick spray then line the bottom with a circle of parchment paper and set aside. If using a tart pan, spray the pan with non-stick spray and line a sheet pan with foil. Set both aside.
Combine butter, peanut butter, sugar, vanilla and salt in a medium-size bowl and stir with a silicone spatula or wooden spoon until well smooth and creamy.
Add the flour and stir from the bottom up until completely incorporated. The dough will be a little crumbly. Stir in the chocolate chunks or chips. (I like to reserve some of the chocolate to press into the tops of the cookies before baking.)
If using a cake or tart pan, skip this step and proceed to step 4. Otherwise, scoop up the dough into 24 portions and roll each portion into a ball. Flatten one ball in the palm of your hand then place it in one of the cups of the prepared pan(s). Repeat with remaining balls. The dough disks should fill the bottoms of the muffin cups.
If using a cake or tart pan add the dough to the pan and press in to create an even surface.
Sprinkle the top of the dough with sugar, if desired. Bake the cookies in the muffin cups for 15-20 minutes or until lightly golden brown. Bake the shortbread in the cake or tart pan for 25-30 minutes or until light golden brown.
Allow the cookies in the muffin pans to cool for 5 minutes then, use a thin-bladed, small sharp knife along the edges to gently remove the cookies to a cooling rack.
Allow the shortbread in the cake or tart pan to cool for ten minutes then remove to a cutting board and cut into wedges while warm. Allow the wedges to cool on a cooling rack.
*For extra-crisp wedges of shortbread, turn off the oven and allow it to cool for 30 minutes then place the shortbread wedges on a sheet pan and place in the oven until completely cool.
Store cookies in an airtight container. These cookies also freeze well in an airtight container.",8,"¾ cup very soft butter, I use salted butter","⅓ cup creamy peanut butter, not natural",⅔ cup granulated sugar,1 teaspoon vanilla extract,¼ teaspoon kosher salt,2 cups all-purpose flour,"4 ounces semi-sweet or milk chocolate bar , chopped into small chunks with a knife or 4 ounces of semisweet or milk chocolate chips (chocolate is optional)","sugar for sprinkling, You can use coarse sugar, Turbinado sugar, Demerara sugar or regular granulated sugar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-peanut-butter-shortbread-cookies/,NA,NA,NA
Honey Caramel Almond Shortbread Bars,Chris Scheuer,4.86, 14 ,"Dessert, Sweet Treats",American,Prep Time 15 minutes mins,Cook Time 45 minutes mins,NA,Total Time 1 hour hr,NA,12,"Preheat the oven to 350°F with a rack set in the middle. Spray the bottom and sides of a 9x9-inch square baking pan with non stick baking spray. Line the bottom and up two sides of the pan with parchment paper, leaving about 1 inch overhanging at the top of the pan of each side. Lightly spray the parchment with baking spray and rub with a paper towel.
Combine the soft butter, sugar and vanilla in a medium-large bowl. Stir well with a silicone spatula or wooden spoon to combine. Add the vanilla and salt and stir again.
Add the flour and stir until all the flour is incorporated, scraping the sides of the bowl as you go. The dough will be crumbly, but all of the flour should be mixed in.
Spread the crumbs across the bottom of the prepared pan and press them into an even layer with lightly floured hands.
Bake on the middle rack for 22-25 minutes, or until light golden brown.
Transfer the pan to a cooling rack. Increase the oven temperature to 425°
Towards the end of the baking time, start making the caramel/almond topping. In a medium-size microwave-safe measuring cup or bowl, combine the cream, honey, vanilla and butter. Microwave on high power for 2 minutes. Set aside.
In a heavy medium-sized saucepan, combine the sugar, water and corn syrup and water and bring to a boil over moderately high heat, stirring just to combine. Don’t stir after this.
Cook the syrup over moderately high heat, swirling the pan occasionally, until a medium amber caramel forms, about 8-10 minutes. (Watch the syrup carefully the last couple minutes, swirling the pan more frequently at this point to prevent burning). Remove from the heat.
Carefully add the honey/cream mixture (it will bubble furiously) and stir to combine. Return the pan to the burner and cook the caramel over moderately high heat, stirring frequently until a candy thermometer registers 255°, about 7-10 minutes. Stir in the almonds and immediately pour the caramel mixture over the shortbread, spreading to an even layer.
Return the pan to the oven and bake for 7-10 minutes, or until the topping is bubbling all over and a nice deep golden brown. Transfer the pan to a cooling rack and sprinkle with flaky sea salt, if desired. Allow to cool completely before cutting. I like to allow at least 2 hours.
Run a thin-bladed knife along the two edges of the pan that do not have parchment to loosen the shortbread. Pull up on the parchment paper and transfer the shortbread to a cutting board. Using a sharp, heavy knife, cut the pastry into desired size squares.",14,"6 ounces very soft butter (in the U.S. that's 1½ sticks), (I use salted butter)",6 tablespoons sugar,1 teaspoon vanilla extract,¼ teaspoon salt,1 ½ cups plus 2 tablespoons all-purpose flour,½ cup heavy cream,½ cup honey,1 teaspoon vanilla extract,"4 ounces butter (in the U.S. that's 1 stick), cut into 8 pieces (I use salted butter)",1 cup plus 3 tablespoons granulated sugar,1 tablespoon light corn syrup,⅓ cup water,"3 cups sliced almonds, 12 ounces","flaky sea salt, optional",NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/honey-caramel-almond-shortbread-bars/,NA,NA,NA
Ridiculously Easy Salted Caramel Shortbread Bites,Chris Scheuer,5, 11 ,"Dessert, Sweet Treats",American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,8,"Preheat the oven to 325˚F. Spray two 12-cup mini muffin pans (or one 24-cup mini muffin pan) with baking spray. Rub each cup with a piece of paper toweling to make sure they’re thoroughly coated, including the top edges.
Place the soft butter and powdered sugar in a medium-size bowl and stir until smooth and creamy. Add the vanilla and stir to combine. Sprinkle in the corn starch and stir until nice and smooth.
Add the flour and salt and stir, turning the bowl and stirring from the bottom up. At first, the dough will be very shaggy and dry, but after a minute or so it will come together nicely. Just keep stirring until all of the flour is incorporated and the dough comes together in a big clump.
Divide the dough into 24 equal portions. You can eyeball this or use a scale. I weigh the dough and then divide it by 24. It usually comes out to 25-26g each. Give each portion of dough a little squeeze and hold it in your hand for about 10 seconds (to compress and warm the dough a bit) then roll it between your palms into round balls.
Place each ball into one of the prepared mini muffin cups and flatten each one gently with your fingers. Using a ½ teaspoon measuring spoon (see the pictures above in the post), make an indention in the center of each flattened ball. (I like to do about 3 at a time: squeeze 3 portions, roll them into balls then make the wells. This keeps the dough from drying out and cracking when you make the little wells.) If the dough cracks at the edges, just push it together with your fingers while the spoon is still in the center.
Place the pan(s) in the preheated oven and bake for 10 minutes then remove the pan from the oven and reinforce the wells again with a half teaspoon measuring spoon. Bake for another 8-12 minutes or until the outer edges of each tart are a medium golden brown. Remove from the oven and immediately reinforce the center wells one last time, by pushing in with the ½ teaspoon measuring spoon. You can make the wells as shallow or deep as you’d like at this point.
Allow the tart shells to cool in the pan for 10 minutes then remove them from the pan by inserting a small sharp knife into the center of each shell and pulling upward. Cool completely on a cooling rack before filling.
Unwrap the caramels and place them in a small saucepan. Add the cream or half and half. Heat over medium-low heat until the caramels are melted. Stir well to create a creamy sauce. Leave the caramel sauce on the burner with the lowest heat beneath it to keep it nice and spoonable. Spoon the sauce into the tart shells, filling to the top of the well. Sprinkle with flaky sea salt and allow the shortbread bites to cool completely.",8,"8 ounces very soft butter, (2 sticks) I use salted butter",1 cup powdered sugar,2 teaspoons vanilla extract,¼ cup corn starch,1 ¾ cups all purpose flour,¼ teaspoon salt,"10-12 ounces soft caramels, I use Werther's soft caramels",1 tablespoon heavy cream or half and half,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-salted-caramel-shortbread-bites/,NA,NA,NA
Mexican Cinnamon Sugar Shortbread,Chris Scheuer,5, 3 ,"Cookies, Dessert, Gifts from the Kitchen, Snacks","American, Mexican",Prep Time 30 minutes mins,Cook Time 20 minutes mins,Chilling time 1 hour hr,Total Time 1 hour hr 50 minutes mins,NA,14,"Line two sheet pans with parchment paper. Combine the 3 tablespoons of sugar and the ½ teaspoon of cinnamon in a small bowl and set aside.
Place the butter in a medium-sized bowl and stir with a spatula or wooden spoon until nice and fluffy, about 30 seconds. Add the powdered sugar and stir again until well combined.
Add the egg and vanilla extract and stir for another 30-45 seconds until fluffy and well combined.
Add the cinnamon and salt and stir to combine then add the flour and stir until combined and there is no dry flour. The mixture will seem crumbly at first. Just keep stirring until it starts to come together.
Sprinkle a work surface with flour. Have some extra flour on the side in a small cup.
Turn the dough over several times to coat with the flour then divide the dough in two and cover one with a piece of plastic wrap.
Keep the surface and your rolling pin lightly dusted with flour at all times, roll out the dough to the desired thickness. I like mine about a ¼ thick but you can go thinner or thicker it’s just important to keep the surface underneath the dough lightly floured as you roll.
Use a cutter of your choice to cut out the cookies, transferring them to the prepared sheet pans as you go.
Place the sheet pans in the refrigerator to chill for at least an hour and up to 24 hours. If you don’t have a lot of room in your refrigerator, you can put all the cookies on one pan to chill, then divide them up on the two pans before baking.
When ready to bake, preheat the oven to 350˚F.
Remove the cookies from the refrigerator and bake for 10 minutes. Remove from the oven and flatten each cookie with a flat metal spatula (optional) then sprinkle with the cinnamon sugar mixture.
Return to the oven and bake for another 5-10 minutes until golden brown. Thinner cookies will take less time, thicker cookies will take more.
Remove from the oven and transfer to a cooling rack to cool completely before enjoying or storing in an airtight storage container.
If you remove the cookies from the oven and and let them cool but find they aren’t as crisp as you would like you can return them to the oven for an additional few minutes.",9,3 tablespoon granulated or cane sugar,"½ teaspoon cinnamon, optional",1 cup very soft butter,1 cup powdered sugar,1 large egg,2 teaspoons vanilla extract,2 teaspoons ground cinnamon,½ teaspoon salt,2 ½ cups all purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/mexican-sugar-cinnamon-shortbread-polvorones-de-canela/,NA,NA,NA
