title,author,up_date,rating,ratingnum,comments,category,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20
Brownie Cookie Recipe,Kate Dean,"April 2, 2024",4.97,462,"1,131 Comments",Cookies,Dessert,American,45 minutes,13 minutes,NA,58 minutes,36 cookies,11,"Melt bittersweet chocolate chips and butter in a heavy saucepan over low heat, stirring constantly until melted and well-combined.
Remove from heat, and set aside.
In the bowl of a stand mixer fitted with a paddle attachment, beat the eggs, sugars, vanilla, baking powder, and salt on high speed 5 minutes, or until the batter is thick and creamy. This step is key, so make sure to beat the mixture for the full 5 minutes.
Reduce the speed to low, and mix in the melted chocolate until well-combined.
Stir in flour and cocoa powder just until combined.
Add nuts, if using, and mini chocolate chips. Stir in to combine. The batter should be the consistency of a thick brownie batter at this point.
Cover the batter, and chill for 30 minutes.
Preheat oven to 350 F. Line two baking sheets with parchment paper.
Using a 1.5 tablespoon cookie scoop, drop batter onto the prepared cookie sheets about 2 inches apart.
Bake cookies 8-10 minutes. The cookie will look set at the edges but still be a little wet looking in the center. Don’t overbake, or the cookies won’t be crackly and fudgy.
The shiny, crackly crust will develop as the cookies cool on the baking sheet.",12,▢ 12 ounces bittersweet chocolate chips 60-70% cacao,▢ ½ cup butter,▢ 3 large eggs,▢ 1 cup granulated sugar,▢ ¼ cup brown sugar,▢ 1 tablespoon vanilla extract,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ ¾ cup all-purpose flour,▢ ¼ cup unsweetened cocoa powder¹,"▢ 1 cup pecans chopped, optional",I Heart Eating,https://www.ihearteating.com/brownie-cookie-recipe/,▢ ½ cup mini semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Cookies,Kate Dean,"March 12, 2021",5,3,1 Comment,Cookies,Dessert,American,25 minutes,8 minutes,NA,33 minutes,40 cookies,11,"Preheat the oven to 350 F. Line two baking sheets with parchment paper or silicone baking mats; set aside.
In a medium bowl, whisk together flour, baking soda, baking powder, cinnamon, ginger, nutmeg, allspice, and salt.
With an electric mixer (either hand or stand), beat together the oil and sugars until light and creamy, about 5 minutes.
Beat in the eggs and the vanilla until combined.
Stir in the flour mixture just until combined.
Stir in the carrots, nuts, and coconut.
Using a 1 tablespoon cookie scoop, drop about batter about 2-inches apart onto the prepared baking sheet.
Bake for 8-12 minutes, or until the cookies spring back when pressed gently.
Remove from the oven and let the cakes cool on the sheets for at least 5 minutes.
Transfer to wire cooling rack to cool to room temperature before frosting.
Top each cookie with a generous amount of cream cheese frosting, if using.",17,▢ 2 ⅓ cups all-purpose flour,▢ 1 ½ teaspoons baking soda,▢ 1 teaspoon baking powder,▢ 1 ½ teaspoon ground cinnamon,▢ ½ teaspoon ground ginger,▢ ¼ teaspoon ground nutmeg,▢ ¼ teaspoon ground allspice,▢ ½ teaspoon salt,▢ ⅓ cup neutral oil like vegetable oil,▢ ½ cup brown sugar packed,▢ ½ cup granulated sugar,I Heart Eating,https://www.ihearteating.com/carrot-cake-sandwich-cookies/,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 1 ½ cups finely grated carrot,▢ ½ cup chopped pecans optional,▢ ½ cup flaked sweetened shredded coconut optional,▢ Cream Cheese Frosting optional,NA,NA,NA
Valentine’s Day Kiss Cookies,Kate Dean,"February 4, 2025",5,1,Leave a comment,Cookies,Dessert,American,15 minutes,8 minutes,NA,23 minutes,34 cookies,13,"Preheat oven to 350 F. Line cookie sheets with silicone baking mat or parchment paper.
Beat butter together with 1/2 cup granulated sugar and brown sugar until well-combined.
Scrape down sides of the bowl, and mix in egg until incorporated.
Mix in melted chocolate and vanilla extract.
Add cocoa powder, baking powder, and salt. Mix in until combined.
Mix in flour until just combined.
Scoop dough by level tablespoons and roll into a ball.
Add the sprinkles to a shallow dish.
Roll dough in sprinkles.
Place 2-inches apart on prepared baking sheets.
Bake for 8-11 minutes.
Remove from oven, and immediately press an unwrapped kiss into the top of each cookie.
Once cookies have a kiss, remove cookies to cooling rack to finish cooling.",12,▢ ½ cup butter at cool room temperature,▢ ½ cup granulated sugar,▢ ½ cup brown sugar packed,▢ 1 large egg,▢ 2 ounces semi-sweet baking chocolate melted,▢ 1 teaspoon vanilla extract,▢ ¼ cup unsweetened cocoa powder,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 ¾ cups all-purpose flour please see the note below about measuring flour,▢ ¾ cup Valentine’s Day non non pareil sprinkles,I Heart Eating,https://www.ihearteating.com/valentines-day-kiss-cookies/,▢ 34 Hershey kisses unwrapped,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Oil Chocolate Chip Cookies,Kate Dean,"January 24, 2024",5,5,27 Comments,Cookies,Dessert,American,20 minutes,7 minutes,NA,27 minutes,30 cookies,10,"Preheat oven to 350 F. Line two cookie sheets with silicone baking mats or parchment paper.
In the bowl of a stand mixer fitted with the paddle attachment (or with an electric mixer), beat together the coconut oil and sugars until fluffy and well-combined.
Beat in eggs one at a time, scraping down the sides as needed.
Stir in vanilla extract until incorporated.
Add the flour, cornstarch, baking soda, and salt, and stir in the flour mixture until just incorporated.
Stir in chocolate chips until just combined.
Drop scoops of dough 2 inches apart onto a prepared cookie sheets using a medium cookie scoop (1 ½ tablespoons).
Bake for about 7-9 minutes. You want the edges to be just barely golden brown.
Remove from oven, and let cool for 5-10 minutes on the cookie sheet.
Transfer to wire rack to finish cooling.",10,▢ ¾ cup solid coconut oil I use extra virgin,▢ 1 cup brown sugar,▢ ⅓ cup granulated sugar,▢ 2 large eggs,▢ 1 tablespoon vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 2 tablespoons cornstarch,▢ 1 ½ teaspoons baking soda,▢ 1 teaspoon kosher salt,▢ 10 ounce package semisweet chocolate chips,NA,I Heart Eating,https://www.ihearteating.com/coconut-oil-chocolate-chunk-cookies-2/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Chocolate Chip Cookie Recipe,Kate Dean,"January 13, 2024",4.95,322,780 Comments,Cookies,Dessert,American,15 minutes,8 minutes,NA,23 minutes,36 cookies,11,"Preheat oven to 375 F. Line baking sheets with parchment paper or silicone baking mat.
Melt the butter in a large microwave-safe bowl. The butter should be just melted. If you want to brown the butter, please see the note below.
Add brown sugar, and mix in.
Let stand 5 minutes.
Add egg and egg yolk; stir to combine.
Stir in vanilla extract.
Add flour, baking soda, and salt. Stir until just combined. Please see the comments about flour in the recipe notes. 
Stir in chocolate chips.
Using a medium cookie scoop (1.5 tablespoon), drop scoops of dough 2 inches apart on prepared cookie sheet.
Bake for about 7-10 minutes, or until the edges of the cookies are golden brown. The centers should still look soft and slightly underbaked. That will help to keep the cookies soft.
Let cool on cookie sheet for 5 minutes. Remove to wire rack to finish cooling.",9,▢ 1 cup butter,▢ 1 ½ cups brown sugar packed,▢ 1 large egg,▢ 1 egg yolk,▢ 1 tablespoon vanilla extract,▢ 2 ½ cups all-purpose flour Please see the note below about measuring the flour.,▢ 1 teaspoon baking soda,▢ ¾ teaspoon kosher salt or scant 1/2 teaspoon table salt,▢ 10 ounce package chocolate chips,NA,NA,I Heart Eating,https://www.ihearteating.com/chewy-brown-sugar-chocolate-chip-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Cookies,Kate Dean,"December 12, 2023",5,4,6 Comments,NA,Dessert,American,10 minutes,10 minutes,NA,20 minutes,14 cookies,12,"Preheat the oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should mostly melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in peppermint extract, vanilla extract, and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in the mini chocolate chips.
Place the crushed peppermint candy in a shallow dish.
Scoop out 2 tablespoons of dough and dip the top of each cookie in the peppermint candy. Don’t roll the entire cookie.
Place 3 inches apart on baking sheet. You can see how I stagger the cookie dough in the picture above.
Bake for about 10-13 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",12,▢ ½ cup salted butter,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1/2-1 teaspoon peppermint extract depending on desired amount,▢ ¼ teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup mini semisweet chocolate chips,I Heart Eating,https://www.ihearteating.com/chocolate-peppermint-cookies/,▢ 1 cup crushed peppermint candy,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Men Recipe,Kate Dean,"November 25, 2024",5,2,Leave a comment,Cookies,Dessert,American,15 minutes,8 minutes,NA,23 minutes,30 cookies,12,"In a large mixing bowl, whisk together the flour, ginger, cinnamon, cloves, nutmeg, allspice, baking soda, and salt.
In a separate large bowl, cream the softened butter using a stand mixer or a hand mixer until light and fluffy, about 2-3 minutes.
Add the brown sugar and vanilla extract and beat until the mixture is light and fluffy.
Beat in the molasses and the egg until well-combined.
Add the dry mixture to the wet mixture in a few batches, mixing until the dough comes together. Use a spatula to scrape the sides of the bowl in between additions.
Divide the dough into two equally sized balls and flatten into discs.
Wrap each dough disc in plastic wrap, and refrigerate for at least 1 hour, or overnight.
Preheat the oven to 350°F. Line 2-3 baking sheets with parchment paper.
Working one portion at a time, roll out the chilled dough on a well floured surface until it is about 1/4 inch thick. Keep the other portion chilled while you work.
Use cookie cutters to cut out your gingerbread men and use a floured spatula to transfer them to the baking sheets, placing the cookies 2 inches apart. Add more flour to the surface, rolling pin, and cookie cutters as needed to prevent sticking.
Bake for about 8 minutes, or until the cookie edges are slightly browned.
Let the cookies cool on the baking sheet for 2-3 minutes, then move them to a wire rack to cool completely before decorating.",13,▢ 3 cups all purpose flour properly measured,▢ 1 tablespoon ground ginger,▢ 2 teaspoons ground cinnamon,▢ ½ teaspoon ground cloves,▢ ¼ teaspoon ground nutmeg,▢ ¼ teaspoon ground allspice,▢ ¾ teaspoon baking soda,▢ ½ teaspoon salt,▢ ¾ cup unsalted butter at room temperature,▢ ¾ cup dark brown sugar,▢ 1 ½ teaspoons vanilla extract,I Heart Eating,https://www.ihearteating.com/gingerbread-men-recipe/,▢ ½ cup unsulphured molasses not blackstrap,▢ 1 large egg at room temperature,NA,NA,NA,NA,NA,NA,NA
Cut Out Sugar Cookie Recipe,Kate Dean,"November 25, 2024",5,4,2 Comments,Cookies,Dessert,American,15 minutes,11 minutes,NA,26 minutes,48 cookies,12,"Add butter, sugar and vanilla extract to a large mixing bowl (or stand mixer). Beat at medium speed until light and fluffy, about 3 minutes.
Add in eggs one at a time, mixing just until combined after each addition.
In a separate bowl, whisk together the flour, baking powder and salt.
Add the dry ingredients to the wet ingredients in 3-4 batches, mixing well between each addition, until the dough comes together.
Cover with a clean kitchen towel and refrigerate for 1 hour.
Preheat the oven to 350˚F. Line several baking sheets with parchment paper.
Divide the dough in half. On a lightly floured surface, roll out the dough into a rectangle about ¼” thick.
Using cookie cutters, cut the dough into desired shapes.
Re-roll the remaining dough until all dough has been used.
Place the cut out sugar cookie dough about 2 inches apart on the prepared baking sheet.
Bake for 11-12 minutes, then let cool for a few minutes on the baking sheet before transferring to a wire rack to cool completely.
Decorate as desired and enjoy!",7,▢ 1 ½ cups unsalted butter softened to room temperature,▢ 2 cups granulated sugar,▢ 2 teaspoons vanilla extract,▢ 4 large eggs,▢ 5 cups all purpose flour properly measured,▢ 2 teaspoons baking powder,▢ 2 teaspoons salt,NA,NA,NA,NA,I Heart Eating,https://www.ihearteating.com/cut-out-sugar-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Icing Recipe,Kate Dean,"November 25, 2024",5,1,4 Comments,Desserts,Dessert,American,5 minutes,NA,NA,5 minutes,48 servings,7,"Add the powdered sugar and meringue powder to a stand mixer fitted with the whisk attachment.
Slowly stream in the warm water, beating on high speed for 2 minutes.
Mix in the vanilla extract.
To test if it’s ready, lift up the whisk. The icing should fall back into the bowl in a ribbon and should re-incorporate into the icing in the bowl within 5-10 seconds.
If it’s too thin, continue mixing on high speed until it reaches this consistency. The longer you beat royal icing, the thicker it becomes. If it’s too thick, you can always beat in a splash of water if needed.
Whisk/beat in gel food coloring as desired.
This icing takes about 2 hours to dry completely once applied on cookies (or longer if it’s a thick layer).",5,▢ 4 cups powdered sugar sifted,▢ 3 tablespoons meringue powder,▢ ½ cup warm water about 80F,▢ 1 teaspoon clear vanilla extract,▢ Optional: gel food coloring,NA,NA,NA,NA,NA,NA,I Heart Eating,https://www.ihearteating.com/royal-icing-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Kiss Recipe,Kate Dean,"November 25, 2024",5,13,6 Comments,Cookies,Dessert,American,15 minutes,8 minutes,NA,23 minutes,34 cookies,13,"Preheat oven to 350 F. Line cookie sheets with silicone baking mat or parchment paper.
Beat butter together with granulated sugar and brown sugar until well-combined. Scrape down sides of the bowl.
Mix in egg until incorporated.
Mix in melted chocolate and vanilla extract.
Add cocoa powder, baking powder, and salt. Mix in until combined.
Mix in flour until just combined.
Scoop dough by level tablespoons and roll into a ball.
Add the sprinkles to a shallow dish.
Roll each ball in sprinkles until covered.
Place 2-inches apart on prepared baking sheets.
Bake for 8-11 minutes.
Remove from oven, and immediately press an unwrapped kiss into the top of each cookie.
Carefully remove the cookies to a wire cooling rack and let them cool to room temperature.",12,▢ ½ cup butter at cool room temperature,▢ ½ cup granulated sugar,▢ ½ cup brown sugar packed,▢ 1 large egg,▢ 2 ounces semi-sweet baking chocolate melted,▢ 2 teaspoons vanilla extract,▢ ¼ cup unsweetened cocoa powder,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 ¾ cups all-purpose flour please see the note below about measuring flour,▢ ¾ cup round Christmas sprinkles,I Heart Eating,https://www.ihearteating.com/christmas-kiss-cookies/,▢ 34 Hershey kisses unwrapped,NA,NA,NA,NA,NA,NA,NA,NA
Lavender Cookies,Kate Dean,"February 22, 2024",5,4,Leave a comment,Cookies,Dessert,American,20 minutes,10 minutes,NA,30 minutes,24 cookies,13,"Preheat oven to 325°F and line 2 cookie sheets with parchment paper. Set aside.
In a large mixing bowl, beat the butter and powdered sugar together until light and fluffy, about 2-3 minutes on medium.
Add in the lavender buds and lemon zest and continue mixing until well incorporated.
In a separate bowl, whisk together the flour and salt.
Gradually add the flour mixture to the butter mixture, mixing on low speed until the dough comes together.
Transfer the dough to a lightly floured surface and knead gently just until the dough comes together.
Roll the dough into a 1/4-inch-thick sheet and cut into desired shapes using a cookie cutter. (I used 3-inch diameter round cookie cutters and this made 2 dozen cookies.)
Place the cookies on a baking sheet lined with parchment paper.
Bake for 10-12 minutes, or until the edges are lightly golden brown.
Remove the cookies from the oven and let them cool for a 3-4 minutes on the baking sheet.
Transfer the cookies to a wire rack to cool completely.
In a medium bowl, whisk together the powdered sugar, milk and 1-2 drops of purple food coloring.
Drizzle the glaze over the cooled cookies and (optional) top with more dried lavender.",10,▢ 1 cup unsalted butter softened to room temperature,▢ ½ cup powdered sugar,▢ 2 cups all purpose flour,▢ 1 tablespoon dried culinary lavender buds,▢ 1 teaspoon lemon zest,▢ ¼ teaspoon salt,▢ 1 cup powdered sugar,▢ 2-3 tablespoons milk,▢ 1-2 drops purple food coloring optional,▢ Dried culinary lavender buds optional,NA,I Heart Eating,https://www.ihearteating.com/lavender-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Bars,Kate Dean,"June 16, 2023",5,17,46 Comments,Cookies,Dessert,American,10 minutes,20 minutes,NA,30 minutes,12 servings,10,"Preheat the oven to 350 F.
Adjust the oven rack to middle position.
Grease an 8X8-inch pan. Set aside.
Whisk the melted butter and sugars in a large bowl until combined.
Add the egg and vanilla and mix well.
Using a rubber spatula, fold the flour, salt, and baking soda into the butter mixture until just combined; do not overmix.
Fold in the chocolate chips.
Pour the batter into the prepared pan, smoothing the top with the spatula.
Bake until the top of the bars is light golden brown, slightly firm to the touch, and edges start pulling away from sides of pan, about 15-20 minutes.
Cool on a wire rack to room temperature.",9,▢ 6 tablespoons butter melted and cooled slightly,▢ ½ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 1 ⅛ cups all-purpose flour,▢ ½ teaspoon kosher salt,▢ ¼ teaspoon baking soda,▢ ¾ cup semisweet chocolate chips,NA,NA,I Heart Eating,https://www.ihearteating.com/chewy-chocolate-chip-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Kate Dean,"May 21, 2025",4.82,11,28 Comments,Cookies,Dessert,American,10 minutes,10 minutes,NA,20 minutes,12 cookies,10,"Preheat the oven to 350 F.
Microwave the butter for about 40 seconds.
Whisk until the butter is completely melted.
Add the sugars, and mix until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in chocolate chips, mini marshmallows, and graham cracker crumbs.
Scoop out 3 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Bake for 10-15 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",11,▢ 1/2 cup butter,▢ 1/2 cup granulated sugar,▢ 1/4 cup brown sugar packed,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅔ cups all-purpose flour,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon salt,▢ 1/2 cup mini semisweet chocolate chips,▢ 1/2 cup mini marshmallows halved,▢ 1/4 cup graham cracker crumbs,I Heart Eating,https://www.ihearteating.com/easy-smores-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cornflake Cookies,Kate Dean,"May 21, 2025",5,3,4 Comments,Cookies,Dessert,American,15 minutes,3 minutes,NA,18 minutes,16 cookies,8,"Line a baking sheet with parchment paper. Set it aside.
Pour cornflakes in a large heat-proof bowl. Set it aside.
Add sugar, honey, peanut butter, and vanilla extract to a saucepan.
Set saucepan over medium heat. Whisk continuously so the sugar doesn’t burn, for about 3 to 5 minutes. Once the mixture starts bubbling, remove from the heat.
Pour the peanut butter mixture over the cornflakes.
Use a rubber spatula to carefully fold the peanut butter into the cornflakes, making sure you don’t crush them.
Once the mixture is evenly distributed, work quickly to scoop the cornflakes onto the prepared baking sheet in 2-inch sized cookies. I like to use an ice cream or cookie scoop to get uniform cookies.
Let cookies sit on the baking sheet until they have cooled and the mixture has hardened.",5,▢ 3 cups cornflakes,▢ ½ cup granulated sugar,▢ ½ cup honey,▢ ½ cup creamy peanut butter,▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,I Heart Eating,https://www.ihearteating.com/peanut-butter-cornflake-cookies-no-bake/,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Macadamia Nut Cookies,Kate Dean,"April 15, 2023",5,3,Leave a comment,Cookies,Dessert,American,10 minutes,8 minutes,NA,18 minutes,24 cookies,8,"Preheat oven to 375 degrees F. Line two baking sheets with parchment paper.
In the bowl of your stand mixer, fitted with the paddle attachment, add butter, granulated sugar, and brown sugar. Beat until light and fluffy, about 3 minutes.
Beat in vanilla and egg until well incorporated.
Stir in the flour, baking soda, baking powder, and salt just until combined. Do not overmix.
Fold in macadamia nuts and white chocolate chips.
Scoop out 2 tablespoons of cookie dough and roll it into a ball. Place on a prepared baking sheet and repeat with the rest of the dough, placing the dough 2-inches apart on the baking sheet.
Bake for 8-10 minutes, or just until they start to lightly brown at the edges.
Let the cookies sit on the baking sheet for 2 minutes before moving to a cooling rack.",11,▢ ¾ cup butter at cool room temperature,▢ 1 cup light brown sugar packed,▢ ½ cup granulated sugar,▢ 1 ½ teaspoons vanilla extract,▢ 1 large egg,▢ 2 ¼ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ ½ teaspoon kosher salt,▢ 1 cup coarsely chopped roasted macadamia nuts,▢ 1 cup white chocolate chips,I Heart Eating,https://www.ihearteating.com/white-chocolate-macadamia-nut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocky Road Cookies,Kate Dean,"April 1, 2023",5,17,32 Comments,Cookies,Dessert,American,15 minutes,7 minutes,NA,22 minutes,22 cookies,10,"Preheat the oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should mostly melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in chocolate chips, mini marshmallows, and sliced almonds.
Scoop out 1.5 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",12,▢ ½ cup butter,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup semisweet chocolate chips,▢ 1 cup halved mini marshmallows,I Heart Eating,https://www.ihearteating.com/rocky-road-cookies/,▢ ¼ cup sliced almonds,NA,NA,NA,NA,NA,NA,NA,NA
Bird’s Nest Cookies,Kate Dean,"August 20, 2024",5,5,4 Comments,Cookies,Dessert,American,10 minutes,NA,NA,10 minutes,18 cookies,8,"Add the semisweet chocolate chips and butterscotch chips in a medium, microwave-safe bowl.
Microwave for 30 seconds. Stir.
Continue microwaving in 15-second intervals and then stirring until the chips are completely melted.
Add the chow mein noodles to a large bowl.
Pour the melted chocolate mixture over the chow mein noodles, and toss to coat.
Scoop out 2 tablespoon-sized scoops of the chow mein mixture and place on a piece of parchment paper or wax paper.
Gently shape the chow mein mixture into a nest with a hollow in the center.
Place the candy eggs, if using, in the hollow in the center.",4,▢ 1 cup semisweet chocolate chips,▢ 1 cup butterscotch chips,▢ 5 ounces chow mein noodles 3 cups,▢ Mini candy eggs optional,NA,NA,NA,NA,NA,NA,NA,I Heart Eating,https://www.ihearteating.com/birds-nest-cookies-2/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter M&M Cookies,Kate Dean,"March 17, 2023",5,3,2 Comments,Cookies,Dessert,American,10 minutes,7 minutes,NA,17 minutes,22 cookies,10,"Preheat the oven to 350 F.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should be about 80% melted.
Whisk the butter until it is completely melted.
Add the sugars and whisk until well-combined.
Stir in vanilla and egg until incorporated.
Add the flour, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in M&M’s and chocolate chips.
Scoop out 1.5 tablespoons of dough using a medium cookie scoop and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.",10,▢ ½ cup butter,▢ ½ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 1 ¾ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup plain chocolate Easter M&M’s,▢ ¼ cup mini semisweet chocolate chips,NA,I Heart Eating,https://www.ihearteating.com/easter-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cookies,Kate Dean,"February 4, 2025",5,24,14 Comments,Cookies,Dessert,American,10 minutes,10 minutes,NA,20 minutes,14 cookies,11,"Preheat the oven to 350 F.
Microwave the butter for about 40 seconds in a large, microwave-safe bowl. Butter should be about 80% melted.
Whisk until butter is completely melted.
Add the sugars and whisk until well-combined.
Stir in vanilla and egg until incorporated.
Whisk in the food coloring and vinegar until combined.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in white chocolate chips.
Scoop out 2 tablespoons of dough and place 3 inches apart on baking sheet.
Bake for 10-18 minutes, or until cookies are set. They still look a little underbaked in the middle.",12,▢ ½ cup butter,▢ ½ cup granulated sugar,▢ ¼ cup brown sugar packed,▢ 1 teaspoon vanilla extract,▢ 1 large egg,▢ 2 teaspoons red food coloring,▢ 1 teaspoon white vinegar,▢ 1 ¾ cups all-purpose flour,▢ 1 ½ tablespoons cocoa powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,I Heart Eating,https://www.ihearteating.com/red-velvet-cookies/,▢ ¾ cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA
Classic Spritz Cookie Recipe,Kate Dean,"October 15, 2025",5,5,10 Comments,Cookies,Dessert,American,15 minutes,6 minutes,NA,21 minutes,84 cookies,10,"Preheat oven to 375F.
In a large mixing bowl, beat the butter and sugar together for about 3 minutes, or until well-combined, on medium.
Add the egg, vanilla extract, and almond extract. Mix in until combined.
Stir in the flour and salt until just combined.
Add the decorative plate to the cookie press according to the manufacturer’s instructions.
Add the dough to the cookie press.
Press the cookie press down onto the ungreased cookie sheet as you press out the dough about 2-inches apart.
Add sprinkles, if desired.
Bake for about 6-9 minutes, or until the cookies are set but not browned.
Let the cookies sit for 5 minutes, and then transfer to a wire cooling rack to finish cooling.",8,▢ 1 cup butter at cool room temperature,▢ ⅔ cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 2 ¼ cups sifted all-purpose flour,▢ ¼ teaspoon salt,"▢ Optional: Sprinkles, food coloring",NA,NA,NA,I Heart Eating,https://www.ihearteating.com/classic-spritz-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
