title,author,dateinfo,rating,ratingnum,genre,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
Pumpkin Cookies,Becky Hardin,NA,4.88,8,Cookies,NA,NA,20 minutes,11 minutes,NA,31 minutes,36 cookies,10,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
Using a hand mixer, cream the butter and sugars together in a large bowl.
¾ cup unsalted butter, 1 cup granulated sugar, ½ cup brown sugar
Beat in the pumpkin puree, egg, and vanilla extract. Set aside.
1 cup pumpkin puree, 1 large egg, 1 teaspoon pure vanilla extract
In a separate bowl, combine the flour, baking powder, baking soda, pumpkin pie spice, and salt.
2½ cups all-purpose flour, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 tablespoon pumpkin pie spice, ½ teaspoon kosher salt
Add the dry ingredients to the wet ingredients, and stir until just combined.
Drop heaping tablespoonfuls of cookie dough onto the baking sheet at least 1 inch apart.
Bake the cookies for 11-13 minutes. Let the cookies cool.
While the cookies cool, prepare the frosting: Use a hand mixer to beat the cream cheese, butter, powdered sugar, vanilla extract, and salt together until smooth.
8 ounces cream cheese, ¼ cup butter, 2½ cups powdered sugar, 1 teaspoon pure vanilla extract, ⅛ teaspoon kosher salt
Once the cookies have cooled, frost the cookies.
Sift a sprinkling of cinnamon on top of the cookies if desired.
Ground cinnamon",17,"▢ ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)",▢ 1 cup granulated sugar 200 grams,▢ ½ cup brown sugar 107 grams,▢ 1 cup pumpkin puree 227 grams (about ½ can) – not pumpkin pie filling!,"▢ 1 large egg 50 grams, room temperature",Cookie Rookie,https://www.thecookierookie.com/pumpkin-cookies/,▢ 1 teaspoon pure vanilla extract 4 grams,▢ 2½ cups all-purpose flour 300 grams,▢ 1 teaspoon baking powder 4 grams,▢ 1 teaspoon baking soda 6 grams,▢ 1 tablespoon pumpkin pie spice 9 grams,▢ ½ teaspoon kosher salt,"▢ 8 ounces cream cheese 227 grams, room temperature (1 brick)","▢ ¼ cup butter 57 grams, room temperature (½ stick)",▢ 2½ cups powdered sugar 283 grams,▢ 1 teaspoon pure vanilla extract 4 grams,▢ ⅛ teaspoon kosher salt,"▢ Ground cinnamon optional, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Sugar Cookie Bars,Becky Hardin,"Published Sep 13, 2023",4.34,6,Cookies,NA,NA,20 minutes,20 minutes,NA,40 minutes,24 bars,11,"Preheat oven to 350°F. Line a 9×13-inch baking pan with parchment paper. Set aside for now.
Cream the butter and sugars together using an electric hand mixer.
1 cup unsalted butter, ¾ cup granulated sugar, ½ cup brown sugar
Mix in the vanilla and almond extracts, eggs, baking soda, and salt.
1 teaspoon pure vanilla extract, ¼ teaspoon almond extract, 2 large eggs, ½ teaspoon baking soda, ½ teaspoon kosher salt
Add in the flour, little by little, beating lightly until incorporated.
2½ cups all-purpose flour
Press the dough into the pan.
Bake for 18-20 minutes until the edges are golden brown. Allow to cool.
To make the frosting, beat the butter and powdered sugar together.
¼ cup unsalted butter, 1½ cups powdered sugar
Add in the milk and vanilla extract and beat again until smooth.
2 tablespoons milk, 1 teaspoon pure vanilla extract
Once the bars have cooled, gently lift up the parchment paper and bars from the pan and lay on a flat surface.
Spread the frosting over the bars. Then, top with sprinkles.
Sprinkles
Cut into 24 squares.",14,"▢ 1 cup unsalted butter 226 grams, room temperature (2 sticks)",▢ ¾ cup granulated sugar 150 grams,▢ ½ cup brown sugar 107 grams,▢ 1 teaspoon pure vanilla extract 4 grams,▢ ¼ teaspoon almond extract 1 gram,Cookie Rookie,https://www.thecookierookie.com/frosted-sugar-cookie-bars/,"▢ 2 large eggs 100 grams, room temperature",▢ ½ teaspoon baking soda 3 grams,▢ ½ teaspoon kosher salt,▢ 2½ cups all-purpose flour 300 grams,"▢ ¼ cup unsalted butter 57 grams, melted (½ stick)",▢ 1½ cups powdered sugar 170 grams,▢ 2 tablespoons milk 28 grams,▢ 1 teaspoon pure vanilla extract 4 grams,"▢ Sprinkles optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Chocolate Chip Cookies (Soft and Chewy!),Becky Hardin,"Published Jun 13, 2023",4.68,25,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,12 cookies,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of a stand mixer fitted with the beater attachment, beat the butter and sugars until creamy, about 2 minutes.
8 tablespoons salted butter, ½ cup granulated sugar, ¼ cup dark brown sugar
Add the vanilla and egg and beat on low for 15 seconds. It's important not to overbeat the egg so that your cookies stay soft.
1 large egg, 1 teaspoon pure vanilla extract
Add the flour, corn starch, baking soda, and salt. Mix until it becomes crumbly (this is crumblier than a normal dough.)
1½ cups Gluten Free Flour, ½ teaspoon Bob’s Red Mill Corn Starch, ½ teaspoon Baking Soda, ¼ teaspoon coarse kosher salt
Add in the chocolate chips and beat until just combined. Use your hands to bring the dough together and form a large ball.
1 cup milk chocolate chips
Make 1½-inch balls with the dough and place them on the baking sheet, spaced out quite a bit to allow for spreading.
Bake for 10-11 minutes and remove from the oven. Trust me on the time; you do not want to overbake. They'll look puffy and just barely browned on the edges. Allow to rest on the hot baking sheet for at least 15 minutes and they will flatten a bit and be just perfect!",10,"▢ 8 tablespoons salted butter 113 grams, melted (1 stick)",▢ ½ cup granulated sugar 100 grams,▢ ¼ cup dark brown sugar 53 grams,"▢ 1 large egg 50 grams, room temperature",▢ 1 teaspoon pure vanilla extract 4 grams,Cookie Rookie,https://www.thecookierookie.com/gluten-free-chocolate-chip-cookies-recipe/,▢ 1½ cups Gluten Free Flour 222 grams,▢ ½ teaspoon Bob’s Red Mill Corn Starch,▢ ½ teaspoon Baking Soda 3 grams,▢ ¼ teaspoon coarse kosher salt,▢ 1 cup milk chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lofthouse Cookies,Becky Hardin,"Published Jun 12, 2023",4.34,3,Cookies,NA,NA,20 minutes,8 minutes,Chill Time: 1 hour hr,28 minutes,25 cookies,10,"In a medium bowl, whisk the flour, baking powder, baking soda, cornstarch, and salt together.
3 cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon baking soda, 1 tablespoon cornstarch, ½ teaspoon kosher salt
In the bowl of a stand mixer fitted with the paddle attachment, cream the butter and sugar together. Add in the eggs and mix until combined. Add in the sour cream, and vanilla and almond extracts.
½ cup salted butter, 1½ cups granulated sugar, 2 large eggs, ½ cup sour cream, 1 teaspoon pure vanilla extract, ½ teaspoon almond extract
Mixing on low speed, add in the flour mixture little by little until just combined.
Form the dough into a ball, cover with plastic wrap, and refrigerate for at least 1 hour.
Preheat oven to 350°F.
On a floured surface, roll out the dough to a little more than ¼-inch thick.
Use a 2 to 3-inch round cookie cutter to cut out circles from the dough. Transfer to a baking sheet.
Bake for 7-9 minutes. Transfer the cookies to a baking rack to cool.
While the cookies cool, make the frosting: In the bowl of a stand mixer fitted with the whisk attachment, beat the butter until smooth. Add in the sugar and mix until incorporated. Add in the milk, vanilla and almond extracts, and salt. Add in the drops of food coloring if using, and mix again until fully combined.
½ cup unsalted butter, 2 cups powdered sugar, 1-2 tablespoons milk, ½ teaspoon pure vanilla extract, ¼ teaspoon almond extract, ⅛ teaspoon kosher salt, Food coloring
One the cookies have cooled, frost and top with sprinkles.
2 tablespoons colored sprinkles",19,▢ 3 cups all-purpose flour 360 grams,▢ 1 teaspoon baking powder 4 grams,▢ ½ teaspoon baking soda 3 grams,▢ 1 tablespoon cornstarch 7 grams,▢ ½ teaspoon kosher salt (see note),Cookie Rookie,https://www.thecookierookie.com/lofthouse-cookies/,"▢ ½ cup salted butter 113 grams, room temperature (1 stick)",▢ 1½ cups granulated sugar 300 grams,"▢ 2 large eggs 100 grams, room temperature","▢ ½ cup sour cream 114 grams, room temperature",▢ 1 teaspoon pure vanilla extract 4 grams,▢ ½ teaspoon almond extract 2 grams,"▢ ½ cup unsalted butter 113 grams, room temperature (1 stick)",▢ 2 cups powdered sugar 227 grams,▢ 1-2 tablespoons milk 14-28 grams,▢ ½ teaspoon pure vanilla extract 2 grams,▢ ¼ teaspoon almond extract 1 gram,▢ ⅛ teaspoon kosher salt,▢ Food coloring any color,▢ 2 tablespoons colored sprinkles 24 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotcheroos,Becky Hardin,"Published May 26, 2023",4.91,11,Cookies,NA,NA,10 minutes,5 minutes,cool: 1 hour hr,15 minutes,32 bars,7,"Spray a 9×13-inch baking pan and a rubber spatula with nonstick cooking spray; set aside.
In a Dutch oven set over medium heat, add the corn syrup and sugar. Cook, stirring continuously, just until the mixture comes to a low boil and sugar dissolves.
1 cup light corn syrup, 1 cup granulated sugar
Remove from heat and add peanut butter and salt; stir until incorporated.
1 cup creamy peanut butter, ¼ teaspoon coarse sea salt
Add cereal and, using the sprayed spatula, stir until well coated.
6 cups Rice Krispies cereal
Spread and press the cereal mixture evenly into the prepared pan; set aside.
In a microwave-safe dish, melt the chips at 50% power, in 15-second intervals (stirring after every 15-seconds) just until the milk chocolate chips have melted. Remove the chips from the microwave and stir well. Let sit for 1 minute and stir again. Most (if not all) the chips should be melted (SEE NOTE).
1 cup milk chocolate chips, ½ cup butterscotch baking chips, ½ cup peanut butter baking chips
Spread the melted chips over the cereal mixture and set aside to harden – about 1 hour.",8,▢ 1 cup light corn syrup 312 grams,"▢ 1 cup granulated sugar 200 grams, Baker’s Ultrafine Sugar recommended","▢ 1 cup creamy peanut butter 270 grams, Jif recommended",▢ ¼ teaspoon coarse sea salt,▢ 6 cups Rice Krispies cereal 168 grams,Cookie Rookie,https://www.thecookierookie.com/homemade-scotcheroos-recipe/,"▢ 1 cup milk chocolate chips 170 grams, Ghirardelli recommended",▢ ½ cup butterscotch baking chips 85 grams,▢ ½ cup peanut butter baking chips 85 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Chocolate Chip Cookies,Becky Hardin,"Published May 15, 2023",4.75,8,Cookies,NA,NA,10 minutes,15 minutes,NA,25 minutes,20 cookies,6,"Preheat oven to 350°F and line 2 large baking sheets with parchment paper. Set aside.
Add the dry cake mix, vegetable oil, and eggs to a large bowl and mix with a hand mixer to combine. I like to use a hand mixer, but this can also be done with a rubber spatula.
15.25 ounces dry cake mix, ½ cup vegetable oil, 2 large eggs
Gently fold the chocolate chips into the dough.
1 cup chocolate chips
Scoop out 1½ tablespoon portions onto the prepared baking sheets. Bake the cookies for 15-18 minutes, or until the edges are golden brown and the centers are set.
Immediately when the cookies come out of the oven, tap the tray gently on the counter a few times. This will deflate the center of the cookies so they become soft and chewy.
Allow the cookies to cool completely on the pan and then remove them to an airtight container.",4,▢ 15.25 ounces dry cake mix 432 grams (1 box),▢ ½ cup vegetable oil 100 grams,▢ 2 large eggs 100 grams,▢ 1 cup chocolate chips 170 grams,NA,Cookie Rookie,https://www.thecookierookie.com/cake-mix-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies (Gingerbread Family),Becky Hardin,"Published Dec 22, 2022",4.50,2,Cookies,NA,NA,30 minutes,10 minutes,Chill Time: 2 hours hrs,40 minutes,18 3-inch cookies,13,"In the bowl of a stand mixer fitted with the paddle attachment, beat the butter, granulated sugar, brown sugar, and salts together until light and fluffy, about 3 minutes.
1 cup unsalted butter, ½ cup dark brown sugar, ¼ cup granulated sugar, 1½ teaspoons kosher salt, ½ teaspoon coarse sea salt
Add the egg and molasses and mix at medium speed until well combined, about 1 minute.
1 large egg, 2 tablespoons unsulphured molasses
In a separate bowl, whisk the flour, cinnamon, apple pie spice, ginger, and cloves together.
2¼ cups all-purpose flour, 1 tablespoon ground ginger, 1 teaspoon ground cinnamon, 1 teaspoon apple pie spice, ¾ teaspoon ground cloves
Add the dry ingredients to the wet ingredients, mixing on low speed until all of the flour has been incorporated. Do not overmix the cookie dough or the cookies will be tough.
Scrape around the sides and bottom of the bowl with a rubber spatula to ensure all flour has been incorporated.
Divide the dough in half and place one half on a large piece of parchment paper. Roll the dough to ⅜-inch thick and transfer the dough with the parchment paper to a large sheet pan.
Repeat with the second half of dough. Place the second half of rolled dough with the parchment over the first half of rolled dough on the sheet pan.
Cover the dough on the sheet pan with plastic wrap and refrigerate for at least 2 hours.
Once the dough has chilled, remove the dough from the refrigerator and preheat oven to 350°F. Line baking sheets with parchment paper and set aside.
Cut the dough into desired shapes and place onto prepared baking sheets.
Bake for 10-12 minutes, or until the edges and bottoms are just beginning to darken.
Remove cookies from the oven and let cool for 1 minute on the baking sheet, then transfer to a cooling rack. Allow cookies to fully cool before decorating.
Decorate as desired, serve, and enjoy!
Icing and sprinkles",13,"▢ 1 cup unsalted butter 226 grams, room temperature (2 sticks)",▢ ½ cup dark brown sugar 107 grams,▢ ¼ cup granulated sugar 50 grams,▢ 1½ teaspoons kosher salt 5 grams,▢ ½ teaspoon coarse sea salt,Cookie Rookie,https://www.thecookierookie.com/gingerbread-cookies-gingerbread-family/,"▢ 1 large egg 50 grams, room temperature and lightly beaten",▢ 2 tablespoons unsulphured molasses 43 grams,▢ 2¼ cups all-purpose flour 270 grams,▢ 1 tablespoon ground ginger 9 grams,▢ 1 teaspoon ground cinnamon 3 grams,▢ 1 teaspoon apple pie spice 3 grams,▢ ¾ teaspoon ground cloves,▢ Icing and sprinkles for decorating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Swiss Roll,Becky Hardin,"Published Dec 22, 2022",4.70,23,Cookies,NA,NA,40 minutes,10 minutes,NA,50 minutes,16 servings (2 swiss rolls),21,"Preheat oven to 375°F and line the bottoms of two 15x10x1-inch jelly roll pans with parchment paper. Spray the pans and parchment with nonstick spray with flour. Set aside.
In the bowl of a mixer fitted with the paddle attachment, beat the eggs on high speed until thick and lemon-colored, about 6 minutes. Add the cake mix, water, and oil. Beat on low speed until incorporated, about 30 seconds, scrape down the sides of the bowl. Set speed to medium and beat an additional 1 minute. Spread half the batter (about 2¼ cups) evenly into each pan.
6 large eggs, 15.25 ounces Betty Crocker Super Moist Chocolate Fudge Devil's Food Cake mix, ½ cup water, ¼ cup vegetable oil
Bake until cake springs back when lightly touched in the middle, about 10-12 minutes.
While the cake bakes, sprinkle two clean kitchen towels with cocoa.
2-4 tablespoons unsweetened cocoa powder
Remove the cakes from the oven and loosen cakes around the edges of the pans with a knife. Handling one cake at a time, carefully, and quickly, turn the cake upside-down onto the cocoa-covered towel. Remove the parchment paper and immediately roll up the cake and the towel together from one of the narrow ends. Place the cake, seam side down, on a wire rack to cool for 30 minutes. Immediately repeat the process with the other cake.
In the bowl of a stand mixer fitted with the whisk attachment, whisk together the mascarpone and cream until light and smooth.
8 ounces Mascarpone cheese or cream cheese, 2 cups heavy cream
Add Crème de Menthe and salt. Whisk 1 minute.
4 tablespoons Créme de Menthe liqueur, ½ teaspoon kosher salt
Add powdered sugar and whisk until filling is smooth and creamy.
1 cup powdered sugar
Cover and refrigerate the filling until the cake is cooled and ready to fill.
Make the chocolate glaze while the filled cakes set in the fridge.
In a medium, microwave-safe bowl, heat the cream, at 50% power, just until small bubbles pop at the edge of the bowl; stir.
1½ cups heavy whipping cream
Add the chocolate chips and stir briefly. Let the chocolate and cream sit, stirring periodically, until the chocolate melts. Let the glaze sit 5-10 minutes or until slightly thickened and still pourable.
2 cups semisweet chocolate chips
Cut 2 pieces of waxed paper or aluminum foil just a tad smaller than each rolled cake. Place the cut pieces on a wire rack. Set the cut pieces far enough apart so the cakes, when glazed, don’t touch.
Slowly and carefully unroll cakes. Be careful not to press the tighest, narrow end flat.
Brush each cake lightly with 2-3 tablespoons Crème de Menthe.
4-6 tablespoons Crème de Menthe liqueur
Spread each cake to (½–inch of the edges) evenly with 1 cup of the Crème de Menthe Filling.
Reroll the filled cakes and wrap in plastic wrap. Being sure the seam is centered on the bottom, place the cakes, seam side down, on a cookie sheet and refrigerate 30-60 minutes.
When the cakes are set, remove from the fridge and set each cake, seam-side-down over one cut piece of the prepared waxed paper or foil. Set the wire rack with the cakes on the cookie sheet.
Stir the chocolate glaze and, if it is too firm, warm it in the microwave at 20% power just until the chocolate is pourable. Pour half the glaze over each cake to cover evenly. Garnish with Crème de Menthe baking chips, if desired.
Crème de Menthe baking chips
Refrigerate the cakes 30-60 minutes or until chocolate is completely set.
Keep in the fridge, loosely covered, until ready to slice and serve.",14,▢ 6 large eggs 300 grams,▢ 15.25 ounces Betty Crocker Super Moist Chocolate Fudge Devil's Food Cake mix 432 grams (1 box),▢ ½ cup water 114 grams,▢ ¼ cup vegetable oil 50 grams,▢ 2-4 tablespoons unsweetened cocoa powder 11-21 grams,Cookie Rookie,https://www.thecookierookie.com/mint-chocolate-swiss-roll/,"▢ 8 ounces Mascarpone cheese or cream cheese 227 grams, room temperature",▢ 2 cups heavy cream 454 grams,▢ 4 tablespoons Créme de Menthe liqueur 57 grams,▢ ½ teaspoon kosher salt,▢ 1 cup powdered sugar 113 grams,▢ 1½ cups heavy whipping cream 341 grams,▢ 2 cups semisweet chocolate chips 340 grams,"▢ 4-6 tablespoons Crème de Menthe liqueur 57-85 grams, optional","▢ Crème de Menthe baking chips optional, for garnish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroons,Becky Hardin,"Published Dec 19, 2022",4.55,11,Cookies,NA,NA,10 minutes,25 minutes,NA,35 minutes,20 cookies,6,"Preheat oven to 325°F and line a baking sheet with parchment paper. Set aside.
Mix the coconut, sweetened condensed milk, vanilla, and salt in a large mixing bowl.
14 ounces sweetened coconut flakes, 14 ounces sweetened condensed milk, 1½ teaspoons pure vanilla extract, ½ teaspoon kosher salt
Using a hand mixer, whip the egg whites on high speed until medium peaks are formed.
2 large egg whites
Fold your coconut mixture into the egg whites.
Scoop out a heaping tablespoon of the cookie batter onto the baking sheet. Repeat this with the remaining mixture, leaving about 1-2 inches between each cookie to prevent them from spreading.
Bake for 21-26 minutes, until the edges begin to get golden.",5,▢ 14 ounces sweetened coconut flakes 397 grams (1 bag),▢ 14 ounces sweetened condensed milk 397 grams (1 can),▢ 1½ teaspoons pure vanilla extract 6 grams,▢ ½ teaspoon kosher salt,"▢ 2 large egg whites 70 grams, room temperature",Cookie Rookie,https://www.thecookierookie.com/coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Fudge,Becky Hardin,"Published Dec 19, 2022",5,4,Cookies,NA,NA,10 minutes,25 minutes,NA,35 minutes,36 pieces,11,"Add ¼ cup of the coconut to a small sauté pan set over low-medium heat.
1¼ cups unsweetened shredded or flaked coconut
Toast the coconut, stirring occasionally, until the coconut is golden brown. Remove from heat.
Spray a 9×9-inch baking pan with nonstick spray. Then, line the pan with parchment paper.
In a large saucepan over medium heat, melt the butter and coconut oil.
4 tablespoons unsalted butter, 4 tablespoons coconut oil
Pour in the evaporated milk and sugar, and stir constantly as the mixture starts to bubble.
12 ounces evaporated milk, 1¾ cups granulated sugar
Continue stirring while the mixture bubbles until the temperature reaches 230°F.
Remove from heat and stir in the white chocolate chips and marshmallow cream until smooth. Then, stir in the remaining coconut.
1½ cups white chocolate chips, 7 ounces marshmallow creme
Pour the mixture into the pan and spread into an even layer.
Sprinkle the toasted coconut over the top
Refrigerate or freeze until the fudge is firm.
Cut into small squares.",7,"▢ 1¼ cups unsweetened shredded or flaked coconut 110 grams, divided",▢ 4 tablespoons unsalted butter 57 grams (½ stick),▢ 4 tablespoons coconut oil 57 grams,▢ 12 ounces evaporated milk 340 grams (1 can),▢ 1¾ cups granulated sugar 350 grams,Cookie Rookie,https://www.thecookierookie.com/coconut-fudge/,▢ 1½ cups white chocolate chips 255 grams (¾ bag),▢ 7 ounces marshmallow creme 198 grams (1 jar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linzer Cookies,Becky Hardin,NA,5,1,Cookies,NA,NA,15 minutes,15 minutes,Chill Time: 30 minutes mins,NA,18 sandwich cookies,13,"In the bowl of a stand mixer fitted with the paddle attachment, beat the butter and granulated sugar on medium-high speed until light and fluffy, about 2 minutes.
1 cup unsalted butter, 1 cup granulated sugar
Add the egg and vanilla. Mix to combine.
1 large egg, 1 tsp pure vanilla extract
In a separate medium bowl, whisk together the flour, almond flour, baking powder, and salt.
2½ cups all-purpose flour, ½ cup almond flour, 1 tsp baking powder, ¼ tsp kosher salt
Add the dry ingredients to the wet and mix to combine. Make sure to scrape down the sides of the bowl as needed.
Divide the dough into 2 discs and wrap them in plastic wrap. Place them in the refrigerator to chill for 30 minutes.
Turn the dough out onto a lightly floured surface and roll it out to ¼-inch thick.
Cut out 3-inch shapes (circles, stars, trees, etc.) from the dough and place them on a parchment-lined baking sheet. You'll want to cut out 36 cookies.
Using a 1-inch cookie cutter of the same shape, cut the center out of half of the cookies. This will allow us to see the jam filling in the final Linzer cookies!
Chill the cookies in the freezer (or refrigerator) for 30 minutes.
While the dough chills, preheat the oven to 350°F.
Bake the cookies for 13-15 minutes, or until they are just golden brown. Allow the cookies to cool completely on the tray.
When the cookies have cooled, generously dust the tops of the cookies with a hole in the center with powdered sugar.
¼ cup powdered sugar
Spread 1 tablespoon of jam onto the center of each whole cookie and carefully place a powdered sugar dusted cookie on top of the jam.
½ cup cherry jam",10,"▢ 1 cup unsalted butter 226g, room temperature (2 sticks)",▢ 1 cup granulated sugar 200g,"▢ 1 large egg 50g, room temperature",▢ 1 tsp pure vanilla extract 4g,"▢ 2½ cups all-purpose flour 300g, spooned and leveled",Cookie Rookie,https://www.thecookierookie.com/linzer-cookies/,▢ ½ cup almond flour 48g,▢ 1 tsp baking powder 4g,▢ ¼ tsp kosher salt,▢ ¼ cup powdered sugar 28g,▢ ½ cup cherry jam 170g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Avalanche Cookies,Becky Hardin,NA,4.75,12,Cookies,NA,NA,10 minutes,5 minutes,Set Time: 2 hours hrs,15 minutes,21 cookies,6,"Line a large baking sheet with parchment paper; set aside.
In a double boiler, melt the white chocolate, being careful not to overheat it as it will separate. Whisk in the peanut butter and remove the mixture from the heat.
12 oz. white chocolate chips, ⅔ cup creamy peanut butter
While the chocolate is melting, combine the cereal and marshmallows in a large mixing bowl.
2 cups Rice Krispies cereal, 1 cup mini marshmallows
Pour the hot peanut butter-chocolate mixture over the contents of the bowl. Gently mix until everything is well coated.
Working quickly, use a medium cookie portion scoop to drop the mixture onto the prepared baking sheet. Sprinkle mini chocolate chips on top of each cookie, if desired.
¼ cup mini chocolate chips
Allow the cookies to set for at least 2 hours, until hardened.",5,▢ 12 oz. white chocolate chips 340g (1 bag),▢ ⅔ cup creamy peanut butter 180g,▢ 2 cups Rice Krispies cereal 56g,▢ 1 cup mini marshmallows 43g,"▢ ¼ cup mini chocolate chips 44g, optional",Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Mints,Becky Hardin,"Published Dec 12, 2022",4.91,22,Cookies,NA,NA,45 minutes,0 minutes,Chill Time: 30 minutes mins,15 minutes,105 mints,8,"In a large bowl, use a hand mixer to beat the cream cheese, butter, salt, and peppermint and vanilla extracts together until smooth.
8 ounces cream cheese, 2 tablespoons unsalted butter, ½ teaspoon kosher salt, ½ teaspoon pure peppermint extract, ½ teaspoon pure vanilla extract
Add in the powdered sugar, about ½ cup at a time, mixing after each addition until the mixture reaches a play-doh-like consistency. You may not need all of the powdered sugar.
2 pounds powdered sugar
Divide the dough equally among 3 bowls (about 389 grams per bowl).
Add in 1-2 drops of food coloring to each of the bowls and mix until evenly incorporated.
Food coloring
Chill the dough for at least 30 minutes, so it’s easier to handle.
Use a teaspoon to take a portion of dough. Roll in your hands to form small balls. Place the balls on a baking sheet lined with parchment paper.
Dip a fork into powdered sugar, then gently push down on the mints with the fork.
Let the mints dry out on the sheet pan for a few hours, then transfer to an airtight container in the refrigerator to store.",7,"▢ 8 ounces cream cheese 227 grams, room temperature (1 brick)","▢ 2 tablespoons unsalted butter 28 grams, room temperature (¼ stick)",▢ ½ teaspoon kosher salt,▢ ½ teaspoon pure peppermint extract 2 grams,▢ ½ teaspoon pure vanilla extract 2 grams,Cookie Rookie,https://www.thecookierookie.com/cream-cheese-mints/,"▢ 2 pounds powdered sugar 908 grams, plus more for dipping","▢ Food coloring red, blue, and/or green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Balls,Becky Hardin,NA,4.37,11,Cookies,NA,NA,30 minutes,0 minutes,Chill Time: 1 hour hr,30 minutes,30 truffles,10,"Crush 9 Oreo cookies into crumbs in a food processor or blender. Set the crumbs aside in a bowl for sprinkling.
19.1 ounces Oreo cookies
Crush the remaining cookies to fine crumbs.
Add the Oreo crumbs and cream cheese to a large bowl and beat with a hand mixer until well combined.
8 ounces cream cheese
Chill the mixture in the refrigerator for at least 1 hour or in the freezer for at least 20 minutes.
Use a cookie portion scoop to gather about 2 tablespoons of the mixture at a time. Roll into balls.
Separate the semi-sweet and white baking chocolate into 2 bowls. Melt in the microwave according to package directions.
8 ounces semi-sweet baking chocolate, 8 ounces white baking chocolate
Using a fork, dip each Oreo ball into the melted chocolate, and let the excess chocolate run off the fork.
Place each ball on a lined baking sheet. Sprinkle some or all of the truffles with the reserved cookie crumbs.
Chill until firm.
Drizzle extra chocolate over the top of the truffles if desired.",4,"▢ 19.1 ounces Oreo cookies 541 grams, divided (1 package)","▢ 8 ounces cream cheese 227 grams, room temperature (1 brick)","▢ 8 ounces semi-sweet baking chocolate 227 grams (1 package), use high-quality like Ghirardelli",▢ 8 ounces white baking chocolate 227 grams (1 package),NA,Cookie Rookie,https://www.thecookierookie.com/oreo-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meat Temperature Chart (Free Printable),Becky Hardin,"Published Nov 29, 2022",4.61,23,Cookies,NA,NA,20 minutes,15 minutes,NA,35 minutes,NA,9,"Trim excess fat from the steak (but leave a little bit for flavor)
Let the steak sit at room temperature for at least 20 minutes before cooking
Prepare the grill and heat up about 30 minutes before cooking
Pat away extra moisture from the steak, and then season to your liking
Sear steaks until they lift without sticking to the grates
Turn your steaks over once and continue cooking
Use meat thermometer to check internal temperatures. A medium-rare steak should heat to about 140 F. Medium will be closer to 155 F and Well Done should be at a temperature of 165 F.
Remove the steaks from the grill when the thermometer reads about 5 degrees lower than you want it (the meat will continue cooking after removed from the grill).
Let the steaks cool briefly before serving",1,▢ 4 steaks,NA,NA,NA,NA,Cookie Rookie,https://www.thecookierookie.com/meat-temperature-chart/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
