title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Homemade Tahini Recipe,Kimberly Killebrew,4.99,151,condiment,Middle Eastern,2 minutes,5 minutes,NA,7 minutes,16 tablespoons,3,"Heat a clean, dry cast iron or heavy duty skillet over medium high heat and add the sesame seeds. Stir frequently until they begin to turn golden brown and then stir constantly. Be careful, sesame seeds burn very easily.
Once they're toasted, let them cool a few minutes then add them to a food processor. Start by adding 3 tablespoons of olive oil. Process the mixture into a paste, scraping down the sides. Add more olive oil until you reach the desired consistency (*see Note)
Store the tahini in an airtight jar in the fridge and it will last for several months. Stir it throughly before you put it in the fridge because once it's chilled it's difficult to stir. 
This makes a little less than 3/4 cup tahini paste, depending on how much olive oil you use.",2,1 cup hulled sesame seeds,"3 tablespoons or more extra virgin olive oil ,see Note (see also blog post about why olive oil is added)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-make-homemade-tahini-paste/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEST Peanut Butter Cake,Kimberly Killebrew,4.93,203,Dessert,American,30 minutes,30 minutes,NA,NA,NA,4,"Preheat the oven to 350 degrees F.
In a medium bowl, sift the flour, baking powder, baking soda and salt. Set aside.
In a large mixing bowl, add the peanut butter, oil, and brown sugar. Beat until combined and creamy. Add the eggs and vanilla extract and beat just until combined.
Alternately add the flour and buttermilk to the wet mixture, beating just until combined. Be careful not to over-beat or the cake will be dense and dry. A few small lumps of flour is fine.
Grease a 9X3 inch round baking pan (I use Magic Line pans). Pour the batter into the pan.
Bake for about 30 minutes or until a toothpick inserted into the middle of the cake comes out moist (not wet with batter but moist. If the toothpick is dry, the cake is over-baked and will be dry). Let the cake sit in the pan for 5 minutes, then invert the cake onto a wire rack to cool completely.
To Make the Frosting: In the meantime place the peanut butter and butter in a large mixing bowl. Beat until smooth and creamy. Add the powdered sugar one cup at a time, continuing to beat. Add the heavy cream until you reach a spreadable consistency. (Note: This is a fairly stiff frosting.)
Cut the cooled cake in half horizontally. Frost the bottom half of the cake and down the sides. Place the top layer of the cake, upside down, on top of the bottom layer. Frost the top layer and down the sides.",16,For the Cake:,1 1/2 cups all-purpose flour,2 teaspoons baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,"1/3 cup coconut oil , at room temperature or oil of choice (I use coconut oil). Note: Oil yields a moister cake than butter",1/3 cup natural unsweetened peanut butter,1 cup brown sugar,2 large eggs,1 cup buttermilk (can substitute 1 cup milk with 1 tablespoon white vinegar or lemon juice stirred into it. Let it sit for 5-10 minutes then use as recipe directs),1 teaspoon vanilla extract,For the Frosting:,"1 cup natural unsweetened peanut butter (if using regular peanut butter which has lots of sugar in it, cut back a little on the brown sugar)","1/2 cup unsalted butter , softened",3 cups powdered (confectioner's) sugar (can use less if preferred),"up to 1/2 cup heavy cream , at room temperature",Daring Gourmet,https://www.daringgourmet.com/killer-peanut-butter-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garam Masala,Kimberly Killebrew,5,78,"condiment, Seasoning",Indian,5 minutes,5 minutes,NA,10 minutes,NA,1,"Place the whole spices (reserving the ground nutmeg and mace) in a dry skillet and toast them over medium-high heat for several minutes, stirring frequently, until the spices are very fragrant and the lighter spices have become deeper golden in color. Note: Be careful not to scorch the spices or they will become very bitter.
Transfer the toasted spices to a bowl and let them cool completely.
Place the cooled spices in a coffee/spice grinder or a blender along with the ground nutmeg and mace. If you haven't already done so it is easiest to grind the cinnamon if you break it into pieces.
Grind the spices until you get a fine powder. Transfer the garam masala to an airtight jar and store in a dark place. Will keep for several months but for optimal flavor use them within a month or two. 
This makes roughly 1/2 cup of garam masala.",12,4 tablespoons coriander seeds,4 teaspoons cumin seeds,1 teaspoon fennel seeds,1 teaspoon black peppercorns,1 teaspoon green cardamom seeds,1/2 teaspoon black cardamom seeds,"1 stick cinnamon , about 3 inches",2 star anise,8 whole cloves,1/2 teaspoon freshly ground nutmeg,1/4 teaspoon ground mace (optional),2 dried curry leaves (can substitute one large bay leaf),NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/garam-masala/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
German Apple Cake (Apfelkuchen),Kimberly Killebrew,4.98,121,Dessert,German,15 minutes,45 minutes,NA,NA,NA,4,"Preheat oven to 350 F. Butter a 10 to 11 inch springform pan or a pan with a removable bottom.
Peel the apples, remove the core, dice/slice them (not too thick), place them in a bowl and stir in a tablespoon or two of lemon juice (to prevent browning). Set aside until the batter is ready.
In a small bowl combine the flour, baking powder, and salt. In a large mixing bowl beat the butter, sugar, milk, vanilla extract, and cinnamon until pale and creamy/frothy. Beat in the eggs one at a time, mixing thoroughly before adding the next egg. Stir in the flour mixture until combined but don't over-stir.
Pour the apples into a colander and let them drain. Set aside a few pieces/slices to press into the top of the cake at the end. Stir the apple pieces into the batter and scoop the batter into the greased pan. Use the apple pieces you set aside and press them into the top of the batter. Bake for 40-55 minutes until a toothpick inserted into the center of the cake until comes out clean. Let the cake cool in the pan for 15 minutes and then remove it to let it cool completely.
If using the sugar cinnamon or apricot jam toppings (see blog post ""Optional Toppings"" for instructions), apply it while the cake is hot and then let the cake cool. If using powdered sugar, sprinkle it over the cake once it's cooled. 
Serve the cake on its own, with some whipped cream, homemade German Vanilla Sauce, or serve it with vanilla ice cream and/or a drizzle of homemade Caramel Sauce.
Store the cooled cake in a cake saver or airtight container. This cake will be even more moist the next day. Will keep at room temperature for up to 3 days or can be refrigerated a little longer.",12,"1 1/2 pounds sweet-tart apples (about 4-5) (e.g. Granny Smith, Jonagold, Braeburn, Gravenstein, Honey Crisp, Pink Lady)",1-2 tablespoons lemon juice,2 cups all-purpose flour,3 teaspoons baking powder,1/2 teaspoon salt,"14 tablespoons quality unsalted butter , softened at room temperature",1 cup granulated sugar,"3 large eggs , room temperature",3 tablespoons milk,1 teaspoon ground cinnamon,1 packet Vanillezucker,OR 1 teaspoon quality vanilla extract,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/german-apple-cake-apfelkuchen/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Authentic Hutzelbrot (German Dried Fruit & Nut Bread),Kimberly Killebrew,4.94,16,"Dessert, Snack",German,30 minutes,NA,NA,30 minutes,48 slices (approx.),10,"Place the dried fruits (except for the raisins) in a pot and pour the water over them. Bring it to a boil, reduce the heat, cover and simmer for 15 minutes. Turn off the heat and let it sit for at least 3 hours. Pour them into a colander over a bowl to collect all of the liquid. Let it strain for a sufficient amount of time to ensure as much of the liquid is drained out as possible. Reserve the fruit liquid, you’ll need it later. (See NOTE) 
While the dried fruits are cooling, place the raisins in a bowl and stir in the rum so the raisins soak it all up.
Toast the whole almonds and hazelnuts in the oven until fragrant (be careful not so scorch them) and once cooled chop them very coarsely (basically just in half). Coarsely chop the drained dried fruits.
Heat 1 1/4 cups of the reserved fruit water (keep the rest for later) until just lukewarm. Stir the yeast into it along with a couple teaspoons of the sugar. Let the mixture sit for about 15 minutes until very frothy.
While the yeast mixture is sitting, add the flours, sugar, salt, ground anise seed and cinnamon to the bowl of a stand mixer and stir to combine. Make a well in the center and pour the yeast mixture in. Using the dough hook, knead the mixture until it comes together and then knead for about 6 minutes. The dough will be very firm. Lightly spray the bowl and put the dough ball back in. Loosely cover it with plastic wrap and let it rest in a warm place for 30 minutes. The dough will not rise much, it will just get slightly puffy.
Add the chopped dried fruits, raisins, candied lemon and orange peels, chopped toasted nuts and lemon zest to the dough. Using the dough hook, knead the mixture until it is thoroughly combined. The fruits will become mushier and incorporate into the dough and depending on how much liquid was drained out of the dried fruits, the dough may be very wet. Continue adding a little flour at a time until the dough is manageable. You do NOT want it to become stiff and dry, it needs to remain soft and moist but not too wet. You want to reduce the moisture just until the dough is manageable enough to turn out onto a work surface where you will continue to add a little more flour as needed.
Turn the dough out onto a generously floured work surface. Use your hands to knead the dough to make sure all the ingredients are evenly incorporated, adding more flour as needed until you’ve got a round dough ball that is soft and malleable but not sticky on the outside.
Place the dough ball into a lightly sprayed large bowl and cover loosely with plastic wrap. Let it rest at room temperature for about 2 hours. It will not rise very much, it will just become a little puffy. Punch it down in the center, cover with plastic wrap and place it in the refrigerator overnight. This will improve the flavor of the yeast dough and also enable to flavors of the fruits and spices to develop and fully penetrate the dough.
NOTE: If you’re in a hurry, you can skip the overnight refrigeration step (though we recommend it). After letting the dough rest at room temp for 2 hours, follow the steps to form the Hutzelbrot loaves, and let them rest for another 60-90 minutes until slightly puffy, brush with the fruit juice and bake as instructed.
The next day, remove the dough from the fridge and let it sit at room temperature for 4-5 hours. Again, it won’t rise a whole lot but it will become puffier. Cut the dough ball into 4 equal portions (though the dough won’t have risen much, it will be nice and puffy when you cut into it). Don’t make the loaves any larger, you want to ensure the inside is fully baked before the outside burns. 
Form each piece into oval-shaped loaves and place them on a lined baking sheet. NOTE: If you prefer, you can divide them further to make 8 smaller loaves (in which case I recommend forming them into little round loaves) and reduce the baking time.
Place the whole, blanched almonds on top in the traditional manner (see pictures). Loosely lay some plastic wrap over the top and let the loaves rest in a warm place for 60-90 minutes until just slightly puffy.
Preheat the oven to 350 degrees F.
Brush each loaf all over with the reserved fruit juice, saving half of it for later. Bake the loaves on the middle rack for about an hour until very dark brown but not burnt. Pick one up with a dish towel and knock on the bottom to see if it sounds fairly hollow.
Remove the loaves from the oven and, while still hot, poke them all over with a toothpick and brush them with the remaining fruit juice. Let them cool completely and then wrap them tightly in plastic wrap and then foil to let them ""ripen"" for a few days (traditionally they're left to ripen in a cool place for 2 weeks) before eating. That will ensure the best flavor and texture. Note, if you're letting them age for more than a few days you can transfer them to the fridge but they will get hard in the cold temperature. You can microwave the slices for a few seconds to soften them up. 
Slice, spread with a little butter and enjoy! (I like it best heated up for a few seconds in the microwave.)",21,16 ounces (500 grams) dried pears,12 ounces (350 grams) dried figs,8 ounces (250 grams) dried apricots,8 ounces (250 grams) dried plums,4 cups (950 mL) water,16 ounces (500 grams) raisins,3 tablespoons rum,3 teaspoons dry active yeast,2 1/2 cups (350 grams) all-purpose flour,1 1/2 cups (150 grams) medium to dark rye flour,3/4 cup (150 grams) granulated sugar (Hutzelbrot is not meant to be overly sweet; add more sugar if desired),1/4 teaspoon salt,2 tablespoons ground cinnamon,1 1/2 tablespoons ground or finely crushed anise seed (NOT the same as star anise),8 ounces (250 grams) whole hazelnuts,8 ounces (250 grams) whole almonds,Daring Gourmet,https://www.daringgourmet.com/hutzelbrot-german-fruit-and-nut-bread/,"2 ounces (60 grams) candied orange peel , chopped","2 ounces (60 grams) candied lemon peel , chopped",Homemade Candied Orange & Lemon Peel (click link for recipe) (STRONGLY recommended to make your own),zest of one lemon,"16 whole, blanched almonds (for decorating) (to blanch, bring the almonds to a boil in some water, rinse and squeeze to remove the skins)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Olive Tapenade with Figs and Roquefort,Kimberly Killebrew,5,44,"Appetizer, hors d’oeuvres","French, Provencal",10 minutes,NA,NA,10 minutes,NA,2,"Place the first ten ingredients in a food processor and pulse to finely chop. Add the oil and walnuts and pulse to form a chunky paste.
Spread the tapenade on the baguettes and top with the Roquefort or blue cheese and a tiny sprig of parsley for garnish.
Note: The flavor is best after the ingredients have had some time to meld.",15,"1 cup black olives , rinsed and drained",1/2 cup dried halved black mission figs,"2 teaspoons capers , rinsed and drained","1 clove garlic , roughly chopped",3/4 teaspoon fresh thyme leaves,1/8 teaspoon fresh orange zest,1/4 teaspoon salt,1/8 teaspoon freshly ground black pepper,1 teaspoon honey (vegan: use sugar syrup or agave),1 1/2 teaspoons dark balsamic vinegar,1/4 cup extra virgin olive oil,2 tablespoons chopped toasted walnuts,"baguette sliced into rounds and lightly toasted , for serving (Gluten Free: Use GF bread or crackers)","small shards/shavings of Roquefort, gorgonzola or blue cheese , for serving (vegan: use blue cheese substitute such as “Sheesh”)","fresh flat-leafed parsley , for garnish",NA,Daring Gourmet,https://www.daringgourmet.com/black-olive-fig-tapenade-with-roquefort/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kokosmakronen (German Coconut Macaroons),Kimberly Killebrew,5,51,Dessert,German,15 minutes,25 minutes,NA,40 minutes,40 macaroons,4,"Preheat the oven to 325 F and line two baking sheet with either parchment paper or a silicone mat. Distribute 40 Back Oblaten on the baking sheets.
In a dry skillet, toast the coconut over medium heat for a few minutes until roughly half of the coconut turns golden. This step is optional but it brings out more of the coconut flavor. Transfer the coconut to a plate to cool.
In a mixing bowl beat the egg whites until they're foamy then add the salt and vanilla sugar. Gradually add the granulated sugar as you continue to beat the egg whites. Beat until stiff peaks form. Gently fold in the coconut.
Use two spoons or a medium cookie scoop to evenly distribute the mixture onto the Oblaten.
Bake the coconut macaroons on the middle shelf of the oven for 25-30 minutes until they're golden brown. How brown you let your macaroons get is up to you. Some prefer them paler, some browner to bring out more coconut flavor.
Transfer the coconut macaroons to a wire rack to cool completely.
If dipping the macaroons in chocolate, gently melt the chocolate in the microwave, stirring every 20 seconds, or over a double boiler until smooth. Dip and/or drizzle each macaroon and set them on parchment paper to fully set. Once set, transfer them to an airtight container. 
The Kokosmakronen will keep for up to a week. You can also freeze them for up to 3 months (layer them between parchment paper to avoid sticking) and let them thaw at room temperature.",7,4 egg whites,3/4 cup granulated sugar,"1 packet vanillezucker (vanilla sugar) , can substitute 3/4 teaspoon vanilla extract",1/8 teaspoon salt,3 1/2 cups unsweetened shredded coconut,"8 ounces dark, milk, or white chocolate for dipping or drizzling (optional), chopped (or about 1 1/3 cup chocolate chips)","40 size 40mm Back Oblaten (see blog post for reasons these are used), for GF omit the Oblaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/kokosmakronen-german-coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimtsterne (German Cinnamon Stars),Kimberly Killebrew,4.98,179,Dessert,German,20 minutes,30 minutes,10 minutes,NA,24 cookies,4,"Preheat the oven to 250º F (120º C) (do not turn on the fan, it can cause the egg white topping to brown before the cookies are done). Place the rack on the bottom rung of the oven.
Beat the egg whites in a medium-sized bowl until soft peaks form (be careful not to over-beat the egg whites or the frosting/glaze won't turn out correctly). Sift the powdered sugar and stir it into the egg whites until combined. Reserve 2/3 cup of the egg white mixture to glaze the cookies.
Add the almond meal, cinnamon, vanilla sugar and salt and mix until the dough comes together in a fairly stiff but pliable mass. If it's too soft or sticky to work with add a little more nut meal and powdered sugar.
Press/roll the dough onto a non-stick surface sprinkled with powdered sugar to a thickness of about 1/3 inch. Use a 3-inch star cookie cutter to cut out the cookies and transfer them to a lined or non-stick cookie sheet. Form the scraps of dough into a ball, roll it out again and cut cookies out of the remaining dough.
Place a little of the egg white mixture on each cookie and use a toothpick or a pastry brush to smooth all the way to the edges. Alternatively you can use a pastry bag or condiment bottle to apply the egg white mixture.
Place the sheet on the bottom rack of the oven. Bake the Zimtsterne for 30 minutes. Turn off the oven and open the oven door just a crack and let the cookies sit for another 10-15 minutes to further dry out. Then transfer them to a wire rack to cool completely. 
The cookies can be stored in a dry, airtight container in a cool place for up to 2 weeks.",7,3 large egg whites,2 cups powdered/confectioner sugar,3 1/4 cup non-blanched almond meal,or hazelnut meal,2 teaspoons ground cinnamon,1 packet Vanillezucker (recommended but if you can't get it simply omit **one packet has 1.5 teaspoons of vanilla sugar),1/8 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/zimtsterne-german-cinnamon-star-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Marzipan (Almond Paste),Kimberly Killebrew,4.97,480,"Candy, condiment, Dessert","German, Italian",5 minutes,NA,NA,5 minutes,NA,2,"Place the almond flour and powdered sugar in a food processor and pulse until combined and any lumps are broken up. Add the almond extract and rose water and pulse to combine. Add the egg white or water/liquid sweetener and process until a thick dough is formed. If the mass is still too wet and sticky, add some more almond flour. If it's too firm and you need it to be more malleable just add a tiny bit of water. Keep in mind that the marzipan will become firmer after it's been refrigerated.
Turn the marzipan out onto a work surface and knead it a few times. Form it into a log, wrap it up in plastic wrap and refrigerate.
Will keep for at least a month in the refrigerator or up to 6 months in the freezer. Bring to room temperature before using in any recipe.
Makes 13-14 ounces.",6,1 1/2 cups very finely ground blanched almond flour,1 1/2 cups powdered sugar,OR 1 1/2 cups Swerve Confectioner Sweetener (sugar-free alternative),2 teaspoons quality pure almond extract,1 teaspoon quality food grade rose water,"1 egg white OR 3 tablespoons water OR 3 tablespoons liquid sweetener (e.g. agave syrup, corn syrup, etc) *(alternatively you can use liquid pasteurized egg whites or reconstituted powdered egg whites)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-make-marzipan-almond-paste/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marzipankartoffeln (Marzipan Potatoes),Kimberly Killebrew,4.89,9,Dessert,German,15 minutes,NA,NA,15 minutes,25 Marzipankartoffeln,3,"Place the marzipan in a large mixing bowl with the powdered sugar. Use your hands to knead the mixture until the powdered sugar is incorporated. The marzipan will be stiff but should be malleable and able to be rolled into small balls without crumbling apart. If necessary, add the water and more if necessary, a few drops at a time.
Break off pieces of the marzipan and roll them into 3/4 inch sized balls.
Place the cocoa powder in a small bowl and add the marzipan balls in a few at a time, tossing them in the chocolate until coated.
Place a sieve over the bowl and shake the chocolate-covered marzipan balls in it to release the excess chocolate.
Store in an airtight container. (If you used the traditional egg white when making the homemade marzipan, keep them stored in the fridge for up to two weeks. If you used corn syrup you don't need to keep them in the fridge and they will last even longer. Note, if made with corn syrup the texture won't be as tender.)",4,7 ounces marzipan (see quick and easy homemade marzipan recipe),3/4 cup sifted powdered sugar,"1/2 teaspoon water , plus more if necessary",3 tablespoons Dutch process cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/marzipankartoffeln-chocolate-dusted-marzipan-potatoes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traditional Gugelhupf (Kugelhopf),Kimberly Killebrew,5,16,Dessert,"Austrian, French, German",15 minutes,40 minutes,NA,55 minutes,NA,3,"Butter a 8.5 inch Kugelhopf pan (8 to 9 cup capacity).
Place the raisins and rum in a small bowl, stir to combine, and let the raisins soak for at least an hour or overnight.
Place the lukewarm cream in a bowl or cup and stir in the yeast along with one tablespoon of the sugar. Let sit for 10-15 minutes until nice and frothy.
In the bowl of a stand mixer fitted with a paddle attachment, cream butter, lard (if using) and sugar until pale and fluffy. Add lemon zest and vanilla and beat until combined. Add egg yolks and beat until combined. 
Add half of the flour and yeast mixture and mix until combined. Add the remaining half of the flour and yeast mixture and the salt and mix until combined. Once the mixture comes together continue to knead with the paddle attachment for 10 minutes, scraping down the sides as needed. If the mixture is too dry, add some additional egg yolk. If it's too wet, add some additional flour. Cover loosely with plastic wrap and put in a warm place (like a warm oven) to rise for up to two hours or until doubled in size.
Roll out onto clean non-stick work surface. Press or roll out to for a rectangle about 1/4 inch thick. Sprinkle evenly with the raisins and almonds. Roll it up from the widest side. Bring the ends together to form a circle, pressing the ends together, and place it into the Kugelhopf mold. Press gently down to ensure the dough is evenly spread in the pan. Cover loosely with plastic wrap and put in a warm place (like a warm oven) to rise for about another hour or until the dough has risen just barely above the mold.
In the meantime, preheat the oven to 350 F.
Bake the Gugelhupf until it is nicely browned and a toothpick inserted into the middle comes out clean, about 30-40 minutes. Let the cake sit in the pan for 10 minutes and then invert onto a wire rack to cool completely. Dust with powdered sugar.
Serve immediately. Best eaten the same day.
To store leftovers, wrap well in plastic wrap (will keep up to 3 days) or freeze. (See blog post for ideas on how to use leftover Kugelhopf.)",15,"1 cup heavy cream , heated to lukewarm temperature (traditionally heavy cream is used for the richest results but you can substitute whole milk if preferred)",2 1/4 teaspoons active dry yeast,1/2 cup granulated sugar,4 cups all-purpose flour,1/2 teaspoon salt,"2/3 cup unsalted quality butter , room temperature, cut into pieces",1/3 cup lard (traditionally used and recommended for the best texture but can substitute butter if preferred),How to Render Lard,"5 large egg yolks , room temperature",1 1/2 teaspoons quality pure vanilla extract,zest of one lemon,3/4 cup combination of raisins and golden raisins,1 tablespoon rum,1/3 cup slivered or sliced almonds,"12 whole blanched almonds (to blanch/remove the skins, place the almonds in boiling water, let sit for one minute, drain, and squeeze the almonds between your fingers to slip the skins off)",NA,Daring Gourmet,https://www.daringgourmet.com/traditional-gugelhupf-kugelhopf/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avgolemono (Greek Lemon Chicken Soup),Kimberly Killebrew,4.98,45,"Appetizer, Main Course, Side Dish, Soup","Greek, Sephardic Jewish",10 minutes,15 minutes,NA,25 minutes,NA,1,"Place the chicken broth in a medium-sized stockpot and add the orzo and salt. Bring it to a boil, reduce the heat, cover and simmer for 15 minutes or until the orzo is soft. 
Whisk the eggs and lemon juice together in a bowl. Gradually add one ladle of warm soup to the eggs, whisking continually and vigorously to prevent curdling and until the mixture is smooth. Add another ladle of soup, whisking continually. Gently whisk the egg mixture back into the soup. Add the chicken and heat through. DO NOT simmer or the eggs will curdle. Just heat until warm enough to eat. Add salt to taste.
Serve immediately, garnished with slices of lemon and a sprinkle of coarsely ground black pepper and chopped fresh dill. Serve with a salad and/or some crusty bread.",8,2 cups shredded chicken breast or rotisserie chicken,6 cups quality chicken broth,1/2 cup uncooked orzo or rice (I'm using orzo),1/2 teaspoon kosher or sea salt,1/3 cup freshly squeezed lemon juice (about 2 medium sized lemons),"3 large eggs , at room temperature",For garnish:,"lemon slices, coarsely ground black pepper, chopped fresh dill",NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/avgolemono-greek-lemon-chicken-soup/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haselnussmakronen (German Hazelnut Macaroons),Kimberly Killebrew,5,8,Dessert,German,10 minutes,15 minutes,NA,25 minutes,NA,4,"Preheat the oven to 350 degrees F.
Beat the egg whites and salt in a mixing bowl until stiff peaks form. Be careful not to over-beat. Add the cinnamon and gradually add the powdered sugar while beating. The texture will be smooth and glossy. Add the ground hazelnuts and gently fold them into the egg white mixture with a rubber spatula.
If using the Back Oblaten, place them on the lined cookie sheet a little over an inch apart. Use a small spoon to place about 2 teaspoons worth of the mixture per cookie onto the oblaten (or directly onto the lined cookie sheet if not using the oblaten).
Bake for 15-20 minutes or until the edges just barely begin to turn a light golden color.
Let the cookies cool almost completely on the cookie sheet before transferring them to a wire rack or they will stick to the cookie sheet. You may need to use a butter knife to assist you. Store in an airtight container.",7,3 medium egg whites,1/8 teaspoon salt,1/4 teaspoon cinnamon,1 1/4 cup sifted powdered sugar,"2 1/2 cups hazelnut flour , see Note",Whole hazelnuts one for each cookie,Back Oblaten,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/german-nussmakronen-hazelnut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Strudel (Apfelstrudel),Kimberly Killebrew,5,66,Dessert,"Austrian, German",30 minutes,30 minutes,NA,NA,NA,5,"Place the raisins in a bowl and toss with the rum. Let soak for at least an hour or up to overnight. Drain.
To make the filling:
Combine the sugar and cinnamon. Place the apples, raisins, walnuts, lemon juice, and cinnamon sugar in a large bowl and stir to combine. Set aside.
To make the strudel dough:
In a food processor add the flour and salt, and pulse to combine. Add the water, oil, and lemon juice/vinegar (the acid helps relax the gluten making the pastry dough more elastic) and, if using, the egg. Pulse until the dough comes together. Do not over-knead. Alternatively you can do this in a stand mixer or by hand.
 Transfer the dough to a lightly floured work surface, slam it down a few times to encourage the gluten development, and knead for a couple of minutes. If the dough is too sticky add a little more flour. If it is too dry add a little more water. Form the dough into a ball.
Transfer the dough to an oiled bowl, turn the ball around in the bowl to lightly coat the ball in oil, then cover with plastic wrap and let it sit at room temperature for 1 hour. Do not rush this process, the gluten in the flour need time to relax so that it becomes more elastic. The dough is not going to rise during this time since there is no yeast in it, but it's going to relax and soften.
Preheat the oven to 375 F(190 C). Line a baking sheet.
Lightly flour a clean work surface and roll the dough out to a diameter of 12-15 inches. On a clean work surface, spread out an extra large, clean, smooth dish towel or a tablecloth and very lightly flour it. Transfer the dough onto the cloth, smoothing any wrinkles in the cloth, and brush with 1/3 of the butter (this will help moisten the dough to help prevent it from ripping when we stretch it).
Very gently lift and stretch the dough from the center to the outside, working your way around the perimeter of the dough to form a large rectangular, using your knuckles at first to move from center to the outer perimeter (be sure to remove any jewelry that could get caught on the dough).
Continue this process, gently pulling and stretching any thicker areas of dough. The dough is thin enough when it starts to look translucent and you can see the pattern of the cloth underneath it. The thinner the dough, the flakier the pastry. Trim off the thick band of dough around the pastry sheet, leaving a thin pastry sheet that's about the size of your standard baking sheet (18×26 in).
Brush half of the remaining butter over the pastry sheet. Sprinkle the breadcrumbs over half of the pastry sheet, leaving an inch around the edges. Spread the apple mixture over the breadcrumbs.
Fold in the sides over the apple mixture to prevent it from spilling out, then use the dish towel/tablecloth to lift the end of the roll with the apples, rolling it onto itself all the way to end. Alternatively roll the strudel and then tuck the sides under the roll to prevent the filling from spilling out.
Transfer the strudel to a lined baking sheet with the seam side down and brush with the remaining melted butter.
Bake the strudel on the middle rack for 30-40 minutes or until the crust turns a rich golden. 
Remove the apfelstrudel from the oven, let it cool slightly, and then give it a generous dusting of powdered sugar. 
Serve immediately while the crust is still crispy (it will soften as the strudel cools). Slice the warm strudel and serve with your choice of vanilla ice cream, or vanilla sauce.",18,For the Strudel Dough:,2 cups bread flour (can substitute all-purpose flour),1/4 teaspoon salt,1/2 cup warm water,2 tablespoons neutral tasting oil,1 teaspoon lemon juice or vinegar,"1 egg (optional), makes the dough easier to work with but the pastry will not be as flaky","6 tablespoons unsalted butter , melted and divided",For the Filling:,"5 medium apples (tart or sweet-tart) , peeled and cored, cut into small cubes or thinly sliced (e.g. Granny Smith, Pink Lady, McIntosh, Braeburn, etc)",1/3 cup golden raisins (can use regular raisins),2 tablespoons rum (optional),"1/4 cup chopped walnuts (optional), toasted in a dry skillet until lightly browned",1 1/2 tablespoons lemon juice,1/2 cup granulated sugar,"1 teaspoon ground cinnamon (apple strudel isn't overly ""cinnamony"" but you can increase it if you prefer)",Daring Gourmet,https://www.daringgourmet.com/apple-strudel-apfelstrudel/,"1/2 cup fine white breadcrumbs , toasted in a dry skillet until light golden",powdered sugar for dusting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
