title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Gingerbread Banana Bread,Jamie,4.80,10,10 minutes,8 minutes,NA,NA,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, molasses, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons) or two spoons, drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",7,NA,NA,▢ 3 tablespoons molasses,NA,NA,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gingerbread-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cake,Jamie,4.80,10,10 minutes,8 minutes,NA,NA,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, molasses, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons) or two spoons, drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",7,NA,NA,NA,▢ 2 tablespoons vegetable oil,NA,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gingerbread-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Latte,Jamie,4.80,10,10 minutes,8 minutes,NA,NA,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, molasses, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons) or two spoons, drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",7,NA,NA,NA,NA,▢ 1 ½ teaspoons ground ginger,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gingerbread-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Truffles,Jamie,4.80,10,10 minutes,8 minutes,NA,NA,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, molasses, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons) or two spoons, drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",7,NA,NA,NA,NA,NA,▢ 1 teaspoon pure vanilla extract,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gingerbread-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Crinkle cookies,Jamie,4.80,10,10 minutes,8 minutes,NA,NA,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, molasses, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons) or two spoons, drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",7,NA,NA,NA,NA,NA,NA,▢ ⅓ cup powdered sugar,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gingerbread-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sour Cream Sugar Cookies,Jamie,4.41,88,40 minutes,10 minutes,NA,50 minutes,36 3-inch cookies,5,"In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, cream butter and sugar until light and fluffy; about 3 minutes. Beat in eggs. Add sour cream and vanilla and mix until thoroughly combined.
In another large bowl, whisk together the flour, baking powder, baking soda, and salt. Gradually add the dry ingredients to the butter mixture and mix until just combined. The dough will be sticky and very soft. Divide dough in half. Shape each into a disk; wrap in plastic wrap. Refrigerate for at least 4 hours or freeze for 1 hour or until the dough is firm enough to roll.
Preheat oven to 350°F and line baking sheets with parchment paper. On a well-floured surface, roll each portion of dough to 1/4-in. thickness. Cut with a floured cookie cutter. Place cookies at least 2 inches apart on prepared cookie sheets.
Bake cookies in preheated oven for 10-12 minutes. Allow cookies to remain on cookie sheet for about 5 minutes before using a spatula to carefully remove them to a wire rack to cool completely.
Once the cookies are cooled completely, prepare the frosting. In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, beat butter, confectioners’ sugar, vanilla, salt, corn syrup and enough milk to reach desired consistency. Spread frosting over cookies. If desired, add festive sprinkles.",15,▢ 1 cup unsalted butter softened,▢ 1 ½ cups granulated sugar,▢ 2 large eggs,▢ 1 cup sour cream 8 ounces,▢ 2 teaspoons pure vanilla extract,▢ 4 cups all-purpose flour,▢ 2 teaspoons baking powder,▢ 1 teaspoon baking soda,▢ ¼ teaspoon fine sea salt,▢ ⅓ cup unsalted butter softened,My Baking Addiction,https://www.mybakingaddiction.com/sour-cream-cut-out-cookies/,Cookies,▢ 2 cups confectioners’ sugar sifted,▢ 1 ½ teaspoons pure vanilla extract,▢ ¼ teaspoon salt,▢ 2 teaspoons light corn syrup,▢ 1 to 2 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melted Snowman Cookies,Jamie,4.75,4,NA,9 minutes,Cooling Time: 45 minutes mins,54 minutes,16 cookies,9,"Preheat oven to 375°F. Line a baking sheet with parchment paper.
In a large bowl or in the bowl of a stand mixer fitted with the paddle attachment, add the cookie mix, butter, and egg. Mix with a wooden spoon or the mixer until a soft dough forms.
Roll about ⅔ of the dough into walnut-sized balls for the snowman bodies. Flatten them slightly and place on the prepared baking sheet. Roll the remaining dough into marble-sized balls for the snowman heads and place them on the cookie sheet; do not flatten these. You should have an equal number of bodies and heads.
Bake 8-10 minutes or until the edges are barely golden. Cool on the baking sheet for about 5 minutes, or until cookies are firm enough to be transferred to a cooling rack. Cool completely before decorating.
Bring a small pot with 1-2 inches of water to a simmer. Place the candy melts in a metal or glass mixing bowl that fits on top of the pot without touching the water. Set the bowl over the simmering water, stirring frequently until the discs are melted and smooth.
Set a piece of waxed or parchment paper under the cooling rack with the cookies.
Place a dot of the melted candy coating on the bottom of a small cookie, adhering it toward one edge of a larger cookie. Once that has set, spoon coating over the entire cookie, allowing some to spill over the edge of the bottom cookie.
Immediately place two black sugar pearls or confetti pieces on the small cookie for eyes and an orange candy-coated sunflower seed or jimmy in the center for a carrot nose. Place three sugar pearls or confetti sprinkles as buttons on the bottom cookie. If desired, decorate with other festive sprinkles and a sprinkling of white sanding sugar all over the snowman.
Allow to dry completely, then store in an airtight container.",8,▢ 1 package Betty Crocker sugar cookie mix 1 pound 1.5 ounces,▢ ½ cup unsalted butter softened,▢ 1 large egg,▢ 12 ounces white candy melts,▢ Black sugar pearls or black candy confetti for eyes and buttons,▢ Orange candy-coated sunflower seeds or orange jimmies for noses,▢ White sparkling sugar,▢ Various festive sprinkles,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/melting-snowman-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Crescent Cookies,Jamie,5,2,NA,14 minutes,NA,NA,30 cookies,9,"Preheat oven to 325°F. Line baking sheets with parchment paper or silicone baking mats. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, combine the melted butter, egg yolk, ¾ cup powdered sugar, and salt.
With the mixer on low speed, gradually add 5 cups of the all-purpose flour. Continue mixing on low speed for 15 minutes, scraping the sides of the bowl as needed.
Add the almond meal and almond extract. Return the mixer to low speed and mix for another 15 minutes.
In the last few minutes of mixing, if the dough is too soft to form into a ball, add the last cup of flour, ½ cup at a time, until the dough can be shaped.
Working with 1.5-tablespoon portions, shape the dough into crescents and place on the lined baking sheets.
Bake for 13-14 minutes, until the cookies are pale, the outsides are dry, and the bottoms are set.
Let rest on the baking sheet for 5 minutes. Very carefully remove each cookie from the baking sheet and coat in the remaining powdered sugar. Cookies are very delicate, so be very gentle.
Let the cookies finish cooling on a wire cooling rack. When completely cool, coat the cookies one more time in powdered sugar.",7,▢ 1 pound unsalted butter melted and cooled (2 cups),▢ 1 egg yolk,▢ ¾ cup powdered sugar plus about 2 additional cups for dusting,▢ ½ teaspoon fine sea salt,▢ 5-6 cups all-purpose flour,▢ ¾ cup almond flour or almond meal,▢ 1 teaspoon almond extract,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/crescent-almond-sugar-cookies-recipe/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted maple cookies,Jamie,4.88,8,25 minutes,17 minutes,Chilling Time: 1 hour hr,42 minutes,24 cookies,9,"In a medium bowl, whisk together the flour, baking powder, cinnamon and salt. Set aside.
Beat sugar and butter together in a large bowl with an electric mixer or in the bowl of a stand mixer fitted with the paddle attachment until light and fluffy, about 3 minutes. Add maple syrup, egg yolks, and vanilla; beat at medium speed until smooth. Gradually beat in flour mixture at low speed until just combined.
Cover dough and chill in the refrigerator for at least 1 hour.
Preheat the oven to 325°F. Line baking sheets with parchment paper or silicone baking mats. Set aside.
Use a medium cookie scoop to portion the dough 2 inches apart onto the prepared baking sheets.
Bake in the preheated oven until the edges are barely golden and the centers are set, 17-19 minutes. Cool on the baking sheet briefly before removing to a wire rack to cool completely.
Once the cookies have cooled completely, prepare the frosting.
Add the butter, powdered sugar, maple syrup, vanilla, maple extract, salt, and half of the milk to the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer. Beat on low speed until combined, then increase speed to high and mix for 2-3 minutes. If needed, add the remaining milk to reach your desired consistency.
Spread frosting onto cookies. If desired, sprinkle with sparkling coarse sugar immediately.",18,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon fine sea salt,▢ 1 cup lightly packed brown sugar,▢ ¾ cup unsalted butter softened,▢ ½ cup pure maple syrup,▢ 2 egg yolks,▢ 1 teaspoon pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/frosted-maple-cookies/,Cookies,▢ 1 tablespoon unsalted butter room temperature,▢ 2 cups powdered sugar sifted,▢ ¼ cup pure maple syrup,▢ ½ teaspoon pure vanilla extract,▢ ½ teaspoon maple extract,▢ Tiny pinch of salt,▢ 1 tablespoon milk,▢ sparkling sugar for sprinkling optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Snickerdoodles,Jamie,4.73,36,30 minutes,13 minutes,Chilling Time: 12 hours hrs,43 minutes,30 cookies,8,"In the bowl of a stand mixer fitted with the paddle attachment, cream together the butter and sugars until light and fluffy, 3-4 minutes. Add the egg, pumpkin puree, and vanilla and mix until thoroughly combined.
In a separate bowl, whisk together the flour, baking soda, cream of tartar, pumpkin pie spice, and salt.
Gradually add dry mixture to the wet ingredients and mix until just combined. Cover and chill for 12-24 hours.
When ready to bake, preheat oven to 350°F and line a baking sheet with parchment paper or a silicone baking mat.
In a shallow bowl, mix together the 1/2 cup of sugar, 1 teaspoon of cinnamon and 1 teaspoon pumpkin pie spice.
Use a medium cookie scoop (1.25-1.5 tablespoons) to scoop the dough into balls, rolling each in the spiced sugar mixture.
Place the dough balls onto the prepared baking sheet 2 inches apart. Bake for 12-13 minutes, until barely golden and puffed. Cookies will deflate and and take on the characteristic snickerdoodle crinkles as they cool.
Let cool on the baking sheet for 3-5 minutes before carefully transferring to a wire rack to finish cooling.",14,▢ ¾ cup unsalted butter softened,▢ 1 cup lightly packed brown sugar,▢ ½ cup granulated sugar,▢ 1 large egg,▢ ½ cup pure pumpkin puree,▢ 1 teaspoon pure vanilla extract,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 2 teaspoons cream of tartar,▢ 1 teaspoon pumpkin pie spice,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-snickerdoodles/,Cookies,▢ ½ teaspoon fine sea salt,▢ ½ cup granulated sugar,▢ 1 teaspoon ground cinnamon,▢ 1 teaspoon pumpkin pie spice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Macadamia Nut Cookies,Jamie,5,1,15 minutes,13 minutes,Chilling Time: 1 day d,28 minutes,48 cookies,6,"Whisk together flours, baking soda, baking powder and salt in a bowl. Set aside.
Using a mixer fitted with paddle attachment, cream butter and sugars together until very light, about 5 minutes. Add eggs, one at a time, mixing well after each addition. Stir in the vanilla. Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds. Stir in white chocolate chips and macadamia nuts. Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, let dough sit at room temperature for about 30-40 minutes to make it easier to scoop.
Preheat oven to 350°F. Line a baking sheet with parchment paper or a nonstick baking mat. Set aside.
Use a medium cookie scoop (1.25 to 1.5 tablespoons) to scoop balls of the cookie dough onto the baking sheet at least 2 inches apart. Bake for 11-13 minutes, or until the edges are golden but the centers are still soft. Cool on the baking sheet for 5-10 minutes before transferring to a wire rack to cool completely.
Repeat with remaining dough or reserve dough, refrigerated, for baking remaining batches the next day.",12,▢ 2 cups minus 2 tablespoons all-purpose flour,▢ 1 ⅔ cups bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons fine sea salt,▢ 1 ¼ cups unsalted butter,▢ 1 ¼ cups packed light brown sugar,▢ 1 cup plus 2 tablespoons granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/white-chocolate-macadamia-nut-cookies/,Cookies,▢ 1 ¼ cups white chocolate chips,▢ 1 cup macadamia nut pieces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Pistachio Pudding Cookies,Jamie,5,4,20 minutes,10 minutes,NA,NA,30 cookies,7,"Preheat oven to 350°F. Line baking sheets with parchment paper.
In a large bowl, whisk together the flour, baking soda and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, cream butter and sugars on medium speed for 3-4 minutes. Add in dry pudding mix, eggs and vanilla and mix until incorporated.
Gradually add dry ingredients to the butter mixture and mix until just combined. Stir in white chocolate chips and chopped pistachios.
Using a medium cookie scoop (about 1.25 to 1.5 tablespoons), scoop cookie dough balls onto prepared baking sheets at least 2 inches apart.
Bake in preheated oven for 10-12 minutes.
Allow cookies to cool on pan for about 3 minutes before carefully removing them to a wire rack to cool completely.",11,▢ 2 ¼ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ⅛ teaspoon fine sea salt,▢ 1 cup unsalted butter softened,▢ ¾ cup lightly packed light brown sugar,▢ ¼ cup granulated sugar,▢ 1 box instant pistachio pudding mix 3.4 ounces,▢ 2 large eggs,▢ 1 teaspoon pure vanilla extract,▢ 1 cup white chocolate chips,My Baking Addiction,https://www.mybakingaddiction.com/white-chocolate-pistachio-pudding-cookies/,Cookies,"▢ 1 cup shelled, roasted, and salted pistachios roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Lemon Cookies,Jamie,4.42,12,15 minutes,15 minutes,Chilling Time: 8 hours hrs,NA,14 extra-large cookies,9,"In a medium bowl, whisk together the flour, baking soda, baking powder, and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a large mixing bowl, add the sugar and lemon zest. Using your fingertips, rub the zest into the sugar until the sugar is moistened and fragrant.
Using the stand mixer or an electric hand mixer, beat the butter into the lemon sugar until light and fluffy, 3-5 minutes. Add the egg, vanilla extract, and lemon juice and beat until well combined.
Slowly add the dry ingredients, mixing just until combined.
Dollop the raspberry preserves in spoonfuls across the top of the dough, then use a rubber spatula to fold the preserves into the dough. Only fold the dough 3-5 times – you want to have streaks of preserves swirled into the dough, rather than mixing it in completely.
Use a 2oz (4 tablespoon) scoop (ice-cream-scoop size) to scoop the dough onto a parchment-lined baking sheet. You can place the dough balls close together since they will not be going into the oven yet.
Place the baking sheet, uncovered, in the refrigerator to chill overnight or for at least 4 hours.
When ready to bake, preheat the oven to 350°F. Place no more than 6 of the dough balls onto a lined baking sheet; keep the remaining dough balls in the refrigerator until ready to bake them.
Bake for 14-16 minutes, or until the edges are golden and the centers are puffed but still appear slightly underdone. Let the cookies cool on the baking sheet for 5 minutes before transferring to a wire rack.",11,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 ½ cups granulated sugar,▢ Zest of two large lemons,▢ 1 cup unsalted butter softened,▢ 1 egg,▢ ½ teaspoon pure vanilla extract,▢ 4 tablespoons fresh lemon juice,My Baking Addiction,https://www.mybakingaddiction.com/raspberry-lemon-cookies/,Cookies,▢ ½ cup raspberry preserves I used Bonne Maman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cowboy Cookies,Jamie,4.77,13,15 minutes,16 minutes,Chilling Time: 12 hours hrs,31 minutes,36 large cookies,8,"In a large bowl, whisk together the flour, baking powder, baking soda, cinnamon and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a very large bowl, beat butter with an electric mixer at medium speed until smooth and creamy. Gradually add the sugars and mix until fully incorporated and light and fluffy in texture.
Add eggs one at a time, beating after each egg. Stir in the vanilla extract.
Gradually add the flour mixture and mix until just combined. Add in the chocolate chips, oats, coconut and pecans and mix until fully incorporated into the dough.
Cover and refrigerate dough for 12-24 hours.
When you are ready to bake the cookies, preheat the oven to 350°F and line baking sheets with parchment paper. Remove the dough from the refrigerator and allow it to rest at room temperature while your oven preheats.
For each cookie, use a large cookie scoop (¼ cup volume) to drop dough onto prepared baking sheets, spacing 3 inches apart. Use the palm of your hand or the bottom of a glass to slightly flatten each ball of dough.
Bake for 16 to 18 minutes, until the edges are lightly browned. If desired, immediately top with flaky sea salt. Allow cookies to cool on the pans for about 5 minutes before transferring them to a wire rack to cool completely.",15,▢ 3 cups all-purpose flour,▢ 1 tablespoon baking powder,▢ 1 tablespoon baking soda,▢ 1 tablespoon ground cinnamon,▢ 1 teaspoon fine sea salt,▢ 1½ cups unsalted butter at room temperature,▢ 1½ cups granulated sugar,▢ 1½ cups packed light-brown sugar,▢ 3 eggs at room temperature,▢ 1 tablespoon pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/cowboy-cookies/,Cookies,▢ 3 cups semisweet chocolate chips,▢ 3 cups old-fashioned rolled oats,▢ 2 cups flaked coconut sweetened or unsweetened is fine,▢ 2 cups chopped pecans 8 ounces,▢ flaky sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookies with Brown Butter and Toffee,Jamie,4.25,8,15 minutes,18 minutes,Chilling Time: 1 day d,33 minutes,20 generously sized cookies,5,"Sift flours, baking soda, baking powder and salt into a bowl. Set aside.
Using a mixer fitted with paddle attachment, combine cooled brown butter and sugars together at medium speed for about 3 minutes. Add eggs and egg yolk, one at a time, mixing well after each addition. Stir in the vanilla.
Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds. Gradually add in the chocolate chips and toffee bits and mix until just combined. Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, place dough out on the counter for about 30 minutes to 1 hour to soften up a bit, this will allow you to scoop the dough a bit easier. Preheat oven to 350°F. Line a baking sheet with parchment paper. Set aside.
Scoop dough into balls approximately 3 ounces apiece. Place dough balls onto prepared baking sheet leaving a few inches between each cookie to allow for spreading. Bake 16-18 minutes until golden brown but still soft. If desired, immediately sprinkle with flaky sea salt. Transfer sheet to a wire rack for 10 minutes, then slip cookies onto another rack to cool a bit more. Repeat with remaining dough, or reserve dough, refrigerated, for baking remaining batches the next day.",13,▢ 2 cups minus 2 tablespoons cake flour,▢ 1 ⅔ cups bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons kosher salt,▢ 1 ¼ cups unsalted butter browned and cooled,▢ 1 ¼ cups packed light brown sugar,▢ 1 cup plus 2 tablespoons granulated sugar,▢ 2 large eggs plus 1 egg yolk room temperature,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-chip-cookies-brown-butter-toffee/,Cookies,▢ 1 10- ounce bag dark chocolate chips,▢ 1 8- ounce bag Heath Milk Chocolate English Toffee Bits,▢ flaky sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadbury Egg Cookies,Jamie,4.63,45,20 minutes,15 minutes,Chill Time: 2 hours hrs,35 minutes,30 cookies,5,"In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric hand mixer, beat butter and sugars until light and fluffy; about 4 minutes. Add in vanilla and eggs and continue beating on medium speed for an additional 3-4 minutes. 
In a large bowl, whisk together the flour, baking soda and salt. Gradually add the dry ingredients to the butter mixture and mix on low speed until just combined. Add in the chocolate chips and Cadbury Mini Eggs and mix until just combined. Cover and chill dough for at least 2 hours or overnight.
When you are ready to bake the cookies, remove the dough from the refrigerator, preheat the oven to 350°F and line baking sheets with parchment paper. 
Portion dough into 2 tablespoon balls and place them at least 2 inches apart on the prepared baking sheets. If you want the cookies to be as pictured, you can press additional chocolate and Cadbury Mini Egg pieces onto the tops of each dough ball before baking. 
Bake 13-15 minutes or until golden brown (centers will be soft). If desired, sprinkle the tops of each cookie with flaky sea salt. Cool 2-3 minutes on the cookie sheet before removing the cookies to a cooling rack to cool completely.",11,▢ 1 ½ cups unsalted butter room temperature,▢ 1 cup granulated sugar,▢ 1 cup packed light brown sugar,▢ 1 tablespoon pure vanilla extract,▢ 2 large eggs,▢ 3 ¾ cups all-purpose flour spooned and leveled,▢ 2 teaspoons baking soda,▢ 1 ¼ teaspoons sea salt,▢ 2 cups semisweet chocolate chips,"▢ 1 bag Cadbury Mini Eggs 9 ounces, chopped",My Baking Addiction,https://www.mybakingaddiction.com/cadbury-egg-cookies/,Cookies,▢ flaky sea salt for topping optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Patrick’s Day Crinkle Cookies,Jamie,4.78,22,10 minutes,9 minutes,NA,19 minutes,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, pudding mix, eggs, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons), drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",6,▢ 1 box white cake mix 15.25 ounces,▢ 1 box instant pistachio pudding mix 3.4 ounces,▢ 2 large eggs,▢ ½ cup vegetable oil,▢ 1 teaspoon pure vanilla extract,▢ ⅓ cup confectioners’ sugar,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/st-patricks-day-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Raisin Cookies,Jamie,5,5,15 minutes,14 minutes,NA,29 minutes,42 cookies,4,"Preheat oven to 350°F. Line cookie sheets with parchment paper or silicone baking mats.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, cream together butter and sugars until light and fluffy, about 3 minutes. Add in eggs and vanilla and mix until combined.
In a medium bowl, whisk together the flour, baking soda, pumpkin pie spice and salt. Slowly add the flour mixture to the wet ingredients, mixing until just combined. Stir in oats and Raisinets and mix until incorporated.
Use a medium cookie scoop (about 1 1/2 tablespoons) to drop dough onto prepared cookie sheets. Bake in preheated oven for 12-14 minutes or until golden brown. Allow cookies to sit on cookie sheets for about 5 minutes before removing them to a wire rack to cool completely.",11,▢ 1 cup unsalted butter room temperature,▢ 1 cup packed light brown sugar,▢ ½ cup granulated sugar,▢ 2 large eggs room temperature,▢ 1 ½ teaspoons pure vanilla extract,▢ 1 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 2 teaspoons homemade pumpkin pie spice,▢ ½ teaspoon salt,▢ 3 cups old-fashioned oats,My Baking Addiction,https://www.mybakingaddiction.com/oatmeal-raisin-cookies-recipe/,Cookies,▢ 1 ½ cups Raisinets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
