title,author,date,rating,ratingnum,cuisine,course,categories1,categories2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Soft Batch Chocolate Chip Cookies,Ashley Manila,"July 17, 2021 | Leave a Comment",5,4,American,Dessert,"Filed Under: Chocolate, Christmas in July, Cookies","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies",30 minutes,11 minutes,NA,NA,NA,11,"In a saucepan, over medium heat, melt the butter. Continue to cook the butter. swirling the pan occasionally. Keep a close eye here. The top of the butter should become foamy. And you should hear tiny popping noises. The butter will develop into a rich amber color, with tiny brown bits at the bottom. And it will have a slightly nutty aroma. This should take about 8 minutes. Once the butter reaches this stage, remove from heat immediately and pour into a large mixing bowl.
In a medium bowl combine flour, salt, and baking soda, whisk well to combine then set aside until needed.
In a large bowl, whisk together the melted browned butter and both sugars and beat until well combined, about 1 minutes. Add in the vanilla and beat until combined.
Whisk in the eggs, one at a time, beating well after each addition. Whisk in the sour cream (or Greek yogurt).
Using a sturdy rubber spatula, gently fold in the flour, stirring only until the flour begins to disappear. Fold in the chocolate chips.
Cover the bowl and refrigerate for 30 minutes.
Line a large baking sheet with parchment paper. When the 30 minutes of chilling is complete, remove the bowl from the fridge. Using a large cookie scoop, divide the dough into 3-tablespoon sized round balls and place onto prepared baking sheet. Cover cookie dough loosely with saran wrap and refrigerate for 2 hours.
30 minutes before you plan on baking, preheat the oven to 350 degrees (F). Line two large baking sheets with parchment paper.
When the cookie dough is ready, remove from the fridge. Transfer balls of the chilled cookie dough onto the prepared baking sheets, leaving about 2-inches between each ball of dough for spreading.
Bake, one tray at a time, for 11 minutes. If any edges spread out while baking, use a spatula and gently press them back in as soon as you remove the cookies from the oven. Press extra chocolate chips on top of the warm cookies, if desired. Then sprinkle with sea salt, if desired. 
Allow cookies to cool on the pan for 20 minutes, then carefully transfer to a cooling rack. ",11,14 Tablespoons (198 grams) Unsalted Butter melted until browned,2 and 1/2 cups (350 grams) all-purpose flour,3/4 teaspoon baking soda,1/2 teaspoon salt,1 cup (213 grams) light brown sugar packed,2/3 cup (131 grams) granulated sugar,1 Tablespoon vanilla extract,2 large eggs at room temperature,2 Tablespoons sour cream (or Greek yogurt) at room temperature,2 cups semi-sweet chocolate chips plus more for decorating,Baker By Nature,https://bakerbynature.com/soft-batch-chocolate-chip-cookies/,"1 teaspoon flaky sea salt for decorating, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Pretzel Peanut Butter Bourbon Chocolate Chip Cookies,Ashley Manila,"April 22, 2021",4.72,7,American,Dessert,"Filed Under: Boozy Recipes, Bourbon, Cookies, Peanut Butter, Recipes","Tagged With: bourbon recipes, chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies, peanut butter cookies, peanut butter recipes",30 minutes,14 minutes,NA,14 minutes,2 dozen cookies,11,"Preheat oven to 350 degrees (F). Line two large baking sheets with parchment paper and set aside. 
In a large bowl whisk together the flour, baking powder, baking soda, cinnamon, and salt. Set aside. 
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the peanut butter and butter until smooth. 
Gradually add in both sugars, one at a time, and beat until well combined, about 2 minutes. 
On low speed, add in the eggs and egg yolk, one at a time, beating well after each addition, and scraping the sides and bottom of the bowl as needed. Beat in the vanilla and bourbon. 
Gradually add in the dry ingredients, beating on low speed until just combined. Turn the mixer off. 
Using a rubber spatula, fold in the chocolate chips and chocolate chunks.
Using a large cookie scoop, scoop out 1/4 cup portions of the cookie dough and roll it into balls. Place the balls on the prepared baking sheets, leaving at least 2-inches between each cookie for spreading.
Gently press pretzels pieces down on top of each cookie ball, slightly flattening the ball. This will help them spread evenly in the oven. 
Bake, one tray at a time, for 14 to 16 minutes, or until golden brown and set. Repeat with all cookie dough. 
When the cookies come out of the oven, press a few extra chocolate chips and/or chocolate chunks on top while they're still warm, and sprinkle with sea salt, if desired. Serve warm or cooled!",16,3 cups flour (360 grams),2 teaspoons baking powder,3/4 teaspoon baking soda,1/4 teaspoon salt,1/8 teaspoon ground cinnamon,1 cup creamy peanut butter (269 grams),"1 cup (227 grams) unsalted butter, at room temperature",1 cup (199 grams) granulated sugar,"3/4 cup (142g) light brown sugar, packed","2 large eggs plus 1 egg yolk, at room temperature",Baker By Nature,https://bakerbynature.com/salted-pretzel-peanut-butter-bourbon-chocolate-chip-cookies/,3 teaspoons vanilla extract,3 and 1/2 Tablespoons bourbon or whiskey,"1 and 1/2 cups semi-sweet chocolate chips, plus extra for decorating","1 cup semi-sweet chocolate, roughly chopped into chunks","1 cup mini hard pretzel twists, roughly chopped","Flaky sea salt, for sprinkling",NA,NA,NA,NA,NA,NA,NA
Bakery-Style Peanut Butter Chocolate Chip Cookies,Ashley Manila,"February 16, 2021",4.88,16,American,Dessert,"Filed Under: Chocolate, Cookies, Father's Day, Peanut Butter, Recipes, Videos","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies, peanut butter cookies, peanut butter recipes",15 minutes,15 minutes,NA,30 minutes,2 dozen cookies,10,"Preheat oven to 350 degrees (F). Line two large baking sheets with parchment paper and set aside. 
In a large bowl whisk together the flour, baking powder, baking soda, and cinnamon (if using). Set aside. 
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the peanut butter and butter until smooth. 
Gradually add in both sugars, one at a time, and beat until well combined, about 2 minutes. 
On low speed, add in the eggs and egg yolk, one at a time, beating well after each addition, and scraping the sides and bottom of the bowl as needed. Beat in the vanilla. 
Gradually add in the dry ingredients, beating on low speed until just combined. Turn the mixer off. 
Using a rubber spatula, fold in the chocolate chips. 
Using a large cookie scoop, scoop out 1/4 cup portions of the cookie dough and roll it into balls. Place the balls on the prepared baking sheets, leaving at least 2-inches between each cookie for spreading. Gently press down on each cookie ball, slightly flattening the ball. This will help them spread evenly in the oven. 
Bake, one tray at a time, for 14 to 16 minutes, or until golden brown and set. Repeat with all cookie dough. 
When the cookies come out of the oven, press a few extra chocolate chips on top while they're still warm, and sprinkle with sea salt, if desired. Serve warm or cooled!",12,2 and 2/3 cups flour (321 grams),2 teaspoons baking powder,3/4 teaspoon baking soda,1/8 teaspoon ground cinnamon (optional),1 cup creamy peanut butter (269 grams),"1 cup (227 grams) unsalted butter, at room temperature",1 cup (199 grams) granulated sugar,"3/4 cup (142g) light brown sugar, packed","2 large eggs plus 1 egg yolk, at room temperature",2 teaspoons vanilla extract,Baker By Nature,https://bakerbynature.com/bakery-style-peanut-butter-chocolate-chip-cookies/,"2 cups semi-sweet chocolate chips, plus extra for decorating","Flaky sea salt, for sprinkling (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa's Favorite Peanut Butter M&M Cookies,Ashley Manila,"December 3, 2020",4.67,3,American,Dessert,"Filed Under: Christmas, Cookies, Holiday, Peanut Butter, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies, M&M, M&M Recipes, peanut butter cookies, peanut butter recipes",20 minutes,14 minutes,NA,4 minutes,2 dozen cookies,9,"In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the butter until smooth and creamy. Add in the peanut butter and beat until well combined.
Next add in both sugars and beat until light and fluffy, scraping down the sides and bottom of the bowl as needed, about 2 minutes.
Add in the eggs and egg yolk, one at a time, beating well after each addition. Add in the vanilla. Turn mixer off.
Add in the flour, baking soda, baking powder, and salt. Whisk the ingredients together lightly before turning the mixer back on low and mixing in the dry ingredients until just combined. Be sure not to over mix here.
Fold in the holiday M&Ms and chocolate chips and mix until just combined. 
Preheat oven to 350 degrees (F). Line two large baking sheets with parchment paper.
Using a large cookie scoop, divide the dough into 3-tablespoon sized balls, and place onto prepared baking sheets, leaving about 3-inches between each ball of dough for spreading. Lightly press down on each ball of cookie dough, this will help them spread evenly.
Bake for 12 to 13 minutes, or until the edges are golden and the centers have set. Press extra chocolate chips and M&Ms on top of warm cookies, and sprinkle with sugar.
Cool cookies on the baking sheet for 15 minutes, before transferring them to a cooling rack.",14,"1 cup (227 grams) unsalted butter, at room temperature","1 cup creamy peanut butter, at room temperature",2 teaspoons pure vanilla extract,"1 and 1/2 cups dark brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, at room temperature","1 large egg yolk, at room temperature",2 and 1/2 cups (300 grams) all-purpose flour,1 teaspoon baking soda,1 and 1/2 teaspoons baking powder,Baker By Nature,https://bakerbynature.com/santas-favorite-peanut-butter-mm-cookies/,1/2 teaspoon salt,"1 and 1/2 cups holiday M&Ms, plus extras for decorating","1 cup semi-sweet or milk chocolate chips, plus extras for decorating","1 teaspoon granulated sugar, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA
Rye Whiskey Chocolate Chip Cookies,Ashley Manila,"September 14, 2020",4.75,4,American,Dessert,"Filed Under: Boozy Recipes, Chocolate, Christmas, Cookies, Father's Day, Holiday, Recipes, Thanksgiving","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies",25 minutes,12 minutes,NA,37 minutes,16 cookies,12,"In a large bowl combine all-purpose flour, rye flour, salt, baking powder, baking soda, cinnamon, and allspice; whisk well to combine then set aside until needed.
In a saucepan over medium heat, melt the butter. Continue to cook the butter. swirling the pan occasionally. Keep a close eye here. The top of the butter should become foamy. And you should hear tiny popping noises. The butter will develop into a rich amber color, with tiny brown bits at the bottom. And it will have a slightly nutty aroma. Once the butter reaches this stage, remove from heat immediately and pour it into a large mixing bowl.
Add both sugars into the mixing bowl and whisk well to combine. 
Add in vanilla and whiskey. Beat in eggs, one at a time, beating until eggs are just combined.
Using a rubber spatula, fold in the dry ingredients, stirring until just combined. Fold in the chocolate chips and chopped chocolate. 
Cover bowl and refrigerate for 4 hours.
Preheat the oven to 375 degrees (F). Line two large baking sheets with parchment paper. 
Using a large cookie scoop, divide the dough into 3-tablespoon sized balls and place onto prepared baking sheets, leaving about 3 inches between each ball of dough for spreading.
Bake, one tray at a time, in a preheated oven for 11 to 12 minutes. Or until cookies have spread and turned golden brown.
If any edges spread out while baking, use a spatula and gently press them back in as soon as you remove the cookies from the oven. 
Top warm cookies with extra chocolate and sea salt, if desired. 
Allow cookies to cool on the pan for 15 minutes, then carefully transfer to a cooling rack. ",17,2 and 1/4 cups all-purpose flour,1/2 cup medium rye flour,3/4 teaspoon salt,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1/4 teaspoon ground cinnamon,1/8 teaspoon allspice,"1 cup unsalted butter, browned","3/4 cup dark brown sugar, packed",3/4 cup granulated sugar,Baker By Nature,https://bakerbynature.com/rye-whiskey-chocolate-chip-cookies/,1 teaspoon vanilla extract,3 Tablespoons rye whiskey,"2 large eggs, at room temperature",3/4 cup semi-sweet chocolate chips,1/2 cup milk chocolate chips,"1 cup dark chocolate, roughly chopped into chunks","1 teaspoon flaky salt, optonal",NA,NA,NA,NA,NA,NA
Double Chocolate Peppermint Fudge Cookies,Ashley Manila,"July 18, 2020",4.78,9,American,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: chocolate, chocolate cookies, chocolate recipes, christmas baking, Christmas cookies, christmas dessert, cookies, peppermint",10 minutes,15 minutes,NA,25 minutes,12 cookies,11,"Preheat oven to 325 degrees (F). Line two large baking sheets with parchment paper, lightly spray them with non-stick spray, and set aside.
In a medium-sized bowl whisk together the flour, cocoa powder, espresso powder (if using), baking powder, and salt; set aside.
In a large, microwave safe bowl, combine one cup of the chocolate chips and the butter. Heat them in the microwave, on low power, in 15 second increments, mixing in between each, until butter and chocolate are completely melted and can easily be whisked smooth. Whisk in the vanilla and peppermint extracts, then whisk in both sugars. 
Beat in eggs, one at a time, beating well after each addition. Beat in milk.
Add the dry ingredients into the wet ingredients, and stir to combine - be sure not to over mix here!
Fold in the remaining chocolate chips, stirring until everything is just combined. 
Scoop 1/4 cupfuls of the batter onto the prepared baking sheets, leavin 1"" in between each cookie for spreading. 
Bake one tray at a time, reducing the oven temperature to 300 degrees after you've put them in the oven.
Bake for 16 to 19 minutes, or until the edges are set and the tops are dark and shiny. If the cookies spread too much while baking, use a spatula to gently press the edges inward immediately after removing from the oven. 
Press a few white chocolate and dark chocolate chunks on top of the warm cookies, then sprinkle with crushed candy canes. 
Allow cookies to completely cool on the baking sheet before serving.",16,1 cup (120 grams) all-purpose flour,1/4 cup (21 grams) unsweetened unsweetened cocoa powder (not Dutch-process),2 teaspoons espresso powder (optional),1 teaspoon baking powder,1/2 teaspoon salt,"2 cups (340 grams) semi-sweet chocolate chips, divided",3 tablespoons (42 grams) unsalted butter,1 and 1/2 teaspoons vanilla extract,1 teaspoon peppermint extract,1/4 cup (50 grams) granulated sugar,Baker By Nature,https://bakerbynature.com/double-chocolate-peppermint-fudge-cookies/,"2/3 cup (142 grams) light brown sugar, packed","2 large eggs, at room temperature",2 tablespoons (28 grams) milk,2/3 cup (113 grams) white chocolate chunks,2/3 cup (113 grams) dark chocolate chunks,"6 peppermint candy canes, finely crushed (about 1/3 cup)",NA,NA,NA,NA,NA,NA,NA
Easy M&M Cookie Bars,Ashley Manila,"April 21, 2020",5,2,American,Dessert,"Filed Under: Bar Desserts, Chocolate, Cookies, Recipes","Tagged With: cookie bars, How to make chewy cookies, M&M, M&M Recipes",10 minutes,35 minutes,NA,45 minutes,"1 Pan (9"")",6,"Preheat oven to 350 degrees (F). Line an 9x9-inch baking pan with parchment paper or aluminum foil. Spray lightly with non-stick spray and set aside.
In a saucepan over medium heat, melt the butter, then continue to cook it, stirring occasionally, until golden brown. Keep an eye here, you don't want burnt butter! Remove from heat and scrape the butter into a large heat proof mixing bowl.
Whisk in both sugars and mix until well combined. Stir in the vanilla. Then add in the eggs and egg yolk, beating until combined. 
Using a rubber spatula, add in the flour, baking soda, and salt, mixing until just combined. Finally, fold in the M&Ms. Scrape the batter into the prepared pan. 
Bake for 32 to 35 minutes, or until the edges are firm and golden. Press extra M&Ms on top of the warm cookie bars, if desired. 
Cool in pan for at least 1 hour before cutting. ",10,"1 cup (227 grams) unsalted butter, melted until browned","1 cup (200 grams) light brown sugar, packed",1/4 cup (50 grams) granulated sugar,1 teaspoon pure vanilla extract,"2 large eggs plus 1 large egg yolk, at room temperature",2 cups (254 grams) all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,"1 cup (6 ounces) M&M candies, plus more for the top, if desired","Flaky Sea Salt, optional",Baker By Nature,https://bakerbynature.com/soft-and-chewy-mm-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Oatmeal Cookie Bars,Ashley Manila,"April 10, 2020",4.97,30,American,Dessert,"Filed Under: Bar Desserts, Chocolate, Christmas, Cookies, Holiday, Recipes","Tagged With: cookie bars, oatmeal cookies",15 minutes,46 minutes,NA,1 minute,1 Pan (9x13),6,"Preheat oven to 350 degrees (F). Line an 9x13-inch baking pan with parchment paper or aluminum foil. Spray lightly with non-stick spray and set aside.
In a saucepan over medium heat, melt the butter, then continue to cook it, stirring occasionally, until golden brown. Keep an eye here, you don't want burnt butter! Remove from heat and scrape the butter into a large heat proof mixing bowl.
Whisk in both sugars and mix until well combined. Stir in the vanilla. Then add in the eggs and egg yolk, beating until combined. Stir in the milk.
Using a rubber spatula, add in the flour, baking soda, salt, cinnamon, and rolled oats, mixing until just combined. Finally, fold in the chocolate chunks. Scrape the batter into the prepared pan. 
Bake for 24 to 30 minutes, or until the edges are firm and golden. Press extra chocolate chunks on top of the warm bars, if desired. 
Cool in pan for at least 1 hour before cutting. Sprinkle with flaky sea salt before serving, if desired. ",13,"2 sticks (8 ounces, 1 cup) unsalted butter, melted","1 cup light brown sugar, packed",1/2 cup granulated sugar,"2 large eggs plus 1 egg yolk, at room temperature",2 tablespoons milk,1 tablespoon vanilla extract,1 and 2/3 cups all-purpose flour,1 teaspoon baking soda,3/4 teaspoon salt,1/2 teaspoon ground cinnamon,Baker By Nature,https://bakerbynature.com/the-best-oatmeal-cookie-bars/,2 cups rolled oats,1 and 1/4 cups chopped dark chocolate OR your mix-in of choice (see post for ideas!),"1 teaspoon flaky sea salt, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookie Bars,Ashley Manila,"March 29, 2020",4.64,19,American,Dessert,"Filed Under: Bar Desserts, Chocolate, Christmas, Cookies, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookie bars, how to make chocolate chip cookies",15 minutes,28 minutes,NA,43 minutes,"1 - 9"" Pan",6,"Preheat oven to 350 degrees (F). Line an 9x9-inch baking pan with parchment paper or aluminum foil. Spray lightly with non-stick spray and set aside.
In a saucepan over medium heat, melt the butter, then continue to cook it, stirring occasionally, until golden brown. Keep an eye here, you don't want burnt butter! Remove from heat and scrape the butter into a large heat proof mixing bowl.
Whisk in both sugars and mix until well combined. Stir in the vanilla. Then add in the eggs and egg yolk, beating until combined. 
Using a rubber spatula, add in the flour, cinnamon, baking soda, and salt, mixing until just combined. Finally, fold in the chocolate chips. Scrape the batter into the prepared pan. 
Bake for 28 to 32 minutes, or until the edges are firm and golden. Press extra chocolate chips on top of the warm blondies, if desired. 
Cool in pan for at least 1 hour before cutting. Sprinkle with flaky sea salt before serving, if desired. ",11,"1 cup (227 grams) unsalted butter, melted until browned",1 cup (200 grams) packed light brown sugar,1/3 cup (60 grams) granulated sugar,3 teaspoons pure vanilla extract,"2 large eggs plus 1 large egg yolk, at room temperature",2 and 1/3 cups (297 grams) all-purpose flour,1/4 teaspoon ground cinnamon,1 teaspoon baking soda,1/2 teaspoon salt,"1 and 1/2 cups (9 ounces) semi-sweet chocolate chips, plus more for the top, if desired",Baker By Nature,https://bakerbynature.com/easy-chocolate-chip-cookie-bars/,"Flaky Sea Salt, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Ginger Chocolate Chunk Cookies,Ashley Manila,"January 28, 2020",4.86,7,American,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: chocolate chunk cookies, cookies, ginger, How to make chewy cookies",20 minutes,10 minutes,NA,30 minutes,2 dozen cookies,10,"In a large bowl combine flour, salt, baking soda, ginger, cinnamon, and cloves; whisk well to combine then set aside. 
In a separate large bowl, using a handheld electric mixer, or in the bowl of a stand mixer fitted with the paddle attachment, combine butter and both sugars and beat on medium-speed until light and fluffy, scraping the sides and bottom of the bowl as needed; about 2 minutes.
Add in the vanilla extract and molasses, and beat until combined.
Beat in the eggs, one at a time, beating for 15 seconds after each addition. 
With the mixer on the lowest speed setting, gradually add in the flour mixture, beating only until the flour begins to disappear. Finally, beat in the chocolate chunks and crystalized ginger until evenly combined. 
Cover the bowl and chill the dough for at least 2 hours (and up to 3 days) before baking. Or bake right away for regular cookies (they'll be thinner and spread... but still be delicious). 
Preheat oven to 375 degrees (F). Line two large baking sheets with parchment paper and set aside.
Roll 3 tablespoon sized scoops of dough between your palms to form a ball, then place on prepared sheets, leaving enough room in between each cookie for inevitable spreading. Continue this process until all the dough has been rolled. 
Place baking sheets in preheated oven, one at a time, and bake for 9 to 12 minutes, or until golden at the edges but still soft in the middle. Repeat with all cookie dough.
Let cookies cool for 10 minutes on the baking sheet before transferring to a wire rack to cool completely.",14,2 and 1/2 cups all-purpose flour,1/2 teaspoon salt,1 teaspoon baking soda,1 and 1/4 teaspoons ground ginger,1/2 teaspoon ground cinnamon,1/8 teaspoon cloves,"8 ounces unsalted butter, at room temperature","1 cup dark brown sugar, packed",1/2 cup granulated sugar,2 teaspoons vanilla extract,Baker By Nature,https://bakerbynature.com/chewy-ginger-chocolate-chunk-cookies/,2 Tablespoons molasses (not blackstrap),"2 large eggs, at room temperature","12 ounces semi-sweet chocolate chunks, roughly chopped","1/2 cup crystalized ginger, minced",NA,NA,NA,NA,NA,NA,NA,NA,NA
Baileys Irish Cream Chocolate Chip Cookies,Ashley Manila,"December 7, 2019",4.92,59,American,Dessert,"Filed Under: Bailey's Irish Cream Recipes, Boozy Recipes, Chocolate, Christmas, Cookies, Recipes, St. Patrick's Day, Videos","Tagged With: Baileys Irish Cream, chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies, Irish Cream",20 minutes,10 minutes,NA,30 minutes,24 cookies (2 dozen),8,"In a large bowl combine flour, salt, baking soda, cinnamon, and espresso powder; whisk well to combine then set aside. 
In a separate large bowl, using a handheld electric mixer, or in the bowl of a stand mixer fitted with the paddle attachment, combine butter and both sugars and beat on medium-speed until light and fluffy, scraping the sides and bottom of the bowl as needed; about 2 minutes.
Add in the vanilla extract and baileys Irish cream, and beat until combined.
Beat in the eggs, one at a time, beating for 15 seconds after each addition. Turn mixer off. Using a wooden spoon or sturdy rubber spatula, gently fold in the flour mixture, stirring only until the flour begins to disappear. Fold in the chocolate chips.
Cover the bowl and chill the dough for at least 2 hours (and up to 3 days) before baking. Or bake right away for regular cookies (they'll be thinner but still delicious!!!). 
Preheat oven to 375 degrees (F). Line two large baking sheets with parchment paper and set aside.
Roll 3 tablespoon sized scoops of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheets (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. 
Place baking sheets in preheated oven, one at a time, and bake for 10 to 12 minutes, or until golden at the edges but still soft in the middle. Repeat with all cookie dough. Let cookies cool for 15 minutes on the baking sheet before transferring to a wire rack to cool completely.",12,2 and 3/4 cups (330g) cups all-purpose flour,3/4 teaspoon salt,1 teaspoon baking soda,1/4 teaspoon ground cinnamon optional,1 teaspoons espresso powder optional,1 cup (227g) unsalted butter room temperature,1 cup (213g) dark brown sugar,1/2 cup (99g) granulated sugar (99 grams),2 teaspoons vanilla extract,1/4 cup (57ml) Baileys Irish Cream Liqueur,Baker By Nature,https://bakerbynature.com/baileys-irish-cream-chocolate-chip-cookies/,2 large eggs room temperature,12 ounces semi-sweet chocolate chips (340 grams),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Super Easy Holiday M&M Blondies,Ashley Manila,"December 3, 2019",4.72,7,American,Dessert,"Filed Under: Bar Desserts, Blondies, Chocolate, Christmas, Cookies, Holiday, Recipes","Tagged With: blondie recipe, blondies, M&M, M&M Recipes, what is a blondie",10 minutes,25 minutes,NA,55 minutes,1 Pan (9x13),5,"Preheat oven to 350 degrees (F). Line a 9x13-inch metal baking pan with parchment paper. Spray parchment, and any exposed pan, with nonstick baking spray. Set aside.
In a saucepan over medium heat, melt butter until browned. Remove from heat and cool for a few minutes, then scrape the butter into a large heat proof mixing bowl.
Whisk in the brown sugar and mix until well combined. Stir in the vanilla. Then add in the eggs and egg yolk, beating until combined. 
Using a rubber spatula, fold in the flour and salt, mixing until just combined. Finally, fold in the M&Ms and chocolate. Scrape the batter into the prepared pan. 
Bake for 28 to 32 minutes, or until the edges are firm and golden and the center is just slightly wobbly. Cool in pan for at least 20 minutes before cutting. Sprinkle with flaky sea salt before serving, if desired. ",9,"8 ounces unsalted butter, melted until browned","2 cups light brown sugar, firmly packed",3 teaspoons vanilla extract,"2 large eggs plus one egg yolk, at room temperature",2 cups all-purpose flour,1/4 teaspoon salt,2 cups holiday M&Ms,6 ounces semi-sweet chocolate chips,"Flaky sea salt, for sprinkling, optional",NA,Baker By Nature,https://bakerbynature.com/super-easy-holiday-mm-blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Cream Pie Cookies,Ashley Manila,"November 8, 2019",4.92,12,American,Dessert,"Filed Under: Christmas, Cookies, Holiday, Recipes",Tagged With: cookies,20 minutes,15 minutes,NA,35 minutes,2 dozen,11,"In a medium mixing bowl, whisk together flour, baking soda, ground ginger, cinnamon, cloves, allspice, cardamom, black pepper, and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat together the butter and brown sugar on medium-high speed until the mixture is light and fluffy, about 2 minutes, scraping down the sides as needed. Add in the vanilla and orange zest and beat until combined. Reduce the mixer speed to medium-low. Add in the eggs, one at a time, beating well after each addition. Add in the molasses and beat until combined. Gradually add in the dry ingredients and beat until it’s evenly incorporated, scraping the bottom of the bowl as needed. 
Cover the bowl and refrigerate for at least 4 hours, and up to 3 days.
Preheat oven to 350 (F). Line two large baking sheets with parchment paper; set aside.
Roll the dough into 1 and 1/2 Tablespoon sized balls. Fill a small and shallow bowl with sparkling sugar. Roll each ball in the sugar until it's completely coated. Place the sugar coated cookie dough balls on the prepared baking sheets, leaving 2 inches between each ball for spreading.
Bake, one tray at a time, for 8 to 10 minutes, or until the cookies have puffed up and have begun to slightly crack on top. (They will crack more as they cool, so don’t over bake!)
Remove from the oven and place the pan on a cooling rack. Cool cookies for 5 minutes on the baking sheet, then carefully transfer the cookies to a separate cooling rack to cool completely. Repeat with remaining cookie dough. 
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the butter on medium-speed until completely smooth. Reduce the speed to low and gradually add in the confectioners' sugar, beating until all of the sugar is completely combined. Add in the salt and cream and beat smooth. Add in the white chocolate and beat smooth.
Once all of the ingredients have been incorporated, increase the speed to medium-high and beat for a minute.
 Spread a large dollop of frosting on the top of one cooled cookie. Place another cookie on top and lightly press to seal them together. Repeat with all cookies. 
Store your Molasses Cookies Cream Pies in an airtight container, in the refrigerator, for up to 3 days.",21,4 and 3/4 cups all-purpose flour,1 Tablespoon baking soda,2 Tablespoons ground ginger,2 teaspoons ground cinnamon,1 teaspoon ground cloves,1/2 teaspoon ground allspice,1/2 teaspoon cardamom,1/4 pinch finely ground black pepper,1/2 teaspoon salt,"12 ounces unsalted butter, at room temperature",Baker By Nature,https://bakerbynature.com/molasses-cream-pie-cookies/,"2 and 1/4 cups light brown sugar, packed",1 Tablespoon vanilla extract,1/2 teaspoon finely grated orange zest,"2 large eggs, at room temperature",2/3 cup molasses (not blackstrap variety),1/2 cup sparkling sugar (for rolling the cookie dough),"1 cup (227g/8 ounces) unsalted butter, at room temperature",2 and 1/2 cups (283g/10 ounces) confectioners’ sugar,1/4 teaspoon salt,2 Tablespoons heavy cream,"6 ounces (170g) quality white chocolate, melted and cooled for 10 minutes",NA,NA
