title,author,rating,ratingnum,categories,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Brown Butter Pumpkin Cookies,Jamielyn Nye,5,4," Categorized as: American, Cookies, Desserts, Halloween, Holiday Cookies, Thanksgiving ",Prep Time: 30 minutes mins,Cook Time: 12 minutes mins,Chill Time: 45 minutes mins,Total Time: 1 hour hr 27 minutes mins,Servings: 20,10,"Brown butter: In a pan, over medium heat, melt 1 cup butter.  Continuously stir the melted butter for a few minutes until it becomes a brown color and has a nutty smell.  Remove from heat immediately.
Cool butter: Pour browned butter in a dish and place in the fridge for 15 minutes to cool (don't sit in there longer than 30 minutes or it will begin to harden).
Whisk dry ingredients: In a medium mixing bowl, whisk together 2 1/2 cups flour, 1 teaspoon baking soda, 1/2 teaspoon baking powder, 1/2 teaspoon salt, 1 1/2 teaspoon pumpkin pie spice, and 1 teaspoon cinnamon.
Whisk wet ingredients: In a large mixing bowl, whisk 1 1/2 cups brown sugar and cooled browned butter.  Add the egg yolk, 1/4 cup maple syrup, 2 teaspoons vanilla and 1/2 cup pumpkin. Whisk until smooth.
Add dry ingredients: Gently fold the dry ingredients to the wet ingredients. Refrigerate dough 30 minutes.
Preheat and prepare: Preheat the oven to 350°F and add parchment paper to a baking sheet. 
Mix topping: In a small dish, mix 3 Tablespoons white sugar, 2 Tablespoons brown sugar and 1 teaspoon cinnamon.
Roll dough in topping: Use a large cookie scoop to form dough balls. Drop each ball into the topping and roll to coat.
Bake cookies: Place 6 cookies on the baking sheet and bake for 12 minutes.
Rest and cool: Allow the cookies to rest on the cookie sheet for a few minutes before transferring to a wire cooling rack.",15,1 cup (220 g) unsalted butter,"1 ½ cups (290 g) brown sugar , packed",1 large egg yolk,¼ cup maple syrup,2 teaspoons vanilla extract,½ cup (130 g) pumpkin puree,"2 ½ cups (330 g) all-purpose flour , scooped and leveled",1 teaspoon baking soda,½ teaspoon baking powder,½ teaspoon salt,I Heart Naptime,https://www.iheartnaptime.net/brown-butter-pumpkin-cookies/,1 ½ teaspoons pumpkin pie spice,1 teaspoon cinnamon,3 Tablespoons granulated sugar,2 Tablespoons brown sugar,1 teaspoon cinnamon,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Cookies,Jamielyn Nye,4.96,41," Categorized as: American, Cookies, Desserts, Freezer-Friendly, Halloween, Holiday Cookies, Nut-Free, Oatmeal Cookies, Thanksgiving, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 25 minutes mins,Servings: 24,6,"Prep. Preheat the oven to 350°F. Line a baking sheet with parchment paper or parchment paper. Set aside. 
Whisk wet ingredients. In a large bowl, whisk 1 cup pumpkin puree, 3/4 cup sugar, 1/2 cup coconut oil, 1 Tablespoon vanilla and 1 egg until smooth. 
Combine dry ingredients. In a separate medium bowl, whisk together 1 1/4 cup flour, 1 cup oats, 1 Tablespoon baking powder, 1 teaspoon baking soda, 1 teaspoon ground cinnamon, 1 teaspoon pumpkin pie spice, and 1/2 teaspoon salt. 
Make cookie dough batter. Add flour mixture to pumpkin mixture and mix just until you see a little flour left. Stir just until combined. Do not over mix.
Bake. Drop cookies by the spoonful, or medium cookie scoop, about 2 inches apart. Bake 10 to 13 minutes, or until a toothpick inserted in the center comes out clean and the bottoms are lightly browned. Check one and bake 1 to 2 more minutes if the center is not quite done. 
Cool. Remove from the oven and let cool on baking sheet 5 minutes before transferring to a cooling rack. ",12,"1 cup pumpkin puree , canned",¾ cup (150 grams) granulated sugar,"½ cup melted coconut oil , or vegetable oil",1 large egg,1 Tablespoon vanilla extract,1 ¼ cups (160 grams) all-purpose flour,1 cup (100 grams) old fashioned oats,1 Tablespoon baking powder,1 teaspoon baking soda,1 teaspoon ground cinnamon,I Heart Naptime,https://www.iheartnaptime.net/pumpkin-oatmeal-cookies/,"1 teaspoon pumpkin pie spice , add a little more if you like extra spice",½ teaspoon fine sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Walnut Cookies,Jamielyn Nye,5,4," Categorized as: American, Chocolate Chip Cookies, Christmas, Cookies ",Prep Time: 15 minutes mins,Cook Time: 15 minutes mins,NA,Total Time: 30 minutes mins,Servings: 24,4,"Preheat and prepare:  Preheat oven to 350°F and line a baking sheet with parchment paper.
Cream the wet ingredients: In a large mixing bowl, cream together the 1 cup butter, 1 cup brown sugar and 1/2 cup granulated sugar with an electric mixer until light and fluffy. Add 2 eggs (one at a time) and 2 teaspoons vanilla. Mix well. 
Add dry ingredients: Add 2 cups flour, 1 teaspoon baking soda, 1 teaspoon salt and mix on low speed, until just barely combined. Fold in 1 cup chocolate chips, 1 cup chocolate chunks, and 1 1/2 cups chopped walnuts. Sprinkle with flaked sea salt, if desired. 
Bake cookies: Using a large cookie scoop, drop the cookie dough on the prepare baking sheet.  These will be large cookies, so 6 cookies per sheet. Wet your hands with water and flatten the dough down a bit. Bake for 15 minutes. The cookies will look slightly underdone. Let cool on the pan for 10 minutes before transferring to a cooling rack.",11,"1 cup unsalted butter , softened","1 cup brown sugar , packed",½ cup granulated sugar,2 teaspoons vanilla,"2 eggs , room temperature",2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,"1 ½ cups walnuts , roughly chopped",1 cup semi sweet chocolate chips,I Heart Naptime,https://www.iheartnaptime.net/chocolate-chip-walnut-cookies/,1 cup semi sweet chocolate chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cheesecake Cookies,Jamielyn Nye,5,1," Categorized as: American, Chocolate Chip Cookies, Christmas, Cookies, Desserts ",Prep Time: 30 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 30 minutes mins,Total Time: 1 hour hr 10 minutes mins,Servings: 12,7,"Make cheesecake filling: In a small mixing bowl, combine 8 ounces cream cheese, 1/4 cup sugar and 1 teaspoon vanilla. Using a hand mixer, mix for about 2 minutes or until it's light and fluffy.
Freeze cheesecake filling: Using a small cookie scoop (1 to 1 1/2 Tablespoons,) scoop the filling into 12 balls on a parchment paper lined cookie sheet.  Gently press down on each ball to flatten the cheesecake scoop. Place the cheesecake discs in the freezer for about 20 minutes.
Prepare and preheat: Meanwhile, preheat the oven to 350°F. Line two baking sheets with parchment paper. 
Cream wet ingredients: In a large bowl, using a mixer, cream together the 1 cup butter,1 cup sugar and 1 cup brown sugar for 1 minute. Add the 2 eggs and 1 Tablespoon vanilla and beat just until combined. 
Add dry ingredients: Add the 3 cups flour, 1 teaspoon baking soda, 3/4 teaspoon salt and 1 teaspoon cornstarch and mix on low. If the dough is too sticky add an extra Tablespoon or two of flour. 
Form cookies around cream cheese: Using a medium cookie scoop (about 2 Tablespoons), scoop the cookie dough into 24 balls on the baking sheet. Slightly flatten each and lay a cheesecake disc on 12 balls. Place another cookie dough on top, and mold around the cheesecake so it's covered completely. Chill in fridge for 30 minutes. 
Bake and cool: Put 6 cookies on each cookie sheet and bake for 10 – 12 minutes. Allow cookies to set on pan for 10 minutes before moving to colling rack.",13,"1 cup unsalted butter , barely softened","1 cup light brown sugar , packed",1 cup granulated sugar,"2 large eggs , cold",1 Tablespoon vanilla extract,"3 ¼ cups all-purpose flour , spooned and leveled",1 teaspoon baking soda,1 teaspoon cornstarch,"¾ teaspoon fine sea salt , or 1 teaspoon kosher","1 cup chocolate chips , I prefer semi-sweet",I Heart Naptime,https://www.iheartnaptime.net/chocolate-chip-cheesecake-cookies/,"8 ounces cream cheese , cold",¼ cup granulated sugar,1 teaspoon vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake Stuffed Cookies,Jamielyn Nye,5,1," Categorized as: American, Christmas, Cookies, Desserts, Nut-Free ",Prep Time: 20 minutes mins,Cook Time: 10 minutes mins,Chill Time: 20 minutes mins,Total Time: 50 minutes mins,Servings: 24,7,"Make cheesecake filling: In a small mixing bowl, combine 8 ounces cream cheese, 3 Tablespoons sugar and 1/2 teaspoon vanilla. Using a hand mixer, mix for about 2 minutes, or until it is light and fluffy. 
Freeze cheesecake filling: Using a small cookie scoop (1 to 1 1/2 Tablespoons), scoop the filling into 24 balls on a parchment paper lined cookie sheet. Gently press down on each ball to flatten the cheesecake scoop. Place the cheesecake discs in the freezer for about 20 minutes.
Whisk dry ingredients: Meanwhile, in a medium sized bowl, whisk together 2 1/2 cups graham cracker crumbs, 2 1/4 cups flour, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 teaspoon salt, and 1/4 teaspoon cinnamon. Set aside.
Cream wet ingredients: In a large mixing bowl, mix together 1 cup butter, 1 1/2 cups brown sugar, and 1/4 cup granulated sugar. Mix until creamy and light. Add 2 eggs and 2 teaspoons vanilla and mix until just combined. 
Add dry ingredients: Combine the dry and wet ingredients, mixing on low, until just combined.  
Preheat and scoop cookie dough: Preheat the oven to 350°F. Using a large cookie scoop, scoop out 48 balls of cookie dough (2 balls for each cookie.) The dough is crumbly, so press together with your hands). Slightly flatten dough ball and lay a cheesecake disc on one, then cover with another piece of dough. Each cream cheese disc should be completely covered by cookie dough. Place the cookies on a parchment lined cookie sheet. 6 cookies fits perfectly on 1 cookie sheet.
Bake: Bake cookies for 10-12 minutes. Let cool on cookie sheet for 10 minutes before transferring to cooling rack.",14,"8 ounces cream cheese , cold",3 Tablespoons granulated sugar,½ teaspoon vanilla,"2 ½ cups graham cracker crumbs , see notes",2 ¼ cups flour,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon salt,¼ teaspoon cinnamon,"1 cup unsalted butter , softened",I Heart Naptime,https://www.iheartnaptime.net/cheesecake-cookies/,1 ½ cups brown sugar,¼ cup granulated sugar,2 eggs,2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Ice Cream Sandwiches,Jamielyn Nye,5,1," Categorized as: 4th of July, 5 Ingredients Or Less, American, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Frozen Desserts, Kid-Friendly ",Prep Time: 15 minutes mins,NA,Chill Time: 3 hours hrs,Total Time: 3 hours hrs 15 minutes mins,Servings: 12,4,"Prep: Make cookies if needed and cool completely. Slightly soften ice cream by setting at room temperature for 10 minutes and place toppings in shallow dish. 
Assemble cookie sandwiches: Lay one cookie on the counter with flat side up and place about 1/3 cup ice cream on top. Place another cookie flat side down on top of the ice cream. Gently press the sandwich together just so the ice cream spreads to edges.
Roll in toppings: Immediately roll the ice cream sandwich in desired toppings.
Freeze: While you can serve these right away (albeit a bit messy), I prefer to wrap them and place in the freezer for 2-3 hours to firm. ",3,"24 chocolate chip cookies , homemade or store bought","1 quart vanilla ice cream , or your favorite flavor","1 cup mini chocolate chips, nuts or rainbow sprinkles , optional",NA,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/easy-ice-cream-sandwiches/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit Pizza Cookies,Jamielyn Nye,5,2," Categorized as: 4th of July, American, Cookies, Desserts, Easter, Frosted Cookies, Fruit Desserts, Kid-Friendly ",Prep Time: 15 minutes mins,Cook Time: 12 minutes mins,Chill Time: 10 minutes mins,Total Time: 37 minutes mins,Servings: 24,10,"Prepare pan and preheat oven: Preheat the oven to 350°F. Line baking with parchment paper.
Cream butter and sugar: In a large mixing bowl, cream together 1 cup butter and 1 1/4 cup sugar with a handheld mixer for 2-3 minutes (make sure it's light and fluffy).
Add wet ingredients: Add the egg, egg yolk, and 2 teaspoons vanilla and mix until combined.
Combine dry ingredients: In a separate medium sized mixing bowl, whisk together 2 1/2 cups flour, 1 teaspoon baking soda, 1/2 teaspoon cream of tartar, and 3/4 teaspoon salt.
Add dry ingredients: Add dry ingredients to wet and mix just until combined.
Scoop dough: Use a large sized cookie scoop (2 Tablespoons of dough) and then roll each scoop into a ball. Place on prepared baking sheets about 2-inches apart.
Refrigerate dough: Refrigerate cookie sheets with dough for 10 minutes to chill the dough.
Bake for 10-12 minutes, or until the center is set. Let cool on pan for a few minutes, then move to a cooling rack.
Make Frosting: Meanwhile, in a large mixing bowl, us a hand mixer to beat 1 package cream cheese, 6 Tablespoons butter, 2-3 cups powdered sugar (depending on how stiff you like your frosting), 1/2 teaspoon vanilla and the zest of one lemon. Beat until smooth and creamy. 
Frost and decorate cookies: When cookies are completely cooled, generously frost and decorate with cut fruit.",14,"1 cup butter , softened",1 ¼ cups granulated sugar,1 large egg,1 egg yolk,2 teaspoons vanilla extract,2 ½ cups all-purpose flour,½ teaspoon cream of tartar,1 teaspoon baking soda,¾ teaspoon salt,"8 ounces cream cheese , softened (1 package)",I Heart Naptime,https://www.iheartnaptime.net/fruit-pizza-cookies/,"6 Tablsepoons butter , softened",2-3 cups powdered sugar (I used 2.5),½ teaspoon vanilla extract,"1 lemon , zested",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pizzelle Recipe,Jamielyn Nye,5,3," Categorized as: Christmas, Cookies, Desserts, Easter, Holiday Cookies, Italian, Nut-Free ",Prep Time: 15 minutes mins,Cook Time: 20 minutes mins,NA,Total Time: 35 minutes mins,Servings: 18,6,"Preheat: Preheat the Pizzelle iron. 
Beat eggs and sugar: In a large mixing bowl, beat 3 room temperature eggs and 3/4 cup sugar with an electric mixer until light and fluffy. 
Add wet ingredients: Add the 1/2 cup melted butter and 1/2 Tablespoon anise extract.  Stir well. 
Sift in dry ingredients: Sift in the 1 3/4 cups flour and 2 teaspoons baking powder.  Gently stir until incorporated.
Cook Pizzelles: Using a cookie scoop, drop the Pizzelle batter onto the preheated iron. Close the iron and cook for about 1 1/2 minutes, or until the steam stops escaping. Remove from Pizzelle iron and cool. Dust with powdered sugar before serving.
Cool. Remove from Pizzelle iron and cool. If desired, Dust with powdered sugar before serving.",8,"3 large eggs , at room temperature",¾ cup white sugar,"½ cup salted butter , melted and cooled","½ Tablespoon anise extract , see note",½ Tablespoon vanilla,1 ¾ cups all-purpose flour,2 teaspoons baking powder,"powdered sugar , for dusting",NA,NA,I Heart Naptime,https://www.iheartnaptime.net/pizzelle/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine’s Day Sugar Cookies,Jamielyn Nye,5,2," Categorized as: American, Cookies, Desserts, Frosted Cookies, Holiday Cookies, Kid-Friendly, Valentine's Day ",Prep Time: 20 minutes mins,Cook Time: 8 minutes mins,Refrigerate: 1 hour hr,Total Time: 1 hour hr 28 minutes mins,Servings: 30,9,"Cream butter and sugar. In a large bowl, mix together 1 1/2 cups butter and 2 cups sugar. Beat until creamy. Add in 4 eggs, 1 teaspoon vanilla and 1/2 teaspoon almond extract and mix together until combined.
Combine dough. In a separate bowl, mix 5 cups flour, 2 teaspoons baking powder and 1/2 teaspoon salt. Slowly add dry ingredients to the wet ingredients. Mix just until combined.
Chill. Split dough in two and place in saran wrap. Refrigerate for 1-2 hours. Do not skip this step. 
Roll out dough. Once dough has chilled, preheat oven to 375°F. Roll out the dough about 1/2 inch thick on a baker's mat or a clean counter top.
Cut with cookie cutters and then place onto baking sheet lined with parchment paper about 1-2 inches apart. Bake for 6-8 minutes, or until the center is barely set. Do not let the edges or bottoms brown, or they wont be soft. Watch carefully the last minute of baking. Allow to cool on the pan for a few minutes and then remove to a cooling rack. 
Cool and frost. Allow to cool and then frost as desired.
Beat butter: In a large bowl, beat 1/2 cup butter for 1 minute, until light and fluffy.
Add all other ingredients: Add 2 cups of the powdered sugar, 1 teaspoon vanilla and 3/4 teaspoon almond extract.  Mix until well blended.  Add 2 more cups of the powdered sugar, optional food coloring, and 3-4 Tablespoons milk. Mix again.  If you re piping the frosting onto the cookies, 3-4 Tablespoons is perfect.  If you are spreading the frosting, add another Tablespoon of milk until it's a thinner consistency.
Decorate: Spread on cookies to decorate.",14,"1 ½ cups (345 g) salted butter , 3 sticks at room temperature",2 cups (390 g) granulated sugar,4 large eggs,1 teaspoon vanilla extract,½ teaspoon almond extract,"5 cups (650 g) all-purpose flour , spooned and leveled",2 teaspoons baking powder,½ teaspoon fine sea salt,½ cup salted butter,4 cups powdered sugar,I Heart Naptime,https://www.iheartnaptime.net/valentine-sugar-cookies/,"4 Tablespoons milk , more as needed",1 teaspoon vanilla,¾ teaspoon almond extract,"food coloring , optional",NA,NA,NA,NA,NA,NA,NA,NA,NA
Black and White Cookies,Jamielyn Nye,5,1," Categorized as: American, Christmas, Cookies, Desserts, Frosted Cookies, Holiday Cookies ",Prep Time: 25 minutes mins,Cook Time: 18 minutes mins,Setting Time: 1 hour hr 15 minutes mins,Total Time: 1 hour hr 58 minutes mins,Servings: 12,8,"Preheat and prepare: Preheat oven to 350°F . Line 2 baking sheets with parchment paper.
Whisk the dry ingredients together: In a medium bowl, whisk together 1 3/4 cups flour, 1/2 teaspoon baking powder, 1/4 teaspoon baking soda, and 1/4 teaspoon salt.
Cream wet ingredients together: In a large bowl or stand mixer fitted with a paddle attachment, beat together 8 Tablespoons butter and 1 cup sugar on medium-high speed until smooth and creamy, about 2 minutes. Add the egg and 2 teaspoons vanilla extract, and beat on high speed until combined, about 1 minute. Scrape down the sides of the bowl, as needed. 
Add the dry ingredients to the wet ingredients: Reduce to low speed and add 1/2 of the the dry ingredients , then 1/2 of the sour cream. Beat everything on low until combined, then add remaining flour and sour cream. Batter will be thick. Refrigerate dough for 15 minutes. 
Drop onto prepared sheet and bake: Using a large cookie scoop, add about 6 cookies per sheet. Bake for 15 minutes or until the edges are lightly golden. Allow the cookies to cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely before icing.
Make the white icing: In a medium sized bowl, whisk the 5 cups powdered sugar, 6 of the Tablespoons of milk, 2 Tablespoons corn syrup, 1 teaspoon vanilla, and 1/2 teaspoon salt together in a medium bowl. If it's too thick to whisk, you can add an extra Tablespoon of milk. 
Make the chocolate icing: Transfer 1 cup of the prepared icing into a separate bowl, add the remaining Tablespoon of milk and the 3 Tablespoons of cocoa powder. Whisk until combined.
Spread icing, rest, and spread again: Spread vanilla icing onto half of each cookie. Refrigerate for 15 minutes or until set so that the icings do not bleed into each other. Spread chocolate icing onto other half and allow the icing to set completely, about 1 hour.",15,1 ¾ cups all purpose flour,½ teaspoon baking powder,¼ teaspoon baking soda,¼ teaspoon salt,"½ cup unsalted butter (1 stick), softened",1 cup granulated sugar,"1 egg , at room temperature",2 teaspoons vanilla extract,"⅓ cup sour cream , full fat, at room temperature","5 cups powdered sugar , sifted after measuring",I Heart Naptime,https://www.iheartnaptime.net/black-and-white-cookies/,"6-8 Tablespoons whole milk , divided",2 Tablespoons light corn syrup,1 teaspoon vanilla extract,¾ teaspoon salt,"3 Tablespoons cocoa powder , use Ghiradelli dutch process for darker color",NA,NA,NA,NA,NA,NA,NA,NA
Sheet Pan Cookies,Jamielyn Nye,5,1," Categorized as: American, Bars, Christmas, Cookies, Desserts, Holiday Cookies, Kid-Friendly, Sheet Pan ",Prep Time: 15 minutes mins,Cook Time: 30 minutes mins,NA,Total Time: 45 minutes mins,Servings: 24,6,"Preheat and prepare: Preheat the oven to 350°F. Line a 15×10"" pan with parchment paper. Leave an over hang for easy removal. Then spray with non-stick spray.
Cream wet ingredients: In a large bowl using a mixer, cream together 1 cup butter, 1 cup brown sugar, and 3/4 cup granulated sugar for 1 minute. Add 2 eggs and 2 teaspoons vanilla and mix until combined.
Add dry ingredients: Add 3 cups flour, 1 teaspoon baking soda and 3/4 teaspoon salt and stir mixture just until combined. 
Divide dough and add mix-in's: Divide the dough into 4 equal sections and place in 4 medium bowls. Add 1/2 cup M&M's to one bowl, 1/4 cup sprinkles to one, 1/4 cup white chocolate chips and 1/4 cup dried cranberries to one, and 1/4 cup peppermint bark with 1/4 cup chocolate chips to the last bowl.
Spread onto pan: Place each cookie dough portion in 1 quadrant of the sheet pan. Flatten the dough using a spatula.  
Bake and cool: Bake for 13-15 minutes, or until the top is barely golden brown. Place extra mix-ins on the top, if desired. Allow to cool completely. When cutting, cut each quadrant first, in a big T shape.  Then cut each section into 6 pieces.",14,1 cup unsalted butter (at room temperature),"1 cup light brown sugar , packed",¾ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,3 cups all-purpose flour,1 teaspoon baking soda,¾ teaspoon salt,½ cup M&M's,¼ cup sprinkles,I Heart Naptime,https://www.iheartnaptime.net/sheet-pan-cookies/,¼ cup white chocolate chips,¼ cup dried cranberries,"¼ cup peppermint bark , chopped",¼ cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Almond Joy Cookie Recipe,Jamielyn Nye,5,3," Categorized as: American, Chocolate Cookies, Christmas, Cookies, Desserts, Frosted Cookies, Holiday Cookies ",Prep Time: 15 minutes mins,Cook Time: 12 minutes mins,Chill in the refrigerator: 30 minutes mins,Total Time: 57 minutes mins,Servings: 36,9,"Preheat and prepare: Preheat oven to 325°F. Line a baking sheet with parchment paper.
Melt butter and chocolate chips: In a medium bowl, melt 1/2 cup butter in the microwave for 30 seconds. Add 1 1/2 cup chocolate chips and mix until they are melted and smooth.  If they need some more time in the microwave, add bowl back for another 15 seconds or so. Set aside.
Add wet ingredients: In a large mixing bowl, mix the 1 1/4 cups brown sugar, 3 eggs, 1 teaspoon vanilla and 1/2 teaspoon almond extract with an electric mixer. Add chocolate butter and mix until well combined.
Add dry ingredients: Add 1/4 cup cocoa powder, 1 1/2 cups flour, 1 1/2 teaspoon baking powder, and 1/4 teaspoon salt.  Mix until incorporated, scraping down the sides, if necessary.
Chill dough: Put dough in the refrigerator for 1/2 hour.
Make coconut filling: Meanwhile, mix the 2 cups coconut and 1/2 cup sweetened condensed milk in a small bowl and also place in the refrigerator.
Bake cookie dough: When dough is chilled, scoop with a medium cookie scoop onto prepared pan and bake for 12 minutes. 
Make frosting: While cookies are baking, melt 1/2 cup butter in a medium mixing bowl the microwave for 30-45 seconds.  Add 2 Tablespoons cocoa powder, 3 Tablespoons milk, 1/2 teaspoon vanilla and 2 1/2 cups powdered sugar. Mix well.  If frosting seems too thick to drizzle, put back in microwave for another 15 seconds.
Assembly cookies: Using the back of a spoon, make a well in the warm cookie. Put 1 Tablespoon of the coconut mixture in the well, and add an almond on top.  Drizzle with hot frosting. ",18,½ cup unsalted butter,1 ½ cup semi-sweet chocolate chips,1 ¼ cup brown sugar,3 eggs,1 teaspoon vanilla,½ teaspoon almond extract,¼ cup cocoa powder,1 ½ cups flour,1 ½ teaspoons baking powder,¼ teaspoon salt,I Heart Naptime,https://www.iheartnaptime.net/chocolate-almond-joy-cookies/,½ cup sweetened condensed milk,2 cups sweetened shredded coconut,"36 roasted almonds, whole",½ cup butter,2 Tablespoons cocoa powder,3 Tablespoons milk,½ teaspoon vanilla,2 ½ cups powdered sugar,NA,NA,NA,NA,NA
Chocolate Marshmallow Cookies,Jamielyn Nye,5,2," Categorized as: American, Chocolate Cookies, Christmas, Cookies, Desserts ",Prep Time: 20 minutes mins,Cook Time: 20 minutes mins,Chill Time: 30 minutes mins,Total Time: 1 hour hr 10 minutes mins,Servings: 36,6,"Preheat thee oven to 350°F. Line 2 baking sheets with parchment paper.
In the bowl of a stand mixer fitted with a paddle attachment, mix together the butter and sugar. Mix in eggs, and vanilla. Add cocoa powder and mix until smooth.
In a separate bowl, whisk together the flour, baking powder, and salt. Gradually add the flour mixture to the sugar mixture and mix just until combined. Refrigerate the dough for 30-60 minutes.
Using a medium cookie scoop (or about 2 Tablespoons), scoop the dough onto the baking sheets. Roll the dough balls and then lightly press the tops of the dough ball flat with your palm or the butter wrapper (dough is a little sticky). 
Bake 6 minutes. Place 1 marshmallow on top of each cookie and then bake 2 more minutes. Remove from oven and let sit on pan 3 minutes. Gently press the marshmallows down and then move to a cooling rack. 
Place the chocolate chips in a small bowl with coconut oil. Melt in 30 second increments stirring until smooth. Using a spoon or knife, spread a thin layer of melted chocolate just on top of the marshmallows (not too thick). Allow to harden. ",11,"¾ cup (170 grams) unsalted butter , softened",1 ½ cups (300 grams) granulated sugar,4 large eggs,2 ½ teaspoons vanilla extract,1 cup (80 grams) unsweetened cocoa powder,"2 ¼ cups (292 grams) all-purpose flour , spooned and leveled",2 teaspoons baking powder,¾ teaspoon fine sea salt,"18 large marshmallows , sliced in half","½ cup chocolate chips , or melting wafers",I Heart Naptime,https://www.iheartnaptime.net/chocolate-marshmallow-cookies-recipe/,"1 teaspoon coconut oil , or vegetable oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Swig Sugar Cookies,Jamielyn Nye,5,6," Categorized as: American, Christmas, Cookies, Desserts, Frosted Cookies, Holiday Cookies, Kid-Friendly ",Prep Time: 30 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 40 minutes mins,Servings: 30,7,"Preheat the oven to 350ºF. Line 2 baking sheets with parchment paper and set aside. 
In a stand mixer fitted with a paddle attachment, mix the 1 cup butter and 1 1/4 cup sugar and 3/4 cup powdered sugar for 1 to 2 minutes, or until pale and creamy. Mix in the 1/2 cup oil, 1/4 cup sour cream, 2 eggs, and 1 teaspoon vanilla for an additional minute. 
In a separate bowl, whisk together the 5 1/4 cups flour, 1/2 teaspoon baking soda, 1/2 teaspoon cream of tarter, and 3/4 teaspoon salt. Slowly mix into the sugar mixture just until combined, being careful not to over mix. Scrape down the sides as needed. Fold in 3/4 cup crushed peppermint bark and crushed candy canes.
In a shallow dish, place about 1/3 cup granulated sugar. Using a large cookie scoop (or 3 Tablespoons), portion dough and roll into balls. Roll balls in the sugar and place onto the baking sheet about 3 inches apart. (I usually bake 6 per pan.)  Using the bottom of a glass cup (about 2-inches on bottom), lightly press the dough balls about 1/4- to 1/2-inch thick. 
Bake 8 to 10 minutes, or just when the cookies no longer look wet. You do not want the edges or bottom to turn golden or they'll be dry. I like to take them out early and let them sit on the pan about 5 minutes until they're firm enough to move to a cooling rack. Let cookies cool completely on wire rack.
In a medium bowl, mix the 1/2 cup butter, 3 Tablespoons sour cream, 1/2 teaspoon vanilla and 1/4 teaspoon peppermint using an electric mixer until smooth. Mix in 2 cups powdered sugar until creamy. Add the remaining 2 cups powdered sugar. Add a Tablespoon or two of heavy cream or milk if it becomes too thick. Taste and add a pinch of salt. if needed. Add a couple drops red food coloring, if using. 
Spread the frosting on top of the cookies. Swig serves their cookies cold. I prefer to store them in the freezer. See notes below. ",19,1 cup unsalted butter,"1 ¼ cups granulated sugar , plus more for pressing cookies",¾ cup powdered sugar,"½ cup vegetable oil , or melted butter (slightly cooled)",2 large eggs,¼ cup sour cream,1 teaspoon vanilla extract,5 ¼ cups (710 grams) all-purpose flour,¾ teaspoon fine sea salt (use 1/2 teaspoon if using salted butter),½ teaspoon baking soda,I Heart Naptime,https://www.iheartnaptime.net/peppermint-sugar-cookies/,½ teaspoon cream of tartar,"¾ cup crushed peppermint bark , or Andes peppermint crunch",¼ cup crushed candy canes (or 3 candy canes),"½ cup unsalted butter , softened",3 Tablespoons sour cream,½ teaspoon vanilla extract,¼ teaspoon peppermint extract,4 cups powdered sugar,"crushed candy canes , for sprinkling on top",NA,NA,NA,NA
