title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Cranberry White Chocolate Shortbread Cookies,Madhuram,4.50, 4 ,American,Prep Time 25 minutes mins,Cook Time 18 minutes mins,Total Time 43 minutes mins,45 Cookies,10,"Preheat oven to 350F/180C for 15 minutes.  Line cookie sheet(s) with parchment paper.
In a bowl combine together the flour, salt and cornstarch.  Set aside.
In another large bowl, beat butter, sugar and vanilla using an electric mixer on medium speed, until light and creamy.  This may take about 4-5 minutes.
On low speed, gradually add flour mixture, beating until blended.  Using your hands, knead to form a smooth dough.
Now divide the dough into half and place it in two different bowls.
To one part of the dough add the cranberries and white chocolate chips.  Knead well.
To the other half dough, add the blueberries and semi-sweet chocolate chips and knead well.
Scoop out tablespoonfuls of dough and drop it about 2 inches apart on prepared cookie sheet.  You may choose to flatten the dough very lightly or just give it a quick roll and leave it as it is.
Bake in the oven for 13-18 minutes or until lightly browned around edges.  Note that these cookies do not spread.  Mine were done in 16 minutes.
Cool for 5 minutes on sheet, then transfer to a rack and cool completely.",10,▢ 2 Cups All Purpose Flour,▢ ¼ Cup Cornstarch,▢ ¼ Teaspoon Salt,▢ 1 Cup Softened Butter,▢ ¾ Cup Confectioner's Sugar,▢ 1 Teaspoon Vanilla Extract,▢ ½ Cup Dried Cranberries,▢ ½ Cup Dried Blueberries,Eggless Cooking,https://www.egglesscooking.com/cranberry-shortbread-cookies-recipe/,▢ ⅓ Cup white Chocolate Chips,▢ ⅓ Cup Semi Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Butter Pecan Cookies,Madhuram,5, 19 ,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 42 minutes mins,24 Cookies,9,"Preheat oven at 375F for 15 minutes.
In a small mixing bowl, cream butter and pudding mix until smooth.  I used a hand held electric mixer.
Gradually beat in all-purpose flour.
Fold in chopped-pecans and mix it well using spatula.
Grease a tablespoon with non stick cooking spray.
Take a tablespoonful of dough and drop it on the baking sheet 2 inch apart. Flatten the dough using your fingers.
Bake it for 10-13 minutes or until light golden brown.  Mine were perfectly done at 11 minutes.
Remove it from the oven and let it cool on the baking sheet itself for 5 minutes.
Then transfer it to a wire cooling rack and let it cool completely before storing it in an airtight container.",4,"▢ ¾ Cup Butter Softened, I Used 1.5 Stick Smart Balance 50/50 Unsalted Butter Blend","▢ 3.4 Oz Instant Butterscotch Pudding Mix 1 Package, I Used Jello Brand Instant Pudding And Pie Mix.",▢ 1.25 Cups All-Purpose Flour,▢ ½ Cup Pecans Chopped,NA,NA,NA,NA,Eggless Cooking,https://www.egglesscooking.com/eggless-butter-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Chocolate Cereal using Ragi Flour,Madhuram,5, 2 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,2 cups.,6,"This chocolate cereal is not crispy like the store bought ones. The texture is like that of a cracker. So I would suggest to warm the milk before adding to the cereal so the heat will soften it up and give the right texture. I served this for my son with some warm almond milk and a hint of maple syrup and he loved it. He was asking for more on the same day. He also had it as a snack by itself.
Preheat oven at 375F/190C for 15 minutes.  If using a cookie sheet with edges, flip it over (so you get a flat top) and grease it with some oil spread. Or you can use a flat cookie sheet and grease the same.  You will be requiring 2 sheets.
Meanwhile combine together the dry and wet ingredients into a smooth dough.
Divide the dough into two equal parts and roll each half directly on the greased cookie sheets.  Roll as thin as possible and using a knife/pizza cutter score it into diamonds/squares directly on the cookie sheet; do not separate.  Bake for 8-15 minutes.  The baking time depends on the thickness of the rolled out dough.
The first set I baked was thicker than the second set.  So the first one took approximately 12-13 minutes but the 2nd was done in about 8 minutes itself.  You can smell the cocoa and also can see that the pieces around the edges turning sort of black.  Keep a watch and remove the pans immediately out of the oven.
The pieces will start coming off while you are removing it from the sheet.  Spread it on a plate or another cool sheet.  Once the chocolate squares have cooled completely store it in an airtight container.",8,▢ ½ cup RagiFlour (Finger Millet),▢ 1 tablespoon Whole Wheat Flour,▢ 1 tablespoon Flax Seed Powder,▢ 4 teaspoons Cocoa Powder,▢ 1 teaspoon Vegetable Oil Spread,▢ 3 tablespoons Maple Syrup,▢ 3 tablespoons Water,▢ 1 teaspoon Vanilla Extract,Eggless Cooking,https://www.egglesscooking.com/homemade-chocolate-cereal/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Chocolate Cookies & Video,Madhuram,4.67, 9 ,American,Prep Time 20 minutes mins,Cook Time 14 minutes mins,Total Time 34 minutes mins,36 Cookies,7,"Preheat the oven at 350F/180C for 15 minutes.  Line baking sheet(s) with parchment paper.  Blend together the egg replacer powder and warm water until it's frothy; set aside.
In a large bowl, cream together the sugar and margarine until light and fluffy (See My Notes).
Add the blended egg replacer mixture and vanilla extract to the creamed sugar mixture; beat it well again.
Sift together the dry ingredients directly into the bowl with the creamed mixture.  Combine it well.  The cookie dough will be very thick.  You can use an electric beater to do the mixing.
Fold in the walnuts and then the raisins, if using.
Drop tablespoonful of dough onto the prepared baking sheet and flatten it slightly.  Bake for about 12-14 minutes.  Test bake about 2 cookies to see how it bakes and then you can decide how to proceed with the rest of the dough.
Move the cookie sheet to wire cooling rack and leave it undisturbed for about 6-8 minutes.  Then remove the cookies from the sheet and let it cool completely on the wire rack before storing it in an air tight container.",12,▢ 1 Cup Granulated Sugar,"▢ ¾ Cup Vegan Margarine (Softened, I Used Earth Balance)",▢ 2 Teaspoons Ener-g Egg Replacer,▢ ¼ Cup Water (Lukewarm),▢ 1 Teaspoon Vanilla Extract,▢ 1 And ¼ Cups All-Purpose Flour,▢ ½ Cup Unsweetened Cocoa Powder,▢ ½ Teaspoon Baking Soda,Eggless Cooking,https://www.egglesscooking.com/vegan-chocolate-cookies/,▢ ½ Teaspoon Baking Powder,▢ ¼ Teaspoon Salt,▢ 1 Cup Walnuts (Chopped),"▢ ½ Cup Raisins (Optional, See My Notes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Almond Biscottis,Madhuram,5, 3 ,American,Prep Time 15 minutes mins,Cook Time 18 minutes mins,Total Time 33 minutes mins,15 Biscottis,16,"Preheat the oven to 350F (175C) for 15 minutes.
Line a standard size baking sheet with foil or parchment and set aside.
In a large bowl, mix together the flours, baking powder, and salt until thoroughly combined.
In a medium bowl whisk together the sugar, applesauce, oil and extracts.
Add the sugar mixture and almonds to the flour mixture, stirring to combine.
Finish mixing with your hands until thoroughly  combined.
With floured hands, shape the dough into 1 log about 3 inch wide and ¾ inch in thickness and transfer to prepared baking sheet. (See My Notes)
Bake on the center rack 25 minutes or until firm to the touch.
Remove the baking sheet from the oven and let cool 15 minutes.
Decrease the oven temperature to 300F(150C).
Using a sharp knife carefully cut the cooled log crosswise into ½ inch wide slices.
Remove the foil and place the slices, cut-side down, on the baking sheet.
Bake about 7 to 10 minutes, or until bottoms are just golden.
Turn the slices over and bake to 5 to 8 minutes, or until bottoms are golden.
Using a spatula, transfer to a wire rack and let cool completely.
Store in airtight containers up to two weeks, or freeze.",10,▢ ¾ Cup Whole Wheat Flour (See My Notes),▢ ¾ Cup Unbleached All Purpose Flour,▢ ½ Tablespoon Baking Powder,▢ ¼ Teaspoon Salt,▢ ¾ Cup Sugar (See My Notes),▢ 6 Tablespoons Sweetened Applesauce,▢ 1.5 Tablespoons Canola Oil,▢ ½ Teaspoon Pure Vanilla Extract,Eggless Cooking,https://www.egglesscooking.com/eggless-almond-biscottis/,▢ ½ Teaspoon Pure Almond Extract (I Made It ¼ Teaspoon),▢ ¾ Cup Slivered Almonds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Outrageous Oat Bran Cookies,Madhuram,5, 24 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,44 Cookies,8,"Preheat oven to 350F for 15 minutes.  Grease the baking sheet or line it with parchment paper.
In a big bowl combine together the flours, bran, flax seed, baking powder, baking soda and raisins (if using) and set aside.
In a medium bowl, blend together butter and sugars until creamy.
Add applesauce and vanilla and mix until well blended.  If you use an electric beater to mix the applesauce it may look curdled, but don't worry.
To the wet ingredients add the dry ingredients and mix well.
Drop the dough by tablespoon on prepared baking sheets.  Lightly spray the tablespoon with non stick spray, so that the dough will drop easily.  Use a butter knife to scoop out the dough from the tablespoon.
The baking time mentioned in the recipe is 8-10 minutes.  The cookies look very even after 9 minutes but I removed them out anyway.  After it cooled we tasted it and felt that it required further baking.  So baked again for another 3 minutes.  This time it had a nice golden brown color.
Leave it in the baking sheet itself for a minute and then transfer it to a wire rack to cool completely.",16,"▢ ¾ cup Butter Softened, 1 and ½ Stick",▢ ¾ cup Brown Sugar I used light,▢ ⅓ cup Granulated Sugar,▢ ½ cup Unsweetened Applesauce,▢ 2 teaspoons Vanilla Extract,▢ 1 cup All Purpose Flour,▢ 1 cup White Whole Wheat Flour,▢ 1 cup Oat Bran,Eggless Cooking,https://www.egglesscooking.com/oat-bran-cookies/,▢ ¼ cup Flax Seed I used powdered flax seed,▢ ¼ teaspoon Baking Powder,▢ ¾ teaspoon Baking Soda,▢ 2 Pinches Ground Cinnamon Optional,▢ 2 tablespoons Raisins Optional,"▢ 2 tablespoons Nuts Chopped, Optional","▢ 2 tablespoons Coconut Shredded, Optional",▢ 2 tablespoons Chocolate Chips Optional,NA,NA,NA,NA,NA,NA
Vegan Chocolate Crinkle Cookies,Madhuram,4.95, 18 ,American,Prep Time 6 hours hrs 3 minutes mins,Cook Time 17 minutes mins,Total Time 6 hours hrs 20 minutes mins,100 Cookies,9,"In a mixing bowl, stir together flour, baking powder and salt.  Keep it aside.
In another large mixing bowl, beat together the oil and sugar.  Then add the cocoa and beat once again until well blended.
In a blender, blend together the EnerG powder and warm water for 2-3 minutes until it's foamy.
Add the EnerG mix and vanilla extract to the wet ingredients and beat it once again.
Add the flour mixture gradually to the cocoa mixture, beating well.  At this stage the cookie dough becomes very thick.  My electric hand beater stopped working and I had to mix the dough with my hand.  It had the consistency of stiff chapathi dough.
Cover and refrigerate the dough for at least 6 hours.
Preheat oven to 350F for 15 minutes.  Prepare cookie sheets by greasing or lining with parchment paper.
Shape the dough into balls (I used around ½ tablespoon of dough); roll in powdered sugar to coat.  Place about 2 inches apart on prepared cookie sheets.
Bake 10 to 12 minutes or until almost no indentation remains when touched lightly and tops are crackled.  I baked mine for 11 minutes.  Cool slightly.  Remove from cookie sheet to wire rack and cool completely.",10,▢ 2 and ⅓ cups All Purpose Flour,▢ 2 cups Sugar,▢ ¾ cup Vegetable Oil (I used canola oil),▢ 1 cup Cocoa powder,▢ 6 teaspoons EnerG (in place of 4 eggs),▢ 12 tablespoons Water,▢ 2 teaspoons Vanilla Extract,▢ 2 teaspoons Baking Powder,Eggless Cooking,https://www.egglesscooking.com/vegan-chocolate-crinkle-cookies/,▢ ½ teaspoon Salt,▢ For Coating Powdered Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whole Wheat Digestive Cookies,Madhuram,4, 4 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,45 Cookies,8,"In a large mixing bowl sift all the dry ingredients except oats and sugar.  Stir in the oats.
Take out the butter from the refrigerator, cut up into small pieces and add it to the flour mixture.  Using a pastry blender further cut the butter until the mixture resembles coarse crumbs.  If you don't have a pastry blender you can do this with your fingers or fork too, but it's more work.
Stir in the sugar and add milk little by little to form a soft dough.  Knead until smooth.
Press the dough into disk, wrap in plastic wrap and leave it in the fridge for 30 minutes.  Set the kitchen timer for 15 minutes.  When the timer goes off start preheating the oven at 375F for 15 minutes.  So by the time the oven preheats it will be 30 minutes and you can start working on the cookie dough.  Also butter 2 cookie sheets.
Lightly flour the surface.  Roll out the dough into ¼ inch thickness.  Use a cookie cutter to cut out the cookies.  Gather the dough scraps, re-roll and continue the same procedure until all the dough is used.
The cookies tend to stick to the floor, so use a spatula to lift and transfer the cookies to the baking sheets.  Place them 1 inch apart.  Prick all over with a fork.
The baking time depends on the thickness of the cookies and the material of the baking sheet.  Note that cookies baked on a dark-colored non stick baking sheet tend to bake faster and if not alert the bottom will get burnt.  My second batch cookies were thinner than the first batch.  So the first batch took 13 minutes, while the second batch was done in 10 minutes.  Look for golden color cookies.  If baking both the batches at the same time, place each baking sheet in individual racks and shift sheets halfway through baking.
Leave the cookies in the baking sheet itself for 5 minutes and then transfer to a wire rack to cool.",8,▢ 1 and ⅓ cups Whole Wheat Flour,▢ ¼ cup All Purpose Flour,▢ 1 teaspoon Baking Powder,▢ ½ teaspoon Salt,▢ 2 tablespoons Rolled oats/quick cooking oats,▢ 5 tablespoons Butter,▢ 1 cup Sugar,▢ ⅓ cup Milk (I used 2%),Eggless Cooking,https://www.egglesscooking.com/whole-wheat-digestive-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Pumpkin Cookies,Madhuram,4.96, 21 ,American,Prep Time 20 minutes mins,Cook Time 14 minutes mins,Total Time 34 minutes mins,40 Cookies,12,"Preheat the oven at 350F for 15 minutes.
In a large mixing bowl, cream shortening and sugar until light and fluffy.
Add pumpkin and vanilla.
Combine the flour, baking powder, baking soda, cinnamon and salt.
Add the dry ingredients to the creamed mixture and mix well.
Fold in raisins.
Drop by teaspoonfuls (I used ½ tablespoon measurement to scoop the dough) 2 in. apart onto greased baking sheets.
Bake the cookies for 12-14 minutes or until lightly browned.  Mine took exactly 14 minutes for the batch which I baked in an aluminum baking sheet.  The dark non stick baking sheet batch began to brown at 12 minutes itself.  So watch closely.
Remove to wire racks to cool.
Melt butter in a small saucepan.
Stir in the sugar, milk and vanilla until smooth.
Frost cooled cookies.",14,▢ ½ Cup Shortening (I Used Crisco All),▢ 1 Cup Sugar,▢ 1 Cup Pumpkin Puree (Not Pumpkin Pie Filling Simply Canned Pumpkin Puree Or You May Also Choose To Buy Fresh Pumpkin And Cook It),▢ 1 Teaspoon Vanilla Extract (I Use Trader Joes Pure Vanilla Flavor Alcohol Free),▢ 2 Cups All Purpose Flour,▢ 1 Teaspoon Baking Powder,▢ 1 Teaspoon Baking Soda,▢ 1 Teaspoon Ground Cinnamon (I Made It ½ Teaspoon),Eggless Cooking,https://www.egglesscooking.com/vegan-pumpkin-cookies/,▢ A Dash Salt,▢ 1 Cup Raisins,▢ 2 Tablespoons Butter (Vegans Can Use Earth Balance Or Any Other Soy Products),▢ 1 And ½ Cups Confectioner's Sugar,▢ 2 Tablespoons Milk (For Vegan Version Use Soy Milk Instead),▢ 1 Teaspoon Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Oatmeal Cranberry Cookies,Madhuram,5, 20 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 40 minutes mins,40 cookies,6,"Preheat oven to 350F/180C for 15 minutes.
Cream together the margarine and sugars until smooth.  Beat in the vanilla and milk.
Add the flour, baking soda and spice; mix well.
Stir in the oats, cranberries and pecans.
Spoon tablespoonful of dough on ungreased cookies sheets (see My Notes) and bake between 12-15 minutes or until done.  I baked 20 cookies at a time on a big cookie sheet.  If you are using 2 sheets at once, shift cookie sheets halfway through baking.
Remove the baking sheets from the oven and stand the cookies on the sheet itself for 2-3 minutes before transferring it to the cooling rack and let it cool completely.",11,▢ ¾ cup Vegan Margarine I used Becel Vegan Spread,▢ ⅓ cup Granulated Sugar,▢ ¾ cup Brown Sugar I used dark brown,▢ 1 teaspoon Vanilla Extract,▢ ½ cup Non Dairy Milk I used almond milk,▢ 1 cup Whole Wheat Flour,▢ ½ teaspoon Baking Soda,▢ ¾ teaspoon Ground Allspice,Eggless Cooking,https://www.egglesscooking.com/vegan-oatmeal-cranberry-cookies/,▢ 3 cups Quick Cooking Oats,▢ 1 cup Dried Cranberries,▢ 1 cup Pecans chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Chewy Chocolate Chip Cookies using Silken Tofu,Madhuram,5, 9 ,American,Prep Time 15 minutes mins,Cook Time 16 minutes mins,Total Time 36 minutes mins,50 Cookies,10,"Preheat oven at 350F/180C for 15 minutes.
Melt butter in a saucepan on stove top or in the microwave oven.
Remove the tofu from the packet and blend it in a blender until smooth.  Pour it in a liquid measuring cup to measure ½ cup of pureed tofu.
In a large mixing bowl, combine the dry cake mix, butter, oats; mix well.
Stir in the chocolate chips and raisins.
The dough is has the consistency of chapathi dough or play dough.
Grease a tablespoon and drop the dough using it 3 inches apart onto ungreased baking sheets.
Bake for 9-11 minutes or until set.
Cool for 5 minutes before removing to wire racks.
Cool it completely on the wire rack before storing it.",6,▢ 18.25 oz German Chocolate Cake mix I used 1 package Duncan Hines,▢ ½ cup Silken tofu pureed ¼ cup for each egg to be replaced,▢ ½ cup Melted Butter 1 stick,▢ ½ cup Quick Cooking Oats,▢ 1 cup Semisweet Chocolate Chips 1 cup,▢ ½ cup Raisins,NA,NA,Eggless Cooking,https://www.egglesscooking.com/eggless-chewy-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Almond Butter and Oats Cookies,Madhuram,5, 2 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 2 hours hrs 25 minutes mins,60 Cookies,9,"In a medium saucepan over medium heat, melt butter.
Stir in cocoa powder to the melted butter.
Mix both cocoa powder and butter using a whisk. Bring mixture to a boil.
Remove from heat. Add oats.
Add the can of condensed milk.
Add the chopped almonds.
Add the almond butter.
Line 2 baking sheets with a wax paper. I sprayed a half tablespoon with non stick cooking spray, scooped out the mixture and dropped onto the baking sheets. Chill 2 hours or until set. Store loosely covered in refrigerator.
You can either leave it as it is or shape them into balls. After about 30 minutes in the fridge, the mixture will be in the right texture to shape it. Put it back in the refrigerator for another 2 hours or until it firms up.",6,▢ ½ cup Butter or Margarine (1 Stick),▢ ⅓ cup Unsweetened Cocoa,▢ 2 and ½ cups Quick Cooking Oats,▢ 300 ml Sweetened Condensed Milk,▢ 1 cup Almonds (Chopped),▢ ½ cup Almond Butter,NA,NA,Eggless Cooking,https://www.egglesscooking.com/no-bake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chip Cookies,Madhuram,5, 18 ,American,Prep Time 15 minutes mins,Cook Time 16 minutes mins,Total Time 36 minutes mins,32 Cookies,10,"Preheat oven to 350F/180C for 15 minutes.  Do not grease the baking sheets.
In a small blender, blend together the Ener-G powder and warm water until its frothy.  Keep it aside.  I use the small jar of my Magic Bullet for this task.
Measure the flours, baking soda and salt in a medium size bowl; stir it together and set it aside.
In a large bowl, beat the peanut butter, margarine and sugars with an electric mixer until well combined.  Add the Ener-G mixture and vanilla extract and beat it well again.
Add the dry ingredients to the butter mixture and stir by hand to incorporate it into the dough.  Alternatively you can use the electric mixer at low speed to do this.  Since I have used whole wheat pastry flour I did it by hand itself because I did not want it develop too much gluten.
This cookie dough is dry and crumbly unlike the usual cookie doughs.  You will have to use your hands to mix it well.  About halfway through mixing, add the chocolate chips and stir until just blended.
The way the dough ends up depends upon the type of peanut butter used.  So do as I did.  Test bake 2 cookies and decide what you have to do.  Shape the dough into balls and place at least an inch apart on an ungreased cookie sheet.  Flatten each one a little with the palm of your hand, so they're more like little patties.  I pinched small pieces of dough and rolled between my palms; dampened my fingers with little water to enable easy flattening.  The patties were not smooth but had a couple of cracks.  That's fine.
Bake it for about 11-12 minutes, until just set.  I baked the first 2 cookies for 12 minutes and saw that the bottom had started turning dark brown.  Other than that I did not face any other problem with the dough being crumbly.
So proceeded with the rest of the dough too in the same manner but baked it for just 11 minutes.  Remove the baking sheet from the oven and cool it on a wire rack for 5 minutes so it will continue to bake and will set completely.  After 5 minutes transfer the cookies to the wiring rack directly and let it cool.
The cookies do not have a smooth finish but have some cracks around the edges.",12,▢ 1 cup Peanut Butter I used unsweetened and unsalted,"▢ ¼ cup Butter or Margarine, I used Becel soft tub margarine.",▢ ½ cup Granulated Sugar,"▢ ½ cup Brown Sugar packed, I used dark brown",▢ 2 teaspoons Ener-G Egg Replacer for 1 egg,▢ 3.5 tablespoons Lukewarm Water,▢ 2 teaspoons Vanilla Extract,▢ ½ cup Whole Wheat Pastry Flour see My Notes #2,Eggless Cooking,https://www.egglesscooking.com/peanut-butter-chocolate-chip-cookies/,▢ 1 and ¼ cups Cake Flour see My Notes #2s,▢ 1 teaspoon Baking Soda,▢ ¼ teaspoon Salt,▢ 1 cup Semi Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Italian Chocolate Nut Cookies,Madhuram,5, 1 ,American,Prep Time 30 minutes mins,Cook Time 15 minutes mins,Total Time 45 minutes mins,53 Cookies,10,"Preheat oven to 350F for 15 minutes.
Combine first four ingredients in a saucepan.
Heat slowly, stirring till the mixture resembles chocolate syrup. Let cool to room temperature.
Combine flour with baking powder and spices (if using).
Pour in chocolate syrup and work into a stiff batter. (See My Notes)
Add almonds and raisins. Raisins generally stick together, so take little flour and mix it with the raisins and separate them with your fingers, so the raisins will be spread uniformly throughout the batter.
I scooped out the dough using half tablespoon (see My Notes) and dropped it on the cookie sheet. The cookie does not spread, so leaving ½ inch space in between is sufficient. I was able to arrange 24 cookies in a large baking sheet.
Bake for 12 to 15 minutes.
Remove it from the oven and let it cool in the baking sheet for 5 minutes.
Then transfer it to a wire rack to cool completely.",10,▢ ½ Cup Margarine (I Used 1 Stick Smart Balance 50/50 Unsalted Butter Blend More Details In My Notes),▢ ⅔ Cup Cocoa Unsweetened (I Used Droste Dutch Processed Cocoa Powder),▢ 2 Cups Light Brown Sugar,▢ ½ Cup Water,▢ 2 ½ Cups Whole Wheat Flour,▢ 1 ½ Teaspoons Baking Powder,▢ 2 Teaspoons Cinnamon (I Used Vanilla Essence Instead Of These Spices),▢ 1 Teaspoon Cloves Or Allspice,Eggless Cooking,https://www.egglesscooking.com/eggless-italian-cookies/,▢ 1 Cup Finely Chopped Almonds,▢ 1 Cup Raisins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Oatmeal Cookies,Madhuram,5, 12 ,American,Prep Time 15 minutes mins,Cook Time 24 minutes mins,Total Time 49 minutes mins,48 Cookies,7,"Preheat oven to 350F/180C for 15 Mins.  Line cookie sheets with parchment paper.  I also sprayed the parchment paper with some non stick cooking spray.
Stir together the dry ingredients in a large bowl.
Mix together the wet ingredients in another small bowl.
Add wet ingredients to the dry ingredients and stir until just combined.  I felt that the cookie batter was a bit watery so I covered the bowl of dough with plastic wrap and refrigerated for 15 minutes.
Scoop about a tablespoonful of dough and place it on the prepared cookie sheets.  Flatten it gently either with a fork or back of a spoon.
Bake it until lightly browned or for 24 minutes.  I took out mine after 22 minutes.
Leave the cookies on the cookie sheet for about 5 minutes and then transfer it to a cooling rack to cool completely before storing them in an air tight container.  I baked mine in 3 batches.",14,▢ 2 and ¼ cups Quick Cooking Oats,▢ 2 cups Brown Rice Flour,▢ 1 and ¾ cups Slivered Almonds,▢ ½ cup Unsweetened Shredded Coconut,▢ ¼ cup Flax Seed,▢ ¾ cup Sugar,▢ ½ tablespoon Ground Cinnamon,▢ 2 teaspoons Salt,Eggless Cooking,https://www.egglesscooking.com/gluten-free-oatmeal-cookies/,▢ ¾ cup Mini M&Ms,▢ ¾ cup Golden Raisins,▢ ½ cup Dried Cranberries,▢ ¾ cup Oil I used Canola,▢ ¼ cup Molasses,▢ 1 and ¼ cups Rice Milk,NA,NA,NA,NA,NA,NA,NA,NA
Wholesome Oatmeal Breakfast Cookies,Madhuram,5, 12 ,American,Prep Time 15 minutes mins,Cook Time 16 minutes mins,Total Time 36 minutes mins,24 Cookies,8,"Preheat the oven to 350F for 15 minutes.  Line 2 cookie sheets with parchment paper.
Pulse the oats in a food processor until it resembles coarse flour.  To this also add the whole wheat flour, baking powder, baking soda, cinnamon and salt and process until combined.  Transfer this mix to a large mixing bowl.
Put the drained and rinsed beans in the food processor and pulse until smoothly pureed.  You may add 2-3 tablespoons of water to make it easier.  Add the butter/margarine and process until well blended.
Now add the brown sugar, applesauce and vanilla and pulse until smooth, scraping down the sides of the bowl.
Pour the bean mixture into the oat mixture and stir using a spatula.  Add the peanut butter chips/chocolate chips, raisins/dried cranberries, nuts and flax seed meal and stir until blended.
Drop by large spoonfuls of dough onto the prepared cookie sheets.  Flatten each one a little with your hand.  Have a bowl of water nearby to dampen your palms, so that flattening the cookies will be easy.
Bake for 14-16 minutes, until pale around the edges but still soft in the middle.  The cookies baked in a dark coated cookie sheet started browning after 14 minutes itself but the pale coated cookie sheet was done after 16 minutes.
Place the the cookie sheets on individual wire racks.  Let it cool for 5 minutes.  Transfer the cookies to the cooling rack after that.",15,▢ 2 cups Quick Cooking Oats,▢ 1 cup Whole Wheat Pastry Flour,▢ 1 teaspoon Baking Powder,▢ 1 teaspoon Baking Soda,▢ 1 pinch Cinnamon optional,▢ 1 pinch Salt,▢ 19 oz Navy Beans Rinsed and Drained - 540ml - 1 can,▢ 4 tablespoons Margarine Soft Tub,Eggless Cooking,https://www.egglesscooking.com/oatmeal-breakfast-cookies/,"▢ 1 cup Brown Sugar packed, I used light",▢ ¼ cup Unsweetened Applesauce measured in a dry measuring cup,▢ 2 teaspoons Vanilla Extract,▢ ½ cup Peanut Butter Chips,▢ ½ cup Dried Cranberries,▢ ½ cup Walnuts Chopped,▢ 2 tablespoons Flax Seed Meal,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Madhuram,5, 8 ,American,Prep Time 1 hour hr,Cook Time 13 minutes mins,Total Time 1 hour hr 18 minutes mins,48 Cookies,9,"Process the oats in a food processor/blender.  The texture of the powdered oats was not mentioned in the original recipe, so I chose a consistency in between coarse and fine.
In a medium size bowl combine together the powdered oats, flour, baking powder, soda and salt; mix well.
In a blender, blend together the EnerG powder and warm water until it's frothy; set aside.
In another large mixing bowl, cream together the butter and sugars with an electric mixer until light and fluff.  Beat in the EnerG mixture and vanilla.
Add the flour mix to the sugar mixture; mix well.  Stir in the chocolate chips and walnuts.
Cover the bowl with a plastic wrap and chill the dough at least for an hour.
Around the 45th minute, start preheating the oven to 350F/175C for 15 minutes.
Scoop out heaping tablespoons of cookie dough; drop it on ungreased cookie sheet 2 inches apart.  Bake on middle rack for 10-12 minutes or until lightly browned.
Remove the baking sheets from the oven and place it on wire racks.  Let the cookies stand for 5 minutes because the cookies will continue to bake.  After 5 minutes, transfer the cookies to the cooling racks directly using a spatula and let it cool completely before storing it in an airtight container.",13,▢ 2 and ½ cups Quick Cooking Oats or Rolled Oats,▢ 2 cups All Purpose Flour,▢ 1 teaspoon Baking Powder,▢ 1 teaspoon Baking Soda,▢ ½ teaspoon Salt,▢ 1 cup Unsalted Butter softened,▢ 1 cup Granulated Sugar,"▢ 1 cup Brown Sugar packed, I used light",Eggless Cooking,https://www.egglesscooking.com/oatmeal-chocolate-chip-cookies/,▢ 4 teaspoons Egg Replacer Ener-G,▢ 7 tablespoons Warm Water,▢ 1 teaspoon Vanilla Extract,▢ 1 an ½ cups Semisweet Chocolate Chips,▢ 1 and ½ cups Walnuts coarsely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA
