title,author,rating,ratingnum,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Sugar Cookies,Lauren Allen,4.81,242,Dessert,15 minutes,10 minutes,NA,Total: 25 minutes mins,NA,7,"Mix shortening/butter and sugar In a mixing bowl until well creamed together. Add eggs, milk, and vanilla and mix.
Dry Ingredients: In a separate bowl, mix dry ingredients–(flour, baking powder, and salt. Slowly mix dry ingredients into the wet mixture until you form a large dough ball. Add a little more flour, if needed, but not too much. 
Chill dough for at least 30 minutes in the fridge, or up to 3 days.
Roll Out: Dust counter top with flour and roll dough ball out until ½ inch to ¾ inch thick. (Add a little flour as needed to counter, rolling pin and top of dough, keep dough from sticking). Cut the dough into shapes with cookie cutters (or use a round drinking cup).
Bake: Place cookies on a parchment lined baking sheet. Bake at 350 degrees F for about 7-10 minutes.  Cookies will be very light colored and just set, when you take them out. They will harden as they cool, so don't over bake them. 
Frosting: Add butter and cream cheese to a mixing bowl and beat well until smooth and creamy. Add powdered sugar and vanilla. Add more powdered sugar, as needed, until the frosting is desired thickness. Beaet for several minutes until very smooth and soft. (Stir in food coloring if desired.)
Frost cooled sugar cookies and top with sprinkles, if desired. ",13,"▢ 2/3 cup butter or vegetable shortening*, , or &frac13; cup butter and &frac13; cup shortening (123g)","▢ 1 cup granulated sugar, (200g)",▢ 2 large eggs,"▢ 1/3 cup milk, (83g)","▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1/4 teaspoon almond extract, (optional, but makes a great flavor )","▢ 3 cups all-purpose flour, (375g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/super-soft-sugar-cookies/,"▢ 2 teaspoons baking powder, (8 g)","▢ 1 teaspoon salt, (5 g)","▢ 8 ounces cream cheese, , softened (226 g)","▢ 1/2 cup butter, softened, (113g)","▢ 1 teaspoon vanilla extract, (5 ml)","▢ 3-4 cups powdered sugar, (360-480g)",NA,NA,NA,NA,NA,NA
Patriotic Sugar Cookie Bars,Lauren Allen,5,10,Dessert,15 minutes,15 minutes,NA,Total: 30 minutes mins,NA,12,"Preheat oven to 375 degrees F. Lightly grease a 9x13'' baking pan and set aside.
In a large bowl, cream together the butter and sugar until light and fluffy. 
Add the eggs and vanilla and mix well. 
Stir in the flour, baking powder and salt. Mix just until combined.
Press the sugar cookie mixture gently into an even layer into the bottom of the pan.
Bake for 10-13 minutes--DON'T over-bake! You'll be tempted, but the bars should just be barely set in the center and the edges wont be browned at all. 
Allow the bars to cool completely before frosting.
Add the butter and 2 cups of powdered sugar to a mixing bowl and cream together with an electric mixer until smooth and fluffy, about 3-5 minutes. 
Add remaining powdered sugar and vanilla. 
Add as much milk as needed to reach a good soft frosting consistency. 
Smooth frosting over the bars and sprinkle with toppings.
Store bars in an airtight container at room temperature for up to 2 days and in the refrigerator up to 5.",12,"▢ 3/4 cup unsalted butter, (1 ½ sticks), room temperature",▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 2 1/4 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1/2 teaspoon salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/patriotic-sugar-cookie-bars/,"▢ 8 Tablespoons butter, (1 stick), room temperature",▢ 3 cups powdered sugar,▢ 1/4 teaspoon vanilla extract,▢ 3 Tablespoons milk,"▢ Sprinkles, m&m's and white chocolate chips, , for topping",NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars,Lauren Allen,4.95,127,Dessert,15 minutes,15 minutes,NA,Total: 30 minutes mins,NA,6,"Preheat oven to 375 degrees F. Lightly grease a 13×18'' half sheet pan with non-stick cooking spray. (Or, cut the recipe in half if using a 9×13'' pan).
Add the butter and sugar to a mixing bowl and mix well until light and creamy. Add eggs, beating after each addition. Add vanilla and almond extract and mix well.
In a separate bowl combine the dry ingredients: flour, baking soda and salt. Add the dry ingredients into the batter and mix until combined. Spread and press the mixture into the prepared pan. 
Bake at 375 degrees F for about 12-16 minutes or until the center is set, and the edges are just starting to be golden. Remove from oven and allow to cool.  Once cooled completely, frost and cut into squares.
Cream cheese frosting: In a mixing bowl, beat the butter and cream cheese together until smooth and creamy. Add the vanilla and mix. Add the powdered sugar a little at a time until, mixing well until smooth. You may not need all of the powdered sugar–just add enough to make a good frosting consistency, and taste it to see if you want to add more.
Store bars, covered well, in the refrigerator for up to 5 days.",12,"▢ 1 cup unsalted butter, (227g) *room temperature","▢ 2 cups granulated sugar, (400g)",▢ 4 large eggs,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon almond extract,"▢ 4 3/4 cups all-purpose flour, (594g)",▢ 1 teaspoon baking soda,Tastes Better from Scratch,https://tastesbetterfromscratch.com/frosted-sugar-cookie-bars/,▢ 1 teaspoon salt,"▢ 1/2 cup unsalted butter, (113g), room temperature","▢ 8 ounces cream cheese, , room temperatire","▢ 4-5 cups powdered sugar, (480g-600g), (more or less depending on how thick you want your frosting)",▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA
Creamy Lemon Sugar Cookie Cups,Lauren Allen,5,3,Dessert,20 minutes,20 minutes,NA,Total: 1 hour hr 40 minutes mins,NA,22,"In a medium size bowl, cream together shortening and sugar. 
Add eggs, milk, and vanilla. In a separate bowl, mix dry ingredients (flour, baking powder, and salt). 
Slowly mix dry ingredients into the wet mixture until you form a large dough ball. 
Refrigerate for at least 30 minutes or overnight.
When ready to bake, preheat oven to 350 degrees F and grease well a standard size muffin tin. 
Roll dough into 1'' balls and pat gently in your hand to flatten. 
Place into your muffin tin and press it down flat and up along the sides of the muffin tin. You want it to be pretty thin (at least 1/4''in thin). 
Repeat with remaining dough. Bake for 8-10 minutes. (If you've found that they didn't keep their indented shape, remove them from the oven at 8 minutes and use a small spoon to press them back down along the sides of the muffin tin. Then bake them for an additional 3 minutes.). 
Remove from oven and allow to cool for a few minutes. 
Then use a knife to trace along the outside of the cups to loosen them. Remove them onto a wire cooling wrack to cool completely. 
Crack eggs in a small bowl, beat slightly with a fork and set aside. 
In a large saucepan combine sugar and cornstarch. 
Whisk in milk and fresh lemon juice.
Cook over medium heat, stirring constantly, until mixture is thick and bubbling.
Reduce heat to low and cook for two more minutes. 
Add a spoonful of the hot mixture into the egg yolks and stir well. Repeat this process with two or three more spoonfuls of the hot mixture added to the egg yolks. (The goal is to temper the egg yolks so they don’t cook when added to the hot saucepan.) 
Poor egg mixture into the saucepan and stir well. 
Bring mixture to a gentle boil and cook for two more minutes. Remove from heat.
Add softened butter and lemon zest and stir until butter melts completely. 
Allow mixture to cool and then stir in Greek yogurt. 
Spoon a heaping tablespoon filling into each cookie cup. 
Refrigerate for at least 30 minutes before topping with fresh fruit.",17,▢ 2/3 cup shortening,▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 1/3 cup milk,▢ 1 teaspoon vanilla extract,▢ 3 cups all-purpose flour,▢ 2 teaspoons baking powder,Tastes Better from Scratch,https://tastesbetterfromscratch.com/creamy-lemon-sugar-cookie-cups/,▢ 1 teaspoon salt,▢ 1 cup granulated sugar,▢ 3 Tablespoon + 1 ½ teaspoons cornstarch,▢ 1 cup milk,"▢ 1/2 cup fresh lemon juice, about 2-3 lemons","▢ 3 large egg yolks, lightly beaten","▢ 1/4 cup butter, softened","▢ Zest of one lemon, about ½ tablespoon",▢ 3/4 cup Greek yogurt,▢ Fresh fruit for topping,NA,NA
Pecan Sandies,Lauren Allen,4.90,79,Dessert,10 minutes,15 minutes,Chill Time: 20 minutes mins,Total: 45 minutes mins,24 cookies,3,"Dough: Cream butter and sugar together until well combined. Add vanilla and mix. Add flour, salt, and pecans and stir to combine. 
Chill cookie dough for 20 minutes. Roll into 1 ½ inch balls. Get a glass cup and wet the bottom of it slightly. Gently press the cookies using the bottom of the glass. 
Bake at 350 degrees for 15-17 minutes. ",7,▢ 1 cup unsalted butter,▢ 1/2 cup light brown sugar,▢ 1/4 cup granulated sugar,▢ 2 cups all purpose flour,"▢ 1 1/2-2 cup pecans, , corsely chopped",▢ 2 teaspoon vanilla extract,▢ 1/4 teaspoon kosher salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pecan-sandies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookies,Lauren Allen,4.86,868,Dessert,10 minutes,10 minutes,NA,Total: 20 minutes mins,NA,9,"Preheat oven to 375 F. Line a cookie sheet with parchment paper or silplat mat.
Combine flour, baking powder, baking soda and salt in medium bowl; set aside. 
Add butter, sugar, and brown sugar to a large mixing bowl or stand mixer and beat until light and fluffy. Scrape the sides of the bowl when mixing.
Add egg and vanilla and mix until combined.
Gradually mix in the flour and mix until combined.
Stir in chocolate chips and m&m’s.
Scoop dough into large balls (about 3 Tablespoons) and place on prepared baking sheet about 2 inches apart.
Bake for 8 to 10 minutes or until light golden brown around the edges (Do not over bake.)
Let stand 1 minute on cookie sheet, then transfer to cooling rack to cool completely",11,"▢ 2 cups all-purpose flour, (240 g)","▢ 1/2 teaspoon baking powder, (2 g)","▢ 1/2 teaspoon baking soda, (2 g)","▢ 1/2 teaspoon salt, (2.5 g)","▢ 3/4 cups butter, , softened (170 g)","▢ 1/2 cup granulated sugar, (100 g)","▢ 3/4 cups light brown sugar, , firmly packed (150 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/soft-and-chewy-triple-chocolate-mm-cookies/,"▢ 1 eggs, , room temperature","▢ 1/2 Tablespoon vanilla extract, (7.5 ml)","▢ 1 cups mini chocolate chips, (175 g)","▢ 1 cup m&m’s, (200 g)",NA,NA,NA,NA,NA,NA,NA,NA
Gingersnap Cookies,Lauren Allen,4.96,117,Dessert,10 minutes,10 minutes,Refregierate: 15 minutes mins,Total: 35 minutes mins,NA,4,"Add butter and sugar to a mixing bowl and beat until well creamed together. Add egg and molasses and mix well to combine. 
Stir in flour, baking soda, salt, ginger and cinnamon. Cover and refrigerate dough for 15-20 minutes. (This is a good time to make pumpkin dip!)
Scoop into balls and place on an un-greased baking sheet. Bake at 350 degrees F for about 10-12 minutes (or slightly longer if you like them more crispy).
We love to serve gingersnaps with this pumpkin dip. ",10,"▢ ¾ cup butter, , room temperature (170 g)","▢ 1 cup granulated sugar, (200 g)",▢ 1 egg,"▢ ¼ cup molasses, (60 ml)","▢ 2 cups all-purpose flour, (250 g)","▢ 2 teaspoons baking soda, (8 g)","▢ ½ teaspoon salt, (3 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/gingersnap-cookies/,"▢ 1 Tablespoon ground ginger, (6 g)","▢ 1 teaspoon ground cinnamon, (2.5 g)","▢ Pumpkin Dip, , optional, for dipping",NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Cookies,Lauren Allen,4.98,121,Dessert,15 minutes,8 minutes,NA,Total: 23 minutes mins,24 cookies,6,"Preheat oven to 375 degrees F.
Dough: Cream together butter, shortening, and 1 ½ cups sugar. Add eggs and vanilla and mix well. Add the flour, cream of tartar, baking soda and salt and stir until combined. 
Chill dough for at least 30 minutes, if possible (or up to 3 days).
Shape dough by heaping tablespoonfuls into balls, to make about 24 cookies.
Cinnamon sugar: In a separate bowl, mix the 4 tablespoons granulated sugar and the cinnamon. Roll balls of dough in mixture. Place dough about 2 inches apart on a parchment lined baking sheet.
Bake 8 to 10 minutes (don't over bake!). Allow to cool for a few minutes on the baking sheet before remove to a cooling rack to cool completely.",11,"▢ 1/2 cup butter, , softened","▢ 1/2 cup shortening*, (or use all butter)",▢ 1 1/2 cups granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 3/4 cups all-purpose flour,▢ 2 teaspoons cream of tartar,Tastes Better from Scratch,https://tastesbetterfromscratch.com/snickerdoodles/,▢ 1 teaspoon baking soda,▢ 1/4 teaspoon salt,"▢ 4 Tablespoons granulated sugar, (for rolling the dough balls)","▢ 1 Tablespoon ground cinnamon, (for rolling the dough balls)",NA,NA,NA,NA,NA,NA,NA,NA
Valentine’s Day Cookies,Lauren Allen,4.87,23,Dessert,15 minutes,10 minutes,NA,Total: 25 minutes mins,NA,11,"Preheat oven to 375 degrees F.
In a mixing bowl cream together butter, shortening, peanut butter, ½ cup granulated sugar, and brown sugar until light and fluffy, about 2 minutes. 
Add and eggs, mixing after each addition. Mix in the vanilla.
In a separate bowl whisk together flour, baking soda, and salt. 
Stir dry ingredients into the wet ingredients and mix gently to combine. Don't over-mix. The dough will be very soft.
Pour remaining ½ cup of granulated sugar into a small bowl. Line a cookie sheet with parchment paper.
Scoop dough into balls and then roll in sugar. 
Bake for 7-10 minutes, just until set. They will be pale, and look just barely set.  Don't over-bake them or they will be hard once cooled. 
Remove from oven and allow to cool on baking sheet for 2-3 minutes, and then transfer to cooling rack. 
Press an unwrapped Reese's heart to the center of each warm cookie. Allow cookies to cool completely.
Store leftover cookies in a container at room temperature, or they freeze very well.",11,▢ 1/4 cup unsalted butter,"▢ 1/4 cup vegetable shortening, (Crisco)",▢ 1/2 cup creamy peanut butter,"▢ 1 cup granulated sugar, , divided","▢ 1/2 cup light brown sugar, , packed",▢ 1/2 teaspoon vanilla extract,▢ 2 large eggs,Tastes Better from Scratch,https://tastesbetterfromscratch.com/peanut-butter-heart-cookies/,▢ 1 1/2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1/4 teaspoon salt,▢ 12 ounce package Reese's Peanut Butter Hearts,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Bars,Lauren Allen,4.93,401,Dessert,20 minutes,30 minutes,NA,Total: 50 minutes mins,NA,7,"Preheat oven to 350 degrees F. 
Wet ingredients: In a large mixing bowl, cream together the butter, sugar and brown sugar. Add the eggs, vanilla, and peanut butter and mix well.
Dry Ingredients: In a separate bowl mix together the dry ingredients.  
Combine: Add dry ingredients to creamy mixture. Press firmly into a greased 9×13'' pan. 
Bake at 350 degrees for 17-21 minutes or until no longer glossy, but just barely set in the center. Do not over-bake; they will harden as they cool. Allow to cool completely before frosting. 
Spread Peanut Butter: Once cool, spread a thin layer of creamy peanut butter over the bars. 
Chocolate Frosting: Add butter to a small skillet over medium heat. Once melted, stir in cocoa. Remove from heat and stir im milk, powdered sugar and vanilla. Whisk until smooth, using electric beaters to get out any lumps, if needed. Spread chocolate frosting over the top of the bars. ",15,"▢ 3/4 cup butter, (170g), room temperature","▢ 1/2 cup granulated sugar, (100g)","▢ 1 cup light brown sugar, (220g)",▢ 2 large eggs,▢ 1 teaspoon vanilla extract,"▢ 1/2 cup creamy peanut butter, (135g), plus more for spreading over baked bars",▢ 2 1/2 teaspoons baking soda,Tastes Better from Scratch,https://tastesbetterfromscratch.com/best-ever-peanut-butter-bars/,▢ 1/2 teaspoon salt,"▢ 1 1/2 cups all-purpose flour, (188g)","▢ 2 cups old-fashioned rolled oats, (170g)","▢ 1/4 cup butter, (57g)",▢ 1 Tablespoon unsweetened cocoa powder,▢ 1 1/2 Tablespoons milk,"▢ 1 1/4 cups powdered sugar, (150g)",▢ 1 teaspoon vanilla extract,NA,NA,NA,NA
Peanut Butter Brownies,Lauren Allen,4.83,52,Dessert,20 minutes,45 minutes,Chill time: 30 minutes mins,Total: 1 hour hr 5 minutes mins,NA,7,"Preheat oven to 350 degrees F. 
Brownies: In a mixing bowl add granulated and brown sugars and melted butter. Beat until well combined. Add eggs and egg yolk, beating after each addition. Add milk and vanilla extract.
In a separate bowl mix together the flour, cocoa powder, baking powder, and salt. Add dry ingredients to wet ingredients and mix just until combined. The batter will be thick. 
Bake: Pour batter into a greased 9×13'' baking pan and spread into an even layer. Bake at 350 degrees for 35-45 minutes or until a toothpick inserted in the center comes out clean. Allow to cool completely.
Peanut Butter Frosting: Beat together butter, and peanut butter until smooth. Add powdered sugar and vanilla and beat again until smooth. Add a little splash of milk, beating well until light and fluffy. Add more milk or powdered sugar if needed to make the frosting thicker or thinner. Smooth frosting over the top of cooled brownies. Refrigerate while you make the chocolate topping.
Chocolate Glaze: Place chocolate chips and butter in a microwave safe bowl. Microwave in 30 second intervals, stirring in between, until just melted and smooth. Allow to cool for 3-4 minutes. 
Spread evenly over the frosted brownies. Add chopped Reese's peanut butter cups on top. Return to fridge to allow the chocolate to set.",19,▢ 1 1/2 cups granulated sugar,"▢ 1 1/2 cups light brown sugar, , packed","▢ 1 cup salted butter, , melted",▢ 4 large eggs,▢ 1 large egg yolk,▢ 1/3 cup milk,▢ 2 teaspoons vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/reeses-peanut-butter-brownies/,▢ 2 1/4 cups all-purpose flour,▢ 1 cup unsweetened cocoa powder,▢ 1/2 teaspoon baking powder,▢ dash salt,"▢ 1/4 cup butter, , room temperature",▢ 3/4 cup creamy peanut butter,▢ 1 cup powdered sugar,▢ 1 teaspoon vanilla extract,"▢ 1-3 Tablespoons milk, , as needed",▢ 1 cup semi-sweet chocolate chips,▢ 5 Tablespoons butter,"▢ 1 small bag mini Reese's chocolates, , unwrapped and chopped"
No Bake Peanut Butter Pretzel Bars,Lauren Allen,5,3,Dessert,NA,5 minutes,NA,Total: 1 hour hr 5 minutes mins,NA,6,"Pulse oats in a blender or food processor until fine. 
Melt butter in a medium saucepan over medium-low heat. Once melted, add oats and stir well.
Add 1 cup peanut butter and stir until combined. Remove from heat and stir in vanilla, crushed pretzels and powdered sugar. 
Spread mixture into a 9x13'' pan and smooth into an even layer.
Add chocolate chips and remaining peanut butter to a microwave safe bowl and microwave, stirring every 30 seconds, until melted and smooth. 
Smooth chocolate mixture over the peanut butter bars and refrigerate for at least 1 hour.",7,"▢ 3/4 cup butter, (1 ½ sticks)","▢ 1 cup crushed pretzels, (crushed and then measured)",▢ 1 cup old-fashioned rolled oats,▢ 1 1/2 cups powdered sugar,"▢ 1 1/4 cups creamy peanut butter, , divided",▢ 1 teaspoon vanilla extract,"▢ 1 1/2 cups milk chocolate, (or semi-sweet chocolate chips)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/no-bake-peanut-butter-pretzel-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies with Caramel Frosting,Lauren Allen,4.43,87,Dessert,25 minutes,12 minutes,NA,Total: 37 minutes mins,24 cookies,7,"With an electric mixer, beat together sugar and oil. 
Add egg, milk, canned pumpkin and vanilla and blend well. 
In a separate bowl, mix together the dry ingredients. Add the dry ingredients to the wet ingredients and mix, just until incorporated. 
Drop batter by spoonfuls onto a greased cookie sheet.  Bake at 375 degrees F for 10-12 minutes. Allow to cool before frosting.
In a medium saucepan, combine the butter, cream, brown sugar and salt, and cook over medium heat, stirring constantly, until the mixture comes to a boil. 
Remove from the heat and stir in vanilla and 1 cup powdered sugar. Let the frosting cool to room temperature and then stir in enough additional powdered sugar to make a good frosting consistency (you may not use the whole extra cup.) 
Spread the frosting over the cooled cookies.",17,▢ 1 cup granulated sugar,"▢ 1/2 cup oil, (vegetable or canola oil)",▢ 1 teaspoon milk,▢ 1 large egg,▢ 1 cup canned pumpkin,▢ 1 teaspoon vanilla extract,▢ 2 cups all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pumpkin-cookies-caramel-frosting/,▢ 1 1/2 teaspoons ground cinnamon,▢ 1/2 teaspoon salt,▢ 2 teaspoons baking powder,▢ 1 teaspoon baking soda,▢ 3 Tablespoons butter,▢ 1/4 cup heavy whipping cream,"▢ 1/2 cup light brown sugar, , packed",▢ pinch of salt,▢ 2 cups powdered sugar,▢ 1 teaspoon vanilla extract,NA,NA
Chewy Pumpkin Chocolate Chip Cookies,Lauren Allen,4.67,9,Dessert,10 minutes,15 minutes,Refrigerate: 30 minutes mins,Total: 25 minutes mins,15 cookies,7,"Use an electric mixer (or stand mixer) to combine the butter, brown sugar and granulated sugar until well combined. Mix in the vanilla and pumpkin.
Add the flour, salt, soda, cinnamon ginger, nutmeg and cloves and mix just until combined. Stir in chocolate chips.
Cover bowl and refrigerate dough for 30 minutes. (Mandatory!)
Preheat oven to 350 degrees F. Line a baking sheet with parchment paper.
Scoop two tablespoon size balls and place one on top of the other, and lightly squish the two dough balls together. (they will look like really tall “cylinders”. This way, when they bake, the bottom half will cook first, and then the top half, resulting in cookies that are soft and chewy on the inside, but slightly crisp on the outside. ) 
Arrange on a cookie sheet, 2 inches apart. (I bake mine in two batches. While the first batch cooks, I roll the dough for the second and store it, covered, in the fridge.)
Bake cookies for 13-17 minutes or until they are just slightly golden around the edges. Transfer them to a cooling rack to cool completely.",13,"▢ 1/2 cup butter, , softened (113 g)","▢ 1 cup light brown sugar, lightly packed (200 g)","▢ 1/4 cup granulated sugar, (50 g)","▢ 1 teaspoon vanilla extract, (5 ml)","▢ 5 Tablespoons canned pumpkin, (75 g)","▢ 1 1/2 cups all-purpose flour, (188 g)","▢ 1/2 teaspoon salt, (3 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/chewy-pumpkin-chocolate-chip-cookies/,"▢ 1/2 teaspoon baking soda, (2 g)",▢ 1/2 teaspoon ground cinnamon,▢ 1/4 teaspoon freshly grated ginger,▢ 1/8 teaspoon ground nutmeg,▢ 1/8 teaspoon ground cloves,"▢ 3/4 cup semi-sweet chocolate chips, (130 g)",NA,NA,NA,NA,NA,NA
Pumpkin Chocolate Chip Cookies,Lauren Allen,4.84,125,Dessert,10 minutes,10 minutes,NA,Total: 20 minutes mins,NA,6,"Preheat oven to 375 degrees F. Line a cookie sheet with parchment paper, or spray very lightly with non-stick cooking spray.
Add sugar and oil to a mixing bowl and stir well to combine. 
Add egg, milk, pumpkin and vanilla and mix until smooth. In a separate bowl, stir together the dry ingredients. 
Add the dry ingredients and chocolate chips to the wet ingredients then stir just until incorporated. 
Drop by large spoonfuls onto prepared cookie sheet.*
Bake at 375 degrees F for 10-12 minutes, or longer (depending on size), until no  longer glossy looking on top.",12,"▢ 1 cup granulated sugar, (200 g)","▢ 1/2 cup oil, (vegetable or canola oil) (120 ml)","▢ 1 teaspoon milk, (5 ml)",▢ 1 large egg,"▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1 cup canned pumpkin, (or homemade pumpkin puree) (245 g)","▢ 2 cups all-purpose flour, (250 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/pumpkin-chocolate-chip-cookies/,"▢ 1 1/2 teaspoons ground cinnamon, (3 g)","▢ 1/2 teaspoon salt, (3 g)","▢ 2 teaspoons baking powder, (8 g)","▢ 1 teaspoon baking soda, (5 g)","▢ 1 1/2 cups semi-sweet chocolate chips, or milk chocolate (260 g)",NA,NA,NA,NA,NA,NA,NA
Chocolate Mint Cookies,Lauren Allen,4.99,151,Holiday,10 minutes,10 minutes,NA,Total: 20 minutes mins,NA,4,"Preheat oven to 350 degrees.
In a large bowl cream together butter and sugar until smooth and pale colored. Add eggs and vanilla and beat until mix until incorporated.
Stir together flour, cocoa powder, baking soda, and salt;  add to butter mixture.  Stir in mint chocolate pieces, reserving about ¼ cup for pressing into the tops of the rolled cookie dough. 
Spoon and roll cookie dough into desired size (I like mine bigger--about 2-3 tablespoons) Place spread apart on a baking sheet lined with parchment paper or silpat liner.  Bake for 10-12 minutes or just until set. (Cookies wont be shiny on top, but may appear slightly soft and  will set up after removing them from the oven to cool for a few minutes.)",9,"▢ 1 cup butter, , softened (227 g)","▢ 1 1/2 cups granulated sugar, (300 g)",▢ 2 large eggs,"▢ 1 teaspoon vanilla extract, (5 ml)","▢ 2 1/4 cups all-purpose flour, (280 g)","▢ 2/3 cup unsweetened cocoa powder, (56 g)","▢ 1/2 teaspoon baking soda, (2 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/mint-chocolate-chip-cookies/,"▢ 1/4 teaspoon salt, (1.5 g)","▢ 10 oz package Andes creme de Menthe Baking Chips , or 9.5 oz bag andes mint chocolates, chopped (about 1 ½ cups) (270 g)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Chip Cookies,Lauren Allen,4.89,27,Dessert,10 minutes,15 minutes,NA,Total: 55 minutes mins,NA,7,"Preheat oven to 375 F. Line a cookie sheet with parchment paper or silplat mat.
Dry ingredients: flour, cocoa powder, baking powder, baking soda and salt in medium bowl; set aside.
Wet ingredients: butter, sugar and brown sugar in a separate mixing bowl and beat for a few minutes until creamed together. Add egg and vanilla and mix until combined.
Combine: Gradually mix in the flour mixture until combined. Stir in chocolate chips.
Refrigerate: Cover bowl and refrigerate dough for 30 minutes (or up to 3 days stored in an air-tight container).
Scoop dough using a ¼ cup measuring cup to make them uniform in size. Place on a baking sheet 2 inches apart.
Bake for 12 to 15 minutes or until set around the edges (don't over bake!). Allow to cool for several minutes on the baking sheet before transferring to a wire rack to cool completely",11,"▢ 1 1/2 cups all-purpose flour, (190 g)","▢ 1/2 cup unsweetened cocoa powder, (43 g)","▢ 1/2 teaspoon baking powder, (2 g)","▢ 1/2 teaspoon baking soda, (2 g)","▢ ¼ teaspoon salt, (1 g)","▢ 3/4 cups butter, , softened (170 g)","▢ 1/2 cup granulated sugar, (100 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/jumbo-chocolate-cookies/,"▢ 3/4 cups light brown sugar, , firmly packed (150 g)","▢ 1 egg, , room temperature","▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1 cup chocolate chips, , semi-sweet or milk chocolate (175 g)",NA,NA,NA,NA,NA,NA,NA,NA
Hot Cocoa Cookies,Lauren Allen,4.93,52,Dessert,20 minutes,10 minutes,NA,Total: 30 minutes mins,NA,8,"Preheat oven to 350 degrees. Line a cookie sheet with parchment paper.
Wet Ingredients: Add the butter and sugar to a mixing bowl and cream together until light and fluffy, about 3 minutes. Add eggs and vanilla then mix well. 
Dry Ingredients: In a separate bowl, combine the flour, cocoa powder, baking soda, and salt. 
Combine: Add to the bowl with the creamed butter mixture and stir just until combined. Scoop the dough by rounded tablespoons onto your cookie sheet. 
Bake for 8 minutes. Remove from oven and top with a marshmallow half (cut-size down). Return to oven for 2 minutes. Allow to cool completely while you make the frosting.
Frosting: Add butter to a mixing bowl then beat with electric mixers for 1 minute. Add the cocoa powder and milk and mix to combine. Add powdered sugar and mix for at least 2-3 minutes or until smooth. Mix in vanilla. Add more powdered sugar if needed, to reach a smooth, spreadable frosting consistency.
Frost: Once cookies have cooled, cover the tops of the marshmallow and cookie with frosting.
Store leftovers in an airtight container, or freeze for later.",14,"▢ 1/2 cup unsalted butter, (113 grams)","▢ 1 1/2 cups granulated sugar, (300 grams)",▢ 2 large eggs,"▢ 1 teaspoon vanilla extract, (5 ml)","▢ 2 cups all-purpose flour, (250 grams)","▢ 2/3 cup unsweetened cocoa powder, (55 grams)","▢ 1 teaspoon baking soda, (5 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-marshmallow-cookies/,"▢ 1/2 teaspoon salt, (3 g)","▢ 15 large marshmallows, , halved","▢ 1/2 cup unsalted butter, , softened (113 grams)","▢ 2 Tablespoons unsweetened cocoa powder, (10 g)","▢ 2 1/2 Tablespoons milk, (37 g)","▢ 2 cups powdered sugar, (240 grams)","▢ 1 teaspoon vanilla extract, (5 ml)",NA,NA,NA,NA,NA
