title,author,rating,ratingnum,cuisine,course,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18
Eggless Valentine’s Striped Sugar Cookies,Oriana Romero,NA,NA,American,Dessert,Cookies,20 minutes,10 minutes,Chilling Time: 2 hours hrs,30 minutes,16 cookies approx. (Depending on the size of your cutter),10,"Sift the flour and baking powder into a bowl. Add the salt, mix and set aside. 
 Using an electric hand mixer or a stand mixer, beat the butter and sugar on medium speed until smooth and creamy, 3 to 4 minutes. Scrape down the sides and bottom of the bowl as needed. Add the cream cheese and vanilla; mix until incorporated. Reduce the speed to low and gradually beat in the flour mixture; beat just until incorporated, and the dough starts to come together. Divide the dough into two equal pieces.
Place one piece of dough on a big piece of parchment paper. Place another piece of parchment on top to prevent sticking. With a rolling pin, roll the dough out to about 1/4 (6 mm) thick. Repeat with the second piece of dough.
For one-half the dough, sprinkle on an even generous layer of red sanding sugar and use the rolling pin to roll the sprinkles into the dough.
Place both rolled-out doughs, one on top of the other, on a baking tray, cover with plastic wrap, and refrigerate for at least 2 hours and up to 2 days.
Once the dough has chilled, use a ruler and a sharp knife (or pizza cutter) to cut ½ inch strips of dough. Return to the fridge while you work on the other half.
Carefully arrange the strips side by side, alternating colors, and make sure they are touching. When you have a stripe pattern, use a rolling pin to gently roll the striped lined dough pieces together (so the stripes stick to each other again). Transfer to the fridge to chill for 5 – 20 minutes.
Preheat the oven to 350º F (180º C). Line two baking sheets with parchment paper or silicone baking mats.
Cut cookies with a heart-shaped cutter. Carefully place cookies on a baking sheet lined with parchment paper or a silicone baking sheet. Transfer to the fridge to chill one last time while the oven preheats (10 – 15 minutes).Pro-Tip: You’re going to end up with a fair amount of scraps after you cut the cookies out of you’re striped dough. Use smaller circle cutters to use as much of the dough as possible, then ball up the rest, roll it out, and have some crazy-looking but tasty scrap cookies.
Bake for 10 to 13 minutes or until the cookies are just beginning to turn brown around the edges. Remove from the oven and let them sit on the baking sheets for 5 minutes. Then, use a wide metal spatula to transfer the cookies to a wire rack and let them cool completely. I recommend baking one baking sheet at a time. ",8,▢ 3 cups (420 g) all-purpose flour,▢ 1/2 teaspoon (2 g) baking powder,▢ 1/2 teaspoon (2 g) salt,"▢ 3/4 cup (175 g) unsalted butter, softened",▢ 1 cup (200 g) granulated sugar,"▢ 6 ounces (170 g) cream cheese, softened",▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1/2 cup (100 g) pink sanding sugar (or any color you want),NA,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-valentines-striped-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Chocolate Pistachio Slice and Bake Cookies,Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,14 minutes,Chilling Time: 2 hours hrs,24 minutes,22 cookies,7,"Whisk the flour, cocoa, baking powder, espresso powder, and salt together in a medium bowl and set aside.
Using an electric hand mixer or a stand mixer, cream the butter and sugar over medium speed until light and fluffy, about 3 minutes. Add the cream cheese and beat until combined. Scrape down the sides and bottom of the bowl as needed.
Add the dry ingredients to the butter mixture, then mix on low until combined. Add chopped pistachios and mix until distributed throughout the dough.
Shape the dough into a log about 10 inches (25 cm) long. Wrap the log with plastic wrap and refrigerate for at least 2 hours or up to a month.
Preheat the oven to 350º F (180º C). Line two rimmed baking sheets with parchment paper.
Using a sharp knife, cut the log into 1/4-inch (6 mm) thick slices. Arrange the slices on the prepared baking sheets, spacing them about 1 inch apart.
Bake for 12 to 14 minutes, or until they just lose their glossy sheen and are slightly puffy. Let the cookies cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely.",9,▢ 1 1/4 cups (175 g) all-purpose flour,▢ 1/3 cup (33 g) cocoa powder,▢ 1/2 teaspoon (2 g) baking powder,▢ ¼ teaspoon espresso powder,▢ 1/4 teaspoon (1 g) salt,"▢ 1/2 cup (115 g) unsalted butter, softened",▢ 2/3 cup (80 g) confectioners’ sugar,"▢ 2 tablespoons (30 g) cream cheese, softened","▢ ½ cup (85 g) raw pistachios, roughly chopped",NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-chocolate-pistachio-slice-and-bake-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Linzer Cookies (Nut-Free),Oriana Romero,NA,NA,American,Dessert,Cookies,15 minutes,10 minutes,Chilling Time: 1 minute min,26 minutes,24 cookies,8,"Sift the flour and cornstarch into a bowl. Add the salt, mix and set aside.
Using an electric hand mixer or a stand mixer, beat the butter and sugar at medium speed until smooth and creamy, for 3 to 4 minutes. Scrape down the sides and bottom of the bowl as needed. Add the cream cheese, vanilla, and almond bakery emulsion (if using); mix until incorporated.
Reduce the speed to low and gradually beat in the flour mixture; beat just until incorporated and the dough starts to come together. Divide the dough into two equal pieces.
Place the dough over one big piece of parchment paper. Place another piece of parchment on top to prevent sticking. With a rolling pin, roll the dough out to about 1/8-inch (3 mm) thick. Place the rolled-out dough on a baking tray, cover it with plastic wrap, and refrigerate for at least 1 hour and up to 2 days.
Preheat the oven to 350º F (180º C). Line two baking sheets with parchment paper or silicone baking mats.
Cut the rolled-out dough into 2 ½-inch circles (I like to use cookie cutters with scalloped edges) and transfer to the prepared baking sheet, spacing cookies at least 2 inches apart. Use a small heart or star-shaped cookie cutter (if you don’t have one, use the larger circular end of a piping tip) to cut designs in the center of half of the cookies. Alternatively, you can use the cookie cutters specially made for Linzer cookies.Note: I usually take the cookie dough scraps and just re-roll it to make more cookies.
Bake for 9-10 minutes, or cookies will just begin to turn light golden brown on the edges. Remove from the oven and let them sit on the baking sheets for 5 minutes. Then, use a wide metal spatula to transfer the cookies to a wire rack and let them cool completely.
Once cooled, dust the tops of all of your cookies that have the windows/cutouts. Spoon a heaping teaspoon of jam on the bottom of your remaining cookies. Sandwich them together with the powdered sugar hearts on top.",10,▢ 2 cups (280 g) all purpose flour,▢ 2 tablespoon (20 g) cornstarch,▢ ½ teaspoon (2 g) salt,"▢ 3/4 cup (175 g) unsalted butter, softened",▢ 2/3 cup (133 g) granulated sugar,▢ 2 tablespoons (28 g) cream cheese,▢ 1 ½ teaspoons (7.5 ml) pure vanilla extract,▢ ½ teaspoon 2.5 ml almond bakery emulsion (optional – see notes),▢ ½ cup (240 g) raspberry jam (strained),▢ 1 cup (120 g) powdered sugar for dusting,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-linzer-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Italian Ricotta Cookies,Oriana Romero,5,1,European,Dessert,Cookies,15 minutes,14 minutes,Chilling Time: 2 hours hrs,29 minutes,30 cookies approx.,8,"Combine flour, baking powder, baking soda, and salt in a bowl. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment (alternatively, a large bowl and a hand mixer) beat butter and sugar over medium speed until smooth and creamy, about 2 – 3 minutes. Scrape down the sides and bottom of the bowl as needed. Add ricotta, milk, lemon zest, and vanilla mix until incorporated.
Reduce speed to low and gradually beat in flour mixture until combined. Cover bowl with plastic wrap and chill 2 hours or up to 2 days.
Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Use a small cookie scoop (about 1 tablespoon each) to measure out the chilled cookie dough. Roll each portion into a smooth ball and evenly place the cookie balls about 3 inches apart on your prepared cookie sheet.Note: The dough will be soft and a bit sticky even after chilling; that is normal!
Bake for 12 – 14 minutes, or until the edges appear set and the bottoms are lightly golden brown. Remove the cookies from the oven. Let them cool on the baking sheets for about 5 minutes, then transfer them to a wire rack to cool completely. While the cookies cool, prepare the icing.
Whisk together melted butter, powdered sugar, lemon juice, vanilla extract, and 2 tablespoons milk until smooth in a mixing bowl. Add in more milk, 1 tablespoon at a time, to thin as needed (you don't want it to be very thin; it should be quite a bit thicker than a doughnut glaze).
Spoon the icing over cookies. Top with sprinkles, if desired. If applied lightly, the glaze will set within a couple hours.",15,▢ 2 cups (280 g) all-purpose flour,▢ 1 ½ teaspoons (6 g) baking powder,▢ 1 teaspoon (6 g) baking soda,▢ ½ teaspoon (2 g) salt,"▢ ½ cup (115 g) unsalted butter, softened",▢ 1 cup (200 g) granulated sugar,▢ 1 cup (250 g) whole milk ricotta cheese,▢ 2 tablespoons (30 ml) milk,▢ 1 teaspoon lemon zest,▢ 2 teaspoons (10 ml) pure vanilla extract,"▢ 1 tablespoon (14 g) butter salted or unsalted, melted",Mommy's Home Cooking,https://mommyshomecooking.com/eggless-italian-ricotta-cookies/,▢ 2 cups (240 g) powdered sugar,▢ 1 tablespoons (15 ml) fresh lemon juice,▢ 1/2 teaspoon (2.5 ml) pure vanilla extract,▢ 2 – 3 tablespoons (30 – 45 ml) milk,NA,NA,NA
Eggless Snowball Cookies (Easy!),Oriana Romero,4.50,2,American,Dessert,Cookies,10 minutes,10 minutes,Chilling Time: 30 minutes mins,50 minutes,26 cookies,7,"Combine flour, cornstarch, chopped nuts,  and salt in a small bowl. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment (alternatively, a large bowl and a hand mixer), beat butter, powdered sugar, and vanilla over medium speed until smooth and creamy, about 2 minutes.
Turn the mixer to low and add flour mixture until combined.
Form the dough into balls (about 1 tablespoon—25 g each) and place them on a baking sheet. Chill the cookie balls for 30 minutes. This extra step guarantees that rounded cookies stay… well, rounded! Without chilling, your cookies could spread flat.
Preheat oven to 350º F (180º C). Line a baking sheet with parchment paper.
Place the chilled cookie balls 2 inches apart on the prepared baking sheet. Bake for 8-10 minutes, or until the bottom edges of the cookies are lightly browned.
Cool a few minutes until you’re able to handle the cookes. Place about 1/3 cup powdered sugar in a shallow bowl; roll warm cookies in sugar to coat, then return to the wire racks to cool completely. Once cooled, roll cookies in the powdered sugar once more.",7,▢ 2 cups (280 g) all-purpose flour,▢ 2 tablespoons (20 g) cornstarch,▢ ¾ cup (90 g) very finely chopped pecans or walnuts,▢ ½ teaspoon (2 g) salt,"▢ 1 cup (230 g) unsalted butter, softened",▢ ½ cup (60 g) powdered sugar plus extra for dusting,▢ 1 teaspoon (5 ml) pure vanilla extract,NA,NA,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Easy Cinnamon Roll Cookies,Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,10 minutes,Chilling Time: 1 hour hr,20 minutes,28 cookies,9,"Whisk the flour, baking powder, cinnamon, and salt together in a medium bowl and set aside.
Using an electric hand mixer or a stand mixer, cream the butter and sugar until light and fluffy, about 5 minutes. Add the cream cheese and vanilla and mix until well combined. Scrape down the sides and bottom of the bowl as needed.
Reduce the speed to low and gradually beat in the flour mixture; mix until evenly distributed.
Scoop out 1 1/2 to 2 tablespoons of dough for each cookie. Roll each portion into a ball and place on a baking sheet or large plate. Refrigerate for at least 1 hour or up to 2 days.
Preheat the oven to 350º F (180º C). Line two large baking sheets with parchment paper or silicone baking mats.
Place the chilled cookie balls on the prepared baking sheets, evenly spacing them about 2 inches apart. I recommend baking one sheet at a time.
Bake for 8 to 10 minutes, until barely golden brown around the edges. Allow to cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely before frosting.
Beat the cream cheese and butter together on medium-high speed until creamy and no lumps remain, about 4 minutes. Add the confectioners’ sugar, vanilla extract, and salt. Beat on low speed for 30 seconds, then increase to high speed until everything is completely combined, and the frosting is creamy.
Spread the frosting evenly over the cooled cookies and sprinkle with cinnamon sugar, if desired. The frosted cookies will stay fresh covered at room temperature for 2 days, or in the refrigerator for up to 1 week.",14,▢ 2 1/4 cups (315 g) all-purpose flour,▢ 2 1/4 teaspoons (9 g) baking powder,▢ 1 teaspoon (2 g) ground cinnamon,▢ 1/2 teaspoon (2 g) salt,"▢ 3/4 cup (174 g) unsalted butter, softened",▢ 3/4 cup (150 g) granulated sugar,"▢ 4 ounces (113 g) cream cheese, softened",▢ 2 teaspoons (10 ml) pure vanilla extract,"▢ 4 ounces (113 g) cream cheese, softened","▢ 4 tablespoons (58 g) unsalted butter, softened",▢ 2 cups (240 g) confectioners’ sugar,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-easy-cinnamon-roll-cookies/,▢ 1 teaspoon (5 ml) pure vanilla extract,▢ ¼ teaspoon (1 g) salt,▢ Cinnamon sugar (optional – see notes),NA,NA,NA,NA
BEST Eggless Gingersnaps Cookies (Thick & Chewy),Oriana Romero,5,5,American,Dessert,Cookies,15 minutes,12 minutes,NA,27 minutes,16 cookies,6,"Preheat the oven to 350° F (180° C). Line two large baking sheets with parchment paper or silicone baking mats. Set aside.
Whisk the flour, baking soda, cinnamon, ginger, cloves, nutmeg, and salt together in a medium mixing bowl until well combined. Set aside.
Beat the butter and brown sugar together with an electric mixer on high speed until creamy, about 3 minutes. Add the molasses and beat until combined. Then, add milk and vanilla extract and beat until combined for about 1 minute.
Reduce the mixer’s speed to low, add the dry ingredient, scrape down the sides and bottom of the bowl as needed, and continue beating until well combined. 
Roll cookie dough, 1 1/2 tablespoon (50 g) each, into balls. Roll each in raw sugar or granulated sugar, and arrange 3 inches apart on the baking sheets.
Bake for 11-12 minutes or until the edges are set and the tops are cracking. When ready, take the cookies out of the oven. If they look a bit puffy, gently tap the pan on the counter to help deflate them a little—this will create those beautiful cracks you see in the pictures! Allow cookies to cool on the baking sheet for 5 minutes, and then transfer them to a wire rack to cool completely.",13,▢ 2 1/4 cups (315 g) all-purpose flour,▢ 1 teaspoon (6 g) baking soda,▢ 1 1/4 teaspoons ground cinnamon,▢ 2 teaspoons ground ginger,▢ 1/4 teaspoon ground cloves,▢ 1/4 teaspoon nutmeg,▢ 1/2 teaspoon salt,"▢ 3/4 cup (174 g) unsalted butter, softened",▢ 3/4 cup (150 g) packed brown sugar,▢ 1/4 cup (60 ml) dark molasses,▢ 3 tablespoons (45 ml) milk,Mommy's Home Cooking,https://mommyshomecooking.com/best-eggless-gingersnaps-cookies-thick-chewy/,▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1/4 cup (50 g) raw or granulated sugar for rolling,NA,NA,NA,NA,NA
Eggless Easy Cranberry White Chocolate Bars,Oriana Romero,NA,NA,American,Dessert,Brownies & Bars,15 minutes,30 minutes,NA,45 minutes,24 bars,10,"Preheat the oven to 350° F (180° C). Line the bottom and sides of a 9×13-inch (24-x-35-cm) baking pan with parchment paper, leaving enough overhang on all sides of the baking pan to allow for easy removal at the end. Set aside.
In a medium bowl, stir together the flour, cornstarch, baking soda and salt. Set aside.
Add granulated sugar and brown sugar to a large bowl. Add orange zest and massage the zest into the sugar with your fingers until it is very fragrant. Whisk in melted butter until smooth. Add evaporated milk and vanilla; mix to incorporate.
Use a rubber spatula to fold the dry ingredients into the wet ingredients until no streaks of flour remain. Fold in the dried cranberries and white chocolate,
Spread the dough in an even layer at the bottom of the prepared pan.
Bake for 25 – 30 minutes, or until a toothpick inserted in the center comes out with just a few moist crumbs attached. It’s super important NOT TO OVER-BAKE these bars. The bars may appear very soft, but they will set up as they cool.
Transfer the pan to a wire rack and cool completely, about 4 hours, before cutting. Lift the bars out of the pan using the overhang paper on the sides.
Once the bars have cooled completely, make the frosting.
Add cream cheese to the bowl of a stand mixer fitted with the paddle attachment and cream at medium speed for 2 to 3 minutes or until fluffy. Add powdered sugar, vanilla and orange zest; beat until smooth, about 1 to 2 minutes more.
Spread the frosting in an even layer over the cooled bars. Add chopped cranberries and more orange zest, if desired. Set in the fridge to cool for about 1 hour, then cut into 24 even triangles and serve.Tip: To get the triangle-shaped bars, cut the bars into 3 sections lengthwise. Then, cut each of the 3 sections into squares and cut each square in half diagonally.",16,▢ 1 ¾ cup (250 g) all-purpose flour,▢ 1 tablespoon (10 g) cornstarch,▢ ½ teaspoon (3 g) baking soda,▢ 1 teaspoon (4 g) salt,▢ 1/2 cup (100 g) granulated sugar,▢ 1/2 cup (100 g) brown sugar,▢ 1 tablespoon orange zest,"▢ 1 cup (230 g) unsalted butter, melted",▢ 1/3 cup + 1 tablespoon (100 g) evaporated milk (see notes),▢ 2 teaspoons (10 g) pure vanilla extract,▢ 1 cup (200 g) white chocolate,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-easy-cranberry-white-chocolate-bars/,▢ 1 cup (150 g) dried cranberries plus more for decorating,▢ 8 oz (226 g) cream cheese room temperature,▢ 2 1/2 cups (300 g) powdered sugar,▢ 1 teaspoon vanilla extract,▢ 1/4 teaspoon orange zest,NA,NA
Eggless Maple Brown Sugar Cookies,Oriana Romero,5,2,American,Dessert,All Recipes,10 minutes,13 minutes,NA,23 minutes,18 cookies,7,"Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Combine flour, baking soda, and salt in a bowl. Set aside.
Beat butter and brown sugar in a large mixer bowl over medium speed until smooth and creamy, about 5 minutes. Scrape down the sides and bottom of the bowl as needed. Add cream cheese, maple syrup, vanilla, and bakery emulsion; mix until incorporated.
Reduce speed to low and gradually beat in flour mixture until combined. Add the pecans, then beat on low speed until combined. The dough will be slightly soft.
Use a small cookie scoop (1 1/2 tablespoons) to measure out the cookie dough. Roll each portion into a smooth ball and evenly place the cookie balls about 3 inches apart on your prepared cookie sheet.
Bake for 12 – 13 minutes or until the edges appear set and lightly browned but soft in the middle. When ready, take the cookies out of the oven. If they look a bit puffy, gently tap the pan on the counter to help deflate them a little—this will create those beautiful cracks you see in the pictures! Let the cookies cool on the baking sheets for about 5 minutes, then transfer them to a wire rack to cool completely.
Place the butter and maple syrup in a microwave-safe bowl. Microwave for 45 – 60 seconds until the butter is melted. Once the butter has melted, remove it from the microwave and whisk in the sifted confectioners’ sugar and salt; mix until smooth. Taste. Drizzle over cooled cookies. The icing will set after about 1 hour.",14,▢ 2 1/3 cups (327 g) all-purpose flour,▢ 1 teaspoon (6 g) baking soda,▢ 1 teaspoon (1 g) salt,"▢ 1/2 cup (115 g) unsalted butter, slightly softened",▢ 1 cup (200 g) packed dark brown sugar,▢ 3 tablespoons (42 g) cream cheese,▢ 1/3 cup (80 ml) pure maple syrup,▢ 1 teaspoon pure vanilla extract,▢ 1 teaspoon maple bakery emulsion (optional),▢ 1 cup (130 g) chopped pecans,▢ 2 tablespoons (28 g) unsalted butter,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-maple-brown-sugar-cookies/,▢ 1/3 cup (80 ml) pure maple syrup,▢ 1 cup (120 g) sifted confectioners’ sugar,▢ ¼ teaspoon salt,NA,NA,NA,NA
Eggless Iced Gingerbread Oatmeal Cookies,Oriana Romero,5,1,American,Dessert,Cookies,15 minutes,12 minutes,NA,27 minutes,12 cookies,8,"Preheat the oven to 350º F (180º C). Line baking sheets with parchment paper or silicone baking mats and set aside.
Combine flour, rolled oats, spices, baking powder, baking soda, and salt in a bowl. Set aside.
In a large bowl, using a hand mixer or a stand mixer fitted with a paddle attachment, beat the butter at medium-high speed until smooth, for about 1 minute. Add the brown sugar and granulated sugar and beat at medium to high speed until creamed, about 2-3 minutes. Scrape down the sides and bottom of the bowl as needed. Add milk, cream cheese, and molasses; mix until incorporated. 
Reduce speed to low and gradually beat in flour mixture until combined.
Use a cookie scoop (1.5 to 2 tablespoons) to measure out the oatmeal cookie dough. Divide the dough balls in half, then rejoin the two halves with the jagged edge facing up. This technique gives your cookies a classic textured look. Place the cookie balls evenly spaced, about 2 inches apart, on your prepared cookie sheet.
Bake for 10-12 minutes, until barely golden brown around the edges but still soft in the middle. When you remove the cookies from the oven, they will still look doughy, which is okay; they will continue to set as they cool. Cool on baking sheets for 5 minutes; remove to wire racks to cool completely.
Combine confectioners’ sugar, vanilla extract, and 2 tablespoons of milk in a medium bowl. Use a fork to whisk until combined. It will be tricky to fully combine it at first because there isn’t enough liquid. Keep whisking until you have a very, very thick icing.
Dip the tops of the cooled cookies into the icing, wiggle the cookies a little in the glaze so that the glaze gets in between the cracks, or lightly drizzle icing on top. The icing will set after a few hours so that you can stack, transport, and/or gift the cookies.",15,▢ 2 cups (280 g) all-purpose flour,▢ 1 3/4 cups (150 g) old-fashioned whole-rolled oats,▢ 3 ½ teaspoons gingerbread spice mix (see notes for substitute),▢ 1 teaspoon (4 g) baking powder,▢ 1 teaspoon (6 g) baking soda,▢ 1/2 teaspoon (2 g) salt,"▢ 3/4 cup (172 g) unsalted butter, softened",▢ 3/4 cup (150 g) packed brown sugar,▢ 1/4 cup (50 g) granulated sugar,▢ 1 tablespoon (15 ml) milk,▢ 2 tablespoons (30 g) full-fat cream cheese,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-iced-gingerbread-oatmeal-cookies/,▢ 1/4 cup (80 g) molasses,▢ 1 1/2 cups (180 g) sifted confectioners’ sugar,▢ 1/4 teaspoon pure vanilla extract,▢ 2 tablespoon milk,NA,NA,NA
Eggless White Chip Chocolate Cookies,Oriana Romero,5,13,American,Dessert,Cookies,15 minutes,10 minutes,chilling time 1 hour hr,25 minutes,22 – 24 cookies,8,"Combine flour, cocoa powder, baking powder, baking soda, and salt in a bowl. Set aside.
Beat butter, granulated sugar, and brown sugar in a large mixer bowl over medium speed until smooth and creamy, for about 3 -4 minutes. Scrape down the sides and bottom of the bowl as needed. Add milk and vanilla; mix until incorporated.
Reduce speed to low and gradually beat in flour mixture until combined. Stir in white chocolate; mix until evenly distributed. 
Use a small cookie scoop (1.5 to 2 tablespoons) to measure out the cookie dough. Roll each portion into a smooth ball and place it on a cookie sheet or large plate. Refrigerate for at least 1 hour up to 2 days. NOTE: I prefer to chill the dough overnight. The colder the dough, the thicker the cookies.
Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Place the cooled cookies balls evenly spaced, about 2 inches apart, on your prepared cookie sheet. Optional: If desired, you can add a few more chocolate chips on top of each dough ball.
Bake for 10-12 minutes or until the edges appear set but soft in the middle. When you remove the cookies from the oven, they will still look doughy, which is okay. They will continue to set as they cool.
Cool on baking sheets for 5 minutes; remove to wire racks to cool completely.",11,▢ 1 ¼ cup (175 g) all-purpose flour,▢ 1/3 cup (42 g) natural unsweetened cocoa powder,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) baking soda,▢ 1/2 teaspoon (2 g) salt,▢ ½ cup (115 g) unsalted butter,▢ ½ cup (100 g) granulated sugar,▢ ½ cup (100 g) brown sugar,▢ 3 tablespoons (45 ml) milk (I used whole milk),▢ 1 teaspoon ( 5 ml) pure vanilla extract,▢ ¾ cup (150 g) white chocolate chips or chunks (plus a few more for optional topping),Mommy's Home Cooking,https://mommyshomecooking.com/eggless-white-chip-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Oatmeal Raisin Cookies,Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,12 minutes,NA,22 minutes,10 cookies,8,"Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Place the raisins in a bowl and cover them with warm water. Let them soak for 10 – 15 minutes. Then blot very well to dry them, making them nice and plump for your cookies. This step is optional but recommended. 
Place the butter in a light-colored skillet. Melt the butter over medium heat, stirring constantly. Once melted, the butter will begin to foam. Keep stirring. After 5–8 minutes, the butter will begin browning—you’ll notice lightly browned specks begin to form at the bottom of the pan, and it will have a nutty aroma. Once browned, immediately remove from heat. Place brown butter in a medium bowl and cool for 5 minutes.Note: This step is optional but recommended. If you dont to brown the butter, just use melted butter. 
Combine flour, oats, baking powder, baking soda, cinnamon and salt in a bowl. Set aside.
Add the cream cheese, sugars, milk, molasses, and vanilla to the bowl with the brown butter; mix well until everything is well combined.
Add dry ingredients and mix until incorporated. Stir in the raisins until evenly distributed.
Use a small cookie scoop (3 tablespoons – approximately 90 g each) to measure the oatmeal cookie dough. You will get 10 cookies. Place cookie balls evenly spaced, about 2 inches apart, on your prepared cookie sheet.
Bake for 10 -12 minutes, until barely golden brown around the edges but still soft in the middle. When you remove the cookies from the oven, they will still look doughy, and that is okay; they will continue to set as they cool. Cool on baking sheets for 2 minutes; remove to wire racks to cool completely.",14,▢ 1 cup (140 g) raisins,▢ ½ cup (115 g) unsalted butter,▢ 1 ½ cups (210 g) all-purpose flour,▢ 1 ½ cups (150 g) old-fashioned rolled oats,▢ 1 teaspoon (4 g) baking powder,▢ 1 teaspoon (6 g) baking soda,▢ 1 1/2 teaspoons ground cinnamon,▢ 1 teaspoon (4 g) salt,▢ 2 tablespoons (30 g) cream cheese,▢ 1/3 cup (67 g) granulated sugar,▢ 2/3 cup (134 g) brown sugar,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-oatmeal-raisin-cookies/,▢ 3 tablespoons (45 ml) milk,▢ 1 tablespoon (15 ml) unsulphured or dark molasses (optional – see notes),▢ 2 teaspoons (10 ml) pure vanilla extract,NA,NA,NA,NA
Eggless Peanut Butter Chocolate Chip Cookies,Oriana Romero,5,4,American,Dessert,Cookies,15 minutes,15 minutes,NA,30 minutes,28 cookies,7,"Preheat oven to 350º F (180º C). Line a large baking sheet with parchment paper or a silicone baking mat.
Combine flour, baking soda, and salt in a bowl. Set aside.
Using an electric hand mixer or a stand mixer over medium speed, beat the cold butter, granulated sugar, and brown sugar for 1 minute to break it down a little. Add peanut butter, cream cheese, and vanilla; then beat on high until combined. Scrape down the sides and bottom of the bowl as needed.
Add dry ingredients and mix until incorporated. With the mixer running on low speed, add the chocolate chips; mix until evenly distributed, about 1 – 2 minutes. The dough will be thick and slightly soft.
Use a cookie scoop (I used a scoop with a 2 tablespoon capacity – 50 g each approx.) to measure the cookie dough. Roll each portion into a smooth ball and place it on a cookie sheet or large plate. At this point, you can bake the cookies immediately or refrigerate them for up to 2 days.
Place the cookie balls evenly spaced, about 2 inches apart, on your prepared cookie sheet. Bake for 12 – 14 minutes, until barely golden brown around the edges but still soft in the middle. When you remove the cookies from the oven, they will still look doughy, and that is okay; they will continue to set as they cool.
Cool on baking sheets for 2 minutes; remove to wire racks to cool completely. While the cookies are still warm, I like to press a few more chocolate chips into the tops—this is only for looks!",10,▢ 2 cups (280 g) all-purpose flour,▢ 1 teaspoon (6 g) baking soda,▢ 1 teaspoon (4 g) salt,"▢ 1 cup (230 g) unsalted butter, slightly cool",▢ 2/3 cup (134 g) granulated sugar,▢ 1 cup (200 g) brown sugar,▢ 1 1/2 cups (260 g) peanut butter,"▢ 3 oz (84 g) full-fat cream cheese, slightly softened",▢ 1 teaspoon (5 ml) pure vanilla extract,▢ 1 1/2 cups (300 g) semi-sweet or dark chocolate chips or chunks,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-peanut-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
