title,author,datelisted,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Halloween Crinkle Cookies,Anjali,"Oct 19, 2021",3.50,2,5 minutes,10 minutes,10 min in the freezer: 10 minutes minutes,Total Time: 25 minutes minutes,Servings: 12 cookies,7,"Whisk Flour, Baking Soda, Baking Powder and Kosher Salt in a medium sized mixing bowl until combined
In another medium sized mixing bowl, add the melted butter, granulated sugar, Vanilla Extract, Red Food Color and Milk. Beat until combined using a stand mixer or hand held mixer.
Combine the wet and dry mixture. Fold using a rubber or wooden spatula just until combined. The cookie dough should be thick and sticky. Wrap the cookie dough with plastic wrap and refrigerate overnight or freeze for 10-15 minutes. Right before using it again, pull it out of the freezer and allow to sit at room temperature for 5-10 minutes. Meanwhile Preheat the oven to 350 F or 180C and line a baking dish with parchment paper or silicone mat.
Scoop about 1 tablespoon of the cookie dough. Roll it into balls. Roll the cookies with confectioners sugar. Place in the baking dish about 3 inches apart.
Bake for 10-11 minutes. If the cookies do not spread even after 9 minutes, get the baking dish out and lightly bang on the counter for 2-3 times or just use a spatula to lightly press the top. This will help initiate the spreading. Bake for 2-3 more minutes.
After the cookies gets cooked, allow them to cool down on the wire rack.
These cookies will stay fresh at room temp. for upto 1 week.",11,1 cup All Purpose Flour 125gm (spooned),1 teaspoon Baking Soda,1 teaspoon Baking powder,⅛ teaspoon Kosher Salt,4 drops Red Gel Food Color or Red Candy Melts (1 cup),1 large Eggs at room temp,1 stick Unsalted Butter melted or softened to room temp.,¼ cup Whole Milk,Recipe Magik,https://www.recipemagik.com/halloween-crinkle-cookies/,1 teaspoon Vanilla Extract,½ cup Granulated Sugar,1 cup Confectioner's Sugar 120gm (for rolling),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Cookies with Cream Cheese Frosting,Anjali,"Aug 30, 2021",NA,NA,5 minutes,11 minutes,25: 25 minutes minutes,Total Time: 41 minutes minutes,Servings: 12 cookies,5,"Preheat the oven to 350F (OR 180C). Line a cookie baking dish with parchment paper. Trim off the tip and stem of the Zucchini. Shred the zucchini using a box grater. Use a kitchen towel and firmly squeese to get rid of all the moisture from the Zucchini. Keep this shredded Zucchini aside in a bowl.
Now, take a mixing bowl. Throw the softened butter, brown sugar, vanilla extract, and shredded Zucchini in it. Use a handheld mixer to beat this until combined through. Beat until the sugar and butter are combined thoroughly.
Add the Rolled Oats, AP Flour, Baking Soda, and Kosher Salt to the wet mixture. Fold until combined. The cookie dough should not be wet. It should be absolutely dry. Freeze the cookie dough for 15 minutes or refrigerate for 1 hour before use.
Now, scoop out one tablespoon size cookie dough and place it on a lined baking dish. Bake these zucchini cookies @ 350F for 11 to 12 minutes. (After the cookies get baked, allow them to stay in the same hot baking dish for 5 more minutes. After that, transfer to a wire rack for even cooling. Cool the cookies down to room temperature.
In a bowl, beat Cream Cheese, Granulated Sugar, and Vanilla Extract. Beat until it gets light, creamy, and fluffy. Spoon this cream cheese frosting over the cooled Zucchini Cookies. Sprinkle some ground cinnamon over the cookies and serve.",13,1½ cup AP Flour,½ teaspoon Baking Powder,1 cup Rolled Oats,1 teaspoon Ground Cinnamon,4 tablespoon Unsalted Butter softened,1½ teaspoon Pure Vanilla Extract,⅛ teaspoon Kosher Salt,1 cup Shredded Zucchini,Recipe Magik,https://www.recipemagik.com/zucchini-cookies-with-cream-cheese-frosting/,2 cups Dark Brown Sugar packed,4 oz Cream Cheese softened,½ cup Granulated Sugar,½ teaspoon Vanilla Extract,½ teaspoon Ground Cinnamon to dust on top,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Chocolate Chip Cookie Dough Bars (Gluten-Free) | (No Condensed Milk),Anjali,"Jun 24, 2021",NA,NA,5 minutes,10 minutes,allow it to freeze: 30 minutes minutes,Total Time: 45 minutes minutes,Servings: 16 bars,6,"Blend ingredients in a food processor until it becomes ""sticky"" and comes together like a ball.
Take the ball out in a medium-sized mixing bowl. Add chocolate chips and stir lightly with a spatula to combine.
Prepare a baking tray with parchment paper. Place the cookie dough into the baking tray. Press it down and freeze until it completely sets.
Melt dark chocolate chunks or chocolate chips with coconut oil in microwave or in a double boiler. It should be silky smooth.
Pour melted chocolate on the cookie dough bars and freeze for another 10-15 minutes.
Cut them into bars and serve.",9,1 cup medjool dates pitted (about 100-150grams),½ cup almond flour,½ cup oatmeal flour,¼ cup tahini,5 tablespoons pure maple syrup,1 tablespoon pure vanilla extract,½ cup dark unsweetened chocolate chips,3 oz dark chocolate bars can replace with 90grams chocolate chips,Recipe Magik,https://www.recipemagik.com/no-bake-chocolate-chip-cookie-dough-bars/,2 tablespoon coconut oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Oatmeal Raisin Cookies (Vegan | GF) (just 4 ingredients)!,Anjali,"Jun 12, 2021",NA,NA,5 minutes,10 minutes,no resting time required: 0 minutes minutes,Total Time: 15 minutes minutes,Servings: 10 cookies,2,"In a mixing bowl, combine all the ingredients to make the cookie dough. If your cookie dough feels too dry add some more Cashew Butter. If its too thin, then add some rolled Oats.
Roll 1 tablespoon size of the cookie dough and flatten it between your palms. Place it in a greased baking dish. Bake @350F or 180C for 10-12 minutes. Allow the cookies to stay in the hot oven for 5 extra minutes before you transfer them to a wire rack to get further cooled. Enjoy!",7,1 cup Oatmeal Flour,3 tablespoon Cashew Butter,1 tablespoon Maple (optional) can skip for keto & paleo version,1 teaspoon Ground Cinnamon optional,¼ cup Almond Milk optional,2 teaspoon Coconut Oil optional,1 cup Raisins soaked,NA,Recipe Magik,https://www.recipemagik.com/vegan-flourless-oatmeal-raisin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies (Simple Ingredients),Anjali,"Mar 6, 2021",5,1,5 minutes,11 minutes,1 hour: 1 hour hour,Total Time: 1 hour hour 16 minutes minutes,Servings: 12 cookies,6,"Make Browned Butter by melting Butter in a pan. As the butter melts, whisk with a balloon whisk. It will start to bubble and after 1 minute it will change color to brown. The moment it gets light brown, take it off the heat and allow it to cool down in a separate bowl.
Meanwhile, whisk the dry ingredients - Flour, Baking Soda, Baking Powder, and salt in a bowl and keep aside.
Now, mix the wet ingredients - milk, browned butter, light brown sugar, granulated sugar, vanilla in a bowl using a wire whisk or a handheld mixer until combined.
Now, simply fold the dry ingredients into the wet sugar and butter mixture. Add the Chocolate Chips and mix everything. Do not overmix. Just mix until combined. Cover with plastic wrap and store in the refrigerator for 1 hour. Meanwhile, preheat the oven to 350F or 180C. Line a cookie baking dish with a silicone mat or parchment paper.
Scoop out 1/4 cup of cookie dough ball and place in a lined baking dish. Bake for 11-12 minutes. After they get baked, allow them to stay in the hot pan for 5 minutes and then transfer to the wire rack for further cooling
Sprinkle some Sea Salt and Serve.",11,1 cup AP Flour,1 teaspoon Baking Soda,1 teaspoon Baking Powder,¼ teaspoon Salt,1 cup Unsweetened Dark Chocolate Chips,1 cup Unsalted Butter,¼ cup Whole Milk can replace with 2% milk or almond milk,1 cup Light Brown Sugar,Recipe Magik,https://www.recipemagik.com/brown-butter-chocolate-chips-cookies/,½ cup Granulated Sugar,1 teaspoon Vanilla,1 teaspoon Sea Salt for garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Sugar Cookies with White Chocolate Hearts,Anjali,"Jan 28, 2021",NA,NA,10 minutes,10 minutes,Allowing the cookie dough to Refrigerate: 30 minutes minutes,Total Time: 50 minutes minutes,Servings: 24 cookies,6,"Add Softened Unsalted Butter Granulated sugar in a large mixing bowl. Use a handheld mixer or stand mixer and whisk at high speed for a minute until the mixture gets light, fluffy and creamy.
Into this add Pure Vanilla Extract and Egg. Whisk on low speed until the egg combines.
Now add Red Gel Food Coloring. You can also use beet powder (if you prefer natural color) and beat until combined. Scrape the sides of the bowl and beat again if required.
In a separate mixing bowl, whisk together, All-Purpose Flour, Baking Soda, Salt, and Cocoa Powder. Whisk until combined.
Add this dry mixture to the wet mixture and fold until combined, using a wooden or silicone spatula. The cookie dough will be soft now. If its too soft, you can add a tablespoon of flour.
Take about 1 Tablespoon of cookie dough and roll into small balls. Arrange these Red Velvet Cookie Dough balls in a greased and lined baking sheet. Refrigerate these cookie dough balls for 1-2 hours or for 2 days.
Next, Preheat the oven to 350°F
Press the cookies and flatten them, using a spatula. Bake them in a preheated oven at 350°F for 10-12 minutes. They will spread in the oven so make sure you keep a gap of at least 1-inch between each cookie.
Once cookies are baked they will be soft and delicate. Don't take them out of the baking tray yet. Let them sit in the hot baking dish, at room temperature for 10-20 minutes.
After 20-minutes, add White chocolate Candy hearts and sort of push it in lightly. Then enjoy!",10,¾ cup Unsalted Butter softened to room temperature,¾ Cup Granulated Sugar,1 Large Egg at room temperature,½ Teaspoon Pure Vanilla Extract,2 Teaspoon Red Gel Food Coloring,2½ Cup All-Purpose Flour,2 Tablespoon Cocoa Powder Unsweetened,½ Teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/red-velvet-sugar-cookie/,⅛ Teaspoon Kosher Salt,24 small White Chocolate Hearts I used Reese's hearts (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine's Day Sugar Cookie Bars with Heart M&Ms,Anjali,"Jan 28, 2021",5,1,5 minutes,30 minutes,1 hour: 1 hour hour,Total Time: 1 hour hour 35 minutes minutes,Servings: 16 Bars,4,"In a large mixing bowl, whisk together, Flour, Baking Powder, and Salt, until combined.
Pour Milk, Melted Unsalted Butter, Granulated Sugar, Brown Sugar, and Vanilla Extract into the bowl and stir until combined.
Pour the sugar cookie batter into the baking dish. Top with Heart-shaped M&Ms. Pop it in the oven and bake for 30 minutes. After it gets baked, allow it to cool down for 1 hour.
Cut it into squares of equal sizes and serve.",9,1 cup All Purpose Flour,½ teaspoon Baking Powder,½ teaspoon Salt,½ cup Milk,½ cup Melted Unsalted Butter,½ teaspoon Pure Vanilla Extract,½ cup Granulated Sugar,½ cup Light Brown Sugar,Recipe Magik,https://www.recipemagik.com/valentines-day-sugar-cookie-bars/,Heart-shaped M&ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Ginger Molasses Cookies,Anjali,"Dec 27, 2020",NA,NA,10 minutes,10 minutes,Allowing the cookies to chill in the freezer: 20 minutes minutes,Total Time: 40 minutes minutes,Servings: 16 Cookies,4,"Preheat the oven to 350F or 180C and Whisk the Flour, Baking Soda, Ground Ginger, All Spice, and Salt in a bowl.
Now, add the Brown Sugar, Dark Molasses, Vanilla Extract, and Whole Milk to the dry ingredients. Stir to combine. The cookie dough should be thick. If it's too liquidy, add some more flour and combine. If it's too dry, add a splash of milk and combine
Roll cookie dough balls and freeze them for 10 minutes before you bake them at 350F or 180C for 15 min.
After the cookies get baked, allow them to cool down in the same pan for 5 minutes, before transferring them to the wire rack.",9,2 cup AP Flour,½ teaspoon Baking Soda,1 teaspoon Ground Ginger,1 teaspoon All Spice,¼ teaspoon Salt,½ cup Dark Brown Sugar,½ cup Dark Molasses,1 teaspoon Pure Vanilla Extract,Recipe Magik,https://www.recipemagik.com/southern-ginger-molasses-cookies/,2 tablespoon Whole Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Crinkle Cookies,Anjali,"Dec 23, 2020",5,2,5 minutes,10 minutes,20 min: 20 minutes minutes,Total Time: 35 minutes minutes,Servings: 18 cookies,5,"Whisk the Flour, Baking Powder, Baking Soda, and Salt in a bowl.
Add the Granulated Sugar, Unsalted butter, Vanilla Extract, Peppermint Oil, Pink Gel Food Color OR Melted Pink Candy Melts, and Egg in a separate bowl.
Fold it to the flour mixture and combine everything using a wooden spoon or spatula.
Roll small cookie dough balls. Roll the cookie dough balls in powdered sugar. Allow them to sit. After 2 minutes, re-roll them in the powdered sugar.
Allow the cookie dough to freeze covered for 5 minutes or refrigerate for 1-2 hours or overnight. Meanwhile, preheat the oven to 350°F or 180°C.
Bake these Candy Cane Crinkle Cookies for 10 minutes. After these are baked, allow them to cool down in the same baking dish for 5 minutes. Serve warm.",11,1½ cups AP Flour use Gluten Free Baking flour for GF Version,¼ teaspoon Baking Soda use Gluten Free Baking Soda for GF Version,¼ teaspoon Baking Powder use Gluten Free Baking Powder for GF Version,¼ teaspoon Salt,1 cup Granulated Sugar 200g,"½ cup Unsalted Butter softened to room temp (1 stick, 115g)",½ teaspoon Pure Vanilla Extract,¼ teaspoon Peppermint oil,Recipe Magik,https://www.recipemagik.com/candy-cane-crinkle-cookies/,1 drop Pink Gel Food Color or Pink Candy Melts (one 12oz pack),1 large egg at room temperature,Powdered sugar to roll the cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Chocolate Cookies,Anjali,"Dec 20, 2020",NA,NA,5 minutes,10 minutes,40 min: 40 minutes minutes,Total Time: 55 minutes minutes,Servings: 12 cookies,3,"To make the hot chocolate cookie dough, take the flour, baking soda, cocoa powder, and cornstarch in a bowl. Mix well. Now, add the softened butter, granulated sugar, vanilla extract, egg, milk, and chocolate chips to the batter and combine using a wooden spoon to make a thick cookie dough. (See the video for a visual)
Cover and freeze the cookie dough for 20 minutes or refrigerate for 1 hour.
Meanwhile, preheat the oven to 350F or 180C
After the cookie dough is chilled, roll the cookie dough balls. Press it slightly to flatten it out. Stuff a chopped marshmallows in the center of the cookie. Stuff more chocolate chips around it. Pop it in the freezer for 20 more minutes and then bake for 10 minutes
After the cookies have been baked, allow them to stay in the same hot baking dish for 5 minutes on the counter, so that they harden a little. Drizzle with some chocolate syrup or melt some dark melting wafers in the oven and drizzle over your baked cookies. Allow the chocolate drizzle to harden for some time and then serve!",13,1 cup AP Flour,¼ cup Dutch Processed Cocoa Powder,½ teaspoon Baking Soda,1 tablespoon Cornstarch,1 large egg,1 pinch Salt,1 stick Softened Unsalted Butter,½ cup Granulated sugar,Recipe Magik,https://www.recipemagik.com/hot-chocolate-cookies/,1 teaspoon Pure Vanilla Extract,2 tablespoon whole milk can replace with 2% milk or Almond Milk,½ cup Unsweetened Chocolate chips more for topping,Marshmallows for topping,Chocolate syrup to decorate (Optional),NA,NA,NA,NA,NA,NA,NA,NA
Eggless-Flourless Chocolate Fudge Cookies,Anjali,"Dec 19, 2020",NA,NA,10 minutes,10 minutes,Allowing the cookies to cool down: 20 minutes minutes,Total Time: 40 minutes minutes,Servings: 8 cookies,3,"In a medium-sized mixing bowl mix granulated sugar, melted butter, cocoa powder, chocolate chips, a pinch of salt, and chocolate syrup using a silicone spatula or a wooden spatula.
Use a spoon to scoop out a portion of cookie dough. Roll it between your palms. Keep it on a greased baking sheet. Keep the cookies in the freezer for about 5-10 minutes.
In the Meantime Preheat your oven to 350F or 180C.
After 10-minutes, take the cookies out of the freezer and allow them to bake for 10-minutes at 350F. Once done, they will look soft and underbaked. They might spread a bit. But, don't worry, let them cool down.
Once they have cooled down completely use an offset spatula and delicately take them out of the baking tray. Enjoy.",6,1 Cup Granulated Sugar,¼ Cup Melted Butter,¼ Cup Unsweetened Cocoa Powder,½ Cup Unsweetened Chocolate Chips (sugar free chocolate chips),⅛ teaspoon Salt,2 tablespoon Chocolate Syrup,NA,NA,Recipe Magik,https://www.recipemagik.com/eggless-flourless-chocolate-fudge-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Dipped Shortbread Christmas Cookies,Anjali,"Dec 17, 2020",NA,NA,10 minutes,12 minutes,15-minutes: 15 minutes minutes,Total Time: 37 minutes minutes,Servings: 20 Cookies,4,"In a large bowl combine flour, sugar, salt, vanilla extract, and cold butter. Cut the butter using a pastry blender. Now, use your hands to combine the butter and flour until it gets coarse and mealy OR just pulse all of these in a food processor for 1-2 pulses or until crumbly.
Add a few teaspoons of ice-cold water to bring it all together and make a soft dough.
If you're making the cookie dough in the food processor, then after pulsing the mixture, get it out in a bowl. Add a tablespoon or two of ice cold water and bring it all together to make a cookie dough. The cookie dough should be come together easily and should be soft to touch.
Cover the cookie dough with plastic wrap and freeze the cookie dough for 10-minutes or Refrigerate for 1 hour. (Ideally it should be refrigerated for 1 hour or overnight, but if you're in a rush, just freeze it and then use it)
After the cookie dough is chilled, roll it on a lightly floured surface to about 1-inch thickness. It will be hard to roll in the beginning, but keep rolling and it will spread gradually and evenly. Use a round shaped cookie cutter to cut out the cookies and gently place them on a greased baking dish or a cookie baking dish lined with Parchment paper or silicone mat.
Freeze the cookies uncovered for 5 more minutes. Meanwhile, Preheat your oven to 350F or 180C.
Bake the cookies for 10-11 minutes. Once they are done, allow them to come down to room temperature on the same baking sheet. After some time, you can transfer it to a wire rack and allow them to cool down completely.
Melt Dark chocolate or dark melting wafers in the oven at 30-second bursts whisking after each burst.
After the cookies have cooled down, dip half of the cookies into the melted chocolate.
Top with Christmas nonpareils sprinkles.
Allow the chocolate to set for 5-minutes at room temperature and then serve.",8,2 Cups All-Purpose Flour 240g,1 Cup Granulated Sugar 200g,2 Sticks Unsalted Cold Butter Cut into small cubes (226g or 1 Cup),¼ Teaspoon Salt,1½ Teaspoon Pure Vanilla Extract,10 Oz Unsweetened Dark Chocolate Baking Bar or Dark Melting Wafers,Ice Cold Water 1 teaspoon at a time,Christmas Nonpareils Sprinkles,Recipe Magik,https://www.recipemagik.com/chocolate-dipped-shortbread-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Bark Shortbread Cookies,Anjali,"Dec 14, 2020",NA,NA,5 minutes,10 minutes,20 min: 20 minutes minutes,Total Time: 35 minutes minutes,Servings: 12 cookies,5,"Make the cocoa cookie dough. For that combine 1 cup of AP Flour with the cocoa powder, 1 tablespoon of cornstarch, and 1 stick of softened butter. Add a pinch of salt, 1/2 cup of granulated sugar, and 1 teaspoon of Vanilla extract. Mix everything to make a dough. If the dough is too dry and not coming together, add a few teaspoon of ice-cold water and combine everything with your hands to make a dough. Cover and freeze the dough for 20 min or refrigerate for 1 hour.
Now it's time to make similar cookie dough but without the cocoa. So for this take 1 cup of flour, 1 tablespoon of cornstarch, a pinch of salt, and 1 stick of softened butter in a separate bowl. Add 1/2 cup of Granulated sugar and 1 teaspoon of Peppermint extract. Make a dough by adding a few teaspoon of ice-cold water. Cover and freeze the dough for 20 min or refrigerate for 1 hour.
Roll both the cookie dough on a lightly floured surface. Do not roll it too thin.
Use a cookie cutter to cut out the cookies and place one on top of the other. The cocoa side should be at the bottom. Place the cookie carefully on to your cookie baking dish. Freeze the cookies for 5-10 more minutes and then pop them in the oven to get baked for 10 minutes.
After the cookies get baked, allow them to stay in the same pan for 5 minutes at room temperature so that they harden a little.
For the glaze combine granulated sugar with vanilla and a splash of milk in a bowl. Once it gets thick, drizzle it lightly over the baked cookies. Top with some broken Peppermint candy canes. Allow the cookies to sit on the counter for 5 minutes so that the glaze hardens and then serve.",12,2 cups AP Flour divided,¼ cup Dark Cocoa Powder,2 Tbsp Cornstarch divided,2 sticks Butter divided,2 pinch Salt divided,1 cup Granulated sugar divided,1 teaspoon Vanilla Extract,1 teaspoon Peppermint Extract,Recipe Magik,https://www.recipemagik.com/peppermint-bark-shortbread-cookies/,1 cup Granulated sugar,3 tablespoon Milk more of required,1 teaspoon Vanilla Extract,Broken Peppermint Candy Canes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint White Chocolate Chip Cookie Cake Recipe from Scratch,Anjali,"Dec 11, 2020",NA,NA,20 minutes,25 minutes,Cooling the Cookie Cake: 15 minutes minutes,Total Time: 1 hour hour,Servings: 1 9-inch cake,6,"Preheat oven to 350F or 180C and grease a 9-inch springform cake pan with non-stick cooking spray or brush with vegetable oil. Set Aside.
Using a handheld mixer or stand mixer with a paddle attachment whisk butter for 2-minutes until light and fluffy.
Add granulated sugar and whisk well on medium speed for 1-minute. Add one egg and one egg yolk and mix it in.
Scrape down the sides and bottom of the pan as per your needs.
Finally, add Peppermint extract and pure vanilla extract and mix well at medium-high speed.
Gradually add flour in parts followed by baking soda. Whisk on a very low speed until combined. The cookie dough should be quite thick. See the image for a better visual.
Finally, add White Chocolate Chips and mix well using a rubber spatula or a wooden spatula until evenly combined.
Press the cookie dough on the bottom of a greased baking pan. Bake for 25-30 minutes or until the cake top is slightly brown. It could also take up to 30-minutes. All ovens work differently. Test with a toothpick. If it comes out with a few moist (not wet) crumbs then it's done. To prevent over-browning on the edges you can cover the cookie cake with an aluminium foil at 15-minute mark.
Once the cake is baked, remove from oven and keep it on a wire rack. Once the cake has cooled down to room temperature, use a sharp knife and loosen it from the sides. Serve directly from the pan or do the frosting.
The Peppermint Buttercream frosting is optional. You can also decorate with whipped cream frosting.
Whisk butter at high speed for 2-minutes until light and fluffy. Add icing sugar (1/2 cup) at a time and whisk well. If it's too thick you can use 1-2 teaspoons of milk. Add Vanilla extract and Peppermint extract and mix well. Transfer it to a piping bag with a nozzle of your choice. Snip the edge of the piping bag and do a beautiful frosting on the cookie cake. Decorate the cake with white chocolate chips and crushed peppermint candy canes.",12,1 Cup Salted Melted Butter 226.8g,1 Cup Granulated Sugar 200g,1 Large Egg + 1 Egg Yolk,1 Teaspoon Pure Peppermint Extract do not substitute with Spearmint extract or Mint extract,1 Teaspoon Pure Vanilla Extract,2 Cups All-Purpose Flour spooned and leveled (240g),1 Teaspoon Baking Soda,1½ Cup White Chocolate Chips 225g,Recipe Magik,https://www.recipemagik.com/peppermint-white-chocolate-chip-cookie-cake/,1 Cup Softened Salted Butter,1½ Cup Icing Sugar,1 Teaspoon Peppermint Extract,½ Teaspoon Pure Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Shortbread Bell Cookies | Easy Christmas Ornaments Cookies,Anjali,"Dec 10, 2020",NA,NA,5 minutes,10 minutes,5 min: 5 minutes minutes,Total Time: 20 minutes minutes,Servings: 1 dozen,3,"In a bowl combine butter and sugar along with peppermint extract. Once it gets creamy, add the Flour and Baking Soda. Combine everything to make the cookie dough. Divide the dough into two parts. In one part, add few drops of Red Food Color and leave the other one white. The dough will be crumbly, but when you bring it together it will form a dough. Cover and freeze the cookie dough for 15 minutes or refrigerate for 30 minutes. Preheat the oven to 350F or 180C
Bring both red and white cookie dough together and roll the dough. It should have a white and red marbled effect to it. Use a Bell-shaped cookie cutter to cut out the cookies. Take them out in a cookie baking dish and bake for 10 minutes.
After the cookies have baked, cool them down completely. Melt white melting wafers in the oven and take them up in a zip-lock bag or piping bag. Snip the edge and drizzle over the cooled cookies. Decorate with Red and Green Christmas Sprinkles. Serve.",8,1 cup AP Flour,½ teaspoon Baking Soda,1 stick Unsalted Butter,½ cup Granulated Sugar,½ teaspoon Peppermint Extract,2 drops Red Gel Food Color,10 Oz White Melting Wafers,Christmas sprinkles,Recipe Magik,https://www.recipemagik.com/christmas-shortbread-bell-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Peppermint Shortbread Cookies,Anjali,"Dec 10, 2020",NA,NA,5 minutes,10 minutes,3 min: 3 minutes minutes,Total Time: 18 minutes minutes,Servings: 10 cookies,3,"In a large mixing bowl, combine the melted butter, sugar, and peppermint extract until it gets creamy. Add the flour, baking soda, and Red Food Color to the dough and combine everything to make a cookie dough.
Your cookie dough will be dry, but when you bring it together it will clump together. If it's not coming together, you can add just a tablespoon of ice-cold water and bring it together to make the dough.
Cover and freeze the dough for 10-15 minutes or refrigerate for 30 minutes. Preheat the oven to 350F OR 180C.
Roll small cookie dough balls, flatten them out with your palm, and top them with white chocolate chips and crushed Peppermint Candy canes.
You can use a zip lock bag, throw in all the Peppermint candies in it. Seal the top and crush the Peppermint candies using a rolling pin.
Bake the Cookies for 10-15 minutes.
After the cookies get done, allow them to cool down to room temperature in the same pan in which they got baked. Then serve these cookies.
If you want, you can stuff in more white chocolate chips and crushed Peppermint Candy Canes on the top and then serve!",8,1 stick Melted Unsalted Butter 1/2 cup,½ cup Granulated Sugar,½ teaspoon Peppermint Extract,1 cup AP Flour,½ teaspoon Baking Soda,¼ teaspoon Salt,White Chocolate Chips,Crushed Peppermint Candy Canes,Recipe Magik,https://www.recipemagik.com/white-chocolate-peppermint-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savory Cheddar Rosemary Christmas Shortbread Cookies,Anjali,"Dec 8, 2020",NA,NA,5 minutes,10 minutes,Allowing the pie dough to chill: 30 minutes minutes,Total Time: 45 minutes minutes,Servings: 24 servings,3,"In a medium-sized mixing bowl combine flour, butter, and ice-cold water using a pastry blender or pulse in a food processor. You can also use a stand mixer fitted with a paddle attachment for this step as well. Make sure to not overwork on the dough. Cover the dough with a plastic wrap and place it in the refrigerator for 30-minutes.
Take the dough out. Remove the plastic wrap and place it on a floured surface. Add shredded cheddar cheese, dried rosemary, dried red pepper flakes, salt, and freshly cracked black pepper.
Bring it all together to make a soft dough.
Meanwhile preheat your oven to 350F or 180C. Grease a 9x13"" inch cookie sheet with nonstick cooking spray and line with parchment paper.
Roll the dough using a floured rolling pin. Roll it to about 1-inch thickness. Use a star-shaped cookie cutter to cut out the cookies. Poke holes onto the cookies so that they do not puff up and rise. Place them on a greased baking tray.
Bake the cookies in a preheated oven at 350°F for 10-15 minutes or until they get slightly golden brown at the bottom.
Cool them down in the same dish for 10-minutes and then serve.",9,1 Cup All-Purpose Flour more for dusting on the surface,3 Sticks Cold Unsalted Butter cut into small cubes,Ice Coldwater 1/4 cups or As per requirement,¼ Cup Sharp Cheddar Cheese Shredded,½ Teaspoon Dried Rosemary,1 Teaspoon Dried Red Pepper Flakes,⅛ Teaspoon Kosher Salt,¼ Teaspoon Freshly Cracked Black Pepper,Recipe Magik,https://www.recipemagik.com/savory-cheddar-rosemary-christmas-shortbread-cookies/,Cooking Spray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
