title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49,ingredient50,ingredient51,ingredient52,ingredient53,ingredient54,ingredient55,ingredient56,ingredient57,ingredient58
Strawberry Cookies Recipe,Becky Hardin,Desserts,4.5,595,10 minutes,20 minutes,30 minutes,24 cookies,6," 15.25 oz. strawberry cake mix 432 grams (1 box), such as Betty Crocker", 1 tsp baking powder 4 grams, 2 large eggs 100 grams, ⅓ cup vegetable oil 67 grams, ½ tsp pure vanilla extract 2 grams, 1 cup white chocolate chips 170 grams,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/white-chocolate-chip-strawberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Becky Hardin,Desserts,5,17,5 minutes,15 minutes,20 minutes,12 cookies,4, 16 ounces ready-to-bake large chocolate chip cookies 453 grams (1 package), 10 ounces miniature marshmallows 287 grams (1 package), 10 ounces milk chocolate melting wafers* 284 grams (see note), 1 cup crushed graham crackers 142 grams (about 9 cracker sheets),NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/easy-smore-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Snickerdoodles,Becky Hardin,Desserts,4.82,16,20 minutes,12 minutes,32 minutes,24 cookies,10, 2¾ cups Bob's Red Mill Organic All-Purpose Flour 374 grams, 2 teaspoons cream of tartar 7 grams, 1 teaspoon Baking Soda 6 grams, ½ teaspoon kosher salt, ½ cup vegetable shortening 92 grams (½ stick)," ½ cup unsalted butter 113 grams, room temperature (1 stick)"," 2½ cups granulated sugar 500 grams, divided", 2 large eggs 100 grams, ¼ cup ground cinnamon 36 grams, 2 cups iced water 454 grams,The Cookie Rookie,https://www.thecookierookie.com/best-snickerdoodle-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Gooey Butter Cake Cookies,Becky Hardin,Desserts,4.68,61,10 minutes,12 minutes,1 hour,24 cookies,14," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 8 tablespoons unsalted butter 113 grams, room temperature (1 stick)"," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon kosher salt, 15.25 ounces Dark Chocolate Fudge Moist Chocolate Cake Mix 432 grams (1 box), 1 cup powdered sugar 113 grams (SEE NOTE),NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-gooey-butter-cake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Gooey Butter Cake Cookies,Becky Hardin,Desserts,4.68,61,10 minutes,12 minutes,22 minutes,24 cookies,14,NA,NA,NA,NA,NA,NA,NA," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 8 tablespoons unsalted butter 113 grams, room temperature (1 stick)"," 1 large egg 50 grams, room temperature",The Cookie Rookie,https://www.thecookierookie.com/chocolate-gooey-butter-cake-cookies/, 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon kosher salt, 15.25 ounces Dark Chocolate Fudge Moist Chocolate Cake Mix 432 grams (1 box), 1 cup powdered sugar 113 grams (SEE NOTE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loaded Salted Caramel Soft Batch Cookies,Becky Hardin,Desserts,4.67,9,15 minutes,11 minutes,26 minutes,12 cookies,11," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup granulated sugar 200 grams, ½ cup dark brown sugar 107 grams, 2 teaspoons pure vanilla extract 8 grams," 2 large eggs 100 grams, room temperature", 3 cups all-purpose flour 360 grams, 1 teaspoon baking soda 4 grams, ¾ teaspoon kosher salt, 1 cup milk chocolate chips 170 grams," 1 cup Rolo candy 280 grams, roughly chopped",The Cookie Rookie,https://www.thecookierookie.com/salted-caramel-soft-batch-cookies/, 1 tablespoon sea salt flakes 8 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Brownie Mix Cookies Recipe,Becky Hardin,Desserts,4.53,53,10 minutes,12 minutes,52 minutes,24 cookies,5," 18 ounces brownie mix 510 grams, dry mix only (1 standard box), Ghirardelli recommended", 2 large eggs 100 grams," ¼ cup unsalted butter 57 grams, melted (½ stick)", 12 soft caramel squares 122 grams," Coarse sea salt for topping, to taste",NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/salted-caramel-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Sugar Cookies Recipe,Becky Hardin,Desserts,4.59,17,15 minutes,10 minutes,25 minutes,26 cookies,11, 2¼ cups all-purpose flour 270 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon baking powder 2 grams," ¾ cup salted butter 170 grams, room temperature (1½ sticks)"," ¾ cup granulated sugar 150 grams, divided", ½ cup brown sugar 107 grams," 1 large egg 50 grams, room temperature", ¼ teaspoon lemon zest, 1 teaspoon pure vanilla extract 4 grams, Pre-prepared frosting optional,The Cookie Rookie,https://www.thecookierookie.com/soft-sugar-cookies-recipe/, Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Cake Recipe,Krista Teigen,Desserts,NA,NA,30 minutes,20 minutes,50 minutes,10,16,Ingredients 1x2x3xCookie Cake:, ¾ cup butter softened, ½ cup granulated sugar, ½ cup brown sugar, 2 eggs, 1½ teaspoons pure vanilla extract, 2½ cups all-purpose flour, 1 teaspoon baking soda, ½ teaspoon salt, 1¼ cups chocolate chipsChocolate Buttercream Frosting:,The Cookie Rookie,https://www.thecookierookie.com/cookie-cake/, ¼ cup butter softened, 2 cups powdered sugar divided, ⅓ cup unsweetened cocoa powder, 1 teaspoon pure vanilla extract, 2 tablespoons milk, colored sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Cutout Cookies Recipe,Krista Teigen,Desserts,5,NA,45 minutes,10 minutes,2 hours,42 cookies,30," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup granulated sugar  200 grams," 2 large eggs 100 grams, room temperature", 1½ teaspoons pure vanilla extract 6 grams," ¼ teaspoon almond extract 1 gram, optional", 3¼ cups all-purpose flour 390 grams, 1 teaspoon baking powder 4 grams, 1 teaspoon kosher salt 3 grams, , 3 cups powdered sugar 339 grams,The Cookie Rookie,https://www.thecookierookie.com/christmas-cutout-cookies/, 2 tablespoons milk 28 grams, 2 tablespoons light corn syrup 39 grams, ½ teaspoon pure vanilla extract 2 grams, Gel food coloring optional, Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Cutout Cookies Recipe,Krista Teigen,Desserts,5,NA,45 minutes,10 minutes,55 minutes,42 cookies,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/christmas-cutout-cookies/,NA,NA,NA,NA,NA," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup granulated sugar  200 grams," 2 large eggs 100 grams, room temperature", 1½ teaspoons pure vanilla extract 6 grams," ¼ teaspoon almond extract 1 gram, optional", 3¼ cups all-purpose flour 390 grams, 1 teaspoon baking powder 4 grams, 1 teaspoon kosher salt 3 grams, , 3 cups powdered sugar 339 grams, 2 tablespoons milk 28 grams, 2 tablespoons light corn syrup 39 grams, ½ teaspoon pure vanilla extract 2 grams, Gel food coloring optional, Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Pie Cookies Recipe,Krista Teigen,Desserts,5,NA,20 minutes,10 minutes,30 minutes,20 cookies,17," ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)", ½ cup brown sugar 107 grams, ¼ cup granulated sugar 50 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 2 cups all-purpose flour 240 grams, 1 teaspoon baking powder 4 grams, ½ teaspoon kosher salt, , 6 tablespoons unsalted butter 85 grams (¾ stick),The Cookie Rookie,https://www.thecookierookie.com/pecan-pie-cookies/, ¾ cup brown sugar 160 grams, 1½ cups chopped pecans 171 grams, ⅓ cup heavy cream 76 grams, ½ teaspoon pure vanilla extract 2 grams, ½ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, ⅛ teaspoon kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookie Bars Recipe,Krista Teigen,Desserts,NA,NA,15 minutes,30 minutes,45 minutes,16 bars,11," 1 cup unsalted butter 226 grams, melted (2 sticks)", 1 cup brown sugar 213 grams, ¾ cup granulated sugar 150 grams, 1¼ cups pumpkin puree 284 grams — NOT pumpkin pie filling!, 1 large egg 50 grams, 2 teaspoons pure vanilla extract 8 grams, 2½ cups all-purpose flour 300 grams, 1 tablespoon pumpkin pie spice 9 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/pumpkin-cookie-bars/, 1 cup semisweet chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies Recipe,Laurel Perry,Desserts,5,2,15 minutes,30 minutes,1 hour,20 cookies,38, 2 cups apple cider 454 grams, 1 cinnamon stick optional, 1 whole clove optional, 1 (1-inch) strip orange peel optional, 2 cups all-purpose flour 240 grams, 1 teaspoon ground cinnamon 3 grams, ¼ teaspoon ground allspice, ¼ teaspoon ground nutmeg, ½ teaspoon baking soda 3 grams, ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/apple-cider-cookies/," ½ cup unsalted butter 113 grams, room temperature (1 stick)", ½ cup light brown sugar 100 grams, ¼ cup granulated sugar 50 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, , ½ cup powdered sugar 57 grams," 1 tablespoon apple cider 14 grams, more as needed", Pinch ground cinnamon optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies Recipe,Laurel Perry,Desserts,5,2,15 minutes,30 minutes,45 minutes,20 cookies,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/apple-cider-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2 cups apple cider 454 grams, 1 cinnamon stick optional, 1 whole clove optional, 1 (1-inch) strip orange peel optional, 2 cups all-purpose flour 240 grams, 1 teaspoon ground cinnamon 3 grams, ¼ teaspoon ground allspice, ¼ teaspoon ground nutmeg, ½ teaspoon baking soda 3 grams, ½ teaspoon kosher salt," ½ cup unsalted butter 113 grams, room temperature (1 stick)", ½ cup light brown sugar 100 grams, ¼ cup granulated sugar 50 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, , ½ cup powdered sugar 57 grams," 1 tablespoon apple cider 14 grams, more as needed", Pinch ground cinnamon optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swig Sugar Cookies Recipe,Laurel Perry,Desserts,5,2,1 hour,10 minutes,1 hour,24 cookies,36, 5½ cups all-purpose flour 660 grams, ½ teaspoon baking soda 3 grams, ½ teaspoon cream of tartar 2 grams, 1 teaspoon kosher salt 3 grams," 1 cup unsalted butter 226 grams, softened (2 sticks)", ¾ cup vegetable oil 150 grams," 1¾ cups granulated sugar 350 grams, divided", ¾ cup powdered sugar 85 grams, 2 tablespoons milk 28 grams, 2 large eggs 100 grams,The Cookie Rookie,https://www.thecookierookie.com/swig-sugar-cookies/, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)"," 2 tablespoons sour cream 28 grams, room temperature", 4 cups powdered sugar 452 grams, 1 teaspoon kosher salt 3 grams, 1 teaspoon pure vanilla extract 4 grams, 3-4 tablespoons milk 43-57 grams (as needed), Pink food coloring (red also works),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swig Sugar Cookies Recipe,Laurel Perry,Desserts,5,2,1 hour,10 minutes,10 minutes,24 cookies,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/swig-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA, 5½ cups all-purpose flour 660 grams, ½ teaspoon baking soda 3 grams, ½ teaspoon cream of tartar 2 grams, 1 teaspoon kosher salt 3 grams," 1 cup unsalted butter 226 grams, softened (2 sticks)", ¾ cup vegetable oil 150 grams," 1¾ cups granulated sugar 350 grams, divided", ¾ cup powdered sugar 85 grams, 2 tablespoons milk 28 grams, 2 large eggs 100 grams, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)"," 2 tablespoons sour cream 28 grams, room temperature", 4 cups powdered sugar 452 grams, 1 teaspoon kosher salt 3 grams, 1 teaspoon pure vanilla extract 4 grams, 3-4 tablespoons milk 43-57 grams (as needed), Pink food coloring (red also works),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermit Cookies Recipe,Krista Teigen,Desserts,5,2,15 minutes,20 minutes,35 minutes,24 cookies,13," ½ cup unsalted butter 113g, room temperature (1 stick)", 1 cup granulated sugar 200g, ⅓ cup unsulphured molasses 113g," 2 large eggs 100g, room temperature", 1 tsp pure vanilla extract 4g, 2½ cups all-purpose flour 300g, 1 tsp baking powder 4g, ½ tsp kosher salt, ½ tsp ground cinnamon, ¼ tsp ground nutmeg,The Cookie Rookie,https://www.thecookierookie.com/hermit-cookies/, ⅛ tsp ground cloves, 1 cup raisins 150g, 1 cup powdered sugar for glaze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cranberry Cookie Recipe,Krista Teigen,Desserts,5,4,20 minutes,10 minutes,30 minutes,24 cookies,12, ¾ cup unsalted butter room temperature (1½ sticks), ¾ cup brown sugar 160 grams," 1 large egg 50 grams, room temperature ", 1 teaspoon pure vanilla extract 4 grams, 1½ cups all-purpose flour 180 grams, ½ teaspoon baking soda 3 grams, ½ teaspoon kosher salt, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, 1½ cups rolled oats 150 grams,The Cookie Rookie,https://www.thecookierookie.com/oatmeal-cranberry-cookies/, 1 cup dried cranberries 114 grams," ⅔ cup white chocolate chips 113 grams, optional (can sub semisweet chips)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
