title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,totaltime2itsaproblemifthisisdifferentfromtotaltime1otherwiseignore,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
S’mores Brownies,Amanda Davis,5, 4 ,American,Desserts,"Cookies, Brownies, & Bars",NA,25 minutes,NA,50 minutes,50 minutes,16 servings,12,"Preheat the oven to 350° F. Line a 9×9-inch baking pan with parchment paper, large enough that it extends over the sides of the pan.
Add graham cracker sheets to a food processor and pulse them until they are like the texture of sand. Slowly pour in ½ cup of melted butter and continue to pulse until well incorporated. This should yield about 2 cups.
Transfer the graham cracker mixture to the prepared baking pan, flattening it down to create an even base. Bake for 10 minutes until the crust is golden. Let the crust cool on a wire rack while you prepare the brownie layer.
In a medium-sized bowl, sift together the flour, cocoa powder, and salt.
In a large mixing bowl add the melted butter (if the butter is no longer hot, microwave it for 10-15 seconds). Add the chocolate chips and let the mixture sit for 3-5 minutes until the chocolate has softened. Stir the chocolate until smooth.
Whisk in the eggs, sugar, and vanilla extract.
Add the flour mixture to the egg mixture and stir with a soft silicone spatula until smooth.
Gently pour the batter over the graham cracker base and bake for 25 minutes. Check for doneness by inserting a toothpick into the center. It is finished baking if there are a few moist crumbs attached.
Remove the brownies from the oven and sprinkle with mini marshmallows and broken Hershey’s chocolate pieces.
Position the oven rack in the upper third of the oven and set the dial to broil. Return the baking pan to the oven and broil the tops of the marshmallows until they are golden brown and the chocolate has melted, (about 3-5 minutes).
Allow the brownies to cool for 45 minutes on a wire rack before lifting them out of the pan, (use the parchment sling overhanging the sides of the pan to pull the brownies out).
Let the brownies cool for an additional 15 minutes before cutting them.",11,▢ 16 graham cracker sheets,▢ 1 cup unsalted butter divided,▢ ¾ cup all purpose flour,▢ ¾ cup unsweetened cocoa powder,▢ ½ teaspoon salt,▢ ⅓ cup semi-sweet chocolate chips,▢ 3 large eggs,▢ 1 ¾ cup granulated sugar,▢ 2 teaspoons vanilla extract,▢ 1 ¼ cup mini marshmallows,▢ 7.56 ounce Hershey's chocolate bar broken into pieces,Amanda's Cookin,https://amandascookin.com/smores-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Patrick’s Day Cookies,Amanda Davis,NA,NA,American,Desserts,"Cookies, Brownies, & Bars",NA,8 minutes,NA,38 minutes,38 minutes,26 cookies,16,"In a bowl cream butter, cream cheese and sugar until fluffy. Add egg and vanilla; beat until smooth.
In a medium bowl combine flour, baking powder and salt. Add dry ingredients to the creamed mixture. Stir until a soft dough forms.
Separate the dough into two batches. One batch I separated into 4 pieces and the other batch into 6 pieces. The batch of 6 I used paste gel food coloring to tint each section a color of the rainbow. In case you don't remember, those colors are: red, orange, yellow, green, blue and indigo (purple).
For the other 4 pieces I tinted two of them green, one darker than the other, and the other two yellow, again, one darker than the other. In hindsight, the yellows didn't end up looking any different, so if you want there to be some contrast, add a bit of orange to one of the yellow batches. The green dough is for the shamrocks and the yellow is for the gold coins.
Chill the dough wrapped in plastic wrap in the refrigerator for two hours.
Preheat oven to 350 degrees F when you start shaping the cookies.
The gold coins are the easiest. Take your two different yellows, roll a 3/4"" ball of each one, then gently roll the two balls together. Don't go crazy, just roll them enough to combine the two. Using the palms of both hands, roll into a snake, about 10-12"" long. Start at one end and roll the snake into a spiral cookie.
To make the shamrock cookies you'll need three green discs.
Take your two different shades of green and roll a 3/4"" ball of each one, then gently roll the two balls together. Again, don't go crazy, just roll them enough to combine the two. Using the palms of both hands, roll into a snake, about 10-12"" long.
Next, where the coil ends, pinch the disc into a point.
Use a butter knife or a lollipop stick to create a dent at the opposite end, forming a heart shape.
Place the 3 green hearts together and insert a lollipop stick.
For the rainbows, simply roll colored dough into snakes. The smallest being purple and the largest red, just curve them around each other and insert a stick.
To make the rainbow twisted coiled cookies, you will need a 1/2"" ball of each rainbow colored dough.
Gently combine them into one ball. From here, you can simply roll into a snake then a coil and be done.TIP – If the dough snake breaks a couple times, don't worry! Just pinch it back together it will bake up just fine.
Bake cookies for 8 minutes or until lightly browned. Cool and store in an airtight container.",9,▢ ¾ cup unsalted butter softened,▢ 3 ounces cream cheese,▢ 1 cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 2 ¾ cup all purpose flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,"▢ gel food coloring in red, orange, yellow, green, blue and indigo (purple).",NA,NA,Amanda's Cookin,https://amandascookin.com/st-patricks-day-cookies-rainbows/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blondies,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,20 minutes,NA,45 minutes,45 minutes,16 servings,13,"To brown the butter, place both sticks in a medium-sized saucepan and melt the butter over medium heat. Once the butter starts to foam and bubble, stir for approximately 3 minutes until you notice a darkening of the butter. Reduce the heat to low and continue stirring until brown specks start to appear. Remove from the heat source and allow the butter to cool to room temperature while you prepare the rest of the recipe.TIP – If you want to speed up the cooling process of the browned butter, simply place it in the freezer for 5 minutes.
Preheat the oven to 350°F. Line a metal square 9-inch baking pan with 2 sheets of parchment paper (to cover all 4 sides of the pan). Leave enough parchment paper to hang over the sides (this makes it easier to lift baked blondies from the pan). Set aside.
In a medium-sized bowl, whisk together the flour, baking powder, and salt. Set aside.
In the bowl of a stand mixer, combine the cooled browned butter with both sugars and beat for 2 minutes until the mixture is light in color.
Add the eggs one at a time, mixing before adding the next egg. Continue to beat for an additional 2 minutes to get volume into the mixture. Scrape down the sides of the bowl if needed.
Add the vanilla and almond extracts and mix until incorporated.
Slowly add the flour mixture (a little at a time) into the butter/sugar mixture and stir on low speed until just combined.
Stir in the white chocolate chips and transfer the batter to the prepared baking pan.
Evenly distribute the batter by pressing it into the baking pan, (making sure to get the batter into the corners).
Place the baking pan on the center rack in the oven and bake for approximately 20 minutes. 15 minutes into the bake time, check to see if the top is darkening, if so, cover the pan with tin foil for the remainder of the bake.
To test for doneness, insert a toothpick into the center, (it should come out free of batter), if not continue baking at 5-minute intervals, checking for doneness frequently.
Remove the blondies from the oven and allow them to cool on a wire rack before removing them from the pan.TIP – To get a cleaner cut, it is best to let the blondies sit for an hour (or place them in the fridge to chill for 30 minutes) before cutting them.
Cut the blondies into 16 equal-sized squares and serve.",10,▢ 1 cup unsalted butter 2 sticks,▢ 2 ¼ cups all purpose flour 10 ounces,▢ 1 teaspoon baking powder,▢ 1 teaspoon salt,"▢ 1 cup dark brown sugar lightly packed, 6 ounces",▢ ¼ cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ ½ teaspoon almond extract,▢ 1 ½ cups white chocolate chips 8 ounces,NA,Amanda's Cookin,https://amandascookin.com/blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Caramel Skillet Cookie,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,20 minutes,NA,30 minutes,30 minutes,4 servings,12,"Preheat the oven to 350F. Grease a skillet pan with butter. We used a 9 inch skillet.
Put the flour, baking soda, salt and cornstarch into a small bowl and mix it together. Set aside.
In a large mixing bowl add the melted butter, white sugar and brown sugar and beat with a handheld electric mixer until creamy (about 2 minutes).
Add the egg and vanilla extract and beat well to combine.
Tip the dry ingredients into the wet ingredients and mix until a thick dough forms.
Add most of the chopped chocolate reserving a small handful for later and mix until the chocolate is evenly dispersed through the dough.
Add half of the cookie dough to the skillet. Use your hands to press it down.
Spread 3/4 of the caramel sauce on top of the cookie dough.
Add the remaining cookie dough on top of the caramel sauce. The easiest way to do this is to use your hands to pat it into roughly the same size as the skillet then use your fingers to spread it to the edges.
Bake in the center of the preheated oven for 20-25 minutes or until the edges of the cookie are golden brown.
Remove from the oven and add the chocolate you reserved earlier.
Serve warm with ice cream and the remaining caramel sauce.",12,▢ 1 ½ cups all purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 Tablespoon cornstarch,▢ ½ cup unsalted butter melted,▢ ¼ cup granulated sugar,▢ ¾ cup light brown sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 5 ounces bittersweet chocolate roughly chopped,▢ 1 cup salted caramel sauce,Amanda's Cookin,https://amandascookin.com/chocolate-chip-caramel-skillet-cookie/,"▢ vanilla ice cream optional, for serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Brownie Cookies,Amanda Davis,5, 4 ,American,Desserts,"Cookies, Brownies, & Bars",NA,12 minutes,NA,52 minutes,52 minutes,18 cookies,8,"Melt together the butter and dark chocolate bar pieces in the microwave or a double boiler. Stir gently until the mixture is smooth and set this aside to cool slightly until you’re ready to add it.
Add the instant espresso powder and hot water to a small bowl and stir to dissolve.
Add the white sugar, brown sugar, eggs, vanilla, and dissolved espresso powder to a large bowl. Use a handheld electric beater to mix until it’s light and fluffy, about 3 minutes.TIP – Don’t rush the time it takes to beat the sugar and eggs; the end result should be fluffy and fall off the beaters in thick ribbons.
Pour the melted butter/chocolate mixture into the sugar/egg mixture, and beat to combine.
Sift in the flour, salt, baking powder, and cocoa powder, and stir to combine. Fold in the chocolate chips.
Cover the bowl with plastic wrap and chill 20 minutes in the fridge. Meanwhile, preheat the oven to 350F and line 2 large baking trays with parchment paper or silpat baking mats.
When the dough is chilled, use a 2-tablespoon scoop to measure the dough and roll each into a ball. Arrange the balls on the prepared baking trays. Sprinkle the flaky sea salt on top.
Bake until the cookies are set along the outside, about 12 to 15 minutes. Cool on the trays before removing.",14,▢ 6 Tablespoons unsalted butter,▢ 6 ounces good quality 60% dark chocolate bar broken into pieces,▢ ¼ teaspoon instant espresso powder,▢ ½ teaspoon hot water to dissolve the espresso powder,▢ ¾ cup granulated sugar,▢ ¼ cup light brown sugar lightly packed,▢ 2 large eggs,▢ 1 ½ teaspoons pure vanilla extract,▢ ¾ cup all purpose flour,▢ ¼ teaspoon salt,▢ ¼ teaspoon baking powder,Amanda's Cookin,https://amandascookin.com/salted-brownie-cookies/,▢ ¼ cup unsweetened cocoa powder,▢ ¾ cup semi-sweet chocolate chip,▢ flakey sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA
Melted Snowman Cookies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,0 minutes,NA,25 minutes,25 minutes,12 cookies,7,"Bake the sugar cookies, if needed, according to package instructions. Set aside 12 marshmallows for each cookie.
In the bowl of a stand mixer with a paddle attachment, whisk the egg whites until foamy. Add in the vanilla extract. Slowly, 1 cup at a time, add in the powdered sugar whisking on low. 
Reserve 1/3 of the white royal icing for the snow layer. In separate bowls divide the frosting as needed and add the food coloring of choice. Start slow, mixing 1-2 drops of the food coloring into the different bowls until you reach the desired color intensity.
Once cookies have cooled, pipe the white icing in puddle shapes on the cookies using the #8 round tip. Stick the marshmallow towards one edge.
Use the #7 tip or smaller for the black (or brown) icing to make hands, eyes, mouth, and buttons.
Use the #3 tip to create an orange nose.
Use a small tip, like #3, to pipe the remaining icing colors around the marshmallow head to make scarves",6,▢ 12 sugar cookies we used store-bought refrigerated cookie dough,▢ 12 marshmallows regular size,▢ 3 oz egg whites about 3 eggs worth,▢ 1 tsp vanilla extract,▢ 4 cups powdered sugar,"▢ food coloring in various colors. Brown/black, red, green, orange",NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/melted-snowman-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroons,Amanda Davis,5, 3 ,American,Desserts,"Cookies, Brownies, & Bars",NA,25 minutes,NA,40 minutes,40 minutes,30 cookies,7,"Preheat the oven to 325°F. Line baking sheets with parchment paper and set aside.
Combine egg whites and salt in the bowl of a standing mixer, fitted with a whisk attachment. Whisk on high speed for approximately 2 minutes until the egg whites form stiff peaks.
Meanwhile, combine coconut, vanilla extract, and sweetened condensed milk in a large mixing bowl.
Use a spatula to fold the whipped egg whites into the coconut mixture. Fold gently to keep as much of the air in the egg whites as possible.
Using a 1 ½ tablespoon cookie scoop, drop cookies onto prepared baking sheets.
Bake for approximately 25 minutes or until cookies are golden brown.
Allow the cookies to set for a couple minutes after removing from the oven, and then transfer cookies to a cooling rack to cool the rest of the way.",5,▢ 2 large egg whites at room temperature,▢ ¼ teaspoon salt,▢ 14 ounces sweetened shredded coconut,▢ 1 teaspoon vanilla extract,▢ ¾ cup sweetened condensed milk,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Dream Bars,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,0 minutes,NA,45 minutes,45 minutes,12 bars,17,"Line an 8×8 inch baking pan with parchment paper so that the edges come up on the side. Spray with vegetable oil coating.
Place Oreos into a food processor and pulse to finely grind into crumbs. You can also do this by placing cookies in a plastic bag and smashing them with a rolling pin.
Add the melted butter to the cookie crumbs and mix well.
Place the 3⁄4 of the crumb mixture into the prepared baking pan and pat down firmly, spreading to all of the edges. A measuring cup provides a solid surface when compacting the crumbs.
Put the pan into the freezer to set for a minimum of 30 minutes.
In a mixing bowl, beat the cream cheese with the confectioners’ sugar and vanilla until soft and creamy. Add the heavy whipping cream and beat until stiff peaks form. Store in refrigerator until ready to use.
In a mixing bowl, beat the cream cheese until smooth. Add the confectioners’ sugar, peppermint extract and green food coloring. Beat until thoroughly combined, scraping down the sides and bottom of the mixing bowl. If desired, add more green food coloring until desired saturation is reached. Fold in one cup of the thickened whipped cream.
In a mixing bowl, mix together the chocolate fudge pudding and milk until thickened. Place into the refrigerator to set.
Evenly distribute 2/3 the chopped Andes mints on top of the Oreo crust.
Place dollops of the peppermint cream cheese on top of the chopped Andes Mints, and gently spread to the edges of the pan.
Gently spread dollops of chocolate pudding on top of the cream cheese layer.
Place dollops of the remaining thickened whipped cream over the pudding and gently spread it.
Place pan into the refrigerator for a minimum of two hours to set.
A half hour before serving, place the pan into the freezer. This will allow it to be sliced easily.
When ready to serve, lift the bars out of the pan by the parchment paper.
Sprinkle the remaining chopped Andes Mints and chopped Oreos on top.
Peel the parchment away from the sides and slice with a large knife. I find it easiest to slice them when the knife has been placed under some warm running water and then dried.",15,▢ 15 ounces Mint Oreo cookies divided,▢ 5 Tablespoons unsalted butter melted,▢ 4.6 ounces Andes mints candies chopped and divided – about 26 candies,▢ 6 ounces cream cheese at room temperature,▢ ½ cup confectioners sugar,▢ 2 teaspoons pure vanilla extract,▢ 1 ½ cups heavy whipping cream,▢ 8 ounces cream cheese at room temperature,▢ ½ cup confectioners sugar,▢ ½ teaspoon peppermint extract,▢ 10-12 drops green food coloring or more as needed,Amanda's Cookin,https://amandascookin.com/mint-chocolate-dream-bars/,▢ 1 cup thickened whipped cream,▢ 5.9 ounces instant chocolate fudge pudding mix 1 large box,▢ 2 cups whole milk,▢ 1 cup thickened whipped cream,NA,NA,NA,NA,NA,NA,NA
Lemon Drop Cookies,Amanda Davis,5, 10 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,30 minutes,30 minutes,30 cookies,10,"Preheat your oven to 400 F. Line baking sheets with parchment paper.
Sift flour, baking powder, and salt then set aside.
Blend the lemon zest with the sugar, rubbing it together with your fingers.TIP – Rubbing the lemon zest into the sugar before combining it with the other ingredients helps release the lemon oils while enhancing the flavor.
With a mixer, cream the shortening then gradually add the lemon-sugar.
Add egg, lemon juice, and water; beat until combined.
Add dry ingredients and mix thoroughly. The dough will be looser and stickier than a traditional cookie dough.
Drop by level tablespoons (a cookie scoop is perfect!) onto parchment lined baking sheets. Bake for 8-10 minutes.
Allow to cool on baking sheet for 5 minutes, then transfer to wire racks to cool completely.
Combine all three ingredients in a small bowl and stir until smooth.
Use a 1/2-teaspoon measuring spoon to add glaze to the center of each cookie. Use the back of the spoon to gently spread the glaze. Let glaze harden for a couple hours before storing or stacking the cookies.",12,▢ 2 cups all purpose flour,▢ 2 teaspoons baking powder,▢ pinch of salt,▢ ¾ teaspoon lemon zest,▢ ½ cup shortening,▢ 1 cup granulated sugar,▢ 1 large egg,▢ ¼ cup lemon juice,▢ ¼ cup water,▢ 1 ½ cups powdered sugar,▢ 3 tablespoons lemon juice one lemon,Amanda's Cookin,https://amandascookin.com/lemon-drop-cookies/,▢ 1 teaspoon lemon zest one lemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bronuts,Amanda Davis,5, 1 ,American,Breakfast,Bagels & Doughnuts,NA,15 minutes,NA,30 minutes,30 minutes,10 bronuts,11,"Preheat the oven to 350°F.
In a heat-proof bowl, combine butter and chocolate chips. Microwave in 30 second increments until butter is melted. Whisk together the butter and chocolate until smooth.
Add granulated sugar, vanilla extract, and vegetable oil to the chocolate mixture and whisk to combine.
Slowly whisk in eggs, just until combined.
Sift flour, salt, and cocoa powder through a sieve into the brownie mixture and stir gently to fully combine.
Transfer batter to a piping bag or plastic bag with the corner snipped off.
Spray a donut pan with non-stick baking spray (the kind with flour works best). Pipe a ring of batter into each donut cavity. Do not fill each cavity more than ½ full.
Bake bronuts for 15 minutes, until baked through. The tops of the bronuts will be dry to the touch and a toothpick inserted into the bronuts should have a few moist crumbs.
Remove from oven and allow to cool completely. Remove from pan to a cooling rack.
Prepare the glaze by whisking together powdered sugar, milk, and cocoa powder.
Dip the smoothest side of the donut into the glaze, allowing some excess to drip off and then place on a cooling rack or platter. Decorate immediately with sprinkles before the glaze sets.",13,▢ ½ cup unsalted butter 8 Tablespoons,▢ 4 ounces semi-sweet chocolate chips 1/2 cup. or chopped baking chocolate,▢ 1 cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 Tablespoon vegetable oil,▢ 2 large eggs at room temperature,▢ ½ cup all-purpose flour,▢ ¼ teaspoon salt,▢ ¼ cup unsweetened cocoa powder,▢ 1 ½ cups powdered sugar,▢ 2-3 Tablespoons milk,Amanda's Cookin,https://amandascookin.com/bronuts/,▢ 3 Tablespoons unsweetened cocoa powder,▢ sprinkles optional for decorating,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Trifle,Amanda Davis,5, 5 ,American,Desserts,Trifles & Parfaits,NA,0 minutes,NA,15 minutes,15 minutes,12 servings,6,"Cut cooled brownies into 1-inch cubes.
In a mixing bowl, whisk together milk and pudding mix until pudding begins to thicken.
Stir in about 1 cup of the whipped cream.
Cover the bottom of a trifle dish with brownie pieces. Layer ½ of the pudding mixture and ½ of the whipped cream over the brownie pieces.
Add another layer of brownies and the remaining pudding mixture. Dollop or pipe the remaining whipped cream to top the trifle.
Shave some of the dark chocolate bar over the whipped cream for garnish. Top with a few more brownie pieces.",5,▢ 2 boxes brownie mix prepared,▢ 3 cups whole milk,▢ 5.1 ounce box instant vanilla pudding mix,▢ 8 cups whipped cream OR cool whip,"▢ dark chocolate bar shaved, optional as garnish",NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/brownie-trifle/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Bliss Bars,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,25 minutes,NA,25 minutes,25 minutes,18 bars,11,"Preheat the oven to 350°F. Line a 9×13 metal baking pan with parchment paper, spray with nonstick baking spray, and set it aside.
In a mixing bowl, combine melted butter, granulated sugar, and brown sugar. Whisk until the mixture is smooth.
Add vanilla extract, orange oil, and eggs. Whisk until fully combined.
Stir together the salt, flour, and baking powder. Add the dry ingredients to the butter mixture and stir until combined.
Fold in the white chocolate chips and dried cranberries.
Spread into the prepared baking pan. Bake for 25-27 minutes, until the dough is golden brown and a toothpick in the center comes out clean.Cool completely.
Meanwhile, prepare the frosting by beating together the cream cheese, powdered sugar, vanilla extract, and orange oil until fluffy and smooth.
Melt white chocolate chips in the microwave by heating for 30 seconds at a time, and stirring until smooth. Add half of the melted white chocolate to the cream cheese mixture and beat until combined.
Lift cooled bars from the baking pan by lifting the parchment paper.
Spread the frosting over the bars. Sprinkle dried cranberries over the top of the frosting.
Cut into triangles. Drizzle with remaining melted chocolate.TIP – After drizzling the melted white chocolate, it will harden so it’s easier to cut the bars before drizzling the chocolate. Otherwise, the hardened drizzle doesn’t cut cleanly.",17,▢ 1 cup unsalted butter melted,▢ ½ cup granulated sugar,▢ 1 ½ cups light brown sugar packed,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon orange oil or 1 teaspoon orange extract,▢ 2 large eggs at room temperature,▢ ½ teaspoon salt,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 cup white chocolate chips,▢ ½ cup dried cranberries,Amanda's Cookin,https://amandascookin.com/cranberry-bliss-bars/,▢ 8 ounces cream cheese softened,▢ 1 cup powdered sugar,▢ ½ teaspoon vanilla extract,▢ ⅛ teaspoon orange oil or 1/2 teaspoon orange extract,"▢ 1 cup white chocolate chips melted and divided, for drizzling",▢ ½ cup dried cranberries for topping,NA,NA,NA,NA,NA
Cake Mix Brownies,Amanda Davis,5, 9 ,American,Desserts,"Cookies, Brownies, & Bars",NA,20 minutes,NA,30 minutes,30 minutes,16 servings,7,"Preheat oven to 350 F. Line an 8×8 metal pan with parchment paper, allowing excess to hang over the sides for handles.
In a large bowl, whisk together eggs, oil, and vanilla.
Add dry cake mix and stir to combine using a sturdy rubber spatula or wooden spoon. Mixture will be very thick.
Reserve one handful of the chocolate chips to sprinkle on top. Stir the remaining chocolate chips into the batter.
Scoop batter into lined pan. Spray your hands with cooking spray and press the batter into the pan until even. Sprinkle with reserved chocolate chips.
Bake in preheated oven for 19-21 minutes.
Cool in pan on a cooling rack for 20 minutes. Lift the brownies from the pan using parchment paper handles and place on rack to cool completely.",5,▢ 2 large eggs,▢ ⅓ cup vegetable oil,▢ 1 teaspoon pure vanilla extract,"▢ 15.25 ounce box of chocolate cake mix dry mix only, we used chocolate fudge",▢ 1 cup dark chocolate chips,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/cake-mix-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Amanda Davis,5, 11 ,American,Desserts,Quick & Easy,NA,1 minute,NA,11 minutes,11 minutes,8 servings,4,"Add the flour to a microwave-safe bowl. Microwave for 1 minute 15 seconds, stopping every 15-20 seconds to stir it. Let it cool to room temperature.
Use a handheld electric mixer to cream together the butter and brown sugar in a large bowl. Beat in the vanilla and salt.
Add the flour and beat to combine (the dough will look lumpy at this point). 
Beat in the milk until well combined (the dough will smooth out). Use a wooden spoon to stir in the chocolate chips. Serve.",7,▢ 1 cup all-purpose flour,▢ ½ cup unsalted butter at room temperature,▢ ¾ cup light brown sugar lightly packed,▢ 1 ½ teaspoons pure vanilla extract,▢ ¼ teaspoon salt,▢ 2 Tablespoons milk we used whole milk,▢ ¾ cup chocolate chips,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/edible-cookie-dough/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire Brownies,Amanda Davis,5, 15 ,American,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,30 minutes,30 minutes,16 brownies,16,"Preheat the oven to 350F. Line an 8 by 8-inch baking pan with 2 pieces of parchment paper so it hangs over all 4 sides for easy removal.
Whisk together the flour, cocoa powder, and salt in a medium bowl.
Use a handheld electric mixer to beat together the granulated sugar, brown sugar, oil, butter, and vanilla in a large bowl until it thickens slightly, and looks like fluffy wet sand. Add the eggs and egg yolk, and beat until the mixture is thick, fluffy, and turns paler (about 6 to 8 minutes using a handheld electric mixer).
Add the dry ingredients and beat just to combine, being careful not to over-mix.
Pour the batter into the prepared pan, and spread it out evenly.
Bake until the brownies are set along the outside and the top starts to crackle, about 20 to 25 minutes, being careful not to over-bake. Cool completely.
Meanwhile, prepare the caramel by placing all ingredients in a saucepan over medium heat.
Whisk constantly until the mixture is fully melted and comes to a boil (do not increase the temperature.) *Be sure to stir the caramel constantly and keep the heat at or just below medium so that the caramel doesn’t burn on the bottom of the pan.
Fit the saucepan with a candy thermometer and continue whisking and cooking until the caramel reaches the soft ball stage, 225°F. This process can take 20-30 minutes.
Remove the caramel from the heat and pour over the baked brownies, spreading it smooth to the edges.
Chill for at least 30 minutes to firm up the caramel so that it does not displace when the ganache is added.
To make the ganache, combine the chocolate chips and heavy cream in a microwave-safe bowl.
Heat in 30-second intervals, stirring/whisking between intervals until the chocolate melts and the ganache comes together in a thick, smooth mixture.
Spread the ganache over the caramel.
For the finishing touches, sprinkle flaky sea salt over the top of the ganache and place in the refrigerator to chill for at least 30 minutes or until the ganache is set.
Lift the dessert from the pan and cut into bars with a sharp knife.",19,▢ ¾ cup all purpose flour,▢ ¾ cup unsweetened cocoa powder,▢ ½ teaspoon salt,▢ 1 cup granulated white sugar,▢ ⅓ cup light brown sugar lightly packed,▢ 6 Tablespoons vegetable oil,▢ 6 Tablespoons unsalted butter melted and cooled slightly,▢ 1 teaspoon vanilla extract,▢ 2 large eggs,▢ 1 large egg yolk,▢ 1 cup unsalted butter softened,Amanda's Cookin,https://amandascookin.com/millionaire-brownies/,▢ 1 cup light brown sugar packed,▢ 14 ounces sweetened condensed milk 1 can,▢ ¼ cup light corn syrup,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon salt,▢ 2 cups semi-sweet chocolate chips,▢ ½ cup heavy whipping cream,▢ flakey sea salt optional as garnish,NA,NA,NA
Oreo Truffles,Amanda Davis,5, 4 ,American,Desserts,No Bake Desserts,NA,0 minutes,NA,NA,30 minutes,30 Oreo balls,10,"Place cookies in the bowl of a food processor and pulverize into small crumbs. (Reserve a cookie to crumble for garnish, if you wish.)
Add the cream cheese into the food processor and process until the mixture is fully combined and clumps into a “dough.”
Use a tablespoon or a cookie dough scoop to make balls of the mixture and place each ball on a baking sheet lined with parchment paper.
Chill in the freezer for 5-10 minutes to firm the dough a bit.Freezing the dough balls for a short period of time is really helpful to get them firm enough to hold their shape for dipping, but if they are overly cold, the chocolate coating may crack. This can happen when the warm coating comes into contact with the very cold center – the center expands and the coating cracks or the insides start squirting out a hole in the coating. About 15 minutes in the freezer should be a good balance between cold enough and not too cold.
Roll each ball between the palms of your hands to form a smooth ball. Place the tray back into the freezer for an additional 10-15 minutes or the refrigerator for about 30 minutes.
Place the melting wafers and chocolate chips in separate microwave-safe bowls and heat in 30 second increments, stirring between each interval, until the chocolate is melted through and is smooth. You can do one type of dipping chocolate at a time so that the other doesn’t harden while you’re dipping the first half of the balls.
Working on one ball at a time, dip the firm ball into the melted chocolate, tossing it to coat completely. Lift from the chocolate using a fork. Tap off excess chocolate and place the ball on a clean sheet of parchment paper.TIP – If the chocolate starts to harden or thicken while dipping, place it back into the microwave in 15 second increments and stir until smooth. You can also add a teaspoon of shortening to the chocolate when heating it to help thin it so it smooths out over the chocolate evenly. 
Continue dipping half of the truffles in white chocolate and half of the truffles in semi-sweet chocolate.
Place the remaining melted chocolate in small plastic bags and snip off the corner. Drizzle a bit of each contrasting chocolate over the top of the truffles for decoration. Sprinkle with some cookie crumbs before the chocolate sets, if desired.
Once the chocolate has set, the truffles are ready to eat!",4,▢ 36 Oreo cookies filling included. 1 regular size package,▢ 8 ounces cream cheese cut into pieces and softened,▢ 12 ounces white chocolate melting wafers,▢ 12 ounces semi-sweet chocolate melting wafers or chocolate chips,NA,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/oreo-truffles/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
