title,author,dateentry,dateupdate,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,yield,maybehasyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Peanut Butter Chocolate Cookies,Shelly,"Posted: Jun 3, 2024",NA,5,1,Dessert,NA,NA,15 min,8 min,NA,23 min,24 cookies 1x,NA,5,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment, mix together the cake mix, oil and eggs until combined.
Pour in entire bag of Reese’s Minis and mix on low until Reese’s are evenly incorporated.
Roll the dough into tablespoon sized balls and place on the prepared baking sheet about 2- inches apart. Cookies will spread.
Bake for 8-9 minutes.",4,1 (18.25- ounce) box chocolate cake mix,2 large eggs,1/3 cup canola or vegetable oil,1 (8- ounce) bag Reese’s Minis,NA,Cookies & Cups,https://cookiesandcups.com/peanut-butter-cup-chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chip Cookies,Shelly,"Posted: May 16, 2024",NA,5,2,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,9,"Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
Miz the butter and peanut butter in the bowl of your stand mixer fitted with the paddle attachment for 1 minute on medium speed until smooth.
Add in both sugars and mix for 2 minutes until pale in color and fluffy, scraping the sides of the bowl as necessary.
Add in the egg and vanilla and continue mixing for 45 more seconds until combined and smooth.
Add in the cornstarch, baking soda, baking powder, and salt and mix for an additional few seconds until combined.
Turn the mixer to low and add in the flour, mixing until dough comes together. Stir in chocolate chips evenly.
Using a medium (2- tablespoons) cookie scoop dough onto the prepared baking sheet, placing scoops 2 inches apart.
Bake the cookies for 9-10 minutes until they are golden at the edges.
Remove the pan from the oven and allow cookies to cool on the baking sheet for 2-3 minutes and then transfer them to a wire rack to cool completely.",12,"1/2 cup butter, room temperature",1/2 cup creamy peanut butter,1/2 cup granulated sugar,1/2 cup light brown sugar,1 large egg,Cookies & Cups,https://cookiesandcups.com/peanut-butter-chocolate-chip-cookies/,1 1/2 teaspoons vanilla extract,1 teaspoon cornstarch,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon kosher salt,1 cup all-purpose flour,1 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Bourbon Chocolate Chip Cookies,Shelly,"Posted: May 8, 2024",NA,5,1,Cookies,NA,NA,20 minutes,9 minutes,NA,29 minutes,36 cookies 1x,NA,7,"In a medium-sized saucepan over medium heat melt the butter. Once the butter is melted continue cooking, swirling the pan constantly until the butter has reached a deep amber color. Remove the pan from the heat and allow it to cool for 20 minutes.
Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
Add the dark brown sugar, egg, yolk, bourbon, baking soda, and salt into the cooled butter until smooth and combined.
Stir in the flour until just incorporated and finally the pecans and chocolate chips.
Using a medium-sized cookie scoop, drop dough onto the prepared baking sheet 2 inches apart.
Bake the cookies for 9 minutes, or until the edges are lightly browned.
Transfer cookies to a wire rack to cool.",9,1 cup butter,1 1/2 cups packed dark brown sugar,1 egg + 1 yolk,1/4 cup bourbon,1 teaspoon baking soda,Cookies & Cups,https://cookiesandcups.com/derby-pie-cookies/,1 teaspoon kosher salt,2 1/2 cups all-purpose flour,1 cup chopped pecans,2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Toffee Cashew Cookies,Shelly,"Posted: Apr 10, 2024",NA,NA,NA,Cookies,NA,NA,40 minutes,13 minutes,NA,53 minutes,24 cookies 1x,NA,8,"Melt the butter in a medium saucepan over medium-low heat. Once butter is melted, continue to cook, bringing butter to a boil, swirling pan constantly to avoid burning.
Cook the butter until it reaches a deep amber color. Remove from the heat immediately and allow butter to cool for at least 30 minutes.
Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment, combine the melted and cooled butter and both sugars. Mix on medium speed until combined. Add in the eggs, vanilla, baking soda, and salt. Mix for 1 minute, scraping sides of bowl as necessary.
Turn the mixer to low and add flour, mixing until just combined. Stir in cashews, toffee, and chocolate chips until incorporated.
Using a large (3-tablespoon) cookie scoop, drop dough 2 inches apart onto prepared baking sheet.
Bake for 8 minutes, and then rotate pan and bake for an additional 5 minutes, or until cookies are lightly golden at edges and tops are just set.
Transfer the cookies to a wire rack to cool completely.",12,1 cup salted butter,3/4 cup dark brown sugar,3/4 cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,Cookies & Cups,https://cookiesandcups.com/salted-toffee-cashew-cookies/,1 teaspoon baking soda,1 teaspoon kosher salt,2 3/4 cups all purpose flour,"1 cup salted cashews, chopped",3/4 cup toffee bits,1 1/4 cups semi-sweet chocolate chips,optional – flaked sea salt on top to garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Crinkle Cookies,Shelly,"Posted: Mar 28, 2024",NA,5,1,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,20 cookies 1x,NA,8,"Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with a paddle attachment mix butter and granulated sugar together on medium speed for 2 minutes until combined.
Add in the vanilla, egg, zest, orange juice, baking soda, and salt, and mix for 1 minute until incorporated, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in flour, mixing until just combined.
Place powdered sugar in a small bowl and set aside.
Using a small (1-tablespoon) cookie scoop, scoop out cookie dough. Roll each portion into a ball and then place the ball into the bowl of powdered sugar, turning to coat generously. Place the coated dough ball onto the prepared baking sheet. Repeat with remaining dough, placing balls 2- inches apart.
Bake for 8-10 minutes, until the tops of the cookies are set and the powdered sugar is crackly.
Transfer cookies to a wire rack to cool completely.",12,"1/2 cup unsalted butter, room temperature",1 cup granulated sugar,1 teaspoon vanilla extract,1 egg,1 tablespoon orange zest,Cookies & Cups,https://cookiesandcups.com/orange-crinkle-cookies/,2 tablespoons fresh orange juice,1/2 teaspoon baking soda,1/2 teaspoon kosher salt,2 cups all-purpose flour,1/2 cup powdered sugar,1/2 teaspoon orange extract (optional),1 drop of orange food coloring (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churro Bars,Shelly,"Posted: Jan 22, 2024","Updated: Mar 22, 2024",4.8,6,Cookies,NA,NA,30 minutes,25 minutes,NA,55 minutes,24 bars 1x,NA,7,"Brown the butter: In a medium saucepan over medium-low heat melt the butter and bring to a boil. Frequently stir or swirl the pan until the butter reaches a deep amber color. Remove the pan from the heat and allow the butter to cool for 20 minutes.
Preheat the oven to 350°F. Line a 9×13-inch baking dish with parchment paper and coat with non-stick spray. Set aside.
Prep the dough: In a large bowl combine the cooled butter and brown sugar and stir to combine. Add in the eggs, vanilla, baking powder, and salt and stir until smooth. Finally, add in flour and mix until just incorporated. Set aside.
Make the Cinnamon Sugar: In a small bowl, whisk the granulated sugar and ground cinnamon together.
Sprinkle half of the cinnamon sugar evenly into bottom of the prepared pan.
Press the cookie dough on top of cinnamon sugar and then sprinkle the remaining cinnamon sugar on top. Bake for 25-30 minutes, or until edges are lightly golden.
Place pan on a wire rack to cool completely before cutting into bars.",9,1 cup butter,2 cups light brown sugar,2 eggs,2 teaspoons vanilla,1 1/2 teaspoons baking powder,Cookies & Cups,https://cookiesandcups.com/churro-bars/,1 teaspoon kosher salt,2 1/2 cups all-purpose flour,1/4 cup granulated sugar,1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscotti,Cookies & Cups,"Posted: Jan 16, 2024","Updated: Sep 15, 2024",4.2,6,Cookies,NA,NA,15 minutes,30 minutes,NA,45 minutes,30 cookies 1x,NA,6,"Preheat oven to 375°F. Line a large baking sheet with parchment paper. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix together the sugar, oil, eggs, almond extract, and vanilla extract. Add in the salt and baking powder and mix to incorporate, scraping the sides of the bowl as needed.
Turn the mixer to low and add in the flour, mixing until just combined. Stir in the pecans. Dough will be very sticky.
Divide the dough in half. Form the dough into 2 (15- inch) logs on your baking sheet allowing at least 3- inches in between the two logs to allow for spreading.
Bake for 25 – 30 minutes until golden brown. Remove from the oven and allow to cool for 5 minutes on the baking sheet. Using a knife or a bench scraper, cut into slices 1- inch thick. Lay the sliced biscotti flat on the baking sheet and place back in the oven for 5 minutes. Remove from the oven, flip the biscotti over and bake for an additional 3 – 4 minutes until lightly toasted.
Transfer to a wire rack to cool completely.",9,1 cup granulated sugar,1/2 cup vegetable oil,3 eggs,1/2 teaspoon almond extract,1 teaspoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/biscotti/,¼ teaspoon kosher salt,1 tablespoon baking powder,3 1/4 cups all purpose flour,2/3 cups chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cookies,Shelly,"Posted: Dec 19, 2023",NA,4.6,33,Dessert,NA,NA,10 minutes,10 minutes,NA,20 minutes,About 30 cookies 1x,NA,6,"In bowl beat cream cheese and butter together until smooth, add in egg and continue mixing, scraping sides as necessary.
Add in the cake mix and beat until combined and finally stir in extra sprinkles.
Chill dough for about an hour.
Preheat oven to 350° Line a baking sheet with parchment paper and set aside.
Form dough into 1 inch balls and roll in powdered sugar. Place on prepared baking sheet 2″ apart and bake for about 10 minutes.
Allow to cool on baking sheet for 2-3 minutes and then transfer to wore rack to cool completely.",6,"8 oz cream cheese, room temperature","1/2 cup butter, room temperature",1 egg,1 box Funfetti cake mix (15.25 oz),1/4 cup sprinkles,Cookies & Cups,https://cookiesandcups.com/funfetti-gooey-butter-cookies/,1/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Butterscotch Cookies,Shelly,"Posted: Dec 12, 2023",NA,NA,NA,Cookies,NA,NA,15 minutes,13 minutes,NA,28 minutes,36 cookies 1x,NA,5,"Preheat the oven to 375°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, brown sugar, and granulated sugar together for 2 minutes on medium speed. Add in the eggs, vanilla, salt, cinnamon, and baking soda, and mix for another minute, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour and oats until just combined. Mix in the butterscotch morsels evenly.
Using a medium (2- tablespoons) sized cookie scoop and portion the dough onto the prepared baking sheet 3-inches apart. Bake for 12-13 minutes, or until the edges are lightly golden.
Let the cookies rest on the baking sheet for 5 minutes, then transfer the cookies to a wire rack to cool completely.",11,"1 cup butter, room temperature",1 cup dark brown sugar,1/2 cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/oatmeal-butterscotch-cookies/,1 teaspoon kosher salt,1/2 teaspoon ground cinnamon,1 teaspoon baking soda,1 1/4 cups all purpose flour,3 cups old-fashioned (rolled) oats,1 3/4 cups butterscotch morsels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Mint Cookies,Shelly,"Posted: Dec 11, 2023",NA,NA,NA,Cookies,NA,NA,20 minutes,10 minutes,NA,30 minutes,24 cookies 1x,NA,9,"Preheat the oven to 375ºF.
Prepare cookie sheets by greasing them or lining with parchment paper.
Melt 1 1/2 cups semi-sweet chocolate chips over a double boiler, or in microwave until just melted. Set aside to cool to room temperature.
Combine the dry ingredients in small bowl, set aside.
In a large mixing bowl, combine butter, both sugars, and vanilla. Beat until creamy. Add eggs, scrape down the sides of the bowl, and mix again. Add the melted chocolate and beat ingredients until light and fluffy.
Add the flour mixture and mix until just combined. Fold in the Andes Candies and 1 cup of chocolate chips. Stir until combined.
Drop the cookie dough by rounded tablespoons, or with a small ice cream scoop, onto the prepared cookie sheets.
Bake for 10 minutes, or until the centers of the cookies are no longer wet.
Let the cookies stand for 2-3 minutes on the cookie sheets before transferring them to cooling rack.",11,1 1/2 cups semi-sweet chocolate chips,2 1/2 cups all-purpose flour,1 1/2 teaspoon baking soda,3/4 teaspoon salt,"1 cup salted butter, softened",Cookies & Cups,https://cookiesandcups.com/double-chocolate-mint-cookes-plus-a-giveaway/,2/3 cup sugar,1/3 cup packed dark brown sugar,2 teaspoons vanilla,2 eggs,"1 4.7 oz. box Andes Creme de Menthe Candies, unwrapped and broken in half (see note)",1 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Subway Cookies,Shelly,"Posted: Dec 10, 2023",NA,5,1,Cookies,NA,NA,30 minutes,12 minutes,NA,1 hour 42 minutes,12 cookies 1x,NA,7,"In a large bowl whisk together the flour, baking powder, baking soda, and salt. Set aside.
In a medium bowl whisk together the egg, canola oil, granulated sugar, light brown sugar, and milk.
Stir the wet ingredients into the dry ingredients until just combined. Finally stir in the chocolate chips.
Cover the bowl with plastic wrap and refrigerate for an hour.
Preheat the oven to 350°F. Line a baking sheet with parchment paper.
Remove the cookie dough from the refrigerator and roll the dough into 12 equal sized balls.
Place 6 cookies on the baking sheet at a time and bake for 10 – 12 minutes until golden at the edges. Allow the cookies to cool on the baking sheet for an additional 2 minutes and transfer to a wire rack to cool completely.",11,1 3/4 cup all purpose flour,1 teaspoon baking powder,1/2 teaspoon baking soda,1 teaspoon kosher salt,1 large egg,Cookies & Cups,https://cookiesandcups.com/subway-cookies/,1/2 cup vegetable or canola oil,1 1/2 teaspoons vanilla extract,1/3 cup granulated sugar,2/3 cup light brown sugar,1/4 cup milk,1 1/4 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
